http://movie.douban.com/subject/4837986/	辩护律师 The Defenders
(4星)	 律政剧要想拍好，首先一条就是男主不能长得好看，其次就是老少配，最合适的拍档就是大叔配中年。《辩护律师》这两条都做到了，这就意味着这部剧有了起码品质的保证，事实也的确是这样。只是男男组合已经为《波士顿法律》发挥到了极致，再想超越已是难上加难，所以仅一季便被砍也没有什么太过突然~            
(4星)	 也是很不错啊！爱~            
(NA)	 是不是被砍了啊？            
(5星)	 看了之后，深有体会的是“有理走遍天下”这句话的意义～同时在现实生活中也还了清白人的清白～从容淡定地与黑心商贩辩论，讨回了辛苦钱～国人通常遇到受骗上当，大部分人的态度是忍气吞声～多可悲啊！假如你有正义感，人人都能成为优秀的辩护律师～            
(4星)	 其实我是奔着基情去的。。。            
(NA)	 怎么看都是一个套路            
(NA)	 结构如老男主般松散，风格如小男主般轻浮，最可恶的是根本没有女主！就凭核心价值观和中年危机这怎么从那些大规模宫斗和滚床单的律政剧手里抢观众呢。。当然，做备胎还是绰绰有余的；后半季进步明显，值四星            
(3星)	 其实还是不错的剧...但是不晓得为什么当时就弃了OJZ            
(4星)	 油嘴滑舌 西装 大叔            
(3星)	 时好时坏            
(4星)	 不是那么得讨喜            
(5星)	 很睿智很幽默~~尤其那个死胖子~~            
(3星)	 轻松幽默的律师剧，又不缺人情味儿            
(4星)	 What a pity it had already been cut by CBS~~            
(NA)	 律政剧荒时看的。。。无感。。            
(4星)	 挺好看的嘛，为啥被砍了呢……            
(4星)	 分明很好看，CBS你个渣!!!            
(5星)	 很好看很有爱，怎么被砍了呢？！            
(3星)	 女主很漂亮剧集很散漫            
(4星)	 法律不在乎真相。            
(4星)	 法律剧依旧是大爱啊，不过比金牌律师差一点            
(4星)	 演技很棒，期待S2            
(3星)	 罪恶之城没想象中精彩。            
(5星)	 超级有水平的编剧。超级欢乐的一部剧。强烈期待第二季            
(5星)	 剧情还不错            
(NA)	 episode 9, my favourate~~~            
(5星)	 编剧到后几集有些做作，不过LAS VEGAS作为大环境的感觉，真是太棒了！            
(4星)	 剧情节奏还是挺快的，不知不觉连看三集，过瘾！专业性不如《波士顿法律》，笑点还是挺多。喜欢敬业的律师。            
(5星)	 很轻松，还可以学一些法律用语。            
(2星)	 3            
(NA)	 objection,he is testifying!藉此剧，学英语，同时学英美法这里面还是有很多英美法的知识，尤其是司法实践中的东西又想起了当年做律师的时候了            
(3星)	 比the deep end好点吧。。。            
(4星)	 Las Vegas的景色真的很漂亮，也算是在众多的律政剧中我选择它的原因了。作为两个有着一些喜剧天份的律师，偶尔有一些麻烦，但两人的合作总能把问题解决，时不时出现的情感线虽然不是主线，但也还是很吸引人的。最后一集的命案很不错！挺喜欢的，尽管CBS已经取消第二季了，但这是个好结局！            
(4星)	 看到后面很不错～            
(NA)	 完全的模仿波士顿法律，在配角级人物塑造上远不如波士顿法律，至于案例，则依旧是美国律政片的老传统，可以看一下            
(4星)	 nick太可爱了~~~            
(4星)	 真的不错，剧情很好很搞笑哈哈            
(3星)	 看了一集，不是我的菜。放弃。            
(4星)	 Funny and witty with perfectly matched actors            
(3星)	 剧情紧凑，比其他律政剧轻松，两个男人的友情还是挺温情的，被砍了有点儿可惜。            
(3星)	 美剧，看到S1E11，手头没存货了，也就不准备追了。律政系列说来绝对不如木村拓哉的《律政英雄》。两个老男人也都不是我的菜。每一集的结局都很煽情很感人，总体趋于平淡。反正我是情愿去看又变态又刻薄抬头纹深得跟刀刻似的Doctor House。            
(4星)	 我是挺喜欢的            
(4星)	 不错看。            
(5星)	 我是看到第五集才看出味道的。要对一个胖大叔和一个色大叔，还有一个不漂亮的女主产生兴趣，是很困难的。不过，相比起GOOD WIFE，辩护律师的辩护显得太轻易了，好像在法庭上就能雄辩出胜负一样。            
(2星)	 弃            
(4星)	 油腔滑调，不是贬义            
(3星)	 mark:e01            
(5星)	 很精彩，一气看完的            
(4星)	 我觉得很棒啊~            
(5星)	 赞！            
(4星)	 第一季完了~~呜呜~~快点出第二季~！~            
(4星)	 没帅哥 只有两个可爱的男人 最喜欢胖老头~到底会不会有第二季啊CBS你预定吧预定吧&gt;&lt;            
(4星)	 两个主角我很喜欢……不过为毛总觉得这剧短命相OTZ（我只是随便说说  ←被，被砍了OTZ            
(5星)	 拉斯维加斯 大状 剧本演技都很娴熟 比较轻松诙谐            
(4星)	 看完第一季，真喜欢Nicky，喜欢这个老少配~            
(2星)	 老头耍宝,大叔装帅,没脑剧,鄙视之,关键相比whole truth竟然没被砍,omg            
(4星)	 轻喜法律剧            
(4星)	 比同期的几个法律片子好了些，算是没砍坚持了一季            
(5星)	 这么好的剧咋不红捏？            
(3星)	 2011.3.17-18(本季完)            
(NA)	 弃剧。            
(3星)	 BL的高度太高了……            
(3星)	 新追律政剧，勉强可以            
(4星)	 挺好看的一部法律剧。            
(4星)	 不错，算是今年一个比较好看的新剧了吧？女主角很烦人            
(2星)	 无新意            
(3星)	 第一集感觉非常一般，而且不喜欢那个男主的长相，可能是他在《东镇女巫》里的角色让我太讨厌了吧~看不下去了            
(4星)	 好可爱好可爱的两个！！居然被砍了！！！！            
(NA)	 弃。            
(3星)	 两角色还好 剧情就差了            
(NA)	 1弃。男主角。。。            
(4星)	 《boston legal》的替代品，这个目标达到了，但始终就是替代品。            
(2星)	 聽說是在律政片中有小小的獨樹一幟~但两个老男人真的让人提不起兴趣            
(3星)	 第11集在电脑里放了好几个月也懒得看了，鸡肋剧，砍掉吧，省下时间干点儿正事儿。            
(3星)	 还算不错的律政剧，就是控方太弱了，无限怀念《Boston Legal》啊……            
(3星)	 弃            
(NA)	 -02            
(4星)	 相当不错,这对搭档默契的让人羡慕,真正的律师就应该如此            
(4星)	 年轻的男主角是我不喜欢的长相类型，因为喜欢这类的剧所以追完了，还是比较不错的，比较喜欢地检那位小哥~            
(3星)	 喜欢看律政剧的可以看看，总体来说就是一出开水剧。            
(3星)	 一般，木有律师剧可看，凑合凑合            
(4星)	 没时间追了。。。            
(4星)	 正义和法律对抗无限的冤案现场。。。两个男主角很有爱~~~            
