http://movie.douban.com/subject/2282468/	天降奇缘
(NA)	 小学还是初中？ oh！            
(3星)	 最后没在一起吧            
(4星)	 不喜欢结局，不过也没办法，            
(4星)	 温兆伦曾经是我姐姐的梦中情人，我姐曾在生日许愿，希望有朝一日能被温兆伦掐死。            
(4星)	 一个女配角偷吃给仙人的巧克力的那幕一直深深的在我的脑海里~~~            
(3星)	 麻麻嘚~            
(4星)	 老片。            
(5星)	 小时候妈妈喜欢温兆伦，迷这剧还有第三类法庭迷的要命。。。            
(4星)	 最后红娘就这么死了TT            
(5星)	 超可爱的神仙红丝丝，帅帅的温兆伦，还记得丁长安在车里面问萱萱，这首歌谁唱的那么好听？宣萱说，温兆伦咯~~~笑死我。。最后一集也印象好深刻。。。            
(NA)	 那时候的宣萱 嫩啊 那时候的温兆伦也不是现在这个老演坏淫的样纸 岁月啊            
(4星)	 记忆中第一部TVB剧...            
(5星)	 时光流转，除了画质和略显简单的特效，整体的呈现还是一个辉煌的高峰，这部九五年的片子放到现在来看，除了一些时代感以外，感动常在。宣萱温兆伦真的好有爱啊~ 各种怀念……            
(5星)	 小时候看的!!!!居然还记得整个大致剧情^^            
(4星)	 小的时候这电视真的很火。            
(4星)	 回忆好美~            
(NA)	 看宣萱的第一部戏~            
(4星)	 这是曾经多喜欢的剧啊~~~怀念又难忘~~~            
(4星)	 记得这部的，很喜欢的！！            
(NA)	 那个时代的记忆 居然还能想起这个名字 奇            
(4星)	 那个年代,真的很喜欢.记忆是不会被任何超越的.            
(NA)	 宣萱好！可！爱！            
(3星)	 同年同月同日生，不过不记得有姜阿尊了。            
(4星)	 看的第一部港剧            
(5星)	 丝丝            
(3星)	 鹦鹉兄。            
(5星)	 宣萱！            
(4星)	 重温初中看的剧 现在看来还是老好看的呀            
(NA)	 好可爱的红娘，牵线到最后发现爱上了男主            
(5星)	 小时候超爱看这部剧。。。都快忘记了。。。            
(3星)	 奇幻 逗趣            
(3星)	 这大概是最早的穿越剧了吧            
(4星)	 小时候，每天在电视机前等着看。            
(4星)	 当年对结局耿耿于怀，明明是一喜剧嘛为什么到了大结局成了悲剧！            
(4星)	 第一次领略TVB的神奇~            
(5星)	 前两天漂流瓶还给人支招呢~            
(5星)	 当年超爱的一部电视剧~~哈哈~~很有趣~~~比后来TVB充满铜臭和算计的爱情片好看多了~~~            
(3星)	 姐的小名儿就这么来的。。。            
(5星)	 小时候超喜欢的一部港剧，就是从这里认识萱萱的，觉得她之后演的角色都没有小红娘思思可爱            
(4星)	 经典            
(3星)	 叠字印象很深啊。。。安安 欣欣 思思 囧            
(4星)	 我印象里看过的最早的现代tvb现代剧了，那阵子六点多看完了一集然后就和姥姥睡觉，第一次真正意义的超早睡早起            
(4星)	 小时候难过了好久。。。。。。。            
(4星)	 小时候看的，然后相信爱情了…………            
(4星)	 还是老剧好看，表情和动作都很到位，也很搞笑，当然最好看粤语版！            
(4星)	 现在还记得结尾            
(4星)	 这部戏记住了宣萱            
(5星)	 我爱宣萱            
(4星)	 我對宣萱落水的最初 那時她是洪絲絲            
(NA)	 那时看了一遍又一遍            
(4星)	 一直记得。。我叫红丝丝            
(5星)	 青春的粉脸            
(5星)	 小的时候看的。我还看到半夜十二点多。记得最清晰的镜头是最后丝丝变成红线绑着那一对，那对正在结婚。丝丝和安安没在一起我还大哭了。现在也很喜欢。今天重新看啦。发现洪丝丝居然有300年的道行。有这么多年道行都那么蠢。怎么混的。温兆伦那口小白牙，笑起来真甜。我恍惚还觉得玄彬和他挺像的哈哈            
(5星)	 红思思的红线            
(NA)	 好想看这部电视剧            
(2星)	 小时候觉得特神奇的红线            
(3星)	 我有多恶心温兆伦……            
(5星)	 结局很遗憾，喜欢宣萱···            
(4星)	 好看！            
(5星)	 超好看啊！            
(5星)	 现在看起来故事有点单薄 但回忆始终是美好的            
(3星)	 那时的温sir已经看起来有点老了            
(NA)	 童年回忆啊            
(4星)	 我还记得洪思思            
(4星)	 一部不错的轻松时装神话剧。            
(NA)	 早xx            
(NA)	 我竟然看过这个。其实小时候觉着还可以            
(5星)	 结局我是一直记得            
(3星)	 那时候好气萱萱啊，觉得她这个红娘什么都不懂……            
(4星)	 小时候很爱啊            
(5星)	 小时候的记忆            
(4星)	 温兆伦这个时候真滴很帅，可惜最后没能在一起            
(5星)	 喜欢宣萱。。当时可迷信真有这么回事儿呢！            
(4星)	 红娘下凡的故事            
(NA)	 好早的片子，很喜欢萱萱            
(4星)	 萱萱好可爱哦            
(5星)	 小时候喜欢得一塌糊涂！！            
(5星)	 哇 那时好喜欢的            
(4星)	 從此劇開始愛上宣萱，十五年不變。            
(4星)	 一点点玄幻+爱情+温馨，最重要的是还有我喜欢的宣萱！            
(5星)	 小时候印象最深的片子，因为结局不满意，所以一直希望有续集。            
(3星)	 达达的最爱，我竟然没印象，这么多TVB了，他最喜欢的却是我最没印象的            
(4星)	 躲着看的，哈哈            
(4星)	 记得小时候好喜欢的            
(4星)	 爱死了那个小红娘～            
(3星)	 小时候的剧            
(5星)	 接触的第一部港剧！萱萱可爱，郭蔼明温婉，温兆伦那时候真帅            
(4星)	 天降奇缘时，温兆伦是很火的。            
(5星)	 好看的剧啊，经典的剧            
(3星)	 小时迷得一沓糊涂~~            
(NA)	 小时候，，，            
(3星)	 真是一部快乐的剧，某年寒假在有线台看完的，好happy。            
(3星)	 神神叨叨很可爱            
(4星)	 看萱姐當年。            
(NA)	 大爱~小红娘呀~            
(3星)	 当初好像很喜欢            
(5星)	 好怀念的电视剧,还有宣萱可爱的表演!            
(5星)	 好看！            
(4星)	 童年啊童年啊            
(4星)	 那个时候很喜欢郭蔼明哎~~~            
(4星)	 当时特别特别认真的看完了~~嘿嘿，推荐。            
(3星)	 温兆伦 宣萱             
(4星)	 有温sir 有宣萱，我还求什么呢            
(3星)	 久远的回忆,第一次看到宣萱吧好像            
(4星)	 因这部剧喜欢上宣萱，多年之后，仍时常会想起那个纯真又可爱的洪丝丝            
(3星)	 萱萱的红娘超有爱的            
(5星)	 就是爱宣萱            
(5星)	 小时候的我和丝丝一样单纯，只是希望安安幸福，可是，最后，我拼命心疼着丝丝，爱一个人为什么不能在一起？那时候的萱萱，简直是我心中的女神。            
(4星)	 第一次见到宣萱            
(NA)	 第一部TVB  泪奔剧               
(5星)	 这是我看的第一部港剧。。。从此踏上不归路``= =^            
(NA)	 当时还是很喜欢的，现在觉得很傻            
(4星)	 青春的宣萱            
(4星)	 那时候还上小学呢，记得大家讨论这部剧的时候很是热闹呀            
(5星)	 这个结局比的上刑侦档案了             
(4星)	 时隔这么多年，依然能清楚记得里面的人物            
(3星)	 我就是不爱宣萱，各种不爱，无法爱            
(4星)	 以前跟着姐姐一起喜欢温sir~            
(4星)	 当时超级喜欢            
(4星)	 红娘宣萱。。。            
(NA)	 可怜的红娘            
(4星)	 喜欢OO的丝丝。            
(3星)	 温兆伦和宣萱其实也合作过很多次……小红娘“安安，安安”印象最深……            
(3星)	 儿时看的印象深刻呀。。那个红娘居然把自己牵进去了。。呵呵。。            
(5星)	 经典嘛，为啥评分不高。当时很萌温兆伦和OO这一对。            
(5星)	 丝丝，你依然陪伴在长安的身边吗？            
(5星)	 记得当年和老姐俩人因为此片狂迷温某人。。            
(4星)	 10岁以前看的剧 爱上宣萱的开始....其实最近特想重温...可惜找不到片子的下载...            
(5星)	 里面的思思化作红线帮助温SIR和刘夫人              
(4星)	 小时候很纠结为什么最后没有在一起~            
(4星)	 思思........            
(5星)	 这本还是很小的时候看了。看来我很小的时候就开始迷港剧了。&gt;.&lt;            
(3星)	 又是很久以前的剧集，那时还不是很喜欢宣萱，当时这部也还蛮好看的！！            
(3星)	 小时候看的.不是很记得.            
(5星)	 很感人的呀            
(5星)	 小时候哭的不行。那个时候的港剧，比现在做的认真多了。两段恋情都好亮的。最后可怜了小仙女。            
(4星)	 冲着姜大卫和温sir给四颗星            
(4星)	 看这个就喜欢上宣萱了            
(4星)	 第一部看的粤语片。            
(NA)	 人家喜欢郭蔼明 不喜欢萱萱在里面的角色。。。。这部片子曾经非常爱！！！            
(5星)	 泪 小时候的最爱            
(NA)	 我喜欢这个\(^o^)/~            
(NA)	 洪思思            
(3星)	 小时候觉得很好看、现在看看觉得怪来、、、男主男副都同时各喜欢两个人= =、、            
(4星)	 一段美好的回忆~            
(4星)	 很久以前看过，印像中还不错~            
(5星)	 那时候觉得每天能看两集这部电视剧很幸福，清楚的记得一次爸生气不让看电视，错过了一集，觉得好遗憾！重温了一遍，昨天看了最后一集，虽然是这么久的东西了，但是却发现很多细节还是清晰的记得，现在看还是好喜欢这部电视剧！            
(4星)	 很喜欢宣萱和温兆伦在一起。            
(4星)	 这个是偶在小学六年级的时候就看的片子所以如今回想起来 对女主角郭蔼明反倒不注意 轻松自在 有点时装加幻想的片子 宣萱的角色是小红娘很可爱很特别的角色 还和男主角温兆伦演的&#34;安安&#34;有对手戏 虽然洪丝丝最后选择了离开选择了自己的使命来成全温和郭 可是她的幸福却让人充满美好回忆 还有故事发生的海            
(4星)	 哇，好经典的电视剧，老爱看了当时~            
(3星)	 忘了是什么了            
(5星)	 宣萱出头之剧            
(5星)	 哇~就是这本来~红娘最后回去了~好可怜耨~            
(4星)	 温sir彼时正当红            
(3星)	 变为红线也是要和你在一起……            
(4星)	 很久很久以前。。。            
(4星)	 记得当时很感动~喜欢宣萱~~~            
(5星)	 很多年前看的 剧情都忘了差不多 环绕在我心中的TVB杯具结尾之一 五星是因为很怀念啊            
(5星)	 印象中，第一部看到结尾看得哭得稀里哗啦的电视剧。            
(5星)	 我想再看一遍            
(NA)	 竟然是台庆剧，很喜欢            
(3星)	 这个已经久得有点。。。            
(4星)	 很小的时候看的，当时觉得很有意思，现代神话剧，当时应该算很有创意吧！温兆伦很帅啊！            
(4星)	 小时的记忆            
(5星)	 很和乐的喜剧，爱            
(5星)	 从此剧大爱宣萱            
(3星)	 傻傻的宣萱，好可爱。温兆伦很帅。            
(3星)	 很搞的这片 貌似宣萱是天使？迷萱萱那会儿 大概小学一二年级 而且那时候长得跟萱萱很像 真的真的 现在怎么就长成这样了            
(3星)	 只记得红线了 总认为原配的好            
(NA)	 很老的片子。。可是蛮好看的。。记忆深刻            
(3星)	 已经不记得剧情了，只记得当时电视播的时候一直在看            
(4星)	 God...  那时的我还是小朋友            
(4星)	 好童年的记忆了            
(4星)	 童年的记忆啊...            
(4星)	 原谅我吧，当时一直以为宣萱是陈松伶            
(4星)	 最后一集，看的很感动            
(3星)	 宣萱在里面很可爱啊~ 就是结局伤感了点。温兆伦还是好人呢，后来在台剧里都是演十恶不赦的坏蛋的，怀念~               
(5星)	 一瞬间的永恒。            
(3星)	 那时看了真难过。。            
(5星)	 童年记忆，喜欢丝丝的一颦一笑~            
(4星)	 那么小的年纪，看到最后一幕还是哭了            
(5星)	 经典老片，很有趣。            
(4星)	 古代和现代的结合            
(3星)	 宣萱好惨            
(4星)	 可爱的小红娘！            
(5星)	 港剧总是在细节处有真情，即便整个故事纯属虚构。            
(3星)	 看过~~都多少年了~~            
(3星)	 那時候的宣萱還蠻可愛            
(5星)	 青云老婆~那时温兆伦真好看~            
(5星)	 天啊我终于找到我小时侯巨爱看的这个电视剧啦！！！            
(5星)	 小时候看的,非常非常喜欢            
(4星)	 多年前的TVB,什么时候可以重放啊            
(3星)	 其实记得不清楚了            
(4星)	 鹦鹉潜水，哈哈.......            
(4星)	 宣萱（红娘），温兆伦和郭蔼明．　            
(4星)	 儿时超级喜欢的片子！！！            
(3星)	 只喜欢看宣萱            
(5星)	 海洋公园梦~但去了就有点儿小失望-..-情侣去还不错            
(4星)	 在我很小的时候。。。。            
(NA)	 好            
(4星)	 开心到感动            
(4星)	 小时候看的电视剧，呵呵            
(5星)	 十余年,仍没忘记那个精灵可爱的小红娘~~~            
(NA)	 想当年我的歌词本上还有片头曲的歌词呢~            
(5星)	   鹦鹉王子丁长安 姻缘红线牵 错生爱 笑             
(4星)	 好像是看萱萱的第一部剧            
(4星)	 喜欢喜欢            
(4星)	 不喜欢结局。。            
(4星)	 朱古力            
(4星)	 第一次去上海看的            
(NA)	 堕入凡间的小红娘。。            
(4星)	 真的是很经典的老片子了。小时看。感觉真好。。。找来重看一下。            
(NA)	 从这部剧认识尊~~            
(3星)	 歌不错。。一直不是很喜欢宣宣            
(3星)	 思思和安安。            
(NA)	 当年偶还很喜欢温兆伦ing            
(4星)	 很可爱的剧，宣萱是小红娘，安安这个名字很好听            
(NA)	 小红娘很可爱啊            
(3星)	 可以的            
(NA)	 很有趣~~            
(4星)	 好多年了啊            
(NA)	 昨天和爷爷、弟弟、燕子、欧阳夫妇去深圳小梅沙的海洋公园玩，看了海豚表演，音乐很不错，表演也很不错，里面的场景让我想起了当年超级迷恋的这部剧集，从那时候开始喜欢上了宣萱，更喜欢温兆伦了。希望未来的爱人会带我去香港的海洋公园看海豚表演。            
(4星)	 我喜欢宣萱 但是这个戏里我是希望郭蔼明和男猪最后一起的 如愿 O yes~            
(3星)	 还不错            
(3星)	 记得当初的结局不喜欢            
(5星)	 打开我TVB之门            
(4星)	 小时侯的回忆            
(4星)	 小时候看的可有意思了~            
(3星)	 如果这部片没有宣萱……            
(5星)	 宣萱的上位作品            
(4星)	 怀念看TVB的时代            
(3星)	 上初一那会儿这戏很红，连我爸都知道红丝丝，吼吼。还是最爱温SIR的《我本善良》            
(4星)	 蛮开心的一部剧集，虽然时间有点久，但是印象还是蛮深的。            
(3星)	 小学的时候看的            
(5星)	 紅線            
(NA)	 童年的回忆～～            
(5星)	 小时候最喜欢的一部电视剧            
(3星)	 在那个电视不多的年代，还看过            
(4星)	 看港剧最疯狂的时段            
(NA)	 一个时期的看点            
(5星)	 丝丝最后的结局让人很伤心            
(NA)	 恩，看的第二部萱剧            
(4星)	 [BSc] 宣萱刚出道的剧集 难得展现可爱型            
(NA)	 可能是我最早看过有印象的了~            
(NA)	 喜欢，小学时候的了，一直喜欢看            
