http://movie.douban.com/subject/6123976/	最佳爱情 최고의사랑
(5星)	 终于结束了真的真的很棒很不错，编剧很聪明~            
(3星)	 烂尾了，三星半            
(4星)	 车叔帅啊！！酷中卖萌！！            
(4星)	 真的很好笑……哈哈哈~            
(4星)	 其实男女演员长的都一般，但是扑通扑通很好听诶，剧情也挺逗            
(4星)	 为什么韩国TV不管什么类型男主角一定要淋浴？？            
(3星)	 前半部分还不错，后面就拖沓了。男1很帅，却又搞怪。女1太像闫妮了。            
(5星)	 就是女主角不好看呃            
(NA)	 【2011-05-04】            
(4星)	 兜兜转转,爱情的真意或许就是让人不再孤单。            
(5星)	 第二遍看还是觉得很好看。爱死车大叔了。爱死洪氏姐妹了。2011年度最佳韩剧。            
(2星)	 我为什么要看这个。。。。            
(5星)	 近期最好看的韩剧，欢笑中带着感动，两位主演很棒！            
(5星)	 兜兜转转，爱情的真意其实就是让人不再孤单。            
(4星)	 这部剧真是每个演员都喜欢屎了~ 但是剧情做作的不能忍。。。比pasta差太多!            
(5星)	 今年看个俩韩剧之一。幸亏都还不错。。大叔。。太帅！！            
(4星)	None
(5星)	 很好看啊 大叔，捶大腿！！！！！！！！！！！！！！！！！！！！！            
(5星)	 最爱龟毛大叔！            
(5星)	 我的口味比较怪 我觉得女猪脚很好啊 还看了女猪脚演得PASTA              
(4星)	 2011.12其实还是幼稚鬼滴故事            
(5星)	 忒贱            
(NA)	 几张长得像日本人的脸的在演韩剧。。。            
(4星)	 车胜元笑得比金馆长还豪迈。。。。。。都四十一了怎么还能这么萌。。。。。            
(3星)	 我真是不喜欢韩国人老编心脏病、要死要活的剧情。怎奈车大叔实在很帅，所以快进看完了。当然其中还是很有些逗乐的剧情。女主实在长得太普通了，到最后才稍微有点存在感。            
(5星)	 车大叔，独孤真，擦拉诶~~~&lt;3            
(3星)	 这位大叔还是挺有萌点的            
(4星)	 车胜元演技太好了！可爱！！            
(5星)	 独孤真=金洙元+奥斯卡            
(3星)	 车大叔很有趣啊，最喜欢他和叮咚的戏份~            
(4星)	 好看，叮咚！            
(5星)	 车叔太帅了！完全的理想型！            
(3星)	 我是为了看一眼李胜基            
(5星)	 每看完一部美好的韩剧 就有种失恋的感觉 男女主还是蛮有火花的麽            
(5星)	 第一天晚上5集 第二天晚上11集 消灭之 笑的我一脸的褶子            
(3星)	 男二比较好。。当然了这种完美男人是不！存！在！的！            
(3星)	 能看完一部韩剧可真是太不容易了！！10集之前对那些小浪漫、小霸道还有点兴致，之后就依赖健身时间看着手机才完成。从长相到小清新都完全不是我的菜啊。。。            
(NA)	 大叔啊，留鬍子吧            
(5星)	 为什么打五星，因为好久没看韩剧的我，虽然也会觉得这剧有漏洞，有狗血，但不得不承认，孤独镇真的满足了我对男友的一些设想，尤其是最后几集，我居然一直是面带微笑看完的，由衷的，真心的，所以，最佳爱情，最佳。            
(4星)	 熬个韩剧很困难啊…赠送一颗星附加分给男猪脚~            
(5星)	 是我看过最不挠心的            
(4星)	 面瘫的大叔啊 你咋那么有爱！！！            
(5星)	 看完了独孤真怎么办才好，还有什么可以看的！！            
(4星)	 屁眼振            
(3星)	 大叔卖萌害我每集都笑死，一直不明白女主角是怎么红起来的，不懂。编剧一定是腐女，这两个编剧一定要编点男主角跟其他男人让误会的镜头。            
(5星)	 好幸福噶结尾，令人对爱情好有期望            
(4星)	 各种优质元素集结一身的剧，男主有点大叔~一口气看完~过瘾~            
(4星)	 一直忘了记录了 很喜欢 车大叔是真心萌            
(3星)	 看不下去了，白瞎了三个好演员。            
(5星)	 차승원 叮咚~~            
(3星)	 看了一半只喜欢独孤真。女主麻烦和男二在一起啊，伤害那样的男纸你怎么好意思..........            
(4星)	 车叔啊，一把年纪还能把偶像演的这么迷人，唉，怎么办啊。            
(2星)	 呃……对大妈大叔的爱情无感……            
(4星)	 真的好好看啊，车胜元实在是太有爱了，尹继尚居然是GOD里的，我竟然没认出来，仁娜虽然很美艳，但是越看越可爱，都好喜欢啊，哎呀，什么李民浩都是浮云了，车胜元太有魅力了。            
(5星)	 一天没吃饭了。就光看这个了。结果突然有人出现说要请我吃饭。吼吼吼。有的时候，跟着自己的心走，不要想太多，也未尝不可。            
(3星)	 前半段还行，节奏也不错，但是10集开始就看不下去了。。。            
(4星)	 车胜元大叔太萌啦！！！！！！！！！！！！我敢说这个剧没有他的话肯定是烂片，车胜元大叔是唯一的亮点啊！孔大妈！！你就不能多保养包养你的大妈脸么！！！你真太丑 了！！！还有你那见鬼的衣服啊！！！谁给你搭的，丑毙了！！！！            
(3星)	 “叮咚！”            
(5星)	 “獨孤是愛貞的禮物～叮咚～”            
(5星)	 太有爱了&gt; &lt; 独孤真~~            
(5星)	 太萌了 男一！！！油油的 又幼稚 却又大叔的外表 赞呐            
(4星)	 我是凭着对车胜元多么强大的毅力以及我是多么无聊才看完的啊？！！评分上8简直是荒谬，估计大多数都是给车胜元的吧！！3星真的很勉强给的好吧 这是从没有过的事 回味了两天加上对车帅的越发迷恋以及雅典娜可以那么烂的垫底 我觉得多给一星···天哪 我的良心被吃了            
(4星)	 虽然男女主角都很老，不过很好笑，笑死我了。。。            
(5星)	 为了车胜元            
(3星)	 大叔真帅，但我没看完。            
(4星)	 车大叔好萌啊，太可爱了吧。好白菜都被猪拱了，不过这只猪也很可爱呀。            
(5星)	 只怪大叔太过帅气……            
(4星)	 车胜元很有男人味，孔孝真很自然。            
(4星)	 车大叔帅惨了，全泡菜国最帅啊有木有！！！            
(4星)	 很不错哦，第一部看完的汗国电视剧。女主有点磕碜倒是。            
(3星)	 好白菜都让猪拱了&amp;我怎么还没拱到好白菜啊            
(5星)	 真的好看也~            
(5星)	 卖萌太可耻了！！！！啊~~~阿加西~~            
(4星)	 相信爱情            
(5星)	 叮咚好可爱！            
(3星)	 大叔老是自言自语啊！虽然大叔很可爱，但是太喜剧的电视剧不是我的菜呀~！            
(3星)	 老男人卖萌，老女人卖怜，我相信被误解而非好感的艺人是存在的，但像女主这样好命的就少之又少。软广告暴多，爱情太美好就觉得不真实，搞笑太夸张就不觉得好笑。看下去的理由：车大叔的性感嗓音；可爱的叮咚；出现善德女王和秘密花园的音乐和大叔的刻意模仿让人倍感亲切，金南佶还以非演出形式出现呢。            
(4星)	 很久没这么用心去看韩剧了。生活需要勇气，爱情也如此。            
(4星)	 这个大叔有点酷。            
(4星)	 男主真的很搞            
(3星)	 没火是有原因的。。            
(NA)	 最烂爱情好么！！！一点都不搭！！！车大叔你还是和三顺好么！！！            
(NA)	 看了一集..然后弃了            
(5星)	 心水剧第二名，好感度直逼金三顺。。。感叹孔孝真一次拿下我好感的两个大叔。。。            
(4星)	 妈啊!太爱独孤真大叔了!演戏的方式太有爱了....            
(5星)	 两个人在大庭广众之下仍然坚定地手牵手，不管任何人的目光和打击。这一刻，完全美好，o(*≧▽≦)ツ 。李民浩什么的才不算神马呢，车胜元这种老男人才是我的菜好吗，喜欢死了。(≖ ‿ ≖)✧            
(4星)	 能被这样的男人喜欢真是幸福到要死哇。如果女主能再漂亮一点的话就给五星啦，至少不要是地包天啊。            
(4星)	 老师老是推荐我们看这个剧啊。。。            
(5星)	 车大叔的演技实在太赞了……            
(5星)	 浪漫爱情喜剧也能让人感动流泪啊。原来看大叔与大婶谈恋爱也这么有乐趣。两位演员演技太棒了，71年的大叔卖萌也如此有看头，大饼脸的大婶哭起来也能让观众感同身受啊。我看过的最梦幻却又最现实的韩剧            
(4星)	 对看腻帅哥美女搭配狗血剧情韩剧的我终于可以转换口味了。#最佳爱情# 里车胜元成了二百五，孔孝真带着平仄脸和法令纹把大叔迷得晕头转向。相较宋慧乔,这孝真与其隔着天上地下的距离;比起整容过度的女星,她倒还算保有本色;而比较佟掌柜闫妮，孝真还真像她妹啊。            
(5星)	 冲孔孝真看，车叔赤果果地卖萌啊！叮咚好可爱～～            
(5星)	 看车叔初恋真太得劲了！            
(3星)	 看不出好看在哪里。。。为什么评分那么高            
(3星)	 我竟然推荐给旺财姐，看到最后才发现剧情真的蛮狗血的。车胜元你努力卖萌的模样我看到了，希望这是最后一次，你知道你不适合这种风格。&amp;洪氏姐妹编剧我不喜欢你们。            
(5星)	 我给出力荐的理由，对于这部韩国当季最热的电视剧，在韩国掀起的热潮非同小可，单是那句‘叮咚’！就是随处听的见，更是手机铃声下载第一！拋去孔孝真胖嘟嘟的脸蛋儿不提，只说她在剧中的服装搭配，就又是一阵时尚旋风刮过来，想跟着韩流走，你怎么能不看？！人车胜元为这部剧都刮去那么多年的胡子了呢            
(3星)	 车大叔的口音怎么那么怪？？？            
(5星)	 说了被车叔击中了....卖萌撒娇的大叔伤不起啊！！！            
(4星)	 原本想和某人一起看得 结果因为是连续剧就放弃了 结果还是一个人看。男主感觉上除了性格和某人很像啊!还没看到结局，不知道会不会大团圆结局啊!期待            
(5星)	None
(3星)	 没有想象中的那么好看。搞笑成分偏多。就是一颗好白菜被猪拱了的故事。            
(4星)	 算是2011上半年看过最好看的韩剧了。            
(4星)	 独孤真这样男人喜欢            
(4星)	 看车大叔卖萌，女主要是金善雅就好了            
(5星)	 大叔太帅了！！            
(4星)	
(5星)	 车大叔 演技不是盖得            
(5星)	 我是多少年没有遇到一部这样看得下去的言情剧了…………            
(5星)	 车叔身材真..！车叔喜感起来真...要人命！！哎呦，上哪找这么又贱又可爱的大叔！！中毒了..一只脚迈向叔控领域..... 啊哈，小助理任智圭演技很到位的说，小助理和文代表的演技都是亮点. 结尾很仓促，圆满的很苍白.败笔.             
(5星)	 完全没想到能让我完全沉沦的爱情剧            
(4星)	 身体不舒服时躺在床上看了一天解闷儿。不得不说霸气又稚气的男主角是女性观众的通杀。虽然两个圈内人的恋爱部分反映了演艺圈的内幕，但是在一部主打浪漫牌的韩剧中，这些不过是枝叶，一切仍然是童话的铺垫。            
(5星)	 大叔真是够2够幼稚            
(4星)	 第三季····没有想要弃的感觉，忍过第一集前一半后面就挺好的，女主太像闫妮，有点儿囧囧的            
(NA)	 自从看了我的女友是九尾狐 之后 觉得韩剧还不错  很轻松            
(5星)	 大爱男女主角。            
(5星)	 灰姑娘和大魔王的故事，爱死车叔叔了！！！            
(5星)	 车叔太给力了，哈哈哈哈哈            
(5星)	 编剧牛！！！            
(NA)	 叔范儿的~            
(NA)	 院长好萌。。。&gt; &lt;            
(5星)	 车胜元刮掉胡子即刻年轻十岁啊            
(3星)	 3顆星全給演員。看到主演里有《市政廳》的車叔和《pasta》的孔姐，我就決定追此劇。結果怎麽好的卡司爛在這麽幼稚的編劇手裡，後面幾集完全失控。如果不是車叔和孔姐撐著，這就是部大爛劇。再次證明：光光演員靠譜是沒用的，編劇靠譜才是關鍵。看到洪氏姐妹，請自行繞道而行！！！            
(4星)	 不难看，也没觉得超越《秘密花园》，大概大叔卖萌不是我的菜。开始和后期高潮还行，中间和尾巴都是快进才能看。            
(5星)	 好好笑啊            
(5星)	 不捨的追完了，我又再次中了車大叔的毒！！            
(4星)	 大叔啊，迷死人了            
(5星)	 这个真的很不错            
(4星)	 车胜元气场真的是太强了！他还是留胡子有味道~~~~            
(5星)	 车帅帅爆了。韩剧果然是骗人的！现实是残酷的！这么任打任挨还不离不弃的男人是不存在的！            
(3星)	 比市政厅差了不少，不过其实演的还不错。三顺姐，你啥时候回来啊。            
(5星)	 超搞笑。主角演技很好，叮咚很可爱            
(4星)	 后面还是有点韩剧的拖沓，开头很有趣~~            
(4星)	 洪氏姐妹的一贯水准。不功不过。某些地方看的我很唏嘘。            
(3星)	 尹启相、李姬珍、郑俊河、小孩挺有爱~            
(2星)	 都是女主的错。。。。。            
(5星)	 车大叔~~桃心桃心~~很好看的一部剧~~            
(5星)	 从此迷上车帅            
(4星)	 别再说什么好白菜都被猪拱了  别人的最佳爱情轮不到你来说三道四。 噢噢噢原来大叔才是这个世界得以维持下去的正义\(≧▽≦)/  太乐了~太萌了~太有爱了！            
(2星)	 这年头做韩剧都不需要智商            
(4星)	 中年爱情也开花怒放 开得无比怡人芬芳 ps.剧中的小盆友叮咚这个角色安排得很好呀            
(5星)	 哦哟，从头笑到尾，两位主角都太喜欢了，车大叔真有爱~            
(4星)	 卖萌大叔闪闪亮            
(NA)	 04            
(4星)	 洪氏的剧真的很好看            
(4星)	 虽然编剧是最爱的洪式姐妹，车胜元大叔演得很可爱，但韩剧真是越来越忍不下了。            
(NA)	 6集弃  韩剧真是好无聊啊，被说成那么好，也就前三集有点新鲜感。。。。。。。。。            
(5星)	 只要撑过第一集就会发现它爆好看啊！！！大妈也会越看越顺眼！！大叔也越来越可爱啊亲！！！还有完美的结局哦！！！            
(5星)	 最爱的大叔没有之一            
(3星)	 不知道要守候别人看来纯粹你傻换的自己幸福的东西，自己会觉得开心吗？非要把别人的事情背到自己身上会显得比较伟大吗？会觉得幸福吗？这是自虐还是觉得活着开心就过不去呢？？？完全无法理解            
(5星)	 唯一一部没有快进看的韩剧！！            
(5星)	 大叔卖萌卖得好看死了！！！！！！！！！！！！！原本四星的剧完全冲着大叔多给一星啊！！！！！！！！！！！DING DONG~！！！！！！！！！            
(5星)	 目前为止今年最佳韩剧            
(5星)	 大叔我迷恋你，还需要其他理由吗            
(3星)	 男二还可以。。。             
(3星)	 洪氏姐妹的伎倆感覺沒新意了 三星全部給車大叔這叫一個有勁呀            
(4星)	 呵呵 好玩儿 女主老了点 越看越像佟掌柜 囧            
(3星)	 估计评论好的都是九零后不？周末不上班无聊找点韩剧度过，看了只为韩国演员捏汗哪，自杀那么多，原因这部戏里都有说了。不过挺搞笑的呃。            
(4星)	 车胜元太喜感了。还好只有十六集，再续的话要烂尾了。            
(5星)	 男主是在是可爱。            
(3星)	 后面都不好看了！            
(4星)	 孝珍姐姐是我第二喜欢的韩国女艺人。            
(3星)	 刚开始看那个喜欢啊，女主喜欢上男主后追不动了……            
(4星)	 主角大好            
(5星)	 继《他们生活的世界》后，最赞的韩剧~我想在这糟糕的现实里，给你最佳的爱情。            
(5星)	 不错            
(5星)	 -            
(4星)	 还是对孔孝真无感。。。车大叔魅力无穷啊~~            
(4星)	 渐渐的，对韩剧的梦幻有所抵抗。但车大叔实在太可爱。            
(3星)	 其实挺没意思的            
(5星)	 编剧至今为止最好的作品+好演员好演技加持            
(3星)	 明明开场不错的剧 怎么到后面狗血洒地如此鲜艳。跟CH比起来 差太远了 金姐跟车叔才是绝配啊…            
(5星)	 有演技的大叔最帅了            
(2星)	 看到10弃~果然还是受不了韩剧的磨磨唧唧，不过有些桥段挺漫画风日系的，ost不错~            
(4星)	 很搞笑。。。本来该5星，可是女主角实在太丑了。。。。开始那个十年前的长发造型就很大妈。。减一星。。。。            
(2星)	 对孔孝真的脸喜欢无能啊            
(5星)	 承认这个事情太羞耻了，一把年纪了被车大叔搞得五迷三道！还有男二，你还能更完满一点吗？未免也太可爱了。。。            
(4星)	 女主衣服好好看啊 太喜欢车叔 怎么这么好看 身材这么好简直了 果然无赖又心地善良可爱的大叔人人爱啊 是金朱元开创的韩剧男猪脚新模式啊 哈哈            
(4星)	 前面不错 最后4集又开始虎头蛇尾了            
(3星)	 怪蜀黍的表情真给力            
(5星)	 更虐更好看~            
(4星)	 车大叔，你敢再帅一点。            
(4星)	 最近超迷车叔叔，孔姐姐一直很有爱，尹启相是曾经的好感。            
(3星)	 前面还可以，到了10集之后坚持不下去了，弃剧，剧情实在太弱了            
(5星)	 大赞，车大叔魅力无穷啊，好爱~~~            
(5星)	 超搞笑啊．笑死了哈哈．她哥哥放屁那．．．笑死了．            
(4星)	 叔！！你是实力派啊！！！！！！！！！！            
(4星)	 看完12集！弃了。。车叔跟孔嫂真的是演技派。。所以之前的12集异常搞笑！之后必然陷入泡沫剧的怪圈。。就不多说了。。            
(4星)	 看到后面觉得一般            
(4星)	 4星全给男主了，剧情一般，女主太假了。            
(5星)	 超级好看！！强推！！大叔你还敢再萌点吗！！熬过前两集啊大家！！            
(5星)	 두근두근 두근두근 두근두근            
(5星)	 和男二好吖。摔。。。            
(4星)	 同学都因为男女主角的长相看不下去，只有我坚持到底了。最喜欢这部戏的地方是配乐的出离感。男主角去医院看他打伤的奸男，放的音乐居然是《花样年华》里每次两人相遇的配乐！            
(NA)	 完全想起大学时大家一起看《情书》的场景啊。            
(3星)	 烂尾！！！            
(5星)	 男猪脚演的太绝了。笑死了。            
(5星)	 2011年最给力爱情！！！强烈推荐《最佳爱情》            
(4星)	 让我回到少女时代            
(NA)	 卖萌的大叔最可耻了啦 (ˉ﹃ˉ)            
(5星)	 车胜元的搞笑功力不是盖的            
(NA)	 女主角那么老，我怕我要撑不住了……            
(3星)	 男1卖萌，男2卖呆            
(3星)	 老男人才是王道哦~            
