http://movie.douban.com/subject/1922656/	法证先锋
(5星)	 you are my angel            
(5星)	 BOBBY!            
(NA)	 昨晚和我妹看这个看到三点半...囧            
(5星)	 等了那么久，于是真的没3了么。            
(3星)	 审美疲劳了~~~            
(4星)	 林文龙和钟嘉欣实在不配            
(5星)	 我喜欢蒙嘉慧！            
(4星)	 每部TVB都有一个完美的男人嘛，真是            
(NA)	 不太记得了            
(4星)	 喜欢欧阳震华~!            
(NA)	 蛮好看的啊~港版CSI            
(2星)	 这部制作有些简陋，情节较假。            
(3星)	 其他都不错。。。最讨厌的就是欧阳震华他们几个经常装博学，台词比较狗血。。            
(5星)	 依然是国庆期间看的。。。不错～我喜欢这类型的～            
(NA)	 06            
(4星)	 林文龙！            
(5星)	 先看II后看I果然比较容易穿越~死人都活过来了-_-||。林汀汀这种讨好的角色tvb为啥米总要给钟嘉欣大包子来演……            
(5星)	 比较牛逼了            
(3星)	 震华哥警察当了个遍            
(5星)	 蒙嘉慧好漂亮啊~~            
(4星)	 大一。那时侯好象整个系都在看。            
(4星)	 还不错，虽然不能称为经典。            
(3星)	 比较典型的tvb侦探剧            
(5星)	 虽然太多的结局和情节都被我提前猜到了····但是还是很精彩的电视剧。            
(5星)	 法医居然曾经是我的一度梦想。。。小时候的想法果然很不靠谱。。。            
(4星)	 太好看了，kill time kill time            
(NA)	 就一感觉：科学技术是第一生产力            
(3星)	 蒙嘉慧            
(4星)	 蒙嘉慧的madam好有型！            
(4星)	 總覺得蒙嘉慧説話有點含糊...            
(4星)	 蒙嘉慧。。。            
(5星)	 算好看了~            
(5星)	 好看，没那么多情情爱爱，剧情很紧凑。            
(3星)	 不喜欢蒙嘉慧当madam的feel.2比1好看很多            
(5星)	 林文龙~~你蛮帅的嘛~~            
(4星)	 如果没有钟嘉欣我会打五个星。            
(4星)	 还不错。            
(NA)	 很不上瘾的TVB            
(4星)	 很喜欢TVB的警务剧.            
(4星)	 8错~~~~            
(5星)	 超喜欢！！先看的第二部！！            
(4星)	 第一部好看            
(5星)	 喜欢TVB的警匪片            
(5星)	 长见识            
(3星)	 跟姐看到三点，是凌晨            
(4星)	 林文龙 帅            
(4星)	 走过必留下痕迹            
(4星)	 TVB的破案片原来还有点意思啊            
(5星)	 这编剧肯定是警官或侦探在赚外快。            
(3星)	 我是想看第二部里的郑嘉颖。很烦高彦博。            
(5星)	 精心肉跳的            
(4星)	 鉴证实录，法证先锋。            
(3星)	 鐘嘉欣醜的令人髮指。            
(2星)	 案件太痴呆了...            
(3星)	 没有 佘诗曼 的感觉真好            
(NA)	 好看            
(NA)	 蒙很像李嘉欣，我很喜欢钟嘉欣啊            
(5星)	 超级好看~~            
(5星)	 精英之作            
(4星)	 难般一次也追追港剧......            
(3星)	 很早之前就看过了，喜欢看罪案的片，但发觉TVB的很多都是模仿CSI的            
(NA)	 我的大爱啊~~尤其爱震华            
(NA)	 超级想看的            
(5星)	 相当好看            
(4星)	 最近痴迷            
(4星)	 我家蒙嘉慧就是帅~~            
(5星)	 听完了            
(2星)	 Tim Sir的學識太迷人了 !!..案子們都還ok,主角們的私人感情、家庭生活拍得太多太白開水。..整体上中后部分比前十集好看。..(我真是太讨厌钟嘉欣了,一身土气走路腿分叉,正好这次演个自信白痴岔巴子,几衬额..雷死我了..)            
(4星)	 近两年 少有的出采            
(4星)	 喜欢这种风格的。。。            
(5星)	 经典。超级喜欢里面的小柔和Sam。剧情经凑情节不拖沓且情感内容不多。            
(4星)	 最后的案子才好看，前面的好无聊。            
(3星)	 一般般了，还不错~            
(2星)	 看过CSI再看这个……简直儿戏= =            
(4星)	 算现代版洗冤录吗？~~            
(4星)	 1比2好看多了            
(4星)	 当然比不上CSI            
(5星)	 增加我的观察力！！            
(4星)	 欧阳震华就是票房保證。香港的法證片總是很吸引人。            
(4星)	 欧阳震华            
(4星)	 案子不错,有搞笑成分就更完美了,林文龙帅气,钟嘉欣漂亮            
(5星)	 科技好发达 拿出来的东西看都看不懂的 是部好看的剧            
(3星)	 为了yoyo和bobby还有文龙看的。包子恶心到我了。            
(4星)	 林文龙越来越有味            
(3星)	 欧阳胖胖又长胖鸟，不喜欢钟嘉欣不喜欢蒙嘉慧            
(5星)	 钟嘉欣。            
(5星)	 又一部《洗冤录》的现代版            
(5星)	 好看，我喜欢            
(4星)	 案子挺好玩的            
(5星)	 蒙嘉慧！！！            
(3星)	 翻版CSI竟然            
(3星)	 香港作品一贯喜欢的主题            
(5星)	 Tracy那个连环杀人案看得我巨害怕，差点找妈妈陪觉啊！！！            
(4星)	 案子比第二部有意思            
(4星)	 很紧凑，很经典，爱情戏份多余            
(4星)	 科学技术是第一生产力啊~~~            
(3星)	 打发时间还是很不错的            
(5星)	 最后一幕太帅了，大家一起掏出call机，可是2005年香港在用call机？钟嘉欣这部难得没有那么讨厌...林文龙和另一个男的长的一样，分辨不能...            
(5星)	 蒙嘉慧好美啊。欧阳震华好man啊。            
(3星)	 昨晚11点过看完的。上周末本打算和周贱贱一起看《现代启示录》，结果他说想要看点轻松的。于是我们翻出这部老片看了起来。不过故事还可以，连环杀人案和最后一个都不错。我很快猜出了最后一个案子的凶手，还因此洋洋得意了一番。            
(4星)	 第一部最好看！！！！= =            
(5星)	 欧阳正华看着真舒心慈眉善目心宽体胖的样子哈哈，蒙嘉慧好漂亮啊，钟嘉欣演了这么个讨喜的角色却觉得好装啊完全喜欢不起来。            
(3星)	 越来越觉得这一系列的片很基友。。。。            
(5星)	 蒙嘉慧很耐看。            
(5星)	 蒙嘉慧这里的造型很美。第二部真的不好看~            
(3星)	 看完此剧我宣布讨厌蒙嘉慧：口齿不清声音难听，整天瞪眼，无演技可言。            
(5星)	 聪明人            
(5星)	 好看            
(4星)	 蒙嘉慧美死了，第二部就残了。            
(NA)	 【2006-06-13】            
(4星)	 看完法3忍不住又回顾法1和法2，我喜欢胖子是有来由的呀，我记得我以前看电视的时候和我妈说过我喜欢欧阳胖子这种类型的XD            
(4星)	 好久没看港剧了，看到后面才发现蒙嘉慧挺漂亮的～            
(2星)	 TVB电视剧版 &lt;走进科学&gt;            
(NA)	 刚仔好萌~喵了个喵这剧其实好主旋律~            
(NA)	 杀时间。            
(5星)	 看人物的，超喜欢蒙嘉慧，超美            
(4星)	 1好2更好3还好，但是3给我看害怕了奶奶个抓的，天眼少女和最后EVA死时候真的瞎完完地了。。            
(5星)	 好看是好看 但总是莫名其妙出现拉丁舞曲的配乐是要闹哪样。。。            
(5星)	 好好看啊             
(5星)	 蒙嘉慧是我的菜！            
(5星)	 还是欧阳震华hold得住场~tvb男演员中为数不多这么hold得住场的！            
(3星)	 有些地方的台词是在是没有存在的必要，好像只为了显示职业的专业性，拜托还有人生命危在旦夕好吗            
(4星)	 大半夜看法政的伤不起啊！！！！1一会一个死人特写日啊！！！！！！            
(4星)	 最喜欢欧阳震华啦            
(4星)	 我就喜欢看警察抓坏人~~~            
(2星)	 凭什么对纳税人那么凶啊，你没证据证明我是凶手前请闭上你那张污蔑的臭嘴！屈打成招如果是必要的程序的话，花那么多钱买的机器是干嘛的啊，建立那么大个烧钱的机构干嘛的啊，收集那么多信息干嘛的啊！            
(NA)	 靠谱！好靓的madam～            
(4星)	 确实比三好看，除了不满意男主            
(5星)	 每个案子看不到一半就能猜到凶手！！            
(5星)	 好港很鉴证实录哪~有法医剧情就能上升一个档次~            
(3星)	 【三星半】案件都比较普通，不及十年前的《刑事侦缉档案》和《鉴证实录》。            
(4星)	 情节有点儿弱智，但是用来打发时间相当靠谱            
(3星)	 快忘了剧情了~            
(3星)	 案件部分太啰嗦；不知道又蠢又笨的林丁丁存在意义是什么（之前本来还蛮喜欢钟嘉欣的）；但是家长里短还蛮温情有爱的。            
(3星)	 其实还不错，但是真的受不了钟嘉欣……            
(4星)	 那年大家都好年轻            
(4星)	 最后一个案子很精彩            
(4星)	 第一部总是最经典的            
(3星)	 港版的CSI。还是tvb的典型编剧，很多巧合很多说不通。感情戏一律快进了。还是鉴证实录最高啊！            
(4星)	 姐姐要看一起看的            
(4星)	 本来是有一集没一集地看，不过欧阳震华老婆死那段吊起我胃口了，还不错。话说，给钟嘉欣配音的姐姐一定很讨厌她，所以配的时候故意一个字一个字吐，本来看着就挺弱智了，这么一来听着更弱智，真是全方位~ 蒙嘉慧的外套很喜欢！感觉和Backett的风格很像！            
(4星)	 终于看完了第一部，剧情还算是老套，但是演技确实不错            
(5星)	 tim sir是中流砥柱。蒙嘉慧一開口講臺詞隨時跑音= =這樣的天分缺陷怎麼好當演員。            
(NA)	 刚看的时候觉得钟嘉欣不错啊 ~~            
(4星)	 虽然不是TVB达人，虽然总是有很多俗套让人一猜就中，虽然总是所有主要人物排列组合好几遍凑成对儿，但是明显爱港剧胜过内地剧台剧韩剧，也许是那种节奏感也许是那种工作生活态度。蒙嘉慧很靓啊，她的梁督察的办事风格总是让我想起前上司Emily            
(4星)	 兴趣            
(4星)	 想起08年暑假，呆在空调房里，和老爹还有豆猛一起看的日子。            
(3星)	 1确实好一些，尸骨案是必须。            
(NA)	 以前看的            
(4星)	 第一部是还不错的～第二部是垃圾言情剧=，= 第三部也还行蛮搞笑的～            
(5星)	 荔枝变成里面的蒙嘉慧            
(4星)	 香港TVB的老演员啊。台柱子就那么几个~从陀枪师姐到现在的剧~ 欧阳震华真适合演警匪剧啊~            
(3星)	 生生把刑侦剧注水注成言情剧。。。            
(4星)	 编剧很用心铺陈细节 节奏快 剧情不拖沓             
(NA)	 弃了            
(3星)	 结尾的那段也跟csi有点像啊。。。            
(4星)	 20111108            
(4星)	 凶案现场有点假。。            
(5星)	 不错哟-。-            
(NA)	 学粤语啊  学粤语            
(5星)	 灵 不过还是不喜欢 那个包子脸            
(5星)	 不矫情又有学问 电视剧里的好片啊。其实还蛮喜欢最后的tracy            
(5星)	 好看！            
(3星)	 很花痴的为了看蒙嘉慧把这部戏看完了。。。。。            
(5星)	 好看死了。。            
(4星)	 蒙嘉慧真美！以前的TVB就是好看  现在的TVB啊   那叫一个让人失望啊~~~~~~            
(4星)	 记得当时迷过的，欧阳震华+蒙嘉慧            
(5星)	 经典系列，我的最爱！            
(5星)	 我怎么一直觉得蒙嘉慧比梁咏琪漂亮呢？            
(4星)	 钟夹心真他妹的恶心！            
(3星)	 陀枪师姐以后很难得看过这么喜欢的组合~            
(4星)	 为了法政3补的1和2，结果发现原来3最难看……            
(NA)	 疼到出冷汗啊            
(4星)	None
(4星)	 没办法，就是很好看╮(╯_╰)╭            
(4星)	 第一部要比第二部纯粹的多，感情戏和案子能结合在一起，也是典型的港剧犯罪片风格。            
(4星)	 近年来看过的国内电视剧里唯一一部从头至尾没快进的一部，除了钟嘉欣略感傻逼，其他都蛮好。但是到了后半部分推理还是变弱了，常常上来就猜到凶手真是太无趣了……            
(4星)	 各种案件当中穿插感情戏，就像是下课了休息一会，有时候这些休息显得有点多余。            
(4星)	 还是有进步的，            
(4星)	 除了天真二货妹顶唔顺，其他都有爱。            
(5星)	 第一部总是好的。以前看的。            
(4星)	 总算看完了，看第二部咯~！            
(3星)	 最近这几天《法证先锋》一直是我宅家生活的背景音乐。            
(5星)	 这才叫法证先锋！感情线也很棒            
(NA)	None
(4星)	 蒙嘉慧太有了            
(5星)	 第一部，没有郑嘉颖出现的时候还是很正很直的……            
(4星)	 情节仍然紧凑，就是人不对味            
(NA)	 俺就喜欢欧阳震华啊~~~~~~~~蒙嘉慧俺也好喜欢啊~~~~~            
(NA)	 还是喜欢第一部，都拍了2部了，怎么连个碎尸案都没有！不完整不完整！            
(4星)	 好看好看！            
(NA)	 把钟嘉欣踢掉就好了~蒙嘉慧好~/看了一半不想看了            
(4星)	 鬼死咁种意~            
(3星)	 无爱            
(NA)	 查漏补缺            
(4星)	 案件不错，说教不喜欢。早期对蒙家慧印象不太好，这里比较改观了；另真心觉得欧阳震华不适合太过严肃的角色            
(3星)	 前记：仪器、手法更精进，却没有了鉴证的味道。也许刚刚几集的缘故，希望随着剧情深入会好一些。后记：TVB一如既往的大团圆剧集。最后一个案子刚刚拉开序幕就已经命中结局。有时候越是想出人意表，却往往束缚手脚，编剧路线无法得到开拓。看完加半颗吧            
(4星)	 就让汀汀和阿琛永远停留在第一部吧！            
(NA)	 蒙嘉慧~~              
(4星)	 粤语学习参考            
(5星)	 哎，我总是一下子就猜到凶手了，我果然港剧看太多，那些凶手就长着一张坏人的脸╮(╯▽╰)╭            
(5星)	 以前看的时候觉得真的很不错，最近突然想看TVB了，但好像找不到这样的好片。            
(NA)	 不看了 戒电视剧。。。            
(4星)	 再观现世，尤其是大陆，我仍然不可能相信法理能够真正的公平。然而有一个乌托邦的臆想存着，到底能照亮一点这世界的暗角，也让人心存一点善念，留一寸巴望。            
(4星)	 还是小时候的口味，TVB警匪什么的最喜欢了。            
(4星)	 那个什么女主角我感觉蛮有型滴。            
(5星)	 經典～            
(NA)	 TVB的片子拍的是真不错啊            
(5星)	 哎呀，复习了一遍啊，还是觉得是21世纪最喜欢的TVB之一啦，案件棒，死人也没有太血腥，虽然有些地方还有硬伤，卡司我非常喜欢，看惯了老面孔，这个组合好看啊，古泽琛是世界第一好男盆友，有没有啊！丁丁超幸福啊，三点水旁的竟然打不出，还有那个很骚情的配乐啊。。。            
(5星)	 蒙嘉慧挺漂亮的。            
(5星)	 喜欢夹心的那个角色~单纯而美好            
(4星)	 法医推理类的片子还是TVB的好~            
(3星)	 补            
(4星)	 喜欢汀汀和阿琛这一对            
(NA)	 还不错，欧阳震华是最有风度的胖子~~洪金宝是身手最敏捷的胖子~第二部不好看~~蒙嘉慧一换发型简直变了一个人~有几个案子有点太巧合了，警察也是挺笨的~~            
(5星)	 华数刚出现的暑假，和老爸妈仔一起看完的！怀旧一把系列~相当的怀念！            
(4星)	 卡并脑补着看完了 连结局都是脑补的 ... 预备出门找卖D版的阿姨算账            
(3星)	 哎 为什么我看TVB看得总能变成一只面瘫兔纸= =            
(NA)	 每个出场的人都是有用的。片子涵盖很多种情感。旧情、新爱。告别错的人才能遇见对的人。只有对的那个人才会合拍。坏橙子因为不舍得扔掉吃下去会拉肚子所以类见仁见智啦。            
(5星)	 蒙嘉慧林文龙也好配呀            
(3星)	 还是第一部好看，三星半            
(4星)	 我发现我看的港剧里基本都有欧阳震华            
(4星)	 边看边开船- -,虽然凶手都很好猜.            
(3星)	 香港人模仿CSI，借鉴得很用心，还行            
(4星)	 女主角漂亮。            
(4星)	 当年还不知道蒙嘉慧的存在，总觉得林文龙长得呆呆的，曹永廉蓄须很帅            
(5星)	 大爱！！！ 觉得科技真是太给力了！~~~            
(5星)	 看完了            
(4星)	 好看            
(5星)	 里面的主角好惨，差不多80%的案子死的人都是和他们有关系的，身边的人这么死下去，这个职业还真是危险……汀汀的性格真好，喜欢她的性格~蒙嘉慧演的小柔就太刚烈了，其实演的没什么特点，不过她是我心目中最理想的白素形象~            
(4星)	 你们家真是没落了。            
(4星)	 还是老片子经典            
(4星)	 还是不错的呢，最近又开始回味TVB了……好怀念的说。            
(2星)	 一直追CSI，看了这片后，觉得很别扭，很假很幼稚。            
(5星)	 TVB的刑侦片这部之后就没好的了。。。            
(4星)	 不喜欢感情这条线            
(4星)	 破案类剧集中还成吧~技术含量高~案子够BT~对我的口味哈哈哈~            
(4星)	 我的蒙嘉慧啊 omg            
(5星)	 更爱推荐我看的那个人            
(3星)	 这里面的蒙嘉慧好正啊，长发和马尾都很有型。            
(4星)	 就是爱欧阳震华            
(3星)	 陈胖老师告诉我们 TVB 上层次            
(4星)	 如果不是案情太弱就五星了。            
(4星)	 我快嚇死了！！！不過還是追著看，好變態啊！！！暫時需要陽光  陽光  陽光來客串一下            
(4星)	 还不错，就是没有鉴证实录那么经典~ 我不太喜欢蒙嘉慧，四白眼很恐怖~            
(3星)	 欧阳震华虽然不帅，但为什么如此迷人。            
(4星)	 胖子里，我只爱你~~            
(4星)	 刚陪老妈看完            
(4星)	 蒙嘉慧其实真不错~            
(4星)	 虽然跟鉴证系列的没得比，但都算ok啦~            
(4星)	 蒙嘉慧灰常漂亮啊...！！！            
(4星)	 对蒙嘉慧感觉不错～            
(4星)	 周末和老婆在家里没事，居然看了2天电视。好久没像这样看电视了。            
(5星)	 挺喜欢欧阳这个大冬瓜的            
(4星)	 偶真喜欢这胖子叔叔~            
(4星)	 不错哈~            
(4星)	 端午假期的娱乐...居然一气看完了...情节还是很不错的，但就是有些对白实在太肉酸了...            
(5星)	 我觉得2好看~            
(5星)	 多亏了瑞智的推荐和碟。最后是好看呀~~~我觉得我真的挺聪明的！            
(4星)	 超爱这个题材的~            
(4星)	 初中的好回忆。            
(4星)	 化学破案集            
(4星)	 许久不见的好剧，到处都是夹心，题为哔你能不能表这样啊！            
(5星)	 爱看，没的说            
(3星)	 25            
(4星)	 案子不错，就是感情戏太残忍了...            
(NA)	 主角都很爱啊....            
(NA)	 能猜到凶手…            
(4星)	 有bug 但是不错            
(NA)	 欧阳震华是笑点            
(5星)	 欧阳震华的啊，很赞的。            
(4星)	 1特别好看，除了乌苏女。。。            
(5星)	 在看了2之后，回头看1，还是一样耐看，稀饭~            
(5星)	 欧阳的剧果然都有纯正的欧阳风，他的演技真是了得。很喜欢蒙嘉慧的上司当她是个男人那样骂她，也喜欢她像个男人一样泼辣地不怕骂。            
(NA)	 先看的第二部，第一部不如第二部好看啊            
(4星)	 虽然在情节上比csi差多了，但是香港的味道看的很多还是情感，演员了。            
(4星)	 爱死 林文龙。            
(5星)	 破案片中最棒的一部,可以看了一遍又一遍的戏,剧情超级精彩,演员的表现也很出色            
(NA)	 这部片子每次眼前晃过我都一直觉得自己没有看过，我的失忆症啊~~~赶快记下来~~下次知道自己看过了~~~            
(4星)	 哈 法證            
(4星)	 欧阳震华一如既往，林文龙都是那么帅！蒙嘉慧挺硬朗，钟嘉欣挺可爱~            
(5星)	 很棒！            
(3星)	 SOSO             
(3星)	 最后一个案子还不错，其他的不怎么样            
(4星)	 粤语听力突飞猛进。            
(5星)	 哎。。钟包子是出来搞破坏的            
(NA)	 我的爱类~！            
(5星)	 赞            
(3星)	 Tim Sir 真是wikipedia 哈哈            
(4星)	 欧阳胖子。。。            
(3星)	 老妈爱看系列 洒狗血学CSI  赞欧阳震华老戏骨            
(4星)	 8错8错            
(3星)	 去了那叮叮就完美了..= =            
(4星)	 TVB比较精致出彩的片            
(NA)	 欧阳震华。。。林文龙            
(4星)	 以前看的，纯添加……            
(4星)	 好看            
(5星)	 非常好看，尤其是蒙嘉慧，演得很帅气            
(4星)	 新鲜，很新鲜！tvb的新尝试！            
(5星)	 看的累啊，接下来又空虚了，不知道看什么了，静等我的书到            
(4星)	 初中啊怀念啊好看啊~            
(NA)	 正！！！！            
(4星)	 这个还行            
(5星)	 五星，大学时候看的            
(5星)	 超级无敌好看            
(4星)	 蒙佳慧一出场就把我迷住了.            
(4星)	 又是一部很经典的破案片；是近来TVB拍的不错的系列。不过严肃的欧阳震华就不像欧阳震华了。。            
(4星)	 很喜欢哦，蒙嘉慧很出色。            
(4星)	 还是喜欢欧阳震华,期待下一部.            
(4星)	 又猜到兇手。。。            
(5星)	 虽然几年前的电视剧，不过还是很精彩            
(4星)	 很喜欢这种题材的片子。            
(NA)	 090422            
(4星)	 我觉得近几年TVB中还不错的剧            
(3星)	 林文龙极有魅力~            
(NA)	 最后一个案子恐怖死了,            
(NA)	 好看啊            
(5星)	 看完第二部才追的第一部，一样很好看哦。TVB的这类电视剧都很不错滴            
(4星)	 不明白为什么那么红感觉案子很一般和老剧不能比啊            
(4星)	 非常好看!            
(5星)	 非常经典的破案剧。光是案中牵涉的角色就十分养眼了。塑造了Tim Sir和Dr.Koo两个完美男人。我十分喜爱小刚。。            
(4星)	 用来打发无聊假期了            
(NA)	 也很喜欢            
(5星)	 经典。            
(5星)	 已阅两遍有余。。。            
(4星)	 很好看，多年后还记忆犹新            
(2星)	 案件无聊不说，实在讨厌钟嘉欣！            
(4星)	 20111201 如今重看，几乎像新剧一样。欧阳震华真心一点儿长进都没有，十年如一日的演技= = 科技没有法证3发达，但是剧情比3更深刻紧凑。            
(4星)	 tvb破案剧。            
(4星)	 好看～            
(5星)	 这里的主演我每一个都喜欢，故事也精彩            
(3星)	 到刑事侦缉档案差远了。。。不过看完又觉得没那么差..            
(5星)	 很好看...            
(4星)	 欧阳胖胖正经起来也蛮有魅力的            
(5星)	 第一部比第二部好看多了。            
(5星)	 想看第二部，喜欢香港这种类型的片子            
(5星)	 林文龙~ 欧阳的戏我基本都爱看 蒙嘉慧很气质 LINDA可爱            
(4星)	 三星半            
(5星)	 法证啊~~~~~~~~            
(4星)	 看过，忘记了。            
(5星)	 赞            
(4星)	 8CUO            
(3星)	 高sir 简直是活体字典            
(3星)	 ..            
(4星)	 很喜欢这类型的推理查案港剧呢。            
(4星)	 排除有点可怕这点不说，实在是剧情紧张生动活泼。很爱TVB。            
(NA)	 好看！学到很多东西。            
(5星)	 钟嘉欣是大败笔 以前不觉得她丑她讨厌 这部剧分分秒秒都想她死啊！！蒙嘉慧好看的太过分了啊 欧阳胖胖也好灵 林文龙始终长着一张一秒变变态杀手的脸 就算看了12季的CSI 法证先锋还是好看爆了 不过想到2里蒙嘉慧的造型 好想死            
(4星)	 我真的不喜欢汀汀。            
(5星)	 不如II星光熠熠但还是很好看。梅小青的剧剧中广告那段总是很威。戏霸虽然脸长不过这是为数不多正面评价的角色了……蒙嘉慧长头发也很pp。林文龙万岁。欧阳就是加菲猫。            
(NA)	 好看            
(4星)	 嗲~~~当时看的时候很迷~~~            
(NA)	 其实说还是没有鉴真实录好看            
(4星)	 破绽很多 不过看的时候还是很吸引 不知不觉地就很快看完了            
(NA)	 一般 但比2好看            
(NA)	 没办法就喜欢这些！            
(3星)	 蔡婷婷~            
(3星)	 就喜欢看破案的。            
(4星)	 明显是抄袭CSI的风格,不过投入跟老美没法比.            
(5星)	 蒙嘉慧真靓            
(NA)	 教育片            
(5星)	 看似简单的案子却深藏人性真相，明明是商业作品，却如此发人深省。            
(5星)	 超喜欢蒙嘉慧            
(5星)	 2008年8月15日补完。- -真怀念这种港式的破案片，貌似从小就很喜欢            
(5星)	 偶滴最爱，第二部也很不错。            
(5星)	 如果不和CSI做比较的话，这部剧算是近几年分厂有内容的一部港剧了。而且波比哥的转型很成功！            
(NA)	 推荐            
(5星)	 大2的時候在寢室看的咯。～全寢室追著看！            
(4星)	 好看，喜欢bobby和yoyo            
