http://movie.douban.com/subject/1787818/	红豆女之恋 내 사랑 팥쥐
(4星)	 松儿最终还是选择了自己真实的情感~要我也选贤城，傻小子~            
(3星)	 哇~~高中的时候超萌的戏哦~~就从那时开始喜欢样子怪怪的张娜拉。不过说真，金载沅的样子，也就戴眼镜的时候斯文点。摘下了，还是金来沅帅气。            
(3星)	  连续剧             
(4星)	 从此喜欢上金涞元            
(NA)	 很奇怪自己为什么看这部片子？(依旧不评星)            
(4星)	 很有意思哈            
(NA)	 红豆女之恋            
(5星)	 那个时候在电话上写  最钟爱的小王子            
(2星)	 傻            
(4星)	 其实金来沅在这部片里笑的最好看~            
(3星)	 断断续续看了一些            
(3星)	 金载沅和Jolin拍的特务J里面进化得很好了~~~~~~~            
(NA)	 张娜拉长得多么像胡晓曼……            
(4星)	 最早认识张娜拉开始喜欢她的电视剧            
(NA)	 虽然男主角很像未成年            
(4星)	 娜拉很可爱啊            
(5星)	 翡翠台播出时狂追的一部电视剧            
(NA)	 歌还算好听。但情节并不出彩            
(4星)	 杨松儿明明那么乖还要说人家丑/            
(3星)	 其实我还是喜欢江承俊～哈哈～            
(NA)	 呵呵，我姐先看的            
(3星)	 至少看着舒服，劇情土點就算了            
(5星)	 @PhTV             
(3星)	 nana在这出戏里真是享尽艳福喇！不过人物本身的性格让人觉得很讨厌．            
(3星)	 要和金来沅一起才对            
(NA)	 【2002-08-26】             
(4星)	 当年我一看见金载沅笑就不行了。。。            
(5星)	 只有我一个人喜欢希媛吗 觉得她坏的很可爱 长的也精致             
(4星)	 初中还是高中？和小章鱼一起看。            
(3星)	 又是星空卫视和柚子一起看的。记得当年被金在元的笑容秒杀，然后愤恨那个结局。            
(3星)	 是看过多少这种恶俗的韩剧啊……            
(2星)	 此剧延续了我对韩剧的非好感。            
(3星)	 很哈了戴眼镜的金在元一阵子            
(3星)	 很早以前看过的聚集。很单纯很明媚的印象，            
(2星)	 咱记得主题曲挺好听....            
(4星)	 真的很好笑，张拉那那时候还真的活泼可爱            
(4星)	 金在元那一笑直接笑进了我的心里(～￣▽￣)～ 张娜拉的演技很赞！            
(3星)	 挺轻松的            
(4星)	 游乐场的工作啊，向往之            
(2星)	 不好看            
(3星)	 收获为 看上金来沅了            
(3星)	 张娜拉还是很可爱的            
(3星)	 这个结局。。。比较无语。。反正我喜欢那个眼镜兄~金在元？？？是伐是伐？这俩男人的名字太搞了。。            
(4星)	 小时候觉得好好看。。            
(NA)	 挺喜欢的 在冲冲家一起看啊            
(4星)	 跟着电视台看的，两个男主角都很帅。            
(3星)	 看过两集，只记得对金在元同学的正太face完全没有抵抗力            
(3星)	 弱弱的，梦幻的。            
(NA)	 看了好久了            
(3星)	 忘记了            
(3星)	 上午考试 我早上五点就把电脑打开看了 真神奇 不知道那时的自己在疯狂啥啊             
(NA)	 喜欢金在元的形象。            
(NA)	 严重鄙视张娜拉！            
(3星)	 现在再看的确是脑残啊            
(4星)	 第一部看的韩剧，很喜欢。记得那时候上学晚上不许看电视，趁妈妈出去，偷偷看着            
(4星)	 帅哥一枚~            
(4星)	 啊~感覺好古老~~~            
(3星)	 好像曾经 爱过你...金来沅..            
(5星)	 相当典型的两种女人 永远喜欢真实的松儿，希媛那样的女人见了当作没见吧            
(3星)	 。。。            
(5星)	 喜欢死了SJ的笑颜            
(3星)	 灰姑娘            
(4星)	 很有趣啊。。。            
(3星)	 男一近視眼很帥            
(5星)	 哎。我年轻的时候~            
(3星)	 印象比较深的就是那个金来沅的室友，老是对着镜子摆杀人微笑，哈哈            
(3星)	 记得很喜欢男2号~            
(4星)	 看的韩剧屈指可数            
(3星)	 看了几集            
(4星)	 很经典，喜欢张赫痞痞的样子            
(4星)	 我家卞卞看过的~            
(4星)	 大概算是最早看的一部韩剧吧！^_^            
(3星)	 所以最后编剧把难题抛给了观众...            
(3星)	 唯一没在一起的大团圆            
(4星)	 应该有十年了吧            
(4星)	 喜欢金载沅~~==            
(3星)	 不错的爱情喜剧片，因此喜欢上了主题游乐园。            
(5星)	 最初的韩剧回忆。我爱杨松儿。            
(NA)	 似乎是摆脱韩剧悲伤印象的开始            
(NA)	 小学时代看还比较喜欢那个眼镜男。想到结尾的你一三五，他二四六还真是好笑。电视剧里善良的人总是能收获多倍的幸福呢。            
(3星)	 太幼稚了.            
(3星)	 那时候还是韩剧刚刚进入中国那会儿吧，那时候张娜拉还在中国很红呢。年代久远了……            
(3星)	 过于弱智            
(3星)	 中考期间的调味品            
(4星)	 为什么男二号总是这么完美？            
(4星)	 张娜拉还是满可爱的 金在元和金来元 我更喜欢金在元的角色            
(5星)	 美丽的童话故事            
(5星)	 大概是从此喜欢上张娜拉的吧，有些轻松却揪心的情节。            
(NA)	 姐姐推荐的。那时看了就迷上了金在元的笑容。            
(3星)	 把金载沅这个角色打造的那么完美，然后最后让女主与金来沅？晕......            
(5星)	 每次看起来就是很开心            
(5星)	 可惜了，两个好男人··            
(NA)	 起码当时看的时候很喜欢张娜拉，自从她来了中国就不要看了。            
(4星)	 那时看的很投入～～金在元的笑容～              
(NA)	 看过一点 很傻            
(4星)	 在沅在沅在沅~~~            
(3星)	 让我患上驯兽师情结。。。            
(3星)	 此剧老表下到电脑里并且留藏了两年之久没看 = =            
(3星)	 挺好地            
(3星)	 一晃这么多年过去了~~            
(NA)	 呵呵~当时很喜欢            
(3星)	 好像很搞笑吧，忘记了            
(4星)	 高一军训时候晚上睡觉前大家一起围坐在小板凳上看的- - 好。            
(3星)	 那时候觉得还不错            
(3星)	 现在是越来越不喜欢张娜拉。这部剧一般般吧。一般般的剧情，还是很典型的韩剧。            
(3星)	 我觉得吧，最后结局成三人行了…            
(2星)	 两个男猪都不帅..为什么当年那么火...            
(3星)	 金来沅与金在元~~谁更让人心动？            
(3星)	 很老套的剧情。看演员吧。            
(3星)	 不喜欢结尾            
(3星)	 http://ent.sina.com.cn/v/j/f/hdnzl/index.html            
(NA)	 。。。            
(3星)	 第一次见在元，好帅啊，可惜现在不帅了~~            
(NA)	 高中看的 恩 当时很迷恋            
(4星)	 难得一见韩剧这么短的，喜欢张娜拉。            
(5星)	 大三的温书假里快乐的回忆。真喜欢张娜拉呀。            
(5星)	 有人很清秀！            
(4星)	 这部戏喜欢上了金载沅～            
(3星)	 还是无厘头            
(4星)	 其实我当年看的是截肢电影版...进度很快,很好            
(NA)	 娜拉的笑总是那样单纯，可爱。            
(4星)	 还挺早看的一部~喜欢她很真诚的感觉！            
(3星)	 金来沅~~~~~~~我喜欢。            
(4星)	 这里就开始喜欢我们家来沅拉            
(4星)	 一个不被女二号迷惑的小王子            
(3星)	 又是另女主角左右为难的两个男人,看太久了,剧情也不太记得了,整体感觉挺一般的            
(3星)	 可爱的一部剧集            
(NA)	 以前很喜欢看的，觉得张娜拉好可奈一个            
(4星)	 好看　那时可爱的娜拉            
(NA)	 喜欢的            
(4星)	 在元啊在元            
(NA)	 我喜欢主角，嘻嘻            
(NA)	 从电视上看的，很喜欢会笑的金涞沅！            
(3星)	 搞笑            
(5星)	 是个日本太太极力推荐给我看的，为了鼓励我慢慢看，她甚至将整套正版都送给了我，从此，我便一发不可收拾，义无反顾的跌进了韩剧的“深渊”。            
(NA)	 第一次认识金来沅，就是从这里开始。            
(4星)	 结局究竟是什么意思嘛            
(3星)	 一般，可以用来休闲一下            
(NA)	 很早以前`还是租碟看的`呵呵`            
(4星)	 俏皮可爱的zhang na ra。            
(4星)	 张很可爱            
(NA)	 很久之前看的了            
(3星)	 在看第二遍            
(NA)	 古怪精灵的娜拉            
(3星)	 灰姑娘专产地korea            
(5星)	 当时租碟看来着。。。记忆犹新。。。。。            
(3星)	 狗血的开头和过程，但结局是想不到的，一女御二夫什么的真是难得。            
(5星)	 金载沅在戏中实在太灿烂帅气了，大爱啊！            
(2星)	 对张娜拉印象不怎么样            
(NA)	 好早好早以前看的，，，            
(2星)	 对男主无感，对女主无语。            
(3星)	 ……            
(3星)	 张娜拉好可爱 里面的歌也很好听 金在元脱下眼镜的一刹那 被迷倒啦            
(4星)	 原来看我过这么多电视剧——是吧，那些看起来没有那么美好的女孩，其实也是很美好的            
(4星)	 当年迷金来沅迷的要疯            
(NA)	 很久很久以前看的，最初看的几部韩剧之一            
(5星)	 最爱的一部韩剧 看着轻松入戏 当时正值开学之际 只能双休日回家 我还特地星期三再回家一趟             
(4星)	 为了承俊和松儿那一吻给了4星~o(&gt;_&lt;)o~            
(3星)	 谁是男主角，傻傻搞不清。金在元很可爱，西装眼镜看起来好帅干净啊            
(2星)	 好丑。            
(3星)	 哈哈 當年高中時候中午回家看滴~~張娜拉的表情很是豐富啊            
(3星)	 女主角的脸是蛮孩子气的            
(5星)	 轻松搞笑，很好笑            
(3星)	 人生中的第一部韩剧。。曾经也看韩剧，曾经也年轻。            
(4星)	 由此喜欢上了金在元，            
(4星)	 金来沅            
(3星)	 当年好喜欢主题曲            
(5星)	 张娜拉的经典之作，连我妈子都喜欢的一部剧！            
(NA)	 在星空卫视看的            
(4星)	 张娜拉好可爱~            
(5星)	 我的第一部韩剧啊            
(4星)	 那时买了BoA的碟，没想混杂了张娜拉的歌曲，里面有几首“红豆女之恋”的MV，看了还蛮不错的，金载沅笑起来超有魅力的！！            
(3星)	 第一次认识载沅就是这部戏。。那时不喜欢主角金来沅，偏喜欢载沅饰演的富家公子。。他很亮眼，很阳光。。真是一发不可收拾啊 哈哈             
(3星)	 就是结局谁都没跟谁好，不应该啊，但仔细想想这样也不错~一个富二代，一个穷小子，你会选择谁            
(NA)	 结局意外又不意外！            
(3星)	 蛮喜欢的~ 看这部剧之后喜欢金来沅~ 也想去游乐场工作哈哈            
(4星)	 看过的张娜拉的第一部戏            
(3星)	 初中时看的。。。。            
(3星)	 初二时看的，当时很喜欢。。            
(3星)	 张娜拉就这戏比较红            
(4星)	 当年很喜欢男主角~两个都萌            
(3星)	 金在沅~            
(3星)	 张娜拉的第一部戏，好可爱。还记得那个在水池边亲吻硬币然后丢到水池许愿的动作。太棒了。唯一不解的是，为毛女猪放着有钱的没病的不要，非要要那个没钱有病的。不解韩剧的剧情安排。            
(3星)	 冲着男主们去的            
(3星)	 从这时开始看韩剧            
(3星)	 我喜欢来元            
(4星)	 正面见过张娜拉，觉得她不应该来中国发展。            
(3星)	 感觉拍的都一个系列            
(3星)	 当时可喜欢了。。it&#39;s gonna be another day with sunshine~            
(4星)	 小时候很很喜欢的            
(5星)	 回忆啊。            
(4星)	 当年大爱            
(4星)	 都是小时候看的            
(4星)	 金载沅和金来沅一起追张娜拉，我怎么就更喜欢微笑杀手金载沅呢。            
(NA)	 那是第一部真正意义上懂得韩剧和台剧的区别，原来韩剧都是这么短小精悍的，才12集，台剧就显得很是歹戏拖棚了。            
(4星)	 当年很火啊~            
(4星)	 张娜拉那时候真是甜死了            
(4星)	 曾经高中共同花痴金在元            
(3星)	 记得是无意的看了某当介绍韩剧什么的电视节目 就看见了娜拉 感觉很不错~之后就记住了&lt;红&gt; 后来特地的去音像店租了碟片.13张啊~狂看. 年少啊~哎            
(4星)	 忘了内容了，不过当时也很着迷            
(3星)	 其实挺没营养的一片、真纳闷以前怎么那么迷韩剧。。            
(3星)	 说老实话我比较喜欢金在元            
(4星)	 片头片尾曲，金来沅的微笑和张娜拉的发际线。            
(3星)	 深夜档看的，比较轻松活泼吧，结局三人居然是如此的和谐，什么世道啊！            
(4星)	 那时候就觉得金在元特帅！            
(3星)	 看这部戏的时候是初中吧，当时特别喜欢张娜拉～现在一听见它的主题歌，就像是回到初中时候：）～            
(NA)	 就是从这部剧开始，我喜欢上了金在元的笑容            
(3星)	 当是看完还很喜欢的说！            
(4星)	 韩式早期的经典爱情童话剧，虽说是童话但是对我关于人性的善恶观却有不小的影响，而且10集的长度看得很满意。非常喜欢松儿的性格，很有共鸣啊，二男的形象代表了两种典型的爱情，配角演员也很搞笑。            
(NA)	 我的第一步韩剧？好像是哦            
(4星)	 只记得片头曲很好听，里面的动物很可爱            
(3星)	    恩，蛮有意思的故事，金载沅，金来沅，两个听起来像兄弟名字的演员联手演的片子金来沅金载沅演的角色其实都不错，松儿对于最后的选择很挣扎，我和我同学也在讨论到底最后和谁在一起，可是为什么明明都说两个都不错的，最后张娜拉选择了了金来沅，大家都很郁闷，只有我一个人觉得很高兴呢，昏            
(4星)	 忽然想起这部剧的主题曲来了。当时那么喜欢张娜拉~~            
(3星)	 多年前看过            
(3星)	 就记得是张娜拉演的，其他都不记得            
(3星)	 哈哈， 我曾经也看过啊，囧呀~            
(5星)	 我看的是中文版            
(4星)	 最后的结局挺无语的O__O&#34;…            
(NA)	 靓啊~~~~~~~~            
(3星)	 当时觉得特好看，现在觉得特幼稚            
(3星)	 很久看过，电视不停循环播放，当时觉得张娜拉眞的很可爱。            
(2星)	 腻了            
(5星)	 第一部买碟回来看的韩剧，算是浅浅中毒了一阵。            
(3星)	 金在元太帅啦！！            
(3星)	 2000年初的韩国青春偶像剧，还可以一看。            
(NA)	 当时觉得男主角还蛮帅的            
(3星)	 那个时候好喜欢金在元。            
(4星)	 太久了  恐怕不喜欢金来沅从这里开始的  永远忘不了金在元的笑  张娜拉好小              
(3星)	 很轻松喜剧的片子。。。说实话我直到最后才分清楚男一是谁。。。话说里面的金来沅很有几分裴勇俊的影子。。。            
(3星)	 一般            
(3星)	 看的第一部韩剧。            
(4星)	 张娜拉这小脸长的，太美太可爱啦。我依然发扬我二号控的精神，怪不得我的感情总是悲剧啊，天生命苦的孩子你伤不起            
(3星)	 大一的时候还是大一前一年看的，当时似乎喜欢，记忆里跟寝室的姑娘讨论过，回家跟母上看过重播，我也曾经有过对韩剧抱有那么大好感的时候啊。            
(4星)	 当初挺喜欢的一部            
(3星)	 我我我真的喜欢过金在元- -            
(3星)	 为了两个男人而看，剧情不是重点，看人是目标。            
(4星)	 喜欢这三个人，都还蛮可爱的            
(4星)	 最早看的一部韩剧，当时真的就有很萌金在元，呵呵，最初的萌动啊~~~            
(2星)	 讨厌张娜拉            
(4星)	 2003. 演员选得很好，轻松自在~            
(3星)	 还是喜欢张娜拉时候看的 希望永远还是快乐的小女孩            
(4星)	 04年，这是我第一次觉得韩剧男主可以是智慧的，低语地，而不是动不动情绪失调冲着女主喊为什么的泡沫剧，那时的金在元被称为杀人微笑，一脸童贞            
(4星)	 以前觉得好看            
(3星)	 更老更老的电视剧！            
(3星)	 同献给当年……            
(3星)	 張娜拉在大陸最火的片子。。。            
(3星)	 金在元的微笑很有可爱啊            
(3星)	 善女和恶女的故事告诉我们，外表并非一切，有颗善心，怎么样都会被发现，伪装到最后都不知是谁。            
(3星)	 就记得好听的主题曲了。            
(4星)	 深刻記得看的時候是在中秋時，一想到就有種幸福感            
(4星)	 金来沅~~~my菜~~~~~            
(4星)	 SJ            
(3星)	 没看完            
(4星)	 我初中时电视上大半夜演 我就偷偷起来看 不开声音怕被爸妈听到 哈哈~回忆啊            
(3星)	 第一次认识载沅就是这部戏。。那时不喜欢主角金来沅，偏喜欢载沅饰演的富家公子。。他很亮眼，很阳光。。真是一发不可收拾啊 哈哈            
(4星)	 当时超喜欢看            
(3星)	 租来的DVD 看了好久            
(NA)	 现在想想挺没劲的 初中那会海看的挺带劲的            
(3星)	 两位金哥哥啊......            
(2星)	 曾经很红 金来沅和金在元一起拍的啦            
(2星)	 女主性格實在不可愛，金載沅超帥，根本是王子            
(4星)	 大一还是大二看的了，有点忘了。。。不过总算认识了可爱的张娜拉。。。            
(3星)	 也是好早前看的~歌好听            
(2星)	 小学- -            
(1星)	 去你的大棒子思密达！去你的装纯装嫩装可爱思密达！！！            
(3星)	 当时总是分不清金来沅金在元。。。            
(4星)	 当时很喜欢金在元来着……            
(3星)	 只是不喜欢张娜拉            
(3星)	 小时候在星空卫视上看的，当时可喜欢男猪脚了，可帅了~            
(NA)	 认识张娜拉的开始            
(4星)	 喜欢金在元，讨厌金来沅。            
(NA)	 4.5            
(3星)	 妈的好拖呀            
(4星)	 又一部大一熬夜看的电视剧，只为娜拉出演            
(4星)	 为神马让我心疼的总是男二，为神马为神马            
(3星)	 小时候真的看啥都好看            
(NA)	 如果一个长得又帅，又有钱，对你又好的人，站在你面前说喜欢你，你如果不心动的话，那才是装蒜呢！            
(4星)	 其实金来沅演绎这种类型的男生很自然~招人爱~这个片子的结局真是糊涂啊~            
(4星)	 其实光看这部片子我还是很喜欢张娜拉的~~善良耿直的红豆女~~遇到了两个不同类型却都很优秀的男子~~            
(NA)	 这样的结局多年后才明白~            
(NA)	 张赫啊            
(5星)	 曾经小迷过            
(3星)	 貌似很多人说长的像张娜拉来着，哈哈            
(4星)	 张娜拉在中国的成名作= =~  可是现在貌似口碑不好            
(3星)	 好歹也也是第一部看的韩剧，好歹金载元曾经迷过（瞎我狗眼啊）。。留个纪念吧。。            
(3星)	 大学时看的。印象中这好像是看的张娜拉的唯一一部。            
(3星)	 金来沅，金载沅，那个时候老分不清，乱啊。            
(4星)	 结尾有点打酱油            
(4星)	 第一部韩剧~            
(3星)	 老劇            
(3星)	 那个女二号长的挺像我表姐的，自此有了印象。主题曲挺好听            
(3星)	 总是觉得两个名字这么像的男主角，让我分不清好久~~            
(4星)	 像她。            
(NA)	 买了张娜拉她们公司的护肤品，原来还真有……斯诺伊……            
(4星)	 哈 这么些年了才看完全，还是觉得那个希媛很有心计，那个心里也很奇怪。。            
(4星)	 初三。。金在元。。当时真真被他迷得神魂颠倒            
(3星)	 那个时候觉得挺好看的。。呵呵            
(3星)	 早期的韩剧            
(4星)	 金在元~            
(4星)	 从此，爱上金来沅~~~            
(4星)	 记得是看这片子的时候疯狂地想以后从事建筑行业 当一名建筑师 画图 也是这片子让我喜欢上金载沅            
(NA)	 看过一点吧 最早还是某张磁带上先听到它的主题曲 后来貌似电视上播了            
(NA)	 看了一半            
(5星)	 最早看的韩剧，仍印象深刻            
(4星)	 初三毕业的时候。两个都好。所以这样的结局我才满意。            
(4星)	 张娜拉=3=            
(3星)	 没看完整            
(3星)	 当时很喜欢张娜拉，现在她都跑来中国圈钱了，不喜欢            
(4星)	 只记得张娜拉很可爱 还是大学时看的 好遥远的记忆            
(4星)	 不知道为什么多数人都喜欢裴勇俊类型长相的人，在元的眼镜戴得很奇怪。这部剧里他的气场不足。来沅又一次让我赞叹演技，眼神很棒，真的很棒，发型太土了。其实来沅和在元我都喜欢，只是在这部剧里来沅发挥更出色。张娜拉笑起来如果不要一只眼大一只眼小就更好了。喜欢片头曲。            
(4星)	 小学和姐姐一起看  笑到抽风  ed很好听            
(4星)	 那一年，我第一次迷上韩剧，那个读初一，每天放学等待5点的我            
(3星)	 在看了N+1遍之后，我竟然给你减了2星！            
(5星)	 韩剧的经典之作的            
(NA)	 偶老妈喜欢张娜拉，我就随便看了，对剧情已经没什么印象了            
(5星)	 很搞笑的东东！~娜拉在里面很好玩~            
(NA)	 不记得了.            
(4星)	 大学时无聊的时候看的。两元相比，更喜欢载元。            
(3星)	 初中看过的.....这一眨眼时间过得快的......现在只想说张XX你个傻X！！！！            
(3星)	 对韩剧的最初印象            
(2星)	 当年粗糙的韩剧。现在张娜拉都不知道去哪了。那时候可能整容还没流行吧            
(5星)	 很久都没分清男一男二，但看完我信，金涞沅是男一，更可爱。但很喜欢金在元的角色性格，喜欢他对女二说的话，对松儿的信任。            
(3星)	 我觉得金来沅可帅.. 还有张娜拉超级可爱            
(NA)	 那年很迷张娜拉            
(4星)	 初中看的，张娜拉很可爱。            
(4星)	 高中看的，喜欢金在元那个样子。            
(4星)	 男女主当时都很有爱的啊            
(4星)	 当时很喜欢            
(3星)	 那个年代啊            
(3星)	 还好，结局是我喜欢的            
(4星)	 还是比较喜欢金在元            
(4星)	 喜欢主角，所以来看，情节还是比较好玩的，至少没有套路            
(3星)	 较早看过的韩剧            
(5星)	 当时很喜欢金在元            
(NA)	 太纠结的俩男主名字，结局也是实在太纠结            
(2星)	 不现实            
(3星)	 到底谁比较好？            
(NA)	 我看的第一部韩剧            
(NA)	 金来沅，我和咩的最爱            
(4星)	 还行            
(3星)	 结局很“好”               
(NA)	 내사랑 콩쥐?            
(4星)	 我只能说我对偶像剧真的没什么免疫力~~~            
(5星)	 张娜拉是很可爱的            
(4星)	 自认为很完美的一个结局            
(4星)	 我看的第一部韩剧            
(4星)	 一个很不一样的灰姑娘，坚强、凶悍、霸道，但却善良。            
(NA)	 纪念纯真的岁月。韩剧，看了以后，会让你活在幻想的世界里            
(2星)	 原来我只是喜欢车杨顺，而不是张娜拉。我花了好长时间才明白这件事。            
(4星)	 很搞笑             
(3星)	 都变老了            
(4星)	 还不错啊            
(3星)	 一般而已            
(3星)	 不喜欢女的~            
(5星)	 我们家娜拉            
(4星)	 結局如我所願~            
(NA)	 高三网吧的回忆            
(4星)	 当年就是因为这部戏喜欢上张娜拉：）            
(3星)	 貌似是初三时候看的~很早了            
(3星)	 超爱金在元笑起来的样子。            
(4星)	 张娜拉很可爱，金在元很帅            
(4星)	 最早看的韩剧            
(4星)	 金来元、金在元，红豆女真幸福            
(3星)	 当年我怎么看了那么多韩剧！！！            
(NA)	 男猪还不是男二我也不知道男几有点像裴叔            
(5星)	 曾经很喜欢很喜欢的~喜欢张娜拉喜欢金在元~            
(4星)	 这是我们寝室四个男人唯一一起看过的韩剧，当时真太无聊了            
(NA)	 好久之前看过的啦。            
(3星)	 金来沅 笑起来真的很阳光...            
(3星)	 结局有点莫名其妙，其余还可以            
(4星)	 两个男主角都很喜欢，这样的选择，多艰难呀。            
(3星)	 记得最深刻的就是金载沅的笑容            
(3星)	 喜欢金在元在里面的样子，帅帅的            
(3星)	 故事一般，练习听力不错的材料            
(3星)	 那时他们都很火            
(3星)	 爱情2选1，不说大家都能猜到选谁，呵呵            
(3星)	 少女情怀总是春之那时真的年纪小。            
(NA)	 俩当红小生配女主啊，虽然对他们不感冒……            
(3星)	 其实张娜拉真不算漂亮            
(3星)	 忘记了。            
(4星)	 !            
(4星)	 相当年被金在元的微笑所秒杀..            
(5星)	 经典            
(5星)	 一句话，这片子让我认识俩帅哥，哈哈            
(5星)	 张娜拉的成名作之一哦~            
(3星)	 没有金来沅的话，只能给一星            
(NA)	 在元與淶源，紅豆與土豆的故事            
(5星)	 初中的时候，某个暑假，每晚守在电视看东西湖电视台，这就是其中一部，奉为经典，一种回忆            
(NA)	 一般 但是金来沅笑得很好看            
(3星)	 早期看的韩剧之一，从这部剧开始改变了对韩剧的一些看法，也从此迷上了小面包金在元的微笑~~            
(NA)	 不像结局的结局            
(NA)	 在大学的时候看的，为看最后一集我们两个宿舍联合偷电，被抓。。。。。。。            
(5星)	 超級可愛超級溫暖            
(5星)	 给五颗星。。来怀念我的青春。。。            
(2星)	 顽皮的松儿善用小孩子的方式横冲直撞的报仇··现在很少人这样但是我觉得非常实用··该出手时就出手没有二话··（PS：女二号挺漂亮够抢眼的）            
(3星)	 金在元就是我心中的王子型。            
(1星)	 无聊            
(5星)	 张娜拉在里面的造型真的很像VV~Sweet Dream好听~            
(NA)	 呵呵，坏女孩的爱情            
(NA)	 唉，爱情的力量呀            
(5星)	 善良的女人，就算没心没肺，也值得爱。            
(4星)	 好            
(NA)	 看过之后很想去游乐场            
(4星)	 当初很喜欢 也是第一次看韩剧            
(4星)	 恩·以前很喜欢            
(4星)	 搞笑的……            
(5星)	 很好看很搞笑，配角很出彩，颠覆了我对韩剧哭哭啼啼的印象            
(4星)	 男女主满可爱的            
(2星)	 金载沅很帅！            
(3星)	 看完之后我喜欢了金在元            
(3星)	 很久了~            
(4星)	 因为这部喜欢上金来沅            
(3星)	 认识了张娜拉。            
(4星)	 初三毕业看的~~当时很喜欢她            
(3星)	 很久前就看过了现在都忘得差不多了至于会忘了就证明这电视剧不是非常好适合我了呵呵            
(5星)	 好看好看，仅有几部看的下去的偶像剧，好晚放的，金载沅笑容很好看的            
(3星)	 甜蜜的选择。。。痛并快乐着            
(3星)	 看得不多            
(3星)	 果然适合青春人士观看            
(5星)	 张娜拉和金在元。绝配~~            
(4星)	 那时候“冰鱼”的开头都是放这个            
(NA)	 这好像也是高中时候看的。            
(NA)	 犹豫不决            
(4星)	 当时挺喜欢的，就是感觉结局不好，没交代清楚            
(NA)	 大学窝宿舍看。。            
(5星)	 果然金来沅更可爱            
(4星)	 那时候觉得金来沅的泡面头好帅啊            
(2星)	 没觉得有多好看            
(1星)	 红豆女之恋            
(4星)	 当年好喜欢看啊            
(5星)	 因为这部片子一度很喜欢张娜拉            
(3星)	 一部剧，认识了两个名为金某沅的人。。哈哈            
(NA)	 看过好久好久了            
(4星)	 边看边笑～～            
(NA)	 部分            
(4星)	 看了很舒服            
(NA)	 真是很不容易，所有的演员都很喜欢，张娜拉 金来沅 金载沅            
(4星)	 呵呵～～也没什么太大的印象～～只不过3个主角都是我很喜欢的～～～貌似剧情挺搞笑的吧～～少了些催泪弹～～～            
(NA)	 说实话， 张娜拉这种小女生，我不会娶她的 嘎嘎            
(3星)	 是，我是看过滴~当时。觉得不错            
(NA)	 很老了呢 忘记演什么的了            
(5星)	 金在元超帅的！~~            
(NA)	 那时候 张娜拉刚红起来            
(NA)	 每个微笑都很美            
(4星)	 从此树立了偶像            
(4星)	 蛮好笑的片            
(NA)	 蛮OK的吧            
(NA)	 怎么这么可爱啊            
(NA)	 我唯一一部完整看过的韩剧= =            
(3星)	 真的不咋地，也不晓得当初自己怎么坚持看完的。。。。。            
(3星)	 很早看的了...            
(4星)	 難以取捨的愛情            
(NA)	 红豆女之恋            
