http://movie.douban.com/subject/3284284/	光阴的故事 光陰的故事
(5星)	 没在网上看  就一到五守着凤凰卫士每晚开始。好剧。时间确实是转瞬即逝。            
(5星)	 totally   great            
(NA)	 孙一美太幸福了啦            
(4星)	 因为善良，所以有力量，感动人心．            
(5星)	 不管是谁，看了这部剧都会学到些什么。            
(4星)	 流水他带走光阴的故事改变了我们            
(5星)	 居然看得內牛滿面。。            
(NA)	 和大妈大姐看了一些            
(5星)	 浓浓的人情味，怀旧得闪光！已经超越了豆瓣评级系统！            
(NA)	 光阴、人生…有的时候错过了，接上去也还是可以接着过。            
(5星)	 终于看完，好温暖，好多集都是边笑边哭地看完~~            
(5星)	 穷得只剩下义气的年代……            
(5星)	 真的很感人，我对台湾电视剧大大改观了            
(5星)	 就是，个个都那么高！好喜欢黄腾浩！花痴美元恋！！看完33！            
(4星)	 越看越有味道。            
(5星)	 熬了几天看完了看完了。可是还想看毅源和一美的桥段也。小惆怅。            
(5星)	 平平淡淡的电视剧却是一点一点渗入心里，那个时代那份情谊真是令人感动，一元和一美真的超配^_^不骄奢不浮躁真实又有爱，好片子！这是我目前看过最好的台剧。            
(NA)	 台湾腔调~~看不下去了（为着写论文被迫看的，王伟忠啊，下次你还是找些大陆人拍吧，破绽很多）            
(NA)	 温馨啊            
(5星)	 超好看!!!!!!!!!!!!!光阴的故事 岁月神偷            
(5星)	 时光的流淌。人事的变迁。美好的“美元恋”^_^            
(3星)	 一般            
(4星)	 孙一美和许毅源的爱情是小时的我最向往的  即便现在看到 也觉得很美好   守着阳光  守着你            
(5星)	 深陷了~~上身了~~~光阴的独白：回头看看来时路，是往前的更大动力。所以我们决定为您叙述一个这样的故事——故事开始之前，请容我提醒您——不管此刻，您的心里是混乱、慌张、失落、还是其他，总之，先把心掏空吧，这样才能装下那些被我们不经意留在曾经里的家财万贯、再一次上路。            
(3星)	 54            
(5星)	 感动满满。            
(5星)	 好久没有看到这么好看的剧了，每集必定落泪!            
(5星)	  因为真实所以感人。  因为知足所以幸福。 怀着感恩的心微笑着面对每一天的生活，谱写自己充实的光阴故事             
(5星)	 这是我看过最好的台剧......            
(5星)	 很感人的电视剧            
(NA)	 可以一直看一直看·····            
(5星)	 很喜欢的电视剧...让人又哭又笑...真的很久没有这样追一部如此长的连续剧了。            
(5星)	 用眼看不到的世界，好大，好深，好温暖。            
(5星)	 人生如戏，戏如人生。            
(5星)	 简简单单的温暖，简简单单的幸福，简简单单的感动，好想拥有。。。            
(5星)	 温暖感人            
(5星)	 臺灣眷村的記憶其實也是我們閩南一代人的記憶。。。            
(4星)	 人世间的大情、小爱，或美好、或丑陋，都掩藏在生活的点滴琐碎中……            
(5星)	 “冬天來了，王家的被子有李家香腸的味道，林家兒子的毛衣補上郭家女兒剩下的線，剛好補足了長度。村子小，人情擠。在這裡，就算寒流報到也挺暖和的。”“村子老了，孩子們大了，光陰一直在走，青春小鳥一去不回頭了。”“自己走過的路，不管是對的還是錯的，都要認。”            
(5星)	 孙一美太可爱了哦哦～            
(4星)	 一直想去眷村看看            
(5星)	 感人却不矫情，搞笑却不做作。难得好戏！            
(5星)	 这是温暖的一部剧 值得反复反复看             
(5星)	 在所有逝去的时光里 我爱着每一个正在成长的人儿            
(4星)	 生活是一部好笑温暖却又难念的经，它推着我们在失去与拥有间一夜长大，在学会爱与被爱的过程中找到属于自己的幸福。这是一个闪闪发亮的村子。            
(5星)	 很治愈            
(5星)	 看得人心里隐隐作痛            
(5星)	 演员应该都是有戏剧功底的 内容比场面重要 小制作也可以感动人            
(5星)	 简单而感动没有太多大晒狗血的情节，追寻那份情怀的真挚才最动人            
(5星)	 我看这个的时候 泪奔了无数次            
(5星)	 好看。。喜欢一美            
(4星)	 很有诚意的，关于成长的故事。            
(5星)	 眼泪还没擦干，又破涕而笑了            
(4星)	 很有感觉呢            
(4星)	 那个水,那个贫,那个拖拖拉拉.我再也不敢碰这么长的东西了 T.T            
(5星)	 真实，淳朴，难得好看八点档。            
(4星)	 每一个人都是主角 每一个人都有故事             
(3星)	 还是有点没看进去，歌很好听            
(5星)	 只要怀着希望，我们就在抵达的路上            
(NA)	 同样的青春记忆。2010。02            
(3星)	 时光带走光阴的故事。好吧 眷村题材可能不太适合我 即使阵容我再想一看。。            
(NA)	 等我们老去，真正宝贵的也就这些回忆            
(5星)	 简单生活，简单爱             
(NA)	 婆婆妈妈。主要为了黄腾浩。            
(5星)	 庆幸的是，我没有错过“你”。            
(4星)	 还挺好看的            
(4星)	  寻找自己的影子            
(4星)	 四星是给未来的期待。            
(5星)	 不同环境，不同年代，可为什么有那么多似曾相识的人和事。物资贫乏，我却依然愿意生活在他们其中。            
(4星)	 符合我的想象。            
(NA)	 虐剧啦！完全大飙泪啊~~看一集哭一集~ 嗯。09年金钟奖孙一美的礼服真是美呆了！伟忠哥超帅！最大党那帮人好笑又帅气~ 孙妈得最佳女配角有特地挤乳沟让大家拍照喔~~ 孙妈现实中的老公是演茜老公的保罗哎~在KTV特地要唱光阴的故事被人嘲笑了。。终于看完了。。历时大半年。。            
(5星)	 如果是這個人的話,我也會這樣主動求婚的.曾經你爲了我那麼努力,這一次,輪到我了!            
(4星)	 满有时代感和青春感的            
(5星)	 浓浓的人情味。。。            
(4星)	 简单快乐的美好，牵动着我们的心            
(5星)	 我们的成长故事            
(5星)	 宇宙超级无敌好看的~            
(5星)	 笑中帶哭，哭中帶笑            
(4星)	 不错            
(5星)	 眷村生活，生动写照。             
(4星)	 唉，通篇解释“幸福是什么”的电视剧~~在南湾的时候看得很投入~~最初是因为Pai说眷村啊什么的，后来莫名地就看上了~~            
(4星)	 差一颗星，输在布景            
(NA)	 超幸福的一大家子~            
(4星)	   4星半水平阿            
(5星)	 虽然看到后来还是有种三俗电视剧扯来扯去的感觉……但是不知道为啥我就是那么喜欢这个调调……            
(3星)	 長壽劇的臉。            
(5星)	 黄腾浩也太帅了……            
(5星)	 平凡的小幸福，浓郁的大温情            
(NA)	 追着看比较有意思，花痴几扣！变了爸爸挺雷人！            
(4星)	 一部难得的诚意之作！            
(5星)	 大爱！            
(5星)	 幸福的感觉            
(4星)	 很有时代感~~            
(5星)	 很贊!            
(5星)	 伟忠哥的OS大爱            
(5星)	 感动……            
(NA)	 谁会是你的许毅源            
(4星)	 没看到结尾 安静的生活            
(4星)	 雖有瑕疵但不減其影響力。            
(5星)	 很不错的电视剧            
(5星)	 看过的最温暖最感动对自己影响最深的连续剧~学会慢慢的不再用执拗当武器自己为难自己            
(5星)	 最简单的生活点滴..大人们最怀念的过去..也找得到我们这个年代的童年~~~简单快乐感心...最爱的一元和孙一美            
(4星)	 流氓也是會心痛的…好不好… 有時候…殘忍也是一種善良…好不好…             
(5星)	 从头到尾，付出了不同心情的泪和笑，收获的是成长，温暖，感动和幸福的定义。            
(5星)	 我想成为孙一美            
(5星)	 王伟忠的眷村（集体）生活情结，如果非要说的话，类似我小时候的大院生活，后来搬出大院，小时候的玩伴也都失去了联系，现在想来，这也是属于我们的光阴的故事。            
(5星)	 诶哟。导演居然是赖声川。。。我是有多迟钝。。。            
(NA)	 好看            
(4星)	 有再看一遍的冲动             
(5星)	 “春迟迟燕子天涯，草萋萋少年人老”            
(5星)	 超爱这些家庭温馨剧！            
(4星)	 其实每节过场的老照片最有感觉了。平凡人有平凡的感动。不过节奏还是慢了点，有点粗糙。            
(4星)	 happy ending~            
(5星)	 在悄然无声消逝的光阴中，我们也悄然失去了勇敢！            
(NA)	 很好看!!            
(NA)	 很不错的台湾正剧，比偶像剧有水平得多。            
(5星)	 总能勾起淡淡的回忆...~...            
(4星)	 看的是书，不过感觉温暖啊！            
(NA)	 我爹妈守着看，于是我也跟着看了。。            
(5星)	 好看好看            
(5星)	 2011.冬 这样的年代剧预算却少得可怜，更让人感叹各位主演的精湛演技。这就是吴念真说的贫穷但是有味道的、相濡以沫的社会吧,伟忠哥的旁白真是好听~ “回首看看来时的路，才是前行的最大动力。”            
(4星)	 分享给走过光阴的人们，感谢正在为光阴写故事的你我，在故事之外的咱们，也要一步一脚印的，为光阴留下那美好的痕迹。            
(4星)	 勾起很多童年回忆的说  可是我的发小都死到哪里去啦。。T.T 107集。。真不容易。。。            
(5星)	 看了一本叫《我们台湾这些年》的书后意犹未尽找来了这部片子看，一开始觉得这么长的片子我可能中途就会放弃的，没想到愣是被一美一家人给吸引了，那种朴实的情感、平凡的感动很抓心挠肺。另外披着混混外衣缺超有主见和想法的许毅源的真是太完美了！            
(5星)	None
(5星)	 虽然有点长，但是，伟忠哥拍的这个，非常有时代感，我想每个人看都有不同的领悟            
(5星)	 不是一般的好看哦，陪伴我写完毕业论文的好片子            
(4星)	 流水它带走光阴的故事，改变了一个人。。            
(4星)	 凤凰卫视看的。=，.=            
(5星)	 充满爱充满故事            
(4星)	 只要怀着希望，我们就在抵达的路上。孙一美小盆友和茜茜跟现实中认识的人好像好像，一元够帅，特别是成熟阶段的。            
(5星)	 每一集都是浓浓的人情味儿，太好看了            
(5星)	 虽然有点长，耐心看下去，很温暖很温暖，简单的布景，简单的故事，但是在心里演绎            
(4星)	 诚意很好的片子，其中生活细节会让人会心一笑，很真实的感受和台词，前半段不错，让人一直想追着看，后半段水太多，让此剧大打折扣            
(5星)	 反正就是徐誉庭。。。光阴让我爱上了陈怡蓉。。。永远的珍藏            
(4星)	 一元            
(4星)	 赞！！只是由于种种原因一直没看完，主题曲大爱啊~~            
(5星)	 看到名字就不错，不像那些个标题党            
(5星)	 去年在凤凰上追剧集，却没追完。想来，是自己不敢看到最后一集。不知为何，一直有种“眷村情结”，那种城市孤岛、共同成长的氛围让我每集落泪……            
(5星)	 沒啥說的，5顆星！            
(5星)	 真是电视中的极品            
(NA)	 可以看到台湾文化和诚意的一部剧            
(5星)	 珍惜我们一起走过、物资贫乏、互相扶持的年代--《光阴的故事》。一群因为战争背井离乡退至台湾的同胞，在那个物资贫乏的小岛艰苦创业，自力更生，建设美好的家园的温情故事。今天，拥有广阔地域、地大物博的我们在做什么？感谢所有走过光阴的人们，感谢正在为光阴写故事的你我，在故事之外的故事里，            
(NA)	 还好啊，，大学毕业之前看的。。然后听了一些老歌            
(5星)	 真正勇敢的是那些隨波逐流中不迷失自己的人......  超爱美元恋:）            
(4星)	 特别温暖的故事，            
(5星)	 幾摳好帥            
(5星)	 我也说看到《宝岛一村》时怎么那么熟悉~            
(5星)	 故事很赞，背景音乐很赞，最后复邦和茜茜重逢，音乐响起，很感动            
(4星)	 80&#39;吧 如果里面的爱情 偶像剧成分拿掉就好了 我喜欢那种把岁月沧桑叙述成小河流水的电视 蜿蜒流长 激石轻响 有喜悦 有悲愤 有感动 有无奈 才比较像是生活本来的样子!            
(5星)	 看过搞得我每次进KTV都点《光阴的故事》，还总跟着罗大佑跑调……            
(5星)	 《光阴的故事》一个献给“珍惜我们一起走过，物资贫乏，互相扶持的时代”，一个关于成长的故事，一个给我满满感动的故事。            
(5星)	 虽然还是很狗血的小情爱桥段啦，但至少，是童年的回忆。            
(5星)	 我想和许爸许妈一样幸福。            
(5星)	 怎么那个年代的台湾人也这么可耐，真是个美好的时代。那么那么，温暖            
(5星)	 流水带走了我们的青春，却带不走那些美好的质朴的回忆            
(5星)	 就是有点长了。不过，也可惜不够太长。            
(4星)	 说实话 ，王伟忠监制的电视剧舞台剧都不错，估计也是因为他是客家族的原因，受父辈的原因，很多透过他的电视剧看到很多人性散发的光芒            
(NA)	 至少到目前為止是我看過最好看依舊最愛的劇。 但是我從不推薦給任何人 我覺得沒有誰會有耐心看完它。            
(5星)	 好片啊            
(4星)	 台湾的文艺片真是闷哦            
(4星)	 节奏也许慢慢的，但值得细细品味。            
(5星)	 很温馨，很舒服，很怀旧            
(5星)	 好的没法说，太温暖太感动！太有力量了~！~            
(NA)	 黄腾浩像玄彬，但没玄彬精致。            
(4星)	 温馨而感动.            
(4星)	 看过小时候的故事            
(5星)	 满满的感动与欢乐，还是看这种片子比较舒服            
(5星)	 很爱很爱这部片。            
(5星)	 看到第29集的时候还是没忍住看了结局 真好 我只能说 真好            
(NA)	 冲着名字去滴            
(NA)	 这么长的剧集，竟然看完拉，很温暖的电视，虽然是台湾的，但很多情节也曾相似，不管是主角还是配角，都很鲜活。之前对赖雅妍和陈怡蓉都什么感觉，看了后，就大爱，演的真好，比起她们以前演的那些偶像剧好太多太多了，伟忠哥，真厉害呢，打造出了这样的电视。P.S最最喜欢里面的黄腾浩，怎么可以这么帅            
(4星)	 很细腻的记录 很温暖            
(NA)	 有时候很喜欢看写满时代感觉的影视作品，光阴的故事跨度很长，三代的距离，漫长却总让人思考着生活            
(5星)	 平淡而朴实的温暖。怀念起家乡那些热闹的邻里。小打小闹里，我们还是长大了，各奔东西。在陌生的大城市里，却找不到那种归依感。空荡又陌生。一公里，两公里，或者更远的地方，楼下车上，几乎每一个面孔都是陌生的，一样的表情一样的匆匆而过。。。追着着剧，好像重回那些美好的时光。感谢导演，这            
(NA)	 景假情真            
(NA)	 在岁月的长河中，能保有自我地成长、老去，欢笑与泪水并行，这就是人生。无非想念的不过是岁月静好，现世安稳。            
(4星)	 宝岛一村之八点档版本            
(3星)	 有些琐碎，但还是挺值得看的            
(5星)	 这是会让人永生难忘的电视剧，最最最朴实最最最好看。台湾潮汕福建这一带会更加深有体会。            
(3星)	 ...光阴都已过去,,,            
(NA)	 喜欢那里面的真实感动，还有超喜欢一元。。。。。            
(5星)	 光阴的故事 闪闪发亮的日子            
(5星)	 很溫馨..而且黃騰浩很帥            
(3星)	 看了前面几集，感觉把眷村拍得过于美好了，我还是喜欢听康熙来了那帮眷村出来的大孩子们口述儿时生活，有温暖有悲伤很真实；我还是喜欢看《伟忠妈妈的眷村》那样的纪录片。所以我果断弃楼了。            
(5星)	 我竟然看到了47集了，就凭着足以推荐。            
(4星)	 家长里短却毫不枯燥的故事！眷村的生活淳朴有爱~~徐誉庭真是我大爱的编剧！偶然看的两部戏都这么优质。107集这么大篇幅的华语电视我真的是第一次看的这么耐心。感动于孙家的温暖，感动于美元的相互支持陪伴。ps 赖声川也是我大爱的导演~~❤❤pps 樊光耀 黄嘉千 甚至包括赖雅妍 这些舞            
(5星)	 淡淡的……却不是平淡            
(5星)	 很难得的一部剧，看得我舍不得结束~~~喜欢这种讲故事的感觉，尤其是旁白！一直不太待见陈怡蓉，看了这片觉得她演的很实在！一部让人感动、温馨、怀念的好剧！            
(5星)	 少年青春欢笑和泪水和生活中的酸甜苦辣            
(5星)	 美元王道            
(5星)	 感动,满满的~~            
(5星)	 缅怀逝去的时光！真正想追着看的台剧。            
(4星)	 赞一个~~~            
(NA)	 不错的电视 但是最后还是没有兴趣看完 总觉得是怀旧的电视 但是 我却还没到怀旧的年纪            
(5星)	 一部让人觉得很温暖的剧。。“感谢所有走过光阴的人们，感谢正在为光阴写故事的你我，在故事之外的故事里，咱们也要一步一脚印的，为光阴留下那美丽的痕迹。”            
(5星)	 很好看，把我们带回爸爸妈妈的那个年代，虽然与实际的生活还是相差较多，但音乐和故事就像一桶水浇去了疲惫的外壳，带来了清新与纯真            
(5星)	 老台湾 那一代的故事 也是我们都会延续下去的故事            
(5星)	 喜欢特殊文化气息的片子，这就是其中一部，特殊的背景造就了这样一群眷村人的青春时光。很温暖，很融洽            
(5星)	 有着那个时代里浓浓的人情味.            
(5星)	 三流的剧情二流的表演一流的诚意和想法            
(5星)	 非常好看,很感动 想起来很多事。。。            
(NA)	 黄腾浩。。。            
(5星)	 长大之前的部分笑死我了            
(5星)	 感动 。。。            
(NA)	 我最爱的电视剧！！！！            
(5星)	 一百多集的电视剧 我竟然不觉得冗长狗血            
(5星)	 眷村的故事，平凡人的幸福，近年来看过的最好的电视剧！            
(5星)	 这里有家的温暖            
(5星)	 难得看到这么好的            
(3星)	 蠻老了，懷舊的溫馨吧，我沒怎麼看完            
(5星)	 光阴在说祝福也是一种爱··在说错过是为了遇见对的··在说一个想要给别人幸福的人··一定会得到幸福··还在说命运要顺着它流··不要害怕被大海淹没··只有顺着它流··才能找到上岸的力量··我们都是为光阴写着故事的人            
(4星)	 还记得里面的黄腾浩~            
(5星)	 流水带走光阴的故事……            
(4星)	 超喜欢。一美和基扣&gt;&lt;            
(NA)	 记得很久之前 凤凰卫视下午回家档 我们总是很多人一起看 或者说这样的题材可能更符合大家欣赏  个人觉得看完之后还是有很多感慨的 只是光阴的故事嘛 过去了的事情  就叫做 光阴的故事            
(5星)	 非常棒的台湾电视剧,反映眷村.“在幻变的生命里,岁月原是最大的小偷.”--&lt;岁月神偷&gt;;“请珍惜在物质贫乏的岁月,我们相互扶持走过的日子.”--&lt;光阴的故事&gt;;在香港人,台湾人追思珍惜过去父辈的旗帜,人与人之间的真挚时.共和国的同志们还在迷惘的娱乐至死..            
(4星)	 可看！            
(NA)	 我阿姨就是眷村长大的，因此，我特喜欢眷村文化，支持王伟忠大哥的更多电视剧。            
(5星)	 满满的感动...还没看完，所以暂时给4星            
(5星)	 傻傻的一美            
(4星)	 流水它带走光阴的故事，改变了一个人，就在那多愁善感而初次等待的青春。PS：小时候的孙一美好有范。            
(NA)	 看完这部电视剧，越来越喜欢王伟忠~~~~通过几个小人物的描绘，让远在大陆的我们了解到台湾的军眷村，尤其是他们的文化与思想~~~~            
(NA)	None
(5星)	 很不一样的电视剧，更多的是亲情和友情            
(NA)	 很简单很纯粹，关于那个年代，最初的爱情。            
(4星)	 两年前看过，偶然间又听到罗大佑的歌，于是故作深沉长吁短叹一番，终究是一阵青春一阵烟            
(5星)	 特别好 容易让人想起小时后            
(5星)	 大二的时候天天晚上窝在宿舍看的一部剧 虽然剧集多 但是觉得很值得看 所以强力推荐            
(5星)	 很好很强大！！！！！虽然看过几遍了还是会想看！！！！！！！            
(NA)	 與一般的嘔像劇不太一樣，是溫情派的台灣電視劇。大愛~            
(NA)	 听到台湾腔我就不想看了 台湾腔给我的感觉就是 小成本 低制作 粗制滥造的代名词            
(5星)	 已经看过一半，迫不及待的来豆瓣给了5星。            
(5星)	 陪伴我和老妈度过开学前的最后一个月我爱里面所有的角色            
(5星)	 这部连续剧是我看过最感同身受的电影            
(5星)	 汪茜茜脸长得还不错啦，但是身材总是看起来怪怪的，很壮有没有。冯妈真是漂亮到极点啊，而且一会正常一会神经，说的话也是超有道理，简直是神一样的存在，我都担心到最后她不要变成一缕青烟说是外星人。            
(5星)	 太多相似的经历了，台湾50,60年代跟我们小时候好像啊            
(NA)	 从很久很久以前讲述到现在。他们的亲情  友情  爱情 都让人感动。             
(5星)	 很朴实，带着朴实的感情制作出来的作品才会打动人。            
(NA)	 看《光阴的故事》，有些像天朝反映70年代末的剧集一样，能引起我等共鸣。            
(5星)	 少见很有诚意的电视剧。述说着年代久远的故事，仍让我们看到自己或人生，非常感动。            
