http://movie.douban.com/subject/5294313/	一天 하루 / ある一日の物语
(3星)	 泡菜国的景片。韩彩英是真漂亮，身材是真好。泡菜国的化妆和打光也是天朝学不到的，当然，还有整容技术。            
(3星)	 看完后。要不是百度了下。还真的不知道原来这片子是韩国旅游宣传片。不过我说导演啊。编剧啊。这样不知所云的东西也是可以拿出手的么？亏了片子里的演员了。            
(3星)	 很美的韩国旅游宣传片。不过只看到了第一集            
(3星)	 上帝也无法阻止这些女人回炉了0.0            
(NA)	 权当看人了            
(2星)	 故事真的很烂，看看画面吧~~~~~            
(NA)	 各种泡菜啊。。。            
(1星)	 真不知道看点在哪里 。             
(3星)	 原来是广告。 - - 。            
(NA)	 风光宣传加时尚广告            
(2星)	 小清新得很 可是实在没懂要表达什么             
(3星)	 里面杀手那段。。。。现实版水果忍者啊。。。还带PK的            
(3星)	 像电影又不像电影，像广告又不像广告。拍的很漂亮，不过盗版史密斯夫妇。BIGBANG打酱油             
(NA)	 大酱味的史密斯夫妇            
(2星)	 不知所云，灰常牵强。。。李多海是整容过度了么？金范的烤瓷牙亮瞎人狗眼啊~泡菜版史密斯夫妇后来又变身FRUIT NINJA了？            
(2星)	 完全不知所谓            
(1星)	 不知道说什么的            
(3星)	 http://v.youku.com/v_show/id_XMjExMDYwNzUy.html            
(3星)	 纯粹养养眼。。            
(4星)	 其实我不知道主题是什么，有点儿没逻辑~但是很美！            
(3星)	 如果拍成长电影应该更不错！            
(3星)	 什么嘛，故事还没开始就结束了。而且里面也没多少美景呀...............            
(3星)	 忙活了一早晨 准备了一桌子咸菜。。。            
(NA)	 旅游宣传片……            
(3星)	 这什么啊，根本就看不懂啊T^T            
(4星)	 演员和风景都很好看，切水果的桥段甚至COS史密斯夫妇*%￥#@；作为旅游宣传片科真能扯——不过真正和棒子们相处下来才发现韩片还真是源于他们的生活，没有什么是不可能发生的。            
(3星)	 韩国旅游宣传片，看完一点没激起想让人去旅游的意愿。。            
(NA)	 竟然是官方旅游宣传片，完全看不出来……bigbang果然是酱油，跟剧情完全无关嘛……金范的笑容依旧迷人~\(≧▽≦)/~最后的花絮，现场侧记永远是最有魅力的~~            
(3星)	 李多海完全整到第二个样子来了~            
(1星)	 果然是棒子的思維俺無法理解麼?!!!0 0            
(4星)	 演员好美            
(3星)	 这部片子的主旨。。。 到底是神马 ？            
(3星)	 死作死作的            
(2星)	 什么东西啊！！低级趣味！！尼玛装小资啊！！上网本啊！！！单反啊！！！沙滩车啊！！！视频通话啊！！各种装逼利器都被挖掘用尽了啊！！只能吃豆芽、年糕的穷逼桑不起啊！我就单纯觉得韩彩英很美啊！！            
(4星)	 很喜欢这种清新的感觉            
(NA)	 金范不错~风景很美。那场水果大战简直SB到家了            
(2星)	 什么东西啊！！低级趣味！！尼玛装什么小资啊！！这么点儿东西一口就没啦还丰盛！！！丰盛你妹啊！！！一看就知道是没东西吃的穷逼啊！！！还上网本啊！！！单反啊！！！沙滩车啊！！！视频通话啊！！各种装逼利器都被挖掘用尽了啊！！！后来还尼玛玩切水果啊！！！只能吃豆芽、年糕的穷逼桑不起啊！！            
(4星)	 好吧~我还挺喜欢的            
(NA)	 差点忘了还有这傻缺片儿= =            
(3星)	 三星给花痴对象，内容真心不知所云。。。            
(4星)	 场面不错，bigbang            
(3星)	 介个不是完整版的吧，很多事情没讲完啊。。。艳遇，什么时候能艳遇个金范这样的主儿啊，哈哈~~            
(2星)	 韩国人这次真他妈无聊。。            
(3星)	 切水果 和山寨史密斯夫妇 雷死了差点            
(3星)	 完全旅游宣传片            
(2星)	 。。不就是广告嘛，剧情超弱智            
(4星)	 厚厚啊彩英啊~~~❤            
(3星)	 剧情好白痴，看人就好~            
(3星)	 画面美            
(3星)	 大型拖拉机广告+神舟笔记本电脑广告。三星是为了韩彩英和朴时厚，还有还算小资的拍摄手法            
(3星)	 三颗星是给韩国风物的~广告片拍得像短剧，我还以为会有爆点呢~劈腿什么的……            
(3星)	 史密斯夫妇+爱在黎明破晓前，实际上是韩国旅游宣传片，画面还是美的，剧情实在离谱了点。。。            
(3星)	 当然为我阿变，不过怎么也不喜欢李多海。            
(3星)	 不明白bigbang出演的一段是跟其他几段有何关联。            
(4星)	 各种美男            
(3星)	 虽然情节各种混乱，不过那些脸蛋，看着就舒服哈~            
(4星)	 view不错，但剧情老套了咧            
(3星)	 没什么大意思。但是韩国人很会拍，很好看很清新~韩彩英是女神啊！金范是暖男，bigbang真是冉冉上升的人气王。看到结尾那首歌，它是点睛之笔啊。            
(3星)	 那段邂逅真美丽！            
(4星)	 很不错啊！金范只会傻笑，好在他笑的时候很耐看；李多海总感觉哪里动过了，但又看不出来，应该是眼睛附近，反正变漂亮了；韩彩英大美女，朴时厚好帅好帅好帅！！还好这次允浩没有被劈腿，不然我都要为他杯具了，东方神起时代允浩是被劈专业户，又想起朴路人了。。。可惜神起不复存在了。。。            
(4星)	 小帅哥艳遇神嘛的  确实够漂亮            
(4星)	 韩彩英很美~            
(NA)	 好吧 如果不是 BB。。。哎    恩 ！            
(NA)	 这东西也能拍30分钟。。。拍得又像广告可是又好像想讲个什么故事。。可是实际上是为了介绍风景。。无语。。打酱油的允浩和不知为何出现的BIGBANG            
(3星)	 囧。俺都不知道这可以称为韩剧的。。一直以为是宣传片…… &gt;_&lt;            
(3星)	 风景很美，食物很诱人，男人很帅女人很美。还有那火车，装饰得跟新房一样的窗帘电脑桌，想坐上去旅游。11.2.25傍晚。            
(4星)	 为了给爱人买礼物而奔跑的男人 完全帅气。            
(NA)	 莫名其妙就看完了            
(3星)	 观光旅游宣传片！！！！！！！！            
(NA)	 这个居然也有条目= =            
(4星)	 哇…空中飞着的水果们……            
(4星)	 朴时厚带墨镜就是帅啊!!!!!有些慢动作镜头很美~            
(NA)	 我还是爱小多海~~~            
(4星)	 很好的突出了韩国的风景。bb和孩子们比较有爱。            
(2星)	 朴施厚是真帅啊……剧情太扯了。完全低分。            
(4星)	 养眼~            
(4星)	 风景很美~剧情神马的就那样吧，反正这个是观光片来的嘛            
(3星)	 就算是整过的 金范和郑允浩也挺帅的~嘿嘿嘿            
(4星)	 用一天时间,在陌生的地方和陌生人一起做没有做过的事..            
(5星)	 金范真的太俊了！！            
(4星)	 为了Leader.顶一下！            
(NA)	 长篇观光广告啊！不过一群明星，也够养眼的！            
(3星)	 너무 하루 ...            
(3星)	 找一堆明星拍这么个莫名其妙的片子，真浪费！好吧，虽然看见BB我是很开心的！            
(3星)	 画面感不错，虽然剧情有点扯……演员都很喜欢，除了李多海……            
(NA)	 我只为了看金范= =            
(4星)	 太有喜感了......            
(4星)	 期待了好久，但是感觉很杂乱啊，虽然想看的都看到了还听到了sj的主题曲。所以加一星吧            
(3星)	 今日惊喜：精致宣传片。            
(5星)	 純粹熱愛這種畫面            
(NA)	 比起允浩更喜欢金范。。。            
(NA)	 结构有点散             
(2星)	 不知所谓            
(3星)	 画面很美 拍的真好 剧情没有            
(5星)	 除了剧情变态了一点，里面真的是男的帅女的靓啊，浩哥哥求抱抱(づ￣3￣)づ             
(3星)	 一星为风景和食物            
(5星)	 这个拍的好 但就是这样祸害了很多偏信唯美主义的孩子  做泡菜一天就想享受韩式浪漫一天  但事实是………………            
(5星)	 好爱好爱好爱！！            
(4星)	 because of u            
(NA)	 果真看完想去韩国~！            
(5星)	 金范！！！！            
(3星)	 只剩下华丽了。            
(5星)	 金范！！            
(3星)	 虽然有点莫名，可我喜欢韩彩英            
(5星)	 虽然是棒子国旅游宣传，但是冲着允浩金范李多海韩彩英朴时厚还有bigbang实在是喜欢~！金范笑起来真好看！！            
(4星)	 韓彩英韓彩英韓彩英韓彩英韓彩英            
(NA)	 韩国捧星+旅游宣传片，个个都美得不行。官网很有国际意识，互动也很好玩，http://www.haru2010.com/。看到了史密斯夫妇和日出之前的影子。不从故事层面挑刺了。            
(NA)	 棒子国老能把自己不怎么样的景色拍得那么好真的是很强大。。。            
(3星)	 靠 我还以为是特么电视剧呢            
(2星)	 就明星闪眼睛而已- -            
(4星)	 我想说面子工程做的无敌的好！！郑允浩和金范你们迷倒一片啊~            
(3星)	 拍的贼有韩国广告味~            
(3星)	 宣传韩国的短片？            
(4星)	 女人美、男人帅、画面好！            
(4星)	 我允浩 太萌了。 GD 依然 很耀眼。 朴时厚和韩彩英 真美好。              
(4星)	 画面很唯美嘛~            
(3星)	 不愧为韩国旅游宣传片，画面拍得很精致感到烧了钱了。风景如画啊。金范的笑容还是那么迷人，公然勾引人家女朋友，呵呵。朴施厚又王子又居家帅气逼人。韩彩英美得没话说。最后那段史密斯夫妇竟然演变成情侣扔菜对打的搞笑桥段，真是大跌眼镜。里面的朴施厚好小气哦，这么对女友。BigBang很可爱            
(NA)	 = =            
(NA)	 么有神马欲望。            
(4星)	 豆瓣上居然有HARU...==...那個,鄭允浩最本色的一次~..            
(3星)	 很诡异。星星给你们：金范、韩彩英、BB。其余忽略            
(4星)	 拍得很漂亮             
(4星)	 片子很有质感，就是没什么剧情，郑允浩戏份也太少了，韩MM很漂亮~            
(3星)	 OST大赞            
(3星)	 炮灰            
(NA)	 整个色调很喜欢~剧情不咋样            
(3星)	 还不错！            
(4星)	 半小时的宣传小电影, 没有具体的剧情, 但是画面很美.            
(4星)	 色调很喜欢 。。演员都养眼的。。。            
(4星)	 还不错~~~~~            
(3星)	 啧啧棒子...            
(3星)	    美人汇            
(5星)	 画面没有话说阿。剧情虽然扯淡，但是为了老郑给5X。~            
(5星)	 比很多所谓的宣传大片闪多了！            
(2星)	 真的是，很一般。情节太弱，还总在那里炫技。旅游宣传片不是靠画面美好起作用的。——在我看来唯一和风土人情有关的是，那些长时间给食物的特写。。。            
(NA)	 http://www.tudou.com/programs/view/todmLHav3EM/            
(NA)	 挺好的 都是明星 不看白不看            
(4星)	 彩英是亮点            
(3星)	 只看了BB的那部分            
(3星)	   官方 旅游 宣传片 很多明星 加上 些美景... 还有几个小故事..            
(1星)	 实在不明白拍的是什么，金范同学的笑容实在是太治愈，除此之外毫无亮点。            
(3星)	 风景不错            
(3星)	 愣是没看出韩国怎么美了，还不如之后那个首尔的宣传片。倒是发现原来那个《迟爱》同人MV里金范拿着相机的镜头是出自这里啊！            
(4星)	 减掉一星。            
(3星)	 没什么剧情的片子，韩彩英还是那么美，李多海依然很可爱，男演员普遍中等水平。            
(3星)	 就是部三十分钟的韩国宣传片嘛，不得不说韩彩英举手投足间的气质~啧啧~真的魅力没法挡啊~            
(4星)	 小清新味宣传片            
(4星)	 画面很好看~~~            
(4星)	 拍得很美，但是韩国说真的也只能通过荧屏忽悠忽悠人，真的去到完全不是这样~~~~~            
(1星)	None
(5星)	 五星是给浩子的            
(4星)	 帅锅美铝毕竟还是很养眼滴            
(3星)	 毛也没讲啊。。。            
(3星)	 李多海的剧本让人很无语吖。            
(4星)	 矮油有朴时厚的话给个四星好了~不过还是有韩剧里一如既往的浪漫感觉~             
(4星)	 纯的只为韩彩英！            
(4星)	 因为队长和施厚哥加一星= =本来对金范无感的这剧情逼得我对他非好感。你没抢队长女人是闹哪样？！！！！咳，想说李多海祝你早日和东方神起所有人合作一个遍= =差点忘了，BB为什么从头到尾都在给人乱入的感觉= =这片有剧情了但我觉得不如之前这么多年的任何一个广告= =            
(NA)	 我冲着金范去的            
(3星)	 吃饭的时候看看            
(3星)	 原来是韩国旅游宣传片来着！强大的明星阵容！关于剧情，允浩的角色讨人喜欢…其他的就不说了……            
(3星)	 简短的生活时尚剧。            
(4星)	 音乐很棒。。。            
(NA)	 [2011 观。]            
(4星)	 很多帥哥            
(4星)	 为了里面的美型我推荐了我··            
(3星)	 肯定比天朝在纽约时代广场的宣传片强多            
(3星)	 到处都是三星。。。。我想知道，最后允浩等到李多海了没。            
(3星)	 韩国短片            
(5星)	 不错的小短片   只是有点小伤感            
(NA)	 其实也就是个宣传片            
(3星)	 金范很帅，李多海好变形，韩彩英好美，木了。。。            
(5星)	 超级好看阿有没有T T这里面金范超级帅超级帅特别有李润成的感觉阿bigbang那一段笑死我了哈哈哈我爱韩彩英太美了特别有气质李多海直头发真好看清新            
(2星)	 本来很期待这么强大的明星阵容会演绎出什么效果····真的雷死了·······            
(3星)	 我真没认出李多海            
(3星)	None
(NA)	 里面的画面好美的说。。。            
(5星)	 养眼啊。            
(4星)	 喜欢李多海在这里面的感觉~韩彩英真的美翻了~~~            
(3星)	 很白目的剧情，不喜欢这些明星建议不要看，浪费时间            
(3星)	 有后续就好了。还是很喜欢李多海的娇媚，虽然更喜欢她的知性。            
(3星)	 首尔观光宣传片儿            
(4星)	 很美好，很养眼            
(1星)	 二死了的韩国宣传片            
(4星)	 好看            
(3星)	 韩国旅游宣传片            
(4星)	 金范+朴施厚啊啊！！            
(4星)	 几个小故事衔接得挺自然,确实很清新的感觉,画面也很好看            
(NA)	 李多海是有多好看            
(4星)	 爱金范，爱BIGBANG~!            
(NA)	 各种我爱的明星。            
(3星)	 真是部脑残的观光宣传片            
(3星)	 打堆            
(5星)	 就凭这是一部旅游宣传片，也值得给五星。            
(3星)	 有一段让我想起水果忍者了，笑死我了，整个短片色调我喜欢。            
(3星)	 刚开始以为是三星的形象片~             
(4星)	 这个剧情很模糊。。但是明星很亮~            
(3星)	 画面感不错。。不愧是旅游宣传片。。我是冲着两位女主看的～～～            
(3星)	 真心喜欢韩彩英啊~            
(3星)	 人广告有画面，有剧情，美女帅哥，唉～            
(4星)	 因为短....            
(NA)	 原来是广告            
(2星)	 什么乱七八糟的～            
(4星)	 阵容强大， 故事略显一般。 但是景色好美啊， 其实是棒子比较追求画面美吧~            
(4星)	 各种养眼~~            
(4星)	 如果是看明星的话真的很值            
(5星)	 感觉真的挺好的            
(3星)	 喜欢那辆列车~            
(3星)	 爱彩英~不过这片子实在有点抽象...            
(3星)	 阵容庞大！都是爱啊~~特别是俩女主            
(4星)	 冲着允浩和biggang看的            
(3星)	 只是人美，场景美而已，剧情真的很烂。            
(4星)	 真心觉得不错   想遇到这样的一天            
(3星)	 吃货只看到里面精致的食物~~~            
(4星)	 神马？这是旅游宣传片？风景好赞！不过另一条主线好奇怪！每次当我陶醉在范和李多海逐渐升温的感情中。。骑摩托的人就插进来瞬间毁坏格调了。。范和李多海最后告别也好灵。。“如果下一次我们再次邂逅”。很感动。。            
(3星)	 画面很好            
(3星)	 是韩国旅游介绍+喜剧片吗？怎么还有切水果呢，真是太与时俱进啦~            
(3星)	 金范，TOP            
(3星)	 忽略剧情即可。。。= =            
(4星)	 秋日午后，治愈系短片，看完心里暖暖的。            
(5星)	 李多海的裙子是BEAN POLE的啊 那一季的我也有这个花纹的毛衣 以及金范爱惨了            
(NA)	 看人就行了，其他不予置评            
(NA)	 把五分钟能讲清的事拍成半个小时            
(2星)	 只是人好看。            
(3星)	 只能用养眼来形容吧，还有我一直不认识允浩，原来那么可趁。剧情太韩国风了，假。            
(3星)	 啊咧。在人人的分享里看过。主要是里面男人我都好爱&gt;&lt;特别是笑起来傻乎乎的金范啊金范&gt;&lt;            
(3星)	 很漂亮。 风景漂亮，演员漂亮            
(4星)	 金范好温柔！            
(3星)	 一天可以發生很多事情。            
(5星)	 只关注演员，风景，音乐。为了金范才看的。——9·1            
(3星)	 纯粹因为阵容才来看的。最后也不知道到底说了什么，到底想说什么。            
(4星)	 矮油 金范！！！            
(3星)	 美的美 帅的帅            
(4星)	 夏天能在溪边泡泡脚，钓钓龙虾，树荫下吃吃西瓜，真是太爽了！！配乐不错~这广告片看得我想去韩国了！            
(4星)	 虽然片子很短  故事很小 但是有我喜欢的地方            
(3星)	 主要看帅锅美铝            
(2星)	 鄭允浩。。。。            
(4星)	 说是旅游宣传片的话还没能很好地达到那个效果。三个部分的人物串联不太紧密。四星给的主要是超强阵容的演员和SJ的音乐。顺便HC一下，要是我是多海姐姐也难以抉择了啊，看到金范的微笑就只能对不起郑允浩童鞋了。不过这三角恋都没个结局就太说不过去了。            
(3星)	 韩国旅行宣传片= =            
(3星)	 金范啦！！！允浩啊！！！！朴某啊！！！            
(4星)	 因为明星阵容所以给了四星，尤其是朴施厚和金范，我简直就要疯了~据说这是旅游宣传片，不过在看的时候完全不知道他们在干什么，要干什么@@            
(4星)	 很美的人和画面            
(5星)	 允浩吖~            
(5星)	 很喜欢的感觉            
(3星)	 美人 美景 但空洞。可惜。            
(NA)	 李多海的样子貌似是变了。。            
(2星)	 奔着允浩去的,结果发现好无聊...            
(2星)	 色彩很棒 韩国的饭菜真是再怎么精致 也让人没食欲啊 李多海可以整的再夸张一点么 本来只想给一星的 不过韩国人的片子颜色真的是很好看 外加金范也蛮帅的 哈哈哈            
(4星)	None
(3星)	 没什么特别的地方，反正就是个宣传片类型的吧。            
(3星)	 浩子演点别的吧            
(3星)	 韩国旅游宣传片，all beautiful people..            
(3星)	 人物养眼 剧情扯淡            
(4星)	 韩彩英好漂亮啊~ ~ bigbang的那个车很拉风的说~            
(3星)	 真人版的削水果            
(2星)	 装有一手            
(3星)	 韩彩英那段韩式MR&amp;MRS Smith惊到了我一下，允浩的演技自然点了虽然依旧呆呆的~            
(3星)	 喜欢李多海的装扮            
(5星)	 真的很好看，看了好几遍了。爱上金范了(^o^)            
(5星)	    美好的一天~            
(4星)	 不错的片子，值得一看。            
(4星)	 不是看剧情的，是看俊男美女的……            
(4星)	 數星星旅遊宣傳品。            
(3星)	 最后李多海来了没有啊，，，，            
(3星)	 纯粹看人            
(3星)	 情节有点弱。不过丢橙子的那段太华丽了。美            
(3星)	 画面很漂亮            
(4星)	 完全不記得當時樸時厚是什麼狀態了。。後悔死了！            
(4星)	 看不太懂 纯粹看看帅哥美女            
(5星)	 五颗星只因为郑允浩            
(3星)	 给剧情打的分……真的是很俗套了还顺带借用了史密斯夫妇的剧本……            
(3星)	 养眼。            
(4星)	 金范的笑秒杀啊！            
(4星)	 没看出像宣传片，画面倒是挺美的~            
(3星)	 小清新嘛，感觉更像广告，各种三星产品            
(2星)	 全当听歌看美人了。            
(4星)	 画质效果喜欢，俩女主喜欢，男主也不错，哈，期待中。            
(3星)	 很狗血            
(NA)	 韩式美学概念的宣传片啊，很多细节很美！            
(NA)	 就是个广告片嘛~不过都是我心水的男人们啊            
(4星)	 很有质感            
(5星)	 全部是喜欢的歌手演员~大发            
(3星)	 看到水果大战那段，哇哈哈，水果忍者吗？            
(2星)	 不知道想表达什么。。乱七八糟。。            
(5星)	 一部只有30分钟的短片，爱情短片，结局令人无限遐想            
(4星)	 小清新            
(4星)	 哈哈，除了允浩都是大爱啊！！！！！！            
(3星)	 剧情完全没法看= = 尽管是个旅游宣传片，但既然都拍成故事了剧情也稍微靠谱一点行不行…… 帅哥美女还是很好看的&gt; &lt;            
(3星)	 金范那段很不错，允浩应该和在中拍得            
(4星)	 难道是韩国旅游宣传片么？不过挺美好的..            
(5星)	 美女帅哥噢噢噢            
(NA)	 推荐韩国么            
(3星)	 明星阵容超强大的！！O(∩_∩)O哈哈~还有BigBang~            
(3星)	 李多海很美            
(NA)	 为了韩彩英 看的            
(5星)	 韩国宣传片拍成这样已经很牛叉了。。虽然没创意，至少腕够多画面够美。。            
(2星)	 完全是冲李多海来的，结果，这就是喊你去韩国旅游嘛            
(1星)	 想表达什么意思。。一头雾水    不过不服不行，画面还挺美的            
(4星)	 作为宣传片，清新自然，蛮喜欢~            
(3星)	 满满一桌的泡菜  你再精致 还不是过泡饭的            
(3星)	 韩彩英好美啊~李多海为什么整成那样了啊啊啊，之前my girl里多好看啊~            
(4星)	 加長版MV!             
(3星)	 韩版Before sunraise+史密斯夫妇意淫结合体……            
(3星)	 韩彩英美死了！            
(4星)	 我觉得很好看啊~~~除了俊男美女外，打斗场面使用的慢镜头很特别~            
(1星)	 不知所云            
(3星)	 纯粹看金范而来            
(2星)	 画面好看，人物好看            
(3星)	 韩国旅游宣传短片，有点天马行空            
(3星)	 主要有我们家的范儿哟。&gt;&lt;            
(4星)	 还满好看~~~哈哈啊哈~~~摄影师很帅啊~~~            
(5星)	 精致，清新，文艺，舒服，就爱这个feel~            
(3星)	 有没有人告诉我big bang那段是在干嘛？！韩彩英好美，朴时厚很儒雅呢！！            
(3星)	 這是個廣告片麼？o(︶︿︶)o 、不過還是很喜歡這種場景~~            
(4星)	 风景很美，人物很二。            
(5星)	 好棒。\(^o^)/~            
(2星)	 一般一般很一般，糟蹋那么多喜欢的人。不过也就是旅游为主的宣传片 唉            
(4星)	 看帅哥啦~~            
(NA)	 这些男人除了会笑还会做什么。。笑的莫名其妙的。。。            
(5星)	 各种大爱的人们云集啊～！BigBang ， 允浩， 金范，韩彩英......太赞了有么有！            
(3星)	 拍广告的感觉~~            
(4星)	 《一天》2010.邂逅。30分钟的短片的确很难满足对于情节的贪婪，还好有好的风景，俊秀的脸庞，还有梦寐以求的邂逅。续一杯茶，看“一天”，会给你好心情。“你难道没有尝试过在陌生的地方和陌生的人坐着从未做过的事情？”——这个男人叫金范。             
(2星)	 冲着bigbang去看的，结果是打酱油的= =            
(2星)	 不知所云            
(4星)	 金范啊金范~\(≧▽≦)/~            
(3星)	 ……剧情完全不用在乎，关于史密斯情节虽然有点小无奈但还是能接受。童鞋们这是旅游宣传片！！！旅游宣传片！！！不要挑剔啦俊男美女狗血又温暖的剧情还有大韩民国超级美景~~~~足够了。足够了！！！            
(5星)	 bigbang在里面！！！            
(2星)	 是挺美的，可惜没什么内涵            
(3星)	 http://v.youku.com/v_show/id_XMjA5MjIxMjc2.html　　原来是旅游广告片　            
(4星)	 帅哥美女很多，但是主题凸显的不怎么样~            
(4星)	 李多海和金范那段太美好了！            
(2星)	 为神马动作情节最后变成了切水果大战呢。。。且，这是传说中的风光片？            
(1星)	 20110616为了看帅哥美女，没想到太太无聊啦……            
(NA)	 好吧~原来是韩国宣传片~没有觉得景色拍出来有多美，但是确实体现了韩国娱乐圈的影响力，明星的影响效应~最重要的是韩剧的浪漫~宣传语应该是“想有一段不寻常的浪漫之旅吗？来韩国吧~”嘿嘿嘿~其实我想知道一天以后会发生什么？李多海会不会再遇到金范？与允浩三个人又会发生怎样的故事呢？哈哈哈            
(3星)	 就是为了看演员。。。            
(4星)	 一天可以发生很多事情。。            
(4星)	 画面好好            
(3星)	 想表达什么？这几颗星是给那几个妞的            
(4星)	 嗯，看完就对韩国火车很喜欢嘛…             
(3星)	 这是广告么            
(3星)	 矫情... 矫情...            
(3星)	 拍的好美            
(NA)	 看不到什么！史密斯夫妇?            
(2星)	 这是想干吗，旅游片也可以有逻辑的好吧，这要是学生拍成这样，不得被我们骂死啊……            
(3星)	 阵容强大的没话说。。但是剧情也没话说= =            
(2星)	 情节很扯。但是演员好看。            
(4星)	 画面景象很唯美，但是没看出什么意义及内涵...我起初以为是SAMSUNG的广告片!            
(3星)	 水果大战确实不知所云            
(3星)	 看了介绍才知道是旅游介绍片~不过金范的笑容真的好迷人啊！切水果那段让我华丽丽的以为是爱疯手机上的游戏真人版,...囧            
(3星)	 就觉得是先传片咯 还真是  完全冲韩彩英的            
(3星)	 好精炼的韩剧啊。韩彩英！！！！！！！！！！！！            
(4星)	 很漂亮啊...扔水果那里蛮搞笑的.. 韩国旅游宣传片...            
(3星)	 韩国各种偶像么            
(4星)	 一天里，所有的人生活都不同            
(5星)	None
