http://movie.douban.com/subject/2046853/	义不容情
(NA)	 【1989-04-03】            
(5星)	 居然有劉嘉玲。。。            
(4星)	 太狗血了，不过那时候的刘、周、黄、温都正当年            
(5星)	 原来是我失去的，竟已是我的所有            
(NA)	 那时候好喜欢周海媚            
(3星)	 那时还没上学吧。。。            
(4星)	 一生何求！！除了最后那个红鞋的结局文艺过了，一切都很好。            
(NA)	 温兆伦演大反派！周海媚虽然三角眼但还是很妩媚啊。最后望着绝尘而去的汽车哭的那个爆炸头是刘嘉玲吗？似乎黄日华选择的还是周海媚？不太记得了。            
(NA)	 当时是90年代中期，贵州卫视的暑假，一天放6集。看的过瘾。            
(NA)	 童年回忆            
(4星)	 这个是经典            
(5星)	 你怎么可以，你怎么可以，把她推下去？？！            
(5星)	 最爱+0那个时候的感觉            
(5星)	 几分伤心几分痴~~~            
(4星)	 很小的时候看的，至今居然连女猪剧中的名字都记得            
(4星)	 君已死，请忘记。            
(4星)	 一生何求！            
(NA)	 蓝洁瑛真的好漂亮&gt;&lt;            
(NA)	 更经典            
(5星)	 经典啊！！            
(5星)	 太经典了！            
(4星)	 至少是用心在演            
(5星)	 那时候的女明星真漂亮，气质真清秀啊！            
(NA)	 一生何求            
(4星)	 常看常新~            
(5星)	 帅            
(5星)	 “恩怨情仇”港剧中的经典。回顾一下发现以前的很多衣服现在又成了时尚，《一场游戏一场梦》竟然是插曲。            
(4星)	 温兆伦永远都是演这样优秀但是坏死的人！            
(4星)	 我妈超迷            
(NA)	 今天终于看完了            
(4星)	 我的妈呀 最后一集看的胸闷啊 牛牛云：噶有钱额..十年类..要么十分钟欧~            
(NA)	 好人太好坏人太坏，看得人咬牙            
(5星)	 我幼年时候的经典电视剧啊。            
(NA)	 TVB老剧真是难以逾越，电视剧频道重播ing            
(5星)	 想起了小时候在家中黑白电视机上看此剧的日子，那时的快乐在现在看来是不可复制的            
(5星)	 情節記不清了。很小的時候和爸媽一起看的。從此覺得黃日華超帥的。            
(4星)	 小时候看的，道德启蒙剧之一。楚君这角色我一直没忘呢            
(4星)	 在老爸的影响下，主题曲《一生何求》成为我最喜欢的歌，几近没有之一。            
(5星)	 ！！            
(4星)	 一生何求            
(5星)	 老妈最爱            
(4星)	 真是好看，编的好，演得好，好人太好，坏人太坏，男的帅，女的美。            
(5星)	 第一次意识到人性这种东西            
(5星)	 主题曲至今难忘            
(NA)	 事实上忘了            
(5星)	 最美好的记忆            
(4星)	 老到我几乎记不起剧情了。            
(5星)	 没料到我所失的竟已是我的所有            
(5星)	 还会唱着里面的歌儿呢！            
(5星)	 香港有好多可正可邪的男演员刘嘉玲只在这里好看过            
(5星)	 看TVB长大的~            
(5星)	 还是怀念            
(NA)	 虽然我确定看过，但不记得内容了            
(4星)	 对这个卡司和扮相有印象，但剧情不记得啦            
(4星)	 温兆伦最好的连续剧            
(4星)	 当时觉得温兆伦坏到骨子里了...            
(4星)	 1989            
(5星)	 一生何求。好怀念。            
(5星)	 一生何求？~我学会的第一首歌~纪念            
(4星)	 结局不是我想要的            
(NA)	 义不容情            
(5星)	 一生何求            
(5星)	 永远的经典            
(4星)	 回忆            
(5星)	 怀念下那个年代看的片子            
(5星)	 太好看了。            
(5星)	 突然想看年轻时的黄日华了            
(5星)	 看人生百态。角度不一样，人生就不一样。也许人生没有终极目标，按照自己的原则走下去，在每件事上打上自己的痕迹。一点点的也就变成了自己的人生。    看完这部，居然有了享受每一天，踏踏实实生活的勇气。o(∩_∩)o...            
(5星)	 N好看            
(4星)	 黄日华 温兆伦 经典对抗            
(4星)	 和妈妈一起看过的,当时极痴迷,呵呵.            
(4星)	 港剧的又一经典啊            
(4星)	 老娘的最爱            
(4星)	 小时候看的，N小～剧情都忘了，只记得那时候很火            
(4星)	 冷暖哪可忧，回头多少个秋            
(4星)	 冷暖哪可休，回头多少个秋。            
(5星)	 情义无价！……            
(5星)	 当年水平来说，非常吸引！            
(5星)	 很经典的港剧，刘嘉玲再也没有演过超过倪楚君的角色。            
(5星)	 一生何求的主题曲令人难忘；君已死，请忘记            
(NA)	 这片子很强大            
(4星)	 经典            
(4星)	 你们现在还好么？            
(4星)	 编剧很扎实            
(4星)	 温兆伦啊，读书时话题剧。            
(3星)	 好青澀。。。。            
(5星)	 好喜欢那时的刘嘉玲            
(NA)	 杀死妈妈 陷害哥哥 印象刻骨            
(4星)	 一生何求，常判断放弃与拥有……没料我所失的竟已是我的所有。            
(4星)	 那时候多美。            
(5星)	 值得重温的80年代TVB经典剧！            
(5星)	 小时候看过一点点，大学重温了下，非常喜欢刘嘉玲的角色            
(5星)	 冲着一生何求这首歌就是5星啊            
(5星)	 哈哈 我爸妈还经常说那个坏弟弟和好哥哥的那部戏 想起这个我又想他们了。。。            
(4星)	 多连青哦            
(5星)	 最喜欢的电视剧，没有之一            
(4星)	 我到了现在还在纠结那个红衣女子是谁.....            
(5星)	 全是记忆啊            
(5星)	 冲着邵美琪温兆伦这对来的，不过剧中主角人物很吸引人，特别是刘嘉玲这角，哇，以后再看到刘嘉玲就整个倪楚君啊！！！            
(5星)	 我妈的爱，的确是个经典，温兆伦的坏已经是一个境界了，喜欢周海媚的表演，很楚楚可怜的感觉。            
(3星)	 蒜蒜给我讲的 还给我唱歌 哈哈哈             
(4星)	 初中时看的，最近打算回顾一下。            
(4星)	 一生何求            
(5星)	 世上有几个愿意共患难的夫妻？            
(5星)	 这片子里最讨厌的除了丁有康，还有李华，不过温兆伦演的相当到位，周海媚是看到那张脸就搓气            
(5星)	 刘嘉玲的经典之作            
(4星)	 我觉得我应该看过，不然不会对一生何求这么有感情- -            
(5星)	 据说是全球华人收看最多的电视剧，从小到大看过无数次，就是不知道结局，《义不容情》、《大时代》都是出自韦家辉之手呀。            
(5星)	 绝对的经典 还有非常喜欢一生何求~            
(5星)	 剧情一如既往地狗血  脉络依然是两个家庭之间的情感纠纷商业斗争  但经典就是经典 演员很投入 演技很到位            
(4星)	 被温兆伦吓到过            
(5星)	 超级经典！~            
(4星)	 前段时间还在重播呢            
(5星)	 小时候印象最深的电视剧 最爱楚君和俊杰 印象最深的就是有康把加敏推下火车 我儿时的阴影啊            
(4星)	 原来是刘嘉玲            
(4星)	 冷酷到底 悲剧人生 当年的刘嘉玲            
(5星)	 记忆中看的第一部完整的港剧，那是就喜欢坏坏的阿康，嘿嘿            
(3星)	 坏银怎么那么坏。            
(NA)	 当时看觉得刘嘉玲爆丑，里面有段黄日华他妈的鬼魂来找他那段戏把我吓哭过            
(4星)	 只记得温兆伦演的个坏人            
(5星)	  经典             
(5星)	 温SIR反面角色深入人心的经典作品            
(NA)	 不知道为啥翻出来的老电视剧，还是那时候印象深刻啊            
(5星)	 小时候看的片，感觉演的不错            
(3星)	 小時候看的TVB還記憶蠻猶新。懂的道理就是做人要厚道。不是不報只是時候未到。            
(NA)	 已经记不清情节了，只记得小时候觉得超级好看，改天来重温一下            
(4星)	 一生何求            
(5星)	 经典中的经典  +0美            
(5星)	 为神马要搞开放结局~~~要喜剧            
(NA)	 黄日华 刘嘉林 印象很深            
(NA)	 昨天刚刚看完喜欢哈哈            
(5星)	 重温过多遍，温兆伦精湛的演技，传说当年这剧热播的时候，他饰演的丁友康气死了一位老太太。            
(5星)	 刘嘉玲的贴纸，曾一直贴在俺的塑料皮的日记本里            
(5星)	 港剧的巅峰            
(5星)	 当年好小啊我，不过对里面的情节却是记得一清二楚，比如丁有康把女朋友推下火车，临刑前在大哥儿子面前哭成泪人。最最印象深刻的还是倪楚君最后没来教堂……            
(5星)	 小时候模糊的看过些片段 上初中后把此剧重新看过一遍 后又找时间重温了一遍  好剧            
(4星)	 前面太琐碎。毕竟年代太久。            
(5星)	 君已死，请忘记。            
(NA)	 刘嘉玲。喜欢~~            
(4星)	 很青涩的黄日华            
(5星)	 在《义不容情》的重温中，度过了一个温暖的平安夜            
(5星)	 其實一直都惦記著楚君和黃日華結婚了沒~            
(5星)	 又是韦家辉和黄日华，情节依然跌宕起伏            
(5星)	 经典港剧。即使拍摄都显得很简陋。但引人入胜。            
(4星)	 一个情字，容不了那么多人            
(4星)	 电视又在播了，看的我依旧很恨。。            
(4星)	   家族剧鼻祖呀~            
(5星)	 巅峰了            
(5星)	 太喜欢了！！！！！            
(5星)	 一生何求？求知己，求名利，最后都是浮云。但愿人长久，千里共长娟。经典之作，多少个十年都不会消逝！            
(5星)	 看一次彪一次泪；每次都对刘嘉玲恋恋不舍～            
(5星)	 20多年，依然经典。            
(5星)	 主题曲 一生何求 超好听啊            
(4星)	 20年的老剧，还看的有滋有味            
(5星)	 那时候的港剧总是爱恨情仇啊，很戏剧化的情节，现在的真是平淡的就跟什么似得            
(4星)	 好好好睇            
(5星)	 坏到我想抽他的温兆伦            
(5星)	 经典~~剧情流畅毫不拖沓            
(5星)	 经典就是经典！！！日华在里面帅番了！！            
(5星)	 小时候电视台播了好几遍            
(5星)	 我终于知道了，我讨厌周海媚，就是从这部剧开始的。她一直横在黄日华和刘嘉玲中间！            
(4星)	 为了高考没看的片子回来恶补一下，剧情蛮复杂的说，不错！第一次看刘嘉玲演的电视剧，不错很自然，可惜了周海媚，二十年前的眼神和嘴角和二十年后演周芷若时毫无变化，不要说是驻颜有术，实是毫无演技可言！            
(NA)	 嘉玲也是有演技的，就是烟抽得太凶了            
(3星)	 回忆            
(3星)	 结尾很。。。。阿健真是重情义。。。阿康太。。。楚君到底回来了没。。            
(4星)	 黄日华不错            
(4星)	 江苏卫视在播            
(5星)	 Long Long Ago 的事情了 记得温兆伦里面很坏 至今还记得一个片段是温兆伦在火车上把谁推下去了~            
(5星)	 绝对的最爱            
(4星)	 我要听下主题曲!给四星不给五星是因为结局。明明那么相爱，为毛一定要拍的这么乱世佳人。再生一个不是对大家都好？            
(5星)	 做错了事而不用惩罚只会一错再错。            
(5星)	 黄日华很年轻那个时候~            
(5星)	 最后的凄美结局一直困扰着我幼小脆弱的心……            
(5星)	 经典港剧            
(4星)	 沒料到我所失的 竟已是我的所有            
(5星)	 陈百强....            
(5星)	 即使久得我忘记了所有内容，仍然会记得阿康与那首“一生何求”            
(5星)	 太好看            
(5星)	 要重温            
(NA)	 巨经典的好片啊！虽然过去20年之久，却依旧让人回味无穷。 偶然间在电视里看到，后来就天天在电脑上追，45集完全不觉得长，看完了还有失落溢出，似乎一瞬间没了心灵寄托。。。超级喜欢阿健和阿君……啧啧。。。我要看经典啊            
(4星)	 怀念,有时间要重看            
(4星)	 映象深刻啊            
(5星)	 重温义不容情，完全不觉得传说中十大丧尽天良角色之一的丁有康有多可恨。他既没烧死小狗也没活剥浣熊，他既没喊我爸是李刚也没骗农民工的血汗钱。20年前温兆伦可是在大街上被人扔鸡蛋的。仅仅20年，人类道德观堕落的可真够可怕。            
(4星)	 还有一部还有一部。。叫撒的忘了。            
(5星)	 经典的TVB剧啊。貌似当年的港剧比现在好很多。            
(5星)	 主题曲让我想起了爸爸辈们高腰牛仔裤白球鞋的那个年代，真美好            
(4星)	 剧情都已忘记，但是当年这部电视剧的沸点却仍有记忆            
(5星)	 一部很经典的片子...最后的OPEN ENDING让人猜想至今...而刘嘉玲在里面的演绎也可圈可点...            
(NA)	 重温            
(5星)	 终于看完了。经典。            
(4星)	 温兆伦弱弱的。。。水水的。。。            
(5星)	 青春无敌的一群人奈~~            
(5星)	 经典就是经典，隔了这么多年，再看的时候依旧投入。转过头发现，原来编剧有邓sir，原来还有那么多那么多TVB的绿叶，那是港剧最好的时代            
(5星)	 经典之经典，找个日子再重温一遍            
(5星)	 最爱楚君！！永远的记忆。。。。            
(5星)	 just a little...冧the feel            
(4星)	 温SIR虽然坏，可是好帅……            
(5星)	 让我感动，让我悲伤，想看却又不敢再看一遍的电视剧            
(5星)	 以前看的没有印象.........原来这就是传说中的蓝洁瑛啊...............因为自恃漂亮被香港娱乐公司雪藏后来落下凄惨的下场..............不过真的很漂亮.........那么朴素的衣服都掩盖不了她的年轻和漂亮........人啊, 有时真要识时务...            
(NA)	 印象深刻啊找时间重温            
(NA)	 温兆伦塑造出了TVB第一大坏蛋：丁有康！            
(4星)	 总有一部剧 拯救一个人 这次换6+0了             
(5星)	 刘嘉玲抽烟的神态迷倒一大帮            
(NA)	 阿华的生活态度让我赞赏            
(4星)	 又把我看哭了，娘的！            
(3星)	 孩提时代瞄过几眼。            
(4星)	 下午发现湖北卫视在重播，20年前的片子，现在仍然还有些看头            
(4星)	 各种大牌小时候~ 青春啊清纯啊            
(5星)	 港片经典            
(5星)	 还是老片好看 那时候的刘嘉玲好美~~            
(4星)	 小时候看过，现在重播就再看看，刘嘉玲真年轻呀那时候^            
(4星)	 我终于找到了你，那部在我记忆深处却寻不到踪迹的电视剧。            
(5星)	 一生何求            
(5星)	 太经典的剧集，，，现在无论是香港还是内地的电视剧都无法超越            
(5星)	 儿时的经典！！！！！！            
(4星)	 小时候看的剧，大部分剧情都不记得了，但是看了简介后发现原来这就是“幸运星”的发源剧啊。。。PS：温兆伦奸角奠定作，哈哈！            
(5星)	 小时候看过的现在再看更深刻 香港比内地超前20年不止 很经典的电视剧            
(5星)	 當年覺得很好看。            
(5星)	 好像香港从这部电视剧以后开始了家族片商战片大片等，什么是经典？就是过好多年后再看仍然觉得好的东西。韦家辉编剧，都有一种特别的气质，格局很大也很宿命。            
(5星)	 开启我的港剧之路            
(NA)	     因为温兆伦，我可以开始面对反面角色，特别是奸角，以往都是恨得掉牙。            
(5星)	 亲情，爱情，友情。            
(5星)	 我妈说刘嘉玲的演技没得挑。温兆伦后来演过朱藻，完全不像当年那个坏犬儒            
(4星)	 当时就觉得温兆伦怎么能那么坏呢            
(4星)	 如果爱就深爱，但那一定要是值得爱的人，不是满口谎言的男人，也不是一直说对不起的男人。            
(5星)	 经典就是经典            
(4星)	 最后的结局果然是 一无所有            
(5星)	 黄日华我爱你            
(5星)	 电视台和在网上交差看的,我总是会在电视上看到好电视就忍不住到网上追着看,看到碟版的第28集,君健一家人好开心好幸福啊.听说结局是开放的,特意去搜了一下,感觉好悲,不忍看,就到此为止吧,记住一美好的100812///在电视上看了第五十集,我认为楚君死了8/13看,8/15.写            
(5星)	 怎么最终竟是这样个结局。            
(5星)	 经典中的经典中的经典……            
(3星)	 经典港剧,虽然没有完整看过，但可以猜对某些情节。看网上看过的人都对那个朦胧结局恋恋不舍，于是，很期待看到这剧的尾巴，希望时间允许。。。            
(5星)	 很小很小的时候看的，要不是最近电视台重播，几乎忘了。。情节实在想不起来，看片头片尾的情节，温sir又是搭建角啊。。主题曲也很经典。。            
(5星)	 经典的港剧~经典的主题曲~&amp;儿时的偶像~~~（花痴状……）            
(5星)	 温兆伦，你是最坏的，恭喜你。。            
(4星)	 韦家辉怎么总是搞BE||温Sir神演技            
(5星)	 最近又重播了，真的太经典了，英文名很奇怪            
(5星)	 哭的稀里哗啦               
(5星)	 还没上小学的时候看的，第一次看的时候正好赶上温兆伦把女朋友推下火车的一幕……我勒个去……            
(4星)	 是不是温兆伦坏得掉渣的那部？            
(3星)	 那时我还小。            
(4星)	 一生何求,唱            
(3星)	 那时候我还小            
(5星)	 好爱黄日华啊。。。            
(4星)	 想当年 这部还是很经典的            
(5星)	 沒料到我所失的 竟已是我的所有            
(4星)	 丁有康够坏            
(5星)	 经典            
(NA)	 温兆伦演了个大坏蛋！！！！！            
(5星)	 恨温兆伦恨到牙痒痒，可是恨什么已经唔记得咗。            
(5星)	 最后全部死光光，这电视拍的            
(4星)	 很小的时候看的，择日重温            
(5星)	 剧情很经典，歌曲更经典，《一生何求》            
(5星)	 好看啊！            
(5星)	 青涩的帅哥美女们，陈百强还在的年代，美好            
(NA)	 小时候的回忆            
(NA)	 通常只看电影的，觉得电视剧太浪费时间。 这部TVB的电视剧距今有20多年了，现在看来，一样是经典。 看这部电视剧，让我开始喜欢刘嘉玲了。            
(4星)	 温兆伦演的那个阿康实在是坏得有水平！            
(5星)	  最近看了黄日华，刘嘉玲，温兆伦，周海媚主演的电视剧义不容情，电视剧是89年的，很经典，看这部电视剧是冲黄日华看的，里面讲述了兄弟情，友情，爱情，朋友之间道义，阐述了很多道理，自己看完以后脑子里面不时浮现出电视剧里的一些场景，结局另人有点惋惜，不过是对黄日华扮演的丁有建的一个惩罚，            
(5星)	 一生何求。            
(5星)	 至此之后温兆伦在我心中的形象就被定义为道貌岸然的FH= =            
(5星)	 冷暖哪可休 回头多少个秋            
(4星)	 主题曲经典的一塌糊涂            
(5星)	 还是喜欢以前的电视剧            
(3星)	 刘嘉玲年轻时还是很美的~~            
(NA)	 当年看的那个揪心，从那以后再也没正眼看过温兆伦            
(4星)	 当年的TVB时代剧还是不错的。            
(5星)	 我觉得很赞的一部香港电视剧,虽然我真的不怎么buy港剧            
(NA)	 演的啥都忘了，歌还记得~            
(5星)	 嘉玲姐的演技还是有几把刷子的。            
(5星)	 是我看过最经典的电视剧！            
(3星)	 old soap            
(4星)	 只知道温兆伦不大演好人的            
(NA)	 温兆伦蜀黍告诉你神马叫衣冠禽兽            
(4星)	 怎么觉得商天娥的样子从二十年前到现在就没变过            
(5星)	 经典            
(5星)	 喜欢这里的刘嘉玲 黄日华 温兆伦 真切感人            
(5星)	 不愧成为剧中人观的剧的典范~            
(4星)	 想重看……为了刘嘉玲            
(3星)	 蓝洁瑛出现短暂却很经典            
(5星)	 童年的记忆，真美            
(3星)	 温兆伦其实演好演坏都不错            
(4星)	 那时候我还小，剧情记得的不多，但是有好几个镜头一直在保留在大脑里。温sir 将邵美琪从火车上推下去。红姨的尸体被大雨洗刷了泥土，显露了出来……            
(4星)	 很喜欢黄日华~            
(5星)	 我从这里开始喜欢刘嘉玲。            
(5星)	 一贯忠厚的黄日华            
(5星)	 上小学前应该是看了这部之后，就一直很喜欢温兆伦。不过明明他是个大反派啊。。。            
(4星)	 小时候看过            
(4星)	 吗见过这么贱的人，老妈都会杀。。。            
(5星)	 |444:486|            
(5星)	 八十年代的偶像剧，那时的温兆伦和黄日华都好有人气啊            
(5星)	 我妈看过的少数片之一            
(5星)	 不用多说了            
(NA)	 当年印象深刻，经典的兄弟情仇，展现香港社会，价值观成长转变的片子            
(5星)	 经典啊~结局好凄凉            
(4星)	 似乎没看完。。。            
(5星)	 当时天天追着看的            
(3星)	 温兆伦在里面真的是很坏的说            
(NA)	 崩溃            
(5星)	 过了这么多年看还是很有感觉            
(5星)	 我基本不看电视剧，但是这部二十年前的老片子却是我个人认为最好的剧集之一。电视台的几次重播都很喜欢。            
(4星)	 据说气死过人的            
(5星)	 最爱的一部电视剧，黄日华、温兆伦、刘嘉玲、周海媚，现在仍心底最敬重最喜欢的演员。            
(4星)	 对阿康恨铁不成钢            
(5星)	 楚君。            
(5星)	 永远的经典，唯一不爽的温兆伦反面角色演得太像了，他怎么能允许我恨他            
(NA)	 经典            
(5星)	 一生何求，总想起这首主题歌，总想起剧中刘嘉玲的爱情模式，曾经是我向往和刻意模仿的            
(5星)	 时间推回到1990年左右，哈哈。我还有海报呢。不过应该是盗版来的。呵呵。某个蜜友曾经因为这部剧的影响，还期待找一个和自己同年同月同日生的人。            
(4星)	 也是好经典的一部港剧，去年重新看过。            
(3星)	 小时候很火            
(NA)	 前两年看了一下，但没有看完~现在想看看... 真的很不错~ 尤其是嘉玲~呵呵            
(5星)	 情节很不错            
(3星)	 其实不太记得讲什么了            
(NA)	 很久以前看得            
(4星)	 主题歌            
(4星)	 经典TVB剧集。坏人真招恨。            
(5星)	 小时候看的            
(NA)	 经典不容错过            
(5星)	 难得的一部好剧，感人至深而又富含人生哲理！很不错！            
(NA)	 TVB经典            
(4星)	 当年人人必看的片子            
(NA)	 唯一一部知道刘嘉玲演过的电视剧。幼儿被毒死，一直潇洒的她，也站在走廊上，黯然心伤。            
