http://movie.douban.com/subject/4082304/	鱼跃在花见 魚躍在花見
(3星)	 因为看了一些介绍，所以对于后面的恩怨戏码实在觉得不喜欢，主要是我太爱谢天华了~不过前面几集也是不错，打了温情戏牌，胡杏儿满可爱滴，张兄弟真是童颜~            
(4星)	 从来不吃鱼的我，也看得流口水哇            
(4星)	 美食赞的，寿司啊，做起来有难度            
(NA)	 大仙还是好青春啊，laughing这么腹黑难以接受啊            
(3星)	 原来有这么多寿司啊            
(4星)	 结尾狗血了  其他都还不错~            
(2星)	 白开水。            
(4星)	 寿司美，配乐美，风光美，张智霖美，主题曲美，北海道美，香港护照更美。剧情浮云。            
(5星)	 看這套劇唯一的缺點就是這尼瑪的想吃壽司！！！！！想天天吃餐餐吃！！！！！            
(NA)	 chilan又一力作，发觉距系tvb电视剧不多，但塑造嘎角色都比较经典，例如上一个初哥哥就谋佐唔少人心，加上精灵盏鬼的胡杏儿，直头系perfect match~~~            
(4星)	 四星全部给寿司            
(4星)	 大仙太会耍宝了 和松仁哥搭档更有爱 他们应该演父子的！            
(4星)	 三星剧情，因为张智霖加一星。比之之前那些讲故事说的乱七八糟的剧集强多了，但是谢天华如此偏激的性格想通的这么快，杨怡又是那么的隐忍和苦情，让人不是很爽。刘松仁总是撅着歌水壶嘴，太可爱了。为着这帮演员，值得一看。            
(3星)	 哎呦喂，吃的主题哈哈。那不，可爱的洪卓立出现了。胡囧囧和大仙真的很有爱诶^^            
(4星)	 重新燃起我对张智霖的爱啊╮(￣▽￣&#34;)╭             
(2星)	None
(3星)	 好久没看港剧了 就为张智霖 你还是那么帅 都没变 哈哈哈            
(3星)	 白目鱼神跟她女儿比较好玩            
(4星)	 价值观是不是相同真的很重要啊，总有一天要直面的。刘松仁太像爸爸了，泪奔            
(NA)	 就为了看看张生咯~            
(3星)	 一天到晚比赛，中华小当家啊你            
(4星)	 看完好想吃寿司！            
(3星)	 妈呀追了这么久终于追完了。。。对于港剧而言题材是新鲜的，可惜剧情还是太老套了 - -            
(5星)	 请播第二部吧！！！！！！            
(3星)	 结果闲来无事还是翻出来看掉了=   3=            
(4星)	 大仙的剧 很不忍心说 剧情好一般的剧            
(4星)	 后几集似乎太匆忙了点，不过里面的寿司真的都想吃呀~~            
(NA)	 看的我极度要吃寿司啊~chilam你都不会老的咩？            
(NA)	 ╮(╯_╰)╭            
(3星)	 有我喜欢的元素~ 日式料理 北海道风光 小酒窝的张智霖 挺流畅的剧情 加上不用盯着字幕看 这部港剧 还是不错滴~开看！            
(NA)	 寿司好好吃啊            
(4星)	 张智霖真是萌啊 绝对童颜            
(4星)	 衰烂尾。。。要是没有神马失忆的多美好。简简单单结尾才符合整个片子的基调嘛。。。            
(4星)	 我只喜欢chilam, 几好笑, 败笔就是结局, 不过chilam哥哥在 什么都没所谓啦!!!            
(4星)	 会心一笑            
(3星)	 北海道風光片+壽司常識普及當中有一點點拖沓，張智霖怎麼都不老呢～～            
(3星)	 本来四星的剧，因为结局减掉一颗星            
(4星)	 我是俗人我就喜歡happy ending            
(3星)	 复仇报恩题材神马的十分老套 但是人美衣靓景好是关键            
(4星)	 主题曲好像何小菇的失恋日记。鱼生爱好者看得很开心，大仙你尊的素打了防腐剂么，演了这么多年还是演弟弟。Laughing Gor情何以堪。。。            
(4星)	 纯为看chilam            
(4星)	 鱼至嬴cute爆！原来日本料理文化如此有趣            
(NA)	 主题很喜欢             
(4星)	 大仙真是永远看不够啊，现在的TVB没有我喜欢的年轻女演员。            
(3星)	 为了罗子健            
(4星)	 真幸福 张智霖我要像他一样不老            
(4星)	 谢天华 张智霖            
(3星)	 看过四集，感觉没什么意思，跟寿司王子挺像……不过寿司和猪扒还真是挺逗的            
(3星)	 什么破结局。。。            
(5星)	 不说别的 就冲这些好吃的寿司 也是五星~~            
(4星)	 好久沒等到TVB的好片了            
(3星)	  又是知识普及性的 可惜没冲上云霄好看 追不下去             
(5星)	 为什么张智霖这么年轻，这么帅！            
(4星)	 张智霖好萌！sushi~ sushi~ 主题曲&lt;究竟海有几深&gt;好好听！            
(4星)	 &lt;19 完结&gt;这部剧又重新燃起俺对chilam的喜欢XD大仙儿的颜真是又嫩又好看的❤好想吃寿司T T            
(4星)	 赞，日本风光很漂亮            
(5星)	 看的我很饿= =            
(3星)	 大仙啊大仙，袁靓靓前世修了多少年才有这样的老公啊~~~~~~~~~~~~~~~~~~~            
(NA)	 觉得这也是近几年看的TVB比较吸引人的一部了，日本的景色很棒，寿司的样式也很诱人，加上挺可爱的卡通穿插其中很新颖，张智霖和胡杏儿这对太有爱了，看惯了刘松仁演的皇上大富豪什么的，这部戏里面太耍宝了，这是戏路宽广啊~            
(3星)	 张智霖讨喜~~虽然看得出来老了~但还是那么乖。            
(5星)	 laughing哥演技还是硬了点 张智霖刘松仁加上背景音乐 北海道风情 好看            
(NA)	 傻毙了……配音加说的一塌糊涂的日语！洋经帮……            
(3星)	 剧情神无聊 不过张智霖是真他妈帅啊            
(4星)	 好想吃寿司啊啊啊啊啊            
(4星)	 冲着胡杏儿和寿司去的（¯﹃¯）            
(NA)	 寿司剧            
(4星)	 吃啊吃啊吃~            
(2星)	 多么无聊的周末啊。张智霖酒窝不错            
(4星)	 看了挺轻松            
(3星)	 看着这个片子就爱上日本料理了            
(3星)	 胡杏儿眼妆过浓            
(4星)	 美食美景！！！！            
(4星)	 看得我想吃寿司！            
(4星)	 胡杏儿好看多了。。。            
(4星)	 寿司的部分很精彩，感情戏也不错，最后有感动到我。            
(5星)	 硬是每晚追着看完的！！！！！张智霖胡杏儿神马的最有爱勒            
(4星)	 尼玛看的我好饿 老是联想到寿司王子是怎么回事！            
(4星)	 粤语。日本料理。很完美啦对我而言~            
(4星)	 張智霖看起來還是這樣小痞的感覺  我好想吃壽司啊！！！好討厭謝天華啊！！！            
(4星)	 看得我成天想吃寿司，半夜梦到去日本。张智霖张智霖张智霖！            
(3星)	 世界上最恐怖的事情就是感情有时差.叫你遗憾之至但又无法改变.            
(3星)	 10集之后极至狗血，看得太痛苦了。。反正算广东话教程吧            
(3星)	 寿司 吃！            
(5星)	 怎么就对比赛这么有执念啊!!!两兄弟一个屋住着比赛非得去北海道这不有毛病吗!!!大鱼变坏又变好都很莫名啊!!!我爱死细鱼了鱼神也好好好萌啊!!!快到冬天吧我也好想羽绒服加格衬衫啊!!!            
(NA)	 酒窝酒窝            
(3星)	 畸形和姜姜这一对很有爱~            
(4星)	 看得我好饿啊！！！吞口水            
(3星)	 后来就狗血了。            
(3星)	 張sir看起來真嫩，劇情很狗血，楊怡這個角色就是一炮灰，劉松仁演的慕容sang很可愛很日本。另外還喜歡張sir對胡杏兒表白那段，“這個是（吻額頭）友達以上，這個是（吻嘴唇）戀人”            
(3星)	 杨怡万年土妞儿，张智霖胡杏儿不错，剧情无聊。            
(4星)	 张智霖虽然老了 但还是帅的要命！14集好萌好萌！            
(3星)	 受不了谢天华CHOK样。。胡杏儿讲话很好玩，像一条鱼。。。            
(3星)	 北海道观光片,星星都给里面的寿司和北海道            
(4星)	 作为寿司控，晚上看真悲催            
(4星)	 张智霖 你敢不敢再嫩一点            
(2星)	 看开头知道结尾的电视剧，可是每次看都疯狂的想吃寿司，到现在都未果。            
(4星)	 各种寿司，各种好吃            
(4星)	 張智霖是不老容顏啊就!!!!喔楊怡跟胡杏兒的大濃妝啊!!TVB偶也主題曲贊            
(4星)	 不错的美食~~~            
(3星)	 算是轻松小品吧            
(3星)	 2011-03-13;拖着看的。            
(5星)	 liusongren yanji haohao            
(4星)	 绝对是日料的广告片，每看必饿            
(4星)	 张智霖十年未老啊有没有！！！            
(3星)	 美食啊。。。            
(2星)	 元素很丰富，但不够丰满，剧情发展缺乏足够的铺陈而显得突兀和刻意，其实是典型的眼高手低之作。刘松仁的怪大叔很喜感，谢天华的角色比较有突破，瞬间从蛊惑仔变阿伯了            
(4星)	 有关寿司的清新好剧~              
(3星)	 结尾太狗血了。            
(4星)	 2011-3月，frog。四颗星分别给呵，慕容父女，张智霖！！！K型太可爱太有型了~~~~~~~~~~~~~~~~被萌晕了 大大爱~~~~~~~~~~~~·刘松仁喜欢            
(NA)	 第17集，胡杏儿叫爸爸的时候            
(3星)	 烂尾            
(NA)	 超爱大仙～mua~            
(5星)	 chilam至型！            
(2星)	 。。。。。。。。。。。中华小当家啊！！亲！！！当我脑残啊！！！            
(3星)	 张智霖真萌= = 寿司又好看又好吃&gt; &lt;            
(4星)	 很难得的好片了。不过结尾那桥段老套了。            
(NA)	 好饿。。            
(3星)	 2天看完~~哦也~好想吃壽司啊 刺身神馬的~~那些魚肉看起來好新鮮啊~~不喜歡看楊怡謝天華胡杏兒 我還是看完了 太強了~~            
(4星)	 虎头蛇尾了耶            
(NA)	 看到第2集  剧情就知道得7788喇！            
(4星)	 张大仙你还是那么帅那么萌那么招人爱~~            
(NA)	 tvb 或许只是童年的回忆了            
(3星)	 大仙回归TVB，福利多多哈。TVB的狗血才是最纯粹的狗血！            
(4星)	 你就是这么帅气依然！            
(4星)	 为了张智霖和美食╮(￣▽￣&#34;)╭ ~            
(3星)	 师奶剧什么的最适合杀时间了……            
(4星)	 都可以窝……就系结尾咪玩结婚仲好=-=            
(4星)	 胡杏兒的頭髮完全是我想要的!!!!!            
(4星)	 越看越想吃寿司。。张智霖是我从小的偶像呀 我都这么大了他还这么嫩 啧啧。。            
(4星)	 逆生长的人儿啊！！！            
(4星)	 智霖是十年不改的魔鬼容颜，松仁是亦正亦邪的靠谱大叔~很美丽的爱情~友达以上，恋人未满~花见~            
(NA)	 音乐好听 ，张智霖+n  .......            
(NA)	 20110315张智霖完全逆生长和澳门街看不出过了十几年，刘松仁很搞笑乐死了，谢天华演坏人比演好人强            
(4星)	 謝天華好變態。初哥哥逆生長。好想吃壽司看著餓死了。            
(5星)	 边看边想吃 也想去日本            
(4星)	 tvb偶像剧的典范，虽然最后感情线处理得好狗血，传统的英文配乐都好好听～Chalim越看越Q噢～鱼畸形和孖姜这对真是好中意～慕容san都好cute～沦陷在寿司里啦～            
(4星)	 虽然情节俗了点 女猪脚丑了点 有张智霖就够了            
(4星)	 我好想吃好吃的寿司。            
(4星)	 靓人靚景仲有美食，不过最后一集好狗血= =TVB拜托别大团圆结局了好不好！            
(4星)	 TVB好久没出料理主题的剧集了，张智霖和胡杏儿这对搞笑情侣还蛮搭的，只是最后为了拖戏硬要胡杏儿被车撞失忆的剧情实在狗血。P.S. 背景音乐还真难找啊！            
(3星)	 看完剧透果断抛弃。杨怡的发型太棒了，（等我有头发了）我也要去绞一个！刘松仁造型好潮。            
(NA)	 主题曲太好听了            
(3星)	 太狗血了。有常识的人都会从右边下车好吗            
(4星)	 剧情撑死三星 加一星给两位容颜不老的怪酥酥(*/ω＼*)[脸红掩面]            
(5星)	 港版深夜食堂 想去北海道 想学做刺身寿司            
(4星)	 张智霖zenzen是我的菜啊多拍点剧啊喂〒▽〒……喵了个咪的改天我也要去呲寿司！！！            
(4星)	 四星只为张智霖~            
(3星)	 TVB的女的都死了么.一定要胡杏儿来演..都死了么            
(4星)	 看的我天天想吃寿司。不过结尾狗血。            
(4星)	 张智霖和刘松仁  ╮(╯▽╰)╭ 花痴什么的            
(4星)	 为张智霖给分。            
(4星)	 娃娃脸兜人爱~            
(NA)	 大仙~~            
(NA)	 不能在夜里看            
(4星)	 美景美食美大仙！以及敖嘉年的鱼仔演的真好            
(5星)	 4星给剧..1星给大仙~=3=            
(5星)	 这真的是TVB嘛！！！太感动了好嘛！！！导演你真的不是日本人嘛！！！            
(4星)	 好吃！            
(5星)	 (￣▽￣&#34;) 。。好早之前就看完了。。这片子中间看着可郁闷了。不过笑点还是挺多的哈哈哈。。。。。            
(4星)	 每天看他们做寿司看的我好想吃啊。。。            
(3星)	 完全是看大仙和美食的= =            
(4星)	 大仙和松哥真是一对活宝~~            
(4星)	 一辈子都是大仙、松仁叔的粉！！            
(NA)	 全星给卡司 过儿造型让人好回忆！！！            
(4星)	 给诱人的寿司            
(3星)	 剧情还是无力跟狗血，只是比较享受做寿司的过程。            
(4星)	 哦...两个帅哥做寿司....这个绝对拿的是饕餮分啊..先不说对谢天华很有好感, 光寿司和鱼生就看的我口水..加分加分~&gt; &lt;            
(NA)	 SEMARU SHOKKA~~~            
(3星)	 谢天华贱死了!胡杏儿出我意料的讨喜!我居然把杨怡看成佘诗曼我可以去死了!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!杨怡是我的爱啊!都可以看错!!!!!!            
(4星)	 一比赛我就高兴 因为又有料理戏看了。。            
(5星)	 一直看一直饿            
(4星)	 比较轻松，看起来不累，也有笑点，主要是让我觉得寿司很美味            
(5星)	 看了了解好多有关寿司的小知识啊            
(NA)	 真的好看！我追了很久的剧~最后HE啊~            
(4星)	 寿司神马的最欢乐了            
(3星)	 张智霖的嫩颜本来可以给四星的 剧情太烂不得不-1星            
(3星)	 低幼。看点是张智霖+鱼类科教            
(4星)	 轻松小剧，没事的时候看看蛮好的。刘松仁一直在卖萌呢。。20120121            
(NA)	 十二集开始明显丢失状态。狗血巧合神马的 ╮(￣▽￣&#34;)╭             
(4星)	 除了张智霖和剧里的美食，我都好想吐槽！尤其是杨怡和谢天华那对！            
(3星)	 非常典型香港时装剧！二星给永远年轻的张智霖，一星给美味的寿司！            
(3星)	 刘松仁好可爱啊。。。            
(4星)	 第四顆星是給張智霖的...居然40了啊..怎麼就完全看不出來啊...            
(4星)	 最近 迷上 港剧了。。。。。。            
(3星)	 张智霖还是这么嫩 我还是不喜欢谢天华 演技浮夸            
(4星)	 超想吃寿司生鱼片等等......            
(4星)	 北海道、日式料理。。。都是我喜欢的。 这部片子多多少少能学到小知识，还是比较喜欢的。喜欢刘松仁的表演            
(3星)	 后面剧情比较无聊            
(4星)	 清新日剧风又有美食，不错看，就是谢天华太装13了。。。            
(4星)	 和当初看完非诚勿扰一样的想法！好想去日本！！！            
(NA)	 寿司就这么好次，这么讲究？？得去一家专业的店试试            
(NA)	 这个故事告诉我们，有个爱跟人比的大哥做人会很痛苦。结尾的吐槽点就很多了，你不车祸你会死啊，你不失忆你会死啊，张智霖你怎么一辈子娃娃脸不会老啊~看完这剧...好想吃寿司啊~~            
(4星)	 看得餓死了。。            
(4星)	 北海道风光10分，各类寿司10分，杨怡很漂亮10分，巩Sir扮脾气古怪的隐士能人10分，Laughing sir心理扭曲不够拉风8分，张智霖怎么也开始演嫩路走不老传说风8分，胡杏儿刚出来超丑后来越来越好看8分，张国强的美食专家也还像模像样但是我还是更中意烈哥7分，最后胡杏儿失忆这个剧情稍微有点多余6分            
(4星)	 前面挺有意思，一对欢喜冤家外加一个老顽童的笑中带泪的故事，不过到了后面就狗血了。胡杏儿越来越讨喜了，张智霖真是童颜啊！PS：晚上看这个剧真是超级想吃寿司啊！！！            
(5星)	 最后一集确实是冗杂了很多 为突破老套的创新其实也没什么意思 不过整体还是可以看的 赞刘松仁老戏骨 胡杏儿。。以后不讨厌她了             
(5星)	 好好看！而且看完超想吃日本料理，我已经HOLD不住了。            
(3星)	 还行吧~但也花了3天看完了~            
(2星)	None
(NA)	 看了馋死            
(3星)	 寿司真心有食欲，胡杏儿真心倒胃口！            
(3星)	 前面很好玩  演员都很好啊 拉风哥怎么都恨不起来啊 张智霖好可爱啊 胡杏儿也不讨厌适合她得角色啊这是~~~可是后面烂尾了            
(NA)	 张智霖萌死了            
(5星)	 冲着美食与美景，也该打高分。            
(3星)	 总体是去看吃的了~~~了解了很多寿司常识，就是别大晚上看，太饿了！剧情在12级前还是挺好的，之后就拖沓了~~            
(4星)	 剧情忽略，寿司制作看得真是过瘾啊！！！很想去板长寿司尝尝！            
(3星)	 假若人的价值要从别人的目光中找到，那人只会不断地追求别人的认同，最终丧失自我。要肯定自我，必须从认同自己开始…            
(3星)	 TVB剧里的这群人真是最没有立场的人，还有找个熟脸来扮外国人不会笑场么？！            
(4星)	 看的好想吃寿司啊。。。            
(5星)	 CHILAMCHILAM!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!            
(4星)	 完全是冲着张智霖看的啊！！！            
(3星)	 寿司，乌冬面，北海道还有一对活宝，so cute!!!            
(5星)	 寿司制作拍得超细腻，而且三人组超搞笑。哥哥坏的也很有理由，我觉得已经是满上呈的TVB剧了。            
(3星)	 我承认，是对寿司的爱指引我看完这部治愈系港剧···            
(4星)	 寿司普及片            
(4星)	 给四星也不代表受得了丑女的长相。但是大仙万年十八的长相真是深得我心。故事不俗套里还是充满着俗套，比如又失忆！可是在我感情出问题的时候看，还是有很多感悟的。            
(3星)	 元旦看了三天呐~~张智霖还是辣么帅~~至宝才是萌神~~哈哈哈            
(3星)	 结局太狗血了，其他都不错。好想去北海道吃寿司啊！            
(4星)	 胡杏儿的这个角色太讨喜啦~~            
(3星)	 料理类的剧集都不会太差，看完好想吃寿司。结尾又狗血的搞失忆，胡杏儿的衣服都挺好看。            
(NA)	 其实挺励志的，人在低谷怎么战胜自己，怎么达到更高的境界，怎么去平衡世俗的成功与真正意义的亲情，不过最重要的对我而言就是，事业再有成就，也离不开真正和你分享的爱人。附加着知道了很多寿司的事。            
(3星)	 看到每天都很想吃寿司            
(3星)	 laughing哥在这里的性格太不讨喜了。            
(4星)	 其实疑问只有一个啊，张智霖不会老的吗？风光美食片，太适合窝在被窝里面看了。            
(4星)	 张智霖你都不会老的的嘛！？真是（¯﹃¯）口水啊            
(3星)	 看完又想吃日料了！！！            
(5星)	 好久没看TVB了  张智霖宝刀未老啊 还是很帅            
(2星)	 真够难看的，人物性格单薄得一笔，最后失忆都来了，怎一个囧字了得。            
(NA)	 谢天华长得真的很像伏地魔。。。。。。            
(4星)	 看得流口水            
(4星)	 我就是喜歡張智霖~             
(3星)	 有食物的电影动画都是心头好。。。。赶快去把日式面包王完结！！干巴爹            
(NA)	 张智霖好萌            
(4星)	 冲着吃的去看的~            
(3星)	 我想吃寿司            
(5星)	 实在不习惯在电脑上看电视剧…可是我还是看哦…看着就那个笑啊，猜得到的剧情，延续的表演，可是还是好看啊，剧情背景设定很喜欢，日本，美食，可爱，算是TVB吗，哈哈，随意随意…又发觉，OST很不错啊，那位老怪在里面也演得好可爱啊，没见到过的呀，嘻嘻嘻，好饿…            
(NA)	 没日没夜的比一比赛一赛！            
(2星)	 真的好雷。出了张智霖北海道都是我的雷点。怎一个雷字了得啊~~o(&gt;_&lt;)o ~~虽然缺了几集，看了这么些我也真是闲得慌了。            
(NA)	 【2011-02-07】            
(4星)	 我读小学的时候，张智霖就在演戏了。我都快30岁了，他还是和我读小学时一模一样，根本不会老啊！袁咏仪好有福气啊！            
(3星)	 张智霖真好看&gt;&lt;            
(NA)	 真的...我还是比较喜欢女配时期的杨怡/四个演员都挺喜欢怎么一点感觉都没有？/一直在等大仙老的那天..还没等到╮(╯▽╰)╭            
(4星)	 五星题材，三星剧情            
(4星)	 第一次觉得胡包子蛮可爱的。。。。她配大仙比电驴顺眼很多。。。            
(4星)	 就好想去吃寿司啊            
(NA)	 一天一夜看好的，说明这剧真的是非常吸引我啦。杏2在这部剧里面真讨喜，久没看她演的剧，漂亮很多么，剧里的衣服真好看怒。            
(4星)	 情节老套但胜在北海道风光迷人            
(3星)	 张智霖有型。刘松仁酷。            
(4星)	 孖姜和畸型这一对看着好有爱~寿司！寿司！寿司！            
(3星)	 友达以上恋人未满。剧情狗血滥情，但演员好看~胡杏儿都好口爱~~张智霖最后格仔衫配西装领结哈哈哈！！            
(5星)	 北海道的风景清新宜人，张智霖谢天华自然没的说，刘松仁老戏骨卖萌还真是头一遭，很可爱~~            
(NA)	 TVB，各主角配角还是看老演员            
(4星)	 我想吃壽司。。我想吃刺身。。我想吃。。            
(4星)	 撞车失忆神马的也太狗血了吧，坏人的转变也太突兀了一点。。不过总体来说还是挺好看的。。            
(4星)	 轻松好看~~            
(4星)	 友达以上，恋人未满。            
(4星)	 很好的一部剧！            
(3星)	 3星半。题材新颖，寿司制作工艺和日本北海道风光非常养眼，动画解释部分也让人耳目一新。两条感情线，胡杏儿和张智霖的打闹明显更为生动、活泼，相反腹黑的谢天华和悲惨的小龙女之间的戏份显得莫名其妙。关键是一个二十集的小剧承载不了太多的东西，本剧有填鸭剧之嫌。            
(4星)	 [ 11/10/11 w&#39;z lung ]            
(3星)	 挺轻松的，扮相也可人！插曲也好听。：）            
(4星)	 刘松仁真是个大萌物！没想到张智霖和胡杏儿那么的搭！            
(NA)	 前半段还有点意思，后面实在坚持不下去了            
(NA)	 好多好好吃的寿司 🍣            
(3星)	 嗯，还是不爱港剧。。。-。-            
(4星)	 谢Sir的角色中间部分太遭人嫌，不得不看一集本剧，再回去温习一集潜行，对杨怡印象没有任何改观。。。寿司美味，但看久了很累。。。            
(4星)	 为嘛我觉得看的好累。。。            
(3星)	 为了张智霖的星星            
(4星)	 日本美景和日式美食赏心悦目，虽然一直不喜欢吃生鱼片，但是这片看得好心动啊啊啊，我要不要再给生鱼片一个机会呢。P.S.谢天华和杨怡的那首歌剧般的外文歌太诡异，让人好出戏。            
(4星)	 看这个的时候各种想吃寿司 = =            
(4星)	 semaru shokka ！！            
(3星)	 刘松仁一把年纪还要演这么轻浮的角色，苦。大鱼微妙地不讨喜，还是小鱼帅。最后两盘寿司看得傻眼&gt;&lt;今年对寿司为啥没啥冲动。            
(3星)	 画面真的是很舒服，近年少有出外景的TVB剧，情节比较狗血 =  =，但是美食剧嘛，看的是个心情……其实我还是跳着看的，也是冲着谢天华去的，时不时的现出laughing的尖贼样~ 总得还是挺喜欢。张智霖就不多说了，很棒。            
(3星)	 故事情节一般，比较喜欢做寿司时候的情节。            
(3星)	 想吃寿司。            
(3星)	 结尾一踏糊涂            
(3星)	 只看了几集，打算重新看            
(4星)	 Chi Lam几时都甘型，加上戏里面的幽默，点似40？            
(4星)	 冲着杨怡看的。。。还不错。            
(4星)	 还是张智霖最好看            
(4星)	 不一样的TVB。很不一样。全剧的亮点应该是刘松仁和鱼仔挖。            
(4星)	 大仙和queen都好美好啊 要不是laughing和狗血的ending该多好             
(3星)	 莫名其妙            
(3星)	 配音的日语太烂了            
(3星)	 为了张智霖而看的剧。杨怡真是挑错了角色，我都差点爱上胡杏儿了呢，结果帅哥仍然是要被虐的==最后一集怎么能那么狗血呢。            
(4星)	 美食美景足矣~我喜欢圆满大结局            
(3星)	 看了想次寿司            
(3星)	 看到后半部还是觉得无聊了。            
(5星)	 张智霖 不解释            
(NA)	 我！要！去！日！本！            
(3星)	 张智霖的演技还是一如既往的好。不过装嫩太明显了点吧。刘松仁也显得少有做作。本来就是模仿韩剧的题材，感觉新意不足。不过还是杂糅了一点港剧的风味，看看还是可以的。            
(4星)	 1.原本可以做得更好，仓促是TVB的通病，30集的容量硬是塞在了20的盒子里，所以张弛五度 2.服装和时令似乎都没怎么变过 2.此剧让我改变了对胡杏儿的看法 3.中华美食，你在何处呢？            
(4星)	 还是不爱吃寿司            
(4星)	 残吐水哒哒滴~            
(4星)	 如果不是大仙，这个电视剧肯定不值4星，剧情设计的那么差劲，嚣莫名的变很坏，又莫名的变好了            
(4星)	 近年少有的TVB好剧，当然还是免不得结尾有点小拖沓，不过20集算是非常适合的了            
(5星)	 张智霖都不会老的咩?            
(3星)	 前半段这么好玩的 后半段狗血的被毁了啊            
(4星)	 还不错哦~张智霖和刘松仁大可爱！寿司的题材很解馋~制作也算精良~            
(5星)	 放到以前，这只是一部中庸作品。而在近两年，我可以说这是港剧里面唯一可以看的作品。除去16,17,18,19集不晓得在干什么之外，都还不错。最后一集的比赛也很经典，本来想留下最后一集收藏。恶俗的剧情出现了，花瓶被撞，花瓶失忆。女主两我一向不看好，连花瓶都很难算上。张智霖和刘松仁有爱            
(NA)	 刘松仁突破了。。。。。怪大叔演的淋漓尽致            
(NA)	 寿司~            
(NA)	 如果能给胡杏儿大婶完全打上马赛克就好了~简直要了老命！就连认识的一个傻大姐都觉得胡杏儿长相完全不给力，这是多没观众缘呀！            
(4星)	 多给一颗星是张智霖            
(3星)	 越看越没劲啊。。。            
(4星)	 看了想吃寿司，张智霖不老神话，胡杏儿演技好，另外一男一女好恶心~            
(4星)	 二弟躲避性格揭露前只能说看演员，后面有点意思了。            
(4星)	 做寿司的剧，看完后无比想要吃寿司呀！四个主演我都喜欢不过最后结局有些烂尾扣掉一星。            
(4星)	 大仙太帅了················            
(5星)	 张智霖好阔爱~            
(2星)	 看这个片子由第一集饿到最后一集，是拖着看的，只为张智霖（话说他就一直这个样子不会老的吗）。TVB的编剧可不可以换一次血，情节千篇一律地，很无语。            
(3星)	 前面非常可爱。到后面越来越没意思了。            
(4星)	 虽然情节有点狗血 可是猪扒和寿司太可爱了^^            
(2星)	 真尼玛没劲            
(4星)	 哥你笑了，是不是想打我啊？哥你笑了，是不是想袭击我啊？            
(4星)	 典型港剧            
(3星)	 我想吃寿司！！！！！！！！！！！！！！            
(NA)	 老实说，是为了看这些寿司。            
(4星)	 张智霖还像二十多岁啊。。。掩面            
(NA)	 料理剧爱好者            
(3星)	 好想吃寿司……            
(NA)	 在我沉迷于缝手机套的日子里打发时间看过一半。张智霖你没变啊！！你怎么能不老的！！！            
(3星)	 张智霖怎么还是这么嫩啊！！这剧实在非常不适合减肥人士观看！            
(4星)	 越看越饿！！！！！！！！！！！！！！！            
(NA)	 看完只想吃了            
(2星)	 一半不到，弃之……有美味的寿司也看不下去啊！！            
