http://movie.douban.com/subject/4742378/	我的女友是九尾狐 내 여자친구는 구미호
(5星)	 吃生肉，落雨，跟踪狂，日食            
(4星)	 女主角完全是我心水的菜啊，故事还行，看着有耐心的。不会烦。            
(4星)	 哭的很惨            
(3星)	 男二应该是最不给力的男二了吧。。            
(3星)	 我看完了。顿时觉得浪费了时间的感觉~            
(5星)	 申敏儿！！！不能放过！！！真的好看！！！笑死我了 各种幻想 哈哈            
(4星)	 小甜蜜，小感动～　　笑点 也好多哦， 情绪一直被这部剧 牵扯啊～            
(4星)	 蛮搞笑~            
(5星)	 好久没有觉得哪一对主CP如此相配了，可爱的尾狐小孩子气的大熊。还有我最爱的精致五官ROSE。谁来给我一个车大熊~~~            
(4星)	 多出来的一星给男二。。。诺珉宇不错            
(2星)	 九集弃。            
(3星)	 du wei du ba la，du wei du ba la，du wei du wei dudu wei du wei du，du wei du wei du bala~~            
(4星)	 申小姐还是灰常那个可爱滴嘛            
(3星)	 晴天下起雨，那是我在哭            
(3星)	 男主好像俞灏明喂！男二是美男の定律？基本快进过完。            
(3星)	 班车上看的……            
(3星)	 妖孽的rose大人是我看下去的最大动力，洪氏剧还是一如既往的在8集以后弱掉，但前8集还是让我由衷的佩服她们的功力。。。。敏儿很可爱~~~            
(5星)	 A WA XI DA！！            
(3星)	 不知道为什么会是一个大叔介绍我看这部。。。。            
(4星)	 最后一集吓死我了，幸好是happy ending            
(2星)	 太扯淡了。            
(3星)	 女主丑男主丑男二还成            
(NA)	 嗷，女主有点对不起人            
(NA)	 还是被九尾狐的一份单纯 执着 默默去爱一个人所感动了            
(4星)	 卡在第十四集了，前面很搞笑，几度让我吃肉的心大起，脑里只有那句“雄啊，我要吃肉我要吃肉！”……            
(4星)	 挺逗的。有种看综艺的感觉 = =            
(5星)	 剩女們 人家九尾狐等了500年才找到真愛的 不急~ 為什麼韓劇男二都要找個金賢重那類型的 粉很厚 然後很少有韓國女主裝可愛是真的可愛的 申敏兒語氣詞念得很好聽 李勝基比遺產的時候帥了演技也OK 我常錯覺是講韓文的俞灝明 結局感人 各方面都沒以往韓劇那麼糾結 中國情結嚴重             
(3星)	 男二你不是九尾狐太可惜了。。。。- -             
(5星)	 可爱的..喜欢男2            
(4星)	 后面真的软掉了...前面很不错            
(NA)	 一集棄之.............真心看不進去看不下去            
(3星)	 诺珉宇好帅，剧情米意思            
(4星)	 挺好看的！偶像剧这样很好了！            
(4星)	 申敏儿漂亮得很~~            
(3星)	 纯爱什么的最讨厌了。            
(5星)	 太可爱了。。姐姐爱你~            
(3星)	 后面很烂尾，前面30天很精彩……            
(NA)	 正在追的剧，很好看哦。            
(4星)	 结局有点sorry啊。。。。。。最后一集很无味。。。            
(5星)	 因为这部剧 爱上了诺珉宇 卖糕的            
(4星)	 小狐狸喜欢吃牛肉~~~哈哈~~~            
(2星)	 我爱男二号，为什么不来个他的番外。            
(3星)	 第六集弃~            
(2星)	 结局败笔            
(5星)	 因为这部韩剧，改变了择偶观。            
(4星)	 洪氏姐妹的作品都还不错呢            
(4星)	 闹木闹木闹木好看            
(NA)	 洪氏姐妹的剧真不是一般的强悍！！喜欢            
(4星)	 艹我觉得之后他妈的就拖沓得要死了 之前还是很感人了 一个喜剧最后活生生拖得这样你伤的起嘛!!冲着男二号帅气的脸和身高我就给星星!!!!            
(3星)	 我已经空虚寂寞到这种程度了。其实所有的故事纠结纠缠了以后都不好看了！            
(4星)	 可爱的狐狸可爱的一塌糊涂……            
(3星)	 狐狸什么的最萌了。‘喽么喽么喽么喽么喽么喽么瞅哇’            
(NA)	 没看下去            
(3星)	 纯良富三代与土鳖小村姑的爱情故事，看着看着整个人就荡漾起来了            
(4星)	 敏儿真可爱！            
(3星)	 为了一个2分钟的情节看的            
(4星)	 如果晴天下起了太阳雨，那就是我在哭泣。            
(5星)	 没想到过了那么多年，除了对不起我爱你之外，还能看到一部好看的韩剧，太意外了。编剧还是导演很爱香港电影么？剧中好多处都雷到我了。哈哈，很感人，很搞笑很值得一看！            
(NA)	 一集就over 很low。。。            
(4星)	 做人有什么好 做狐狸也要学会享受疼痛            
(3星)	 虽然我朝的历史文化元素之多样丰富远超泡菜，可人家泡菜编剧就是可以把他们文化里仅有的那么一点关于九尾狐的文化元素翻来覆去的拍。而且申敏儿演的九尾狐自然不做作而且超级可爱，什么都吃，爱翻垃圾桶。就是对李胜基实在没好感。            
(3星)	 主要是为了寻找那一段视频截图 哈哈。。。            
(3星)	 结尾也是莫名其妙的 Rose好美            
(4星)	 超好看的！！            
(3星)	 看了会期待男二号跟女一号在一起的剧。。很多地方很拖拉，不用往下看 就知道接下来会发生什么。            
(4星)	 目前为止，还是想把李胜基当做牛肉吃的。呵呵！好可爱啊！年轻我将近5岁啊！弟弟，很口耐！            
(2星)	 SORRY，我看不下去了，没意思            
(4星)	 消磨时间很不错            
(3星)	 原谅我对国民小弟李胜基小盆友实在无感~~~            
(5星)	 集集哭  太强大的片子了  那份单纯和执着是我们人类没有的吧            
(5星)	 当她了解人间喜怒哀乐，他明白她的百年孤寂。            
(3星)	 好看在哪里在哪里？？？            
(NA)	 申敏儿的脸是怎样当上演员的。。。。            
(NA)	 孝敏在这才是真正的屏风啊……            
(2星)	 实在看不下去            
(4星)	 反正那个小狐狸姑娘是很打动我的，那种对于“那个人”的认定和自己是契合的。            
(4星)	 还不错吧 看得我又哭又笑的 突然觉得申敏儿好耐看噢             
(5星)	 hoyi！hoyi！moxida！哈哈，申敏儿            
(3星)	 轻松欢乐            
(3星)	 纯粹消磨            
(NA)	 这只九尾狐的性格实在是治愈系啊!!!            
(3星)	 我努力把女主角想象成是一个美女。，。。            
(3星)	 看一半看不下去了，墨迹死了，不过女猪蛮可爱哒！！！稀罕这个长相            
(4星)	 不得不说，申敏儿是成功的关键。真的很喜欢她，灵性而不做作。            
(3星)	 有点弱智，但是不得不承认申敏儿气质好清新啊！诺珉宇好帅！李胜基的演技啊，说台词总是要这样晃头抖眉吗o(╯□╰)o            
(4星)	 TAT 对不起我抵抗不住狐狸精的诱惑，对不起我又去看棒子剧了            
(5星)	 满分给胜基~            
(2星)	 唉……狐狸你还是回火星吧……            
(5星)	 搞笑又感动吧~hoi~hoi~            
(2星)	 好烂的片子啊            
(3星)	 我果然是看不下韩剧的，除了演员漂亮，什么烂片            
(5星)	 容俺说句： 这是武侠小说！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(NA)	 弘基啊  弘基            
(NA)	 看到一半　脑蒙　想睡　洪氏的套路几乎都相差无几阿　虽然对棒子国没什么不爽　但是　韩剧大部分都脑残　            
(4星)	 你放弃精灵的肉身，踏入了万劫的红尘。到最后，你受伤过，欢笑过，流泪过，爱过，放弃过。这一切，值得吗？            
(5星)	 都别骂我傻……别鄙视我            
(4星)	 女猪真可爱~不过就是看到最后，觉得她像高中同学美女LHZ~            
(4星)	 这部剧不仅仅有《我叫金三顺》中相信自己的爱能唤起对方爱的诠释，而且还有对爱的最高境界“分离”的最高诠释。可真是纠结的剧。            
(4星)	 乃噶侬木侬木侬木侬木侬木侬木出挖嘿~~~！！！            
(3星)	 吃粉时可以看的不用动脑的剧            
(5星)	 诶 我是飙泪加好笑 对偶像剧这类  一向没抗体的 不过 中毒不深            
(4星)	 开头确实不够吸引人 结尾也确实有点拖沓 但是 作为一部偶像剧 它足够了            
(4星)	 好喜欢啊~！            
(3星)	 越往后越傻逼 实在看不下去了 开始看就是个错误～～            
(4星)	 我们有的是时间 慢慢好起来吧            
(5星)	 申敏儿申敏儿！！！            
(NA)	 好久不看韩剧了，可爱的～            
(NA)	 女主角像舒淇全智贤苍井优 挺清纯的感觉 结局太虐了。。。            
(3星)	 我最近是怎么啦？？~            
(4星)	 前半部分还算好看，后半部分基本都是在疲劳或半睡半醒状看完的。            
(5星)	 结果让我在对这个社会已经丧失了许多信心的时候，却是一部韩剧让我犹豫着相信，还是有善良的吧，还是有纯洁的吧，还是有专一的吧，还是有最终美好的吧。            
(5星)	 难得有一部不拖沓的韩剧。            
(3星)	 免不了的老套路            
(NA)	 我就喜欢朴秀珍            
(5星)	 不论你是鬼是人还是九尾狐，都没关系，只要在我身边就好。。。            
(2星)	 可以再弱智点吗，弃            
(2星)	 按理是很吸引我的九尾狐 可惜看了两集 弃之 男2有小小的帅 不过看剧情又是标准韩剧里的两男一女            
(3星)	 看不下去了            
(4星)	 结局太仓促了啊！！！！神马意思啊 突然日食就回来了啊。。。            
(4星)	 在东周老师面前，男猪就是浮云啊~            
(5星)	 烂片！但是我要推荐它，让人欲罢不能的烂片……            
(4星)	 现代交通这么发达的今天，男主每次出门都用跑的-。-            
(4星)	 李胜基是我喜欢的类型，哈哈哈            
(NA)	 女猪脚不是最美的 但是是最纯真的            
(4星)	 有趣浪漫新鲜            
(5星)	 很好笑～            
(NA)	 一直追的看            
(4星)	 被小昭强迫看的。。。里面的中国元素很有爱 发哥 当年情 倩女幽魂 李小龙。。。 但是李胜基越来越像俞灏明 不能忍啊。。            
(4星)	 笑得很有爱..~            
(5星)	 挺有悬念的吧  第一眼看申敏儿确实不好看 不过后面越看越可爱  女二是花样男子里金范的初恋  脸很小 很瘦  男一是一直很喜欢的李胜基 男二实在是整的太帅了  艺术品            
(5星)	 努力的做那只善良的狐狸            
(4星)	 我背你 我给你打蚊子 你给我买牛肉 这就是我们的爱情            
(3星)	 韩国人民生活的乐趣和典故明明都来自中国嘛~            
(3星)	 我没出息的看韩剧 男2号和女2号那妆是要有多浓...看完这片后 我天天想吃肉            
(5星)	 申敏儿太可爱了吧！！！！            
(4星)	 挺好看！可惜烂尾了…………            
(5星)	 九尾狐太可爱了            
(3星)	 男女猪脚都是偶在棒子里的菜啊~么办法            
(NA)	 很欢乐！最近看的几部里质量比较好的了~            
(4星)	 最近生活闹太套 谁知竟然很搞笑            
(4星)	 好好吃哦。。            
(3星)	 不聪明。借了神话的外衣还是不聪明。不喜欢车大雄这类木讷的男主，也讨厌天真善良无知的女一。唯一秒到的是rose啊，刚出场的时候戴眼镜神似某人，太漂亮了。应该是洪氏故事里最漂亮的男二号。我发现她们的故事往往都是以男二出名。            
(3星)	 上班消遣。            
(3星)	 老套路，女1喜欢男1，可男1喜欢女2，女2一开始和男1玩暧昧，因为女1出现觉得地位受到威胁又对男1不撒手，男2喜欢女1，然后就悲催了，默默付出到最后......男1发现女1的好，最后俩人有情人终成眷属~~~            
(3星)	 还是摆脱不了韩剧惯有的死毛病：虎头蛇尾。            
(5星)	 尾狐超级可爱。。。感觉有点像金喜善            
(4星)	 申敏儿很美啊。不喜欢男一。            
(3星)	 对付韩国妹妹、就是给她们肉吃。            
(3星)	 没看完没兴趣了            
(4星)	 Huihui!Hong啊，mihu啊，nomanomanomanoma地喜欢你们            
(4星)	 本来不想看的,但是在没有新剧的情况下来了以后觉得还不错            
(4星)	 正在看，笑的我上气不接下气啊 。。。            
(5星)	 哭得我哟~~~眼泪哗哗滴！            
(4星)	 这结尾也太草率了~申敏儿真是个好姑娘            
(4星)	  好看吖~ 喜欢申敏儿  咋就那么快完结了诺。            
(3星)	 首尔好IN 里面酒吧 餐厅 商城的背景音乐都是BILLBOARD里的歌曲            
(NA)	 男二太漂亮~~            
(4星)	 终于把最后一集看完了 赚了姐一点眼泪啊~            
(3星)	 是对韩剧的兴趣过了吗？..最近的几部戏一部比一部难看.. 主要是不喜欢申敏儿..然后李胜基自《灿烂的遗产》红了之后，越来越NC...            
(2星)	 两集。不解释= =            
(4星)	 上面不说是20集，害我还死等来着，真讨厌            
(3星)	 1.2集,3星打底.主角是好人是要义啊,笑起来自然又舒服地女生很好呀.            
(5星)	 结束了。好舍不得。미호，我好喜欢你啊~            
(3星)	 女二号可怕之极            
(4星)	 蛮有意思，李胜基很有哈利波特里Rupert Grint的味道，（话说之前灿烂的遗产里面瞄都不想瞄他一眼；申敏儿这里怎么看着这么彪悍起来？细细的美腿穿了裙子怎么反而不明显了？）前8好看，后面一般，结局不想追。            
(4星)	 0814---1001申敏儿真是多么多么多么漂亮啊            
(5星)	 太喜欢李胜基了啊，申敏儿也很可爱哦，还是喜欢看韩剧，比台湾偶像剧好多了啊            
(5星)	 继是美男啊的又一部力作  好喜欢九尾狐~ 申敏儿长得真的像仙女啊 男二永远是悲情角色 不过男二也长得太温柔了吧 不免让人觉得是不是脸上的刀动的过多了呢 男猪脚还是那样 哈哈哈嘴巴大的有魅力！ 李ken ji！            
(4星)	 看到后面鸡肋了。。。影响了它冲到五星。。。            
(4星)	 到头来不过尔尔了就            
(5星)	 音乐太好听了。            
(3星)	 纯粹因为申敏儿是我的type……可还是烂尾了            
(2星)	 诺珉宇            
(4星)	 申敏儿加一分            
(5星)	 申敏儿一哭我就脆弱！！靠！果然不能整太多理想型！这剧可以说是PC剧突破！！闹木闹木闹木闹木闹木促挖            
(5星)	 喜剧，但又有点纠结，男二很美好，结局很温暖。            
(4星)	 洪氏姐妹+申敏兒+李勝基+新貨諾珉宇，提前標注！洪姐姐，每年夏天都這麽來一次吧！~            
(NA)	 你是人，我是妖，你许我的一生一世，不是我的一生一世....   给我百日刻骨铭心,我愿三生非你不娶...            
(3星)	None
(4星)	 前几集真心笑死            
(5星)	 很纯很纯的申敏儿            
(4星)	 四星，败给后面的拖沓。。。            
(NA)	 【2010-08-11】            
(5星)	 原来男主叫李胜基···，我怎么看和那个什么牧场的男主叫昌珉的那么像啊~            
(2星)	 没看完 遭不住            
(3星)	 基本正篇都在笑。原来对于九尾狐来说，做个人还真地不容易。天生灿烂的笑很有感染力~尾巴摆摆真美丽~            
(5星)	 其实是部用脚趾想都能想出的下集剧情片　很俗气　但还是被男主和女主吸引了&gt;&lt;　很喜欢男主!李包子!            
(5星)	 TT...            
(3星)	 没看完             
(4星)	 不错看阿            
(2星)	 还是搞不懂人跟狐狸是如何性交的            
(3星)	 女主太丑= =！            
(3星)	 九尾狐的性格是我喜欢的啊~            
(4星)	 给你我的心            
(4星)	 哈哈哈哈哈哈，结局太狗血了～            
(3星)	 一开始很好 后面开始扯  为了虐而虐  ps：被男二秒瞬间杀了  男主哭起来像笑 申敏儿笑起来真可爱            
(3星)	 她纯真她美好，因为她不是人。            
(5星)	 申敏儿气质很清新            
(5星)	 前面挺好看的 后面就俗了            
(3星)	 这是我见过的最不好看的狐狸精= =            
(4星)	 上班内容            
(4星)	 前半部分好看 总看哭 可能后来是我知道了结尾所以不怎么仔细看后面的了            
(3星)	 看不下去了 弃            
(3星)	 前面好看，后面就有些拖沓了。            
(NA)	 很老套            
(3星)	 三颗星献申敏儿演得很好，李胜基完全不能看！            
(3星)	 我失去看腐的那一段的            
(3星)	 陪女友……            
(4星)	 女主角这个角色惹人恋爱。男二的长相是我喜欢的。            
(5星)	 闹木闹木的好看啊            
(3星)	 男二那个小受样啊！！！            
(4星)	 算是近期看过的韩剧里面比较出彩的。剧情不错，演员不错。男女主角都不是很帅或者很美，但是都很有个人魅力。申敏儿的甜美笑容、李胜基的收放自如，都为剧集增添了一道亮色。            
(3星)	 看不下去了 好无聊啊★★☆            
(5星)	 胜基弟弟...            
(4星)	 雄呐，我们交配吧~            
(4星)	 洪式姐妹，申敏儿，加倒胃口男一号。            
(3星)	 九尾狐不是想像中那麼美麗，也就是傻乎乎的，看來所有的愛情故事都指向一點：每一個追不到的植樹背後總有一個不斷努力的袁湘琴。            
(NA)	 男二真是我的理想型。。但是女二已经贱到我一看见就想把她脸踏歪的程度了啊啊啊啊啊啊啊啊！！！！！！！            
(3星)	 - - 看第一集被诺珉宇秒杀了 看到第九集觉得太无聊了直接翻到第16集的52秒看了下弘小抽 之后就再也没看过…            
(4星)	 申敏儿笑起来真治愈            
(4星)	 越来越喜欢国民弟弟啦~~            
(3星)	 只是因为申敏儿长得像我好朋友。可是还是看不太下去，男主角好丑。            
(4星)	 情节太慢太慢太慢            
(4星)	 快进中迅速看完。男二啊。            
(2星)	 洪家姐妹是有多爱《英雄本色》、发哥和哥哥。不过剧情真是拖拉，换汤不换药。            
(4星)	 故事情节决定结局注定不能出彩啊。。。哎。。不过，爱上你是我最大的光荣            
(4星)	 创意不错            
(3星)	 女主角长的真的不怎么样            
(2星)	 真是看不下去啊。。。洪氏姐妹也有失手的时候啊~~~            
(5星)	 反正我是被这只天天要吃肉的狐狸萌倒了····            
(5星)	 我是特别特别特别特别特别特别喜欢你。            
(5星)	 不明白最后九尾狐怎么回来的            
(3星)	 上一年看的，我是真喜欢申敏儿的颜啊 在里面笑的可爱死了TT             
(3星)	 灰常搞笑的剧 女主素着真美            
(5星)	 看到影子            
(4星)	 虽然没有喜欢的男银但不影响它挺好看的..呀哈哈&gt;&lt;            
(3星)	 还不错，蛮好玩，李胜基，申敏儿的选择都很正确,男二的设定有点不知所谓。            
(5星)	 闹木闹木的喜欢大雄哦！            
(4星)	 节奏还不错，而且有让我小感动。男女主角的笑颜都很有治愈力呢。            
(5星)	 我爱我家诺珉宇。            
(4星)	 可爱的尾狐，只有敏儿才能演出的感觉，纯真而柔软~            
(4星)	 男二很惊艳~            
(4星)	 其实我觉得还不错啊 ~            
(4星)	 九头身美女呀~~            
(3星)	 我居然看完了剧情如此狗血的韩剧，说实话这内容10集就可以拍完了...女主没有狐仙的感觉啊，造型太平凡稍欠灵气            
(4星)	 绝对的喜欢男二啊            
(4星)	 男猪脚跟男二号比起来，简直是不能看啊不能看。。。            
(5星)	 看得我哭的哟 。。            
(4星)	 被 &#34;男2&#34; 秒杀的。看完这个 最近都不自觉想吃很多肉了            
(5星)	 最近啊发现啊韩剧明显比日剧好看,为啥呢因为里面有帅男嘛嘿嘿            
(2星)	 一般韩剧 一般韩剧的套路            
(NA)	 女主角身上仿佛看到全智贤的影子            
(4星)	 女主角要是漂亮點就好了，李勝基有時可愛有時難看。結局狗血得很。。。            
(4星)	 没等到大结局放弃            
(3星)	 2010            
(3星)	 李胜基真好看呀            
(5星)	 一部很正常的韩剧            
(3星)	 期末考试之后消遣的乐子，看了一天啊~~            
(4星)	 人兽恋……            
(5星)	 有史以来看得最伤感的一部韩剧！            
(2星)	 冲着申敏儿去的~真不是一般的失望            
(3星)	 虽然朋友们都沉醉于这一部，但我真真是看了开头和结尾~ 就是演员很养眼噢！嘿            
(4星)	 诶，结尾怪怪的，其它都好            
(4星)	 rose~~~~~~~~~~~~~~~~~~~~~            
(4星)	 不错看！该逗的地儿真逗，该悲的地儿真悲。结尾有点...仓促的大团圆...咱不勉强成不？女主可爱的我都喜欢上了呀！！抢婚第二幕，男二表情太到位了.......纯小受样儿~而且他长的确实半人半妖...越看越像假人.......            
(NA)	 小狐狸小狐狸~~~94偶            
(5星)	 对东朱老师这种角色毫无抵抗力            
(5星)	 感觉生活太现实的时候看看吧            
(4星)	 白裙子一飘一飘的, 再加上个尾巴, 真是太萌了            
(4星)	 为毛我希望女一和男二好。。。是8是我8正常            
(3星)	 BLISS~~~            
(2星)	 快进            
(3星)	 居然看完了。。            
(4星)	 男二号更帅。。有没有！！            
(3星)	 挺搞笑的~比較喜歡李勝基這種類型的~            
(4星)	 申敏儿有着和优酱类似的干净清新气质，李胜基不愧是国民弟弟 阳光男孩            
(5星)	 诺珉宇你可以去cos流川枫啦~~~            
(3星)	 男二长的简直就是P出来的么···加上呢腹黑呢完美···额···我是看男二来着的····尤其后来呢个教授。。。我又YY了··还是男主和男二合适在一起···            
(5星)	 此剧让人终于待见申敏儿了，很自然的美！狐狸雨真的又好听又催泪，洪氏姐妹的剧真的很喜欢！            
(5星)	 很爱的造型~            
(3星)	 Daizey推荐，可是后来感觉不咋地，到头来还是我后看完。            
(3星)	 申敏儿挺好看的。也仅此而已。            
(4星)	 太像            
(4星)	 骗人!!            
(5星)	 一曲狐狸雨足矣            
(NA)	 我也喜欢吃肉哈哈。。。。好好笑            
(3星)	 没什么特别感觉定期看韩剧而已            
(2星)	 女猪脚不喜欢。。。            
(NA)	 可爱`~~            
(2星)	 女主角抗不住。我果然是喜欢弱女子+冷男的。            
(2星)	 我看过很多的泡沫剧啊.            
(4星)	 后面有些跳着看完的~            
(4星)	 后劲不足啊 帅气的ose            
(4星)	 四颗星是给前面有意思的9集的~后面的……哎……            
(5星)	 皇帝昇基。哇哦最帅的说            
(4星)	 女主是难得的清爽漂亮。就冲她的天真就看了一直不爱看的韩剧……            
(5星)	 这女孩笑起来傻气的样子 最可爱了            
(4星)	 九条尾巴好炫的啊            
(NA)	 唉，中国的妖界都给棒子盗了。            
(4星)	 这个我喜欢，因为是牛的颜色！            
(4星)	 李胜基同学的眼泪流的还真是有感觉啊。。。            
(4星)	 可爱死啦一对~            
(5星)	 九只尾巴漂亮死了~            
(1星)	 烂片。第1集就觉得无聊透顶。            
(NA)	 最近一直看。。。韩剧中的痴呆剧。。。也蛮好            
(4星)	 很可爱的两个人，电视剧在搞笑的同时又让人感动于爱情的伟大，典型的韩剧。            
(5星)	 超级喜欢。            
(4星)	 有爱就大声的表达。。我真的非常非常非常非常喜欢你。还有那句台词，“不是因为需要才喜欢，而是因为喜欢才需要”。心头一震。            
(4星)	 果然是洪氏姐妹的风格 各种搞笑以及飙泪桥段~            
(3星)	 BF拷回来用2天时间看完了。莪在旁边凑合着了解了剧情。没必要细看。            
(4星)	 是悲剧的话就更加好看了捏。。            
(NA)	 如果晴天下雨了，那是我在哭。求你别哭了，雨太大，我回不了家，没法来到你身边。            
(NA)	 可见我最近是多无聊。神呐·~~~~            
(NA)	 姑娘你很美            
(5星)	 好看！！            
(3星)	 没觉得特好看啊。。。不知道为什么大家这么迷。            
(3星)	 对我来说，看韩剧是一种习惯。            
(4星)	 感动几多次，只为那执著和勇敢。            
(5星)	 从第一集开始就被迷住了，之后越看越想看，看看九尾狐和人类的爱情究竟如何！女主角可爱纯朴的性格让我很喜欢，就影片情节来看，很多时候人连动物都不如，没有动物来的有感情有良心！哎，男主角也属于越看越帅的类型。从头到尾的情节循序渐进，没有想要跳档的感觉，爱的很深，看在眼里，暖在心里。            
(NA)	 2010-12-26 看完，超感人的。MIHU很多時候和我很相似的。那些想法，那些執著！            
(4星)	 天气冷反应迟钝要用韩剧来消磨时间，这部还是不错，申敏儿扮演的九尾狐清纯又可爱，而且毫无保留地爱一个人，闪着圣女光芒，单纯美好的女生看上去很舒服。            
(NA)	 超级好看。            
(4星)	 我比较喜欢的韩剧了！！！            
(3星)	 男二号帅，但是看完真没感觉！            
(3星)	 冲着男二去的            
(4星)	 李胜基演得不错哦....申敏儿我更喜欢. 比起火山高校的时候好看了.            
(4星)	 九尾狐不漂亮却很可爱。            
(3星)	 洪氏姐妹的片子很适合消磨时间，一手煽情一手搞笑，只是硬伤都是太拖沓！这部男二曾搞过视觉系的疑整容美颜比下了男一，但男女一号的演技还是值得肯定滴，这题材不好写这样也算不错就是有些空。            
(NA)	 奔跑吧，大雄            
(5星)	 花痴得一塌糊涂~            
(4星)	 典型的我爱看的浪漫肥皂剧。笑中有泪。            
(3星)	 没想到申敏儿笑起来那么可爱啊！！吃烤肉开心的手舞足蹈的样子超级萌！！还有那个毛绒大鸡腿！！            
(3星)	 呀，第一集插曲竟然是甜蜜蜜。。。。。。。。。。。。第二集是张国荣。。。。。。。。第三集是少林寺。。。。。。。。。。第七集倩女幽魂            
(4星)	 九尾狐的仙丹就和人的心是一样的，当另一方出轨，就会受到损伤。真正的爱情，不过如此吧。。。            
(4星)	 很輕鬆快樂的劇情 只是不喜歡結尾 有點倉促            
(NA)	 为撒么米感动呢。。反而喜欢朴东朱老师饱含深情的样子，啊呀呀，真当没救。这个结局有那么点狗血。。            
(NA)	 不错            
(3星)	 凑活，男主的姑妈那一对才是亮点            
(5星)	 可爱清新又动人....这世上你有没有如此幸运，遇见一个值得你为他付出所有同时也愿意为你付出所有的人....            
(4星)	 好久好久好久没有看韩剧了啊……            
(3星)	 后面不好玩了...            
(3星)	 唯一一部我主动去看的棒子剧            
(3星)	 rose~rose~            
(4星)	 随性，自然            
(3星)	 这个女主角还不错~！故事就不评论了。            
(4星)	 介个姑娘可真可爱啊真可爱            
(3星)	 一般般，牛肉广告，哇哈哈            
(3星)	 点5            
(3星)	 韩语咋这像蹩脚拼音            
(4星)	 泡菜国菜花，你太美了。            
(3星)	 打发时间            
(NA)	 哪好看了            
(5星)	 九尾狐像以前看过的很多青春偶像剧一样，很让人上瘾，故事虽然俗套，但是情节很搞笑。可惜……我们已经长大，不再是那些追逐偶像的小孩子了。面对现实吧，没有九尾狐，也没有大雄。这个世界上，只有自己才会爱自己。            
(3星)	 男主不好看，喜欢申敏儿的大白牙。我发现我已经完全适应不了亚洲连续剧的节奏感了            
(4星)	 三星半吧，好感人=）            
(5星)	 超好看的啦            
(5星)	 女主和男主都很可爱的说            
(5星)	 明明是喜剧，每次唱太阳雨的时候都好伤感啊            
(NA)	 我是多么多么多么多么喜欢你呀。            
(2星)	 韩国电视剧            
(2星)	 原谅老子的两星            
(3星)	 没有什么感情带入。。            
(NA)	 完全被男2迷住。美丽呀。。。。。。。。            
(5星)	 难得又一部经典韩剧……好看好看~            
(3星)	 前面挺有意思的 但是还是没追完。。。申敏儿挺可爱 男二长得好标致            
(5星)	 很单纯、可爱的爱情，在缺失纯粹爱情的今天，看着这部电视剧，感觉很舒服~清爽，愉快和轻松            
(4星)	 很萌很萌            
(3星)	 好假~            
(NA)	 这真是能体现我孝顺的年度大戏啊 我陪我老娘看 看到后来我都满地打滚抽搐状了还在倒计时般的等待2012这部戏播完的到来 我太不容易啦！            
(4星)	 周末腐剧。            
