http://movie.douban.com/subject/1482394/	蓝色生死恋 가을동화
(4星)	当年貌似也没认真看，但觉得小恩熙和小俊熙太有feel
(4星)	元斌挺帅的 那时候宋慧乔还有点肥呢
(5星)	高一。
(NA)	俊男美女，不喜欢悲的
(5星)	经典~！   喜欢元彬·
(4星)	这个我的记忆不是很深~~~~~~~~~·
(4星)	我娘看完这片儿就喜欢宋承宪了。
(4星)	前段比較好看啦。。後面實在太嘎了。。
(5星)	初二的时候，哭得稀里哗啦。
(NA)	阿姨她们都哭了
(4星)	把我爸妈看的都哭死了
(5星)	~经典~
(3星)	初一的时候租的碟回来看的。
(3星)	哭是必然的 
(3星)	其实电视没有小说那么感人。
(5星)	永恒的经典。永远带着微笑的元斌
(3星)	这个片子也只能看一遍，还是喜欢男女主人公小时候的样子和感觉
(5星)	是的.我承认我很俗我承认我至今仍被它打动
(4星)	俊男美女的组合 节奏再快一点就更完美了
(5星)	爱上韩剧。都叫XI。爱上元彬。
(2星)	默默唧唧。剧情老套。我记得那时候家里人都看，烦得要命，但是暑假的时候好多台都播，我那时在绣一个很大的十字绣（真他妈少女情怀），然后就极其无聊的一边听电视声一边绣。
(4星)	算是看的第一部韩剧呢
(4星)	元彬帅死
(NA)	哭哭啼啼的
(3星)	关键元彬和宋妹妹好看
(5星)	这是星梦奇缘之后我看的第二部早期韩剧 轻松简单催泪 弱智没什么不好 给个面子五颗星~
(4星)	那时候都是从这部剧开始的 ...
(NA)	第一次接触的韩剧 虽然忘得差不多了
(4星)	= = 对不起我恶俗了
(5星)	悲剧主角必死命祖师奶奶
(4星)	OST还蛮好听的呢（不要嘲笑我，谁没看过？）兄妹恋美
(4星)	高一时看的啊，赚了我的不少青春眼泪，现在想起，心中满是温情。
(5星)	对于十年前的这部片子仅停留在当年饭桌前的电视机上的恩熙俊熙的名字.为了看宋承宪再度翻出来,剧情依旧老套,但依旧能打动人.在这两年经历家人的种种病痛之后,再也不会像以前一样对于这种癌症什么的发生几率嗤之以鼻.很多事就是不经意间发生的.却依旧不能想象这种跨越如此之久的挂念.
(NA)	小时候 还真TM看过
(3星)	NNNN年前被我姐强迫看的，MS她还看了不止一遍？？
(4星)	过。
(4星)	记忆中第一部关于白血病的韩剧呢。
(NA)	&gt;_&gt; ouba~
(3星)	哎呦我的妈
(1星)	这个最吓人了
(3星)	我承认我是快进看下来的……
(4星)	重温了一遍，仍然对俊熙不能自拔。
(NA)	我头一次看电视里的东西哭的稀里哗啦就是看恩熙小时候跟他家里人儿分开，自觉自愿去她亲妈家内块儿~跟我小弟一起看地，给他吓滴那叫一个手脚都不知道搁哪儿。。。。
(NA)	还我和我娘的面巾纸钱！！！
(4星)	那样美的画面，让我觉得很美。就是剧情速度太可怕
(NA)	這是韓劇她始祖 逼瘋了
(5星)	当时我看哭了
(4星)	童年的回忆。
(4星)	当时我就嫌慢了
(5星)	元彬啊元彬。。。
(4星)	确实有帅哥靓女
(5星)	下辈子，我要做一棵树。
(5星)	我在不停抽纸巾不停郁闷不停流泪的同时，简直对这句话到了无可忍受的地步
(4星)	我当年看的居然是韩文无字幕版=。=
(5星)	那时多爱元彬呀
(5星)	小宋子
(4星)	最早看的一部韩剧，哭了再哭的
(4星)	元彬我也喜欢
(5星)	韓劇入門。很催淚。明明是個美麗的童話,偏偏要承受痛苦的回憶,一個讓人感到心痛的故事。
(4星)	哭了.她跟妈妈分开的时候.
(4星)	文根英演的很感人啊~~~~！元彬好帅！！！
(3星)	忘了都
(4星)	第一部看过的韩剧
(3星)	哭不起了。
(4星)	看一次 哭一次
(2星)	墨迹片
(3星)	n年前看过，打分也是根据n年前的感受，哈哈
(3星)	经典台词：是吗？是不是？真的吗？
(3星)	因为我爱的人
(4星)	太悲了~~~
(NA)	唯一看完整的韩剧~~
(1星)	哦吧你妹。
(3星)	磨叽啊磨叽啊……
(3星)	点解宋承宪死得很好笑
(3星)	迄今喜欢听里面的钢琴插曲。
(NA)	看一次哭一次，结局太悲惨了
(NA)	小时候看得~那时候哭的稀里哗啦
(5星)	很感人,只是有胃病的人不要在吃饭的时候看
(NA)	一个是爱的人 一个是亏欠的人 爱的极限是她到哪里就追去哪里 极限
(3星)	不知道她们哭啥= =
(3星)	里面有几首配乐不错
(5星)	这个我也不想说什么了
(2星)	无论是故事还是拍摄都显幼稚的韩剧，只要挑几部有代表性的看就行了。不过，宋慧乔还是我认为韩国最特别，看起来最舒服的女星。
(4星)	那时我幼稚
(4星)	哭安逸了 ...
(3星)	没有冬日恋歌好看 我一直这么觉得.
(NA)	大经典
(3星)	后半部分太拖沓
(NA)	一人一个小板凳。317。韩剧的开始。
(3星)	算是经典韩剧 但我实在是不太喜欢这样哭哭啼啼的
(2星)	我真受不了韩剧的哭哭啼啼和绝症
(5星)	为何不选泰熙
(5星)	看一次哭一起
(NA)	为了听传说中HOT唱的配曲，我看了一遍又一遍，结果还是没听到。
(5星)	Obba~
(NA)	不知道骗了我多少眼泪～～
(3星)	也是哭剧，韩国人真是没有完没有了~
(4星)	我破坏了一卷卷筒纸
(3星)	太悲 太阴柔
(3星)	这是一个时代让人哭死哭活的电视剧啊。。。
(4星)	从此开始部分接触韩剧。
(4星)	2002年的夏天 我喜欢小时候的戏。躲在被子里哭了好久
(4星)	秋天的童话。
(4星)	还是小孩子的时候~哈哈~
(3星)	让我对韩剧产生恐惧～
(4星)	.
(3星)	哭啊哭 啊
(4星)	其实元彬更加可爱~^^
(3星)	说不出，人人说感动，我就是没感觉
(4星)	妈妈说，你真的是看一次哭一次。它是我心中永远的经典。
(5星)	韩剧初体验
(NA)	不喜欢里面的结局,太伤感了
(5星)	我爱宋慧乔
(2星)	看得一点儿都不感人
(NA)	我是一棵树,一棵树一旦扎下根,就不愿在挪动了.
(NA)	???
(NA)	十分钟前他们俩坐在椅子上，十分钟以后他们还坐椅子上,还老哭
(3星)	宋承宪被泪水打湿的睫毛~好长啊！！
(NA)	什么都不记得了
(5星)	小学那时候刚接触韩剧。。。立马上钩了。。还哭了
(4星)	到今天才第一次看完这部被称为韩剧经典的戏，看的很慢，很长，但是看的过程，却像秋天的风，淡淡吹着，却吹出了哀伤！
(3星)	哎。。。
(4星)	小时候哭到死的电视剧诶！！
(4星)	韩剧典范
(2星)	为什么我看这个片子一点没哭一点没感动呢。我一直想不通为什么两个人不能在一起
(4星)	经典苦情韩剧。开启生死恋新韩剧纪元。
(5星)	永远的回忆啊
(1星)	当时看的时候，我周围的所有人都稀里哗啦··········汗死，其实元彬韩彩英最主角了好不好
(4星)	记忆中的一棵树
(3星)	被骗了不少眼泪~
(4星)	哭死了
(4星)	那时很经典
(4星)	从此我认定了韩剧除了我爱你你不爱我你爱他他也不爱你的模式能拍其他的都不会拍，此外这部戏我印象不深了我就记得周健说他和他老妈一起看然后两个人在家里默默流泪
(4星)	这部应该可以说是让韩剧扬名的一部
(4星)	韩剧的里程碑作品
(NA)	 宋承宪 毛毛虫一样的眉╮(╯_╰)╭
(3星)	不如说我们都经过了看蓝色生死恋那个时节。。。都青春过嘛
(NA)	最爱男二号是从这里开始的!
(4星)	反正那时候很迷.看一次哭一次..小时候那会的戏
(4星)	(┬＿┬)
(NA)	最后结局很感人，我也想有个哥哥，不过当时比较喜欢元彬
(3星)	重看古董劇……現在想起來這部劇奠定了之後韓劇完美且悲劇男二號的傳統……感動神馬的再一次完全沒有，真是一直對它不來電……
(4星)	哈哈哈...韩国偶像剧就是无产阶级和资产阶级斗争剧 哈哈
(4星)	当年的催泪弹第一波~
(5星)	热爱韩剧的人自然不会错过这部韩剧中的鼻祖，，大成之作
(3星)	那时候的某女多丰腴……哈哈，一晃快10年啦
(5星)	經典中的經典 看了不下五遍 依旧是那么感动。。
(NA)	韩剧的启蒙之作，堪称经典~尤其小时候的那段，韩国很多小演员演技那不是盖的
(NA)	就记得宋承宪的长眼睛 每次都要争宋和元谁帅
(NA)	文文~元彬~
(5星)	完美完美完美
(NA)	我的童年真是閑的慌
(3星)	小学看的吧...
(3星)	想当年....
(5星)	元彬啊元彬==
(5星)	少女时代挚爱韩剧！
(5星)	得说这是经典
(4星)	原来我还是看过韩剧的啊=0=
(5星)	韩剧启蒙 
(5星)	第一部看的韩剧
(3星)	10年前看的了- -
(5星)	唯一深爱的一部韩剧。唯一喜欢的两个韩国演员，宋承宪和宋慧乔。
(5星)	让我差点哭死的韩剧之一
(NA)	第一部完整看完的韩剧，当时还看了好几遍。
(3星)	很煽情，前面描述孩子时代的很好看。小时候的哥哥很帅。
(5星)	我看过的第一部也是唯一的一部韩剧
(2星)	2007 around 第一次看的韓劇也是暫是唯一一次。會唔會慘過頭？記憶中只有好多年前的「答錯車」先有咁喊到飛起。如果唔係因為有靚仔，真係唔會睇。
(NA)	好吧，是我铁石心肠。
(4星)	2002
(2星)	 魔作！！
(5星)	哭死人不偿命
(2星)	讨厌棒子- -
(4星)	初二那年米有电视，班里很流行這本小说...
(4星)	断断续续的看的。可惜我不会做这种浪漫到死的梦，哪里有这样的爱情？！
(NA)	这个经典啊 我十八岁之前看过的唯一一部韩剧… 小学时候看的 我记得我老稀罕俊熙了
(4星)	难得的看完整了的韩剧。宋慧乔姐姐很漂亮啊；宋承宪是我的型。
(3星)	大催泪弹
(4星)	真伤心。
(NA)	经典
(4星)	闺蜜讲的：姨妈当时一边拖地一边看，嘴里嘟囔着：真感人。然后流着眼泪拖地
(2星)	电视抢不过妈妈，只好看之8
(NA)	囧~~我确实看过...
(2星)	看睡着了
(NA)	第一部韩剧  每次看必哭 
(4星)	元彬 
(5星)	老子又看了一遍...哭啊哭S....
(3星)	宋MM好胖。。。
(5星)	很多年了，再看，依然把不住泪水。
(NA)	宋慧乔那时候好肥哦
(5星)	经典就是经典。
(4星)	哥~~~~雷死了！
(5星)	不管怎么说，当年真的是哭的鼻涕一把
(NA)	素描比我画得还丑
(4星)	从这里开始喜欢宋承宪
(3星)	看过一部分，那是宋慧乔好肥~~啊哈哈哈哈~~~也算是韩剧绝症系的祖宗了
(4星)	悲情剧的祖宗……
(NA)	当年看的，跟哥很入剧情的抱着大喊[恩熙~][哥~]
(NA)	据说小瑷看了不下6、7遍，遍遍都哭。当时去书店，店员们聊天：“你昨天看了《蓝色生死恋》波？”家里不让7点后看电视，于是免疫了，再怎么看都哭不出来。
(3星)	看过的极少数韩剧之一，喜欢文根英和元彬
(5星)	真没看过多少韩剧。只有这一部一看就哭。圆饼好看！男主角的眉毛象小新他爸。。
(5星)	
(3星)	就这么一看。
(3星)	喜欢前面的部分 后面是韩剧惯有的拖拉 呃 因为元彬加了分吧：）
(4星)	哭了好多次。。
(4星)	long long ago
(5星)	算是第一部真正意义上的韩剧吧，很多韩剧的特质。
(3星)	据说，是经典。或许。
(3星)	其实我一直不是太喜欢看这部~除了元彬很帅！
(5星)	当时看一次哭一次。
(3星)	朋友都哭的一塌糊涂了，我却只为她认亲妈的情景哭了一次。
(4星)	演技还不错，剧情太啰嗦，音乐很好。可是我没被感动。
(NA)	那时候的宋承宪还是奶油小生呢....
(5星)	心中的经典哇~~ 
(4星)	初中？看的……
(5星)	赚取了无数的眼泪！
(3星)	看过的第一部也是最后一部韩国电视剧，记得当时哭得很惨，昏
(4星)	感人啊~ 看过的第一部韩剧~
(5星)	当年哭到死的剧
(3星)	完全哭不出……
(4星)	催泪弹
(4星)	恩
(5星)	不管怎么狗血，都算是经典了
(NA)	最爱宋慧乔。
(4星)	当时和我姥姥我妈娘仨抹着泪花看完的
(3星)	一如韩剧的拖沓...
(3星)	最早开始红的韩剧？
(4星)	书和电影的遐想那个时候的青涩懵懂
(4星)	韩剧启蒙啊。
(3星)	哇~现在想起来真是什么都不好看
(NA)	谁敢说自己当年看着片子时没哭！谁敢！我们都年幼无知过！--------------我还用复读机录了
(NA)	让我想起以前看的时候....
(4星)	真煽情啊。喜欢两个小演员~ 恩熙配音真温柔好听，哥~
(4星)	小时候分开的时候哭得特别抽搐
(4星)	哭啊哭啊哭啊
(3星)	头三集一度把我迷住了 
(5星)	经典哭戏
(5星)	曾经喜欢的不行。
(NA)	喜欢元彬 的开始为什么偶总是喜欢男二？这个是开始
(3星)	看了这个基本不用看其它韩剧了
(NA)	哭得稀里哗啦的
(4星)	那时候的宋慧乔哦
(3星)	有什么比生离死别更让人揪心的呢? 
(5星)	《秋天童话》，和你在一起，一辈子都不够。
(NA)	看见文根英就想哭。
(4星)	宋承宪好帅啊啊啊啊~！
(4星)	哭死我了～～～
(4星)	最早接触的一部韩剧。
(NA)	06年的暑假~~
(NA)	当年看得我是泪水直流啊~~
(4星)	经典！一部吹泪弹！
(3星)	哥~~~~~~~~~~~~~~~~~~~
(3星)	高中时候看的，但是因为事先看过介绍，倒还是没有哭，当时就领教韩剧赚眼泪的手法，依旧沿用至今。。。
(4星)	最喜欢的当然是帅帅的大男生元彬咯~
(3星)	看的第一部韩剧 还没看完...
(4星)	宋慧乔+宋承宪~
(5星)	噢~~~感人~这就是典型的韩剧
(NA)	韩剧很厉害啊，这是我陪我老妈看的。
(4星)	第一个韩剧 看了很多遍   所谓的唯美就是如此吧
(4星)	虽然比较悲情..但是效果达到了
(4星)	算经典的了吧
(NA)	……这个东西……我还能说什么……我的童年TAT 不过话说回来它是少有的我不讨厌的中文配音诶。也许是当时还没有原声概念的原因……其实小姑娘小时候声音嗲得要命……至于剧情，我没有话讲……不评星，因为客观不起来。
(5星)	我的韩剧入门剧。因为它，我爱上了韩剧。
(5星)	我和妈妈最爱的一部。
(5星)	参加很感动哭了很多次
(4星)	好歹当时也把我的眼泪赚翻了
(4星)	最喜欢看小时候的部分，两个孩子赚了我无数的眼泪。绿油油的田野，那两个骑自行车的身影……
(3星)	韩流来袭，全家人共享的那个时代，为宋承宪帅还是元彬帅爆发了持久的口水战，受不了宋慧乔在一集中说了16个“mi a ne”
(5星)	小时候看的唉~那时候觉得好正宗的韩剧。
(3星)	開始的時候
(3星)	最早的韩剧
(NA)	6年级~
(5星)	第一部
(NA)	悲。真的好悲
(5星)	每次都会有新体会还有宋承宪 哎~~口水
(3星)	美则美矣，太假了
(4星)	经典。
(5星)	可给5星的韩剧。。
(5星)	看了无数遍
(4星)	小孩子部分还是很好看的哈
(4星)	小时候是我哭的最惨= =元彬啊 我果然是颜控！！
(4星)	和老妈一起看，老妈感动得不行。
(4星)	哈哈哈~~经典~~
(4星)	还是看哭了的哟。
(5星)	催泪弹。美好的生命。
(NA)	算是为一看过并且觉得还不错的韩国电视剧了吧。。当时年少
(4星)	应该是看的第一部韩剧。
(5星)	难办噶喜欢一部爱情剧,看了大概5,6遍了,好吧,我承认我有兄嫁情结
(4星)	赚眼泪的`~前面赚着还行~~后面真烦~
(3星)	书比剧好看
(NA)	最最喜欢的一部韩剧！看了好多遍呦！
(3星)	当时那个火啊。。我咋就不爱看呢
(NA)	看时哭得一塌糊涂
(NA)	所有脑残泡菜电影的剧本都是：爱~~使劲爱~~出现凶狠的女二和帅气的男二，努力爱，最后发现是兄妹，然后得白血病@￥*）*&amp;%！
(4星)	谁敢说自己当年看着片子时没哭！谁敢！我们都年幼无知过！
(3星)	最早有影响的韩剧。
(2星)	当时那俩人真难看
(4星)	兄妹恋是我的软肋。
(5星)	永远记得恩熙在海边抱住俊熙的那一幕
(5星)	韩剧老爷爷
(5星)	我爱我哥，很爱很爱
(1星)	节奏超超超慢。。。为什么会红呢？ ||| 元彬还是很帅滴。
(4星)	拿给我妈看。。她从此爱上了宋承宪。。
(NA)	现在想来，感觉很做作。
(4星)	动不动就得病的先驱
(5星)	看过三次的电视剧。
(1星)	默默唧唧的。
(5星)	要是非常容易哭的人,最好还是考虑一下再看..很凄美啊..哭得我眼睛都肿了
(NA)	中学纯情时租片  跟我妈看通宵
(4星)	我要变成那片海，你想我时，就到海边来看我吧
(NA)	蓝色生死恋
(5星)	我必须说：我太爱这部戏了！逢看必哭！哥~
(5星)	恩熙……reason
(3星)	竟然没哭过
(4星)	我老妈喜欢上的第一部韩剧
(5星)	我看的恩熙的第一眼 是她生病时候的样子 我当时觉得她美呆了 致使我看到她健康美好时候的样子 都觉得不及 就是恩熙和俊熙是亲兄妹 我也支持他们在一起
(2星)	完全在考验我的耐力，慢的我想哭
(NA)	我看了7遍，每次都哭的要死要活的。
(4星)	当年看的 哭的死去活来
(NA)	喜欢 但不会再看
(5星)	哭的死去活来，唉，可怜的恩熙。
(NA)	哭得呀...
(3星)	某人很爱的元斌。
(NA)	经典的一米哎
(4星)	讓我愛上元斌的片片~
(3星)	重磅催泪弹 如果你狠一个人让他／她去看吧
(4星)	没错,看到的第一部韩剧.初中还是小学的时候? 堪称轰动哇....那时三位主演还都是婴儿肥~~~~~
(5星)	哭死人不偿命阿
(4星)	那时候看一集哭一集...
(3星)	太背上了，不是很喜欢。从来就没看全过
(4星)	看的第一部韩剧
(5星)	我不大看韩剧 大学里看了第一部韩剧蓝色生死恋  喜欢宋慧乔 因为宋慧乔而去看浪漫满屋  喜欢rain 因为rain而去看尚道上学去  就看过这几部韩剧 大长今看了一半
(4星)	还是不错的，看完才觉得元彬还不错
(3星)	哭来着。元彬帅~
(NA)	某年的除夕夜~~哭得稀里哗啦
(5星)	第一部看的韩剧
(5星)	最早韩剧的经典之一
(5星)	不知道当时用了多少纸巾.简直是催泪强片.里面的音乐超喜欢.
(4星)	当年推荐。现在转台。
(3星)	实在不喜欢这种死去活来的类型
(3星)	喜欢宋承宪
(5星)	感动，一如既往
(NA)	那时候特别喜欢宋承宪
(5星)	当时很喜欢啊
(5星)	韩剧启蒙
(4星)	555555555
(3星)	元彬同学还满帅的~~
(4星)	哭得稀里哗啦。
(5星)	很经典 很伤情我看的第一部韩剧
(5星)	越看越伤心！！！
(3星)	现在看起来也没怎么样~
(3星)	真的，不喜欢这种风格的。
(4星)	那時候有點嬰兒肥的宋慧喬最美呢
(4星)	when they are young
(5星)	那个时候的经典吧...其实真的悄悄难过了。
(4星)	其实不是很喜欢阿。。
(3星)	韩剧10部九部啰嗦
(NA)	很多人都说看着看着就哭了，可是我没有哭，
(3星)	宋慧乔美来
(3星)	想当年阿真是哭得我一把鼻涕一把泪 最最喜欢他们小时候的那一段 哭得我啊！
(NA)	过去疯狂迷恋韩剧的日子～韩国男人选一个的话～就只是元彬
(NA)	宋承宪的眉毛……
(NA)	感人
(5星)	蓝色生死恋
(4星)	 蓝色生死恋 
(5星)	看过无数遍的电视剧 永远忘不了的是泰锡的眼睛
(4星)	悲啊就是悲~~伴奏不错~~
(NA)	看的过程很艰难。
(5星)	高考后看的
(NA)	伤感的故事。好听的木吉他配乐。
(4星)	不用介紹的經典之作
(4星)	非常苦
(4星)	是第一部这种类型的电视剧啊~鼻祖啊~鼻祖~
(3星)	讨厌这种想方设法赚取我眼泪的片子。。。因为确实被骗走很多泪
(3星)	受不了
(NA)	一度迷恋元彬
(5星)	第一部看的韩剧。也是至今仍最喜欢的一部。
(4星)	哥哥和妹妹的套路
(3星)	想看看所谓的帅哥，很失望
(5星)	我的妈哟小时候看生死恋我哭得全家人都跑过来给我递纸巾的啊
(3星)	节奏太慢,受不了
(3星)	后来宋慧乔没跟元彬好，我就没看结局。
(NA)	大学的时候正好流行这个，就看了，别人总是哭得稀里哗啦的，但是我怎么就没掉几滴眼泪呢？
(NA)	高三那个暑假在线看的。
(4星)	韩剧总是前面好看后面难看
(3星)	从那时候开始喜欢上元斌。
(5星)	淅沥哗啦
(4星)	韩剧
(NA)	看一次，哭一次
(NA)	经典
(4星)	催泪弹
(4星)	第一部韩剧
(4星)	超喜欢那张男主人公最后抱她在怀的照片
(NA)	老姐看过很多遍，我一遍完整的也没看
(5星)	看过不知道多少遍了，也不知道哭过多少遍了。呜呜。。。
(5星)	忽然又想起 :)
(3星)	貌似我看过的第一部韩剧
(5星)	曾经觉得兄妹四人家庭构成是最完美的，从生到死都在相爱这样命定般的爱情也是最完美的，所以我被打动可以不用问为什么。
(NA)	秋天的童话。
(5星)	我看的第一部韩剧就是它。从此不想再看悲情韩剧
(4星)	哭伤了- -
(4星)	韩剧老套路，女主角绝症＋身世之谜
(4星)	哎，悲啊。
(3星)	看到流马尿，自我陶醉？没用！
(5星)	感人韩剧之一
(3星)	谁想做一棵大树？
(4星)	韩剧的剧情再狗血，也会孜孜不倦。
(4星)	元彬好帅
(5星)	宋慧乔的年代 韩剧还是可以看的
(4星)	看的第一部韩剧···里面的人都好美型！
(4星)	我记得那天我妈打麻将回来，我给她讲剧情，结果讲着讲着把自己讲哭了。。。擦！
(4星)	尼玛我当时看了哭惨了！！
(NA)	早就看过了~
(2星)	一星给元彬，一星给文根英。
(5星)	当每一次呼唤都能得到你的回应。。。
(NA)	【2000-09-18】
(4星)	啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈阿哈哈哈哈哈哈哈哈哈啓蒙片阿哈哈哈哈哈哈哈哈哈
(5星)	请不要一时冲动接受我好么？因为我对你的爱是永远
(4星)	当年我一坐在电视机前看此剧，我爸就在旁边悲愤的喊哥...恩熙...搞得我直到现在还对此类剧有阴影...
(2星)	哭哭哭，哭你妹！就知道哭！
(4星)	开创了韩国言情剧的新高吧……里面的三个主角至今仍是我的心头好
(5星)	我爱文根英啊~
(5星)	小时候还是看过韩剧的= =
(4星)	儿时经典，不过宋现在比以前帅多了呢
(5星)	每一幕都是泪点 哭得都无力了要 史上最催泪剧（没有之一）。2000年的这么经典的剧现在才看 这些年我都干嘛去了！ 泰熙欧巴超感人的说 韩彩英演的心爱也没很坏嘛（不排除出于对演员的喜欢 嘿嘿）
(5星)	帅哥好多啊！！！！！！！！！！！！！！！！11年之后才看的我也赢了
(NA)	第一步且唯一一部催淚的能讓我有耐心看完的韓劇。
(3星)	小学时代啊。。。看到哭天抹泪的女同学们我怎么就是至今都无法理解你们呢。。。
(4星)	韩剧鼻祖啊有没有！
(5星)	眼泪剧
(4星)	哭爆了啊
(5星)	隔了十年，又把这部翻出来看了。经典不会磨灭。
(4星)	初中时哭得稀里哗啦的
(4星)	我总觉得就是这部剧开启了后来韩剧的各种癌症之旅！
(5星)	毕竟是那个时代的经典……
(5星)	唯一一部能把我弄哭的韩剧，眼光果然会改变，以前很不待见男2，现在大了才知道真正帅的是元彬！！！
(NA)	当年唯一看的一部韩剧就是蓝色生死恋，女猪实在是色盲青光白内障才看不上元斌演的苦逼男二号好吧？！！！
(4星)	看《大叔》后萌起元斌来了，但根本不记得小时候早就看过他……
(4星)	宋慧乔真是大美人啊。
(4星)	那片蓝色的大海
(5星)	宋慧乔那一声声 哥 叫的太心碎了～
(NA)	小学的时候全都是讨论这个的啊喂！
(5星)	十几年前看的    第一部韩剧啊！
(4星)	想想我也是被韩剧荼毒过的娃
(NA)	第一部韩剧啊，小学看得催泪啊。泡菜国是不是只会白血病啊。
(4星)	韩剧的启蒙啊= =谁木有纯情过啊！！！恩熙啊！！！！哥~~~~~~~~~~= =
(3星)	当年很感动，再让我看一次，我却看不下去。啊，姐是长大了，受不了煽情。
(NA)	HOT－－蓝色生死恋
(5星)	看的第一部韩剧 煽情。。
(5星)	当初哭的死去活来。
(3星)	苦逼
(4星)	这是韩流的开山之作，也是韩剧的终结之作
(NA)	...............
(5星)	= =||||| 昨儿半夜看了一把。。
(5星)	那时我还年轻
(3星)	我只记得我妈和三姨哭来着
(3星)	唯一全看完的韩剧。。
(4星)	小时候跟着哭死的剧
(5星)	好小的时候看的，应该是我人生的第一部韩剧~
(5星)	小学看的，经典啊，
(5星)	从此便爱上元彬
(4星)	也是哭的昏天暗地
(4星)	韩剧启蒙
(3星)	喜欢元彬
(5星)	多年后再看还是狠飚眼泪
(NA)	看这个喜欢上元彬
(4星)	最早的催泪弹耶
(4星)	和同学分别在自己家看，一边看一遍打电话，然后我哭湿了一卷筒卫生纸，她抽光了一盒餐巾纸。
(5星)	记忆中唯一完整看过的没那么的韩剧 
(4星)	俗套的泪也是泪
(4星)	当初可是一集一集跟着电视追的哦~哭的来。。
(5星)	它的味道浸染了我半个酸溜溜的青春期
(4星)	= =我妈在看国语版 国民妹妹真漂亮
(4星)	够俗够催泪！
(5星)	老早···
(4星)	曾有一人爱我如生命。
(5星)	经典！！
(NA)	妈妈跟我的最爱TT
(5星)	需要理由木？
(NA)	分没想象中高哇~
(4星)	高中时候跟老妈一起候着电视机，每天看每天哭丫……
(4星)	十年前看的时候爱上了宋承宪，十年后再看眼睛再也无法从元彬身上移开。太悲了
(NA)	突然想起来这辈子看过的唯一的韩剧，以后再也不会看韩
(5星)	宋大叔
(4星)	第一部韩剧啊~我哭了竟然~元彬你要不要这么帅啊❤
(NA)	最喜欢男二号是从这个时候开始的。中午宁肯在路上顶着太阳跑一路也不愿意早走看不完。。
(5星)	收了我多少眼泪。
(3星)	谁会米看过= =
(4星)	很浪漫很浪漫很浪漫
(4星)	截至今天唯一看完的韩剧
