http://movie.douban.com/subject/2190927/	刑事侦缉档案
(4星)	 这个时候的郭可盈比现在的萌一百倍。            
(4星)	 我居然看这种和我年龄差不多大的港剧了,不过香港推理片真不错!            
(4星)	 TVB现在要是能拍个这样的水准我就烧香了            
(NA)	 难怪对刑侦Ⅰ的案子一直没什么印象...整部戏大勇说的最多的就是&#34;我有直觉&#34;.....还好你后来没直觉了..再直觉就成第六感异能侦探了.....(其实大勇和忠义都是有钱佬啊..应该在胸前挂个牌&#34;为毛我这么牛逼却没姑娘喜欢&#34;&lt;&lt;以你俩的rp..有姑娘喜欢都未必是好事啦..)            
(4星)	 经典港剧。郭可盈漂亮！            
(5星)	 真当成柯南看的            
(4星)	 港剧中刑侦题材的佼佼者            
(5星)	 看这部剧如何影响了一代人。            
(5星)	 童年挚爱之一            
(4星)	 14年了 &gt;&lt;            
(4星)	 这名字。。。            
(5星)	 当时真的很喜欢很喜欢看 原来女主角就是郭可盈演的 只能说还是喜欢那个时候的她            
(4星)	 诶哟哟好喜欢的            
(4星)	 好少看电视剧，以前在房东家里跟着追，好看啊            
(4星)	 也是记得很恐怖 好多都遮着眼睛看过去的 但是很好看            
(4星)	 那个时候超级红的！！！            
(5星)	 my love            
(4星)	 当时看得战战兢兢            
(3星)	 10年前看过，当时很迷，现在看来不过如此            
(5星)	 经典            
(4星)	 本来陶大宇在我心中乃正义的化身~自从看了丫演的A片，再看他道貌岸然的破案就笑场捏~            
(5星)	 重播必看            
(5星)	 TVB之经典啊~~~            
(5星)	 这片子就是80后的童年啊~            
(5星)	 当年多爱陶大宇和郭可盈啊！！            
(4星)	 那时的郭可盈，婴儿肥才漂亮嘛            
(4星)	 主要是不太喜欢陶大宇，不然就打五星了。            
(4星)	 很久以前 很不错            
(5星)	 那么多年后再看还是一如既往的精彩            
(NA)	 印象最深的是黑色垃圾袋，以后每次看见都毛骨悚然            
(5星)	 陶大宇的经典作啊~            
(5星)	 小时候很喜欢            
(NA)	 在当时是很好看的港片呢            
(4星)	 高婕是记者啊！娃哈哈            
(5星)	 幼年时代的启蒙剧。            
(4星)	 又是长久的记忆啊——            
(5星)	 郭可盈和陶大宇的全盛时代~            
(5星)	 印象最深是那首BIG BIG GIRL            
(5星)	 爱到今天            
(5星)	 不错啊~~！！            
(3星)	 刑侦片鼻祖。。            
(5星)	 好看的电视剧            
(NA)	 初中时看的            
(5星)	 最早知道tvb            
(5星)	 那个拍三级片的人是男猪脚哎            
(5星)	 兩個主角都不太喜歡，卻大愛的一出電視劇            
(3星)	 打发时间            
(5星)	 好看好看.荧幕经典组合的诞生.故事超级扣人心悬.            
(4星)	 我看过的港剧真少啊            
(3星)	 给咱的童年留下阴影            
(NA)	 刑事侦缉档案            
(NA)	 小学小学...看得我害怕当时...            
(5星)	 两个主角我喜欢！            
(4星)	 高婕～～爱死你了～～            
(4星)	 2006年5月..网吧里七个小时的不眠不休            
(4星)	 很喜欢张大勇和高捷的爱情            
(5星)	 狂爱李忠义            
(NA)	 可盈很像我一个初中同学，应该反过来说            
(4星)	 小时候 多喜欢 看这些的            
(4星)	 小时的恐怖片            
(3星)	 当年看陶大宇好帅啊~~            
(4星)	 天天看都看不腻  里面那个小哥是九品芝麻官里面那个家伙 哈哈哈            
(NA)	 【1995-03-13】            
(4星)	 小时候看得怕的要命。            
(5星)	 巅峰之上。            
(4星)	 kent有點像梁榮忠哎= =            
(5星)	 重温经典            
(5星)	 第一部重温完了 真好看            
(5星)	 只能说超经典 勇哥            
(NA)	 钟汉良和张延做姐弟...钟汉良啊...            
(4星)	 宅在家里回顾，有些剧很早前看，剧情模糊，却一直记得那几个名字。            
(5星)	 诶呀妈呀，就是这部，当时不叫这个名字啊！            
(4星)	 破案我最爱。老片子很稚拙很本色。            
(4星)	 蛮好看的            
(4星)	 很有意思啊            
(NA)	 诶……小学时候每到周末到会看啊            
(5星)	 高婕和大勇            
(4星)	 推理剧我稀饭！            
(NA)	 张大勇            
(4星)	 刑事侦缉档案             
(5星)	 郭可盈凭该剧火速上位，前无古人后无来者的速度登上TVB当家花旦的宝座。            
(4星)	 怀念90年代            
(5星)	 重温            
(5星)	 总算没错过经典            
(4星)	 虽然有点失真，但还是很美好。            
(NA)	 这部电视给我留下了阴影。╮(╯﹏╰）╭            
(NA)	 梁荣忠真的跟钟丽淇在一起啊！！！！最喜欢这对！！！最喜欢啊！！！            
(4星)	 是重温TVB侦探剧的时候啦            
(4星)	 高中的最爱            
(4星)	 我是港剧迷            
(5星)	 说到陶大宇 就不得不说这个电视剧啦            
(5星)	 高捷和陶大宇~怀旧一把系列~相当的怀念！            
(5星)	 九十年代TVB大经典 张大勇！！！！再也没有这么经典的警匪片了            
(5星)	 哇哇哇哇 这片子居然都被我找到了 小时候的最爱啊XD            
(5星)	 超级爱的一部。            
(3星)	 其实对《刑侦1》没什么感觉，倒是更中意3，至于4的口碑完全就是靠虐心来俘虏观众的。            
(4星)	 阿勇和高婕算港剧经典情侣档之一了……第一部最好看 TVT            
(5星)	 年轻时候看的，好。。。            
(5星)	 记忆            
(4星)	 一开始我是萌忠义X大勇的，但后来就可耻地萌了恒恒X忠义            
(4星)	 感觉是TVB侦缉片雄起的起点。。            
(5星)	 重温经典剧 钟汉良有在里边跑龙套            
(5星)	 原来还有小哇...            
(NA)	 重温儿时TVB剧。            
(4星)	 小时候我们会扮演里面的角色玩刑事侦缉档案            
(5星)	 童年啊~~~            
(5星)	 喜欢小丫头            
(4星)	 经典TVB悬疑剧集            
(4星)	 无限怀恋。            
(4星)	 其实那时好胆小的，有些case都不敢看。。。            
(5星)	 郭可赢加一分            
(5星)	 港剧第一名！            
(4星)	 陶大宇与郭可盈成为荧幕情侣配            
(4星)	 不错，但是没有印象            
(4星)	 当年陶大宇的“师奶杀手”名号果然不是浪得虚名，年轻时真帅。案子虽较现在简单，却依然可看性十足。 据说是古sir唱的主题曲，好听。            
(4星)	 陶大宇和郭可盈，4部我都喜欢。            
(3星)	 现在再看，那些配角丑的闪瞎我的狗眼！            
(NA)	 小时候贼喜欢。            
(5星)	 看了N多遍            
(4星)	 小时候多喜欢这剧啊。。            
(3星)	 GIGI和忠义!很有爱的一对!            
(5星)	 初中的某个暑假一家人追着看啊～            
(4星)	 当年暑假就指着这个系列了            
(3星)	 不喜欢郭大宇的长相            
(5星)	 探案剧好紧张            
(NA)	 高洁 张大勇 陈法蓉演的叫什么彤？            
(5星)	 小时候最爱的高捷            
(5星)	 小时候觉得真好看            
(5星)	 看了第三部才回来从第一部开始，郭可盈还很嫩咧，原来忠义曾那么喜欢过金枝，替思龙吃醋。            
(NA)	 我当时觉得陶大宇特别帅啊！！还有关礼杰！！            
(4星)	 郭可盈很嫩。。            
(NA)	 经典            
(4星)	 TVB最经典的系列之一。            
(4星)	 港剧刑侦类的经典            
(4星)	 还好在最后那一刻没有错过....案子剧情不是太复杂，给4星好了~            
(5星)	 这个对我实在太重要，小时候跟我爸妈一起看，觉得每一个案子都好诡异好神奇，要么怎么说那时候小呢            
(4星)	 只看过四，结果网上有人说前三部的案情更精彩~好吧，看15年前的片子~可惜pp上没粤语原因~看来TVB这么多年都没啥子进步啊~~            
(NA)	 这么经典的剧我居然没完整的看过,最开始放的时候在电视上一看过但总觉得根本没看全,但等我想在电脑上追的时候,那个画面效果实在入不了我的眼,所以,可惜了.......            
(5星)	 这一系列的都喜欢            
(5星)	 梁荣忠 我待见他来着            
(5星)	 还叫无敌先锋吧，小时候把我给吓得呀            
(NA)	 想当年，小时候真是觉得陶大宇和郭可盈是绝配呀，还有可爱的“忠义哥哥”哈哈哈。。。            
(5星)	 当年为数不多在TV上看完的港剧            
(5星)	 经典内！！陶大宇好帅好帅！喜欢苏玉华！！            
(5星)	 小时候觉得TVB的警匪剧无敌好看= =            
(5星)	 金枝死的好惨            
(4星)	 重温过后依然觉得经典~ 超喜欢大勇和高婕！真想要个张大勇那样的男朋友啊~            
(3星)	 没觉得有多好，论案子比同年的《900重案追凶》不知差几个段位。            
(5星)	 小学时看过 很好看            
(5星)	 个人觉得还是第一部最精彩，我好喜欢金枝啊。            
(5星)	 最近将刑事侦缉档案从到到尾看了一遍~~~~怀念那时的是思龙和忠义            
(4星)	 那时候真喜欢~            
(5星)	 我的张大勇啊。            
(5星)	 我记忆中第一部最经典的港剧            
(NA)	 我喜欢的。            
(NA)	 第一部啦            
(5星)	 啊啊！！！            
(3星)	 当时很喜欢呢            
(4星)	 阿勇和高婕真一对啊            
(4星)	 香港警察。            
(4星)	 绝对是经典            
(5星)	 喜歡蘇玉華            
(5星)	 不如后两部，最后一个案子不错，不过应该是香港所拍摄的第一部以Whodunit为题材的破案剧。            
(5星)	 从小爱看它            
(4星)	 经典的不能再经典了             
(4星)	 大勇。忠义。高婕。多么熟悉的名字啊。            
(3星)	 金枝...            
(5星)	 赤裸裸的回忆啊            
(2星)	 不喜欢郭小姐。            
(NA)	 曾经是大包的最爱            
(4星)	 大学时看过，当时很着迷            
(NA)	 刚刚重新看了一遍            
(4星)	 高婕圆圆的脸多可爱，偏偏郭可盈去磨了什么劳什子的颧骨，何必。            
(5星)	 1实在是太经典了呀。委内瑞拉。大大额记得了这个。            
(5星)	 蓝嘉文~~~虽然可恶也满作孽的            
(4星)	 这是必须的            
(4星)	 最爱看破案的电视剧啦~            
(NA)	 大爱。            
(3星)	 推理类的...小时候的最爱...            
(4星)	 最早看的类推理剧就是港片那些警察连续剧，当时觉得真是经典啊~            
(5星)	 港剧经典.            
(4星)	 喜欢高捷            
(5星)	 经典            
(2星)	 是这种类型里面最不好看的一个            
(3星)	 补漏            
(4星)	 小时候看的了..虽然不怎么记得情节..但印象还是不错的..            
(5星)	 郭可盈年轻时候看上去真的很舒服 现在老咯 我也老了            
(4星)	 這個系列比較早...            
(5星)	 TVB经典中的经典，结合了所有我最爱的戏剧元素。            
(4星)	 大勇和高婕,后面好像还有郭!            
(5星)	 精彩            
(4星)	 有点圆脸的郭可盈，反而觉得可爱。            
(5星)	 银屏经典情侣档            
(4星)	 现在IPTV上还有            
(4星)	 我还是第一次知道，原来陶大宇在里面的角色叫沙展勇。。我更加喜欢里面的思龙~~            
(4星)	 剧情很不错 当时觉得郭可盈长得不好看            
(5星)	 看了都不知道多少遍的TVB刑侦神作            
(4星)	 20            
(3星)	 听说有同学做了编剧，这样的剧咱也可以编一下滴，嘿嘿            
(4星)	 张大勇和忠义都是好男人            
(4星)	 看破案片的开始啊            
(5星)	 大爱~~~~~~~~~            
(4星)	 可盈可人            
(4星)	 经典，前几天重温，愈发喜欢忠义。            
(NA)	 张大勇+高婕            
(4星)	 当年tvb的片子都很棒            
(NA)	 最喜欢的TVB剧之一            
(NA)	 2001            
(4星)	 也是一部长剧！小时候很爱看            
(3星)	 经典            
(5星)	 警察+记者            
(3星)	 TVB 95年竟然能找到张延~~~不过当年的片子很好看，侦破故事还是有的想呢。现在的法证先锋更侧重侦破技术。大概真的是时代进步了，科技发展了，警察越发可以不用大脑了。。。            
(5星)	 N多部            
(3星)	 很久之前看这部片子吓得我...            
(5星)	 当之无愧的屏幕最佳情侣.            
(5星)	 大概是这部剧开创的刑侦剧时代~总之，好看！            
(3星)	 不喜欢高婕，连带着不喜欢那个女演员            
(5星)	 永远的TVB 永远的最爱            
(5星)	 曾经是以前最爱的破案片，所以给5星，怀念下            
(5星)	 90分。实在不喜欢李忠义。车震事件证实了我看人是准的。            
(3星)	 与鉴证实录相似的悬疑推理，也喜欢！            
(5星)	 张大勇，高婕以前最喜欢了            
(4星)	 tvb经典刑侦            
(4星)	 不错的刑警剧。            
(4星)	 很经典的港剧            
(NA)	 破案的全部都喜欢:)            
(5星)	 经典，再看一遍~~            
(NA)	 非常喜欢            
(4星)	 第一部完整看完的tvb剧，当时初中            
(5星)	 我日后喜欢看侦探悬疑剧这部绝对是启蒙。小学那阵天天晚上守在电视前等着看。            
(4星)	 我是奔着钟丽淇买碟看的~少年时代一边膜拜着熟女一边稀饭着清纯小可爱……            
(3星)	 还是小学            
(5星)	 1998            
(5星)	 刑事侦缉档案            
(5星)	 经典            
(3星)	 郭可盈 陶大宇完美组合的开始             
(3星)	 好久以前看的...            
(5星)	 张大勇，高婕，李忠义。            
(4星)	 多么好看啊            
(5星)	 经典！            
(NA)	 一对经典的屏幕情侣啊            
(5星)	 很经典            
(5星)	 经典            
(3星)	 陶大宇郭可盈的合作由此开始吧？一转眼十几年了啊……            
(5星)	 香港破案剧的始祖，港剧之中无人能及。            
(4星)	 这一系列的真的很棒            
(4星)	 莫非大宇兄就是靠这个角色吃遍师奶？张/高的CP很不错，郭可盈那时真好看！            
(4星)	 满好看的，值得一看            
(5星)	 小学时代经典剧            
(3星)	 故事情节不错，陶大宇和郭可盈的靓丽组合也很讨好            
(4星)	 这么弱智的剧情当年看得如痴如醉啊啊啊啊啊，郭可盈变成锥子脸之前肉乎乎挺可爱的            
(4星)	 里头的宽大，柔软型毛衣好心水啊，粉色西装实在是不忍直视。发现了青葱的钟汉良和赵学而是意外的惊喜。消磨时间，很好。            
(4星)	 推理什么的真带劲~！            
(5星)	 情节已经烂熟于心了，你说我有多爱？！            
(4星)	  经典             
(4星)	 第一部还是不错滴            
(4星)	 经典。不过郭可盈和朱茵真的长得好像啊。。。            
(5星)	 不错，打发了不少时间。            
(5星)	 当时的最爱唷。            
(5星)	 看得最多次的TVB侦探剧             
(5星)	 第一次看这个是在96年，当时好像是天津电视台播放的，每天两集，真是等的人脖子都长了......演完结局的那天晚上我失眠了，忽然觉得以后的晚上再也没有什么可期盼的东西，唉一晃十几年了，虽然第一部几句很少，但却记忆犹新啊！            
(5星)	 就这样，爱上了电视剧里的警察            
(5星)	 经典，但是我很讨厌高婕。            
(4星)	 当时觉得好看的            
(5星)	 绝对经典中的经典 tvb无法超越的刑侦片 是无线的里程碑之作啊！张大勇和高洁这对情侣档也是深入人心，总之是绝了            
(5星)	 小时候的最爱啊~            
(3星)	 不懂为什么是香港推理剧经典，我觉得剧情很鸡肋啊……            
(5星)	 无法超越的经典！TVB再也拍不出这样的剧了！张大勇和高捷永远是史上最搭的情侣！17年后还是觉得好看！            
(5星)	 真是看过最恐怖的警匪片了。            
(4星)	 我喜欢郭可盈            
(4星)	 那时候姐姐还在家里，她说她喜欢忠义            
(5星)	 梁荣忠搞笑            
(NA)	 不记得看过多少部只记得看过了= =            
(5星)	 小时候看的第一部TVB剧,至今都印象深刻,高捷的姐姐被陷害,孩子被绑架等等...            
(5星)	 经典！            
(5星)	 前三部真的看过好多遍了，最喜欢的港剧，没有之一！            
(5星)	 经典中的经典啊~~~            
(4星)	 好经典的港剧！！！所有刑侦剧的鼻祖            
(5星)	 哈哈哈  好怀旧啊！            
(4星)	 小时候很喜欢忠义和思龙，到现在也不知道他们在一起没= =            
(5星)	 年轻时的郭可盈比现在漂亮            
(4星)	 喜欢苏玉华！            
(3星)	 真心讨厌陶大宇阿 - - 觉得他的脸好恶心。            
(5星)	 好吧，每三年必看一次的刑事侦缉档案4部。。。。我算是大fans啦            
(NA)	 TVB探案的经典之作！            
(NA)	 这个系列不说什么了，我的最爱。心情不好的时候，我看了这个居然就能心情大好。呵呵。            
(5星)	 真心好看，现在很多刑侦剧都比不上的。            
(NA)	 经典。            
(4星)	 补课补课 大勇高婕当年带我走进港剧这个火坑            
(4星)	 小时候的经典            
(5星)	 经典不解释            
(NA)	 当年超级爱的！！精彩            
(4星)	 小时候跟爸妈一起看的深夜剧...无数次被吓到不敢一个人睡....现在就只记得金木水火土了...- - CM还不出只能重温旧剧....            
(5星)	 绝对经典 港剧中没有一部破案片超越它            
(5星)	 心中的港剧经典，可以傻傻的看好多遍            
(NA)	 快餐电视剧都这么不错，还是在没有国籍的香港，不知道今天有了国籍的我们怎么没几部好片子            
(NA)	 陶大宇，对港剧印象最深刻的，莫过于“本故事纯属虚构，如有雷同，纯属巧合”            
(5星)	 引导我看港剧的老师…            
(5星)	 那个时候婴儿肥的郭可盈比现在的萌一百倍！！！            
(5星)	 小时候的最爱。不明白幼儿园的我是怎么听懂粤语对白的。            
(4星)	 剧情真的很弱智 但是郭可盈好漂亮 忠义真是个好男人。。            
(4星)	 这部片也很猛啊，小时候没少看港剧            
(NA)	 重新看了一遍觉得张大勇真不是个男人             
(5星)	 一个高婕，让我到今天都一直认为郭可盈是TVB最漂亮的艺人            
(5星)	 经典之作            
(4星)	 最爱这样的片子…哈哈            
(5星)	 可以说是第一部港剧！！！            
(3星)	 警察办案偷偷摸摸的像私人侦探，没证据的猜想然后再去求证，头头只考虑自己利益，哎            
(5星)	 从新回顾小时候的记忆，真美好            
(4星)	 当年经典的犯罪推理TVB~            
(4星)	 一箱一箱档案装满心窗.......~            
(5星)	 最近刚重温完1-3部，第4部也看过好多遍了，就怀旧            
(4星)	 如果现在TVB拍的刑侦片能紧凑点少点无聊拖沓又突兀的感情戏我用得着炒冷饭吗？！            
(4星)	 我只看过1、2部，具体也不记得了。            
(4星)	 经典            
(5星)	 小时候看这个觉得好厉害...ICAC什么的，是这个吧...            
(5星)	 除了衣服比较老土以外，其他的居然都不输现在的剧。而且郭可盈还是当年的清纯模样。            
(5星)	 小时候的回忆啊            
(5星)	 初中看的，一直记忆尤新            
(5星)	 那时的忠义好可爱。。。那时的高婕大勇好幼稚。。。除了最后一个案子整个真是短小精悍，回忆加分~            
(5星)	 过去TVB的侦探剧很经得起推敲的，再看也还是会觉得不错。前几天翻出来看了看，觉得不错，不过高捷的性格真叫个别扭，大勇太冲动了，真是晕            
(5星)	 当年高捷高捷高捷...            
(5星)	None
(5星)	 当年看得时候某些案件，现在都有阴影了~            
(5星)	 当年的最爱～美丽的高捷和聪明的大勇，一直是憧憬中的爱情。            
(4星)	 大概是最近这类型的剧看得太多了，有点审美疲劳；加上按现在的角度去看当时的作品，难免发现一些不尽完美之处。anyway，仍然算得上经典。            
(5星)	 小时候天天看，看不够啊啊啊啊            
(5星)	 好看啦~~~当时湖南台放的，全家都爱看。            
(5星)	 这套剧真的是TVB刑侦剧的巅峰!经典!之后的一系列都无法企及.甚至&lt;鉴证&gt;和&lt;法政&gt;!            
(4星)	 让我的童年在很多噩梦中度过。。。就记得那个小孩喊陶大宇的那声干粑粑。。。            
(4星)	 小时候一直在看的电视剧，那时候老爱了！            
(5星)	 重温的感觉真好！            
(5星)	 不知从何时起，港剧开始不给力了，各种玩花哨，玩得还不好，弄得好山寨，好演员年纪不在适合演小生，小生辈演技总还缺点什么……各种失望之下，翻出《刑事》系列，才发觉，这才是精典，隔了15年再看，都不土哎            
(3星)	 没有印象和想象中那么难看，忠义真SB            
(4星)	 在那个不用炫耀花哨的科技的年代，完全剧情取胜。            
(NA)	 非常好看，力挺！            
(5星)	 这是当年的最爱...            
(4星)	 看的不多            
(NA)	 当之无愧TVB启蒙剧。如果那时候的案子放到现在，马上就被法证先锋们轻而易举的破了==             
(4星)	 I-III算一个系列，郭可盈没整容削骨的时候更可爱一些            
(NA)	 太早看的了，剧情真不大记得啦，但对郭可盈扮演的记者反倒印象蛮深的            
(5星)	 童年阴影的开始==            
(5星)	 经典！            
(4星)	 小时候觉得高婕是世界上最美的女人╮(╯_╰)╭            
(5星)	 不知道看过几遍 几乎每集发展都能记住 不过每次看都有新的疑惑~            
(5星)	 又一童年阴影！            
(4星)	 怀孕期间重温了几大侦探剧，还是觉得这部最经典啊            
(4星)	None
(5星)	 绝对回忆            
(5星)	 过段时间就要调出来重温一遍，以前TVB警探片真有看头，演员也很适当            
(4星)	 虽然以前的推理片科技木有那么先进 但是作案手法什么的真心奢华吖~~~~洗翻郭可盈~~~~~~~~~            
(5星)	 那个年代的TVB破案片里的案子都太经典            
(5星)	 当时相当爱的推理经典电视剧啊····            
(4星)	 多久呀多久呀。。前两天还在那里温故而知新            
(4星)	 虽然我从来没有萌过陶大宇。            
(4星)	 剧情很给力啊，喜欢那时候的郭可盈和陶大宇，打扮很土气但是青春无敌啊。            
(4星)	 陶大宇，怎么就没大红起来呢            
(4星)	 那时年少各种剧~            
(4星)	 温故，小太阳的早期形象与现在四美相去甚远，估计本人无法面对当年的青葱。PS：madam的老公原是早期霸王花系列的男配，很喜感。。。            
(5星)	 永远的经典            
(5星)	 最喜欢的港产破案剧，脸上没动刀的郭可盈真可爱            
(4星)	 儿时记忆qr            
(4星)	 多么怀念陶大宇郭可盈的TVB时代，小学的回忆与TVB电视剧紧密相关啊            
(5星)	 8错，很经典的老片            
(NA)	 小学在老姐家看的            
(5星)	 经典无以复加。            
(4星)	 很经典~现在补看完啦~            
(NA)	 看刑事偵緝系列第一次是爲了郭可盈，第二次爲了佘詩曼，第三次竟是爲了鄭秀文。 = =#            
(5星)	 jessie多么可爱的女孩子 和大勇好配            
(5星)	 好看好看            
(5星)	 很小就看了，还是有印象。            
(4星)	 还是早期的TVB比较给力，另外郭可盈还是婴儿肥的时候可爱一点~            
(5星)	 小时候的梦中情人啊            
(5星)	 95年的老片子还真心不错啊            
(5星)	 经典            
(4星)	 一共5部            
(4星)	 初中时看的，好多熟悉的面孔。            
(4星)	 是不错，就是觉得差了点惊悚。多了点甜腻。            
(3星)	 案子不错，感情一般。对张大勇很有改观，依然不待见高捷。忠义老是穿个水冰月的卫衣好搞笑~~~            
(5星)	 哇哇，经典！            
(NA)	 重温            
(3星)	 他们演的好激动，也许是年代关系。但其实陶大宇至今都演的很激动..            
(5星)	 刑侦剧的经典之作            
(4星)	 心血来潮重新翻看这部系列剧.许多年前也只是看过第三部而已,但那种害怕但又忍不住继续看下去的感觉太过深刻.原来第一部已经相当出彩.虽然许多故事现在看来都略显刻意了些.            
(3星)	 其实三部曲充斥着不少港剧的糟粕，但除去一些抄袭借鉴外，有些case还是很经典的，第三部吕家的案子，手法，动机，都值得回味，还有第一部中受东方快车谋杀案模式启发的案子，和第二部中的密室双重解答的案子都有点意思            
(5星)	 童年就指着这个活了            
(5星)	 咆哮着五颗星  小时候啊 童年啊 每天半夜啊 大勇啊  ～            
(4星)	 那个时候觉得香港警察就是陶大宇这样的            
(NA)	 高洁~~~            
(4星)	 重温了一下才发现根本没看过这部！！并且开始怀疑第二部我也没看过！！难道我只看了第三部么！！大勇同学原来是个毒舌男，忠义同学原来结过婚！！！麻麻的！！好讨厌那个女的啊！！             
(5星)	 我小时候超级超级喜欢。            
(3星)	 也没传说中的那么好看吧，钟汉良年轻的时候看上去好可口啊❤            
(4星)	 不喜欢高婕的性格            
(4星)	 就是喜欢香港推理            
(5星)	 事隔多年记得最清楚的是蝴蝶杀人案里吊床事件，重看一遍发现禁止好可爱madam很干练            
(4星)	 很不错的TVB悬疑推理剧集~            
(5星)	 早起港剧经典~            
(5星)	 直到2009年才看了这部1995年的电视剧。TVB的电视编剧很不错，节奏也很快。            
(NA)	 觉得案情简单了点            
(4星)	 只记得很轰动很牛逼很厉害就是            
(NA)	 很早的侦探剧了。想必近年的侦探剧，就显得比较粗糙。不过，还是挺好的。以前看过一些片段，心情会不一样，也许怀旧，也许想把以前没看的看完            
(5星)	 婴儿胖的高婕，酷酷的张大勇，傻傻的李忠义，钱在当头的GIGI。。。都构成了儿时记忆的一部分。            
(5星)	 破案题材看的很少，小时候就印象深刻，百看不厌的经典            
(4星)	 细细个就霖啦            
(5星)	 想当年天天晚上坐在电视机前等着看，破案的电视剧越来越多，似乎都没这么精彩，有的案子真的让我感觉有的可怕！！！            
(5星)	 那时候的警匪片真心好看            
(NA)	 他叫沙展勇的么。。。我一直以为他叫张大勇。。。。。。。。囧            
(4星)	 男演员就不能帅点吗..........            
(5星)	 因为这个电视剧开始意识到自己有多么喜欢tvb            
