http://movie.douban.com/subject/6013886/	你为我着迷 넌 내게 반했어
(4星)	 小清新~没有大起大落，但是看着蛮舒服~            
(NA)	 剧情 真是一坨屎= =             
(4星)	 男主真好看~~~            
(3星)	 男主明显没有气场，看起像嚼白蜡， 还是张根锡 当男主有气场。不知道哪好看，女主角白痴死了，            
(NA)	 好吧，我只看了一集都沒完……實在是看不下去……            
(4星)	 看着就很舒服~音乐也不错~剧情。。管他的！            
(2星)	 真心难看！            
(4星)	 我一直都喜欢朴信惠。不管是小静书还是美男            
(NA)	 越往后剧情越弱。。。            
(2星)	 如此之差的编剧            
(3星)	 OST不错            
(3星)	 超级煞笔。。。。            
(3星)	 只能说还行吧。。。。剧情不冷不热的。            
(3星)	 信惠啊，怎么能放任自己长那么胖啊！            
(2星)	 编剧太烂，前后不成章，浪费演员。郑容和朴信惠多配啊暖男暖女但是编剧真是不行很可惜，配乐也不够丰盛            
(5星)	 大爱，不解释！=v=            
(3星)	 男一号完全就是理想型呐哈哈~            
(NA)	 美男2吗？？？啊哈哈哈哈            
(2星)	 看到11集决定弃。。。 郑容和跟朴信惠在剧里谈恋爱越看越别扭！ 朴信惠越看越腻味。。。她怎么那么胖啊？跟郑容和就是各种不搭            
(3星)	 轻松甜蜜的校园爱情小品，ost不错            
(3星)	 这部剧要没有这俩男女主角就玩完了……            
(4星)	 看完鸟~朴信惠那张脸真的没有整的像尹恩惠么=-=还是棒子都长一样？4颗星送给剧中纯爱。我脚的挺治愈的 但是狗血也够多的            
(5星)	 剧情感觉一般，但是喜欢容和和敏赫。所以也喜欢。            
(3星)	 男猪脚真人应该各种不好看吧。。。。            
(4星)	 为朴信惠和郑容和四星            
(3星)	 我其实是冲着男主女主看的，可情节拖拉，女主跟男主站在一起有好大一只的感脚。            
(3星)	 楠竹比较帅而已            
(2星)	None
(NA)	 要不是为了宗铉的插曲，你以为我真的会看这种脑残片。            
(3星)	 剧情真的是很失望，我是冲着男女主去看的。- -            
(NA)	 这片就是一小清新 唯一的看点大概就是那个卖萌的鼓手……            
(5星)	 不小心通了个宵给看完了，好喜欢。反复看了十遍有余 吧= =            
(4星)	 好看,好听            
(4星)	 喜欢这一对~男主是我喜欢的类型撒~            
(3星)	 简单爱情校园剧,确定是穿越的,这俩人...不过这做美男的前部可能更好吧~~~            
(NA)	 直接拖到十五集            
(2星)	 看到后面还好            
(5星)	 因为爱情和青春。也因为里面唱歌很好的容和，还有可爱的敏赫            
(4星)	 3星的剧情 虽然狗血但还是激发了淫家的少女情怀啊 TAT 为和酱再加1个星吧            
(3星)	 越往后看越狗血。            
(3星)	 电视剧太难看了。。。这三颗星都是给容和的。。。            
(2星)	 我对韩剧越来越没有爱 我变得好重口味我觉得 这种小清新完全没办法满足我嘛怎么办            
(3星)	 容初丁扮面瘫，真是太违和了。。。但是校草look各种适合各种心水&gt;&lt;            
(NA)	 好吧 这种傻乎乎纯谈恋爱的剧最适合快进了 一有波折人家就会小揪心啊。。。            
(3星)	 。。。。            
(4星)	 很有校园感。            
(5星)	 好喜欢好喜欢            
(5星)	 有一个很萌的男纸啊看得婶婶我母性泛滥            
(3星)	 喜欢美男，喜欢这俩人，但剧本太不给力了啊，没看完            
(2星)	 没看完            
(3星)	 男主真是唇红面白呢 情感转变稍显突然            
(3星)	 女主角的衣服都好好看~~~~~            
(4星)	 给四星完全为了荣和和朴MM的ost 太好听了，和声相当美 里面的歌都很赞            
(NA)	 朴信惠的胳膊还能再粗一点吗            
(4星)	 要不是 为了 小郑和小朴 ...就三星了            
(4星)	 近几年唯一追的，也是唯一看的一部韩剧，没什么亮点的剧情，小清新的纯爱剧，狗血得让人发指，作为红薯饭看得两眼喷火……            
(3星)	 还行吧，轻松的让人看了前5分钟能够猜到下面10多集的剧情~~这导演够菜鸟的~哈哈            
(4星)	 容和的演技确实普普通通啦 算了反正我也只是为了看颜而已 捂脸 本来是因为美男的卡司所以才看的，但故事确实和美男里面一点关系也没有 朴信惠演的还不错。就是显然迷你剧而且还因为车祸少拍了一集显然容量不够，很多条线都没有好好发展（本来还满期待奇英的爱情部分的 而且宝云的戏份也有点少呢..）            
(3星)	 偶像剧太深 青春剧太浅            
(3星)	 好逞强的男主角真的很讨厌啊!            
(3星)	 《是美男啊》小清新版后遗症=0= 前第7集评：我得说编剧你是脑残！敢不敢再拖沓一点！            没注意的完结：我了个去这就完了？！！！！！            
(4星)	None
(3星)	 有点小感动            
(NA)	 嘛——嘛——            
(3星)	 冲着美颜美景给了三星。剧情实在...            
(2星)	 第九集过后果断弃了.我是多DJ朴MM啊,画面色彩也很丰富青春.就是剧情那个托啊托的.和[玛丽外宿中]有的一拼.            
(NA)	 (⊙o⊙)哦            
(4星)	 男主唱歌的样子很讨喜，不过长得帅就一定要面瘫吗 ==            
(4星)	 不得不说，这是一部我一直没耐心却坚持追下来的剧。是女生都会有这样的梦吧，一个告诉你要坚持理想的温和爸爸，一个会弹吉他兼乐队主唱的男友，一群永远挺你的死党，和一堆赶不走的好运气，再加上倔强的脾气和没来由的勇敢，后来只要稍作努力就能取得的成功。人生若真如此，那便再好不过了。            
(4星)	 养眼的男主女主，舒服的节奏，故事简单又如何？            
(3星)	 其实没有想象中好看            
(4星)	 暑假因为容和一星期一星期的追剧真心好辛苦，其实这剧真没那么烂。就是开篇比较无聊也许是因为换编剧什么的。夏日里的小清新啊。这剧演绎得再好不过了。真心小清新。            
(3星)	 青春时代的梦，            
(5星)	 为了朴mm和大叔才看的~~ 13集琦英帅爆了~~~             
(3星)	 拖太久不想看了。。。。            
(4星)	 当年看美男的时候就觉得他俩应该在一起啊！            
(4星)	 开始不怎么样 中间开始不错 结局又开始不怎么样了 话说结局真的很无聊            
(5星)	 不得不说剧情确实有点混乱，为了cp给五星吧。            
(3星)	 情节可以再俗辣一点么？            
(3星)	 后面有点一般            
(5星)	 有音乐，有梦想，有爱情，有帅哥，有美女。            
(3星)	None
(4星)	 莫名的覺得大叔長的好像林依輪啊╮(╯▽╰)╭            
(2星)	 很久没看过这么难看的韩剧了            
(3星)	 在三个小时之内看完，快进过所有罗嗦矫情的段落，这样看起来还是觉得蛮有意思的。变得油腔滑调的面瘫姜新禹还有变漂亮了的高美男终于在一起了啊~            
(4星)	 为个人情结加一星。美好的校园爱情。风格挺清新的。有一些细节很感人。            
(4星)	 韩国的国乐魅力很大，关注cnblue。            
(2星)	 郑容和让我想起了韩版恶吻的白胜祖，万年无表情帝！这孩纸如果当年有机会接了花样——尹智厚一角，绝对也能爆红啊！这剧主演个个帅哥加美女，目前为止出的ost也很棒，可是编剧是真的不怎么的！所以这剧已经决定放弃！            
(3星)	 有个评论说得好 男女主角的戏份完全淹没在了浩瀚的人海中 不过 对一部偶像剧 何必要求那么高呢 即使结局那么狗血 不也看下来了吗 起码这部剧画面一直都很清新 音乐也可以听听 真不错了            
(3星)	 虽然剧情好老套，但是冲这里面的ost和人去的~            
(3星)	 看到第四集了。第五集什么时候更新啦？TOT            
(3星)	 两分给容和、半分给敏赫。真是一部散沙剧 编剧简直毫无诚意。。纯粹是郑容和个人饭&gt;&lt; 敏赫真的是大发！！闹木可爱啊&gt;&lt;~在剧里的服装也好看过容和xi。。可以说这个是Pc尝试版交响情人梦么。。是为了圆容和xi的梦吗。。==|||            
(3星)	 木有着迷 虽然看的不多 ==             
(4星)	 美男终于和新禹在一起了，这两人看起来真是挺配的，要是编剧没写的太差，会不会还有第三部合作的机会？两人的演技都有长进，有时恍惚会觉得朴信惠有点像河智苑啊，当然了眼神还是差了点。希望还是能继续有合作吧，CNblue都一起来一部好了！敏赫也很帅啊！            
(NA)	 画面配乐都很美只可惜这剧情太弱了男一还是挑不起大梁啊整个一面瘫            
(NA)	 我要弃剧了 不知道为什么  不知道在讲什么            
(4星)	 之前的劇情的確讓人一直快進,後面還是有好看起來!爲了男冷多給一顆星!            
(2星)	 剧情太复杂了，没兴趣了。弃。            
(4星)	 完全看人就好....            
(2星)	 神马玩意......            
(3星)	 人物美型，女主肉肉的蛮可爱，预计后面的剧情会涉及兄妹畸恋，男主身患不治之症，两男共爱一女，两女共爱一男等等。。。拭目以待            
(5星)	 好喜欢 这剧除了编剧不给力 其他都不错~电视剧拍的太清新了~色调配乐都是我 的菜~            
(5星)	 你为我着迷追起来啊亲！先锋惠越魅容绝对好评啊亲！            
(3星)	 在[城市獵人]風頭正旺的時候殺出來的一部小清新~也算是一種很不一樣的感覺吧~國樂女孩和搖滾樂手的愛情小品~休閒的時候看看還不錯~三星半~XD            
(2星)	 这位编剧，请问您是有多文思枯竭！            
(4星)	 后面就开始拖了 好在真爱终于修得正果             
(4星)	 看完了。好舍不得。最后一集骗了我多少眼泪啊。还好你是happy ending。不然我一定要哭死了TAT。            
(2星)	 弃~是想模仿dreamhigh吗 拜托里面的角色也选好一点吧~谁看的下去女二啊~            
(4星)	 不错 不过整部的情感纠葛已经能够yy得很彻底了...            
(3星)	 青春真是美好。为了容和的颜，rain跟海涛的结合体。呵呵。            
(2星)	 凑合不下去了，什么剧情啊，只能看看里面唱歌的片段 女配的脸都怎么回事            
(4星)	 郑容和也好理想型~~            
(2星)	 第三集，果断弃- -            
(2星)	 一集一个编剧吧？            
(3星)	 新禹oppa演那种默默付出型男二号显然更讨喜 前面几集面瘫校草风确实让人讨厌            
(2星)	 亏我那么期待OTL 烂人编剧把两只萌神还给我！            
(3星)	 公演的换角真他妈把我恶心到了，你真以为这是在拍纯情教育片吗。。。。。。。。。。。。。。狗屎            
(NA)	 郑容和这个路人也要翻身当男主鸟~            
(3星)	 郑容和+朴信惠的组合也不能拯救一部烂剧，可惜了，这么好的组合用在一部烂片里了            
(4星)	 情节其实一般。只是有还蛮喜欢的男女主角~            
(4星)	 弥补《是美男啊~》的遗憾耶~感觉情节有点散。。。然后就这么结束了？？结局那啥！不太能接受！            
(4星)	 小清新。剧情无惊喜，编剧有点毁了这部剧，冲着主演去看的。            
(3星)	 韩剧一贯的风格。            
(3星)	 最近帅哥看多了？？期待过高了？？没有很春心荡漾啊。。。剧情有些弱 姜珉赫很Q耶~            
(3星)	 豬腳大好 男二女一終於修成正果 可，編劇是幹什麼吃的？這麼爛的劇情是怎麼寫出來的。浪費感情            
(2星)	 纯粹为了看容和的颜啊            
(4星)	 李绅你突然唱lucky卖萌是犯法的！！！还是因为车祸少了一集啊结尾情节太过狗血啦~！看美男的时候还好  看这个的时候竟然觉得后面的李绅好难看剧情直线下降  李绅都不是李绅了  叫人直想降星星但是ost还是很好的  之前的感动也都还在            
(3星)	 电视剧版歌舞青春么？男女主角很养眼，服装、场景非常小清新。剧情逻辑差且空洞无聊。值得一说的是里面的歌曲都很好听。            
(2星)	 2集弃            
(1星)	 剧情太弱了            
(5星)	 很期待            
(2星)	 最近韩剧都只有开头好看吗            
(4星)	 豆娘恶评坑人啊 搞得我一开始都不想看...确实没有美男和dream high好 也不至于被恶评成那样吧...很多小清新粉红还是让人心情不错的 而且古典现代的结合创意也不错...不过 确实有点烂尾...            
(2星)	 其实单就校园部分来说作为艺术生的我是很喜欢的，很青春很朝气啊，恋爱部分是拖沓了点，不过还在接受范围。下一集快点转折吧，男主别在女二那里打太久酱油了……            
(4星)	 收视率在＜7.5%的情况下，BJ和导演拿着一手好卡司，也直接放弃了。这叫什么结局啊，情节到最后拐弯生硬到不行！            
(3星)	 这部坑爹的戏终于结束了 如果不是wuli容和 2星都不值            
(4星)	 都一把年纪了，真不好意思说少女病这种词了，但是这单眼皮男主也太无敌了吧！！！除去演技不说，小二阵亡了。。。上半年最好看的韩剧无疑是这部了            
(2星)	 容和同学，你怎么接了部这样的片子....实在对不起...看不下去啊....4集弃            
(3星)	 剧情一般，没新意，主要还是看男女主角～嘿嘿！            
(3星)	 没意思没意思真没意思··            
(2星)	 温都男变成冷都男就不好看了~            
(4星)	 虽然很狗血，虽然剧情也很容易看出漏洞，但是！！我就喜欢，看得我还是老泪一把的！比在美男里更喜欢朴信惠了，韩国女明星少有的胖胖的路线但是超级喜欢！以及。。。我不知道我现在这一把年纪是不是还能叫容和oppa- -但是这样又帅气又温柔又有才又专一的男主也只能出现在韩剧里了吧！            
(3星)	None
(3星)	 剧情就不要推敲了，我纯粹是为了郑容和可能的这部剧！            
(3星)	 刚看完城市猎人 看什么都浮云了...            
(4星)	 我直接是冲女主角来的。如果女主角换人，我绝对不会看。            
(2星)	 情节真的是太扯了 就只看那两只吧...            
(5星)	 音乐男女的纯真爱情，偶像剧式的音乐剧，音乐剧式的偶像剧，绝对青春，绝对养眼            
(4星)	 完全冲着郑容和去的。。剧情什么真心不重要了……虽然一贯韩剧的感觉但是至少男女主角都很养眼。。这样的男人是每个人都想要的吧♥            
(3星)	 小清新。虽然中段剧情很弱。            
(3星)	 完全是冲着郑容和和朴信惠，剧情实在不咋的，没想到最后硬是被我看完了~~            
(5星)	 超级爱郑容和!!!            
(3星)	 坚持到第六集了还会继续坚持下去就是为了看之后女主会怎么虐男主！            
(3星)	 前几集有点看不下去，是苦逼的单恋，说实话我最最讨厌单恋了！！后几集吧俩人终于在一起了，挺浪漫的，虽然有点狗血，但是对于连初恋都没有过的我还是微微的感动呢，其中有一首歌叫什么我忘了，是李绅爸爸给李绅写的歌，挺感人的，有点想哭的感觉呢~            
(5星)	 青春浪漫            
(4星)	 如果耐心看的话，还是很不错的。画面那个美那个小清新啊！            
(3星)	 男女主角都一般，算是美型吧，只是缺少打动人心的力量。唯一觉得难忘的就是俩人在公园的凳子上一起听歌弹奏电子音乐的场景。            
(4星)	 最后一集略败笔！整体很清纯搞笑少女情怀XD            
(4星)	 这是我看过最朴实的偶像剧啊~让我还没毕业就开始怀念大学生活了！            
(3星)	 完全冲着两位主角看的，故事内容比较单薄，不够吸引人。女教授刚开始看到，觉得很讨厌，看久了，竟然觉得很有味道，风韵吧。            
(3星)	 我是真的不讨厌信惠欧尼，但是她真是…不好看啊，整个剧里的女的都瘦的像竹竿一眼，为毛就你像吹起来了一样还是女主啊。纯为了容和…            
(4星)	 追的時候覺得還不錯的……雖然現在有點想不通 喜歡鄭容和 喜歡畫面的色調 看了就想把裏面的東西買光光            
(4星)	 有被郑容和迷到            
(5星)	 郑容和是新欢~太美型啦~看原来是美男的时候就很可惜没和女主角在一起，终于修成正果啦~唱歌也很好听，还会各种乐器。剧里的很多曲子不错~            
(4星)	 同半半拉拉            
(5星)	 看的我快激动激动到不行哈~客观的说前三集有点很没头绪，但是一定要有耐心哦。越到后面才越是精华的。            
(3星)	 一头，一尾。over。            
(4星)	 这部剧越往后看越好看刚开始我也没有耐心只看到第六集过了一阵再看发现后面要好看            
(4星)	 属于越到后面越好看的 就是结局太仓促了点            
(3星)	 容和弟弟 什么时候能够摆脱这个形象啊....虽然说演的还不赖            
(4星)	 因为想念。。。好听呀            
(5星)	 很好看  不是爱的轰轰烈烈  爱的简简单单  这就是青春呐            
(4星)	 清新的韩剧，谈不上多好看，不过也看完了。            
(3星)	 仗着对男女主的热爱追的剧，结果编剧就是不写粉红。。男主为了暗恋的老师愣是浪费好几集。最后怎么跟女主对上眼儿的也异常突然。。。            
(3星)	 比较喜欢女主角 肉呼呼的            
(4星)	 前半的基调好好            
(NA)	 这是个啥 原来他就是朴信惠            
(NA)	 整部剧就是在谈恋爱            
(3星)	 完全烂前加烂尾.系中间好的.主要比分男女主角.-.-            
(NA)	 闷到我无言            
(NA)	 怀揣梦想的青春，无论怎么拍都很感动的题材，意料中的感人，意料外的触动，为此喜欢吉他，喜欢里面的歌            
(4星)	 剧情真的很流水，很一般。。但是郑容和干净清爽的外貌实在是不能拒绝啊，朴信惠也很让人喜欢。。所以我承认我就是颜控了，怎么了。。            
(3星)	 剧情推进极慢韩剧一贯风格，染上小清新风格至于美男遗憾后遗症，快进看完全剧。。。            
(3星)	 一般般啦，C.N.Blue的粉可以看看            
(3星)	 马耳他看完的电视剧。郑容和还不错，朴信惠超像尹恩惠。            
(2星)	 诶 什么啊....            
(2星)	 故事不流畅，或者说根本没什么剧情，唉，有些失望，女二，为什么我就那么不喜欢你呢。。            
(NA)	   so nice            
(3星)	None
(3星)	 虽然容和很帅。。。但是真的一般            
(5星)	 郑容和OPPA阳光帅气清新迷人啊  朴MM胖胖的挺可爱呢。            
(2星)	 脑残剧一部。。。            
(4星)	 我是朵奇葩，虽然过了半年了我还没看完，但是当年看的时候还是很欢乐啊~小清新有没有！那满目绿色的校园美爆了！            
(2星)	 容和。。。怎么剧情这么不好呢！            
(3星)	 为了男一和女一看的，编剧不给力呀，多给一星给演员吧            
(5星)	 推荐是因为容和！！！            
(4星)	 一口气看完了。冲着郑容和来看的，很帅啊。。喜欢看他唱歌的样子！有点烦的是前1/3的剧情都是容和喜欢那个女教授，都不看女主角一眼。。然后终于和女主角在一起了，然后又郁闷的分开了。。虽然最后还是在一起了，可是感觉有点草草结尾了。整体来说还行，看容和比较养眼。            
(NA)	 喜欢郑容和！            
(4星)	 夢想的，純情校園篇            
(NA)	 陪小学六年级的表妹看了最后一集 就连她都能不断猜出后面的情结 不断的快进 很没意思的剧 就连男女主角看起来都不般配            
(4星)	 哎一古 不管怎样 被容和君迷倒了呀            
(4星)	 吉他 伽倻            
(5星)	 我的容和~oh!!            
(5星)	 青春啊。            
(3星)	 青春校园剧。容初丁的扮相清新无敌！！！睡前看几集，睡时闭上眼，脑中还是帅哥的无敌笑容，睡着也会笑翻啊~剧情的话也还算普通，不能算太突出，但也不至于看不下。何必对剧那么苛刻，难道睡前看沉默的羔羊才算不浪费时间嘛~            
(4星)	 虽然是快进着只看俩位主角的戏，但确实能给人带来夏日般的清新感。每次看着信和媛两人互望着对方微笑的时候，自己也会情不自禁地笑起来。本剧除了郑容和与朴信惠的靓丽组合，最大的亮点就是剧中那些十分美妙的音乐，尤其喜欢the stupid和风之花合奏的那一段！            
(4星)	 超低的收视率几乎让我放弃这部韩剧。这部韩剧其清新的气息还是让我为之着迷，让我快三十的人还是着实感受到了青春这个东西，想说年轻真好。            
(4星)	 后两集好鸡肋            
(5星)	 冲着朴信惠和郑容和才看的，是一部很清新的片子~            
(5星)	 容和容和容和！！！            
(5星)	 容和哦吧！！！我是你的脑残粉~~~~            
(5星)	 第一次这么认真追一部韩剧。            
(3星)	 说实话，真的一般般，关键都是去看男主和女主的。            
(4星)	 剧情不咋地。主要是信惠和容和两只萌货~~姜新禹复仇记啊~            
(4星)	 OST 绝对好听！            
(4星)	 眼神华丽丽的忧伤            
(1星)	 星星给养眼的信惠MM&amp;容和= =+            
(5星)	 原来是美男 翻版            
(3星)	 剧情弱爆了 正式公演被热血了一把 郑荣和很帅 没了            
(2星)	 老了 不适合这种了            
(3星)	 在里面最喜欢的是鼓手，超级无敌可爱的，就像当初看《原来是美男》最喜欢JEREMY那样！            
(3星)	 就当我看完了吧。。还有一集多不想看了~~~            
(4星)	 朴信惠长得像尹恩惠            
(3星)	 画面很漂亮，男女主很般配！但是剧情烂！            
(3星)	 小失望，歌还不错。            
(3星)	 冲着男女主角去看的，剧情一般。            
(4星)	 这种美好，且不用脑子的剧最适合我            
(3星)	 表示多的一星是为容和打的~和DREAM HIGH 相比表演感染力和剧情都明显偏弱啊&gt;&lt;            
(3星)	 主要就是为了容和xi            
(NA)	 非常非常好看  郑容和  有爱哟            
(2星)	 除了看猪脚，其他实在是不敢恭维~~            
(4星)	 清新的爱情 年轻的奋斗             
(4星)	 校园小清新，郑容和帅死了！！男主角和女主角的对手戏最好看！！            
(4星)	 这个四星完全是给郑容和啊啊！！编剧去屎！！进来韩剧没有好剧就是因为你们！！男二女二都是要来干嘛的啊啊！！            
(4星)	 青春，乱糟糟没什么不好的.....放松的电视剧何必那么计较，大不了快进不就好。不过还好故事主线到后面改动明确了。            
(3星)	 哎哟喂 哪里好看了啦            
(2星)	 郑容和为朴信惠弹吉他的样子帅爆了            
(NA)	 ……            
(2星)	 太小清新了~只是，剧情还要再烂一点么~            
(3星)	 情节太狗血了~~~但是还是喜欢박민수씨的画面。。。            
(2星)	 拖沓无味的剧啊。丝毫看不出郑容和的帅啊，还是金贤重帅多了            
(4星)	 郑容和不追人很帅啊            
(4星)	 治愈系的韩剧就是过冬良伴！            
(5星)	 其实说实话，情节很狗血。但莫名地我很喜欢这样的基调，很多点都戳到了心里。郑容和的演技其实很不错。            
(4星)	 这两天刚看的。。。其实不太是我的菜。。。可是为了yooong老公去看的。。。然后竟然也看完了。。。其实还不错啦。。            
(2星)	 剧情有点蠢...            
(3星)	 歌不错            
(3星)	 额。。真是放假无聊啊。。。            
(3星)	 要不是因为男女猪脚，我给一星的心都有了，剧情真的是懒得吐槽            
(3星)	 没错，就是校园小清新咯            
(NA)	 容和啊~~无抵抗力            
(3星)	 阵容和在这里面的风格帅 敏赫超可爱 不过剧情有点老套啊。。            
(5星)	 男主角超不错            
(4星)	 挺美的            
(4星)	 很赞 剧情虽然老套 但是演员很赞 所以还是超级好看 里面的插曲也很好             
(2星)	 拖沓而没有激情            
(3星)	 纯粹是为了容和和朴信惠去看的。但是情节很一般。没有追完，不太喜欢。            
(5星)	 力挺郑容和！！！帅帅的!!!            
(4星)	None
(4星)	 场景各种小清新 剧情显弱 演员加分 可以2倍速看定格演员的脸和风景（误！）            
(3星)	 一般。。。            
(5星)	 不知道为什么真是对了我的味！            
(5星)	 冲着主演打五颗吧……要是剧情真是一颗都不想给……青春校园怎么拍成流水账了呢……真是白瞎了有爱的两只主演！            
(NA)	 好喜欢这种以音乐为题材的剧 里面的歌很好听.            
(4星)	 对这部的迷恋是因为朴信惠就是《天堂的阶梯》里的那个小女孩的缘故吧。。所以一开始看，发现女主角是她，就异常的喜爱。。。戒不掉《天堂的阶梯》里那个小女孩的温柔和温暖。。。剧里的每首歌都很动听，即使不懂语言，却能感受到所传达的情绪。。也许打动我的不是这部剧而是里面的音乐。。by the way             
(4星)	 明明就是是面瘫男+励志女的典型台湾偶像剧的套路但是。。太青春了太小清新了音乐太萌了到最后公演的时候还是激动了有木有。。我要学吉他啊，像男主弹得那么帅像女主唱得那么纯~！原谅我吧呜呜。。            
(2星)	 = =            
(3星)	 剧情太薄弱了，到后面完全狗血~~跳着看完~~            
(NA)	 哎哟~~~终于在一起了~~~真开心啊~~~            
(3星)	 最后一集  听到男主说 我爱你的时候  太搞笑了。。。            
(5星)	 大爱朴MM！~大爱郑初丁！~            
(2星)	 看不下去了。。            
(NA)	 再次相信爱情，终于男二变成男一了。            
(3星)	None
(3星)	 完了 又被迷住了！！            
(4星)	 虽然口碑没那么好，但个人觉得挺不错的，看着很舒服，包括音乐和演员，都不错。            
(1星)	 朴信惠一出场以为高美男又上身了，看朴信惠那做作样就受不了……10分钟快进弃剧            
(4星)	 之前还觉得郑容和不错来着。。看完这部剧怎么一点感觉都没有啊。。。我是老了么。。然后内心很纠结。。很混乱。。。            
(3星)	 编剧稀烂，其他的还好。            
(3星)	 记住了一句话：大学期间一定要做一件一辈子都难忘的有意义的事。            
(5星)	 这剧从头到尾是微笑看完的啊，除了开头有点纠结师生恋神马的，结尾十分狗血，还是挺纯爱系的，整个都很温柔 OST都很好听            
(5星)	 清新的正派青春爱情剧。男女主角都是看着就让阳光撒进心里的类型啊！@锦末 @卿小沫 @一梦千年0321             
(5星)	 郑容和呀郑容和~~喜欢!!期待新剧咯.            
(4星)	 好喜欢容和。基本上绅就是花泽类和道明寺的合体啊~不过好喜欢这种性格。好体贴~~            
(3星)	 室友说我一个星期看一部电视剧看得很慢。。。很慢。。。慢？？这么快看完看什么好阿！            
(3星)	 美男和新禹偶吧终于在一起了            
(4星)	 很多情节蛮搞笑的~但是越往后面~越发现剧情实在很狗血~            
(4星)	 冲着演员去的~~剧情就不多说了！            
(NA)	 14            
(5星)	 很好看！！！！            
(3星)	 饭的身份也阻挡不了我对这剧的怨念            
(5星)	 shin            
(4星)	 同样的导演但是觉得不及世界诶..后面的剧情有点儿太..我倒是非常喜欢他们俩从认识到开始确认互相喜欢之间的剧情。            
(3星)	 主要喜欢郑啊            
(4星)	 果然，韩国的电视剧还是要有漂亮的男女主啊。            
(4星)	 冲着郑容和来的，因为想念很好听            
(5星)	 比DREAMHIGH构思弱一些 但是依然很喜欢！！！！            
(4星)	 没有想象的好看~~有点失望~            
(5星)	None
(4星)	 还不错，本来就喜欢郑容和~~            
(3星)	 看点励志的还行。韩剧怎么总能把情情爱爱整的那么邪乎。            
(5星)	 特别好看  特别推荐             
(4星)	 剧情一般，但是歌好听~~·            
(5星)	 清新，感动，温暖。            
(3星)	 OST不错            
(3星)	 绅呐~~~~~~~~~            
(NA)	 咒语还不错            
(3星)	 主要是帅哥美女的搭配和音乐的背景，其他的都是狗血。            
(5星)	 李信 完全喜欢的个性 ~~            
(4星)	 明明就是一部电影 愣是被拍成了一部电视剧三分是给姜新禹和高美女的（...） 一分给配角 演的真好            
(3星)	 编剧吃什么饭的！！！还因为车祸减了一集，太杯具了            
