http://movie.douban.com/subject/2157129/	甘十九妹
(4星)	 记忆里的美女            
(5星)	 大概和很多人一样，小时候看甘十九妹觉得好像仙女姐姐，脸蛋漂亮气质脱俗性格又惹人怜。尹剑平啊尹剑平……            
(4星)	 十九妹很美。。。            
(5星)	 十多年后再回首，的确是部佳作！女主角含情脉脉的眼睛，至今令人魂牵梦绕            
(4星)	 “江湖情缘恩仇的启蒙”；情结设置最纠结的武侠剧之一，该有的都有了~  “我们的童年，还有它和白眉大侠。。”            
(3星)	 多少年的老电视剧了，不经意间竟然看到……            
(3星)	 红衣少女好可怜            
(4星)	 刚电视台竟然重放，我好花痴男主角啊··            
(NA)	 小学时候看的吧，讲什么的全忘了，只记得似乎听说过这个电视剧的名字＝＝            
(4星)	 这个老套的武侠言情剧，以其女主绝佳的扮相、男主绝好的演技，外加那个“演员表”上的名单统统死光光的前无古人后无来者的绝惨结尾，在幼年时给我留下难以磨灭的记忆            
(4星)	 童年时印象很深的剧。黑悲伤的结局。            
(3星)	 很老的样子。            
(5星)	 都死了...            
(4星)	 相信看这部电视的人都是喜欢尉迟兰心的，傻兮兮的始终如一的爱着尹建平。对所谓甘十九妹的主角无感，印象比较深的原因是男女主演从1号到N号最后应该是全部死光了~~            
(2星)	 那时候觉得杨露真漂亮哪            
(4星)	 小时候觉得白云瑞是个大帅哥啊！            
(3星)	 小时候看啊看个没完，因为很不喜欢甘十九，所以尉迟兰心的死和结局让我耿耿于怀！            
(4星)	 现在再看还是好看啊好看啊嘤嘤嘤！！！            
(NA)	 只记得“尹剑平，尹剑平...”三个字，估计就是看这戏时            
(4星)	 扳倒井~            
(5星)	 美女！至少以前这么看            
(4星)	 文戏真的很好            
(3星)	 完全不记得情节了。。。亏以前还每集都要追看。            
(NA)	 我说怎么拍摄手法与《白眉大侠》这么相似，原来是一个导演，这两部片子上映的时候，那真是，我爸妈比我都爱看            
(3星)	 复仇的一生，真充实呀~~最喜欢冷琴居士@@            
(3星)	 这个男主影响了我好长时间对男性的审美，以后要给自己家的小孩看金贤重补习一下。不过，女主角一直很美啊~~            
(NA)	 兰心            
(5星)	 水红勺，尹建平，甘十九妹。这片子在我回忆童年的时候，地位堪比《新白娘子传奇》。            
(5星)	 又一个少女梦想啊啊啊            
(5星)	 啊啊啊，帅哥美女。。。            
(5星)	 哦哦哦我可怜的水红勺！！            
(NA)	 补遗               
(NA)	 记得男主角是我小时候不喜欢的样子，现在长大了我就很控这一型            
(5星)	 无论是电影还是小说 一个好故事固然重要 但一个好角色更让人喜欢 两者好比一幅画的背景和内容 好角色是闪光点 作为武侠迷 除了喜爱金作 现在又多了个萧逸先生的《甘十九妹》 人物个性鲜明 一点都不假 尹建平是我最喜欢的男主角 坚毅、深沉、正直、冷静、聪明、幽默 总之是很有意思的一个人            
(NA)	 哈哈~~~以前超喜欢            
(2星)	 我最不喜欢看武侠剧了，我也不喜欢那时候的造型儿            
(4星)	 童年的回忆啊~            
(4星)	 结尾差点，但整体不错            
(4星)	 印象颇深了！            
(NA)	 看的时候真的是太小，这么多年子建也还是没有红，结尾时更是看到肝肠寸断，虽然那时候也不是很懂爱情，至少那时觉得生死对于爱情来说算是大考验吧，后来才知道比生死更重大的是人心的突变，这才真是肝肠寸断，相比于此，拥着爱人死去，也不失为一种好结局。            
(2星)	 当时觉得杨露很性感，后来似乎消失了            
(NA)	 刚才听主题曲的时候居然就忘记了大部分情节...大哥去年暑假还又看来着 旁边的兄弟还说女主角不错来着 怎么我就记不得了            
(4星)	 如果来生还是今世的重复，纵然多情要比无情苦            
(4星)	 这片挺有印象的。            
(4星)	 那时的李元芳啊～～            
(5星)	 当年惊为天人的。。            
(5星)	 哈哈哈哈哈哈!!!            
(3星)	 小学里很喜欢            
(NA)	 哈 哈哈 哈哈哈...笑背过去            
(5星)	 oh wow~            
(3星)	 片头片尾曲经典，女主角古装很美。            
(NA)	 九妹，九妹，漂亮的妹妹，九妹，九妹，我的——九妹！            
(5星)	 儿时的记忆            
(NA)	 我还真记得这片子……            
(3星)	 主题曲            
(4星)	 貌似还是在我们家乡附近拍摄的。颜丙燕真可爱吖！            
(3星)	 一般            
(3星)	 当年觉得真好看也~            
(NA)	 我考，这么古老的回忆            
(3星)	 剧情真的忘了，只记得名字。            
(NA)	 名字就其得很傻。。。。            
(3星)	 啊啊啊尹剑平是叫这个名儿吗            
(3星)	 颜炳燕很美，尉迟兰心很美            
(NA)	 哇 豆瓣上居然有 情节完全不记得了 小时候觉得真好看啊            
(NA)	 好怀旧啊好御啊            
(NA)	 很小的时候全家一起看~很多情节现在都历历在目~            
(3星)	 童年的阴影            
(3星)	 同学看后狂迷张子健            
(3星)	 看是看過，現在想起來已經印象全無。            
(4星)	 最后一集因为当里下雷雨停电没看到，伤心了好久。。。            
(3星)	 小时候看的            
(4星)	 印象深刻            
(4星)	 小时候可喜欢了            
(4星)	 晕，又见重播。            
(4星)	 是不是嫂人生中看过的第一部杯具电视剧阿？！            
(NA)	 分身化影术            
(4星)	 純美的江湖。            
(NA)	 我小时候觉得十九妹好美。            
(3星)	 最后还为结局扼腕叹息了一把……当年的有线4台哇            
(NA)	 初中，好像拍的很长，但是月刊越不好看。片头片尾的歌好听，呵呵            
(3星)	 我倒，原来这个是“元芳”……            
(5星)	 多么经典吖 啧啧            
(3星)	 昨天某宅女在家看这个。。。真有才            
(4星)	 武侠启蒙片阿~~~            
(4星)	 基本没看明白            
(NA)	 小时候就觉得“尹剑平”老帅啊！我的偶像！现在觉得这个故事情节还挺深刻呢            
(3星)	 好像最后一集很色情！            
(4星)	 那个时候，不喜欢甘十九妹，但觉得尹剑平非常的帅……            
(4星)	 对当年趁爹妈午睡偷看电视的怀念。            
(4星)	 神哪!这么老的片子!!!!!            
(4星)	 结局好像挺惨的            
(3星)	 也只记得看过            
(4星)	 童年回忆            
(NA)	 总读成二十九            
(NA)	 啧啧。。则是肿么翻出来的啊。。。            
(4星)	 其实对这部电视剧，我的态度也很矛盾。一方面，这部片子在尺度严谨的年代，用了几个大而化之的镜头就向我们科普了什么叫做“轮奸”，应当载入史册；另一方面，女主的死鱼眼和男主的长马脸，总让我觉得抱憾，尤其最后一幕两人互捅了一刀倒地后又拼命地往一起爬表明情深的场景，让我觉得相当之狗血...            
(5星)	 儿时经典啊！            
(5星)	 难忘            
(4星)	 小时候看的，剧情都忘了。但是还要给个4星            
(4星)	 小时候天天跑到邻居家去看，而且一屋子大人也等着看。            
(4星)	 颜丙燕啊颜丙燕            
(4星)	 张子健为什么十几年过去了还是那个样？            
(4星)	 童年的记忆。。。杨露那忧郁的美，颜丙燕的天真可爱，张子健的侠骨柔情，插曲和片尾曲动听的旋律，都让人难以忘怀。。。            
(4星)	 童年经典，时隔十五年，片头曲和甘妹依然深深地印在了我的心中。对白不错，可惜太多，剑平去跑业务绝对是个好手。            
(5星)	 好多地方后来才看明白，比方说山洞里那段……不用纠结了，他俩就是xxoo了……太经典的电视剧了，小时候觉得尹剑平帅的爆了            
(5星)	 片头片尾曲，男女主人公，都让我久久难以忘怀            
(4星)	 隔壁的女生超爱看这个电视剧，当时觉得甘十九妹超漂亮。            
(4星)	 小时候很喜欢啊，就是会念错成二十九妹            
(5星)	 仙女下凡~~~！！            
(5星)	 女主美            
(5星)	 当时很喜欢女主角，很漂亮，嘎嘎~            
(NA)	 中間播放的時候還碰上了鄧爺爺的離世，停播了一個禮拜啊            
(4星)	 哎，好片子啊，甘妹妹那个漂亮啊，一看就穿越了啊            
(4星)	 小时候看着挺好            
(5星)	 小学四年级看的……男主好帅，女主好美……            
(3星)	 哎呦，我什么都不记得了，就记得十九妹的面纱呀~            
(NA)	 我也不知道为毛自己会看过这个片子            
(3星)	 面若天仙的甘十九妹和她的尹哥哥，然后他们都老了。            
(4星)	 我是记得全部死光的结局了 特别是男女主最后爬啊爬的镜头 可是其他就完全不记得了            
(5星)	 这么多年还记得他叫尹建平~            
(5星)	 我的个天！我是怎么把它们全部都想起的。。。            
(5星)	 剧情模模糊糊，但是，的确初看的时候惊为天人，甘十九妹和尹建平的爱情那叫一个纠结啊。还有被强暴的兰心。            
(3星)	 看不懂啊。            
(3星)	 儿时记忆            
(5星)	 跟爸爸一起看完的，非常喜欢。“如果来生还是今生的重复”            
(5星)	 颜丙燕美女哇~            
(5星)	 艹~~~当时我妈说内女的像蛇~            
(4星)	 我当时真是狂热的喜欢尹同学．            
(NA)	 张子健！            
(5星)	 尽管当初的制作不是那么精良，甚至还有很多BUG。但是我还是想打五颗星。一部电视剧在十四年后再看，依然回味，岂非是一部经典！            
(NA)	 童年回忆。            
(4星)	 杨露            
(5星)	 “如果来生还是今世的重复，你是否还是这样不在乎”。好美好美的甘十九妹，是我小时候的女神啊。如今尹剑平已成了李元芳，而甘十九妹又在哪里呢。            
(3星)	 神啊，九妹实在是太漂亮了！            
(4星)	 可怜的尉迟兰心            
(3星)	 那时候很惊讶大陆能拍出这样一部脍炙人口的武侠剧~挺成功的~            
(4星)	 唉 好多人            
(4星)	 拿粉笔把女主的发型画满了院子的地板= =            
(4星)	 但是我已经完全不记得剧情了TAT            
(5星)	 那时的帅哥美女才是货真价实。            
(4星)	 印象中最早的电视剧，当时还是黑白电视，看到最后男女主角都死了，屏幕上打出全剧终的字样，缠着老爸追问为什么完了，老爸说武功好的都死了，当然全剧终啦，不甘心地跟老爸辩解还有什么什么世外高人在某个山洞里的还没死啊，愣是不肯接受全剧终。            
(3星)	 还记得            
(5星)	 谨以五星纪念我逝去的童年。            
(4星)	 小时候看的，都不记得讲的什么了……o(╯□╰)o            
(3星)	 原来那是张子健啊 小时候看的了            
(4星)	 只记得甘十九妹的功夫实在非常厉害啊。。。原来里面竟然有颜丙燕，当时没认出来啊。。。            
(4星)	 只想看看小时候没看懂的感情戏，挺怀念的            
(3星)	 还是小时候的回忆。            
(4星)	 很小的时候。。。。            
(4星)	 这是我看过的最早的黄片，因为相对于我的小学情商，这里面的境头足以黄到爆了。            
(3星)	 仍然记得甘十九妹被灌了蒙汗药穿着小肚兜的场景。。。这是对幼年的我来说最黄的一段电视剧            
(5星)	 爱情启蒙剧~            
(3星)	 还是觉得男主角很挫            
(4星)	 啊哦这个都有！~            
(3星)	 实在不记得演了什么了。            
(NA)	 结果怎么样来 好像是都死了            
(4星)	 十五年前看的老剧 老天啊十五年……            
(5星)	 仿佛远古的记忆            
(3星)	 多情总比无情苦！            
(5星)	 唤醒了我童年的电视剧啊 ,那时候我特别爱看电视,一边写作业一边看            
(4星)	 YY过颜丙燕。尤其她被强奸那集，兜兜真可爱！            
(3星)	 纯怀念            
(3星)	 陪姥爷看的电视剧，三年级左右吧。他那时身体很好的。            
(3星)	 我姐姐和我姥姥爱看，她们还交换对情节人物的意见。。。汗。。。我现在就只记得“九妹，九妹，可爱的妹妹~~”            
(4星)	 记忆中第一部武侠片，永恒的经典            
(4星)	 如果来生还是今世的重复，你是否还是这样不在乎            
(3星)	 还记得是在刘老师家看的            
(5星)	 迷尹剑平迷得稀里哗啦的。超喜欢尉迟兰心。            
(4星)	 小学的时候和爸爸一起看的 记得看完大结局那天 跟发小窝在屋里演对角戏 在地上爬啊爬的             
(4星)	 现在不敢看了，当时迷得嘞            
(3星)	 因为这个剧喜欢颜丙燕哎            
(4星)	 小时候看的印象蛮深刻的            
(4星)	 ...我记不清了...            
(3星)	 主题曲不错啊            
(5星)	 启蒙啊。。。。            
(4星)	 最初对白马王子的印象~~里面甘十九妹旁有个姓阮滴，印象深刻第一次听到这个姓的说            
(5星)	 童年情节！            
(4星)	 尹建平！            
(3星)	 好像是什么酒厂赞助的。电视剧演完就播两主角合拍的广告。那时候觉得抚琴的女侠怎个帅字了得啊！            
(3星)	 这个电视名字印象极深刻，内容基本一丝都不记得了，年岁太久远了            
(2星)	 哎。。。不想承认看过这部            
(NA)	 尹剑平嗷嗷嗷嗷嗷嗷嗷嗷嗷嗷！原来我的type是从95年开始建立的！            
(NA)	 初一            
(4星)	 当时没怎么看明白。            
(5星)	 豆瓣太强大了。。            
(3星)	 某天收拾东西，又快进看了一遍，谁能知道这部片子，最后只混出了个颜丙燕呢            
(NA)	 orz！   我的天呐！  没想到豆瓣还有这个            
(4星)	 我是……呃……这个不算童年但是童年里有它。。。            
(4星)	 突然看见回顾里有小学时候看过的电视剧。这剧的结局印象很深刻就记住了。            
(NA)	 其实小说也是看了的，发现和马饮流花河是一个作者的说，当时看到那段激情描写好兴奋（当是还是很CJ的,如今回想那也只是不痛不痒的清水而已）但是至今难忘            
(3星)	 。。十多年了            
(4星)	 一些记忆            
(3星)	 ai ....            
(3星)	 算是可以的大陆改变武侠剧了            
(4星)	 很小很小很小看的，那时的娱乐啊……            
(NA)	 很小看的，记得里面二十九妹出场的片段            
(NA)	 重温估计会失望            
(4星)	 记得当时甘十九妹的那个手那叫一个糙            
(NA)	 不错的古装武侠片            
(4星)	 这个小子现在也挺帅            
(NA)	 早年的片子            
(4星)	 说个成人的童话美女爱英雄~            
(5星)	 当年多喜欢啊……            
(NA)	 水红苕……            
(4星)	 我又想大呼神仙了~            
(5星)	 儿时关于江湖的梦...            
(5星)	 初中时看的，一直很喜欢            
(NA)	 书上侠客万般神通，说个成人童话美女爱英雄。            
(4星)	 小学时看的了 只记得开头很搞笑 中间很感人 结局很悲惨            
(4星)	 小时候窝在外婆的被窝里看的片            
(3星)	 情节是一点也不记得了,只是记得看过的~            
(5星)	 小时候堪称甚为纠结的武打言情            
(3星)	 那个黄沙的背景场面，现在也还微有记忆~~            
(NA)	 甘十九妹在我心中永远都像天仙儿            
(5星)	 楊露不逢，撫凌雲而自惜。            
(NA)	 哇，这么老的片都翻出来了            
(NA)	 剧情忘没了 小时候的。。。            
(4星)	 小时候也花痴过。            
(4星)	 我小时候及其喜欢的一部武侠电视            
(4星)	 小时候看的...看了好多电视剧啊            
(5星)	 哦哦哦哦哦            
(4星)	 男主角印象深刻            
(3星)	 男主角的父亲是唱快板的，他是天津人在天津台也唱过快板！！！1楼 看他穿着大褂，说的是一个英雄打外国人的故事，英雄的胳膊还受伤了。因为他是天津人，所以印象深刻，但是没找到影像资料。我记得小时候，刚演完甘十九妹，天津台做过张子健的专访            
(4星)	 小时候好像印象蛮深的，蛮喜欢的。            
(5星)	 小时候的记忆啊，当时超喜欢看的            
(5星)	 我妈看这个剧    就给我编了满头的的辫子            
(4星)	 都不记得剧情了，就知道当时一直在纠结那个字是念 gan 还是 er…            
(NA)	 我小时候的最爱            
(5星)	 童年的記憶，在奶奶的懷抱里。雖然似乎當時什麽也沒看懂&gt;&lt;            
(5星)	 突然看到这个名字，一愣，十几年了，那时刚刚知事的我大概是刚会看了电视剧，只记得这是我人生中第一部电视剧！剧情早已忘记，但女主杨露的名字至今仍记得，虽早已模糊了她的容貌，但那时幼小的我心中是最美丽的女人！            
(3星)	 为毛那么多人觉得好？为毛我那个时候觉得这个剧好雷……我那时候还很小啊= =难道是受当时的报纸影响……            
(3星)	 太久远了，只记得好像感情戏挺虐的。            
(4星)	 那时的如痴如醉，那时的意乱情迷            
(5星)	 应该是大陆武侠电视剧史上的绝对精品，儿时绝对美好的回忆            
(4星)	 甘十九妹真的很美，尹剑平真的很丑！            
(5星)	 武功很厉害的以女的。小学三年级看的。            
(NA)	 80后的童年神作啊            
(NA)	 很多年前看的了。            
(5星)	 极富悲剧意识的电视剧 张子健年轻时真的是丰神俊朗，为尹剑平而生 儿时非常喜欢女主角，美丽            
(4星)	 记得大二的时候费劲地在六维求了好久找到这部剧看了，感触更深了，可以依然觉得男女主角很美。            
(4星)	 我的尹剑平啊……            
(4星)	 刚重温了这小时候的记忆，不错            
(4星)	 小时候最喜欢的武侠片之一，那时候迷得死去活来啊~~~我的童年            
(5星)	 我去！！！！！！！！！            
(3星)	 完全不记得剧情了。。。            
(3星)	 最后，大家都死了。            
(NA)	 不太记得了            
(4星)	 我小时候超爱……现在很多都不记得了            
(4星)	 现在看来很狗血，当年还是很爱看的            
(3星)	 太悲剧了，哎            
(5星)	 如何能够忘记呢            
(4星)	 “如果来生还是今世的重复，纵然多情要比无情苦”，歌词写得真好            
(5星)	 多少年前的剧了... 谢谢友邻cshblabla...(全名记不得了 囧) 给翻了粗来啊~~~            
(NA)	 今天友邻发布看过这个片，我才恍然！我的童年！可惜杨露后来三级了吧            
(4星)	 当初的尹剑平，如今的李元芳，张子健 帅！            
(4星)	 原来我小时候偷偷看过的电视剧还是很多的。。。。            
(4星)	 现在看不知道会不会觉得女主角丑            
(3星)	 小学时看，那个讨厌的女二号让我印象极其深刻。            
(5星)	 人生第一部武侠片，我想给十星啊亲。            
(5星)	 还想再看一遍            
(5星)	 小时候很喜欢的一部武侠剧。            
(4星)	 虽说现在看来，无论从场面还是音效都差强人意，但是是儿时的记忆！当时多少迷这部的。。。            
(3星)	 看过，然后忘了。            
(4星)	 只记得好像是个爱与被爱的悲剧            
(4星)	 其实挺雷。。。我不理解萧逸这个人            
(5星)	 我也看过啊。好几个台各个时段各种演。            
(4星)	 如果来生还是今世的重复            
(3星)	 很小的时候喜欢看的一部电视剧，长大后还因为怀念去搜着看过，可跟小时候的感觉完全不一样了。呵呵，有些美好只存在在记忆里吧~            
(3星)	 怎么只对颜丙燕的角色有印象 貌似被几个人强暴了吧～            
(4星)	 儿时回忆            
(3星)	 一直以为是甘十九妹            
(5星)	 印象最深的是电视剧最后十九妹和尹剑平决战，一个被对方戳了一剑，然后自己捅自己一剑，然后抱着死去。。            
(3星)	 就记得结尾，主角都死了。            
(4星)	 大结局时候哭了，前年知道里面有李云芳 打开看了一集不到就没法再看了。。。            
(4星)	 OP现在还会唱！            
(NA)	 当年可喜欢兰心这妹子罗            
(4星)	 伊剑平还是尹剑平            
(NA)	 王导是老爸的朋友……呵呵            
(4星)	 那時候就覺得張子健超帥的啊~！            
(4星)	 那时候觉得杨露真美啊！            
(3星)	 我还真看看过，剧情嘛，记不太清了...小时候就喜欢看打打杀杀的            
(5星)	 。。。            
(5星)	 张子健梦中情人啊，帅呆了。            
(1星)	 竟然是张子健            
(3星)	 尹建平=白马王子。。。洗脑了多少人啊。。。            
(4星)	 童年那些美好的小日子一去不复返了……            
(5星)	 不可替代，永远不可替代的记忆            
(NA)	 结局印象深刻            
(4星)	 爱情很美~            
(4星)	 只对几个主演有印象，记得当年评价极差，可是我全看完了，实在搞不懂两个人干嘛那么执着于给师傅报仇            
(2星)	 一部忘了情节的儿时电视剧            
(5星)	 经典啊，武侠启蒙啊！            
(NA)	 具体情节现在忘得干干净净了            
(NA)	 那时候很喜欢男1~~            
(5星)	 子健叔当年的潇洒英姿啊!            
(3星)	 很久之前看的，九妹九妹漂亮的妹妹            
(NA)	 这是 对我影响巨大的电视剧了吧。。~  看着神探狄仁杰 里面的 李元芳 。。真是感叹 时间易老。。~            
(5星)	 喜欢甘十九妹            
(3星)	 当时真觉得张子健帅SHI了            
(5星)	 曾经全心全意地追过。            
(5星)	 甘妹！            
(4星)	 忘记剧情了··除了名字···            
(5星)	 似乎有点忘记了  但是那种记忆感觉还在的  你们懂的            
(5星)	 一入江湖岁月催            
(4星)	 小时候好喜欢，不过已经记不得剧情了。            
(3星)	 那时候没有苦逼这个词语的概念. 换做现在 . 甘十九妹到底是有多么的苦逼啊. 尉迟兰心那么活泼一姑娘就给毁了.            
(4星)	 呦呦呦~其实我已经忘了演的啥了童年的回忆啊            
(4星)	 重温小时候的旧梦时，明明知道结局，最后还是被感动的稀里哗啦            
(5星)	 张子健的尹建平严丝合缝的重叠了彼时我对武侠男主角所有的臆想            
(5星)	 武侠剧黄金时期的经典代表，很有爱            
(3星)	 这片子久远的都不记得剧情了。但能记住片名！            
(NA)	 看过，但实在是什么都记不得            
(4星)	 如果来生还是今世的重复，是否有情要比无情苦            
(5星)	 不罗嗦，不做作！好片！！            
(4星)	 当时还不认识第一个字···            
(3星)	 这是我姥爷当时每天晚上都看得            
(NA)	 多年前，很爱很爱颜炳燕            
(3星)	 一直觉得张子健太瘦了。两女一男三个主角，明明都演技超好，为什么一个到老才红，两个销声匿迹？            
(3星)	 李元芳年轻的时候...            
(5星)	 虽然没有完整看过，唉~            
(NA)	 十年记忆。年少最初的武侠情结。            
(5星)	 尹建平，你当时为什么那么酷啊！            
(NA)	 哎，童年的回忆。当年还管那个字年“干”呢            
(5星)	 当时特别喜欢这种尹剑平这种长相的。。。            
(4星)	 童年的回忆            
(NA)	 古装武侠，小时候看过的，感觉还是大陆拍得难看。。。            
(3星)	 甘十九妹很美，剧情很傻            
(NA)	 哇塞！            
(4星)	 不能说多有高度，却依然内地武侠的楷模。            
(4星)	 那时很想要男主的那个解百毒的项链啊。            
(3星)	 绝对看过···但是剧情完全想不起来了···            
(NA)	 忘鸟            
(NA)	 没看过，听过片尾曲这个妖媚呀            
(5星)	 瘦削纠结男 哈哈            
(3星)	 记得最后牵着的手~~            
(4星)	 内容不记得了，但是当时应该是很喜欢看的，所以才会对男女猪脚印象难么深。            
(4星)	 现在看武打就像小孩子过家家，但是对白和剧情还是很不错的！            
(4星)	 记得主题曲不错，还用录音机录过。            
(5星)	 喜欢张子健就是从那时开始，可惜杨璐已经废了            
(5星)	 悲美            
(4星)	 尹剑平            
(5星)	 回憶。            
(4星)	 喜欢张子健！            
(3星)	 童年            
(5星)	 ~            
(4星)	 童年记忆            
(5星)	 小时候很喜欢看，前年还翻出来重新看了一遍            
(5星)	 童年记忆的美好。            
(4星)	 为毛我小时候爱看这类成熟的片片。。            
(4星)	 “不知道如何开始，难预料怎样结束”。。。            
(5星)	 尹剑平绝对是我这辈子最早迷恋的男人。多年以后，我之所以追那部《武朝迷案》，完全是为了那个叫李元芳的配角。            
(2星)	 小时候，应该是一集不落看下来的。这片子没人红？            
(3星)	 我印象最深的是结局。。。两人爬啊爬终于抱在一起死了。。。            
(5星)	 情节都忘了。如果有时间再回味一下吧。            
(5星)	 意义重大。。。            
(3星)	 http://movie.douban.com/pics/nst.gif            
(NA)	 唔，居然把你给忘了，绝对童年回忆。            
(3星)	 甘十九妹。            
(3星)	 小学时候看的 那个甘十九妹好可爱            
(5星)	 应该说，没有一部作品让我这么感动和欣赏，这么持久……我喜欢那些善良的年轻男女，我羡慕男女主角的智慧，我痛恨所有旁人给他们的误会和悲剧，我希望，十九妹和兰心幸福，希望尹建平忘掉仇恨，而范兄再聪明一点儿……            
(3星)	 看到白眉大侠的时候想到这部，对女一的双眼皮印象很深，好像是割的            
(5星)	 童年的记忆呀 很经典的            
(4星)	 童年的记忆，美好的武侠梦            
(4星)	 小时候的回忆，那时候多爱尹哥哥啊o(╯□╰)o            
(NA)	 明明记得电视剧里不是甘是甘少一横。。。。            
(NA)	 只是看过而已！            
(5星)	 好像是幼兒園時期，老房子，站在舊沙發上傻看            
(5星)	 感动于这段因恨而生因恨而亡的爱情！            
(4星)	 如果来生还是今世的重复，你是否还会这样不在乎？            
(3星)	 甘十九妹和尹建平在山洞里肌肤相亲，没想到师傅竟然说：我全都看到了。真是雷啊。            
(4星)	 哦！            
(3星)	 星星送给小时候的十九妹            
(4星)	 95年的片子高考前一个月看的至纯。像少时对某个回眸转身的记忆。            
