http://movie.douban.com/subject/4307476/	无法坦诚相对 素直になれなくて
(2星)	 赤裸裸的狗血剧，看得我愤怒！linda死得太不值价，haru和nakaji又到底在搞毛玩意！众多起先较为显眼的炮灰角色在不知不觉间就消失了，并且还带着他们的谜团。北川阿姨的这个剧本，说好听些“天马行空”，说难听点纯粹就是“瞎扯一器”！            
(4星)	 上野ちゃん            
(4星)	 这真的不是《last friends》版的草根演绎的《love shuffle》么！            
(2星)	 要the ting tings到何时阿            
(4星)	 啊，最后终于圆满了啊            
(3星)	 也只有在日本这样极度孤独的社会，才会频发一夜情、婚外情、师生恋等等吧....            
(3星)	 很遗憾，弃。            
(3星)	 LindaTAT            
(3星)	 无论结局多仓促，nakaji终于还是带着haru一起奔跑了起来: )            
(4星)	 瑛太            
(4星)	 从此以后你就是人夫和人父了，感慨。            
(3星)	 前两集我是在线看的，后来干脆全部下到电脑里慢慢看，昨天一天加今天一上午全部完成，然后我又开始对瑛太乱颤了啊啊啊啊啊！！            
(4星)	 雖然每星期等待更新劇集的過程太痛苦，還是滿心期待，大愛主題，至於情節一集比一集激烈和胡扯，重複傷心后被治愈，治愈后再傷心的過程。第一集桐子的纹身有穿帮，还有最后一集，非常雷，很遗憾。四星全部给瑛太君和树里小姐，還有玉山鐵二的顛覆演出，很棒。            
(3星)	 终于完了。。。            
(4星)	 愛要坦誠？要自私？要無私？要溫柔？要懂得？要遺憾？要......關於愛，關於你我的，對的或錯的。最美麗的還是遇見過你和妳。            
(4星)	 喜欢开头和结尾的最后一幕            
(NA)	 北川大妈你可以去跟浅野大妈搞个组合了            
(5星)	 我心情复杂 超复杂！！！！            
(3星)	 1.备胎终于转正的狗血剧。2.好久没看过这么烂尾的了树里瑛太都救不了啊…3. Linda这个基情隐藏得也太好了一点，除了第二季那个瞎眼的粉色亮光啊！！然后其实最后一集才幡然醒悟，网名叫Linda的男的必须是gay啊！！4.有没有发现他们爹娘约会的地方就是《我无法恋爱的理由》里的那个岸边啊！            
(3星)	 好狗血啊！啊！啊！            
(3星)	 看不下去了.            
(4星)	 很真实的阐述了圈子里的“排列组合” 还有我说 韩国人在自己家里能不能别说日语啊 很假有没有！            
(5星)	 Twitter确实改变了很多人的生活~ 坦诚相对~ 有时候很难~ 上野树里 和瑛太的组合 很清新~ OST很带劲儿~~ Ting Tings 乐队真不错！~~            
(4星)	 第二遍重看……觉得看出味道来了……这部戏没有那么差……            
(3星)	 北川大妈你赢了！能再乱点吗==             
(NA)	 瑛太的耳朵長得好大噢            
(4星)	 女人都不好看~玉山叔最帅！            
(3星)	 哦太傻了太傻 瑛太果然是和谁在一起都不像情侣不过还是为了你多一个星好了            
(5星)	 the ting tings的插曲好听！            
(4星)	 冲着主角去的。。。男女主角都是我喜欢的。很难得、早之前大眼儿就推荐了。不过因为种种原因没去看。。现在看来，还不错的样子。。。我喜欢女主角。。也喜欢男主角。            
(3星)	 继小田切让&amp;麻生久美子之后，瑛太&amp;上野树里成为第二对完美日剧情侣档。            
(4星)	 比起帅气的小T 还是别扭小姑娘状的juri更惹人爱呢 嘿嘿            
(3星)	 成人版愛情白皮書？            
(3星)	 前段5星，中段4星，尾段3星。。。综合3.5。            
(NA)	 艰难的给了个结尾TAT            
(4星)	 每个人都有无法坦诚相对的秘密，每个人都有无法言明的孤独。幸好，有大把大把的希望在前方，就像春天一定会和中D在一块一样。            
(4星)	 跟sq一块看            
(4星)	 虐死我了..            
(NA)	 成长            
(3星)	 狗血剧情，山寨配置。要是没有树里和瑛太，我都不知怎么坚持的            
(NA)	 学Gossip Girl学的也太明显了吧.            
(3星)	 再次虎头蛇尾。。            
(NA)	 9集弃 实在看PC那张小白脸看的有点腻了 让人蛋疼的linda死了 结局神马的根本就不想晓得了 阿姨们你们能少折腾点 写点正常人会被感动到的故事么            
(4星)	 起初还以为是Twitter的宣传片，哈哈~~~虽然结局他们MS“坦诚”了些，但是未来必将还是无法坦城……            
(5星)	 首先，是喜欢的人给考的（我也坦诚了一次），他看过了，所以我很认真的看。看到很多镜头都有同感，心里觉得麻酥酥的。可惜的是，我看那些失落的镜头都很有同感，所有人都说很狗血，我真不这么觉得。最后，我其实还有好多话，抱歉我把广播又关了，还是害怕会被发现的情节。            
(3星)	 好开头 烂结尾的一B            
(NA)	 建议此剧改名叫“人人都爱nakaji”            
(3星)	 雷得我风中凌乱……            
(2星)	 就看瑛太了……感情线铺得太奇怪了吧，Everybody loves Nakaji！囧             
(NA)	 我什么时候看的            
(3星)	 剧情发展到后面真的有点太拥挤也太俗套了...            
(1星)	 北川悦吏子的牌子是砸了            
(3星)	 开始还行……越来越差……            
(4星)	 功能型日剧，由其引发的种种乐趣超越了剧作本身。            
(4星)	 我喜歡這個中文名和英文名.以及猪猪字幕组那句&#34;向所有忍受到最后一集的观众致敬!&#34;            
(3星)	 瑛太树里.要对你们有多大的执念..才支撑着我看完此剧.....            
(3星)	 白纠结一把，玉山铁二白白的炮灰了            
(3星)	 开头铺垫了那么多，在linda死的时候悬念们也都去了。。。。。。            
(3星)	 真是情何以堪，这头重脚轻虎头蛇尾的结尾。。。最后的交代实在是太匆忙鸟。。。北川大妈堪比日本琼瑶。。。            
(3星)	 瑛太就是个太阳所有人都爱他就差在中了。在中居然是个富二代，妈的！玉山铁二颠覆了他在我心中的形象……桃子是个打酱油的，恩。树里的角色不好说。总之最后这个结果完全太仓促！大讨厌虎头蛇尾！            
(4星)	 CP啊。虽然狗血。            
(4星)	 2010春木22CX  WEAVER - Hard to say I love you~言い出せなくて~            
(2星)	 一群苦逼            
(2星)	 实在没兴趣看最终了 要不是瑛太我早就(*&amp;(&amp;$#^%            
(5星)	 【晓】            
(NA)	 树里......我想也许再也没有一个形象能超越琉可了 瑛太大爱！            
(4星)	 被3女1男同时所爱的幸福            
(3星)	 Linda 叔，太虐了....            
(5星)	 少しでも素直になれる 勇気をもてたらいい            
(3星)	 看了结尾我就瞬间来该分了……结局太……内啥了……你懂得。            
(5星)	 自己喜欢的人自己守护   OK？            
(5星)	 虐也是五星！            
(4星)	 比orange days 差太多了。。。北川大妈刚把嘚            
(2星)	 爛+狗血。            
(3星)	 剧本烂            
(5星)	 素弯になれなくて。            
(4星)	 可能看的日剧少吧 没抱什么期望 超出预期了            
(3星)	 仲治你不能这么贱吧            
(3星)	 木曜日            
(5星)	 真好看            
(2星)	 大妈出招，真招架不住            
(2星)	 顶锅盖...            
(NA)	 虽然超级不待见P7 长相还酷似我老姨 但是女主haru也没法阻拦 仨男人俩取向正常的你都占着 别的女生也有和这俩男士的恋爱自由 打比方比较容易澄清事实——饱食者啃着鸡腿满脸冒油的满意吃着 饿死鬼想拿另一个鸡腿 此时 饱食者没打对方手 而只是淡淡的说 没事 那个不急着吃 我有冰箱…            
(4星)	 素直になれ            
(3星)	 ending的牵手好激动            
(4星)	 从东爱到素直，编剧越来越贴近现实。            
(5星)	 看的第一部日剧就是五星。一直在寻找自己，和自己坦诚相对            
(4星)	 全剧终，向所有忍受到最后一集的观众致敬！北川悦吏子，虐！            
(5星)	 虽然结局居然只以牵手结束...我想看他们拥吻啊啊啊啊啊=.=...............            
(3星)	 就不能多几部我有办法看完的电影么- -            
(3星)	 ……没看完，实在不知道这剧想表达什么            
(4星)	 挺好的！在在太好了！            
(5星)	 期待一个不狗血的结局....╮(╯▽╰)╭            
(4星)	 毕业之前一直在追            
(3星)	 三个礼拜不看，热情指数向快进靠拢。。            
(4星)	 痒痒：莱卡是王道            
(3星)	 我们都是这样的人，有着孤独的灵魂与看起来顽强热闹的表象，怕伤害与被伤害，然而，即便烦恼层叠不休，暧昧闪烁不明，不是无法对他人坦白，便是无法正视自己的内心，但仍旧努力探寻生存的勇气，实践生活的意义。            
(NA)	 我从来没这么追过日剧~            
(2星)	 年度狗血！！            
(1星)	 因为上野树里和瑛太而看的剧，后来本着看片有始有终的变态原则断断续续勉强地把这剧从去年看到今年。此片大闷，灰常闷，无敌闷。不过瑛太的表演还是好的，但是这样的剧真的是浪费了他的演技。            
(5星)	 总之这部剧最近治愈了我。OST太棒了！！！！！！！！！！            
(3星)	 不管是连着看还是跳着看很多线就这么消失了，居然是happy ending，大家都坦诚相对了。那句，linda一直都没有离开我们，蛮感动的。ost不错，歌好听。但是和lf相比，只能给三星了。            
(NA)	 E和JURI快点在　一起~~~~            
(4星)	 上野树里的一定坚持要看啊，peach的五官真是有够大，还有在中这个帅哥。            
(4星)	 一开头就勾引观众买M7啊，半集的背景乐都是the ting tings的。。。。。是不是懒了点啊配乐的            
(2星)	 在我们都说水黾剧情狗血的时候，此剧就像一场平局，除了Linda外就没！有！剧！情！如今linda就为了让“那时候我们还什么都不知道君”从棒子手中抢走haru，壮烈的生而复死了！那看到第十话也就能完结了！！！            
(2星)	 剧情走last friends的道，虐加狗血，非我所好，cast里只对瑛太有爱，2集后弃了。            
(4星)	 最后一集感动死了            
(4星)	 结尾不错，晚节算是保住了            
(3星)	 天哪，我终于把这部雷剧给看完了，容易嘛我            
(NA)	 第一集里the ting tings 的专辑播放            
(3星)	 木有用过twitter的人路过……狗血            
(4星)	 别人的狗血剧情 我们的生活碎片            
(3星)	 拖沓            
(3星)	 瑛太很帅 树里很美            
(4星)	 前三集很好，后面开始命中注定般得狗血了。4个人，1个是情敌，剩下三个都喜欢那卡机。。这可需要多大的概率啊。。囧            
(3星)	 来了 重燃爱火            
(3星)	 只是外表時髦的片  瑛太是帥死了  可是整個片基本沒有推動啊……上野樹裏一直是這樣癡呆麼？            
(5星)	 看到第9集了。越来越复杂了            
(5星)	 大爱啊。哈哈。            
(4星)	 从几集就歪了……可惜了这么棒的阵容(´;ω;｀)            
(3星)	 金风玉露一相逢，便胜却人间无数。             
(5星)	 瑛太和树里绝配啊！            
(2星)	 除了瑛太 真的好讨厌啊~两次机场追人 烂透了            
(5星)	 瑛太 树里 在中三角恋必看！            
(5星)	 这狗血剧竟然看得我泪流满面!            
(5星)	 个人觉得比last friends好，不管从画面，剪辑，还是节奏，音乐上来说，都是有过之而无不及的。当然，缺点就是为啥叫一个韩国人参一脚呢，越看越恶，瞬间让我难以切换韩剧和日剧。当然，结局也比较令人失望，如此的大团圆，似乎有点莫名。            
(NA)	 终于等来了个喜剧。。。            
(3星)	 这片子的直接结果就是激发了我写新浪微博的热情。本来我一直在TWI上有一搭没一搭的混着。看完后觉得，还是从了新浪吧。。。囧～            
(3星)	 哎 好快餐            
(3星)	 太苦了，没看完= =            
(4星)	 弃之。            
(1星)	 太狗血！！！结局我惊了！！！            
(3星)	 光看瑛太就够了            
(3星)	 就像我不明白last friends为什么那么红一样。。            
(3星)	 哎，对剧情有些失望，虽然是瑛太+树里吗。。。两颗星给他俩，另外一颗星给OST，OST都比剧情精彩。。。瑛太和树里就像番茄和鸡蛋一样，绝配~~~            
(3星)	 目前为止，第一集最好看= =，不知道追不追得下去。(弃)            
(4星)	 观望 JURI的演技似曾相识 EITA感觉演技进步了不少 玉山这回又酱油了 唉！北川酵母 乃这回让我小失望~            
(4星)	 哎喲，我是為了twitter，瑛太和上野樹理打的四星            
(2星)	 有点共鸣。曾经也有过交网友的时代。            
(3星)	 诶哆。。这种剧果然还是要靠本命才能撑到最后啊！收尾还算交代清楚了一些剧情中的死梗，三星勉勉强强吧。。            
(NA)	 北川大妈，你除了让这些人不停地开会开会聊天聊天你就不能让他们干点别的什么嘛！？要行动推动剧情而不是聊天！！！！！怒！！            
(4星)	 居然用Great DJ当片头曲。。。。。。太诧异了            
(3星)	 总的来说就是失望            
(3星)	 为毛摄影师就一定得战地一下，北川大妈你狗血到底了。。不过还算是happy ending 至少我追完了 并且 great  DJ太好听鸟~            
(NA)	 就爱瑛太拿相机            
(3星)	 twitter主题日剧            
(5星)	 非常非常喜欢小哥哥。            
(NA)	 拖拖拉拉这么久终于看完了...永山家的大少爷真是人见人爱男女通吃...野田妹实在太天然了偶几乎看不下去...ヾ(￣ー￣ゞ)))            
(3星)	 不咸不淡，不是北川的水平，白瞎了阵容。还有上野树里的造型师是不是跟她有仇？应该学瑛太自备造型的。            
(NA)	 无法狗血相对。终于拖完了，最后还拉手夕阳奔跑啥的，我擦啊就！            
(4星)	 你個爛尾劇。。。。。。。。。            
(4星)	 除了那韩国人,以及中间有非常长的一段不坦诚,别的都不错            
(3星)	 王阿姨是個BLX的真愛妹；doctor是去日本體驗生活的富二代；幸好nakaji和haru不是親兄妹，最後也算是在一塊兒了~            
(3星)	 瑛太和树里太配了5555瑛太你干嘛娶木村！！555            
(2星)	 看了一集。            
(2星)	 EP1是推特的软体广告？13:07拍了吧，泡菜！ 哈哈哈// 下了第二集 没几分钟就看不下去了。|| 看不下去了，放弃！！！            
(4星)	 于是大家都奔向美好的明天了            
(4星)	 越来越喜欢上野树里了~~            
(3星)	 這種題材的我很無力            
(1星)	   卖 腐 卖 虐   弃            
(NA)	 狗血剧！！！            
(4星)	 结局也太仓促了吧...瑛太最后那个造型简直让我震惊了...            
(3星)	 每个人都有难言之隐，都要先对自己坦诚，问题都必须直视的，有人解开丝带忘记过去，有人敌不过现实；棒子男让爱那段以及后面几集都好狗血！            
(5星)	 Linda怎么死了。。。。。。。            
(4星)	 生活中的残酷总渴望网络中的温暖补偿。北川+树里+瑛太=梦幻            
(5星)	 忘记记录了。。。每周都追的            
(NA)	 猪猪最后的字幕说，向所有忍受到最后一集的观众致敬……            
(3星)	 …………真无语            
(3星)	 我一集多就弃了，，瑛太+上野mm都没能坚持下去，剧情不狗血会死啊！            
(4星)	 至少结尾的含蓄让自己满意。剧情发展过程确实够有想象力。            
(3星)	 确实是hard to say i love u啊！！！太狗血了啊！！那么好的卡司，和配乐全浪费了。北川大神，您大概也老了。三星勉强给瑛太，和音乐。            
(3星)	 我居然追完了。。。都忘了从哪集开始一直用快进看！            
(4星)	 人人都爱nakaji...linda真是太憋屈了。。。            
(3星)	 看在瑛太实在有点载的份上 算了 三星把            
(4星)	 最后一集NAKAJI出现在对街的那一刻，真是帅啊。            
(4星)	 まあまあ~很多人说剧情狗血，我觉得还行吧，就是上野树里比较没突破            
(3星)	 你们在一起算了 我都喜欢！................烂尾楼！！！！！！！！！            
(3星)	 冲这些个人儿！我要看！！！！            
(4星)	 三星半。剧情结局都很没意思，看哈瑛太和上野树里而已，还有玉山铁二。话说Linda（不剧透）确实...太不值得太没必要太软弱了。那个棒子，真的胀眼睛透了，看起心烦。棒子的妹妹，&lt;守财奴&gt;里面的妹妹，我觉得你还是适合那种阴暗自卑的角色好点。peach，算了，太丑了。            
(3星)	 为什么评分这么高。。不解。。。小野和瑛太。。太失望了，还有个韩国面瘫人在里面            
(3星)	 开场和结局都不错，就是过程太纠结            
(3星)	 弃了。 抛开那些喜欢的明星 真正的五星还剩多少？            
(2星)	 插入曲莫非是唱fruit machine的那个the ting tings...囧|一路快进，点在哪里？            
(5星)	 大结局好窝心 好河蟹            
(2星)	 狗血剧情真是瞎了我的眼，那些给五星的是他们瞎了眼。北川大妈的辉煌时代一去不复返。            
(2星)	 最后一集难看至死！看了我3个小时啊！            
(3星)	 = =我能坚持看完真不容易            
(4星)	 我们家的瑛太大爷和树里酱在第一集就KISS了！！！我死也无憾了！！！！！只不过JURI的发型真的好囧啊！！！！！            
(3星)	 最后神马结尾- -……            
(3星)	 EITA和JURI的发型要表那么一致            
(5星)	 过了一个暑假啊··我是怎么拾起了！！            
(3星)	 这是什么鬼编剧啊混蛋。。。向所有忍受到最后一集的观众致敬！            
(5星)	 乱搞男女关系异性同性狗血什么的最喜欢了！！ 玉山鉄二 ~~~~            
(3星)	 剧情真的一般啊。            
(NA)	 很沉            
(2星)	 越来越烂，呕，eita最后的烂民扮相，杯具            
(5星)	 被日剧纠结的剧情折磨，还好又瑛太和树里作陪，整体还好，结局嘛，请问瑛太的酷老爸怎么样了啊。            
(5星)	 挺虐的 不真实            
(3星)	 又是五人组诶            
(NA)	 结尾有点仓促            
(4星)	 看在瑛太和野田妹的份上，勉强给四星。            
(3星)	 拖了快半年终于看完了...妈的我真不想看这种日剧了            
(3星)	 铁二君估计又落选主役了。= =            
(4星)	 你个狗血剧!!!!!!!!!            
(NA)	 我爱NAKAJI和他拍的片儿~            
(4星)	 结局还是可以的！            
(5星)	 好吧，各有说法。。从剧中能找到些自己的小情节，还是给了个满分            
(2星)	 剧情真狗血= =            
(3星)	 &lt;11 完结&gt;终于纠结着追完了= =烂剧情瞎了好卡司！！！            
(3星)	 = =            
(3星)	 ...            
(4星)	 那唯一的棒子我最討厭了扣顆星星！            
(4星)	 太虐了 主题曲也不搭 竟然还有棒子             
(NA)	 猪猪太逗了在最后写向所有忍受到最终回的观众致敬我会心的笑了。。。            
(3星)	 诶哟我滴娘 终于完了            
(3星)	 向忍受到最后一集的我自己 致敬!            
(5星)	 如此不清不楚暧昧模糊的结局根本不能满足我！！多亲一次会怎么样啊？我们就想看瑛太和树里KISS！！！气死我了！只是牵个手就想打发我？最好认真给我出SP。别又来LF那种剪贴型 &gt;.&lt;            
(NA)	 04弃 没有想看的欲望。。。            
(2星)	 应该改名叫人人都爱nakaji~            
(2星)	 ep1 弃。。。            
(5星)	 《关于莉莉周的一切》里的男孩女孩们初涉职场。可以说是莉莉周续篇吗？            
(3星)	 110902 剧情重复，收尾仓促。juri明显胖了，不过那句那可不行还是挺可爱的            
