http://movie.douban.com/subject/2282477/	武林外史
(4星)	 十年前看只是单纯的心疼 现在......沈浪和白飞飞都不能在一起 我再也不相信爱情了TOT            
(3星)	 朱七七真丑            
(4星)	 没有人喜欢朱七七            
(4星)	 这部电视剧当年我也可喜欢看了，当时觉得王艳JJ贼噶漂亮= =            
(NA)	 黄海冰好看的 傻毙造型师给这摸瞎一造型 真讨厌 朱七七内演员选得 哎呀 古龙看见要哭粗来了            
(4星)	 白飞飞真是可惜了……那个朱七七有什么好的 =.= 沈浪你个大傻蛋            
(4星)	 朱七七神马的真讨厌            
(3星)	 当时看的好替白飞飞心痛 不愿意再看第二遍 免得又看到沈浪离弃白飞飞            
(3星)	 原来，朱七七和滚小姐是一个类型的女主= =            
(3星)	 我擦，这个我看过...还很喜欢.....            
(2星)	 有够2的            
(3星)	 过。            
(1星)	 事实再次证明古龙的片子就是没有力度弄成电视剧~            
(4星)	 哇哈哈哈我喜欢            
(NA)	 囫囵吞枣            
(NA)	 朱七七~            
(NA)	 想当年沈浪伸着懒腰从轿子里出来对谁说了一句，你搅了我的春梦。然后我和小宁就疯了。。。。            
(5星)	 诶呀呀呀沈浪可是少女时代的梦啊            
(4星)	 依然记得朱七七            
(4星)	 笑死人不償命！            
(2星)	 不过黄海冰确实合适            
(NA)	 没办法...真看过..T T             
(4星)	 我还记得我当年有多喜欢沈浪，有多希望他的白飞飞在一起，有多讨厌朱七七。我相信有很多人跟我一样，因为曾经在天涯看到一个很火的帖子就是贴白飞飞的照片跟朱七七比较的。大家都好讨厌朱七七。所以说做天真的女主角也是得有一点身体本钱的。            
(4星)	 我居然喜欢七七  很喜欢那种            
(3星)	 一般            
(3星)	 。。            
(4星)	 以前对王艳都没什么印象，看完这片惊艳啊，才知道穷阿姨真真糟践人。可惜女主角朱七七够丑，不知道是哪位导演的亲戚还是潜规则作祟，同情黄海冰ing            
(NA)	 看了评论我就囧了……记得当年我可喜欢朱七七了可讨厌白飞飞了！！！评价都说七七不够漂亮，飞飞不够狠！但是白飞飞配上那片头饰绿叶，就是很伪善的感觉嘛            
(4星)	 小时候的回忆之一啊啊啊 沈浪好帅            
(5星)	 小学时候后看过的很喜欢的一部电视剧，个人很喜欢朱七七，不知道为什么这么多人不喜欢她。她长得丑？不认为，反倒觉得她挺耐看，毕竟，没有任何一个人任何时候都是完美无瑕的，都会有让别人看不惯的一面。白飞飞是很美，但是再美的外表也不能平衡她那颗恶毒的心，身世不好，不是她可以伤害别人的理由！            
(5星)	 我最喜欢的武侠剧之一……喜欢王燕是从这部剧开始的，萧十一郎、朱七七、、            
(3星)	 一个暧昧不清的男人怎样让两个美女争风吃醋，一死一伤…… 相比之下，王怜花专情多了。            
(3星)	 哈哈哈！！！！！！！！！！！！！！！！！！！！！！！！            
(NA)	 好早的片子啊            
(3星)	 里面的人一个也不喜欢            
(3星)	 黄海冰+王艳的搭档很养眼.            
(NA)	 我记得你们啊！，沈浪白飞飞朱七七            
(NA)	 只记得一首凄婉&lt;白月光&gt;，来自张信哲//////眉心一点朱砂痣，心头一缕白月光            
(4星)	 豆瓣终于有呢部啦，果阵我好中意噶~            
(4星)	 我小时候的挚爱啊！！！！            
(3星)	 快活城真和谐……七七太欠扁 == 飞飞挺可怜的 &gt;&#34;&lt; 熊猫儿很有爱！            
(3星)	 我萌快活王和李媚娘这一对呀~~还有色使阿音            
(5星)	 觉得白飞飞 还真悲催 不喜欢朱七七            
(4星)	 当时我很喜欢黄海冰            
(4星)	 当年喜欢            
(NA)	 那时候我还蛮爱这部电视。。王艳演坏女人也让人恨不起来。            
(3星)	 好久之前看过的，剧情脉络很清楚，不会让人感觉混乱。在当年的创作水平来说，算是比较不错的咯。            
(3星)	 那个色使 好人妖 我老感觉他是个坏人。。            
(3星)	 坚定白飞飞派；我最讨厌那种善良又可爱最后又总能得到男主真爱的女1号            
(4星)	 小学最爱啊。。。看了不晓得几遍了囧 白飞飞...            
(3星)	 稍微重温了几眼发现今天来看也可以三星半。黄海冰后来演什么都不讨喜，而王艳也是此刻最美，朱七七还不如扮媚娘时漂亮。王怜花怎么能搓成这样。            
(NA)	 当年看觉得里面有一个人好像熊猫            
(3星)	 为什么沈浪要喜欢那个要风得风要雨得雨的朱七七呢 败笔            
(3星)	 大饼脸男猪和后妈的白飞飞。。。            
(3星)	 很烦里面的朱七七=。=            
(5星)	 印象里我在小时候很爱看这个片子，现在却怎么都想不起来它讲什么了。            
(1星)	 宇宙无敌大烂片！！            
(4星)	 白飞飞 诶            
(NA)	 妈的这片都让我想起来了            
(4星)	 沈浪啊沈浪            
(2星)	 高中看的，两个女主我都不喜欢，当年最喜欢的黄海冰顶着一个拖把头回眸一笑，把我内伤了。            
(3星)	 小学的时候可爱看了            
(NA)	 电视很早就看过了，前段时间看了原著。发现改了不少，一直很喜欢白飞飞，但是原著的白飞飞更有魅力！还有，还是巨讨厌沈浪和朱七七。            
(4星)	 七七和原著里的差太远，太刁蛮任性。沈浪啊沈浪，听这名都要神魂颠倒了，他和白飞飞才是一对嘛，王艳最出彩的角色就是飞飞了，以及那套绿叶衫。            
(3星)	 暑假回忆            
(4星)	 当年我那样迷恋白飞飞            
(4星)	 讨厌朱七七！！            
(4星)	 很美的主题曲，很美的王艳~            
(3星)	 和婧边打着电话边看完。            
(3星)	 那朱七七很不好看            
(4星)	 黄海冰演的沈浪还是8错滴……            
(NA)	 这个时候的黄海冰还没残= =            
(5星)	 那年我看到沈浪最后娶了朱七七，忍不住的伤心难过。            
(4星)	 =。=搞什么怎么沈浪这么弱。。。王怜花怎么死了。。。            
(3星)	 其实算不错了，本来武林外史就不是很好的小说，就是朱七七太丑了            
(NA)	 一个叫沈浪的贱男人和一个叫朱七七的贱女人，真是绝配！！！            
(3星)	 突然发现这部片子在我们寝室很有人气。。。=_______=            
(NA)	 　　两个江湖上财势倾天的宿敌！　　一世情仇！　　纠缠两代恩怨！　　一场大盗与淑女不伦之恋！            
(4星)	 小时候全家一起看的哦~神经大条的女主角~嘿            
(5星)	 我很爱白飞飞            
(5星)	 要知道，我看的时候应该是个初二的年龄。完全被迷住。            
(5星)	 沈浪和白飞飞是最相配的！他爱在心里的女子只有白飞飞！            
(3星)	 小时候多爱看啊 当初很喜欢白飞飞：）            
(3星)	 朱七七囧            
(NA)	 我爱白飞飞，却愿做朱七七            
(4星)	 黄海冰就红了那么一次~~谁叫他拒绝还珠...便宜了周杰...另,不是王艳太漂亮..而是朱七七实在太丑...没看过那么丑的...再,没看过这么像豪猪的熊猫...算了..再说下去要差评了            
(NA)	 太外了，应该往里点            
(4星)	 我小时候MS还挺喜欢看的            
(4星)	 绝版的白飞飞  但与古龙无关            
(NA)	 我的剪报            
(3星)	 朱七七白冰冰女子皆有爱            
(5星)	 令我爱上武侠的启蒙            
(4星)	 想起來了 熊貓兒～            
(3星)	 王艳的扮相很pp~            
(4星)	 电视剧本身许是一般，但我怀念那一年夏天十几个人挤一屋子看这个电视剧的情形。            
(3星)	 原著精彩。七七耐看，晴格格真的不行了。            
(3星)	 销魂的王怜花，软但是漂亮的沈浪，美丽的白飞飞，和很像我死党的可爱扫把星朱七七。            
(4星)	 这故事，与我而言，有太多不能说。            
(3星)	 我竟然也看过。。。            
(3星)	 没有忠实原著. 里边的朱七七很倒人胃口.             
(3星)	 当年和俺娘一起hc            
(3星)	 朱七七,沈浪，白飞飞...人名至今还记得...            
(3星)	 小学看得好象是。边喝咖啡边看。。。            
(3星)	 还可以            
(NA)	 不喜欢朱七七不喜欢朱七七。沈浪是个白痴。白飞飞好可怜。            
(3星)	 我喜欢白飞飞啊~~~~            
(NA)	 小时候看的时候一直一直喜欢王艳的白冰冰从头喜欢到尾。            
(4星)	 个人还是比较喜欢黄海冰的沈浪的……            
(4星)	 喜欢白飞飞,特别的喜欢            
(2星)	 女猪脚都太丑了            
(NA)	 这部戏把武林外史给毁了。。。            
(3星)	 电视剧             
(2星)	 呕..            
(4星)	 真是儿时的经典回忆！小学里还玩角色扮演咧~真是无比怀念            
(4星)	 曾经的感动 看哭了             
(2星)	 讨厌那个朱77            
(3星)	 想想咱高中生活还真够无聊的，两帮子女人为了争论朱七七和白飞飞谁比较漂亮天天写信交流心得感想。            
(3星)	 呃。。。白飞飞。。。朱七七。。。            
(2星)	 最爱这个时候的王艳。美女。            
(5星)	 白飞飞            
(NA)	 哇那时候觉得黄海冰好帅呢。。。            
(2星)	 瞎拍什么呢，都没按原著拍            
(NA)	 我当年居然喜欢朱七七。。。            
(3星)	 猫儿我喜欢，其他还是退散吧...o( ﾟoﾟ)==○            
(NA)	 王艳的白飞飞太美了，相比较之下朱七七丑到爆            
(4星)	 朱七七真是吵得一比……            
(3星)	 小时候看的时候，觉得当年的白飞飞真好看啊。可是我当时一定是残了才觉得男一跟女一在一起很正常。            
(4星)	 初中的电视剧了吧。王艳很漂亮。            
(4星)	 喜欢七七，当初觉得沈浪帅死了            
(3星)	 就不喜欢古龙，若不是为了苦情的飞飞……            
(NA)	 OP不错听，另外此片成功促成了一大票人转投白飞飞，为着这样一个义举我决定不黑它了……这只是一个平行时空的故事罢了，这么一想就不觉得亵渎老古了。            
(4星)	 那时觉得王艳真美            
(4星)	 以前很喜欢的，虽然和原著出入太大。王艳真是古装美人一枚。            
(2星)	 果断二星！！那什么朱七七太特马烦了！！！！！！！黄海冰和王艳才是一对cp好吗！！            
(2星)	 内地改编古龙小说的电视剧就是一桩悲剧。            
(NA)	 当年好喜欢哇            
(3星)	 又重温了一遍~痴迷的第一个武侠人物就是沈浪啊！！！            
(1星)	 王艳演的白飞飞是我心目中最美的古装美女，没有之一。其实就这个剧本身可以打到3到4星，但我冲结局来的，所以只给1星。这结局也太尼玛混蛋了！！！！            
(3星)	 白飞飞好美有没有！            
(5星)	 小时候必追的电视剧 没有之一            
(NA)	 就素喜欢朱七七，我是坚定的七七粉~~~            
(4星)	 喜欢白飞飞 讨厌朱七七 沈浪去死            
(3星)	 我还是喜欢白飞飞的            
(2星)	 这SB剧，黄海冰丑死了好吗！            
(3星)	 谁叫它把白飞飞写那么好！            
(4星)	 小时候看得挺带劲            
(3星)	 恩，还是那句，当年被迷得不行            
(5星)	 还小的时候，是不会明白沈浪是个巨萌的表情控            
(NA)	 小时候看的当时特别喜欢白飞飞啊！             
(NA)	 经典啊。。。            
(4星)	 曾经超爱的电视剧            
(4星)	 白飞恋啊，那时候看得我心都碎了。。。。            
(3星)	 黄海冰在这里真的是太帅了            
(3星)	 最讨厌朱七七。            
(3星)	 真心喜欢电视剧里的白飞飞&gt;v&lt;             
(4星)	 白飞飞真美（¯﹃¯）            
(NA)	 白飞飞            
(3星)	 朱七七，太难看了……            
(3星)	 朱七七就是我的理想型！            
(3星)	 为什么分数还是那么低``现在在天涯上提一句朱七七还是白飞飞都要引来热议的```            
(NA)	 朱七七~就记得这个名了~            
(5星)	 小时候难得追过的片片头曲很有感觉            
(3星)	 当年觉得沈浪好帅啊啊啊啊！！            
(3星)	 王艳各种美            
(5星)	 转眼十年啊...少年时的记忆啊...沈浪好帅，好喜欢七七~有情人终成眷属            
(5星)	 不喜欢朱七七，喜欢白飞飞             
(5星)	 真怀念啊，喜欢王艳演的白飞飞。可惜和沈浪悲剧了。            
(4星)	 小时候觉得沈浪好帅好帅啊            
(4星)	 重播一定必看剧目            
(4星)	 小学时看的，那时觉得白飞飞那叫一个美，沈浪那叫一个帅啊。因为这部剧在小学时很喜欢黄海冰，还为此去看了隋唐英雄传。            
(4星)	 哈哈  都是回忆啊 话说不喜欢朱七七！！！            
(NA)	 朱七七白飞飞= =            
(3星)	 喜欢白灰灰 讨厌朱七七            
(3星)	 朱七七有点儿2然后就记得里面的主角们都是谁谁谁（大魔头）的孩子，不断的乱伦...            
(NA)	 讨厌朱七七            
(NA)	 黃海冰多帥啊，插在了朱七七這堆牛糞上            
(NA)	 我当年就是闹不清为什么会有人叫熊猫er            
(2星)	 以前，现在，以后都不喜欢朱七七            
(5星)	 为神马分这么低！！就因为七七太恶心了么！！！当年多喜欢这部剧啊~~            
(4星)	 喜欢白飞飞，这朱七七太招人烦了            
(5星)	 没的说最喜欢沈浪跟白飞飞这对了！！！朱七七吵死人了！！！很好看很好看呀～            
(4星)	 那会儿还真迷过，不自觉记住了很多白飞飞的台词。            
(4星)	 好喜欢那时候的黄海冰啊，但是现在的我不知道我喜欢的是黄海冰，还是那个沈浪。四星，有半颗星是送给他的，还有半颗给王艳。            
(4星)	 好多年前看过的电视剧，当时很喜欢王艳的白飞飞，造型很漂亮，讨厌朱七七。            
(3星)	 白飞飞在这里面真好看啊。            
(4星)	 7/10            
(4星)	 黄海冰在这部片里面太帅啦！朱七七去屎吧！小时候某个暑假的下午看到白飞飞死的时候哭得天昏地暗啊...            
(NA)	 为什么沈浪没有跟白飞飞在一起            
(3星)	 三星都是给白飞飞的~            
(4星)	 77在這裡也太二了⋯⋯ 義無返顧支持飛⋯⋯             
(5星)	 人家喜欢白飞飞~            
(3星)	 儿时多么喜欢他们            
(3星)	 想當年我多么喜歡朱七七...            
(3星)	 我就是喜欢白飞飞。朱七七什么的。讨厌死了。            
(5星)	 最喜欢的竟然是熊猫！            
(NA)	 黄海冰的发型刚好挡住了他的招风耳。            
(3星)	 现在看来，都只记得一个白飞飞，朱七七是谁都模糊了。            
(NA)	 现在回头看这个片子只想打死自己。黄海冰演的很好，只是那不是沈浪。而且我发现这片子的一大亮点，就是朱七七两个爹的JQ。。。            
(4星)	 那么多年还是喜欢白飞飞            
(3星)	 不喜欢黄海冰，导致对沈浪无爱            
(4星)	 小时候的回忆……现在有点怀念……            
(4星)	 初中时候特别迷的一部武侠剧，呵呵。            
(4星)	 喜欢白七七            
(4星)	 黄海冰那低头一笑和王艳决绝的一滴泪            
(4星)	 不喜欢朱七七            
(3星)	 一点都不喜欢朱七七!            
(1星)	 我呸呸呸！            
(4星)	 佳人难成。            
(5星)	 结局真是怨念啊~~~            
(4星)	 很早很早很早的记忆            
(4星)	 想把朱七七弄残废再毁容再众叛亲离，看看还能这么无辜这么白痴吗？运气好不是你的错，出来招摇就是你不对了。            
(3星)	 想再看一遍！！            
(4星)	 曾经很喜欢，77很讨厌            
(3星)	 还是很不喜欢朱七七。            
(5星)	 沈浪就是童年偶像！            
(2星)	 小时候我怎么看过那么多恶心的东西啦==；            
(NA)	 真尼玛帅            
(2星)	 这部剧超难看啊，选的都是什么角啊 丑死了啊！还大盗与淑女不伦之恋。。。。            
(3星)	 搜武林外传看到的...╮(╯▽╰)╭  好歹小时候娱乐水平也就这样            
(NA)	 是不是里面有个很强的胖子叫金不换？？            
(4星)	 喜欢沈浪            
(3星)	 青少年时期最爱 哈哈~            
(4星)	 白飞飞肿么能没跟沈浪在一起呢麻痹！            
(3星)	 我受不鸟这个朱七七好嘛！！！！！            
(5星)	 最爱。            
(3星)	 朱七七真他妈太难看了            
(4星)	 表示当年狂迷黄海冰，最后飞飞死时难过得要命。觉得一个男人帅则帅已，眼光不行也是很要命的。            
(3星)	 当年就觉得雷。。。但是觉得黄海冰长得不错！            
(3星)	 我很纠结于沈浪没和白飞飞在一起 居然和朱七七 真囧            
(5星)	 老法头年轻演员各种有灵气！百灵是超出小说之外的惊喜！            
(4星)	 小时候迷得死去活来啊…为了白飞飞什麽的…            
(3星)	 为什么沈浪会看上朱七七！！！！！！可恨可恨            
(3星)	 老师问，这位同学你知道《儒林外史》讲什么的么？知道，朱七七和白飞飞！            
(2星)	 我回想起来一点都不觉得这是武侠剧……这明明是苦逼穷摇剧……            
(3星)	 白飞飞时好美            
(5星)	 当时班上明显分为喜欢朱七七和喜欢白飞飞的两党，每天争吵不休            
(2星)	 书和电视剧永远有不可逾越的沟            
(4星)	 10年了~            
(4星)	 印象里的白飞飞，白衣绿叶，真美啊。对于最后一集沈浪无耻地携手朱七七走过飞飞墓前，我深感痛心！             
(4星)	 不喜欢朱七七            
(3星)	 黄海冰实在太。。。            
(3星)	 最恨的就是为啥沈浪最后还是娶了朱七七…            
(4星)	 黄海冰后来消失在人海了么            
(4星)	 就记得王艳很美的 当年的黄海冰多帅 现在都成什么样了            
(5星)	 为什么要和七七在一起。。。。            
(4星)	 沈浪和飞飞才是完美的一对            
(NA)	 沈浪真的不算是人，先与飞飞如此难舍难分，后于朱七七打情骂俏，一开始未必是真，却为自己的选择找个冠冕堂皇的理由。这种男人，飞飞不要也罢。            
(2星)	 两星，因为我最爱的白飞飞虽然挂了个沈浪之妻的名号，最后的快活逍遥却是朱七七!!!            
(NA)	 朱七七太残了，白飞飞跟沈浪多好啊            
(NA)	 飞飞最后道，我的一生不过是笑话一场，而你是我一生唯一的真实和快乐。触及此句，心酸泪落，哭的凄惨无比。虽不屑爱情之重，却憾多么凄惨的姑娘。这片看了无数遍，最喜的却是熊猫和百灵，嬉笑冤家，如此简单多美好。            
(4星)	 我喜欢那个护使！！穿越时空的爱恋里演朱棣的那个！！！！            
(NA)	 忘记了@_@            
(3星)	 当时追的很high~黄海冰很适合古装扮相~            
(1星)	 就因为把朱七七改得太差一星            
(2星)	 怎么拍成这样了都！。。。。。。。。。            
(5星)	 我就是喜欢白飞飞。朱七七各种不待见。            
(3星)	 极其受不了原著            
(4星)	 当年觉得很不错的一部国产武侠电视剧            
(2星)	 我真不喜欢看这个            
(3星)	 我是多么的无聊啊!            
(4星)	 这简介谁写的 一场大盗与淑女的不伦之恋。。            
(3星)	 这个真有看            
(3星)	 好吧... 其实 这个 也看过一些            
(3星)	 喜欢七七            
(3星)	 小时候喜欢的啊            
(5星)	 这么多年了，我记得当初看到沈浪与七七在一起，就不看了，飞飞，你别要沈浪了            
(4星)	 少年时的记忆，总归是好的。            
(NA)	 = =我已经忘了讲的是什么了，咳……            
(4星)	 初中时逃课去默默家看……又是一部承载记忆的剧。那时羡慕朱七七，任性又不聪明，却可以得到所有想要的东西。默默却说她喜欢白飞飞，也许那时的她比我成熟~            
(5星)	 可是我就是超喜欢这个贱人            
(4星)	 = =，            
(2星)	 当年为了不用睡午觉调成静音偷偷看无营养剧            
(2星)	 不解释            
(5星)	 大爱啊。百看不厌。            
(4星)	 全剧色使阿音一人而已            
(3星)	 朱七七我不认识这个演员。            
(2星)	 从这里认识王艳            
(4星)	 这片子是我踏入某个领域的契机 我写的第一个武侠续 我认识的第一帮武侠迷都是由它开始 为了朱七七和白飞飞 我争过太多 已然疲惫 即使沈浪 我都觉得他被某些人说的太冤枉            
(4星)	 儿时觉得非常好看的片儿。王艳在里面真是太美了。沈浪也太过聪明。            
(4星)	 当年为之神魂颠倒的电视剧  至今还记得部分             
(4星)	 补：讨厌朱七七！！！！！            
(1星)	 只隐隐留下一点印象...            
(5星)	 ~~当年很爱这剧里的王艳演的白飞飞~~觉得好好看啊~囧~            
(4星)	 4星只为白飞飞            
(3星)	 啊！！！！！小学最爱的电视剧了！！！！            
(3星)	 白飞飞没有和沈浪在一起，这是我最大的怨念，撇开原著来说········配乐很好听，至今还能哼唱出里面的音乐            
(4星)	 朱七七去SHI！！！            
(4星)	None
(NA)	 女主角太丑            
(3星)	 我讨厌朱七七，喜欢白飞飞            
(4星)	 讨厌女主，喜欢白飞飞            
(4星)	 当年的白飞飞和沈浪，我投注了多少情感啊…一星是感情分            
(3星)	 当年很喜欢沈浪啊。            
(3星)	 那个朱七七真是人见人烦            
(1星)	 小时候入迷，看了小说才知道完全不是那么回事= =            
(NA)	 黄海冰，那时候看着真是帅气，聪睿、担当、明辨是非。。。高中时代的白马王子吧^^            
(3星)	 就记得女猪很难看，白飞飞和沈浪挺配- -+ 我不是小三党啊。。            
(5星)	 我的飞飞啊            
(5星)	 身为标准燕麦，我爱白飞飞，爱王艳！情有独钟，为之奈何？！            
(4星)	 记得当时喜欢白飞飞            
(4星)	 大爱白飞飞~~~            
(3星)	 朱七七乱丑一个。            
(5星)	 一如既往的喜欢白飞飞和王艳。。。当时的大爱啊            
(NA)	 我记得里面有个沈浪特帅            
(3星)	 主题曲很不错            
(3星)	 那时超爱白飞飞的，虽然她是反面角色，果然我是个只看中美貌的人。            
(5星)	 小时候的爱啊TAT！            
(4星)	 还蛮好看的···就是歧视衣服可以更······平常点·······            
(3星)	 那时是小学吧。            
(NA)	 朱七七招人烦死了，她怎么没死呢，你认识导演袄            
(4星)	 那时候觉得男主角爆帅= =            
(2星)	 沈....浪。            
(3星)	 朱七七。熊猫。            
(3星)	 这个女主角也算一朵奇葩            
(5星)	 当年我很喜欢沈浪和七七             
(3星)	 白飞飞嘛～            
(1星)	 王八犊子扯某颗蛋。            
(NA)	 这个有印象，我可不喜欢了            
(4星)	 沈浪。。我想起我每次都要一边吃饭一边看了。。。            
(4星)	 那时候觉得王艳很漂亮。            
(4星)	 我咋觉得那么好看            
(2星)	 哈哈哈哈，我笑笑笑            
(5星)	 早知如此，不如你们一起携手向黄泉。            
(4星)	 当时为那个白飞飞把人脸挑花的行为震惊良久 现在想起来真的好傻            
(5星)	 这厮堕落了～            
(4星)	 超级喜欢朱七七            
(4星)	 喜欢 白飞飞            
(4星)	 最爱白飞飞，朱七七恶心到极点！！            
(NA)	 ！！！            
(NA)	 颠覆我人生的坏女人啊飞飞姐            
(4星)	 经典我朋友都很喜欢七七，me too            
(3星)	 其实我特讨厌那个朱七七            
(3星)	 p.s. 小时候            
(4星)	 哈哈哈哈哈！            
(NA)	 恨透朱77            
(3星)	 假如不看原著的话，我愿意打四颗星。            
(4星)	 儿时记忆            
(3星)	 当时超讨厌朱七七,喜欢白飞飞            
(4星)	 我可怜的白飞飞呀～            
(5星)	 去年7月用三天时间复习了一遍。任你白飞飞再身世凄惨惹人怜爱下场悲惨我就是爱大家都不爱的不怎么好看的还喳喳呼呼的朱七七，就是正义感强。            
(2星)	 本来古龙的小说我就讨厌 演的人更加可怕            
(5星)	 演朱七七的张琰琰怎么就销声匿迹了呢？            
(4星)	 “我的生命不过是笑话一场 而你却是我生命中唯一的真实和快乐”——白飞飞            
(4星)	 黄海冰当初真的是震到我了            
(4星)	 都应该是我第一部电视剧拉。现在还印象超深刻。            
(2星)	 喜欢白飞飞……沈浪那个傻X            
(4星)	 推！（殴死            
(5星)	 朱七七~~很有意思，尤其那一句“二爹！”            
(2星)	 这是怎么回事，我是怎么看过的，人名我都记得，可是情节忘没了··            
(3星)	 我喜欢小熊猫！            
(2星)	 扯死了            
(2星)	 那时喜欢王艳那个角色            
(1星)	 拍成这样不容易,奖给你一颗星.话说古龙电视剧我看得不多,看的几部是一个比一个烂.            
(NA)	 恩 我也喜欢白飞飞            
(3星)	 初识古龙            
(4星)	 不错...            
(4星)	 飞飞姐            
(4星)	 那时候觉得黄海冰巨帅！！！            
(5星)	 小学时看的片子，为了那很多很多遍我打五星            
(NA)	 初中时看过的，忽然想再重温一次，ORZ，我最近真怀旧            
(1星)	 编剧去死            
(3星)	 忘不了人死后还带自己闭眼的            
(1星)	 就记得那个叫朱七七的了            
(NA)	 白飞飞， 朱七七，这么多叠字儿的            
(5星)	 当年看黄海冰绝对的风流潇洒，现在...怎么说也是初中时最爱的电视剧，难以忘怀。后来看了原著，惊艳指数又加一级。            
(2星)	 没什么意思，混时间看的            
(5星)	 我是喜欢沈浪的，只是那么聪明，不会寂寞吗？            
(3星)	 王艳还是很漂亮啦~            
(3星)	 那时候哭得稀里哗啦            
(4星)	 世上再无白飞飞            
(4星)	 我就喜欢白飞飞~            
(NA)	 ......            
(4星)	 我的沈浪和飞飞。            
(NA)	 以前很喜欢            
(4星)	 看片子的时候还年轻。            
(3星)	 歌儿不错            
(3星)	 一点古龙味没有            
(1星)	 天哪很多人喜欢这个电视剧？！天理啊~~            
(4星)	 小时候看过好多遍的呵~            
(4星)	 说实话么。。那时候我喜欢黄海冰的要死。。            
(3星)	 沈浪、熊猫儿、王怜花~想當初看得津津有味~那個可憐可恨可愛的77...            
(5星)	 喜欢朱七七            
(4星)	 满喜欢王艳的说            
(4星)	 很久很久以前……            
(3星)	 原来这个我也看过~            
(4星)	 黄海冰是绝对的古装剧王子...            
(2星)	 飞飞。            
(4星)	 承认沈浪帅,但是熊猫儿很有个性,蛮喜欢他...            
(4星)	 他还是古装扮相好            
(4星)	 只因为白飞飞            
(3星)	 没错了..白飞飞.朱七七...            
(5星)	 本人最爱的古装武侠剧            
(4星)	 女主角有点太难看了。。。            
(5星)	 到现在还痴迷。。            
(5星)	 喜欢白飞飞            
(NA)	 小时候看的            
(NA)	 若我是七姑娘，必选王怜花。当然，不是电视剧里的。            
