http://movie.douban.com/subject/2294273/	加油！金顺 굳세어라금순아
(5星)	 超爱~~看过的唯一一部超过100集的韩剧。            
(4星)	 超级啰嗦的韩剧，吃顿饭都能拍上好几集。。            
(4星)	 当时还挺喜欢的~            
(4星)	 白菜头~在熙君~~还有那辆红色跑车，口水……            
(4星)	 还不错            
(5星)	 金顺挺PL的            
(NA)	 2006            
(2星)	 这是我看过最雷的韩剧了……            
(4星)	 韩国女人的人生都不容易啊~            
(4星)	 和奶奶一起看的            
(5星)	 好看好看好看,当时天天看~觉得那个医生感觉很像那谁.            
(4星)	 很振奋，金顺演得很好。呵呵~太久以前看过。            
(4星)	 爱情 喜剧 加油!金顺 励志 奋斗             
(3星)	 喜欢女主角            
(4星)	 韩惠贞像兔子。。。我陪阿婆当时看了一个寒假都没有看完（每天2集的速度）            
(4星)	 这剧真的是有点忒长了 幸亏是LOLI时期看的剧 搁现在绝对没这耐心            
(3星)	 太长了。            
(4星)	 加油！金顺            
(4星)	 推荐老妈看的片子            
(4星)	 这可是那阵每晚 一集都没落过            
(3星)	 韩剧真是够拖沓的            
(5星)	 和《大长今》并列为韩剧励志之最~            
(4星)	 喜欢金顺始终灿烂的笑容，每天都像晴天。喜欢在熙哥在金顺面前紧张慌乱的样子，他是真喜欢金顺呢。——金顺的儿子最乖了，从来不哭闹^^            
(3星)	 当时，我高三。            
(NA)	 可爱的女主角            
(4星)	 很长的一部剧  但描述的很细致 演的也不错            
(5星)	 韩剧            
(3星)	 虽然都比较长而且拖沓 但是作为一部励志片很不错            
(4星)	 跟妈妈一起看，越看越觉得金顺很惹人疼            
(4星)	 金顺——坚强的可爱女人~~~            
(NA)	 很立志很感人又是个长剧~每天都看到很晚            
(4星)	 喜欢两个，虽然带有很多理想主义，但还是值得一看的            
(4星)	 金顺活得很带劲！！            
(4星)	 也是励志成长加爱情剧，没完整看过，但从看过的情节来看，很好。            
(4星)	 不抛弃，不放弃！            
(NA)	 又是早婚的女孩儿。还好，挺励志的！            
(4星)	 这部剧让当时开始厌恶韩剧的偶稍有改观            
(3星)	 中央八套，电视剧频道—妈妈的最爱            
(NA)	 初中时，语文老师天天用金顺举例子。。。            
(4星)	 当年觉得好好看            
(3星)	 姜志焕岁数大了点            
(NA)	 挺好看的~其实            
(5星)	 当年被男猪脚迷得满脑子星星            
(3星)	 也好二……            
(4星)	 童年记忆 美美的女猪脚~~            
(3星)	 那阵搞的作业都不乐意写哈哈哈            
(4星)	 具在熙是我理想型的男人            
(4星)	 很多集还没看不过够了。。美好形象已经形成了。。            
(5星)	 老妈很爱看            
(4星)	 小时候陪奶奶看的，后来跟着看得劲劲的            
(5星)	 很励志~以前好喜欢女猪脚            
(5星)	 姜志焕好帅，笑容太迷人啦。            
(3星)	 老妈看的            
(NA)	 我妈爱看的。。。            
(5星)	 ～            
(4星)	 好长啊，记得是上学的时候晚上和爸妈一起看的。            
(4星)	 当年这160集看得昏天黑地呀~            
(4星)	 亲爱的白菜头            
(4星)	 太长了，打发夜晚的好电视。            
(3星)	 和妈妈一起看的=，=            
(5星)	 金顺真是坚强又可爱，老天会眷顾勇敢生活的人。            
(5星)	 始终大爱            
(3星)	 中央8台            
(4星)	 跟着妈妈看的~哈哈~美好的回忆呢~            
(4星)	 姜大叔华丽了。            
(4星)	 姥姥很喜欢看            
(5星)	 不錯哦，喜歡堅強的金順，遇到什麽事也是笑容掛在臉上！男女主角都很有愛！            
(NA)	 我觉得金顺很眼熟，想了半天明白原来她鼻子嘴那条线很像科科！！            
(4星)	 这个就是最喜欢的两部中的另外一部了，每晚每晚和妈妈一起看，跟着剧情发展而开心、难过，典型的灰姑娘的故事，剧里的每个角色都是那么地善良。那时候看起来还挺励志的，很佩服韩国的编剧能把这种家庭剧编出100多集，却又这么吸引人追着看...            
(4星)	 可爱的金顺，可爱的医生            
(4星)	 毛雪莹你还记得咱俩蜷缩在你被窝里边看边哭的日子吗。            
(4星)	 金顺的头发太可爱啦~            
(3星)	 中央电视台放的，还可以吧，就知道韩惠珍会走红！！            
(5星)	 绝对好的一部电视剧。当年非常喜欢。            
(5星)	 当时中央台晚上在播，还得偷偷看。。。            
(5星)	 跟着老妈一起看            
(3星)	 没有太认真看            
(3星)	 签名十几集。男主女主每次碰面大概不超过3分钟，就为了这个短短的几分钟，我好多夜晚都睡得超晚。好在男主那时候真的很养眼。其实是个灰姑娘的故事，这个王子追得也真辛苦            
(5星)	 姜志焕好帅啊，演技也很出色。            
(3星)	 励志剧            
(5星)	 很好看。非常喜欢帅气痴情的具在熙。            
(NA)	 不错，2005年秋天看的，那年秋天很难忘，吃了不少火龙果            
(4星)	 当时每天晚上十点前准时回家看，怀念啊            
(4星)	 看的不全，听立志的饿            
(4星)	 我还记得我高三那段时间老妈一直在看，然后高考那天中午回到家老妈还是在看完全不理我= =，于是高考完了我也去看了...由此喜欢上姜志焕啊！！！            
(4星)	 不错。            
(4星)	 初中那会陪爸妈看的            
(3星)	 突然想到看过这个，那时候念书，隔一个礼拜看一次，还是完全可以不错过剧情。。。            
(3星)	 这应该是妈妈辈看的吧            
(5星)	 好看 虽然有点墨迹 当年和妈妈一起 正经喜欢男主喜欢了很长时间            
(4星)	 乐观的白菜头            
(4星)	 励志型~            
(3星)	 好容易和金三顺混起来的……不过还算可以，家庭元素很真实，没有把各种离奇事件加之给女主            
(4星)	None
(4星)	 很早之前看过的一部韩国电视剧.那时候我正上高三,也正是处于我人生前无仅有的叛逆期.我不想上课不想看书不想自习....我清楚的记得那时候每晚两集,我不睡觉贼精神的每天熬到十二点多.然后才心满意足并且带着点愧疚的睡去...            
(NA)	 高中的时候，每天下午逃最后一节课看中央八台            
(4星)	 一直不怎么喜欢泡菜剧的……这个是例外……            
(5星)	 姜志焕啊！            
(3星)	 励志剧。上哪找这么好的男人呀，有木有！            
(5星)	 那个时候的姜志焕啊，帅啊。现在的对我说谎试试里的真的有点老了。            
(5星)	 当年啊 那个火啊            
(2星)	 又臭又长奶奶爱看            
(NA)	 N年前陪着母上看的~            
(5星)	 纪念我最叛逆的时候。            
(NA)	 具在熙，太完美了！特别大笑的时候，好帅哈哈            
(NA)	 很久前8套 放学后追着看 还被妈妈骂             
(5星)	 高二时的支柱  我来到这个世界是为了遇见在熙君            
(4星)	 当时好痴迷啊！            
(4星)	 韩惠珍真的好漂亮啊！！！！但后面剧情有点太拖沓了。。163集啊！            
(NA)	 老妈最爱之一            
(3星)	 多年以前就看过了，最近又重新看了，喜欢金顺一直保持积极向上的心态，即使一无所有还是保持乐观的心态。            
(5星)	 唯一一个看过很多遍的电视剧。            
(5星)	 高中那会超级喜欢看啊，还买了盘全部看完了！            
(4星)	 和jun一起看            
(5星)	 喜欢。            
(5星)	 高一看的 至今还念念不忘 在熙！手机屏保么             
(4星)	 我妈很喜欢看。            
(4星)	 记得高中和我妈妈从头追到尾~~            
(3星)	 女主角笑起来很甜，加上男主角比较帅是我可以忍受追这么长的一部片子主要原因。不过也教会我乐观对待生活。            
(3星)	 又是个几百集的，我当时还真是有时间唉            
(4星)	 看了两遍啊。。。            
(NA)	 麻辣隔壁，以为是金三顺！            
(3星)	 JUST SOSO            
(4星)	 看着金顺,想起自己.            
(4星)	 韩惠珍 姜志焕都是比较喜欢的演员 家庭剧比较好看的            
(5星)	 这个我和我妈都很喜欢!            
(5星)	 当初的最爱欧            
(4星)	 挺不错的肥皂剧之一            
(5星)	 高三每晚下晚自习后辛苦追剧啊…现在回想，100多集真是可怕。当初觉得姜志焕不错呀，现在看却觉得像金在元了……囧            
(4星)	 唯一在CCTV上追的一部剧，够长，当时为了回家看这个每天大老远从大学赶回来，宿舍都没怎么住过，喜欢具在熙那傻样。            
(4星)	 看完那段时间超级喜欢姜志奂的，他在里面穿的也好看~~~            
(2星)	 不知道在纠结什么            
(4星)	 励志嘛            
(5星)	 在熙==            
(5星)	 加油！            
(5星)	 8套经典之一            
(NA)	 现实中的爱真的能执着到梦想成真么？            
(4星)	 看过精华版~真的挺励志的            
(3星)	 励志故事。            
(4星)	 很可爱励志的故事。。。            
(5星)	 超爱            
(3星)	 我还迷过男猪呢            
(NA)	   高中每天晚上看cctv8到12点过，被金顺那股精神感染            
(NA)	 唯一看过的一部韩国长剧集            
(5星)	 第一步喜欢的家庭伦理剧 虽然剧情冗长拖沓又沉闷 笑中带泪 白菜头和具在熙 也算经典了 比起金三顺我还是更欣赏罗金顺~            
(3星)	 跟妈妈一起在中央8台追完的剧集 话说那时候我还是高三啊             
(5星)	 妈妈的最爱,很励志。            
(NA)	 这个很有印象！！            
(3星)	 金顺长的很英气~~~            
(4星)	 坚强的金顺如何收获幸福的，为这一点支撑着我一直看下去。要加油啊，金顺。ps好喜欢金顺和志焕灿烂的笑容            
(5星)	 最爱！            
(NA)	 喜欢插曲            
(4星)	 姜志焕就是《火花游戏》的男一号~            
(3星)	 励志+童话片            
(3星)	 我爸超喜欢看            
(4星)	 就是这部剧爱上焕焕了....            
(3星)	 又是一部跟妈妈一起看的剧~            
(3星)	 在CCAV上看的            
(4星)	 当年看的时候觉得姜志焕挺帅的，这些年不晓得变残没。。            
(3星)	 好吧，原谅我那么恶俗            
(5星)	 高三逃课看的韩剧            
(5星)	 纪念我的高四~            
(4星)	 好长…            
(NA)	 嘿嘿~~加油！            
(3星)	 鸡肋。。。            
(4星)	 加油~冲吧            
(3星)	 CCAV8推荐的            
(3星)	 白菜头 也只有这里面的姜正焕能看            
(5星)	 这是看的第一部韩剧            
(NA)	 3.5            
(5星)	 单身母亲的奋斗史~~            
(3星)	 纯粹是陪老妈看的。。。            
(4星)	 呀！白菜头！            
(NA)	 长篇中最爱            
(4星)	 其实很好看，就是后面剧情太拖沓了……            
(4星)	 很喜欢            
(3星)	 一般般啦            
(5星)	 为了这电视剧我都落枕了。真没想到它有163集啊我竟然给看完了。。。            
(5星)	 这是我看的最长的剧。            
(4星)	 那些日子            
(3星)	 老妈以前很喜欢。。于是我也看了。。            
(3星)	 曾经我喜欢小白脸            
(NA)	 又是一部奶奶的最爱            
(5星)	 加油，金顺。超喜欢            
(4星)	 算是我看得最长的韩剧,还是高中租碟看完的.金顺的经历很励志,最后自己的努力得到了爱她的男人哈喜欢的工作..我萌金顺的妈,梁美京,可惜戏份少,而且还很孱弱的脸色..不知道为啥金顺再婚亲妈不照相            
(NA)	 坚强的女人最美丽,..又是一部童话式韩剧            
(3星)	 遭遇再多的不幸，只要努力总有获得幸福的一天~~            
(4星)	 就是太长了~~            
(4星)	 好长好长~唉耐心这个东西.            
(4星)	 真得很喜欢！这么久了，还能记得剧情！看到金顺的经历！感觉和自己的某些过去有点相似！可是金顺好坚强啊！！！            
(2星)	 没有恶婆婆的家庭剧不是家庭剧吗？灰姑娘成了灰大妈，架不住王子还是爱啊~~~~~~~            
(4星)	 一般来说电视剧长的比较好看,细腻,家庭化            
(5星)	 白菜头 具载锡            
(3星)	 好长啊，陪姥姥看的....            
(4星)	 ~~金顺挺漂亮哒            
(4星)	 只能说女主角终于苦尽甘来了，努力到最后有人疼有人爱，事业爱情家庭都美满了，真令人感觉安慰            
(5星)	 初三看，和老妈。            
(4星)	 与年龄不相符的坚强，喜欢！！！( ∪.∪ )... zzz ZZZ呼嚕http://www.syooy.com 呼嚕呼嚕……             
(4星)	 那时很喜欢姜志焕。。。            
(5星)	 励志剧！好！            
(NA)	 看了很多次了。梦想和坚持不曾放过。即便很苦很累!            
(3星)	 上高中时，妈妈每天看到12点过，然后第二天她给我摆剧情！            
(NA)	 励志和亲情，这部片让我改变了对韩剧的印象            
(5星)	 轻松，励志，所有的演员我都很喜欢，但这部剧最让我记忆深刻的是小叔，李民基，我觉得他傻傻的，好可爱，看过他在女杰里，不太会说话，反映很么慢，可是拍起戏来却很有感觉，我想这就是天生当演员的料吧。加油，李民基！            
(3星)	 高二一直看来着，老爸的最爱~很励志哦            
(4星)	 很好看            
(5星)	 金顺太可爱了！            
(5星)	 非常不错，小人物的生活啊！            
(5星)	 太太长了。。。            
(4星)	 我看我妈当时追得那么过瘾，也跑去看了。还不错，虽然剧情老套，但金顺的坚强真的打动了我。            
(4星)	 喜欢那里面是诗--去工作吧，就好像不需要钱一样；去唱歌吧，就好像没有人会听见一样；去跳舞吧···            
(5星)	 当时鼓舞了情绪低落的我            
(NA)	 2005年最爱电视剧！~            
(4星)	 我们的毛和金顺很像哦            
(4星)	 当时很喜欢男主            
(NA)	 我竟然看完了，驚歎中！            
(4星)	 挺喜欢男主的^_^            
(5星)	 妈妈的最爱            
(3星)	 女猪脚 很可爱            
(4星)	 和妈妈一起看的。女主角很可爱滴~~~            
(NA)	 很喜欢的一部韩剧            
(4星)	 喜欢金顺的那种精神，想起了大学那时候宿舍集体看这部剧的日子~~            
(3星)	 我真的没有觉得这个好看&gt;&lt;            
(3星)	 喜欢像金顺那样的坚强。            
(3星)	 很多人说女主角看上去很有心计。。            
(3星)	 在cca v上看过一点            
(5星)	 不孬            
(5星)	 具在熙太帅了            
(5星)	 承载着高三美好的回忆，所以给这么多颗星            
(5星)	 太好看了，看得我。。。太喜欢金顺了，不过社会没有这么善良的人了            
(4星)	 断断续续看完，励志得很            
(3星)	 看着看着有时候就不太想看了 可能是没有认真看吧            
(5星)	 大概以后也很难再喜欢一部韩剧到这个地步了……从来也没这么喜欢过OTZ            
(3星)	 白菜头！男主角很适合粉色呢！            
(NA)	 金顺好可耐            
(5星)	 好看好看好好看！            
(NA)	 “你以为夫妻是什么？夫妻是岁月，是牺牲，是不离不弃，是即使有困难，也要一起生活。”            
(4星)	 坚持就是胜利            
(NA)	 师奶杀手姜志焕。            
(4星)	 今天终于看完了大结局！其实我不喜欢看剧情很长的电视剧，特别是韩剧。但这部片子不一样，特别是我现在当了妈妈，每当看到金顺为了儿子辉成努力工作、遇到困难也不退缩的时候，我就忍不住流泪，心里酸酸的。我觉得金顺是个了不起的妈妈！我也是由我妈妈一手养大的，我的妈妈也是个了不起的母亲！            
(NA)	 真的很棒!虽然很长.呵呵!            
(5星)	 很好的结局，由悲到喜            
(NA)	 老妈爱看，就跟着看了一点...            
(4星)	 还是不错的            
(NA)	 妈妈喜欢的金顺            
(4星)	 寝室里的美好记忆            
(4星)	 奶奶在这里好可爱啊～背个小书包～哈哈            
(4星)	 韩国肥皂剧的典型，如果光是把男女猪这条线抽出来看，其实还是胜过很多狗血韩国时装剧的。            
(3星)	 高中时下了晚自习老妈在客厅看，我就趴在屋门边偷听……姜志焕就只适合这种暴暴多金男神马的~            
(4星)	 蛮好看的，，，觉得男主还可以，，，有腔调            
(5星)	 令人感动的完美女孩            
(NA)	 9            
(5星)	 这个好看!            
(4星)	 生的不好长的好~过的不好运气好~麻雀变成凤凰，总要有火吧~            
(NA)	 主人公的经历很好看!            
(NA)	 妈妈桑            
(3星)	 微笑着奋斗吧            
(4星)	 特别喜欢金顺            
(5星)	 唯一的老爸老妈也爱看的韩剧 特意要我买来全套DVD呢             
(3星)	 这部电视剧还是比较励志的吧，不过就是长了点            
(5星)	 人生如果如此，付出又何妨？！            
(4星)	 可怜的女人 坚强的女人            
(4星)	 让人励志的片子，看了之后，只想默默在心里说：加油，金顺，好样的！            
(4星)	 加油啊！            
(NA)	 经典，好长，不过，好看~            
(NA)	 我很喜欢的一部韩剧            
(NA)	 加油加油            
(NA)	 不过后来不喜欢了            
(5星)	 喜欢！！            
(4星)	 老妈爱看            
(NA)	 平实、感人，不乏浪漫幽默            
(NA)	 很喜欢            
(5星)	 最后的青春            
(NA)	 很爱看啦。            
(NA)	 加油！金顺            
(NA)	 很喜欢！            
(NA)	 韩惠珍姜志焕很棒            
(NA)	 剧中的婆婆对金顺说:喜欢的人才住在一起,我怎么会不喜欢你呢?            
(NA)	 虽然很长，但却看了多遍，太好了            
(NA)	 在高三最迷茫最煎熬的时候，每晚和奶奶妈妈一次看这部剧是一种寄托和鼓励，每个人心中都有一个金顺--为了明天的美好加油！            
(5星)	 非常喜欢            
(3星)	 挺好的，才知道金顺的第一任丈夫是金南佶（演坏男人很好）            
(NA)	 励志            
