http://movie.douban.com/subject/2153389/	白蛇传
(3星)	 蛮好看的一个版本~            
(3星)	 潘粤明挺帅            
(4星)	 最喜欢的白蛇的版本 我心里的白蛇应该是端庄 痴情的  善良的            
(5星)	 许仙啊许仙，真不知该说你什么好啊！            
(3星)	 难得觉得翻拍也挺不错，虽然前作还是难以超越，也是因为这个给三星【结尾曲大爱            
(3星)	 刘涛也可以演白娘子，但这剧确实木啥特点。            
(NA)	 吓死了            
(NA)	 呃，我看了的······            
(3星)	 喜欢片头曲            
(3星)	 中考前的白蛇传。            
(3星)	 人间自是有情痴。            
(2星)	 瞎编乱造            
(4星)	 喜欢这个结局             
(5星)	 我也喜欢这个白娘子            
(4星)	 主题曲很美 涛姐很美            
(3星)	 虽然一切都很老套，但刘涛和潘粤明，也演的不错。有空的时候可以看            
(3星)	 我觉得刘涛真心美…为了她我看了好多雷剧…            
(5星)	 怎么可以没有42的截图~            
(3星)	 喜欢潘粤明版许仙的执着，不喜欢某些改编。。            
(4星)	 其实还不错，比新白娘子好，结局也更好            
(3星)	 千年不过转头空，笑欺佛前莲花落~            
(2星)	 真的不喜欢其实，如果不是当时我在医院不能换台。            
(5星)	 高中的记忆。。。            
(5星)	 你的家人就是我的家人，你的朋友便是我的朋友。            
(3星)	 奇怪            
(3星)	 其实我觉得还好= =            
(5星)	 我叫许仙，许配的许，神仙的仙。            
(2星)	 不要看啊不要看啊            
(2星)	 好吧。除了赵雅芝版本的法海之外、这是我遇见的第二个缺的不成样子的和尚……            
(NA)	 刘涛的每套造型都超美            
(NA)	 赵版三集定终身，刘版是他的5倍，时代在发展，蛇仙变矜持            
(5星)	 喜欢这个版本...陪伴了我的初中...看过不下两遍...从此喜欢上了刘涛...            
(2星)	 造型不错，剧情太让人无语了。央视出品，雷的就是你！            
(3星)	 法海爱上白蛇..            
(5星)	 力挺此版。            
(3星)	 陳紫函的美瞳好紮眼 = =            
(4星)	 生老病死，爱恨情仇。            
(4星)	 喜欢刘涛，更喜欢陈紫函的小青            
(3星)	 没有老版的好 凑合看            
(4星)	 很喜欢看呢！！！            
(4星)	 叶童演技再好，无奈是女的，还是喜欢男版许仙            
(3星)	 结尾曲还好            
(2星)	 装扮不错，其他无视            
(3星)	 竟然有青梅竹马的情敌            
(2星)	 能不能放过白素贞？还真是没完没了了，我们国家就这几个故事么？            
(4星)	 可能是赵雅芝版的太先入为主了吧 但是这个的小青不是很成功 许仙的爱让我无数次的感分离时白素贞：相公，你救我一命，我还你一生。 　　许仙扫塔时：娘子你知道要下雨了，是想给我遮雨吗？娘子我为你扫塔，从今以后你在塔里我在塔外，我没有违背我的誓言，我会一生一世对你好的 动             
(NA)	 找到了！挺喜欢的还            
(2星)	 潘粤明本来挺好 看完我就恶心他了            
(NA)	 这个，这个，断断续续的也算完了。太举案齐眉了。            
(4星)	 这一版的许仙，傻得最可爱            
(3星)	 刘涛潘粤明陈紫函都是大爱啊┭┮﹏┭┮            
(2星)	 和赵雅芝的有的比吗，结果是“烂”？            
(4星)	 片子很棒！越来越少看电视的我至今还念念不忘的片子之一，扣掉的那颗星是因为我不喜欢许仙，无关演员，只是许仙。            
(NA)	 编剧可以拿块豆腐撞死了。。。            
(2星)	 其实选角算不错了，除了法海。。。。。。            
(2星)	 我是真觉得刘涛蛮好看的。。。我也只是瞟过。。。            
(2星)	 好无聊            
(1星)	 潘粤明为什么总是没表情来着。你是凌霄肃啊！！！            
(3星)	 比老版的要好。            
(4星)	 喜欢刘涛            
(2星)	 丑 各种丑            
(3星)	 景美人美，编剧换个吧            
(3星)	 在我心中远远比不上新白娘子传奇            
(3星)	 。            
(5星)	 值得一看。这个许仙把我感动得稀里哗啦。            
(4星)	 那年初三暑假大爱中。记忆尤新。            
(3星)	 赵雅芝才是永远的经典！            
(5星)	 涛版是情最充盈的，那种刻骨，那种揪心，都是别版所不可追及的。它改编了很多，几乎除了一些既定的经典情节，其他的和原有的故事都没什么牵连了。里面有白素贞和许仙的心在一处，有小青对白素贞的剖心剖肺，有十天对娘的孺慕之思，有连翘和八两的违背约定终于回头，甚至连那个最后成魔的和尚法海居然也            
(3星)	 心中的白娘子，终究只那一人            
(4星)	 还行            
(3星)	 恩，喜欢这版本超过赵阿姨，虽然狗血，但是我觉得感情真一点            
(3星)	 还是老版很有味道，不过这个也行，现代版的            
(5星)	 好看好看，看了好多遍，刘涛好美啊            
(2星)	 你们无法超越赵雅芝            
(4星)	 用当代人的爱情观来解构了流传千年的神话，很喜欢！~歌曲也很喜欢！~演员演技也很不错！~            
(3星)	 哎。。神话。。我们好好的神话啊。。。            
(2星)	 我猜有人会很喜欢            
(2星)	 初二看的，还是新白娘子传奇更经典些            
(1星)	 这是神马浮云啊！！！            
(2星)	 永远不如老版本啊。            
(4星)	 看了以后才知道原来法海一直都爱素贞，因爱而恨、            
(4星)	 刘涛笑起来真的很漂亮很温暖            
(2星)	 哎            
(3星)	 满喜欢刘涛演的白娘子            
(NA)	 绝对完整看过            
(3星)	 本来前面也挺好看的毕竟这个故事是很经典的但是谁知最后一集好像赶着投胎似的就结束了完全没个交待啊真是怪事            
(4星)	 白素贞的形象让我喜欢上了刘涛。            
(3星)	 觉得歌曲还不错            
(3星)	 其他不说，那结局倒是很好，悲剧的很美            
(4星)	 多好看啊 真不明白你们            
(NA)	 美丽的白蛇，书生气的许仙，仗义的小青，痴情的连翘，入魔的法海。。。 以及不能不提起的西湖，断桥，飞雨，纸伞，法术，半步多客栈，魔界等。每一种东西都在其中拥有了灵气，给一种梦境的感觉。像是在讲述一个童话故事，但其中又有坚定的爱情。 成仙，初遇            
(NA)	  1.起因     旧版的故事起因是白蛇报恩，而新版却是萍水相逢，自由恋爱。不能说不是与时具进       2法海     新版的形象是迂腐不堪，摆设与他无团无辜，他却与之为难 ，认为妖就是妖，无好坏之分。     3追求     只要是人都有追求，白设多了一些人的要素。她为成成先而来，但又放弃了。不过主题            
(4星)	 别有一种画意。            
(5星)	 拍的 最经典。            
(3星)	 法海很帅，半步多很好玩            
(5星)	 爱死这部白蛇传了！            
(1星)	 我发现，这狗血电视剧我都看过~            
(3星)	 烂片……            
(2星)	 就拍个纯粹的神话，不要那唧唧歪歪的几角恋有这么难吗            
(NA)	 2008冬天 片尾曲很好听             
(4星)	 画面唯美            
(1星)	 不解释..恶心            
(4星)	 cctv8            
(5星)	 我就是很喜欢电视剧里的每一个演员，虽然在拍摄技巧上有些粗糙，但是故事情节还有演员的演技我真的认为都很赞！            
(2星)	 靠之。。。赵雅芝版的最经典            
(5星)	 画面很美呐。            
(5星)	 剧情不错啊            
(2星)	 又一雷剧。            
(2星)	 不喜欢。 总觉得哪里怪怪的            
(NA)	 许仙的台词还可以            
(1星)	 擦真雷。。。演员雷台词雷造型雷。。。            
(4星)	 不错            
(NA)	 开始的铺陈有点新意，前段的剧情也还可以引人入剧和后段的感人情节。关键还是在刘涛的白娘子身上，那一颦一笑，那落落大方，那古装扮相，让人赏心悦目。不过中段有些荒唐和无趣，结尾也是了了收往篇，不好。            
(3星)	 22集，许仙说，我只想看着你开心，你开心，我便开心。潘演得许仙真是嘴巴甜            
(NA)	 怎么看也不像白娘子和小青。。。看看赵雅芝那版，同样都是白娘子，但出来的扮相，那真是一个天上一个地下。。。            
(1星)	 靠，以前看前几集，觉得很美。今天看最后一集，对话、剧情设计太垃圾了。太不合理了。忍不住上来骂一下。好烂。不过片头曲还好。            
(4星)	 挺不错的哈            
(3星)	 刘涛演不出来白娘子的神态，她还驾驭不了~至于潘粤明么？当年叶童的许仙真是让我惊艳，话说我还真不知道她是个女的，潘粤明不够俊秀，鉴定完毕！            
(3星)	 男主角太傻了。。。            
(5星)	 刘涛虽然演技差了赵雅芝一点点，缺了那点白蛇的仙气，但是小家碧玉的感觉也的确很吸引。            
(1星)	 失望            
(4星)	 有人很讨厌这部剧，觉得颠覆经典，我倒不认为。多一些新的理解不好么？接受新版就意味着颠覆旧版么？两个白娘子，一个飘飘欲仙（赵雅芝），一个烟火人间（刘涛），我都喜欢。还有那画面，那意境，那一夜的星光！哦，买糕的！被秒杀了！            
(4星)	 还是不错的。。            
(5星)	 悲剧则以情动人，以残缺为美，意犹未尽又望而却步            
(2星)	 蛮喜欢刘涛的 潘粤明怎么每次演的人都那么扯呢 从那个京华烟云里的曾孙亚到许仙 真是没骨头             
(2星)	 除了女的好看点，其他真的没看头            
(4星)	 白娘子很适合刘涛 但是许仙~ 我还是觉得叶童比较好            
(3星)	 其实对旧版的没多大印象，也就不讨厌这版了，虽然加了太多的魔幻的部分            
(1星)	 垃圾            
(2星)	 我承认我没看完……            
(3星)	 够经典的~~~            
(4星)	 喜欢这个版本。            
(3星)	 涛涛真的很漂亮。潘岳明演技过硬。剧情雷滴很            
(3星)	 除开结尾，还是蛮喜欢的！~特别是结尾曲！~            
(5星)	 啊、、很喜欢～翻拍的很成功呢～上上上个暑假的时候看的。、            
(1星)	 无法超越新白娘子传奇！            
(5星)	 太感动了！            
(1星)	 没看完过。。。            
(4星)	 对法海的刻画很好，刘涛还真是合适当老婆，潘粤明长的不错            
(NA)	 假期偷看电视的节目之一            
(3星)	 结尾很失望。。悲剧。。哭T T            
(3星)	 打发时间还行吧，虽然跟《新白娘子传奇》根本不是一个档次。            
(3星)	 冲结局给三星            
(5星)	 刘涛很漂亮，只是太善良了，最讨厌的就是法海了，老是拆散人家恩爱夫妻，还是小青真性情。我的美丽幻想，我的白娘子            
(NA)	 千百般，乍寒还暖            
(2星)	 汗 那个和尚怎么看都不像清心寡欲四大皆空的样子            
(3星)	 都是美女撒            
(3星)	 !            
(NA)	 娘的很            
(4星)	 许仙大人...海仙吧乃们。            
(4星)	 刘涛版白蛇很漂亮 潘粤明版许仙有点呆...            
(4星)	 那个演白娘子的我还蛮喜欢的`            
(NA)	 经典的台词阿，觉得很搞笑千层底，缎子面，o(∩_∩)o...            
(5星)	 西湖边的爱情,让人留恋,擦身而过的会是什么            
