http://movie.douban.com/subject/2154765/	新孟丽君传奇 再生缘
(4星)	 那是少爷第一次亮相吧？            
(4星)	 在這部里，海馬還是主角；到西廂奇緣里，杏兒就成主角了            
(4星)	 其实这剧我一直喜欢。            
(5星)	 英气逼人的公子叶璇            
(5星)	 那时好喜欢主题曲            
(5星)	 一下子就喜欢上叶璇了            
(5星)	 海马的男装没得说！            
(3星)	 叶璇的男装真心漂亮，前半部分演绎得体，拜相之后的情节线流俗，感情线处理草率，逻辑前后不一，转折演起来很硬，再次证明演员还是要靠本子；林峰这个男主基本上是陪衬用，毫无演技可言，算是本色出演……演技派要数马德钟，场场飚出彩，眼神也有戏。            
(4星)	 皇甫少华是吧            
(4星)	 叶璇好像某个学姐啊，当时觉得林峰和那个蒙古皇帝都好帅 ！            
(3星)	 补            
(4星)	 很喜欢卡司呢~            
(5星)	 当时的林峰啊。。。大爱叶璇            
(4星)	 就记得kelly那首歌了            
(3星)	 有人是为了马德钟么？            
(5星)	 什么叫回忆            
(4星)	 终于睇完~~~唔错。            
(5星)	 竟然米有人说铁穆尓半句。。我深爱的皇上啊。。 和陈慧琳的片头曲林夕的词~               
(NA)	 哎哟 我就是从那时候开始爱林峰的 爱啊爱啊            
(NA)	 那时候傻傻的皇甫少侠，那时候还是内双眼皮的叶璇，现在怎么都变了！            
(5星)	 大爱！！我喜欢孟丽君  还有他的哥哥            
(3星)	 好好地孟丽君，就被tvb了，唉            
(5星)	 经典            
(4星)	 叶璇在这里面真俊俏。            
(4星)	 为了林峰和叶璇。            
(4星)	 林峰啊林峰，那个时候起TVB在布景和服装上开始用心了。            
(5星)	 想当年林峰还是黑炭头时，叶璇还是内双时~~时不再来            
(NA)	 我真是无聊到爆的人。。。            
(3星)	 当年很迷黄埔的。现在有点想不起来...            
(3星)	 當年斷斷續續地看            
(3星)	 记得第一次记得马明，就是在这个电视剧里，不过是稍稍有戏的大龙套。如今已能挑大梁，都过去七八年了。            
(NA)	 小女人性情~！            
(5星)	 我是那么那么那么喜欢叶璇啊~~            
(3星)	 叶璇不好看            
(5星)	 海马的书生装扮更惊艳。            
(4星)	 原著喜欢。。。两版影视比较喜欢港版            
(NA)	 自从看完GL小说后我就再也接受不了黄埔少华了- -            
(4星)	 还是林峰            
(5星)	 又看了一遍。            
(3星)	 看完花痴了好一阵少爷！            
(5星)	 和同学嗑着瓜子看完，认识了林峰和叶璇。            
(5星)	 當時很感動            
(4星)	 我还去问老罗，孟丽君是谁。            
(NA)	 还是不喜欢这个故事,所以还是看不下去,虽然喜欢啊峰            
(4星)	 記得忘記            
(4星)	 林峰搭叶璇 歌也好听            
(4星)	 峰璇最完美的一次合作吧~            
(5星)	 超级喜欢。            
(4星)	 喜歡            
(3星)	 那一年青春年少            
(NA)	  林峰 ~~~            
(3星)	 就是喜欢林峰和叶璇。            
(5星)	 我最爱的黑小子            
(4星)	 叶璇不错   （以前看的，纯添加……）            
(3星)	 马德钟的出现影响了整体水平……            
(NA)	 当年的我其实很讨厌黑炭头            
(3星)	 小說好睇D            
(NA)	 我记得里面的胡囧囧造型好雷            
(3星)	 感觉只是还过得去，没到大爱            
(4星)	 金童玉女            
(5星)	 高中时看的 认识了林峰叶璇 大晴天 我看着他们一家团圆哭得淅沥哗啦            
(4星)	 世间总有传奇，未必有这么圆满的收场。            
(4星)	 叶璇的古装扮相非常英气。杨怡的扮相非常美丽温婉，当时第一次看到这部戏的时候，觉得杨怡是小旦里比较漂亮的了——但始终感觉她缺少气场！气场，奇怪的东西。也是因为这部戏，才对林峰有好感。看看他们现在的样子，真的唏嘘。            
(4星)	 我当年最爱的TVB荧幕情侣。            
(NA)	 喜欢片尾曲            
(4星)	 其实叶璇演戏还是很好的，自己把前途糟蹋了。            
(5星)	 当时很沉迷的一部连续剧。一家人一起追vcd的日子啊！            
(4星)	 小璇子演得还是很不错的.林峰和马德钟的表演也很好.            
(5星)	 很喜欢~            
(3星)	 叶璇很适合演女扮男装的戏            
(4星)	 挺喜欢叶MM的            
(5星)	 心中永远的至爱。            
(5星)	 剧情不错，那时还觉得叶璇很漂亮很纯            
(4星)	 非常经典的古装喜剧,有一切TVB的成功元素!            
(3星)	 叶璇好看.            
(5星)	 从此喜欢上了林峰和叶璇。            
(5星)	 我支持璇峰～～            
(3星)	 那时候叶璇和林峰是官配啊？！            
(3星)	 30            
(3星)	 就是不喜欢叶璇            
(3星)	 凑合吧 喜欢叶璇            
(NA)	 从没见过一个女子的男装如此丰神俊朗，生生将里面的男角色的风采都压了下去，即使是峰少。。云海，再生，多希望是前生今世的缘            
(5星)	 tvb里难得的古装精致作品，林峰在里面太可爱了            
(3星)	 峰少一飞冲天之作……音乐不错。            
(5星)	 一群大爱们。            
(5星)	 峰璇才是王道！            
(4星)	 感觉阿峰傻傻的挺可爱            
(4星)	 叶璇少爷配~            
(4星)	 林峰！！！！！            
(4星)	 我喜欢这两个人。            
(NA)	 大爱……            
(5星)	 始終覺得林峰葉璇最相襯            
(3星)	 首歌好听！马德钟虽坏，但系我钟意！居然选林峰……            
(5星)	 真的很好看。。还买了专门的碟            
(4星)	 有点拖沓            
(4星)	 孟丽君，皇甫少华——绝配。            
(5星)	 非常喜欢！            
(5星)	 哈哈 当时疯狂追看这剧 璇的表演充满灵气 少爷帅的让人心疼. 很配 很轻松 很好            
(5星)	 经典~~~            
(4星)	 ~~四弟~~            
(5星)	 人生若只如初见，所有所有，缘起再生            
(5星)	 8.6            
(5星)	 最初就是被叶璇惊艳了，时隔多年最喜欢叶璇的角色还是孟丽君，没有之一。            
(4星)	 美好的东西只有一次，青春的叶璇，黑的林峰，哼~都TM不在了            
(5星)	 峰璇恋最棒的一部，难忘            
(4星)	 看过的，，，，虽然不太记得了            
(5星)	 爱叶璇 爱丽君 爱那首记得忘记            
(NA)	 没看完整。总之很爱皇甫少华            
(3星)	 看过几集～            
(NA)	 【好無聊的開始馬克看過的TBB】矮油這簡直裝著我全部的情懷啊            
(5星)	 孟丽君，你的黑炭头。。            
(4星)	 真的是我很心水的一部古装剧啊，我很喜欢叶璇演绎的孟丽君。            
(4星)	 当年很喜欢 后来发现再看看不下去- -让他活在记忆中吧            
(4星)	 两星给剧情，叶璇加一星，其他演员总体加一星。有戏剧性、男装有看头、三角关系很到位、有百合有基情，最后，我挺喜欢九王爷的（小众了囧）            
(4星)	 那年，惊艳于叶璇的男装和女装，少华的傻样也很可爱。总觉得两人的情侣档还是很不错的。原谅我陷入峰璇恋的漩涡中。            
(4星)	 局外人的局内爱情             
(5星)	 哈哈 叶璇林峰 初中的美好回忆~            
(5星)	 那会觉得叶璇和林峰超配啊，还有之前看的云海玉弓缘，哎。时光荏苒啊            
(4星)	 满好看的            
(5星)	 小时候每天中午守着南京卫视的回忆，主题曲陈慧琳的再生缘很棒            
(NA)	 那会儿觉得这对真般配            
(5星)	 就是因为这部剧喜欢上叶璇的            
(5星)	 很可爱的一对，叶璇演技很棒            
(5星)	 我的青春记忆由这部剧开始，很美好，即使物是人非            
(4星)	 聪慧过人的孟丽君，精明的铁穆耳，蠢笨的皇甫少华，打酱油的胡杏儿，孤寂美好的苏映雪。            
(4星)	 小时候很喜欢~总是夹着门缝偷看~~            
(2星)	 不好看            
(NA)	 被胡杏儿雷到之后就木有在看了            
(4星)	 不喜欢马德钟，但是那个时候的刘璇和林峰真的很好看~            
(5星)	 初中时的最爱啊 虽然剧情一如既往的狗血            
(4星)	 璇峰经典!            
(4星)	 看完开始追林峰            
(5星)	 当年出挑的三个小花旦...其实我还是最爱叶璇的            
(NA)	 林峰&amp;叶璇            
(4星)	 叶璇男装女装都很好看啊，当年最中意她和林峰搭档了            
(3星)	 林峰和叶璇            
(4星)	 緣分原來是這樣的。            
(4星)	 挺好看的。那两只鸳鸯很深得我心            
(5星)	 大爱叶璇啊            
(3星)	 喜欢林峰            
(NA)	 这剧里的林峰很出彩=-=还有片尾曲            
(5星)	 打算重温一遍            
(4星)	 当年疯狂迷叶璇！！！            
(2星)	 配角比较好看            
(4星)	 6点档的电视剧回忆~里面的歌仍然十分动人            
(5星)	 喜欢叶璇林峰组合！            
(4星)	 关汉卿你确定没穿越吗？？？但是能看到喜欢的女驸马故事被拍成这样，还是不错的，尤其叶璇，真漂亮。            
(5星)	 当时觉得这俩人简直绝配            
(4星)	 当年看了很喜欢~~~            
(4星)	 叶璇在tvb的佳作呀,当时杨怡还是个女222号呀.林峰好青涩            
(4星)	 我就喜欢女扮男装的戏哈哈            
(NA)	 真TM的温暖之作~~~~~~~~~~~            
(4星)	 一部虽无内涵，但却精雕细琢的港剧            
(4星)	 喜欢叶璇的男装造型，还有那句：船到桥头自然直。            
(5星)	 叶璇有此剧，足矣~            
(4星)	 小时候看的，最近又回顾了一下。叶璇的男装扮相真是英气十足啊太经典了            
(4星)	 好喜欢叶璇~(*^__^*)             
(5星)	 大爱啊~ 喜欢这样傻傻的皇甫少华~             
(5星)	 叶璇开山作            
(3星)	 皇甫少华，这名字印象太深了……叶璇和林峰也很配            
(4星)	 他们最好的时代，她不是混迹于大银幕的港女，他不是被过度开发再无惊艳角色的小生。他们那时候鲜活得让人炫目。            
(5星)	 天啊。。太经典了。。林峰叶璇杨怡胡杏儿，当年也许都算新人吧。。如今都算一姐一哥了。。            
(5星)	 林峰，叶璇还不错            
(NA)	 唉~~~一直纠结孟丽君肿么就是不喜欢那个皇帝呢？            
(3星)	 映雪~~那时候的杨怡            
(4星)	 收尾弱了。            
(3星)	 那时觉得林峰好黑啊，杨怡的古装扮相不错，叶璇饰演的孟丽君也不错            
(4星)	 印象深刻的孟丽君啊。            
(4星)	 本人认为tvb拍得最好的一部古装偶像剧 主角的颜都在最正的时候 峰璇经典难再现            
(4星)	 叶璇就孟丽君这个角色最深入人心。            
(4星)	 多年过去 物是人非。可能叶璇离开tvb是对的，不然和林峰一起由圆脸变锥子双人组 一个演三好 一个演深情佳公子吗？！当时连杨怡都略带清新。。            
(4星)	 不错不错            
(4星)	 从这里就看出叶璇的男装很惊艳，在后来的《天下第一》依然有这感觉。话说当年我一直觉得她和佘诗曼长得很像            
(4星)	 青涩自然最动人            
(4星)	 当时还蛮喜欢叶璇呢            
(5星)	 峯璇经典难再现！            
(4星)	 好听的主题曲,好看的叶璇.            
(5星)	 你在我记忆旅行，每步也惊心。跟你踏过许多足印，舍不得转身。指天发誓你我若有天可再生，祈求天意别要弄人。谁又会答应，再生不在爱别人。即使忘记，又何须记得........那年夏天，翠竹镇，一去不返。            
(3星)	 每天一集看的            
(5星)	 我峰璇啊，很幼齿很般配~那是惊为天人的还有少爷的歌声，那是一直纠结的是兜兜转转的不断错过~还好最后还是你们HE            
(NA)	 叶璇林峰时代，官配。虽然林峰不是很次那时觉得实在配不起英气勃发的叶璇。            
(4星)	 喜欢叶璇！            
(5星)	 叶璇和林峰!!            
(4星)	 剧情悱恻缠绵               
(NA)	 小学学琴的时候要偷偷看两眼的电视.. 第一次看到杨怡的剧.            
(5星)	 哎呀，当初好迷皇甫少华的嘞            
(3星)	 3颗星。唉。岁月是把手术刀，里面所有演员都今时不同往日啊，里里外外都不同了。            
(4星)	 当年心水的皇甫笨笨，再也寻不到了。林峰已经不是当年的林峰。            
(NA)	 剧情早就忘光了...纯粹是被林峰唱的片尾曲吸引过去的。            
(5星)	 看了又看            
(NA)	 感觉没有比叶璇再配林峰的人了！            
(3星)	 叶璇里面的男装挺好看的~~            
(5星)	 又看了一遍再生缘，原来已经过了十年。好风光、好配乐、好有趣的剧情，加上一班实力派及新生代的绿叶衬托，当时的峰璇各种美好，在我心里深深扎根了。其实他们跟我们一样渴望再合作，快合作吧！再现经典啊！            
(4星)	 胡杏儿那是就不讨喜！！！！            
(5星)	 这个奇女子演活了 还有那个黄埔笨笨 杨怡很美 刘玉翠很搞笑 马德钟很大气 总之是经典            
(NA)	 叶璇男装很好看            
(4星)	 林峰帅叻~            
(4星)	 坦白讲...主题曲占了很大一部分因素...            
(5星)	 多怀念。。那一年青涩的林峰和俏丽的叶璇。现在的林峰大气老成，叶璇明艳照人，但是又是用多少流泪的经历换来的            
(5星)	 很喜欢～ 风景如画，人如诗～            
(5星)	 很喜欢和喜欢的人一起旅行的感觉！！！            
(5星)	 啊啊，以前一直很迷啊。。。            
(4星)	 真的很喜欢林峯！            
(NA)	 现在一听起那首“记得忘记”，就好像回到了看这部电视的那个年纪~~皇甫少华真是温柔的男人~~从这部剧喜欢林峰~~我小时候的又一部回忆            
(4星)	 不管怎样，我还是喜欢林峰的歌            
(4星)	 初中看的时候 一心想男二铁穆耳跟孟丽君在一起            
(5星)	 大爱！！我喜欢孟丽君 还有他的哥哥            
(3星)	 总是觉得叶璇在努力地睁大眼睛。。。            
(NA)	 原来三弟是女子，那实在是太好了。            
(3星)	 TVB大腕当时都好小。。            
(4星)	 =  =我承认我小时候很蠢。现在也不聪明。            
(4星)	 皇甫笨笨真是可爱啊 他们俩刚好 电视就放完了 哎            
(5星)	 最爱少爷和叶璇的搭配            
(5星)	 暑假还要看！！！            
(5星)	 我觉得叶璇和林峰的扮相都是很好的 比大陆版的好很多            
(5星)	 旋峰一直是我脑海的经典            
(4星)	 当年最爱璇峰了            
(NA)	 林峰呀~~~~~            
(5星)	 林峰林峰林峰林峰林峰~~~~            
(5星)	 应该还是喜欢那个角色，当然，演员跟角色在外貌上起码是分不开的~            
(4星)	 上学时和我妈在电视上看的，还可以。            
(4星)	 想当年啊。。。现在看算是重温！            
(4星)	 当年迷得我啊            
(5星)	 林峯还是皇甫少华的好! 翻煲还是爱。            
(5星)	 我为你，能爱得比风沙更狠~            
(3星)	 爱情片看着累啊！！！            
(5星)	 看了这部电视剧后很喜欢叶璇和林峰喔~真的~很希望他们在一起~不过。。。。剧里叶璇办的孟丽君很有气质~林峰也憨厚得很迷人~还有他们之间一次次的错过也让人很揪心~是我看TVB里面最喜欢的古装剧~今年已经找不到了~现在都是些勾心斗角、后宫、商战之类的~腻死了~            
(4星)	 喜欢林峰啊～叶璇在里面还不错            
(4星)	 记得忘记            
(4星)	 很棒、无法磨灭的记忆            
(5星)	 经典中的经典！！峰璇由此而生，璇的男装扮相无人可比，少爷当时傻傻的样子颠覆了之前残暴的嬴政，精彩至极！！            
(5星)	 叶小璇~林峯~我特别喜欢你们啊~依旧喜欢峯少爷的歌~《记得忘记》~            
(4星)	 原来很早以前就看过林峰了，只是一直无察觉            
(3星)	 话说，那时候林峰还真是黑啊，呵呵，不过很帅！            
(5星)	 不会忘记            
(4星)	 貌似从这部开始喜欢林峰。            
(4星)	 喜欢叶璇版的孟丽君            
(5星)	 大爱主题曲哦            
(4星)	 峰璇最完美的一次合作吧  留恋            
(5星)	 那时不顾午夜眼皮子打架看得好high。            
(4星)	 看到有一句评语，觉得无比合适：现在的林峰已经没有办法演那么憨厚老实的角色了            
(4星)	 当时很喜欢林峰和叶璇的配对，喜欢叶璇的男装扮相。            
(5星)	 认识峰璇的开始，想回到过去。            
(4星)	 还是刚出道的林峰可爱～            
(5星)	 111            
(4星)	 让我爱上阿峯的剧 片头陈慧琳 片尾阿峯 都好听 把片尾当闹铃全宿舍没人起得来 都在享受阿峯的声音            
(4星)	 因为这部剧对叶璇萌生好感。喜欢孟丽君这样的女子，也喜欢少华和丽君这一对，青葱的岁月真是无限美好啊。            
(5星)	 为什么 林峰没有和叶璇在一起呢？            
(4星)	 哎呀没想到你还看过这个！我当时也非常喜欢黑小子啊！            
(4星)	 为了孟丽君和皇甫少华，我都急得不行了当时。            
(5星)	 感人的故事，林峰和叶璇还是十分相配的            
(4星)	 像初恋，那种感觉无法重复，也无法诉说，只是一个人的经历，一个人的过去~~            
(5星)	 以前老喜欢了            
(4星)	 这部片谁也没记住，后来才知道原来这是林锋这是叶璇             
(5星)	 我是峰璇控啦~~~~这部戏剧情轻松温暖，歌曲很好听呀！《再生花》《记得忘记》            
(4星)	 峰璇恋!!            
(4星)	 叶璇在TVB时的经典代表作，只可惜现在再也看不到峰璇组合了！偶觉得他们最有火花了！            
(5星)	 补习峯峯电视剧的第一部,好憨厚的皇甫少华            
(5星)	 励志！！            
(3星)	 叶璇很美。            
(NA)	 看过的TVB还少吗。。。            
(5星)	 峯璇外，小荣哥和映雪也甚萌~            
(3星)	 喜欢这个故事。            
(5星)	 good            
(4星)	 太经典了，无论是主题曲还是片尾曲都好好听            
(4星)	 叶璇好靓            
(4星)	 当时真觉得好看啊            
(3星)	 很喜歡的這部的，前面的時候好精彩的，後面的就有點拖沓了。那時候好喜歡他倆的搭檔的            
(5星)	 啊呀呀呀呀呀呀呀            
(5星)	 笨笨非常笨，丽君啊。。。秒杀。可爱的笨笨.鬼精的丽君.诶呀...笨笨.黑黑的外表下一颗纯善滴心...            
(5星)	 好看            
(2星)	 完全没感 不晓得为么，高中时候看过几集还蛮喜欢的            
(5星)	 荧屏情侣。。。            
(5星)	 当年捏个好看呀            
(4星)	 一直以为叫《孟丽君》。            
(NA)	 初中很喜欢的电视剧。印象深刻。            
(4星)	 我记得当时看得时候是叫做孟丽君传奇，不过确实很好看，我挺喜欢里面三个人的关系变化，尤其是叶璇，实在是演的好。            
(4星)	 主题曲很赞            
(5星)	 叶璇在这里多好            
(5星)	 突然想起来的。。。。 觉得这部很好看囧。。。。。。为什么为什么为什么 囧。。。            
(4星)	 重新看了一遍，那时候的林峰多美好~            
(4星)	 戏剧改编，还可以！            
(5星)	 少爷叶璇的超级经典&gt;&lt;            
(5星)	 还是觉得他们最般配            
(5星)	 重温完毕！峰璇经典难再现。            
(4星)	 元代的本子，呵呵            
(5星)	 璇美人啊！当年至少看了8遍。连台词都可以背得下来。为了这个还看了陈端生写的【再生缘】，其实才发现根本不是这么一回事儿。我想说的是，港版的改编得好！@Home            
(4星)	 和峰少搭档，果然还是叶璇最佳！            
(5星)	 一晃已近十年            
(4星)	 是，孟丽君就是我，但你皇甫少华已另娶他人，我是何人又有什么分别？            
(4星)	 当初我还说皇甫少华怎么那么黑，我爹说你要有孟丽君那么聪明就好了。。            
(NA)	 michelle啊...            
(5星)	 大爱林峰            
(5星)	 当时超迷皇甫笨笨，嘻嘻            
(4星)	 爱上杨怡的原因~话说为嘛我从米有喜欢过叶璇捏……            
(5星)	 峰璇            
(3星)	 看。叶璇另一部叫什么剑的吧，也好看。            
(4星)	 当年是多迷叶璇的男装和林峰的配对啊            
(5星)	 其实叶璇头真的很大!            
(3星)	 一看就喜欢上林峰了~            
(4星)	 情情爱爱  悲悲切切 有情人 真的是，，，唉            
(5星)	 峰璇恋~~经典的孟丽君~~其实，这里面杨怡也还不错，名字很好听——“映雪”~~            
(5星)	 当年跟YYC八的。。。个性的丽君。。。            
(5星)	 亲情、友情、爱情的相互交融，怎可忘记那一缕温暖的青春余晖？            
(3星)	 挺经典的，一直错过，错过，错过。。。。。马国明那时还是一个小角色~~            
(5星)	 近年来TVB的编剧愈来愈趋向NC发展，回过头，再生缘却再也未见了。            
(5星)	 再生花            
(4星)	 叶璇的古装扮相真是没的说            
(4星)	 叶璇很帅气            
(5星)	 当时因为这部剧我很喜欢叶璇            
(5星)	 绝配 叶璇男装比女装抢眼- -            
(5星)	 很喜欢里面的璇峰            
(NA)	 哎。。又是很多年了            
(4星)	 好看！            
(4星)	 林峰 叶璇 曾经的喜欢            
(3星)	 只记得歌非常好听~            
(4星)	 聪明的女子向为吾所欣赏            
(5星)	 最爱叶璇这部戏            
(3星)	 我可不是为了看男女猪的。更加不是那个女配。            
(5星)	 我最爱的一部戏之一            
(4星)	 记得忘记            
(3星)	 适合初中生的港剧            
(4星)	 叶璇的男装扮相挺好看            
(5星)	 小璇子小璇子            
(4星)	 当年那个乡土气息浓郁质朴的林峰比较得我心呀，彼时的他只是个演员，现如今已是偶像了。当年的杨怡也是惊艳            
(3星)	 很喜欢叶璇，虽说她现在离开TVB了。。。            
(5星)	 无敌喜欢这部剧啦~~~            
(5星)	 一直觉得林峰和叶璇挺搭。            
(NA)	 好看            
(NA)	 我爱孟丽君啊啊啊啊啊....叶璇好漂亮啊啊啊啊啊...            
(5星)	 都是我最爱的演员~喜欢孟丽君的聪明和少华的专一            
(5星)	 绝对的经典片。看完后直接去图书馆借来原著元曲重温。            
(5星)	 那首主题曲，也很好听            
(5星)	 叶璇搭林峰很赞的！            
(4星)	 个人觉得还是很经典的            
(2星)	 为什么这部人人都觉得很经典的片子我就是不喜欢？！对叶璇非常不感冒。歌倒是很好听！            
(4星)	 这名字怎么就叫再生缘？好吧...我在电视上看的，叫新孟丽君什么的...            
(NA)	 我超级爱峰少的~反复看了几遍这部剧了~虽然不短~但是好好看啊~            
(NA)	 皇甫少华 赞            
(NA)	 TvT            
(5星)	 我心中的经典！杨怡，林峰，叶璇，马国明，从那个时候开始慢慢影响了一批人。            
(NA)	 船到桥头自然直 车到山前必有路            
(5星)	 其实很不错啊~喜欢~            
(5星)	 你在我记忆旅行，每步也惊心；跟你踏过许多足印，舍不得转身。            
(5星)	 喜欢丽君，喜欢少华。皇甫少华的憨厚可爱，真好。            
(4星)	 完全冲着皇甫笨笨啊 &gt;/////////&lt;            
(NA)	 那时候叶小姐还是叶小姐，现在太老了            
(5星)	 主角都是我喜欢的            
(5星)	 很多人都是从这部剧开始觉得峰璇绝配的吧。那时候他们青涩，但是很美好。            
(4星)	 感觉这里叶璇的扮相不够惊艳，还不如杨怡呢。            
(5星)	 爱死。最喜欢的港剧。            
(5星)	 好聪慧的女子，峰璇~其实老马也不错            
(5星)	 最喜欢的TVB电视剧，好好看，想起了考初中的过去。            
(NA)	 我承认我无聊            
(NA)	 记得那时候开始反感叶璇了。            
(4星)	 莫家尧太抢镜了- -林峰还是圆脸好看            
(3星)	 竟然看了N遍= =             
(5星)	 孟丽君孟丽君皇甫少华            
(4星)	 超级喜欢片头曲            
(3星)	 林峯演的很质朴，叶璇演得过于夸张，马德钟就不评价了，一向没什么演技，倒是杨怡，很惊艳~~~            
(NA)	 because i see 杨怡在教育台看的记不大清了            
(5星)	 最喜欢的港剧之一，当初叶璇当女主，胡杏儿当配角多好！            
(4星)	 大一在长安校区，和舍友围着只能收到西安台的袖珍电视机，一群人，油泼炸酱面，花生米，乐不思蜀。当时觉得叶璇好美，林峰好帅，真是才子佳人。记忆，又回来了。            
(4星)	 我喜欢叶璇的男装            
(5星)	 小璇子和少爷的经典之作啊！            
(5星)	 林峰还是黑黑的更好看。。。马国明打了多少年酱油。。。叶璇的男装扮相相当惊艳！只有胡囧囧。。。一如既往的。。。            
(5星)	 难得的经典            
(4星)	 温习完毕~  呵呵~            
(5星)	 因为林峰重看此片 当年爱的是叶璇            
(NA)	 就记得宣萱            
(5星)	 没有对TVB的剧给过五星，这部例外。很久之前看的剧，现在依然喜欢。            
(5星)	 好喜欢叶璇。            
(5星)	 看千百遍也不腻            
(2星)	 曾经喜欢，但不是我现在喜欢的阵容            
(NA)	 这好像是古时一个女人写的故事吧            
(4星)	 喜欢TVB的古装戏，真的有古代的感觉，不管是色调、色彩还是氛围，虽然略显粗糙，但是总的来说意境足够~叶璇的孟丽君真的很赞，男装英气，女装漂亮~            
(3星)	 话说，我初中的时候真有空啊，晚晚追TVB。            
(5星)	 暑假看完，系学校食堂听到那首再生花，感慨万千            
(5星)	 记得当时还年少~~            
(5星)	 叶璇 林峰，心中永远的partner            
(4星)	 这里面的叶璇不知道是造型的原因还是什么，我第一次看的时候，总觉得叶璇是男扮女装……（当时不认识叶）            
(4星)	      看过四遍，经笑不衰，个人认为是叶旋在TVB唯一有演技的一部戏。就是结尾匆匆收场，感觉那个时期TVB大部分戏都逃脱不了这种宿命，给人虎头蛇尾的感觉，总在结尾的那时候令人惋惜少了什么。ANYWAY很好的一部剧，故事情节引人入胜，所有的演员都很出彩，可圈可点，中意得不得了。            
(4星)	 从这部剧喜欢上林峰和叶璇            
(5星)	 男装叶璇！！！            
(4星)	 就是一连串的误会和错过啊~~还好还好~最后在一起了~~峰璇很配啊~~~            
(3星)	 匆匆看了林峰剪辑版，呵呵~            
(5星)	 峯少那個時候看起來憨憨滴，O(∩_∩)O哈哈~            
(4星)	 杨怡比叶璇漂亮多了!            
(5星)	 剧情基本上还是TVB的老套路，虎头蛇尾，处处巧合，最后皆大欢喜。5颗星全给叶璇。男装扮相真称得上是丰神俊朗，把男子的英气和小女子的娇态都演绎得很到位。戏外所做的事也堪称有头脑，有见识，有勇气和有恒心。            
(4星)	 喜欢叶璇~            
(4星)	 我家林峰…………            
