http://movie.douban.com/subject/4317614/	脱狱之王 第一季 Breakout Kings
(3星)	 有点鸡肋了。还在追纯粹是为了有始有终。磨磨唧唧的终于看完了。。现在已经想不起来内容了其实。            
(2星)	 每一集都是断断续续的看。若非都暂停更新，根本不想去看。            
(3星)	 也就还行 每集都是差不多的路数 看完大概是因为没剧看+没有特别恶心的地方  lloyd &amp; julian 还行啦            
(3星)	 尽管两个女主角都很挺养眼，但逃狱的二逼逃出来以后竟然个个高调地兴风作浪，连大名鼎鼎的T—bag也被降低不少智商，白跟michael混了，纯粹当观众白痴啊，哪个逃犯会这么SB逃了出来高调杀人甚至搞恐怖袭击的            
(4星)	 终于等到一个首集还不错的新剧了~            
(2星)	 毫无新意            
(3星)	 美女姐姐怎么一集就被换走了？            
(3星)	 前神童对女警说的关于心理医生和公园的那段话很感人。            
(1星)	 1集就弃了。            
(3星)	 真不喜欢看傻逼装逼假牛逼            
(2星)	 看了一集，有点乱，很一般的片子，与越狱相比差了很多。            
(3星)	 还行，估计被砍了。。。            
(NA)	 一般般            
(NA)	 还是走不出俗套啊            
(4星)	 每集看犯人们怎样奇思妙想越狱是关键啊。另外发现总是最书呆子，最博学，醉话唠的那个最可爱，这里是博士，犯罪心理里还是博士。第二季快来啊！等不及！！T-BAG，一如既往的又威又帅又凶残啊。            
(3星)	 还行嘛  没那么差 有看到了T-bag~  这部的亮点都在lloyd            
(2星)	 垃圾,除了第三集t-bag亮点外,其它可以无视.估计出不了第二季了吧...            
(4星)	 我挺喜欢的，哈哈·····            
(NA)	 我就是喜欢书呆子            
(NA)	 额 一般            
(5星)	 是一部好美剧 真的            
(3星)	 明知道没意思，还是不可思议的看完了。            
(5星)	 非常有爱啊，很好很欢乐，另一部能让俺爸念念不忘的片子            
(3星)	 还行。            
(1星)	 偶然看了一集脱狱之王~ 第一季第6。钉子户暴力抵抗被抓了，暴力越狱了，报复联邦~炸了个邮局~然后一帮五毛党（电视剧主角）用烫鸡鸡的方式、各种流氓方式，找到了他同伙，其中有个五毛党妻子差点被炸死，最终，抓到了犯罪分子。            
(4星)	 喜欢那个神经质的诈骗犯……            
(5星)	 不错            
(2星)	None
(3星)	 明显档次不够高            
(2星)	 越看越无趣            
(4星)	 平时看看挺好的 期待下一季            
(NA)	 还是挺欢快的片子            
(4星)	 太扯了            
(3星)	 不给力 最让我闹心的就是T-BAG你跟着凑什么热闹！！砸这烂剧里了            
(3星)	 T-Bag！！！美女犯人！！！！            
(4星)	 还行，开头不错            
(NA)	 只看了第一集~~~            
(4星)	 会看见很多熟悉的人            
(1星)	 吐了~            
(3星)	 还不错,比很多美剧都耐看.一季完整的看完.            
(5星)	 LIoyd是奇葩啊，他的台词绝对都是别人的一倍了碎碎念念念            
(3星)	 其实至少还是三星的。今天看了第八集，结尾的人性化让我来打打星。那里看出主创人员的用心用情了。            
(3星)	 我就看了下第三集，懂的呀            
(5星)	 lloyd大爱！！！！！！            
(2星)	 算了，不补了            
(NA)	None
(4星)	 加里森敢死队+犯罪心理。不过还是有看点的。            
(5星)	 四颗星是给ted女朋友的            
(3星)	 像tbag这样的好演员~唉 第三集故事设定还不错 就是拍得太烂 节奏没把握好 语言也不行             
(3星)	 其实挺无聊的，我也不知道怎么就看了好多集。。。            
(3星)	 no highlights            
(4星)	 很不错的剧情            
(4星)	 其实我挺喜欢第一集的女骗子…            
(3星)	 还行，就是没什么连贯性            
(3星)	 感觉根本就是破案片啊!被这个绰头唬到了!不过不失没什么特别的惊喜 也不是有很烂的桥段            
(3星)	 一集一个故事。每最后都抓到。没什么意思，想起小时候的动画片。            
(4星)	None
(3星)	 女主角很好看~            
(4星)	 挺好            
(NA)	 无爱            
(4星)	 为神马我看到T叔出现的时候，居然想撒花呢…… 我在怀念看越狱的大学时光。            
(3星)	 三集 弃 本就是冲着Tbag看的 他戏份结束 这部剧对我而言也就结束了            
(3星)	 也就最后一集有看头            
(3星)	 没啥意思 = =第六话弃            
(5星)	 追剧中 赶紧第二季啦            
(3星)	 刚看的时候觉得还蛮特别的，看完一季就觉得太够了            
(3星)	 一般般，跟《prison break》不是一个档次的片子。            
(3星)	 越看越不好看。。。            
(4星)	 虽然不像其它犯罪剧一样逻辑严密节奏紧张，但意外的有真实感，人设性格特技也非常合理，慢慢看下去会上瘾。             
(3星)	 我冲着T-Bag去的。            
(3星)	 刻画每个人的不堪过往，太刻意。。。            
(3星)	 剧情还是不够严谨，看着娱乐一下吧。            
(4星)	 是我的笑点，反正……            
(1星)	 看完第三集果断放弃吧！别再浪费时间啦！            
(2星)	 看了5集。。没看下去。。            
(4星)	 ★★★★☆ 不错            
(3星)	 看第三集开始的时候还以为我穿越回看越狱的日子。但是实在不能用心去看，所以打算看完已经下载的部分就弃吧，节省我的流量费            
(3星)	 T-bag被这部戏毁了。第一集很棒，到后面越来越有点掉味            
(3星)	 比预想得要低很多。。。 不过后面看下去也还成吧 既然看着也就看着吧            
(NA)	 我看见了T-BAG、！！！            
(3星)	 一部相当一般的剧竟然坚持看完了。（T-bag是亮点，T-bag无处不在啊，竟然还跟PB联系起来了，真不愧是相同的制片人）            
(3星)	 谁说它像leverage?!打发时间用的 PS:T爷威武~            
(4星)	 那个女猪脚啊，我最爱的暴力美。            
(3星)	 因为T-bag            
(2星)	 里面人物的个人魅力实在是很一般。。。女主好一点            
(4星)	 情节元素是追踪与妙警贼探的结合...第三集有万恶的T-bag，居然还是延续越狱的变态模式...13            
(3星)	 13            
(4星)	 冲着t-bag去看的 不过后面越看越好看            
(4星)	 主要乐趣在看犯人如何越狱.....那方法，都好有才。抓捕的过程显得比较弱了            
(4星)	 还行。夏威夷特勤第一季完了之后就靠它打发时间了。            
(NA)	 Lloyd忒可爱了            
(3星)	 设定倒是蛮新颖的 不过所以说所有牛逼的家伙都被关在监狱里面外头没人才了么。。各种越狱的不低调点逃出来就杀人。。这剧硬伤太大啊 不过感觉40min里面剧情设定的特紧凑 倒不会看着无聊 OK 看完觉得警察所谓的we&#39;ll protect u 根本就是bullshit！            
(2星)	 赶紧砍了            
(3星)	 e。。。。觉得有些简陋            
(3星)	 这部剧情和越狱第一季比起来缺乏明显的连贯性和剧情冲突，只能说如果真是每周看一集的话，也就这样吧            
(3星)	 Lloyd太有“那一挂”的潜力了 前提是他减肥的话            
(3星)	 看到t-bag才发现这剧原来是pb的编剧搞的……哥你到底是坐了多久的牢底，莫非发誓要把美国所有监狱都break一下？剧情一般，人物出彩的就是小社交恐惧姑娘和话痨的分析男。黑人兄弟你到底是要有多配角……陪衬也得有个限度= =#不知道A&amp;E能挺多久，啧啧。            
(1星)	 看了三集 感觉很差 宣传噱头大 剧情人物雨点小            
(4星)	 强壮的老美 火辣的靓女 阴暗的犯罪 标准美剧啊            
(4星)	 噱头不小，连追5集，发现剧集并没有那么紧凑            
(4星)	 挺cool的！            
(3星)	 一季看完就算了            
(2星)	 是该被砍。。。            
(3星)	 没玩没了……PB我能看到第四季我已经很佩服自己了             
(4星)	 喜欢第一集里的那个女的~~片头风格帅气，特别是门关上的那个idea            
(2星)	 观影疲惫了            
(4星)	 第九集看到主妇里的苏珊前夫，减脂塑形挺成功啊2011.6.10-13(本季完)            
(3星)	 比较轻松的越狱，Lloyd很有意思            
(1星)	 片子情节不吸引人，主角们都长的很难看。            
(3星)	 我觉得看这部美剧可以这样看：完完整整把第一集看完，后面的十二集只看前面是如何越狱的那几分钟就可以了~            
(2星)	 看了一集就没兴趣追下去了，感觉剧情蛮老套的，有个罪犯越狱了，然后组队把他抓回来在关进去吃牢饭，唯一的新意也就是找来几个罪犯作帮手，来抓另外的罪犯，追捕过程算是本剧高潮，警察和罪犯间的猜忌、种种不信任、罪犯帮手种种超人本领展现...看多了也就腻了，不看多也有可能腻了，挺无聊的            
(3星)	 刚开始看着还有点意思，越看越乏味，那医生真的很烦人。            
(4星)	 越狱式电视剧，虽说不怎么剧情控，但是里面的人物设定还是有一定的亮点，这套剧浅浅的把每一个人塑造出来，缺刻意抹掉痕迹，一两个镜头，足矣，我比较喜欢那个博士，天才型人物-。-            
(3星)	 里面有T-Bag             
(NA)	 Brooke Nevin很漂亮            
(NA)	 被砍了么……            
(4星)	 很欢乐的犯越狱故事。貌似美国越狱很神奇啊。。。            
(4星)	 太好看了好吗！！！            
(4星)	 不愠不火            
(3星)	 只是看到T-BAG内牛了一下。            
(4星)	 第三集有T-bag让我小激动了一下~            
(3星)	 这个还是同学推荐的  呵呵   说什么越狱后续  哈哈    不过tbag真的还是那么不错哦  哈哈   最喜欢那个天才    很牛叉 有福尔摩斯的感觉～～            
(3星)	 最后一集不错            
(3星)	 看了4集就坚持不下去了……            
(2星)	 看不下去了。            
(3星)	 鸡肋            
(3星)	 很一般，不够吸引人。怪不得FOX放弃了！            
(3星)	 第三季T-bag出镜还行，其它就不值得看。            
(4星)	 三星半            
(NA)	 大杂烩，不乏亮点，希望接下来的剧情给力些            
(3星)	 因为越狱而想看~我为什么会这样？看越狱的时候希望越狱的人不被抓，看这个的时候希望越狱的人被抓 晕从来没想过T-bag这么爱他妈。。。肿么可能捏？看完之后的感想：要是下一季还是这样一集一个案子我就不看了，没有一个有天赋的越狱犯。。。没意思            
(3星)	 每集都没有半点高潮，剧情有明显的低智漏洞看起来很累。结束得忒着急。每个人脱狱的手法倒是挺好玩。看过英雄后对T-bag的认识只是个烂演员而已。再看看说不定后面会不错。            
(5星)	 我只是在怀念越狱而已 真的             
(3星)	 一般化，流水线作品，结局也算烂到家了            
(3星)	 就看了第一集和第三集，为了t-bag~有点无聊的电视剧            
(NA)	 诶诶 准备弃了 剧情一般 又没有什么惊险的动作 人物性格不突出 估计会给砍掉            
(3星)	 越狱+猫鼠游戏，第三集的T-Bag是亮点啊，激动啊；JimmiSimpson 也是惊喜啊，很值得期待            
(4星)	 还算可以            
(4星)	 这么多人都说给力的？他们没看过都市侠盗吧？？？！？！！！！！！@@！！！！！！！！！！！！！            
(NA)	 听说八九成的观众都是冲T-Bag来的，围观编剧技穷。            
(3星)	 冲着 T-Bag 看的这 还行啦             
(3星)	 又不更新了            
(3星)	 越来越无亮点。            
(3星)	 T bag回归！没看完            
(2星)	 两个警察太不讨喜 剧情越看越无趣 弃之            
(4星)	 等第2季等的老纸心都凉了。。。。            
(3星)	 里面还有个自称是法西斯主义者的心理分析师！？            
(3星)	 没有连续性，，，感觉没每集结束的都很匆忙。。            
(3星)	 虽然有些时候很牵强，不过还是不错的            
(3星)	 第三集看到T-Bag我就激动了！四集弃。            
(3星)	 凑合吧。。。两女的还挺有味的            
(5星)	 各种越狱方法，人才济济呀。看到第三集开始T-bag出场时以为自己下载错误链接，把越狱下载了呢。            
(NA)	 第二集一上来就换女人。估计一季结了            
(2星)	 去屎吧活该被fox抛弃！            
(3星)	 一般般            
(4星)	 前面总体比较一般 后面有几集还是比较出彩的。。。而且不完全只是越狱的小故事 还有一些较深层次滴东西。。不过片中人物都没什么讨喜的个性啊 除了jules很漂亮。。            
(3星)	 T-BAG那集太掉水准了 弃之= =            
(2星)	 越来越没劲了~~~~~~            
(4星)	 稀饭Lloyd，最爱美剧里这些智商超高的怪物。第三集，T-Bag出现了，还是老样子。            
(2星)	 证明Fox在选择剧本方面还是跟明智的，弃之有理。            
(3星)	 so far so good            
(3星)	 02            
(5星)	 原来脱狱之王几分钟的时间就把越狱的几季给放完了，人家用的只是几块车牌，ugh            
(4星)	 貌似和White Collar雷同            
(3星)	 最喜欢的还是教授 当然两个美女还是很养眼的            
(3星)	 一般            
(3星)	 第一集还不错，第二集看着就毫无新意了。            
(4星)	 赶了了一晚上终于看完了。。。。该睡觉了            
(3星)	 当时看介绍有T-BAG就追了下，现在T-BAG大神出来过了也就弃了吧            
(1星)	 本来看见Tbag还激动了一下，结果被结尾毁了！            
(2星)	 And my point is that children have a hard time delaying gratification.            
(NA)	 我弃了...            
(3星)	 不想看了            
(4星)	 还蛮好看的，里面天才神童好欢乐，爱死那个女的了，我总觉得她像mila，好喜欢这一型的            
(4星)	 第一集水准还不错            
(3星)	 看好Lloyd这神叨男和Julianne在一起,虽然希望渺茫.每位人物设定都是一个不稳定因素,看点满大的,两位女主很漂亮.            
(2星)	 无感~ 弃!            
(4星)	 越獄的製片人打造的又一部跟犯人有關的美劇 看了覺得還不錯 美國收視貌似也不 錯 第一季結束了 不曉得還有沒有第二季            
(4星)	 兔年追得第一部剧~~            
(3星)	 弃了。没亮点啊==            
(2星)	 没啥感觉，看了前面几集没啥兴趣了！            
(3星)	 为了一集TBAG 我白白看了一季。。。。            
(4星)	 第三集里有茶包叔，而且演的还是茶包叔，哈哈哈哈            
(2星)	 没有出彩的地方，除了那个小白脸，此剧肯定走不了多远。弃。            
(3星)	 第一集真心感觉有好看，不过后面....剧情开始不给力了，内容上也觉得比不上同类剧情。只不过是换了一身囚犯皮的探员们，只不过这次光头儿多了点。摆个噱头而已，白瞎了我第一集那么看好它。欸....            
(3星)	 快被砍吧。。。有S2我也不追了。。            
(3星)	 有时候有些越狱实在太牵强了,本季就拍了13集，估计会被砍档，如果那集没有T-bag的客串我还真不会看            
(4星)	 第一季只有13集啊～～哎～～            
(3星)	 大失所望。            
