http://movie.douban.com/subject/2303259/	天外飞仙
(3星)	 MS还是唐人的吧~初高中时期爱过那么一阵子~            
(NA)	 好呆的……………………            
(4星)	 小时候爱看的脑残剧            
(NA)	 【2006-08-04】            
(4星)	 想当年我才五年级...            
(4星)	 主题歌太好听了            
(3星)	 编剧烂死了。            
(4星)	   拍得很美            
(4星)	 只看韩雪窦智孔那对 别的全部忽略 香雪海             
(3星)	 - -在电视上看过几集。不过没什么意思。。。            
(3星)	 电视台刚播放那会儿挺迷这个的……青葱岁月啊，，，            
(4星)	 林依晨和胡歌这个配对很赞哦            
(NA)	 中国的古装奇幻片就没有几个不雷的             
(NA)	 胡歌还是在仙剑里演的比较好            
(4星)	 高中时候看哒。=v=            
(4星)	 这个歌 是我们家SHE 唱的。            
(NA)	 我看的是女三号和男二号            
(3星)	 那个怪异的唯美的色调            
(4星)	 当年看的时候角得好好看！！            
(NA)	 OH林依晨 胡歌。。好二啊            
(3星)	 必然是看不全的，香雪海也必然是不能错过的，明早就放OST怀念一下。            
(3星)	 没看完。            
(3星)	 当时怎么这么讨厌林依晨呢。胡歌也傻的不行。            
(4星)	 每次看到胡歌，第一个想到的就是林依晨又甜又糯的那一声地瓜。。。            
(4星)	 ～～            
(1星)	 能不能给负的            
(2星)	 讨厌主演            
(4星)	 为啥俺真的觉得感动啊。。。。            
(4星)	 挺喜欢的~就是结局难过了点            
(4星)	 那会挺感动我的~~~            
(3星)	 哦，原来我还看过林依晨别的剧！            
(NA)	 小月曾经超级喜欢的一部电视剧。而且当时看到红薯就一定要叫地瓜。            
(5星)	 林依晨，我喜欢~            
(4星)	 最喜欢的是韩雪的角色            
(NA)	 瞄了几眼，插曲还行，古灵精怪            
(4星)	 超爱原声带            
(NA)	 很久以前……不喜欢林            
(4星)	 傻傻的胡歌和林依晨            
(3星)	 不能较真            
(2星)	 烂 看到胡歌就烦            
(2星)	 胡歌你这是为哪般？            
(4星)	 林依晨真是演的非常好 又可爱又机灵 让人又爱又恨的            
(4星)	 初中时候看的，当时被感动的一塌糊涂。            
(3星)	 只能算一般。            
(4星)	 胡歌胡歌！！            
(NA)	 算看过            
(5星)	 两位主角的演技一流..            
(NA)	 一眼万年             
(3星)	 有时是小感动，有时剧情扯得离谱简直看不下去。            
(4星)	 他们为什么不能在一起？为什么！            
(4星)	 o(∩_∩)o...            
(3星)	 真是要命  当时就是喜欢看            
(2星)	 林依晨做作死了            
(5星)	 地瓜和小七好一直好好的            
(4星)	 地瓜地瓜。。。            
(4星)	 还行            
(4星)	 歌好听~            
(2星)	 断断续续看过一点。            
(3星)	 前紧后松终于磨到40集……            
(4星)	 但一種風格 很好 林依晨是個神奇的女孩子            
(1星)	 太拖了            
(3星)	 天外飞仙             
(NA)	 老喜欢看            
(NA)	 地瓜的发型确实瓜 ~            
(3星)	 哇哦 今天七夕呀            
(4星)	 小7            
(3星)	 只能看一遍            
(4星)	 可爱的小七和地瓜~            
(NA)	 自己看吧，那段时间超爱看，真的恨好看，很感人            
(NA)	 林依晨最好看的一部古装            
(3星)	 到后面蛮感人的            
(4星)	 我是真的挺喜欢胡歌的= =            
(4星)	 喜欢的人，喜欢的故事            
(NA)	 挺喜欢的            
(4星)	 超爱地瓜和小七~！            
(4星)	 胡大叔，你的痘印太= =            
(4星)	 那音乐、那人物、那风景，我还记得，一眼万年~~韩雪大美女好养眼。            
(4星)	 哎 初中的时候天天回家不写作业就为了看这电视剧            
(NA)	 依晨！！这部好好看！！            
(5星)	 必须推荐            
(4星)	 不为这出戏，为的是当初看的时候的那段感情            
(4星)	 最近在成堆地看依晨的戏，才想起来最早看的是这部。当年还觉得她怎么那么胖那么难看= =最早是冲着仙剑遗留下来的唯美风和胡歌去看的            
(3星)	 好吧。。。其实如果说这不是七仙女和董永的故事而是其他的什么神话的话，那么真的很好看的呢~~~~有我很喜欢的林依晨和郭妃丽以及谢君豪！！            
(NA)	 真是疯了，最近居然大伙在一起看这种电视剧。。。。            
(4星)	 不记得内容了，但是印象不错！            
(3星)	 觉得还是地瓜和小七之间的感情感人。。这部戏初见林依晨啊。。。            
(4星)	 美好的童年回忆。记着是看完仙剑以后特意租的，现在觉得磨叽的剧情当初乐此不疲。            
(4星)	 当时超喜欢            
(5星)	 我是两大主角的nc粉。。。            
(4星)	 我看的时候把女主恨屎了= =            
(5星)	 快过年了看了让我那么伤心，这电视太邪恶了，还是前几集好，小七笑起来好甜啊。            
(5星)	 这个更恐怖我看过50多遍！！            
(4星)	 那个时候偷偷看啊！！！！！那个时候看了一直哭啊啊啊啊！！！！那个时候抄了很多歌词啊！！！什么天亮之后，什么千年泪，边抄边哭啊！！！！我竟然还记得。。。。            
(4星)	 就爱林依晨！！！            
(4星)	 不记得看没看完 但记得当时看小七爱的哭的稀里哗啦的             
(4星)	 有爱啊 真的很有爱啊            
(4星)	 可爱版的七仙女            
(4星)	 胡歌发型真不好看==香雪海美死鸟==谢叔依旧那么范儿~！            
(3星)	None
(5星)	 很温暖            
(5星)	 ~~~~(&gt;_&lt;)~~~~ 、            
(4星)	 好吧 我觉得挺经典的 看了3 4 遍 了            
(3星)	 小七和朴地瓜            
(4星)	 其实胡歌还是演古装更好            
(5星)	 很好看的，两个我喜欢的主角            
(3星)	 本来不想看的，因为剧情改得和原本神话几无关联，可是偶然看了却觉不错。林依晨，TAE，陈秀丽，谢君豪。不喜欢上官浩棋，吕一扮相太差            
(5星)	 感人            
(2星)	 啊呸。。            
(4星)	 当年相当的稀饭香雪海~~~~            
(3星)	 早已不是七仙女与董永的故事了，但听到小七叫“地瓜”时，总是会有甜蜜的感觉溢出            
(3星)	 地瓜            
(5星)	 喜欢演员最喜欢配乐 剧情有点NC我好歹也loli一回 香雪海太美            
(5星)	 胡歌好帅啊。。            
(4星)	 其实是被香雪海和上官皓琪感动到了！            
(3星)	 林依晨有趣            
(4星)	 很喜欢            
(NA)	 当年我还买的原声带来着            
(4星)	 最喜欢一眼万年和千年泪            
(2星)	 林依晨你个包子脸和胡歌个歪嘴男不是重点好么！！！我喜欢吕一和上官好么！！！            
(3星)	 一看开头就知道是悲剧结局~            
(5星)	 时间不在，但我还在这等你。。。谁跟我提这是白痴的电视，我跟谁急。。            
(4星)	 剧情忘的差不多了，但音乐一直记得。还有那一声地瓜            
(2星)	 无聊脑残剧            
(3星)	 好吧，偶尔也有烂片时。            
(3星)	 小七太难看了            
(3星)	 原声超棒，每一首都会唱。胡歌的天亮以后，月光太爱呀            
(4星)	 客栈前那一座桥，或许我们都到不了            
(4星)	 依晨呀            
(2星)	 。。。。。。。。。。。林依晨哪里好了            
(5星)	 劳资放寒假天天看啊。            
(5星)	 小时候的经典            
(5星)	 小七和童远啊啊啊啊啊！！！被二郎神和土地老儿拆散那段，哭得那叫一个死去活来            
(4星)	 林依晨还是很讨观众喜欢的            
(3星)	 林依晨胖死了，我喜欢的是谢君豪郭妃丽TAE陈秀丽那两对CP！            
(2星)	 现在想来真心不喜欢水肿的林依晨，情节和场景也不怎么样，但那时就是喜欢胡歌。            
(NA)	 为什么国产的、分数就这么低？            
(5星)	 现在找不到视频看啊！！哪里有啊？？？            
(4星)	 那个各种伤 啊            
(3星)	 七仙女的故事分支，插曲用得恰到好处，这也是支撑观众看完的很重要因素。            
(3星)	 林依晨很難看            
(4星)	 喜欢里面的歌，胡歌的演技一直都不错            
(5星)	 曾经大爱嗷嗷嗷！            
(4星)	 喜欢胡歌···            
(4星)	 不错~想当初那眼泪哇哇就下来了            
(3星)	 林依晨的脸真是肉嘟嘟啊。。            
(4星)	 胡歌林依晨很般配 看着舒服极了            
(4星)	 就是有点儿长得过分了！~虽然很有爱很搞笑很励志            
(3星)	 …………            
(4星)	 三度以为结局了。结果它还继续放。当年赚了不少眼泪啊。= =            
(3星)	 這部林依晨超級babyface的哈哈哈XD            
(3星)	 林依晨的又一次惊喜。            
(NA)	 金色的小扇子            
(5星)	 爱对一个人 原来是这么好。            
(4星)	 很爱林依晨当时，这部对上了我的感觉。。所以有点怀念了= =            
(3星)	 有点闷，还是喜欢胡歌演活跃的角色            
(4星)	 依晨和老胡滴第一次合作，默契十足            
(4星)	 还是喜欢胡歌和刘亦菲搭戏            
(2星)	 还是仙剑系列好看            
(4星)	 挺好看的 林依晨            
(5星)	 很唯美的画面，很好听的插曲。那么纯洁的爱恋，却难免有些伤痛。            
(3星)	 很少有圆脸的女演员……            
(NA)	 当时还算喜欢胡歌的时候。            
(4星)	 小七。。。。地瓜。。。。如果我没记错的话。我在想以前哪里来的时间来看这么多电视剧？？            
(5星)	 小七地瓜都可爱啊，结局哭死了，一眼万年一度是我KTV必点曲目            
(3星)	 除了一首千年泪 什么都不记得了            
(3星)	 林依晨还是一如既往得可爱～            
(4星)	 好淳朴的胡歌啊            
(3星)	 小七~            
(4星)	 好像没有看完。忘记怎么个故事了。            
(5星)	 爱并非执念，可以爱到不爱            
(5星)	 至今最喜歡的電視劇，沒有之一。最近想回顧，可是找不到下載的地方了。。。            
(5星)	 记得是在高中时代看的，结局虽然两个人没在一起，但还是很完美的结局，记得电视中一直在说爱到可以说出不爱才是真爱，真的是这样吗？如果可以这样那两个相爱的人是爱的有多深啊！很想再看一遍…            
(4星)	 和郭燕敏讨论剧情，唐人风格印象就此明了，最近上海行，在船长酒店标间里还播了此剧。            
(4星)	 悲剧结尾嗷 小七最萌            
(NA)	 胡歌 居然和 林依晨合作过！！！！！！！！！！！！！            
(3星)	 单纯觉得剧情太弱了，劳夫子是谢君豪~！！            
(2星)	 这剧实在是幼齿啊，老胡的剧里面我看的最累top3了，而且女主居然还是我喜欢的。。。            
(NA)	 原本是冲着TAE泰国小天王去的！            
(4星)	 很喜欢很喜欢的一部剧~ 喜欢童远，喜欢这样的胡歌~ 喜欢两只的爱情，大爱~            
(5星)	 我爱的电视剧我要一一收藏！！！！            
(NA)	 当时不知道多喜欢            
(3星)	 一眼万年很好听            
(4星)	 当年听到这个主题曲，总是想哭。            
(3星)	 小七这个名字不错 自此喜欢上带数字的名字            
(5星)	 那样温馨的爱情            
(3星)	 剧情弱得一塌糊涂，就劳夫子那段我比较能接受。            
(5星)	 感人至深            
(NA)	 喜欢林依晨。喜欢胡歌。地瓜和小七之间的感情觉得很感动。傻傻的，却温暖。很简单。            
(5星)	 当时认为是最好看的            
(4星)	 傻傻的地瓜和可爱的小七，还有谢君豪的深情劳夫子，剧情幼稚，不过很可爱。画面好漂亮，BGM每首都很好听呢~ 不过上官浩淇那条副线完全是多余，贱死了啊！            
(3星)	 音乐不错            
(4星)	 里面的歌那些个年月很喜欢听呢            
(4星)	 5年前看过的电视剧，现在还记忆犹新，也许胡歌的造型不是很好，但是那种想要传递出来的情感很感人。            
(4星)	 要不是沧海桑田，真爱怎么会浮现。。。            
(3星)	 再回首感觉不好看            
(5星)	 喜欢胡歌和林依晨。胡歌和许多女演员都是合作再合作，希望和林依晨再合作一部剧，可惜人家好像要淡出娱乐圈结婚去了。。。看得很感动，也有好笑的地方，结局很怨念。            
(5星)	 我是天外飞仙的脑残粉  &gt;w&lt;  又看完了             
(4星)	 其实很一般 但是喜欢香雪海喜欢到不可自拔            
(5星)	 我第二部最爱的剧            
(3星)	 主题曲超爱            
(4星)	 把七仙女和董永的故事翻新得很美。小七和地瓜的爱好单纯~~多年以后再看仍是百分百优秀            
(NA)	 麻痹我看完了，从小就分不清牛栏织女和天仙配            
(4星)	 扯淡的剧情，扯淡的爱情，我爱的胡歌。。。            
(5星)	 真的很好看很好看。  看一遍，感触一遍。            
(3星)	 小七。。。。。。。            
(3星)	 深情一眼摯愛萬年~~            
(NA)	 原声超棒，每一首都会唱。胡歌的天亮以后，月光太爱呀            
(3星)	 胡歌、林依晨么老搭档了            
(4星)	 小七和地瓜。            
(3星)	 小清新            
(3星)	 还不错            
(2星)	 不知所云- -            
(3星)	 太长了，懒得看，但还是把它看完了            
(2星)	 对于剧情，实在无语。            
(4星)	 胡歌啊胡歌。爱哪。记得祝天衡在我已经很喜欢那首歌之后也跟我说过这首主题歌，喜欢的呀啊。            
(5星)	 太感人了，看一次哭一次，依晨胡歌演的也好~！            
(2星)	 儿时看得恶俗偶像剧            
(NA)	 香雪海死的时候好伤心啊……            
(4星)	 以前很喜欢看。林依晨唯一 一部过得去的演技            
(4星)	 可爱小七。            
(4星)	 胡歌和林依晨的第一部合作作品，很好看！我是個很討厭狗血劇的人，但還是被這部戲感動到了！            
(4星)	 鸡冻！！            
(3星)	 我讨厌胡歌那张葫芦脸            
(4星)	 好怀念~  当时觉得这片特好看            
(5星)	 如果最后大团圆就好了。。。每次听到SHE唱一眼万年都很想哭。。。好希望小七可以和地瓜在一起啊。。            
(5星)	 终于完整地看完了，制作很精良，情感也够动人~            
(2星)	 林依晨什麽的又出現了呢            
(5星)	 很喜歡阿！尤其胡歌            
(5星)	 成长的烦恼。每次看这个心里就难受            
(3星)	 啊哈哈哈 初中时候每天追着看 后来发现那个主题曲是三只唱的诶~~~            
(5星)	 爱到不爱的境界            
(NA)	 看的时候虐死了            
(2星)	 粗制滥造。            
(4星)	 依晨的哭戲太贊了相當贊，而且和胡歌之間的默契一直都在；其實像香雪海啊冷小星啊這類堅強腹黑又帶點冷艷的角色很適合韓雪，我是褒義的；香雪海&amp;賽金都不錯，但我怎麼就這麼討厭上官浩琪呢，這男人不僅喜新厭舊還食古不化，有什麼好！            
(NA)	 当年很迷这部剧，歌曲、画面神马的都是很不错的            
(3星)	 土豆神马的。。。            
(5星)	 只要是国立导演都OK            
(3星)	 不太懂 没怎么好好看            
(NA)	 TAE 韩雪 胡歌 依晨            
(4星)	 只爱香雪海···            
(3星)	 我是来看胡歌的！音乐倒不错……            
(4星)	 七七            
(4星)	 高中时候的电视剧了 地瓜哥哥…            
(5星)	 初中时看过2011-6-5            
(5星)	 只是因为林依晨长得像我侄女。。。            
(3星)	 童话故事,很带入的童话故事.........喜欢这里的所有搭档            
(5星)	 林依晨！胡歌！好乖的。。。            
(4星)	 胡歌很帅            
(2星)	 我可以把两颗星都送给没演技的胡歌吗            
(NA)	 天亮以后就再也牵不到你的手…            
(3星)	 小七和地瓜。            
(4星)	 那天家宝唱一眼万年，我就想起他了            
(4星)	 虽然剧情比较幼稚我也木有看完，但是记忆中感觉害死很不错的~            
(4星)	 ——你有多高？——六尺七寸            
(5星)	 我妈妈，我弟弟，还有我一起看的，可见它的魅力之大吧            
(5星)	 月光听到心痛            
(4星)	 讨厌胡歌的锅盖头，为雪海惋惜            
(5星)	 本来还觉得女主不够美一点仙气也木有。。但是。。。真的很好看            
(4星)	 挺可爱            
(4星)	 地瓜小七永远在一起。            
(3星)	 呵呵呵            
(4星)	 因为这部电视剧认识了依晨，喜欢了她！            
(4星)	 林依晨可爱的呀            
(3星)	 雷到            
(3星)	 窦智孔的颜还可以，其余的不做评价了            
(2星)	 = =            
(5星)	 林依晨！！！歌好听            
(5星)	 喜欢地瓜呀~~            
(4星)	 稀里糊涂的看完了，还成            
(4星)	 。            
(3星)	 总的还是觉得，嗯，还行，比一些其他的讲述七仙女的故事，要让我喜欢……            
(4星)	 有她时当陪看的            
(4星)	 我真的很喜欢林依晨那种可爱型的女孩！            
(4星)	 有感动到            
(4星)	 消遣看看还是不错的。            
(5星)	 童远小七            
(3星)	 唯一喜欢二公主的故事            
(3星)	 killing time 的时候看看            
(3星)	 记得某一年的暑假，第一天看了几集觉得十分吸引我，但第二天就要去一个什么地方还不能看电视，于是第二天起了个大早看后一集，果然看到想看的内容，心满意足。后来找了最后一集来看。            
(3星)	 觉得有点脑残，不过有张牡丹            
(5星)	 都说不好  我看到哭            
(5星)	 力荐是因为里面的歌~            
(4星)	 很有爱的一部戏  很喜欢这种风格的  地瓜和小七 很可爱            
(4星)	 多喜欢林依晨软绵绵的样子            
(3星)	 挺雷的改编的董永和七仙女的故事。。。不过主题曲不错。。。不愧是林俊杰写的，虽然被she唱的有点毁。。。            
(5星)	 喜欢TAE  喜欢窦智孔  喜欢胡歌  喜欢香雪海   好吧我花痴            
(3星)	 跳着看了下，画面挺好，剧情不清楚            
(3星)	 单纯喜欢林依晨，台湾我所知道的，就她在演戏好像~~~~            
(3星)	 高中看的，三个活宝还挺酷的。            
(4星)	 香雪海。 此剧唯一出彩。            
(4星)	 话说我看了三遍···            
(3星)	 我喜欢的一向冷门，大家不要会错意，这三颗星完全是给窦智孔和韩雪的。这两人是我觉得剧中最有张力的剧情，对，是唯一。令人不满的是，他们的故事被主角的拖戏给毁了。上官浩琪和香雪海的故事，让我对《天外飞仙》这部肥皂剧一直不能忘怀            
(5星)	 最后一集看得我死去活来的~            
(3星)	 电视上瞄过几眼，当时觉得片尾曲比这部剧都要抢戏。。。            
(5星)	 看了两遍，大爱，胡歌和依晨很搭            
(NA)	 一眼万年很好听            
(5星)	 最最缠绵的剧剧            
(3星)	 蛮早了            
(5星)	 那时候 我确实有些迷恋胡歌啊            
(4星)	 为老胡看。。。            
(4星)	 很喜欢看他俩搭的戏，总感觉很好，特配。            
(3星)	 年轻的时候真的好喜欢这个。。。            
(4星)	None
(1星)	 2个傻子            
(3星)	 林依晨还真是“旺夫”            
(5星)	 前半部分很喜欢，后半部分就忍忍过了就好。记得高三的时候还一直定时间看重播，都不晓得第几次看了。有时候只要纯粹地去感受那些简单而欢乐的甜蜜感就好，当你变得复杂了，也就难快乐起来了。            
(2星)	 剧情不喜欢，唯一喜欢的上官浩淇竟劈腿！！！            
(3星)	 地瓜地瓜            
(4星)	 因为这部电视剧  深深被剧中的赛金吸引！            
(3星)	 能记得的只有路尽隐香处。            
(3星)	 胡歌被虐 我也爱看 哇咔咔             
(5星)	 不管怎么说，至少我很喜欢这部电视剧            
(3星)	 记得当时看得逻辑挺混乱的……            
(4星)	 好吧~对于结局我表示……居然穿越了！！            
(3星)	 前面好看。胡哥很帅很完美            
(3星)	 一眼万年            
(4星)	 小七和地瓜的唯美爱情            
(NA)	 小七地瓜感动            
(5星)	 高中看时感动的稀里哗啦的。现在再看，剧情有点幼稚哇。            
(NA)	 = = 真是的            
(4星)	 当时看的时候老喜欢林依晨了            
(4星)	 以前看过，很喜欢林依晨            
(3星)	 其实我只是想去看谢君豪的。。。            
(3星)	 其实没怎么看过            
(5星)	 那时候看真的是好感人。            
(5星)	 呵呵 好像是很久很久之前看的了当初的小七让我喜欢上了林依晨            
(3星)	 林依晨还是蛮可爱的            
(3星)	 我那个时候觉得林依晨的脸肥得根本不能笑，可是我有朋友说她很可爱            
(NA)	 天马行空，羡慕人仙之恋。            
(4星)	 地瓜~            
(4星)	 里面有三段哭的很锥心            
(4星)	 结局很奇怪            
(4星)	 最爱。高一时候看的。好久了。            
(4星)	 蛮好的，古装偶像剧            
(3星)	 就记得里面董永呐喊的时候，猛的就想到了逍遥哥哥。ORZ~是中毒太深了么?            
(3星)	 就剧情而言。。我真的没坚持一直看完 跳着看结局不过林依晨的演技真没话说 还有韩雪 香雪海刚出场时我还是觉得很惊艳的            
(3星)	 郭妃丽三分            
(5星)	 胡歌胡歌            
(4星)	 喜欢op和ed，至于剧情，好像现在觉得也就这样~~ 当年还是看得很认真的~~            
(2星)	 不欣赏。            
(4星)	 不管是一年，两年，还是五十年，一百年。有生之年，我都在等你            
(5星)	 超级喜欢小七的说，很喜欢他们之间纯纯的爱情！            
(4星)	 好看~            
(4星)	 我发现唐人大多数片，颜色，音乐，服装，选角都很合我胃口。所以尽管他剧本雷，台词雷，我也能看完            
(3星)	 胡歌的力作。。。            
(3星)	 小七和地瓜的故事。            
(4星)	 人仙之恋            
(5星)	 依晨版的七仙女好友爱哦。和胡歌版的地瓜哥哥好般配哦。加上s.h.e的一眼万年，唯美。            
(4星)	 当大家都喜欢香雪海时，我最喜欢的是赛金            
(5星)	 胡歌            
(4星)	 韩雪跟那男人的爱好感动哦！！！            
(4星)	 小白的爱情和小白的小七，挺好的            
(3星)	 冲着胡歌            
(4星)	 吕一很好看。。。            
(5星)	 很喜欢的一部~唐人的这类电视剧制作还是挺精致的~            
(2星)	 奇怪的片子……            
(NA)	 搞笑但是感动            
(5星)	 很喜欢小七的单纯            
(3星)	 冲着胡歌和林依晨看的，多美好的感情~            
(4星)	 因林依晨看的此剧，从此喜欢上胡歌~            
(5星)	 超喜欢小七~            
(5星)	 多希望他们能在一起。            
(4星)	 为了胡歌而看            
(3星)	 有的地方真心雷！大胡的发型真是败笔，林依晨还不错呢。其实香雪海是个悲剧。@Home            
(4星)	 这个不错。纠缠的。            
(5星)	 感觉依晨还是和小综比较配            
(3星)	 林依晨和胡歌真的没演技。。。。            
(3星)	 还是喜欢胡歌痞痞的样子~            
(3星)	 讨厌林依晨            
(3星)	 完全是为看帅哥去的。            
(5星)	 小七的调皮，地瓜的善良。古灵精怪女遇上乖乖男会是什么样的场景呢？这部电视剧就可以给你答案。相爱，即是互相需要也是互相学习。天上的七公主，因地上的凡人地瓜改变了，而地瓜也因天上的仙女改变不少。这就是天外飞仙            
(3星)	 彼时，很喜欢韩雪。。。哎~            
(NA)	 就记得怎么老不结束怎么还有=x=            
(4星)	 林依晨和老胡的搭配很不错，这部剧直接导致他们合作射雕、这又是一部感人至深的剧，结尾采用的现代模式很有feel，这部剧让我们见证了老胡的现代装还蛮帅的嘛。。            
(3星)	 还可以！太悲了            
(4星)	 真可爱的一部片那～可是结局没有那么开心  冰糖葫芦五加皮～            
(3星)	 人物倒是都不错~            
(5星)	 能再可怜点么。。。。哭死我了。。。。。            
(4星)	 中间部分好长哦，还好最后部算悲剧，~！二猪脚戏太少了，~！感觉很多段感情，抢了好多戏，            
(NA)	 小学时看得，不懂为什么看得下去             
(4星)	 还好还好胡歌            
(2星)	 还掉过眼泪...            
(3星)	 歌很好听            
(4星)	 随便看看。。。蛮好玩的。结局不怎么样。            
(5星)	 只要是胡歌和 依晨，我都支持            
(NA)	 ♥ 那一段如传说般美丽的爱情，究竟是谁为了谁而留恋尘世？            
(4星)	 飛一般的浪漫,非一般的愛情,超越時空,衝破天地..願天下有情人永不分離,幸福美好`    T.T            
(5星)	 胡歌的电视剧是大爱啊~            
(3星)	 很偶像剧            
(3星)	 小七啊 小七...            
(NA)	     可爱的依晨、痴情的胡歌、挺！            
(3星)	 音乐不错            
(NA)	 胡歌丫胡歌            
(4星)	 看依晨。            
(3星)	 只跳着看韩雪和窦智孔那一段了。。。。            
(4星)	 有点虐            
(4星)	 完全是因为它里面的歌好听啊~            
(5星)	 心中的最爱            
(NA)	 依晨~            
(5星)	 谢爷！！！为什么中国的天上都那么假？腾云驾雾的假            
(5星)	 《天外飞仙》帅哥美女版的董永和七仙女的故事，虽然是帅哥美女但是也是很有看头的哦！帅哥美女组合不但有外貌的特色还有出色演技一样让人感动！一样让人记忆难忘！就这就是我要推荐的……这部剧相信也是一经典，无人不晓了吧？O(∩_∩)O哈哈~            
(4星)	 无聊的时候看看还挺不错            
(3星)	 可爱的地瓜胡歌。            
(5星)	 喜欢林依晨            
(4星)	 这个应该算是合拍片吧，在电视上追完的。            
(2星)	  = =            
(4星)	 小七。。地瓜~            
(3星)	 有很多各国的演员啊，虽然剧情俗套，但是挺养眼，很适合作背景画面            
(3星)	 演的有点假……            
(3星)	 其实还不错的~只是我好像没看完。。。很久前看的            
(5星)	 爱到不爱            
(3星)	 雪海  很不错            
(5星)	 我爱地瓜~我爱胡歌~            
(3星)	 唉...            
(NA)	 有回忆的剧            
(3星)	 我只是喜欢依晨罢了。            
(4星)	 我妈看了都说小7好胖。。。可见是真的胖了。。。这时候的韩雪没现在这个讨厌。。。            
(4星)	 放假了，经典的会在暑期循环放的电视剧~~喜欢里面的诸帅锅，小林子还是一样婴儿肥。。。总体画面感非常喜欢地            
(2星)	 ...            
(4星)	 被这个挺弱智的电视剧给感动了            
(3星)	 哈哈哈 ，好久以前的电视剧了~            
(4星)	 无厘头嘛            
(3星)	 还是没有全部看完 等我以后闲了再说吧= =            
(4星)	 很喜欢，很可爱的依晨            
(4星)	 電視臺放過最多的老大的戲            
(4星)	 这个纯粹是喜欢林依晨才看的~            
(5星)	 很棒的故事            
(5星)	 很爱的古装片            
(NA)	 那年暑假。那首一眼万年。            
(4星)	 虽然剧情很扯，但是看到林依晨和胡歌我就觉得好温暖~~还有郭妃丽谢君豪TAE，各种喜欢啊~~~            
(5星)	 很喜欢            
(3星)	 闲时打发时间            
(3星)	 胡歌和林依晨很有爱            
(NA)	 我很想喜欢依晨            
