http://movie.douban.com/subject/2253613/	越狱  第三季 Prison Break Season 3
(NA)	 这一季封面为什么lincoln的脸那么大？美国人真的不那么喜欢miller吗？虽然不大可能，还是希望tbag有个喜剧性和戏剧性的结局。sarah客串演出sara的角色，这是她不是每集都出现的原因？第一集有些糙，期待后面的。一点点跟着看，真是烦躁郁闷啊。阅毕：结局令人百感交集，tbag果然再次称王，sucre侠骨柔情有些惨，mahone投敌，mcgrady幸福逃离，micheal带着抢与玫瑰上路，lincoln妻与子都有了……            
(5星)	 没第一季好看..不过还是看完了            
(5星)	 好吧.對人對事對劇我們都需要有始終..            
(5星)	 2008.5.24/2010.6.8-11            
(2星)	 我真的十分不喜欢这一季，觉得太脏了            
(4星)	 第一第二季不见得比它好到哪去。 还是全看完好了            
(3星)	 越得太牵强。            
(4星)	 其實我喜歡的都不是男主角……            
(4星)	 编剧应该看。            
(3星)	 扯淡了，越狱还越上瘾了。            
(2星)	 失望            
(3星)	 相比之下最差的一部，编剧大罢工呵呵只有13集。开始为编故事而编故事了。很多角色的转变有些突然。            
(4星)	 草，太TM假了，不跟            
(4星)	 比第二季好看            
(4星)	 ALEX不错。不喜欢那个监狱            
(4星)	 3比2好看！            
(3星)	 先看了第四季的第一集，原本觉得太占时间，想把每季都看个大概。第四季的第一集没吸引我，第三季就不一样了，一直追着1天就看完了13集- -            
(4星)	 我觉得同样精彩啊~~很应该赞一下SONA里面，居然想出用抓鸡脚解决两人矛盾的剧情构思，个人觉得很有意思。            
(2星)	 我还以为他们被关在超市，要什么都能搞到。            
(1星)	 我真的想给1星.看的很痛苦.漏洞百出            
(NA)	 越狱            
(4星)	 第3季            
(3星)	 继续越吧            
(NA)	 越发的无聊了……            
(4星)	 其实成了 惯性了            
(4星)	 kan le season3 haixiang kan season4            
(3星)	 真的看不下去了……boring了            
(3星)	 这个结尾忽悠谁            
(NA)	 计划是一种计划．．．            
(4星)	 没完没了的剧情``进进出出```            
(3星)	 剧情开始俗套了            
(4星)	 我才知道我已经看过了却还把十三集全下下来。            
(3星)	 还真的是很一般阿。            
(2星)	 猫女还不错，那讨厌的猥琐的惠斯勒很触气            
(3星)	 一季不如一季...            
(5星)	 十分精彩！            
(3星)	 估计拍不下去了...            
(2星)	 编剧脑子进水,不过,林肯依然很蠢,温大帅哥依然很帅~            
(5星)	 没有死狗飞，便没有奔头            
(4星)	 也许是受到编剧罢工的影响 8集以后开始逐渐丧失一贯周密的精髓 最后几集更是疏漏百出精细全无。            
(2星)	 312总算有起色啦！拜托313连同S3快点结束吧叟八鸟乐            
(3星)	 我是粉丝，坚持看下去，不离不弃            
(NA)	 急死我了,还不更新,以前的快忘光了...            
(2星)	 当越狱成为一种工具，人就全然看不见了。            
(3星)	 越狱现在真是...            
(5星)	 最近在追，可是话说回来我到目前为止只看了半集诶。= =||||真的没那么多时间啊，还要追我亲爱的日剧。诶诶~            
(2星)	 不看咯。太罗嗦咯            
(5星)	 有點出乎意料。            
(3星)	 早点结束吧。            
(5星)	 不想再看下去了。累啊~            
(4星)	 史沟飞？？！！！！            
(NA)	 木干劲            
(4星)	 EP13;编剧才是最狠的阴谋家            
(5星)	 绝对的五星            
(4星)	 虽然没前两季好了,编剧你要真让莎拉死了我跟你没完            
(NA)	 不知道还能讲什么！            
(4星)	 不喜欢t-bag了:(            
(2星)	 越了N集都越不出去，乱搞。            
(3星)	 看了两集，感觉越做越糙了，剧情也很牵强～            
(3星)	 没鸟Sarah            
(NA)	 就是不想再追下去了            
(NA)	 第三集开始有点意思了            
(2星)	 更加阴暗 临时停播 完完全全地失掉一个档次            
(NA)	 米帅真可怜            
(5星)	 SONA监狱风云，如果在中国应该会这样给电视剧起名字吧。            
(4星)	 帅哥依旧，佳人不在，越狱仍在继续            
(4星)	 会不会还有第四季？期待一下            
(3星)	 最后倒有那么点回涌的架势了...            
(NA)	 看点:小强            
(4星)	 看到后面还是那么好看            
(4星)	 没有了爱情，还是有精彩的地方。接下来会怎么样呢？            
(NA)	 最烦就是SONA这一季！第四季变成不死金刚都没这么讨厌            
(NA)	 没看下去。。哪天再捡起来。。现在想想第一和第二季还收着。。那时候真心迷疯--            
(2星)	 几度欲弃剧！！！第二季跟公司的恩怨没说清楚又跑出来个又没说清楚！！！            
(5星)	 sara sara我知道你不会死的            
(3星)	 第三季完全是糊弄我们，我是硬撑着看完的。看完当天晚上还做了个梦梦到我问石膏肥要签名和要合照，他还不肯跟我合照……本来没有毅力看第四季了，可第四季听说他要死了。。。我是看看是个什么结局            
(1星)	 看到沙拉的脑袋以后我就一点都不想看了！！            
(4星)	 我就是三俗之人 最讨厌破坏心中的CP            
(NA)	 SARA死了之后忘了看到第几集了，反正肯定有猫腻没真死，但我也够了。其实看的时候比较喜欢哥哥，然后T-bag太他妈有型了。就这样吧，弃之            
(4星)	 “…敌人的敌人，是我们的朋友…”导演安排马宏和米高的合作，是我意料不到的，但是这绝对是精彩的！原本还是敌对的人转身就成了盟友，这个变法，比四川的“变脸”还来得迅速…。米高的女友这季被停薪留职，但导演也不用这么省事直接把莎拉拍成背影，而且还是个很不搭调的背影，这个玩笑开得太大了            
(4星)	 501            
(3星)	 因为SARAH死了，伤心了很久，弃剧！            
(3星)	 结尾……            
(5星)	 看得好辛苦= =            
(3星)	 第三季就没法说了。            
(3星)	 SONA里的Brad Bellick穿着豹纹裤突然变得好萌！            
(3星)	 没前两季好看，等这门考试考完开始看第四季            
(4星)	 仓促啊太仓促了。            
(4星)	 还是在监狱里有意思，越狱            
(2星)	 极度难看，尤其是跟第一季对比起来，第三季最垃圾，垃圾到顶！！！！！！！！！只有马猴有看点！！linc已经进化为超级大傻逼            
(5星)	 我好好好爱迈克哦哦            
(4星)	 开始的时候挺无趣的   因为越狱二而特想知道两个最聪明的人是怎么逃出去的   却发现ALEX进去后好像完全没有二里面的智慧了   还好坚持下来了   第八集以后开始渐渐有意思            
(4星)	 即使拍成这样，也算是部好看的美剧了。那个鹰勾鼻子的监狱长很型，可惜很快挂掉了。            
(2星)	 没紧凑  情节            
(2星)	 连看都懒得看了            
(4星)	 09-9-26 家，迅雷看看。感觉学到很多~看完心情很复杂...无法复位的魔方么？...另外，James是我喜欢的型啊！！！            
(5星)	 三峡大学4#307   这季很满意            
(3星)	 由于前两季的影响太大，这一季告诉那些有心效仿而想越狱的人们：安心坐穿你们的牢底吧，君不见巴拿马的监狱有多么恐怖            
(3星)	 这季完全可以不要……            
(4星)	 杂乱无章，但是还不错            
(NA)	 我可以模仿T-bag            
(3星)	 鸡肋。。            
(3星)	 唐僧西天取经 九九八十一难            
(3星)	 编剧开始准备哈污搞了、、、            
(3星)	 这季感觉不大。            
(3星)	 看完第三季我就不太想看了。。。            
(4星)	 都跟著看了2季了，为什么不继续下去呢？            
(NA)	 好吧。有结局了我就追。也许没有第2季那么糟糕。            
(NA)	 迈克，干掉编剧你才能获得真正的自由~~~            
(3星)	 just so so.为了和第四季保持连贯，硬着头皮忍下来，最关键的是sara的假死导致里面除了大奸大恶的女角和妓女之外没有像样的女性角色，空间封闭，剧情拖沓，这季真是有点鸡肋了。            
(4星)	 2009.5.8            
(3星)	 好吧，越来越鸡肋。            
(3星)	 嗯，这季可不怎么好看，看着郁闷            
(5星)	 米勒，我不喜欢给自己挖坑，等四确定完结了我再开始。            
(3星)	 不看也罢...            
(4星)	 喜欢最后结束时候的歌。llorando,por tu amo            
(3星)	 编剧罢工事件的冲击真是太明显了。            
(4星)	 编剧大罢工，受影响了            
(NA)	 开始走下坡了。            
(4星)	 依次自己的人生，在四面中游荡……一次人生的越狱。            
(5星)	 不如前兩季了            
(4星)	 阴暗的画面～～糟糕的剧情            
(NA)	 我爱米勒……            
(4星)	 四顆星有一半兒是衝着最后一集的逃亡方式給的～            
(4星)	 没看完，但我觉得比第二季好看            
(5星)	 基本成为“美剧式剧情”的典型            
(3星)	 女猪脚阵亡，加上片源画质一般于是偶看的格外不认真            
(3星)	 果真是编剧大罢工,草草收场            
(4星)	 变味的第三季            
(3星)	 这个。。。。太过分了！！            
(3星)	 远没有原来两部经典了。            
(2星)	 勉强看完三季 第四季看了三集没再追了 大烂尾 迷失都能挺过来越狱太失望了            
(NA)	 越狱：第三季            
(NA)	 米帅~            
(NA)	 越狱            
(3星)	 越来越没创意了，快结了吧。。Sara死，伤心。。            
(2星)	 一季不如一季。真不明白它为什么还要继续下去。            
(3星)	 再少颗星            
(4星)	 期望太低，反而还行            
(5星)	 Prison bresk            
(3星)	 还好还好。不太喜欢sona。还是前两季好。不过Mahone在里面真是好看啊～～～～            
(4星)	 只有最后两集可以忍受            
(4星)	 主角是馬轟。            
(NA)	 T-Bag            
(4星)	 懸念的數量、人物關繫的複雜程度搜讓人十分抓狂...            
(2星)	 结尾不怎么好            
(4星)	 比第二季好！            
(2星)	 实在没什么继续看的必要..            
(3星)	 忠实ＦＡＮＳ。希望以后的故事不要让我失望            
(4星)	 当然会喜欢萨拉 但这季里贝利克更可爱。。。            
(5星)	 精典            
(NA)	 小温哟。            
(3星)	 收视下降草草结尾            
(NA)	 都死啦得了~~~            
(4星)	 一直追看，等待第四季            
(2星)	 没有耐心看下去了，看了头尾            
(2星)	 我看到第八集，放弃了            
(NA)	 别人说有逊色，我还是喜欢，大概是迷上了那男人，管剧情好不好，那他就行了            
(3星)	 羅說不感冒了            
(3星)	 算是有点敷衍            
(5星)	 還會有第四季的吧            
(NA)	 好喜欢索菲亚            
(NA)	 拖沓啊～～            
(3星)	 到最后有点意思了……            
(NA)	 人性 心理 宗教 信仰 超级大国幕后的政治             
(3星)	 一路下滑            
(NA)	 看到sarah挂掉就放弃了            
(3星)	 SARA死后,几乎不想看下去.拖拖拉拉,简直是鸡肋.            
(1星)	 还能再差点儿吗？            
(5星)	 为了你而已            
(2星)	 第三季看完。            
(NA)	 还是1好看。老娘还是爱t-bag~            
(4星)	 觉得还行...但是剧情一般吧  跟1比!            
(4星)	 越狱             
(3星)	 越看越沒勁兒了，喜歡第一季的前19集。            
(3星)	 从第9集开始才有了点看头，结果13集就结束了...            
(NA)	 ..我在锻炼我的耐性...            
(3星)	 只有3颗星是因为砍了我家sara！！强烈抗议，强烈要求sea4 sara back            
(5星)	 静静回忆纸玫瑰            
(4星)	 着迷！            
(4星)	 期待下一季。            
(3星)	 Teddybear。            
(5星)	 还不错啊，比第二季好。怎么都不想看最后一集。            
(3星)	 第十集和十一集找到了以前的感觉~~但是剧情设置确实越来越牵强了            
(5星)	 坚持在追            
(5星)	 每个人都有了自己的归属，这种感觉不是很好么？很喜欢结尾小“麦迪”看着篮筐时的那个表情..            
(5星)	 又紧张起来了嘛            
(3星)	 我们的目标是：救出去！            
(4星)	 期待ING            
(3星)	 越来越不像话了，还让等那么久            
(2星)	 水平明显下滑.本就不该出第三.            
(NA)	 别再停播了            
(5星)	 继续            
(NA)	 It&#39;s great！            
(NA)	 情字            
(2星)	 实在是痛心，变得这么差            
(NA)	 开始荒诞了……            
(3星)	 越来越扯了            
(5星)	 貌似只系播到第10集。。            
(NA)	 人生就是一场越狱。。。            
(3星)	 看到一半不想再看了~            
(NA)	 我看你怎么编!            
(5星)	 结局让人失望            
(NA)	 牛b！            
(4星)	 抱着有始有终的态度把它追完            
(3星)	 莫名其妙的就结束了。            
(5星)	 呵呵。有人说很血腥。有人说很肮脏。但它至少有很棒的情节。            
(4星)	  越狱3             
(3星)	 我已经等的不耐烦了..!我不想一个解救哥哥出狱的电视剧给我拍到7,8季!            
(NA)	 赞···            
(NA)	 大有没完没了的架势！            
(4星)	 不出了啊？            
(3星)	 过去时            
(5星)	 PB            
(4星)	 女主角死了.有点失望            
(5星)	 Sara怎么就死了...            
(3星)	 已成鶏肋！            
(NA)	 太喜欢他了            
(4星)	 第四季快快来吧            
(4星)	 第三季中后部分最精彩            
(NA)	 只出一季不挺好么。。。哎，不追了            
(3星)	 只有越的瞬间让我激动了。。            
(4星)	 越来越冗长……            
(4星)	 很精彩的开头~            
(4星)	 感觉比以前暴力了不少。            
(5星)	 竟然就这么完了,看完13,才终于觉得米帅回归了啊            
(3星)	 美国            
(5星)	 前天看了第一集,,巴拿马~~~            
(3星)	 Oh, there&#39;s going to be Season 4! Way too much a whopping joke!             
(NA)	 镜头和画面营造的跟剧情十分吻合。让人惊恐和紧张，特写居多，流动的镜头，色彩黯淡，抖动。            
(3星)	 实在看不下去了……            
(4星)	 第三季了，会拍多久呢            
(3星)	 还记得那段感动你我的兄弟之情 那种绝境中挖掘希望的力量            
(3星)	 那一架打得挺不错            
(4星)	 再次越狱，没有第一集那么有技术含量了            
(NA)	 S3 2008.02.20            
(NA)	 又进去了，接着越吧            
(3星)	 死了。。。TuT            
(2星)	 这季真是咬着牙看下去的。。。。。。。编剧罢工果然是这种结果。。。。糖果你要挺住啊！！！！            
(3星)	 唉，这一季...........................            
(5星)	 单看每一季真心不错~可是故事连起来真的是重复高潮~~三季还是很棒~~！！！            
(3星)	 莎拉死了没            
(5星)	 越狱还是部天雷一样的美剧。搞得之前的悬疑片都没法看了。            
(3星)	 这一季其实没有看完，说收视率下跌是因为莎拉之死很勉强吧，本身的硬伤也很多，没有悬念没有技术含量没有斗智斗勇，竟让我看睡着两次。            
(3星)	 性格转变的一季·确实有点疲劳了·卡的太碎了·期待最后一季吧            
(4星)	None
(3星)	 sarah死了灰常桑心，但是死而复生这种狗血桥段也想得出！            
(3星)	 越拍越乏味，扔下一个悬念给第四季。呼，总算快熬出头了。            
(4星)	 比第二季好看            
(NA)	 怀着忐忑的心情又要点开第四季，阿门。            
(3星)	 集数又短 又仓促            
(3星)	 一季不如一季            
(5星)	 一直感觉米勒不瘦 不过还是很帅了            
(5星)	 这一季把SARA给整死了，这不坑爹呢么？不过SARA不假死，也没有后面的剧情，T-BAG还是那么阴险奸诈，不过我喜欢！            
(NA)	 以前真有时间!            
(3星)	 越来越没意思了             
(3星)	 即使你逃出监狱可你还在监狱之中，监狱像社会，社会也像监狱。            
(3星)	 儿女情长二百五            
(4星)	 更喜欢Mahone了！            
(4星)	 那个坏女儿长得真恶心 看到就想吐！ sugar真man            
(4星)	 精彩度果然下降了.            
(3星)	 sarah啊            
(NA)	 嘿嘿            
(4星)	 结局悬念也太多了吧……            
(3星)	 出来又进去 再出来又进去 这个让我有点点不那么看好了            
(NA)	 转而对mahone t-bag有爱            
(3星)	 剧情还是一如既往的紧张一环扣一环。喜欢看Susan，好有气场好漂亮。Susan被监狱长抓了逼供那一集，迈克看到Susan说，是你杀了SARA吗，我会来找你的。那一句话，那一种眼神，看得我心里好难受。SONA监狱那种烈日，那种干燥，那种脏，刻画得是不错，但是许多地方还是有莫名的漏洞            
(3星)	 真是。。。 linc你还敢再窝囊点儿么！！！！  sucre!!!!!!!              
(3星)	 莫名其妙。。。            
(3星)	 前两季还好~看到第三季不再跟了~            
(4星)	 看到越狱这一季，已经越来越奇妙了，你会觉得所有死去的角色都是因为演员档期不够            
(4星)	 一如既往的精彩，一环扣一环。临危不乱和智商很重要。。。            
(3星)	 迈克尔，编剧对你忒残忍了点。            
(5星)	 还是放不下            
(4星)	 还行吧。越狱吃了第一口觉得很甜。但是越吃越觉得无味，不是剧本身的原因，而是我们没了新鲜感，不再像第一季那样与人物休戚相关。要是把第一季和第三季换一下，也许大家同样会说，一季比一季不吸引人……            
(4星)	 哎，乱。。。            
(3星)	 比第二部强很多 但有些剧情设置令人费解抑或是与编剧理解不同 总之主角仍旧那一副破表情 大爱T bag             
(4星)	 只看监狱里的事儿啊            
(NA)	 SARA死了？不能吧，我记得一些恶毒的朋友说过后来她生个孩子，到是米帅最后死了，以前看越狱的时候还小，刚上大学，觉得太过瘾了，不过第一季拍的确实不错，现在看来，也没什么，太多不够硬的方法和理由拼接在一起，结尾又留个悬疑，不过我到是挺喜欢那个黑衣服女人，但却总希望她被杀，我太恶毒了            
(3星)	 看不下去了。。开始狗血了            
(5星)	 看后居然觉得这季最精彩，其中一个character twist在第七集结尾就已经透露，但之后又成功把观众骗了过去。一个问题：E6中索纳谋杀案的真凶到底是谁？合理猜测是Whisler杀人灭口，可按照S4中他的身份看应该不可能。看来一改剧本编剧自己也晕乎了。24第八季后期应该是沿用了本季的设计。            
(NA)	 西班牙语。。。。苏克雷            
(5星)	 我爱费尔南多！            
(5星)	 为什么我觉得这一季惊心动魄得很好看。为什么我觉得这一季大家都这么可怜，同情心扑扑满的。为什么我觉得那个女人真好看。为什么我开始喜欢Sucre了。还有亲爱的Sofia，这季你是个亮点~            
(3星)	 TMD什么和什么哦~            
(3星)	 越狱            
(4星)	 第三季            
(NA)	 迈克真是机器猫啊，要啥有啥，还不用吃饭，这点比机器猫牛。            
(4星)	 4颗半            
(3星)	 SARA死得莫名其妙！！            
(NA)	 人人都是傲娇受= =            
(3星)	 疯狂追过            
(4星)	 比第二部精彩，集数刚好，Susan很漂亮。            
(3星)	 完结。            
(4星)	 Sara死的太可怜            
(4星)	 2010.07.04            
(5星)	 第三季把人为了生存和逃跑，描写的丑陋不堪和伎俩百出            
(3星)	 第二季之后都一般            
(3星)	 一般般，            
(5星)	 虐心。            
(1星)	 星星是马宏的，胖子死开            
(NA)	 从狐狸河越狱要策划那么久，进了Sona之后居然1个多星期就行，史高飞你真是已臻化境！！            
(5星)	 除了西游记和新白娘子传奇，至今看得最完整的电视剧，一眼不差。虽然逃来逃去的让人看着很累，但每次都会有惊喜，绝对不会失望，同时也学到了很多，比如，只要真正想去做，并且去做了，就没有办不到的事儿、            
(NA)	 2008            
(4星)	 到这会儿看PB已经是每周的习惯了~~嗯..如果没有Mahone我可能也看不下去了~~~            
(3星)	 太緊湊了壹點，越獄的環節也很碰巧，但還是比第2季要好看            
(3星)	 编剧在中部的时候有点乱。我觉得编剧的人是一个Team，基本上边编边演，人物的性格连续性不是很强。            
(2星)	 搞锤子搞            
(3星)	 Micheal肥矣，尚能越否            
(3星)	 第一季最好,其他的不评价了            
(NA)	 我甚至都不想说我看过你。            
(4星)	 第一季真的很经典，要超越很难。            
(4星)	 你就继续坑吧            
(4星)	 就冲片尾的那首Llorando都要再加一星，听到这首真是好意外啊            
(4星)	 看剧的速度提升了= =            
(3星)	 越到后面，越记忆模糊            
(3星)	 和第一季比简化了不少，熟悉的情节冲突设置，更加符号化的人物，投资肯定也缩水了狠多吧            
(2星)	 逼迫自己看的~就当作练听力了~            
(NA)	 第三季我看了两遍。            
(2星)	 狗尾续貂了！！            
(3星)	 越来越没意思了铁骨柔情胖比利，狱墙内外妈妈咪            
(4星)	 2009下半年            
(3星)	 6/10            
(3星)	 Sophia is beautiful            
(4星)	 终于追完第三季了-_-            
(3星)	 越看越烦            
(5星)	 帅哥亚你是真的帅            
(4星)	 人物复杂            
(4星)	 捏吧的看完了。            
(3星)	 最后几集还挺刺激的。            
(3星)	 2009.9.23~2009.9.26 over. 有三星半可以给不？？第三季情节有点牵强，刻意把Whistler描写得深藏不露怎么看都是蒙人呢。好在其他人物的性格还算统一。T-bag是真正的小强，怎么砍怎么拍怎么被暴打都不死，最后还混成了Sona精神领袖……            
(4星)	 看的我好揪心，快点完吧。            
(3星)	 最差一季            
(4星)	 还不错            
(5星)	 当BRAND 死去的时候， 莫名的伤感起来结局却让人深思 ...             
(5星)	 佩服编剧的想象力（或许是事实）            
(3星)	 看不下去了..            
(4星)	 ……我不应该对监狱暴动有太大期待的T^T 干脆看OZ去……前两季在凤凰台看，第3季为了赶进度down着狂飙，这也是我觉得比2季好看一点的原因吧。T-Bag在这季没啥大动作TAT  Gretchen差点就是我理想的女性type了///u///            
(NA)	 丫的 就是一个字 乱            
(4星)	 很匆忙的一季            
(4星)	 抠墙壁的大叔们异国记II             
(NA)	 不管你们爱不爱，我都爱！            
(4星)	 有点晕            
(4星)	 还是回到越狱的正题比较精彩，Sona比Fox River更具挑战性，无准备，无计划，无条件。            
(3星)	 越狱几季中最不好看一季.            
(3星)	 差点看不下去了            
(2星)	 越狱的吸引人在于第一步~第三部已经让人很纠结了~最多大家就是看个演员而已~            
(3星)	 坚强内里。            
(4星)	 陪伴我大学的美剧            
(3星)	 都看的我不耐煩了            
(4星)	 看的好辛苦 好不容易才逃出来。            
(5星)	 这种监狱还不如死了算了            
(3星)	 我就是看到这里看不下去的- -            
(4星)	 由于编剧罢工，本季较短，但短也好，几个人耗里面钻地道，外面准备玩潜水。。中间还有武力劫狱。。            
(3星)	 Michael还是很帅，哈哈            
(NA)	 我就只看到第三季            
(3星)	 一部不如一部了            
(3星)	 boring            
(4星)	 忘了……            
(2星)	 拖沓，很borning了，越发觉得第一季美不胜收            
(5星)	 觉得比第二季好看!            
(4星)	 即使那么多人说不好看，我还是喜欢            
(5星)	 Prison Break 3            
(4星)	 这季配角精彩            
(NA)	 PB3            
(3星)	 差点把你抛弃的时候            
(5星)	 gretchen...            
(NA)	 090513            
(NA)	 累            
(3星)	 最烂的一季            
(3星)	 第三部开始胡扯！~            
(3星)	 尽管大不如第一季给人的新鲜以及刺激，但还是完整地想要看完的感觉            
(4星)	 最完美的结局            
(4星)	 一天内看完了，累。。            
(NA)	 汗，原来我看完了，没啥印象鸟            
(3星)	 江河日下            
(4星)	 天啊..Sara咋死咧?公司公司的..到底咋回事啊?            
(4星)	 20090407            
(3星)	 休假的两天看完，好短            
(4星)	 felt boring            
(1星)	 soleil            
(3星)	 比不上一二季，还是很好看。            
(2星)	 怒了，不看了            
(2星)	 无话可说的第三季，重复越狱。            
(NA)	 这一季很不靠谱了。            
(3星)	 追的身心俱疲。没力气S4了过段再说吧。            
(2星)	 求求导演你别拍了            
(NA)	 150505            
(2星)	 最差的一季            
(3星)	 狗尾续貂啊            
(4星)	 巴拿马。。。            
(4星)	 当时和黄Sir一起追,结果导致到现在为止我就看了第三季,我的人森真是不完整,还有好多惊喜等我啦。            
(NA)	 pb no reason!            
(1星)	 看到sara被砍头这么糟糕兼弱智的剧情我决定不再看PB了——当然其实第二季下半部分开始已经有隐隐的厌恶。            
(3星)	 第一部最为经典。            
(3星)	 欺骗我的感情。。。还以为sara死了呢。。。            
(3星)	 没看完。。            
(3星)	 可惜这季很不怎么的            
(4星)	 黔驴技穷了            
(NA)	 猛然发现了和暴力血腥同样可以让我异常xing奋的东西——虐待帅哥 = = 米帅被塞进小烤房里焖得晕眩的时候，我tmd整个很兴奋啊||||            
(3星)	 真不知道导演怎么想的让越狱第三季发生在这么破的地方 看着就不爽 而且情节还巨扯淡 和当年的第一季已经完全没法比了            
(5星)	 我要马不停蹄的扑向第三季!!!            
(4星)	 Can anyone be trusted?            
(4星)	 延续下去            
(1星)	 基本没有看过。。从这一部开始就在也没有关心过了            
(1星)	 断胳膊断腿            
(2星)	 越狱中的败笔            
(3星)	 你就扯吧你。            
(3星)	 太扯了  不符合情理的BUG多得记不住了            
(3星)	 最烂的一季            
(2星)	 失望            
(2星)	 好怀念第一季的时候。            
(3星)	 科幻片。            
(4星)	 虽然觉得一季没一季精彩，但不得不说文特沃斯•米勒真饿是帅的一塌糊涂~~~             
(3星)	 这季最没意思            
(4星)	 远比不上第一季的剧情啊.            
(NA)	 越来越难看            
(3星)	 剧情一般，巴拿马风景不错！            
(4星)	 不如前两部~~不过还是看了            
(3星)	 真是难为编剧了            
(4星)	 越狱果然要待在监狱里才好看，比第二季强多了！            
(NA)	 看到一半看不下去了。。。还是留个美好的回忆吧            
(NA)	 T-Bag            
(4星)	 不过貌似没有前两季好看了哦....            
(4星)	 除了第一季 都还行            
(3星)	 唉- -            
(4星)	 MIKE 你很行~！            
(NA)	 低潮季  可以PASS一大部分            
(NA)	 Mahone.            
(3星)	 比第二季好，还是瞎扯            
(3星)	 不追了……            
(NA)	 看完了就没有前两季的感觉```            
(4星)	 总算看到了个结局。但Sucure怎么办啊？            
(4星)	 大家都看嘛             
(3星)	 第四季大家还是别看咯            
(4星)	 本季MS一干人等的表现回升了            
(5星)	 第三季里感情因素很重，觉得情节也很紧张。最好的是最后一集的时候，MS带着给Sara的纸鹤、一朵玫瑰和一把手枪，开车找女魔头算账去了            
(3星)	 一季不如一季啊··            
(3星)	 现在来浅析一下为什么MICHEAL SCOFIELD在越狱第二三季里没有第一季里帅了 　　 　　 　　 　　1。外貌：不得不承认这小子第一季里很嫩 第二三季老了 毕竟33岁的男人和36岁是有区别的 　　 　　 　　 　　他胖了 由原来好看的瓜子脸变成了方形的国字脸            
(3星)	 没前两季经典~            
(3星)	 又进去了 没什么看头!            
(NA)	 去年全球最风靡火爆的美剧了，把美剧推向一个高度。趁五一假期看完前两季，然后一周一集啃第三季……今年下半年第四季要见面了，全球最帅的男人~呵呵            
(5星)	 有人逃出来，有人又进去了            
(5星)	 Just have a little faith!看过1~3季，期待9月的第四季。            
(1星)	 第三季totally piece of crap            
(5星)	 第一季第三季好 第二季太差！！            
(NA)	 为什么  还不能 安息            
(3星)	 一般来说，续集多半不尽如人意。《越狱》到了第三季，只有八集，环境越来越脏、乱、差，不好玩了。其实没看完，但好像已经没多少兴致了。            
(NA)	 让人无法期待第四季。            
(4星)	 回归监狱，依靠狭小的表演空间越狱的编剧们打算再次借助一的成功之处来次复辟。但整季下来，相较第二季不过是差强人意。            
(5星)	 Prison Break            
(3星)	 说实话，pb拍第二季就是一个败笔            
(4星)	 比第2季好~            
(3星)	 一口气连看三季，实在品不出啥滋味了。这越狱啥时候越完呀？？            
(NA)	 准备迎接第四季            
(3星)	 第三季看到Sara死就没往下了。正好编剧罢工开始了～～～如果Sara回来了就更不看了～～            
(4星)	 还行，还是觉得第一季最强            
(3星)	 因为第二季有点拖沓的公路追逐失掉了不少观众，所以决定第三纪统统抓回来……变无聊了，没有耐心看下去了            
(NA)	 期待第4季            
(NA)	 由于一二季的惯性看了第三季。感觉没前两季好：（            
(NA)	 米帅聪明智慧.个人心理素质的再次展示.难以抵挡你的魅力            
(3星)	 么看完,不跟了            
(4星)	 不喜欢pb3,越来越，因为太粗糙了剧情            
(NA)	 等待第四季·  呵呵·            
(NA)	  越狱             
