http://movie.douban.com/subject/2160565/	家有儿女
(5星)	 虽然说与成长的烦恼太过雷同的剧情，但也不乏中国特色            
(5星)	 看一次笑一次            
(4星)	 很好            
(NA)	 极爱宋丹丹            
(3星)	 动画版的也不错            
(NA)	 喜欢刘星            
(4星)	 情景喜剧 确实很有意思             
(4星)	 刘星为什么要长大！！！！            
(3星)	 某男竟然认为此片是我的最爱。。。我昏！            
(NA)	 呵呵，陪着我可爱的弟弟，不睡觉的看电视            
(4星)	 现在的小孩很真实            
(4星)	 2最好看            
(NA)	 闲来无事可以看看~~            
(4星)	 夏天的时候吃饭完就看。            
(NA)	 喜欢喜欢，白看不厌，遥控杀手，哈哈            
(4星)	 其实挺好看的。。经常在电视台看到            
(5星)	 前两部最好看。刘星小时候最乖。            
(3星)	 好看？没觉得~            
(4星)	 笑笑            
(4星)	 支持国产原创，支持刘星            
(3星)	 无聊时的消闲。            
(NA)	 陪老妈老爸一起看的            
(NA)	 刘星真可爱。            
(5星)	 就是喜欢情境喜剧～～～            
(NA)	 蛮不错滴~            
(NA)	 流星这孩子咋就这么可爱尼            
(NA)	 轻喜剧            
(5星)	 嘿嘿果然好笑！            
(NA)	 家有儿女，常备优卡丹            
(3星)	 有的地儿确实挺逗的，喜欢小时候的刘星和小雪阿，大了都变样儿了            
(4星)	 初中的時候倒是常常看誒~            
(4星)	 每天电视都播能没看过么？            
(5星)	 早有《我爱我家》，今有《家有儿女》，大陆的情景喜剧就靠这两块牌子撑着了。            
(4星)	 补标记            
(NA)	 童年..            
(4星)	 還是小時候的劉星好玩兒！！            
(5星)	 哈哈哈，小时候好看可爱            
(4星)	 每次看都会傻乐。            
(5星)	 好怀念喔            
(4星)	 这个怎么能少~~~            
(NA)	 看这个的时候都上高中了(┳＿┳)...             
(1星)	 啧。。我就是很讨厌这个！            
(3星)	 这个有的还是挺有意思的。。。有一阵儿天天看- -            
(3星)	 电视现在播 我还偶尔看一下            
(5星)	 好喜欢好喜欢！！            
(4星)	 高考完的暑期乐趣啊。            
(NA)	 我竟然看了那么多情景喜剧= =             
(4星)	 刘星跟我一样调皮捣蛋。            
(4星)	 = =            
(5星)	 喜欢张一山。            
(4星)	 喜欢那个弟弟~好可爱            
(4星)	 这一类的电视剧应该鼓励            
(5星)	 刘星～            
(5星)	 從初中看到高中啊。。全家一起看笑成一團最溫馨了~            
(3星)	 三小孩越长越残            
(3星)	 特不待见他们家小雪 不知道为什么——装得厉害            
(4星)	 其实还挺好的 轻松 一看就想起来夏天            
(5星)	 高三的假期最喜欢看的            
(2星)	 我当时真的很无聊，居然还经常看！            
(3星)	 那么多电台放它，我对它产生了畏惧感。            
(4星)	 因为妒忌所以我减掉一颗星 +10            
(4星)	 虽然没有看全，但是电视播的时候都会看。有的集已经看了很多遍了。            
(5星)	 这应该是迄今为止最好的情景喜剧了            
(4星)	 很欢乐的一家            
(NA)	 那年我们高三。            
(4星)	 美化了的家庭~~~~~            
(5星)	 爸爸爸爸爸爸爸爸爸爸爸爸            
(3星)	 孩儿们都怎么长的！全歪了!            
(4星)	 当时觉得蛮好的            
(3星)	 小孩子演得很好，宋丹丹比《我爱我家》时可差远了            
(5星)	 比神马成长的烦恼好看多了。好多次都笑的前仰后合。哈哈。            
(4星)	 其实我很恶趣味地希望刘星和小雪在一起，恩哼。            
(3星)	 宋丹丹的表演有点过            
(NA)	 内会儿在学校天天看见张一山~他还是小时候可爱~ 可爱死了。。            
(NA)	 TV | 为啥情景剧里面的姑娘不漂亮点            
(4星)	 生个小孩儿要是像刘星就好了，哈哈            
(4星)	 第一部最好看了，凡是有续集的电视剧都这样            
(4星)	 grow pains  家有儿女 不同的感觉 但都好看              
(4星)	 很温馨，很推荐！            
(4星)	 贫嘴系列            
(5星)	 我是果真喜欢情景喜剧的人儿            
(3星)	 情景剧也有春天            
(5星)	 姥姥：这泳裤多少钱买的？爷爷：二百五~姥姥：我没问您~ 我问价格~爷爷：你。。。。。我哈哈哈我都不行了~            
(3星)	 都是小时候好看            
(NA)	 我还真没看出什么好来，只是张一山长的也和夏雨忒像了吧            
(NA)	 幸运的是我发小给我看过一同人黄段子 很长很长的跟小说似的段子            
(NA)	 some            
(5星)	 我真觉得挺好看~            
(4星)	 还是小时候最可爱            
(4星)	 很好看啊，佩服编剧            
(3星)	 不知看了多少集，只能说凑合看看吧            
(4星)	 好喜欢夏爸爸~！            
(4星)	 好歹也是我的童年回忆不是            
(3星)	 第一部的时候我还蛮喜欢的。虽然觉得挺山寨的。后来。。看不下去了            
(4星)	 我觉得这算不错的了。至少在当年那个热播。。            
(4星)	 超級喜歡阿。            
(4星)	 其实它可以作为不和谐家庭的调和剂             
(4星)	 那个暑假窝在家里和爸妈一起看完了。。。            
(3星)	 他们家那小区外景似乎就在五棵松桥南那边            
(5星)	 我爸最愛            
(1星)	 恶心人的~~跟《成长的烦恼》一做对比，o(︶︿︶)o 唉，我都不忍心比了            
(NA)	 我太弱了 居然喜爱上这个            
(4星)	 那个时候的趣味和感动，今天很难找到了。我想张一山尤浩然他们自己也找不到了。            
(NA)	 人间喜剧            
(3星)	 2010.06.01            
(3星)	 暑假特别无聊的时候看的。还算过得去            
(NA)	 父母通情达理            
(4星)	 哎哟喂，我的那个搞笑啊            
(3星)	 其实还蛮欢乐的啦            
(4星)	 百看不厌            
(5星)	 不错            
(5星)	 我原来是一眼都不沾的电视..07年去桂林在宾馆里YZR非要嚷着看..后来他告诉我他看的原因就是觉得这个可以学习教育自己的孩子..我回京后也开始试着看..发现是那么回事~~~            
(NA)	 一点都不好笑！为什么到处都在放！             
(5星)	 初中时看的电视剧            
(5星)	 很可乐            
(4星)	 挺好看 很真啊 不装啊 难得啊！！            
(4星)	 夏东海真好            
(4星)	 我爱看，完了我爸磕趁我，我就说，给我奶奶看滴～            
(4星)	 国内算是比较好的了 家庭生活还能是怎么样的呢            
(4星)	 学习北京普通话专用教材            
(4星)	 第三部拉下一颗星。小雨真可爱            
(3星)	 略微做作            
(4星)	 和老妈偶尔打发时间            
(4星)	 喜欢一二。            
(3星)	 家有儿女，常备优~卡~丹！            
(4星)	 姜文 夏雨 张一山 多象一家子啊。            
(3星)	 没太大感觉。            
(3星)	 张一山92年的。丫那女人居然要追。            
(4星)	 第一部还是有些好看的            
(2星)	 太主旋律了吧...            
(4星)	 喜欢这一家            
(4星)	 以前说看着XX剧长大，而现在是看着剧里的孩子们长大            
(3星)	 我挺喜欢这戏的温情感觉。可是老觉得做作，可能90后看了更喜欢吧。我更喜欢我爱我家那种的……            
(3星)	 ......            
(NA)	 播哪个台哪个台放这个            
(NA)	 高三每天看            
(3星)	 用奶奶的话说。。。闹挺~~            
(4星)	 突然间 我喜欢刘星了            
(5星)	 挺好玩的家庭剧，后来的几部演员都长残了。对白和情节也有点不像演员们都还小的时候那样了。            
(3星)	 深深地感到80后90后之间的代沟是多么的不可逾越=-=b            
(2星)	 山寨成长的烦恼。            
(5星)	 百看不厌            
(4星)	 很平凡 很引人 很有回忆            
(4星)	 诙谐！这就是看点。            
(5星)	 挖掘了一颗星            
(3星)	 一般般            
(3星)	 为什么人家二婚家庭就可以圆满呢？            
(NA)	 夏东海是个好男楞。。。            
(4星)	 小时候看就说，真想有个这么欢腾的家啊            
(3星)	 没什么电视看就放这个            
(5星)	 还是喜欢开始的第一部。。            
(3星)	 这个就是平时没有好看的时候看的            
(5星)	 刘星！！！            
(4星)	 可爱的刘星            
(4星)	 笑死了笑死了            
(3星)	 没什么感觉            
(4星)	 年幼的张一山，是一个很美很美的人            
(4星)	 有年暑假天天都在看。囧            
(4星)	 坚决不能接受小雪换演员。。            
(NA)	 ~~~            
(3星)	 刘星~ 挺像他的~ 呵呵~ 可惜··            
(2星)	 小朋友都非常可爱，剧情就有些做作。而且受不了夏东海这个爸爸的形象。  太。。娘。。了。。。            
(4星)	 推荐家长用看寓言的眼光看待，会有收获            
(1星)	 一开始就不该学成长的烦恼，跟人家比差远了去了            
(4星)	 撇掉后面的不说还真的有点意思            
(3星)	 补漏            
(2星)	 看来看去确实挺没劲的。            
(NA)	 其实我觉得刘星长得挺像那谁谁的？我忘了。            
(5星)	 只爱第一部            
(3星)	 这一家子人            
(1星)	 烂片！            
(4星)	 不错            
(3星)	 开始还不错，后面有些闹。而且有美化之嫌。另外，有些模仿《成长的烦恼》。            
(4星)	 2007~2008 大陆            
(NA)	 消磨时间 质量还可以            
(3星)	 居家 第一部的刘星太妙了            
(5星)	 恩有子女了要再看            
(NA)	 哈哈            
(4星)	 一直都断断续续的看 真想哪天痛快的看完哦～～太喜欢刘星了            
(5星)	 快樂的一家。國內經典情景劇。            
(NA)	 funny drama            
(4星)	 贼经典            
(5星)	 我只喜欢他们拍的版本。            
(NA)	 一直都很喜歡看            
(5星)	 家有儿女  真幸福            
(4星)	 真的可以笑死人。。。            
(NA)	 很假很搞笑            
(1星)	 不可容忍            
(NA)	 其实第二个小雪没有第一个小雪那么舒服，对吧？            
(4星)	 很好玩但感觉抄袭成长烦恼哈哈            
(NA)	 好看，只要放这个，不管看了几遍都爱！            
(4星)	 挺好笑的            
(5星)	 &#34;我叫夏雨&#34;,&#34;我叫夏雪&#34;刘星说&#34;我叫下冰雹!&#34;哈哈            
(2星)	 因为先看过成长的烦恼，这就一山寨            
(4星)	 一二部很赞            
(4星)	 我妈妈很喜欢 ...            
(NA)	 家庭。            
(4星)	 看的时候一定不会忘记笑的。            
(2星)	 满二的            
(5星)	 滿好笑的~            
(3星)	 只喜欢第一部            
(NA)	 喜欢1，2部            
(4星)	 别再拍第四部了......想赚钱也别这样......            
(5星)	 超好看            
(NA)	 家有儿女             
(NA)	 关于成长中的点点滴滴            
(5星)	 教育意义 家庭            
(NA)	 这种家庭我喜欢饿~~            
(4星)	 现在我能记得的，是一句广告词家有儿女，常备有卡丹！            
(3星)	 全中国的小孩都在看&gt;_&lt;            
(NA)	  我很羡慕他们那个幸福美满的家庭·            
(3星)	 就第一本看的最完整，因为每天一集，所以觉得也還行，但是后来就假了，特别是几个小孩长大后，越来越难看啊。            
(3星)	 没办法，被变成型男的张一山打败了            
(NA)	 没意思            
(NA)	 父母与孩子的理想模式            
(4星)	 想家了～～～            
(3星)	 搞笑的小男孩 讨厌宋丹丹            
(3星)	 那小孩现在很火呀，都成吸金王了            
(NA)	 喜欢小雪,刘星也不错啦            
(4星)	 看起来比较舒服，没别的看了就看这个吧~~            
(5星)	 刘星刘星刘星刘星刘星刘星刘星刘星刘星刘星刘星刘星刘星刘星刘星刘星刘星            
(4星)	 喜欢像下雨一样的小孩儿            
(3星)	 除了刘星我能看下去            
(4星)	 温馨好玩            
(NA)	 吃饭时候适合看~            
(5星)	 刘星啊刘星            
(5星)	 -“你这孩子，早知道你这样，我当时就不生你……”——“谁让你生我了，经过本人同意了吗？”            
(3星)	 被强迫看了好多集……            
(NA)	 是在醫院打針的時候喜歡看的吧            
(5星)	 太好玩了，喜欢夏家的两个男孩，给我做儿子吧……            
(NA)	 比想象中的好            
(4星)	 放假回家看的，老爸很喜欢            
(NA)	 每个台都放，被逼着看的，不过觉得很好看，尤其是第一部            
(NA)	 随便看看。            
(5星)	 我喜欢            
(5星)	 别人都说偶幼稚我说自己是童心未珉            
(5星)	 喜欢张一山，很有喜剧感。            
(4星)	 家里要是真有这样的一群孩子真的累坏了！嘿嘿            
(4星)	 有趣的家庭教育片，爸爸真是太模范了            
(NA)	 司考伴侣            
(5星)	 清新自然~            
(3星)	 张一山小朋友太像夏雨了，剧情模仿GP            
(5星)	 超喜欢            
(5星)	 说不出的温馨。            
(4星)	 因为妒忌所以我减掉一颗星            
(4星)	 喜欢刘星            
(3星)	 补遗            
(5星)	 現在看電視的話就只會看這個了。太多的回憶。            
(NA)	 哈哈笑死了            
(5星)	None
(1星)	 太假了            
(3星)	 瞧瞧以前多好玩呀            
(4星)	 内地版成长滴烦恼            
(3星)	 搞笑又好玩。只能用喜剧去表达，教育子女你就算了把。            
(4星)	 算是国内很不错的长篇短剧。。好像是固定在教育台还是电视剧频道放的。。            
(4星)	 起初觉得做摆，后来觉得逗乐            
(3星)	 我妈和我吃饭看的剧。            
(5星)	 那些明明天天抱着电视看还说不好笑的装b犯都去死            
(1星)	 要不是生在21的傻X世纪 就这能火的起来？            
(5星)	 小时候暑假里一直追着看，真的很有意思。            
(4星)	 刘星赞 夏雨二            
(4星)	 最喜欢看爷爷和姥姥吵架，还有小刘星……            
(4星)	 想来是很温馨的            
(4星)	 以前超讨厌，后来又贼喜欢=。=            
(4星)	 挺有爱的。            
(5星)	 家有儿女 家有优卡丹~            
(4星)	 逗儿            
(3星)	 成长的烦恼            
(5星)	 很欢乐，小演员们表演的特别舒服，尤其是张一山            
(1星)	 远不及我爱我家，编辑部的故事，近不及炊事班的故事，卫生队的故事，武林外传            
(5星)	 不错的家庭剧，好看。            
(5星)	 太喜欢第一部了            
(4星)	 第一部永远是经典……刘星小雨都长残了，小雪还行……            
(5星)	 三个孩子都恨逗，想想有时候还蛮羡慕这样子的家庭呢            
(4星)	 各大卫视轮番轰炸的时候看见就换台，后来偶然看了点觉得还真挺不错的~~电视剧嘛，表太较真儿~            
(4星)	 欢乐剧，但还不够欢乐。。            
(NA)	 曾經的最愛，劉星殘了，小雪貌似還不錯。哈哈哈            
(2星)	 非常贫非常聒噪非常讨厌的一部片子！！！            
(NA)	 老爸是嫪毐，儿子像夏雨￢_￢            
(4星)	 情景喜剧啊好            
(4星)	 刘星啊你现在残的            
(4星)	 算是个不错的消磨世界的东西吧～            
(3星)	 陪着我度过的一个暑假            
(5星)	 第一部不错，后面就不行了            
(4星)	 儿时的回忆  家庭电视剧的经典            
(4星)	 小时候我想成为他们家的一份子，哪怕是胡一统= =            
(NA)	 曾经有一段时间，电视没好看的电视剧的时候就看家有儿女，自然成长法。四星！            
(2星)	 ……            
(5星)	 classic            
(5星)	 记忆 我喜欢宋丹丹            
(4星)	 在中国能拍出来算不错的了。            
(4星)	 因为我和夏小雨很像，所以常常被问是不是我演的，哈哈            
(4星)	 第一部确实很好            
(2星)	 简直弱爆了，还号称中国版成长的烦恼。            
(1星)	 狗屎 你好            
(4星)	 话说，刘星很可爱啊            
(5星)	 lol。            
(4星)	 我觉得里面的事挺真实的,但大人说情节好夸张            
(4星)	 还挺好看的             
(NA)	 代表90年代的一个家庭的故事            
(4星)	 情景喜剧吧~没事无聊看看挺好的，不过那时候妈妈不让看，说小孩看了学坏哈哈。            
(5星)	 第一部的小雨真可爱。。。            
(4星)	 ...            
(5星)	 看了很多遍，百看不厌            
(4星)	None
(5星)	 这个已经被我看的要烂掉了。级别相当于我电脑的背景音乐。同寝室的娃们被我摧残了两年起码。吵吵闹闹却幸福着的一大家子。            
(5星)	 好看            
(2星)	 也曾在换台的间隙带给我一丝欢乐。丹丹姐一直都不是我敬佩的好演员。            
(3星)	 中国版“成长的烦恼”。            
(4星)	 最喜欢的还是第一部            
(4星)	 第一部还好。。后面巨残            
(4星)	 当时很喜欢啊 初三~            
(NA)	 。。。            
(NA)	 小刘星太像夏雨了。            
(4星)	 鬼灵精怪            
(5星)	 百看不厌的家庭剧，以后安定下来，必买碟            
(3星)	 有些部分略假。不过总体还成，越拍下一部越难看，假巴巴地弄堆笑声，可是根本没笑点。不如直接当连续剧看，别什么喜剧了。            
(3星)	 我妹特喜欢            
(3星)	 这女的啊，看来我已经南方化了很多了。            
(4星)	 都不错啊  不过最初是被童版夏雨跟帮妈妈洗脚弟弟吸引过来的            
(4星)	 虽然是模仿成长的烦恼，不过，加入了很多中国笑料，可以让人开怀一笑            
(4星)	 只有第一部好看 和各种表弟表妹一起看            
(3星)	 普普通通            
(NA)	 100集  2005            
(4星)	 小时候好喜欢呀 呀 呀            
(4星)	 后来者就不堪了            
(4星)	 “我叫下冰雹”~哈哈哈            
(4星)	 出国前那三个月看的，给我孤独无助的生活，添加了很多色彩。。。            
(4星)	 真羡慕那样的家庭~亲切自然温馨~~            
(5星)	 刘星太可爱了，现在碰到也要看...            
(4星)	 有歡笑有溫情有淚水。還有千年不變的大道理。中國大陸自制的能到這地步已經很不錯了。            
(4星)	 回忆啊……            
(3星)	 其实没那么好看，当时是电视上没什么可看了，才看的。            
(4星)	 啊            
(5星)	 第一部最经典            
(4星)	 适合全年龄段诶            
(5星)	 一集不落            
(5星)	 其实一直都没有看完[泪]高中时期必看调剂情景剧~~~            
(4星)	 那3孩子越小的时候越好看，长大了也泯然众人            
(4星)	 一家N口的生活小爆炸            
(3星)	 那些个无聊的假期 就开着电视机看家有儿女= =很喜欢刘星的说            
(3星)	 一部比一部难看，童星长大都长抽了。。。            
(4星)	 很好笑的片子~            
(5星)	 我的成长，没有那么多叛逆，但一样那么温馨。            
(4星)	 必须说！！！！我发自内心笑得挺欢乐的！！！！            
(3星)	 我觉得这个虽然是消磨时间用的，但的确还过得去            
(4星)	 挺可爱的            
(4星)	 张一山！            
(4星)	 我爱情景剧            
(4星)	 陪我度过了高考之前的苦逼岁月            
(5星)	 以前不喜欢的，渐渐的喜欢上了。            
(5星)	 国产家庭版 生活大爆炸            
(3星)	 其实我觉得它作为喜剧...实在是太一般了....看了好些集实在是因为小朋友比较适合看这种电视....还有孙由甲说小雪像我= =。            
(5星)	 刘星最好笑了。。第三部简直不能看！            
(4星)	 怎么可能没看过。刘星~你妈喊你回家吃饭~            
(2星)	 吵死人的电视剧            
(4星)	 一度很喜欢，挺有意思的。            
(4星)	 有几集弱智的有点过分啊= =            
(4星)	 我们就是幸福的一家            
(4星)	 那时年少各种剧~            
(4星)	 小时候追着看啊            
(4星)	 这戏把“刘星”捧红了。。            
(3星)	 中国版成长的烦恼，可是以前还很喜欢的呢            
(5星)	 很喜欢张一山            
(4星)	 没事开着电视放笑话听~~~            
(3星)	 没怎么看。            
(4星)	 每次调到这台我妈就说都看过八百来遍的了。。现在偶尔还看。以前特喜欢刘星，高考时才醒悟他跟我差不多大            
(5星)	 超级喜欢            
(5星)	None
(5星)	 经典!            
(3星)	 前几部还行 伴我童年。            
(3星)	 哈哈 我真能看进去 friends 我就不行 为啥啊             
(5星)	 还是第一部最好            
(4星)	 喜欢呀，好喜欢张一山！！            
(4星)	 高三必备，因为一集不是很长。。。。            
(3星)	 刘星你到底和夏雨是什么关系！            
(4星)	 喜欢他们那一家的氛围            
(NA)	 看完了啊            
(4星)	 当初真心喜欢看这个...张一山长大了变好好看，理想型啊❤            
(4星)	 中国版的成长的烦恼，第一部还不错，喜欢几个小孩，也向往这样开放的家庭            
(3星)	 我觉得一般，没成长的烦恼好。            
(1星)	 什么东西啊！还中国版的《成长的烦恼》不要搞笑好吗？            
(3星)	 现在他们都长大了。            
(5星)	 陪我吃了很多的饭            
(4星)	 成长的烦恼            
(4星)	 孩子们长大了都不好笑了。。。还是小时候好            
(5星)	 还能说什么呢，看不厌            
(NA)	 每一集都看过很多遍，片尾曲很欢快，经常伴着我吃饭            
(1星)	 笑点萌点究竟在哪里啊混蛋！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 家庭成分也忒复杂了            
(NA)	 高考后的暑假、、、            
(3星)	 那群小p孩儿都长大了呢~            
(3星)	 某個假期的打發時間良友            
(4星)	 第一部还挺好笑的.            
(3星)	 其实就是个乐而已，如果真在现实生活里，刘星那妈非被骂死……愣把自己亲巴巴儿子锁家里，带着不是自己生的两个出去玩……            
(3星)	 好吧，我娘很鄙视我看这个，因为她觉得宋丹丹巨丑- -            
(5星)	 太搞笑了有木有，很多时候就靠这个乐呢，尤其是小时候的刘星，那会儿张一山演的是真好呢！～～长大了总觉得束缚了好多！～～            
(3星)	 蛮符合国情的情景剧，所谓的老少皆宜么。╮(╯_╰)╭            
(3星)	 小温馨~            
(4星)	 刘星刘星，大猩猩~~哈哈            
(5星)	 我想要的            
(4星)	 最近写论文，少儿剧中的女性形象分析，又看了一遍。            
(3星)	 刘星和小雨小时候太可爱了~            
(NA)	 什么都是第一部最好看            
(5星)	 小学时候【六年级？】的最爱。            
(3星)	 第一部的剧本写的真的很好，很多故事非常值得一家人做起来看            
(1星)	 额，向来不喜欢这种打开电视到处都是的东西。。            
(4星)	 这时候的刘星太鬼了，其实不是那么喜欢小雨和小雪的说            
(4星)	 男大十八变。            
(3星)	 其实套路很确定            
(4星)	 暑假每天中午捧个饭碗蹲在茶几前眼巴巴地看            
(3星)	 闹腾的            
(3星)	 刘星太逗了哈哈 没换演员的我还会追一追。。后来好像换演员了，就没再看了            
(4星)	 刘星啊！！！！！！！！！！！！！！！！！！！！            
(3星)	 打发时间吧            
(NA)	 有一年都播疯了            
(NA)	 断断续续的看。            
(NA)	 这个。。。懒得标星了。。。。            
(NA)	 这群孩子特烦，宋丹丹演的妈还不如我妈可爱            
(2星)	 神马玩意            
(NA)	 第一部最纯粹！            
(5星)	 小孩都长大了            
(NA)	 还是不错的            
(3星)	 张一山演得还是挺好的。剧一般。            
(5星)	 太可爱了！            
(4星)	 情景喜剧都不排斥，看着特轻松~            
(NA)	 算是中国比较成功的肥皂剧，赞一个。            
(5星)	 不错            
(5星)	 挺喜欢这部情景喜剧的，尤其是刘星和夏东海            
(4星)	 有娱乐杂志称“全中国普及这家人”，哈哈，只是一开始真的没想到小雪和刘星是同龄人~            
(3星)	 羞于说看过这个戏，but 是个打发时间的东西            
