http://movie.douban.com/subject/2303241/	小侠龙旋风 小俠龍旋風
(4星)	 3年级的时候吧？蝙蝠和石像，日夜两相望            
(5星)	 原来令我印象深刻的白天雕塑晚上蝙蝠就是这部啊。。。            
(NA)	 小时候，很小的时候，和其他小朋友一集不拉地看完了~            
(4星)	 呃 刚刚看MSN新闻想起来的 哈哈 蝙蝠侠！            
(NA)	 超怀念            
(3星)	 么印象了...只记得石头            
(2星)	 小时候觉得这是一部暴无聊的片子……            
(NA)	 小五白衬衣背带裤，雷打不动蹭电视看。补完~！！！！！！！！！            
(3星)	 30            
(4星)	 太经典 奇幻            
(NA)	 哈哈，小时候看过            
(3星)	 那时候偶多么喜欢吴奇隆啊~~            
(3星)	 儿时的记忆，前几天突然回想起来了            
(NA)	 终于找到了            
(3星)	 要不是今天看到的一个帖子里提起，我绝对不会记起小时候还看过这部剧。情节什么的全部忘光了，唯一记得的就是一个粉红头发的外星人MM还挺漂亮的。            
(5星)	 小学时代的五星级            
(NA)	 小学一年级热爱的片~其实我都不怎么记得了~            
(5星)	 很喜欢记录这种片子的感觉            
(5星)	 超喜欢看，很不错的电视剧~            
(4星)	 哇，这都能找到！            
(4星)	 你是神奇的旋风，呼            
(5星)	 哈哈,小虎队最经典的片子！            
(5星)	 可惜因为考大学闭关，所以缺了我家苏有朋。            
(3星)	 ~炯阿炯~ 回忆哇。            
(NA)	 虽说不收藏电视剧,不过这部实在是心头爱            
(5星)	 推怀旧的了            
(NA)	 神奇            
(NA)	 我是神奇的旋风。。。            
(3星)	 哈哈，有外星人            
(4星)	 终于让我找到你了~~~            
(4星)	 颇有创意的古装奇幻风电视剧            
(4星)	 好老的片子            
(4星)	 记得当时恨希希公主恨到死，连做梦都在骂她（妈妈说的）因为她抢走了我的吴奇隆！！！            
(4星)	 童年的经典！看了一遍又一遍，现在完全忘记！            
(3星)	 小时候爱的不得了~            
(3星)	 。。。。。。            
(3星)	 这个回忆啊。真想回到12年前,看看9岁的我。            
(4星)	 小时候印象太深了！            
(NA)	 是不是啊，不太确定了            
(NA)	 我是神奇的旋风....好像有红孩儿。。。            
(5星)	 印象最深的是，小时候吃着小浣熊干脆面，送小虎队的卡，看着《小侠龙旋风》，白天变成石头的女子和晚上变成蝙蝠的男子，真的很感人。            
(3星)	 终于找到这部剧了，外星人啊外星人！            
(3星)	 绝对看过，绝对没印象，就记得俩名字“花无影”“花弄月”。。。我勒个去            
(NA)	 话说很早的电视剧了，我还没看完，不过人变成石头和蝙蝠的剧情挺科幻的            
(5星)	 我记得当年特别喜欢。。。错过了还拿录像带录下来。。。            
(5星)	 回不去的小时候。            
(3星)	 童年啊~~~~            
(5星)	 第一个UFO            
(3星)	 剧情已经模糊到不行。依稀记得白昼化身石像的女子，还有黑夜变身蝙蝠的男子，日落月升，永不相见。            
(3星)	 这里里面有个粉头发姐姐的戏吗？？            
(4星)	 印象最深的情节是神仙姐姐花无影被她的师姐花弄月下咒，白天变成石头，晚上变回人，她的爱人万里云却是白天是人，晚上变成蝙蝠。            
(4星)	 记得里面一对情侣永远见不到对方，一个白天是石像一个晚上是蝙蝠            
(3星)	 心中凄美爱情的样子。            
(4星)	 对剧情印象深刻，对片头和片尾曲印象更深刻，直到现在都还会唱。片头曲中有一个人恐怖的脸给我留下了极大的阴影。            
(NA)	 我跌进魔幻剧的漩涡，大概就是由此开始的吧            
(NA)	 只可惜结尾20级后实在是剧情太简单了，而且茜茜公主也没回来。难道是删减了？            
(4星)	 石像姐姐与蝙蝠大侠的苦逼爱情            
(5星)	 儿时的回忆哦……            
(4星)	 当年觉得那个好看呀。还有盗版李若同也不错            
(4星)	 记得看过，那时候每天是那么的期待            
(4星)	 看的时候太小了。依稀记得好神奇。            
(5星)	 童年时代的经典，小时候被那段蝙蝠和石像的爱情感动的一塌糊涂            
(NA)	 为什么只记得陈志朋……            
(4星)	 忘了            
(5星)	 怀念啊            
(4星)	 经典怀旧了一下，现下看来剧情上稍微有点虎头蛇尾，打斗场景貌似只在前半部，后半部成心理战了，所谓的闯魔教竟只有短短的一两分钟。。。anyway怀揣着对希希公主的那份执着，重温了一下~            
(5星)	 最爱西门霜了！            
(5星)	 儿时的记忆            
(NA)	 石像，蝙蝠，外星人……            
(3星)	 蝙蝠和石头人，昼与夜的爱情            
(5星)	 神仙姐姐白天使石膏晚上是人 那个男的白天是人晚上是蝙蝠，真可怜            
(NA)	 小时候看的，好怀念啊，里面有一个外星人，还有一个人会变成石像……            
(5星)	 很小很小很小的时候看过。都记得一些情节。O(∩_∩)O哈哈~            
(5星)	 那时候超爱            
(4星)	 那时很激动。            
(3星)	 童年记忆有木有啊。。。            
(3星)	 QAQ            
(NA)	 奇葩剧。我就记得兄弟里面貌似是陈志朋问那个外星人公主，电脑到底是一种什么脑呢？            
(5星)	 童年最初的回忆 原来那个时候开始就心水老大了  唉 摸摸 有爱的老大            
(2星)	 一堆人围在飞哥那里看呀...这样的时光再也回不去了...            
(NA)	 小时候的最爱！那个时候的吴奇隆超级帅啊！！！            
(5星)	 2岁不到看的电视剧！还记得，真的很神奇！            
(4星)	 都会变。。。            
(4星)	 小虎队和女魔头的故事  配乐至今记得            
(4星)	 就是因为这部剧，才喜欢吴奇隆的。            
(3星)	 现在想来也就一般吧，不过当时觉得很神奇；话说主题歌现在也记得。            
(5星)	 就是童年的感觉            
(4星)	 奸臣曹吉祥            
(4星)	 主题曲很好听，可惜没看过结局            
(5星)	 已经完全记不得剧情了！！！但就是经典！！！我是神奇的旋风，飘呀飘过那激流，在人间哪里有温暖，就往哪里走！！！            
(5星)	 现在有时都会想起来，我明明记得名字叫《旋风小子》的啊。。            
(5星)	 太他妈经典了，我以为找不到了，啊哈哈原来我很早就看过小虎队的作品，（旋风 科幻 港台 主角女的早上一个样 晚上一个样 还有飞碟 外星人）这是我的碎片记忆            
(5星)	 对那个白天黑夜变换 相爱的人不能相见 现在都有印象            
(2星)	 当时看片子的时候觉得好奇妙啊，现在回想起来仍是            
(5星)	 这部算是中国最早的科幻片吧！            
(3星)	 周围的九零后一个都没看过 我果真从小和八零后混的            
(4星)	 为什么沒有多少人看过啦！            
(4星)	 哈哈 武侠科幻巨制 才想起来是它            
(NA)	 有外星人的！！！！还很美！！！            
(3星)	 后来出了一种干脆面，好像叫小旋风之类的            
(5星)	 记忆当中的绝版。。。恐怕现在看的话是一部雷剧。。。但是谁让他是记忆呢            
(NA)	 当时好爱看！！            
(3星)	 天哪，我竟然也看过~小时候果然是来者不拒啊，什么雷剧都看~            
(NA)	 武侠科幻乱炖            
(NA)	 顾冠忠扮相最好的一部。            
(4星)	 小虎队啊小虎队啊。            
(4星)	 记得有外星人，有个男的变成蝙蝠，女的变成石头            
(5星)	 90年出品的啊，小时候记忆最深的电视了            
(2星)	 小时候就雷死我的，不过是第一次知道小虎队诶            
(3星)	 其他没印象了 只记得那一对白天夜晚错开的恋人 灵            
(5星)	 五星送给我童年的回忆。还有童年的偶像吴奇隆            
(NA)	 肯定看过，但是一点印象也没了，只知道是小虎队的作品。            
(NA)	 俺最早见过的一位外星人姐姐，而且在古代！ 当时兴奋地跑去把所有小伙伴叫来看了~~可是，为嘛我一直都是以为，男主脚晚上变成的是老鹰？            
(5星)	 可见我多早就开始看奇情武侠奇幻剧了。            
(4星)	 小时候跟哥哥一起看的，去年暑假哥哥又把这戏翻出来看了一次。            
(3星)	 这个可以算cult片么            
(4星)	 仙女姐姐从这个时候开始……            
(4星)	 小时候很喜欢看，可惜似乎都没看过结局            
(3星)	 终于他妈的找到了            
(3星)	 小事看的真纠结。。。            
(NA)	 漂亮的外星人。。。            
(3星)	 當年很科幻啊！！！白天石人晚上真人，白天真人晚上變成蝙蝠，還有外星人。。。。            
(4星)	 那什么，小时候真是超迷超迷的！前几年还和大学室友一起重温来着            
(NA)	 厮守终身却永不能再见面.无论时境如何变迁,最动人始终都是情之一字.            
(NA)	 五年级，可是因为作业家务之类的，没看完整，还想看。            
(1星)	 印象最深的就是神仙姐姐白天会变成望夫石。现在想想，这故事怎么跟跨国恋似的。            
(4星)	 看名字有些印象，看了剧情简介，慢慢回想起来            
(NA)	 终于找到了小时候每个暑假都看的神鬼剧。只记得那个一会儿石头一会儿人的女演员气质塑造的特别像神仙姐姐~ （曼曼，就是这部）            
(3星)	 丫的，那么小的我就看过奇幻了。。。。。囧，当时怎么不觉得            
(NA)	 印象最深的是一对情侣，姑娘白天石头晚上人，小伙晚上蝙蝠白天人，一辈子无法相见。。多狠的咒啊            
(4星)	 就是这时候开始超爱吴奇隆的~            
(NA)	 原来就在这里，每次做梦到会梦到，当时不知道什么时候打下的烙印。            
(NA)	 离奇的片子            
(5星)	 儿时回忆，黑夜白天            
(5星)	 只有7.3分一剛，你們這幫沒品位的。。。            
(3星)	 上六年级的时候班上男生说小虾龙旋风甚至还不如同时期的大陆剧白眉大侠好看···觉得经典···现在想想剧情怎么那么扯            
(5星)	 终于找到了  每次跟人描述很多遍 可是就是没人记得！！！！            
(3星)	 不知道现在再看会不会把自己雷死，但当时看的确实觉得挺好看的~~            
(3星)	 记得是当年山东台每天晚上演的。            
(3星)	 回忆            
(4星)	 哈哈 初中时候看的很乐            
(NA)	 主题曲很好听，很难忘！儿时的回忆            
(4星)	 神仙姐姐～            
(4星)	 原來這部劇是這個名字！西門霜~            
(5星)	 小时候啊~~~            
(3星)	 呵呵 突然想起这部老片            
(5星)	 原来叫这个名啊....小时候看过 影响老深了 就是不记得名字            
(4星)	 小时候的经典哦!终于找到了!            
(5星)	 最近又在看~            
(5星)	 上小学时候看过            
(4星)	 蝙蝠和石像的故事            
(NA)	 我了个去，豆瓣上居然还有这剧？！OTZ            
(3星)	 抽风的穿越剧情。。。还好有吴奇隆顶着。。。。。            
(NA)	 忘了            
(5星)	 童年的美好回忆啊            
(4星)	 第一部接触到飞碟和外星人的剧，想想还真是神奇啊。            
(5星)	 那个外星人希希公主好漂亮啊            
(NA)	 只记得两人无法相见的情节，什么蝙蝠什么石头的，好郁闷            
(4星)	 印象最深的也是石头和蝙蝠，原来是小虎队演的，小时候看的很欢乐哈哈            
(4星)	 已经模糊，当时觉得名字很帅。一个诅咒，石像与蝙蝠关于白天黑夜的无奈            
(NA)	 其实这个故事很动人的得不到的女人要毁掉别人的幸福，于是妹妹和情人分属白天黑夜再不能见，尽管如此他们仍然爱着，于是最终疯狂的还是得不到又放不下的那个人            
(5星)	 好想找来怀旧            
(3星)	 童年回忆……武侠片会有外星人？！晚上就变蝙蝠的人、白天就变石像的人……            
(4星)	 应该看过，人名都有印象，不过剧情忘光光了            
(4星)	 童年的回忆            
(4星)	 日夜相隔的印象很深啊            
(4星)	 当年看的时候还是很enjoy的。。。            
(4星)	 我一直印象很深刻 里面有个女的 白天是石像晚上变成人 有个男的 白天是人晚上变成石像 他们被施了咒好像 我到现在连他们的脸长什么样子都记得清清楚楚            
(4星)	 印象最深的情节是花无影被她的师姐花弄月下咒，白天变成石头，晚上变回人，她的爱人万里云却是白天是人，晚上变成蝙蝠。现在想想很有牛郎织女的感觉。现在再回头找片的时候竟然发现小时候最讨厌的西门霜竟然是个美人哦，反而很喜欢的百里冰却不是那么漂亮。            
(5星)	 看的第一部融会各种元素的穿越剧。小龙人忽略。家里人的评价就是瞎七搭八            
(4星)	 神奇的旋风~            
(5星)	 我是神奇的旋风 神奇的旋风 飘呀飘荡在空中。。。            
(4星)	 记得那个晚上要变成石像的姐姐，名字好好听，叫花舞影            
(5星)	 小时候看的石像姐姐~！！！            
(4星)	 看得第一部武侠魔幻剧吧            
(3星)	 吴奇隆            
(5星)	 我只记住了神仙姐姐            
(NA)	 回忆T_T            
(4星)	 那时经典            
(NA)	 哎呀我的妈            
(3星)	 你说为什么会有et和魔教            
(NA)	 ....这他妈都有....            
(4星)	 刚重温了一遍。。。还是好喜欢神仙姐姐啊            
(4星)	 童年的记忆。            
(3星)	 看简介让人把故事都想起来了，看出了神。记得变成石头的那个姑娘很漂亮的。            
(NA)	 123            
(3星)	 很小的时候看过。            
(4星)	 我是神奇的旋风...            
(3星)	 那个诅咒好毒，比死还惨            
(NA)	 小虎队啊            
(3星)	 其实没印象了　只是突然听到主题曲还是很耳熟            
(3星)	 第一次知道外星人这种事。。。            
(3星)	 神仙姐姐白天变石头，现在还记得那个主题歌 我是神奇的旋风            
(5星)	 当时看得很起劲            
(NA)	 童年时最美好的回忆            
(5星)	 好好看            
(NA)	 神仙姐姐很美很端庄            
(4星)	 那个时候觉得外星人蛮神奇的~ 两个女主都很漂亮~            
(4星)	 姐姐我当年很喜欢这个的，蝙蝠，石像女，粉发女。。            
(4星)	 小时候很喜欢的一部电视剧。里面的希希公主特别吸引我。            
(4星)	 因为春晚的小虎队一下子把什么都给想起来了。当时迷恋，现在唏嘘。            
(4星)	 好遥远的记忆            
(NA)	 就是伊！石像与蝙蝠永不相见。。            
(4星)	 小时候追着看的，终于让我找到了。            
(5星)	 里面有个反派女配角~真是惊为天人呀~            
(4星)	 也是小学前的印象了，那时一到晚上我们就在操场上模仿其中人物，我那时貌似学的是百里冰。印象最深的还是那对一个白天是石像，一个晚上变蝙蝠的情侣了。            
(4星)	 主题歌，石像，蝙蝠------            
(5星)	 小时候拔牙时看的            
(3星)	 万里云啊，百里冰啊，花弄月啊，花无影啊，西门霜啊...我就不记得主角的名字！            
(4星)	 哈哈哈 我找到了~            
(4星)	 哇哇哇。。这个都有            
(NA)	 有印象。            
(NA)	 经典不堪回首            
(3星)	 小时候看的，剧情不怎么记得了            
(4星)	 虽然很老很NC，但是真的很好看~~o(&gt;_&lt;)o ~~            
(2星)	 冲着吴奇隆看的，不过真的很烂呢            
(NA)	  我好喜欢啊！真是一辈子都忘不了神仙姐姐            
(3星)	 好老好老的片子啊~~            
(5星)	 对主题曲和故事印象很深，就是不知道叫这个名字            
(3星)	 我的爱好原来如此广泛            
(4星)	 回忆            
(4星)	 白天石像晚上蝙蝠。。记忆中漂亮的外星人            
(NA)	 小时候看过一直不记得名字的~            
(4星)	 我的记忆被外星人偷走了。我应该是看过的，因为百里冰的名字很眼熟，而且女白天变石像男的晚上变蝙蝠我也很有印象。            
(4星)	 童年回忆            
(NA)	 就记得那个外星人是粉红头发的，武侠人物移动后面还有一排残影……            
(4星)	 小时候看的时候一直在纳闷，万里云到底是姓万里还是姓万呢....到最后一集花无影叫他“里云...”彻底把我给雷到了.....主题曲很好听，所以一直对红孩儿很有幻想，结果....张克帆都那样了.....唉.....            
(NA)	 木有印象了...            
(4星)	 = =            
(NA)	 这个这个！！！            
(5星)	 好怀念小虎队啊那时的他们就像高中生纯真的帅气的怎么能说散就散了呢            
(5星)	 回忆            
(5星)	 童年的回忆。            
(NA)	 无数次寝室窝聊的话题            
(3星)	 我是神奇的旋风。。。            
(4星)	 很怀旧，在当时还算是有新意，蝙蝠、石膏像和外星人，最神奇的是元祖后来推出了款月饼就叫做花弄月            
(3星)	 总算知道名字了，记得那个男人白天变成石头，晚上变回人，她的爱人却是白天是人，晚上变成蝙蝠。            
(2星)	 小时候完全看不懂            
(4星)	 希希公主神奇的珠子            
(4星)	 太早了~            
(4星)	 很经典的片子哦，有机会真想再回味一次。            
(5星)	 凄美，小时候回忆里的经典            
(3星)	 当时是为什么去看呢？难道是吴奇隆？            
(4星)	 小时候没有看完,这个遗憾一直到今,不过看完也就不过而而..            
(NA)	 小时候觉得很好看呀            
(NA)	 好像很老的片子了 不過名字很熟悉！小時候一直覺得很神奇            
(NA)	 五六年级            
(NA)	 曾为看不到结局而顿足            
(NA)	 比较像恐龙特急克塞号            
(NA)	 蝙蝠哥哥，還有石頭姐姐……            
(4星)	 好看            
(5星)	 最早看的科幻武侠剧了吧？吴奇隆陈志朋很帅啊 童年的美好记忆            
(NA)	 也太傻了一点            
(4星)	 “我是神奇的旋风神奇的旋风/漂呀漂过那急流漂过那急流”。情节记不清了，不过歌词依然琅琅上口，也是儿时的最爱。            
(4星)	 魔教的人一般都是性情中人            
