http://movie.douban.com/subject/3780327/	诱情转驳
(2星)	 到底tvb里是不是在整陈法拉。之前那个晴晴已经雷点十足了，这次的jojo简直落到冰点了。剧本傻到无与伦比。爱情是盲目的，没错，但不至于是精神分裂，不至于是弱智的吧。wilson凭借海报迷上一个女人就注定了这片子的over。结果就是，我怎么也不觉得jojo无辜，怎么也不爱他们的爱情            
(3星)	 马浚伟越发年轻，皮肤很紧绷肤质很白皙，真是羡煞旁人啊，大Dee这样的男人也太不可遇不可求了，JOJO是修了几辈子的福分才能得此缘。剧情挺弱的，完全是看人。            
(2星)	 狗血啊！            
(NA)	 李思捷，你可以不可以不要这么可爱啊            
(2星)	 TVB你也就这样了            
(1星)	 丫真是。哎，结尾这样合适么。太恶心了点。            
(4星)	 还行            
(3星)	 结局太拖了            
(3星)	 yoyo是看点。            
(3星)	 前10集很狗血 自己都不知道是如何坚持看完的            
(4星)	 今天在办公室听到客户A对客户B说，“我今天要早点收工，追9:30陈法拉那套~”……是啊是啊，法拉是有多可爱啊！！            
(3星)	 马马虎虎            
(3星)	 陈法拉太烂了，还有这什么鬼剧情啊？？！！            
(3星)	 一开始感觉很扑朔嘛。。。。不知道到底是个啥故事。。。看完发现挺扯的。。            
(3星)	 为了李思捷看了.一般.不过思捷真是可爱.阿哈哈.            
(3星)	 片头真好看，法拉的歌好听。本子看不下去。            
(3星)	 Wilson这种贱男真的是超级贱，他根本就不了解JoJo，看了我就烦。YoYo演得很好，只不过角色太极端了，汗，该死的烂编剧！！！另有洪天明演的也非常好，呵呵~            
(3星)	 一部剧，没有一个角色讨人喜欢……剧情一塌糊涂，想要挖掘人性、情感，但是……唉……高永泰的钱去了哪里？            
(3星)	 法拉。蒙嘉慧。两个我的最爱。            
(4星)	 说不出来的感觉 唯一感受到的是马浚伟在这里边儿真的是完美情人！            
(5星)	 喜欢法拉跳钢管舞的打扮，喜欢洪天明            
(3星)	 为了马浚伟看的，剧情还是太老套了，我还是不怎么喜欢港剧的模式。台剧比较适合我啊！！！            
(3星)	 真心冲着蒙嘉慧去的，最后觉得这里面的陈法拉很漂亮。剧情无感。            
(1星)	 陈法拉演钢管舞女郎，脑子是被门踢了吧，TVB真是越来越没下限了，下次可以直接拍个嫖客与妓女真挚的爱情故事            
(3星)	 纯粹是为了看李思捷搞笑而来的，其他角色都是乱来的            
(4星)	 真正吸引我的是李思捷和蒙嘉慧！            
(4星)	 只能说我太喜欢法拉咯            
(4星)	 很悬疑，总是不知道谁是真的，谁是假的，很好看            
(3星)	 蒙嘉慧~~~喲喲            
(3星)	 突然想起這個了。            
(4星)	 只为 李思捷 看的片子、、说真的不好看，而且各种漏洞，不过思捷 很帅~！            
(3星)	 很喜欢马浚伟            
(2星)	 =^=看了狗血剧透之后就没兴趣了 不过陈法拉还是好看&gt;&lt;            
(3星)	 46真是没啥演技阿 不过我中意看美女             
(3星)	None
(3星)	 陈法拉在里面可真漂亮～～～            
(NA)	 只为看  陈法拉  真的好美            
(4星)	 两个人的价值观和爱情观其实差很多。            
(NA)	 还不错，我喜欢那男的说我给你挣钱花            
(3星)	 哎，这部剧要是只演纯爱就好啦。老是有女配参合，烦。            
(3星)	 法拉的演技啊，还没有看完。            
(3星)	 有点莫名奇妙，剧情急转直下            
(3星)	 神奇的电视剧。喜欢黄德斌这个角色。            
(3星)	 嫁人就嫁马浚伟            
(3星)	 啧啧，啧啧，完全为了马先森看的            
(3星)	 与隔离七日情一起看的，天呢，怎么都是马浚伟的。。。陈法拉第一女主~~~还算撑得起场面            
(4星)	 小律师和小舞女            
(3星)	 和舍友一起看的...还行..蛮看            
(4星)	 好骚            
(3星)	None
(5星)	 5分只为陈法拉            
(4星)	 虽说剧情很扯,但还算可以看下去!            
(4星)	 陈法拉确实挺漂亮            
(3星)	 虽然一般 但是看到杀人的地方还是做噩梦了。。。            
(2星)	 两星给四个主角   剧情不想提            
(1星)	 我也是真的看不下去了 。            
(3星)	 看《潜行狙击》突然回想起之前那段时间看了好多TVB剧，都忘了备注。            
(3星)	 只想说，马浚伟那个角色是道具来的吧...爱一个人的时候爱的要死，一会儿又怀疑人家，一会儿又不问对错继续爱了...真的是为了陈法拉才忍受了20多集的狗血剧，但是就连陈法拉，也有大半时间是苦瓜脸...伦家是为了看陈法拉治愈系的笑容好吗！！            
(3星)	 又一部牛奶时刻的TVB剧，剧情设计还OK的，只是结局太狗血，有没有可能让这么个忠厚老实的人动手杀掉那么多人，还有一个是前女友。另外，作为大状，岂会在罪名尚未敲定的情况下，协助女友拒捕啊。            
(3星)	 我就看了一点点            
(2星)	 真心不觉得好看,剧情好烂喔~ yoyo老了,fala几靓~            
(2星)	 Wilson怎么相中了JoJo,并这么义无反顾地爱她、信任她，现实中会有这么好的人？Jessie很漂亮，但被仇恨蒙蔽了善良的心。因果报应            
(3星)	 可惜了 我还是比较喜欢这剧的演员的            
(3星)	 = =终于看完了            
(3星)	 后面剧情越来越。。。港~~            
(3星)	 没啥意思            
(3星)	 突然就很愛陳法拉。            
(2星)	 剧情真瞎。            
(1星)	 TVB难看之最！！！            
(3星)	 最近看得太多这个演的什么都忘记了             
(3星)	 结尾不好看            
(3星)	 这剧实在够精分，最后还搞了个基情四射，天啊，能不能再狗血点。马浚伟的性格太不讨喜，又爱面子又不信任人。YOYO居然做女二，真是没想到，李思捷也太没存在感了~            
(3星)	 吐槽无力。            
(3星)	 没什么看头，情节太滚了            
(1星)	 看了半集就看不下去了。编剧是脑残吗。太假了            
(4星)	 来看法拉的。54剧情            
(3星)	 看得真的好累，可能我现在和马浚伟气场不和吧，反正他的戏基本上就非常的拖，不过陈法拉唱的主题曲还不错戏            
(1星)	 傻逼死了，从头到尾不合理。            
(3星)	 剧情太乱了...            
(5星)	 为你而看，，            
(1星)	 史上最差的TVB劇！！！            
(2星)	 开始觉得蛮清新的，然后进入正题很慢，在没有什么耐心看下去的时候，后几集还不错，可是结局又很乱。。。            
(2星)	 陈法拉冒出来是干什么的……            
(4星)	 腐……第一次觉得陈法拉好正            
(4星)	 大家在里面的表现都不错~但是洪天明给到的惊喜真是特别大~漏口仔的演出实在是太棒了！另外~陈法拉的主题曲也很好听喔~~            
(NA)	 为了陈法拉而硬撑过去的。。。            
(3星)	 冲着马仔去看的，剧情很拖拉，一直在虐-。-对了里面荣少帮阿辉好基            
(2星)	 还是喜欢法拉的狐仙装扮。还有马仔是逆生长的么            
(3星)	 我觉得前面还好有点悬念，到最后编的太假了·····看不下去！！！            
(1星)	 烂片一部            
(3星)	 8是很稀罕陈法拉            
(2星)	 各方面不给力，要高效不搞笑，要激情不激情，要悬疑不悬疑            
(2星)	 当初看法拉去的，失望了！            
(2星)	 不知所谓的一部戏 4集弃 好像后来涉及谋杀与复仇？反正从这部戏开始对法拉演技的好感急转直下 再没回转过             
(3星)	 马浚伟还是挺帅的            
(3星)	 开头很吸引 结尾很无语O__O&#34;…看看陈法拉和衣服也不错~            
(2星)	 剧情甚称无聊啊～～～陈法拉捞妹，马浚伟行货，蒙嘉慧激动，李思捷亮点。            
(3星)	 剧情有点幼稚，中上水平，一点也不现实的理想化的完美男人，阿辉和荣少爷是两点，基情四射。            
(3星)	 伟信这样的男人哪里找！！！告诉我行么！！！            
(NA)	 好听的片尾曲，好看的人儿~            
(NA)	 真是巧合啊，巧得让我无法相信！编剧跟我想的完全相符，让你这个时候出现你就真的出现了~~~唉唉，我还一天一天的等着看，要是法拉不好看我就亏死了！剧情里面的细睇我还是很欣赏的，喜欢这样的男子，能够清醒的思考            
(NA)	 有点编过头，剧情太纠结了.....            
(3星)	 其实真是耐着性子才看完的，节奏慢的想揍人，还很狗血。            
(NA)	 故事情节还不错            
(4星)	 稀饭陈法拉            
(2星)	 看第一集，看不下去了。            
(2星)	 为了蒙嘉慧和李思捷坚持看下去……太扯了            
(2星)	 见过烂尾的，没见过这么烂尾的==太精分了。。。            
(2星)	 一般般，又看完一部，不怎么吸引我，没什么实力派的演员，没什么靠谱的剧情~            
(3星)	 感覺好似成出劇集同個名關係不大。。。蒙嘉慧個角色想點。。。陳法拉個角色又係睇到糾結~            
(2星)	 虽然我喜欢男女主……剧情太差了- -            
(2星)	 虽然大爱男女主角，但是……唉，无语了            
(3星)	 一天内看完的，剧情一般，想制造悬疑最后却变得不伦不类，还有感觉法拉的气场还有待提高，撑不起～            
(NA)	 陈法拉童鞋越来越美了 可真美啊  可是钢管舞真敷衍=。=            
(1星)	 这片子看得我一包气啊!!!一句像样的台词也没有啊！！陈法拉360度都是个坏女人，编剧这不是你的本意吧？？马浚伟就是个天生欠虐的种啊！！！李思捷帮蒙嘉慧连个像样的肌肤之亲都冇啊！！！！            
(4星)	 剧情不是很喜欢。  但至少有马浚伟、陈法拉还有 李思捷！！只是感觉他没有原来爱上贼里 BT那个形象好呃~~  Fala的衣服好漂亮~~            
(3星)	 这三星纯粹是俾yoyo的            
(3星)	 里面的男人真极端，要不就是完美到傻B，要不就是爱到爱到杀死你，女人要不就是爱钱，要不就是偏执            
(4星)	 伟信，过于痴情，这个现实生活中实在难以理解，在很多时候看得人很费解，这么好的男人，我若能遇到，一定当拣着宝了            
(3星)	 不喜欢JOJO。            
(3星)	 陈法拉美            
(NA)	 不怎么样            
(3星)	 剧本有点粗糙。。不过还是很喜欢马浚伟，怎么也跳不出小康熙的影子。            
(2星)	 有点失望。很喜欢法拉，可是角色实在不讨喜。            
(2星)	 就剧情而言。。。不怎么滴。。。很虎头蛇尾            
(NA)	 故事情节前面很平淡，到最后才激烈，可惜草草收尾，最让人不能接受的是插曲，u什么u比忐忑还揪心            
(3星)	 看了几集，就去看剧情介绍……一看人都挂得差不多了……当女儿当成那样，当爸的得多万恶呀！弃了            
(NA)	 TVB的编剧该洗洗睡了~            
(4星)	 稍微有一点小惊悚，对我来说。            
(3星)	 各种峰回路转出乎意料。。            
(3星)	 最后那段好扯，先头那么善良的阿辉就这么没脑子的把人杀了，还傻乎乎的把真相说给别人听？进水了...            
(NA)	 看过一集。            
(2星)	 可惜了马仔如此帅的造型.....            
(4星)	 剧情太假 其他都算OK            
(4星)	 两个美银            
(2星)	 不待见某女人            
(2星)	 颓了演技 看不下去            
(3星)	 能死的都死光了。。。。。            
(3星)	 如果不是有蒙嘉慧真的看不下去！            
(4星)	 因为马浚伟看的，觉得挺好            
(4星)	 喜欢李思捷！喜欢李思捷！            
(2星)	 剧情不动人            
(2星)	 看了一集，觉得狗血。没有逻辑嘛！不看了！只看了下陈法拉，都来不及看到蒙嘉慧。            
(5星)	 好看，支持陈法拉            
(3星)	 2011/02/11            
(4星)	 剧情有点奇怪            
(4星)	 很是别样风格~~            
(NA)	 马浚伟~            
(2星)	 第一次遇到一部剧是不需要看最后一集的。。。。倒数第二集已经全部大结局完了 囧。 yoyo~~~ yoyo!            
(3星)	 世界上哪会有Wilson这么好的男人啊，不太相信            
(3星)	 剧情比较单薄。黄德斌演富二代还蛮有feel，蒙嘉慧居然演坏人……马浚伟千年不老啊……陈法拉和李思捷最近频频出镜……            
(4星)	 这几天智商吃得已经只能看港剧了。。            
(3星)	 是为看蒙嘉慧继续看下去的…            
(5星)	 演员和剧情都非常棒啊,绝对的5星            
(3星)	 除了第一集的钢管舞很给力。。没神马好看的            
(4星)	 那段 哟哟哟哟哟 的音乐真好听~~~            
(3星)	 我喜欢小结巴的那个角色~现在看到12集，问了朋友说~最后坐牢了 5555接受不了~            
(3星)	 开头还成，后面就很烂            
(4星)	 蒙嘉慧和陈法拉都属于很风骚的。。。不能接受蒙嘉慧演这么坏的女人，看的想死，马仔终于和法拉成一对了。。。黄德斌也难得演次坏人啊，不习惯啊不习惯，李思捷还是很可爱的，再看了第一集的时候，就激发了我再次去澳门的热情，果然罪孽。。。            
(4星)	 有悬疑 男猪脚可换。。。            
(2星)	 编剧不给力，看得都不那么待见蒙嘉慧和陈法拉了。            
(3星)	 真受不了气质美女蒙嘉慧跟四五线明星洪天明的激情戏。            
(3星)	 马仔你是从澳门街穿越过来的吧  法拉身材真是好啊  其实这一对还算称吧  剧情进不去  明明20集的剧集 但是铺陈却不到  又不是100分钟的电影 可以忽略的事情            
(2星)	 没有想象中好看            
(NA)	 弃            
(3星)	 好吧。。。看了2集么有耐性了。。。            
(NA)	 很一般啊，但是陈法拉好漂亮~~~            
(3星)	 法拉不错～～            
(2星)	 但凡陈法拉主演的片子以后就不用再看。对她的印象被这部片子毁得淋漓尽致。李思捷是惊喜。马仔表现马马虎虎。背景音乐不错。            
(4星)	 纠结纠结~喜欢男女主角~            
(1星)	 Qiqi.....            
(4星)	 剧情总觉得怪怪的，马浚伟对陈法拉的痴情让我不能理解。。。不过有马浚伟和陈法拉，还是加一颗星，3+1=4，给四星            
(3星)	 【又看完结一部#TVB#剧#《诱情转驳》#，还好了~就是不喜欢#李思捷#。。。。。】            
(2星)	 比一般家庭剧多点悬疑啦 陈法拉长的不大气还是不能撑起一整部剧 男主角有点太痴情..最后被莫名其妙感动了            
(2星)	 男主角是白癡嗎            
(NA)	 这个世上还有像成伟信这样的男人吗？荣少和阿辉的确有点腐！哈哈哈            
(4星)	 有关您的一切，我都保存在这里            
(4星)	 那首英文插曲超喜欢~            
(2星)	 这结尾是个p            
(4星)	 两个主角我都很喜欢，法拉很漂亮，马浚伟还是当年那个马浚伟，更是因为我喜欢听粤语 所以才看这电视，很好啊。剧情~没有很狗血，而且编剧很好啊，关键是有美满的结局！可是我就在想为啥子我就不能遇到一个像对jojo这么好的成伟信呢！！            
(4星)	 我觉得还好            
(3星)	 尽管剧情白痴,主演演的也很不动人,但我还是看到了最后,我想说,哪个女人不想有个马俊伟?然而现实里只能唱一句,&#34;童话里都是骗人的&#34;            
(1星)	 谁来拯救TVB??!!            
(3星)	 3星全部给蒙嘉慧，这戏要不是蒙嘉慧一点看头都没有。陈法拉实在太嫩太嫩，嫩到一点点演技都没有，只会在那里翻白眼，名副其实的花瓶，和陈法拉配戏感觉马仔也变得低能了！            
(NA)	 yoyo是？坏人。。。            
(3星)	 逻辑有点怪怪的~~            
(2星)	 糟蹋了蒙嘉慧啊            
(2星)	 这故事荒谬了点            
(3星)	 几个色欲熏心的男人，和一个姿色一般的女人。女主角似乎选错了，一直对陈法拉蛮有好感的，清秀可爱的女孩子。不过也就演演配角。在这里把马浚伟迷得神魂颠倒还老少通吃也太夸张了吧。剧情有太多不合理的地方，拜托编剧下次用心一点。            
(2星)	 我看我真是太无聊了，为了第一集的澳门风光片，我还真看下去了。。。去年最烂的TVB剧，可惜了一些好演员。            
(1星)	 太傻逼了 今年看过最烂的电视剧            
(2星)	 乱七八糟的。            
(3星)	 剧情确实很扯 马浚伟在里面还真是个烂好人 说不出来 感觉生活里不会有这种人的 就算有 也不知道是该用褒义词还是贬义词来形容。我在纳闷马浚伟在戏的前面丢在餐厅的手机 怎么在最后又拿出来了 手机掉了还能找回来也够奇迹的了吧。再有就是马浚伟家的沙发和囧探里王喜家的沙发是同一套，哈哈。            
(3星)	 其实呢一个对于钱太过执着，一个对于感情太过执着，一个对于复仇太过执着的恩恩怨怨啧            
(3星)	 打发时间还是不错滴~！            
(NA)	 李思捷 必睇            
(3星)	 剧情太扯            
(3星)	 饿。。。疑点很多，对男主的爱很是疑惑。。。法拉和李思捷都很有爱啊~~            
(NA)	 很不错的剧本，硬是要拖成20集，就变成了俗片。就不能学学日剧精简一点。            
(3星)	 陈法拉真的是越来越漂亮了。。。            
(2星)	 不好看就是不好看            
(NA)	 喜欢陈法拉 开始觉得节奏很轻松 看的还很舒服 但是后面感觉不太好 好像快要收不回来了            
(2星)	 嘛剧情呀？哎            
(3星)	 前半段还好。。后面是TVB此类片子特有的大狗血。。。蒙嘉慧疯得让人抓狂。。            
(3星)	 其实我觉得蛮搞人 剧情实在是有点过~~            
(5星)	 演的不错，剧情也不错！            
(2星)	 真的很狗血！不知道编剧怎么回事，拼凑的很美水准！            
(4星)	 法拉！            
(3星)	 我只能说 还能再扯一点儿么 还能么？我本来以为忍过扯淡的情节后就胜利了 结果到结尾了还是一个烂尾 现在到底还有没有不烂尾的剧 有没有 到底有没有 我只是为了马仔 fala和蒙嘉慧才看的 唯一圆满的就是在这部剧里 之前蒲松龄里没有圆满的小翠和蒲松龄终于圆满了。。莔~            
(4星)	 wilson，成伟信，绝世好男人啊~~~            
(3星)	 原来看海报就可以爱上一个人的了，这就是赤裸裸的外貌协会。另，YOYO真的老了            
(3星)	 马浚伟一点都不出彩，失望            
(4星)	 为什么大家评论那么差的片子，我却看的很带劲呢。。。            
(3星)	 剧情蛮烂，看在学粤语的份儿上忍了……            
(2星)	 若不是马浚伟噶帅 蒙嘉慧噶美 一星都没有            
(5星)	 居然看到想哭。。            
(2星)	 为了报仇。            
(3星)	 JOJO很漂亮            
(NA)	 我幻想有一个成伟信那样的bf啊~唉唉。            
(NA)	 我们家法拉。            
(3星)	 不知道名字是个什么意思            
(3星)	 确实驳来驳去，歌不错，粤语进步了不少，我至叻~            
(3星)	 对这部剧我只能说三个字:那好吧==            
(3星)	 还好!            
(3星)	 挺纠结的            
(2星)	 无聊+扯淡  算是看过的比较烂的港片了            
(1星)	 一颗星给我原本就稀饭的陈法拉。然后，这剧，三集弃。一点劲道都木有啊。            
(1星)	 烂片啊            
(3星)	 编剧当我们是呆子            
(3星)	 剧情还算比较有悬念 但好多细节拍的太简陋太假了            
(5星)	 很久没有看到俊男靓女的疑情剧了 虽然有些夸张 哪有那么恨老爸的 最后阿辉肯定是精神病啊 不然怎么会杀自己心爱的人 还有发型李思捷挺可爱的            
(2星)	 烂戏            
(4星)	 冲着马仔去滴，剧情不咋滴，不愧是典型的泡沫港剧            
(4星)	 这剧往后也太揪心了点吧。。。我就说港剧很给力的。。。几集之内可以把韩剧几季的故事讲了。。。但是后三集怎么看怎么纠结啊。。一会这个死一会那个死的。。全死光光拉到了呗。。。还加了黑帮血拼西瓜刀砍人什么的。。诶。。。            
(NA)	 到底什么情况啊陈法拉长的还不错就是左看右看没什么气质            
