http://movie.douban.com/subject/2241523/	冤家宜结不宜解
(4星)	 因为这部剧，喜欢the color of the night            
(3星)	 第一次看到吴美珩，觉得好丑好丑啊～喜欢郭可盈饰演的田美雪，吴启华演好人那个时侯看觉得怪怪的～当时觉得不错的剧            
(4星)	 每次和别人说这部戏名都以为自己讲错~            
(5星)	 最后在一起了...也是半夜偷偷看的剧...            
(3星)	 老TVB的小剧都不错            
(4星)	 经典的回忆……            
(2星)	 我还真看过            
(3星)	 认识郭可盈。            
(4星)	 让五年级的我第一次开始思索”爱情“。            
(4星)	 印象中看过，不过什么都不记得了。            
(5星)	 大爱~            
(5星)	 小时候除了玩就是看电视。            
(4星)	 最后他们俩有没有再一起？有点忘了……            
(4星)	 &lt;The Color Of The Night &gt;            
(4星)	 那时年少各种剧~~            
(4星)	 很好看！！            
(4星)	 我能给跟苗翠花一样的评论嘛~~把江华换成吴启华就行！小时候就觉得这部特温馨了！~\(≧▽≦)/~            
(4星)	 好多年前看的了，剧情只记得个大概            
(NA)	 吴启华的书生气我曾经多少喜欢过。            
(3星)	 初中睇既            
(4星)	 那时候港剧人才真多            
(4星)	 吴启华和郭可盈这对。。            
(4星)	 很经典的一部戏了，不过何宝生后来居然出家了            
(5星)	 又是姐姐心中的经典，程达充VS田美雪，许美静的《找理由》秒杀我            
(5星)	 我爱的搭配            
(4星)	 那个初中时代的大爱            
(4星)	 那个时候好喜欢 ···            
(5星)	 我现在还记得的一幕是 吴启华帮打离婚官司争夺抚养权，结果妈妈丧失了抚养权而跳楼了            
(4星)	 当时郭可盈还是张没削过的大脸，但我觉着挺美。            
(4星)	 当年超爱，哈哈            
(5星)	 很喜欢的一部剧，主题曲也很难忘            
(3星)	 港版成田离婚，TVB行动真迅速，不到一年就翻拍了。            
(4星)	 我记得看过。依稀还觉得很好看的。            
(NA)	 挺特别一片子，中考结束，顺利考上后，心情一片大好            
(5星)	 儿时的回忆            
(5星)	 喜欢的不得了            
(5星)	 当时很喜欢            
(5星)	 打算给四枚的，已经算难得给高的，手抖了一下，五星。不解释。            
(4星)	 主题曲很好听，结局很完美~            
(3星)	 很轻松            
(4星)	 迷迷糊糊竟记不得太多剧情了。            
(4星)	 小时候看的。。印象蛮深            
(3星)	 暴喜欢郭的那时            
(5星)	 最喜欢的配角配对！            
(4星)	 小时候的经典！！！            
(4星)	 郭可盈在那时看起来还是很美的            
(4星)	 以前电视放 然后就看了 反正吴启华 郭可盈我都喜欢            
(4星)	 很喜欢郭可盈。和吴启华很配，这才是天生一对            
(3星)	 当年喜欢吴启华那种类型的            
(3星)	 喜欢里面的那首歌~~            
(3星)	 其实剧情记得的不多了            
(3星)	 只记得片名了。。。            
(NA)	 记得插曲是 夜色 很好听。            
(4星)	 早期港剧真美好            
(NA)	 啊童年！狗屁不懂的时候看着可带劲呢！            
(4星)	 莫名怀念这部港剧～            
(4星)	 小温馨~            
(4星)	 小时候很喜欢            
(5星)	 印象深刻 特别是里面的插曲            
(NA)	 吴启华            
(5星)	 很喜欢这部剧！许美静唱的片头曲也超好听！喜欢何宝生，可惜呀……            
(4星)	 依然记得这部TVB            
(NA)	 这个印象比较深。。当时很喜欢郭可盈的发型。。            
(NA)	 好小时看的，喜欢郭可盈和吴启华的配对            
(4星)	 还不错            
(4星)	 挺有意思的，吴美珩也很美的。            
(4星)	 更多的 是回忆            
(NA)	 为什么港剧对我来说都是很遥远的事情了。。。            
(5星)	 经典            
(3星)	 纯粹无聊解闷…… 两口子吵架没啥看点……             
(5星)	 稀饭介个剧啊~~~当年还是租碟看的。            
(NA)	 好早了喂，亏我还记得。许美静的主题曲，只要你还有争吵力气，只要我还会叹息……            
(4星)	 小时候看的~~~            
(NA)	 对吴启华的现代剧无抵抗力            
(4星)	 童年回忆 =0=            
(3星)	 初中时看的，那时郭可盈正当红            
(3星)	 虐剧加烂尾。Lawrence超级帅，三十多的人还可以这么帅。。            
(5星)	 超爱知性男            
(4星)	 without you            
(5星)	 再次重温了一遍，还是会深深打动我啊！！！赞！！！            
(3星)	 印象不深刻了。            
(NA)	 喜欢            
(4星)	 好看 我喜欢不太瘦的郭可盈~~            
(4星)	 那时候电视上看的，记得看了好几遍呢。。。            
(2星)	 不舒心，着急            
(4星)	 这时候的郭可盈还是很招人待见的            
(4星)	 哇~小学的片子也~~~~怀念的！还记得那首THE COLOR OF THE NIGHT一边放两人一边哭的样子，经典            
(5星)	 我记得一个睡前打电话讲故事的情节            
(4星)	 吴启华+郭可盈哈哈！~~            
(5星)	 小时候好喜欢哦因此喜欢上他们家客厅 还有without you            
(5星)	 当年满电视台都是香港警匪片，很少看到这个题材的，喜欢得不行            
(5星)	 喜欢片头曲，这些都是我小时候慢慢积累喜欢粤语歌的理由，夏天的爱情也是我爱上夏天的原因。            
(4星)	 当年那个心水啊·····            
(4星)	 我的第一部tvb啊            
(3星)	 TVB产office轻喜剧            
(4星)	 看过很多遍，喜欢那时的郭可盈            
(5星)	 好看，看了好几遍。很喜欢主题曲。。。            
(5星)	 我当时真是爱看啊爱看            
(5星)	 当年好爱好爱，从此喜欢看男生穿彩色（单色）的衬衫。            
(3星)	 这部剧上映的时候我才5岁....大陆播的时候我应该就10岁左右吧。。。当时觉得这对冤家萌翻了....            
(4星)	 初中 犹记很搞笑            
(3星)	 好乱的关系啊。            
(NA)	 女主角是很直率的性格，我很喜欢。最后结局不错。            
(4星)	 让我挂心的一对~~~            
(5星)	 我N年前的记热衷的港剧,深受影响，好爱达充这样的男人啊            
(4星)	 很是喜欢还有最后一集里的the color of night当时还找了很久呢            
(5星)	 还记得 哈哈哈哈            
(3星)	 一般绝对一般 人物不对味吧            
(NA)	 Smile and warm. And Brian. And passing time.             
(NA)	 不解释            
(3星)	 记不得了。            
(5星)	 好搞笑            
(5星)	 古老的一部经典剧。            
(4星)	 当时看的时候很气愤，觉得一人让一步不就得了呗……现在才明白，有时候真的会为了一口气错过很多            
(5星)	 绝对的经典，不看会后悔的            
(4星)	 想當初蠻喜歡看的            
(3星)	 先离婚，后恋爱。            
(4星)	 许美静唱的主题曲 非常好！！            
(5星)	 当年很喜欢哦~            
(5星)	 很喜欢吴启华那个时候~插曲都很有感觉~            
(5星)	 小学时候看的片子 很不错            
(4星)	 挺有印象的~            
(4星)	 记得小时候超爱的剧啊            
(NA)	 剧情真是不太记得了，不过喜欢KK            
(3星)	 真的记忆犹新，因为是在LD才能看。。            
(4星)	 记得小学时很爱看~~            
(3星)	 我喜欢吴美珩！~            
(NA)	 瓦晒，这个我小时候也看过~            
(NA)	 那个时候郭可盈啊            
(5星)	 印象很深刻的一部剧~~~ 那时候，我一直很费解 为什么结局不是大团圆            
(NA)	 当年相当爱啊~~            
(4星)	 这个是经典剧啊。。            
(4星)	 小学时候看的，当时就超级喜欢~TVB真是伴着我成长呀            
(NA)	 好看。            
(4星)	 the color of the night             
(5星)	 我今生最爱的电视剧            
(2星)	 不好看            
(4星)	 看到好多人重看。。。偶也跟风重看一遍~~~            
(3星)	 冤家总系路窄            
(4星)	 只记得吴启华了            
(5星)	 去香港前还刨出来看了一遍 ~~            
(5星)	 the colour of the night音乐很好听            
(5星)	 超级好看 吴启华和何宝生 这两个都很爱 主角们的名字很可爱啊             
(5星)	 这时候的郭可盈特别漂亮有气质~这部电视剧看了好多遍~大爱~            
(3星)	 兜兜转转最后还是要在一起的啊。。。            
(NA)	 经典的            
(5星)	 哇塞，小时候看的，当时觉得郭可盈好靓啊            
(4星)	 吴启华！大叔萌～            
(4星)	 那时很迷郭可盈            
(5星)	 吴启华好帅！！！            
(5星)	 很好看呀~~~            
(4星)	 喜欢~~很现实也很动人的爱情~~            
(3星)	 高中的时候貌似看过，最近迷上了吴启华温柔的声音，拿出来再看看。两个明明相爱的人，莫名奇妙就纠结了那么多年。原来有那么多感情上不成熟的人。            
(4星)	 那个喜欢吴启华。。。            
(5星)	 绝对经典！！！            
(5星)	 经典            
(NA)	 结局很意味深长            
(4星)	 啊，哦，噢，            
(NA)	 吴启华那时候可迷人了……            
(3星)	 主题曲和插曲很好听            
(3星)	 就记住一首Color of night            
(5星)	 温暖的记忆            
(4星)	 我的年少时光呀~            
(4星)	 喜欢那间屋子            
(5星)	 为了怀念 为了许美静的声音            
(4星)	 小时候的片子，喜欢蔡少芬。。。            
(4星)	 其实我不记得了。但我喜欢何宝生。原来他在这里叫Brian。            
(5星)	 俊男美女，好听的片头曲            
(3星)	 挺久远的剧了。郭可盈那几年真的很红。            
(NA)	 多小的时候看的，打算拿出来温习一下            
(5星)	 美珩姐~美珩姐~            
(3星)	 吴启华演好人很好。            
(4星)	 有首歌            
(5星)	 启华启华！可盈可盈！经典经典！            
(4星)	 85分            
(3星)	 zzz            
(3星)	 那时看的还可以            
(5星)	 看了好几遍！            
(4星)	 我喜欢amanda 还有最近才知道原来主题曲是许美静唱的 很好听            
(5星)	 看得那个纠结哦！HE大好！            
(3星)	 TVS常重播的……            
(4星)	 结局应该更好的            
(3星)	 许美静唱的主题曲很好听            
(NA)	 吴启华            
(5星)	 超级喜欢吴启华和郭可盈~~            
(5星)	 吴启华和郭可盈蛮羡的，不喜欢吴美珩在里面，烦            
(NA)	 即使隔了那么久，还是好看的一塌糊涂            
(3星)	 郭可盈好看！            
(4星)	 那时候好花痴吴启华，想找个他那样温柔的老公            
(3星)	 如果我是美雪 宁可选择Brian让我湿了眼眶的 是许愿树旁蓬勃绽开的烟火 曾经有一朵相似的烟火 上面缀满了如果 但人生是没有回头路的 我也从来都没有打算要重新走过所以 我不喜欢充 因为不喜欢他无尽的错过和之后的后悔            
(4星)	 the colour of the night            
(4星)	 以前喜欢的，主题曲也好听            
(4星)	 很小的时候看的。。。里面有胡杏儿。。。无语。。。            
(4星)	 记得那首非常好听的主题曲~            
(5星)	 今天凌晨重温了一遍。很不错的港剧。超爱那样的吴启华，好斯文。也许俗套和肥皂剧，但电视就是消遣，她可以让我如此着迷，我就愿意打5颗星了，我的品味就这样了。浪漫轻松的片子吖，大爱！音乐很不错。甚至配角也很不错，搞笑。            
(4星)	 “结”是结婚的结            
(4星)	 当初很迷恋            
(4星)	 在这部戏之后疯狂喜欢上吴启华一样气质的男人            
(3星)	 三星半...女人独立的典范...            
(4星)	 好久前看的啦，当时很爱            
(4星)	 蛮轻松的片子,记得好像有个男配很丑很可爱            
(4星)	 老片啦            
(4星)	 吵吵闹闹欢喜冤家            
(3星)	 小时候看的！所以呀，对郭可盈印象很深呀！            
(3星)	 原来相爱容易相爱难啊            
(4星)	 又看到这些剧，很想回到过去啊            
(4星)	 现实中真的是这样吗？有情人总是错过？            
(4星)	 喜欢里面的英文歌~            
(3星)	 完全不记得讲的是什么了，只记得最后一个在天桥上相遇的镜头，奇怪……            
(3星)	 貌似吴启华演的是律师吧 忘了郭可盈演的啥了 虽然当初是为了她而看的 记得他们家客厅是块圆的地毯 记得他们的定情歌是the color of the night 女生就是记得细节            
(5星)	 当年的最爱。。            
(5星)	 TVB的最爱这部            
(4星)	 老片子 挺好的 演员 挺好的            
(4星)	 呵呵~郭可盈~美~和林文龙真好！            
(5星)	 我很爱这部剧的。。不知道为什么。。我其实很喜欢吴启华剧中的性格。。影响我蛮严重的            
(4星)	 记得很好看~~~            
(3星)	 我记得有个片段是男的送了女的一对耳环做礼物,结果女的告诉男的她根本没有耳洞.我一直对这个片段印象很深刻,不知道是不是这部片子里的.            
(5星)	 超喜欢，每次都因为他俩阴差阳错的错过，儿惋惜            
(5星)	 超喜欢他们家的客厅            
(3星)	 有点搞笑            
(4星)	 当时看了很喜欢这俩人～            
(NA)	 何宝生真帅            
(NA)	 那时我妈很喜欢的说            
(5星)	 很喜欢的一部港剧，喜欢吴启华和郭可盈            
(5星)	 记得看这部片子的时候，特别喜欢里面郭可盈家的客厅，没有常规的沙发，而是整体将地板垫高，然后在上面放上坐垫，就那么席地而坐，旁边的落地窗特别舒服。            
(NA)	 老爸的最爱            
(3星)	 很老的片子了~~~以前觉得挺好看的~~            
(5星)	 曾经着迷好久            
(3星)	 TVB的很多戏都还是很赞的。这个看过很多。搞笑的同时也会让人反思人与人之间的相处模式。中学时代看过。            
(NA)	 断断续续看了好久~            
(5星)	 把市井生活过得有声有色真的不比任何一种人生简单易行。小时候特别喜欢成达充，现在觉得田美雪更伟大一点！            
(4星)	 我喜欢插曲&lt;COLOR OF THE NIGHT&gt;            
(5星)	 好经典～！            
(4星)	 如题~纠结~            
(4星)	 港剧大概就是这几部启蒙的            
(5星)	 郭可盈也是喜欢的tvb女星~~            
(4星)	 算是港劇的一個經典吧            
(4星)	 当时完全被这一对冤家纠结了。啥误会都能整出来，老是合不到一起- -+            
(5星)	 我看了不少吴启华的片子呀            
(3星)	 指甲盖儿            
(4星)	 好看的,收藏之作            
(4星)	 当时很喜欢看　郭可盈好漂亮            
(5星)	 去HK没找到那个喷泉 好遗憾            
(4星)	 喜欢这里的美雪            
(3星)	 那时候很喜欢那首英文歌~            
(5星)	 无论什么时候看都很合适的小品剧。            
(3星)	 还行的。。。            
(4星)	 喜歡的主角~喜歡的劇情~            
(3星)	 英文歌好听            
(3星)	 很小的时候看的一部电影~~让我记住了一首歌~promise dont come easy~剧情~搞了点~小无聊~            
(4星)	 喜欢郭可盈啊哈            
(4星)	 当年很喜欢郭可盈，吴启华。。            
(3星)	 因为有张可颐...            
(NA)	 当时郭可盈很火            
(5星)	 主题曲好好听！！！            
(4星)	 一直以为我喜欢剧里的歌胜过这部剧本身，多年后再看才发现我是真的是喜欢这部剧。喜欢那时还不太有名的郭可盈，喜欢那时还不太有名的吴启华，喜欢那时还不太有名的“爱被打”...            
(5星)	 当年超喜欢……又看了一遍粤语的……            
(4星)	 只是看过。~~~            
(5星)	 初中看的 那时候对爱情剧没有免疫力 尤其是这么纯洁的爱情剧 觉得很好 那时候心中的白马王子就是吴启华这样的书生型。。。            
(3星)	 既然剧情都不大记得了，应该是一般            
(NA)	 最后结局还算美满...大概都忘记了~很小看的            
(3星)	 插曲很好听            
(4星)	 吴启华，没理由不看            
(NA)	 很赞的说，有郭可盈的都好看            
(3星)	 喜欢里面的英文歌            
(5星)	 因为ada跟启华也是另一个“妙手”，对这本片子的熟悉度到了能背的地步..            
(NA)	 剧中人的名字都日本化。。            
(NA)	 经典！！！            
(NA)	 很喜欢冤家这个词...            
(4星)	 当时很喜欢很喜欢的...今年,还是去年电视上又演,再看的时候...没什么感觉了,可能心态变了吧.            
(4星)	 1998            
(4星)	 插曲不错            
(3星)	 当时觉得他们两个超配的            
(NA)	 高三每个周末的下午都会丢下手上的作业肆无忌惮放开看的片子            
(NA)	 温馨小品剧，吴美珩“爱被打”的出处……            
(4星)	 满可惜的            
(NA)	 主题曲：许美静-讲道理~~~好听~~~            
(5星)	 我的最爱   the colour of the night            
(4星)	 接触比较早的一部港剧            
(4星)	 一半港剧的套路。八错~            
(5星)	 男猪女主都喜欢~~~~记得是五年级看得~            
(5星)	 可爱呀，这样吵吵闹闹也觉得很幸福。喜欢男女主            
(4星)	 早年很喜欢的一部电视剧            
(NA)	 很喜欢看            
(NA)	 破镜重圆的爱情喜剧            
(4星)	 现实生活中会有这样的剧情么……            
(NA)	 好喜欢,尤其里面很多场面出现的歌曲            
(3星)	 还记得吴启华在里面叫程达充，呵呵。JASON。他和吴美珩在教堂戴戒指那段印象深刻的。            
(3星)	 里面的音乐很好听。            
(NA)	 还记得那首the colour of the night，神往啊            
(5星)	 郭可盈吴起华            
(4星)	 还是喜欢郭可盈            
(5星)	 心中的经典            
(4星)	 主题曲挺好听的            
(4星)	 想起每晚学习后仍追看到深夜，尽管第二天六点就要起床上班~~            
(5星)	 电视里放一遍看一遍。            
(4星)	 真心好看~经典TVB            
(4星)	 记得那首the colour of the night就是在这里听的~非常有feel~            
(5星)	 很喜欢            
(4星)	 江苏台放的，暑假剧集            
(NA)	 我只记得这个名字了            
(NA)	 好看 吵吵闹闹            
(3星)	 school time            
(2星)	 一般            
(4星)	 小经典啦～歌很喜欢初中很爱看！～            
