http://movie.douban.com/subject/2342561/	迷离档案
(4星)	 港剧最爱张二小姐~~这部虽然制作方面简陋了点，不像人家美国电视剧排场那么大画面那么华丽，但故事情节挺吸引人的，罗嘉良和张可颐又是那么地配，所以还是看了好几次~            
(4星)	 居然有部这样勒片子。剧情还真没有辜负片名哟~真够迷离。最初还可以用科学来解释，到后头纯迷离。哈哈~~不晓得为啥子我妈会觉得恐怖。哈哈。太可爱咯她。            
(3星)	 很撒的电视剧。。。挺早的            
(4星)	 20            
(4星)	 看了两次了。故事情节还是多不错的。            
(NA)	 好看呢!看過兩次~            
(4星)	 HK版X 档案～～回味老港片别有滋味～～当时很多演员好年轻哦哦哦～～～            
(3星)	 the most impressive case is Gong Tou. It is my first time to know what the exact scientific reason of Gong Tou. Fairly impressive.            
(5星)	 我心中tvb最佳情侣档！年轻时的maggie好看得一塌糊涂……            
(3星)	 巫术。            
(4星)	 几个小故事串联起来的            
(5星)	 很不错，有的剧情不错。就是每个案子的结尾吧都有点仓促，混乱啊            
(5星)	 哈哈 这个看完的呢。额            
(5星)	 还是早起的经典啊！！！            
(4星)	 这是看了97版难兄难弟，继续追罗+张的神探李奇，最后追到了这部戏。年轻时候的张可颐，真心有气质            
(5星)	 改头换面版的卫斯理故事，不过小时候看着真觉得很诡异= = 虽然最后漏洞颇多但总算大团圆结局值得欣慰。张可颐还在巅峰期的美貌以及她和罗嘉良温馨默契的对手戏已值四星，观剧过程中颇为应景地发生的灵异事件值得纪念性地加上一星            
(4星)	 每个案子都有种意犹未尽的感觉...蒋志光在里面倒是演技大爆发呢 艾威演捞家的爸爸 这这也太惊悚了 看着年纪明明差不多啊 啊原来是时空转换 最后一个故事最精彩            
(3星)	 对于一部很早年前的片子，这部片子无疑是拍的非常好的。2小姐和捞家的组合也很完美。最后的结局也很好。 主要是第一个案子感觉没有破完就结束了。不是很严谨。 客观上说，还是比较好的。            
(5星)	 很经典，难得的科幻悬疑            
(NA)	 毛骨悚然            
(5星)	 里面有个前世的那个故事不错~            
(2星)	 降头术是细菌+寄生虫；开始的雕像是唱片发生器使人幻觉；其余都是渣            
(3星)	 讨厌解释方式            
(4星)	 小学看过最恐怖的电视剧            
(3星)	 有点吓人，看到天黑就不敢看了，等到第二天再接着看的            
(3星)	 虽然我承认年轻时候的罗嘉良还蛮帅的，但是内结局内结局，太扯了吧。            
(3星)	 可颐和捞家一起演过好多剧噢~这部还是蛮恐怖的,会有后怕！~~而且一个故事怕完后又有下一个继续怕......还是觉得第一个最恐怖，没有心理准备就看到那个教授很诡异的死了！！后来发现最后一集以前看过的            
(2星)	 张可颐的美丽也掩盖不了剧本无法自圆其说的粗鄙。要灵异就别老想着高科技，做人不能如此贪心。况且，编造一个高校生化教授的背景，就是为了天天上电视台去演讲，世上没有玄幻诡异之事吗？能不能做点实事。看到一半，剧集还被屏蔽，估计审核也无语了。给到这样的高分，本身就够奇异。            
(5星)	 剧情也很迷离，但是冲着捞家和可颐也要给五星啊            
(3星)	 现在也应拍些这样的片子 灵异啊            
(5星)	 题材很新颖，足以打五颗星！老片子除了画质的陈旧，其他很不错，特别是内容            
(5星)	 好怀念..当时还有港督，还有搜查票，还有一大堆戏子明星，好怀念。            
(5星)	 绝对是我的菜，大爱卫斯理类型的戏！            
(3星)	 看完就忘记都不知道有什么重点            
(5星)	 大学教授和记者协助警察破案            
(4星)	 童年恐惧回忆            
(NA)	 宁可信其有 不可信其无            
(3星)	 这个我看的时候被吓到了            
(5星)	 剧情很悬疑，有点惊悚            
(5星)	 TVB少有的经典 太好看了            
(3星)	 有点半吊子的感觉            
(4星)	 太玄了            
(3星)	 感情戏很无聊，晚上看还是有点小恐怖            
(4星)	 老早看的 剧情还真不错            
(3星)	 导演的剪辑手法好生硬啊. 编剧更是不给力, 虽然设悬很厉害, 但是揭晓答案的时候就无法自圆其说了. 全当是看二小姐. 哈哈! 怎么看都很可爱!             
(5星)	 感觉最棒的TVB作品，97年的，现在拍的真是大不如从前了，但是还是支持！            
(4星)	 印象中挺不错的，TVB应该是时候再拍这种题材的剧集了。            
(4星)	 两口气看完，怀旧港片。            
(5星)	 结局很有意思            
(3星)	 TVB的悬疑惊悚剧，看了一半，什么时候抽个时间把后一半看完！            
(5星)	 非常好看的一部TVB老剧，看过几遍，情节比卫斯理更佳。。。            
(NA)	 故事本身都还不错，但是结局明明用简单的科学解释不了还非要往科学上靠就让人觉得有点烦了            
(5星)	 值得一看的好剧            
(3星)	 重看只为了张家辉被人下降头那个案件            
(5星)	 不错            
(4星)	 很久远了。X档案港版。            
(3星)	 其实，一点都不迷离            
(NA)	 故事有些老套。            
(5星)	 应该要用现代的科技来重制。。            
(NA)	 我就记得很恐怖啊很恐怖            
(5星)	 每个案件，似乎都没有结局就不了了之了~            
(4星)	 神神鬼鬼            
(4星)	 当年看得我有点脊背发凉的            
(4星)	 案情很好看            
(3星)	 半夜我是不敢再看了            
(5星)	 非常之好！            
(NA)	 不太记得看没看过。            
(3星)	 恐怖的回忆。            
(4星)	 好多地方没解释清楚，那个徒手剖心的到底怎么弄的，第一个神像都没说完，还有那个女鬼的事情，如果能说清楚就好了！降头的解释也很离谱，前世今生也很奇怪！            
(3星)	 看玩卫斯理传奇接着看这部的，有些剧情很相似，没有卫吸引，就算是消磨时间的港剧吧。            
(4星)	 看的我有点小兴奋            
(5星)	 97年的劇可以拍成這樣太JP了！張可頤好好看哇W口W            
(4星)	 故事点子很有意思，逻辑么本来就是迷离也不用太计较，不过捞家在里面真的好帅！！！！            
(4星)	 捞家很靓，Maggie的头            
(4星)	 迷离啊            
(4星)	 看的时候还小,所以被吓到.            
(4星)	 喜欢这种边缘科学片~~虽然道具差了些，毕竟年代早嘛，但情节还是很好的~~这种题材很少见呀~~            
(3星)	 马马虎虎，胡乱凑合。我是冲着罗嘉良和张可颐看这部剧的，一个个的小故事还算有意思，几个主演也演得不错，不过其中的漏洞和穿帮镜头太多，还有几个故事虎头蛇尾，交待不清。从《地狱天使》里的欧学儿，到《难兄难弟》里的陈宝珠，再到这部剧里的文嘉利，张可颐延续了我心目中TVB第一美女的形象。            
(5星)	 也是最近挖出来看过，还行。            
(4星)	 也是边谈情边说案。有点卫斯理的FEEL，但却无法像卫斯理系列那样给出一个自圆其说、煞有介事的解释，使得影片的魅力大减。            
(5星)	 很久没有看过那么好看的港剧了，还是以前的经典啊！            
(3星)	 剧情好老气            
(5星)	 好看！灵异剧||||||||||            
(5星)	 老片。但是很合我的味口，有恐怖的气氛，不错不错，喜欢喜欢            
(3星)	 有些故事很挺诡异，还可以吧。。。            
(3星)	 吓死人了            
(5星)	 张可颐，最最最漂亮的时期~            
(4星)	 小时候看的时候觉得好恐怖，晚上看完，都不敢一个人下楼去WC。不敢过现在看感觉没那么可怕了。终于看完了，这几天一直连续看呀，当一个故事没看完时，晚上洗澡都感觉毛毛的。虽然最后都能用科学解释，但有一些没解释就完结了，好讨厌这样呀。。。            
(5星)	 我记得以前看得很怕的…………………………            
(3星)	 老掉牙的片子哪，居然也有~都忘记讲的是什么了            
(5星)	 这么多年了 TVB也没有拍出一出可以超越迷离档案的悬疑剧 捞家可颐黄金搭档            
(4星)	 TVB有一批这样的电视剧，喜欢            
(5星)	 小学看的，回味到现在            
(4星)	 不解之谜太多了。97年的片子，按当时来说，还不错了。            
(4星)	 至少应该是12、3年前的片子了，那个时候没有高级的特技，依赖的只有演员的功夫和演技。可从情节而言，却足够抓人眼球，很多都被后来的影片所借鉴。很不错！~            
(4星)	 前段时间一直惦记着这部剧和《奇幻潮》，今天终于下到了这部，确实很不错，看了第一集就被吸引了。这部剧的风格有些卫斯理，不同于《灵异侦缉档案》的恐怖，走的是诡异中带些小感人的路线。不得不说捞家年轻的时候帅得一塌糊涂，可颐在里面是一个富有正义感的记者，是我最爱的固执男和执着女的搭配。            
(4星)	 可颐很灵            
(5星)	 最怕看那个尸变  好像 其中的女猪脚 是伍咏薇              
(4星)	 !我已经忘记...但看简介..好像内个神探伽利略= =+            
(3星)	 虎头蛇尾，案子立意不错，不过解密的时候很欠火候。            
(4星)	 就当时而言绝对是超级好看的，现在看也不失为一部好电视剧，不过毕竟是十几年前的剧了            
(5星)	 推荐这个~~很早期的TVB剧，但我到现在还有很多关于此剧的记忆~悬疑+科幻~大爱啊~！            
(5星)	 很老的港剧  那时的主演们都年轻着啊            
(NA)	 有点像卫斯理            
(3星)	 有些恐怖，特别是那个中了蛊肚子突然变得非常大的情节。关键是解释太糟糕了，什么都用科学来解释，无法自圆其说。张可颐在里面很好看，有点高婕的感觉，大概独立女性都是很相像的。            
(4星)	 曾经看过，扑朔迷离，不错            
(4星)	 算是拍出了卫斯理的悬疑神采 结局让我有点感动 电视剧里还是很科幻了 降头那部分最后真是看得我真是毛骨悚然 确实没想到是这么回事            
(4星)	 灰常好看，强烈推荐一看            
(5星)	 虽然很老的一部戏回想起来会觉得很经典有点恐怖不过很新颖            
(5星)	 很恐怖的            
(4星)	 悬疑 　世界上有很多科学无法解释的事            
(NA)	 不错            
(2星)	 啥子都猜到了            
(NA)	 深夜档推荐            
(3星)	 没看完，不看了。。。            
(5星)	 小制作但很引人入胜，更何况是我喜欢的组合            
(4星)	 據說是X檔案的翻版~~我還是鐘意港劇多d            
(3星)	 吓人            
(5星)	 有点小恐怖呢。            
