http://movie.douban.com/subject/2277411/	济公
(5星)	 恩，我唱会了这首歌。从早起玩到晚黑，常高歌哼句诗，但珠光宝气消失意义。。。            
(3星)	 主演都系我锺意噶人            
(4星)	 四星全是给何宝生的。。。。。。哎。。。为嘛就是红不起来。。。。            
(4星)	 曾经的大爱...很喜欢的！~            
(4星)	 谁有下载地址呀！~            
(3星)	 当时迷恋梁小冰····            
(4星)	 地方台很早播的了，怀念            
(4星)	 这也是一部当初为了它，别的啥都不看的好片子。今天想到它，真想再下一遍看看。让我再背诵一遍：十年生死两茫茫，不思量，自难忘。            
(4星)	 鞋儿破，帽儿破，身上的加沙破～～～你笑我，他笑我......            
(3星)	 结尾很欠扁            
(4星)	 如果爱可以改写，那就不会刻骨铭心            
(3星)	 觉得梁小冰很好看            
(3星)	 TVB的演员齐聚，有韦小宝的俏老婆阿珂（梁小冰），有令狐冲的小师妹岳灵珊（陈少霞），还有林平之（不晓得演员的名字）            
(5星)	 当时还蛮喜欢的            
(4星)	 记忆。。。             
(5星)	 何宝生真的很赞！！！            
(4星)	 脚受伤的时候看的            
(4星)	 佛心            
(4星)	 这个电视剧拍的不错啊，怎么一提济公就是“游本昌”？！            
(5星)	 那个时候的何宝生是何其的帅            
(NA)	 当时很喜欢            
(5星)	 哮天犬乃尤物也，哈哈！            
(5星)	 梁荣忠演得超好啊！！同大陆的济公伯伯有得挥。            
(4星)	 一直觉得梁荣忠呢个演员5错~            
(NA)	 当年啊，我可是很喜欢梁小冰呢            
(4星)	 看港剧最疯狂的时段            
