http://movie.douban.com/subject/2274219/	麻辣婆媳
(3星)	 麻辣婆媳，确实婆婆很难把媳妇当女儿疼哦。。            
(3星)	 很早之前看的了            
(3星)	 不知道结局 看了一点            
(NA)	 第一次发现林申。            
(4星)	 期待第二部~~~            
(5星)	 很好看！            
(5星)	 好看。。。还想看2。。。正等2            
(3星)	 何琳的下巴            
(3星)	 我看过的呀            
(5星)	 最爱最爱 小欧和英为            
(4星)	 还不错，挺逗笑的。几个老演员真是老戏骨。            
(2星)	 演员演得还算可以，情节欠火候，戏剧冲突不强烈。            
(4星)	 俺是喜欢林申耍帅            
(4星)	 07年五一假期 和我姐            
(3星)	 林申~            
(4星)	 英为、小欧很般配            
(3星)	 看点偏离了已经囧RZ            
(3星)	 又是婆媳问题            
(5星)	 本当喜剧看的,不过催人泪下得很,家,永远的避风港湾!            
(4星)	 很好玩            
(NA)	 00            
(4星)	 看了以后对以后的婚姻生活充满了期待。哈哈哈～不是因为婚姻很甜蜜，而是，家庭满复杂。            
