http://movie.douban.com/subject/1998963/	求婚事务所 求婚事務所
(5星)	不知道为什么就是特别喜欢看这部应该叫做“偶像剧”的东西。每一案每一个故事，虽说连接的也未免有点太巧合。那时的小S看似那么认真的在演戏，为什么我始终觉得她是在搞笑。。喜欢里面的音乐，每一案的专属音乐。有人能告我大S和蓝正龙那案的英文歌叫什么名字么？if....什么什么的。。
(4星)	剛開始看的時候覺得一切都蠻好  又有喜歡的李康宜 可是後來覺得這些人演起來 有些不自然 假假的感覺 嗯 看不到最後了 暫時中途放棄 可是 還是不錯的片
(3星)	比较颠覆的偶像剧。可惜貌似颠覆到我的雷点了好像。
(3星)	喜欢SOS以及伍佰大哥的老中青粉丝们千万不要错过
(5星)	树 小鸟。
(4星)	原声音乐很好听
(4星)	回忆啊~
(5星)	就是爱豆导
(4星)	钮承泽作品
(3星)	又去看了大小S
(5星)	钮承泽导得很好
(3星)	还不错
(NA)	很好
(4星)	曾经很感动……
(5星)	高三时看的，如今又再次沦陷。
(3星)	奇怪，开始怀疑豆瓣的评星可信度了。
(NA)	很可爱的电视剧，画面很好
(3星)	冲着豆导去的
(4星)	还是小鸟和树的印象最深，还有小红，也许是因为喜欢大小S的关系吧~豆导的戏其实没什么可挑剔，可惜总是缺了抓住我的那个味道！
(4星)	豆导的片子其实还不错的...
(5星)	我受够了等待 所谓的安排
(4星)	算是不错了
(NA)	我见过的最靠谱的台湾偶像剧
(4星)	因为克拉玛对克拉玛所以给四星！
(5星)	李一佩太勇敢，我学不来。李氏兄妹和黄家小弟非常之有爱~很好看。我要拜一拜豆导~黄小俊李一佩XD
(NA)	很早以前看的了，但是却喜欢，一直喜欢。
(5星)	虽然有些情节很雷人，但是还是很好看
(4星)	非脑残的正经片~
(5星)	经典。我15岁看的时候哭了一次，前天看又哭了一次。。。。应该算是最好看的台剧了。【updated 2010.10.24】：黄小俊眉头一皱我就要死了
(4星)	史上最无所事事又不会倒闭的事务所。此剧最大的优点就是把本来恶俗肉麻的恋情编得让人看得下去，单元之间首尾相衔，人物出场自然，缺点是每出都虎头蛇尾，有矛盾的高潮，没解决矛盾的过渡。
(5星)	啊！难忘的戏剧搭配
(NA)	为什么买不到它的碟!
(4星)	大S那段很揪心
(5星)	 台湾 钮承泽 
(NA)	有营养的偶像剧...
(NA)	很喜欢的一部连续剧
(5星)	片头曲一响就振奋 天啊李一佩和黄小俊
(5星)	那些圆满的不圆满的故事，那些快乐的不快乐的心情，我喜欢这部片子
(5星)	希望有时间时可以把它看完。
(5星)	畢業生超級喜歡！！
(NA)	看的时候才初中吧  那时候只觉得这部戏口味有点重。
(3星)	幸福，在另一个世界里，而我正好不住在那里。ps 看到李威那集弃了。实在无法坚持
(5星)	到现在居然还是最爱大S和蓝正龙那段。
(4星)	Karen的IF！！！
(4星)	钮承泽真是很有才滴男淫啊~
(5星)	音乐赞，故事赞，演员赞！有笑有泪有思考有感悟！好喜欢的片子~
(5星)	越来越怀旧了我
(5星)	当年很土很喜欢
(4星)	叶童好美
(5星)	好好看
(4星)	高中时代看的，断断续续并不认真，可能因为年纪尚小经历不多但是心中留下淡淡的幸福感，再回来看，还是有些幸福 ，有些心酸
(4星)	至少音乐很好听，小鸟和树的故事我喜欢。而且我喜欢李一珮。
(4星)	最最喜歡李一佩&amp;黃小俊！！還有，小S為神馬沒有嫁給聶雲？？
(5星)	最爱的台湾偶像剧··没有之一！！！
(4星)	让我想起爱的感觉。
(5星)	那时候的偶像剧很好看啊
(4星)	每个故事都有不一样的味道。
(4星)	跳着看完了。不狗血不纯情不弱智。最喜欢小S那个单元。最好看。
(3星)	呀  竟然有这个  耶 好看呢  还记得那个时侯偷偷瞄凤凰卫视7点档呀  哈哈   还未看完
(2星)	拖着看的，毫无影响，恐怕缺少的就是感情铺垫而已
(5星)	豆导威武！
(4星)	迷迭香，是为了帮助回忆。亲爱の，请你牢记在心，，你是我今生的新娘，安
(4星)	虽然有时几白痴 但真会有感动时 又看一遍
(4星)	李一珮VS黄小俊。
(3星)	怎么办？我年纪一大把居然还是被“姐弟恋”这种低级戏码吸引，实在是太不成熟了吧。可是李威，你长得真的好像泡面男啊。
(NA)	中秋值什么班，没事看电视剧
(4星)	原声带很好听。一个跟梦中的情人，一个和现实的爱人，大小S是真够爽的...
(5星)	那时觉得拍得最好的台湾偶像剧。
(4星)	不爱看台湾偶像剧的我，是看到钮承泽这个名字和这么多的明星阵容才来看这部6年前的台剧的~~我喜欢豆导~~而且，他好偏爱李康宜哦~and我爱黄小俊！~
(4星)	哈哈
(4星)	严肃的偶像剧
(5星)	台湾偶像剧之王!如电影般的镜头——最爱第二单元《恋恋风尘》 伍佰对小S 
(4星)	就是在这里听到并喜欢上《倒带》。
(5星)	真的很赞就对了！
(4星)	前面很赞，后面好烂。。
(4星)	很喜欢的豆导！
(4星)	这个是很好看的吖 
(4星)	我居然又翻出来重新看了一遍，豆导超可爱。
(5星)	亲爱的黄小俊
(4星)	豆导,越来越喜欢!
(4星)	豆导拍的，不用说。
(5星)	我爱黄小俊。本剧强势的广告植入呃。。。但还是超级好看！！
(4星)	哪怕后来很拖沓 哪怕有硬撑 为了豆导 得打4颗星
(4星)	 我喜欢黄小俊~
(NA)	原来我零四年就有在看凤凰台了！
(NA)	太爱大S和BLUE那段了，很感人……
(5星)	少数爱的台剧
(5星)	超好看嘛 不过我真的是很老土了
(3星)	《going home》很好听 又是一部不想看结局的电视剧~
(3星)	當年很喜歡，還特意買來了原聲音樂盤，柯有倫的拼了，蔡依林的倒帶，張震嶽的想太多。。。
(5星)	高中的喜欢~~配俄很好 还特意去买了OST
(4星)	大学时看过的片子
(5星)	温暖阿`
(5星)	黄小俊...当年的大爱呀。
(1星)	谁说它是“最好看的台剧”？简直是杯具……
(5星)	好像一部扩大版的真爱至上
(5星)	爱情故事，OST很好听~
(4星)	当年的凤凰台。
(4星)	我是大叔控…伍佰伍佰…
(2星)	太煽情
(4星)	其实很有意义的...
(NA)	总有些电视剧放在什么时候看都不会逊色今天忽然看到它的英文名字推介大家看一下
(4星)	为了黄小俊我要看下去
(5星)	大大大大大大爱 当时专门借了碟 看了两遍！！
(4星)	当年超喜欢&gt;&lt; 吴建豪VSHebe
(NA)	制作精良，但做作。
(4星)	啊~~~我还看过偶像剧！
(5星)	有回忆的故事。
(5星)	 感动 尽管是 台湾偶像剧 小鸟和树 
(5星)	想起04年看的情景， 不过很值得推荐的一部台剧。
(5星)	最感动的是听钮承泽唱《爱的箴言》。
(5星)	因而喜欢上《倒带》
(5星)	多想要一个黄小俊这样的男生……
(5星)	喜欢李康宜
(3星)	我标记。看到一些新鲜的搭配
(5星)	我最钟意的偶像剧。一点不做作～
(3星)	喜欢老少恋~~
(5星)	每一个故事都是一首歌一份爱情一段人生，越来越强烈的，深刻的，感性的撞击着你的心。钮承泽，绝对的灵魂人物，他就是我心目中最最想要的那种男人！跟随着他一起看求婚事务所，能带领你穿越很多思想的转弯。
(4星)	以前在凤凰卫视看过。印象中OST非常好听
(5星)	我决定开始做李康宜的粉丝。
(5星)	是比较好看的台剧之一～
(3星)	只看了大小S的那段
(5星)	好看。
(5星)	唯一喜欢的台剧
(4星)	最近又重新看了一遍
(3星)	就看了hebe
(5星)	向豆导告白。。。。XD
(4星)	沒看完！
(4星)	67.
(4星)	觉得还不错，爱极了黄小俊
(5星)	当年看完特别感动
(4星)	四星半
(4星)	记忆中很好看
(5星)	最不偶像的偶像剧
(5星)	!!!
(4星)	最不浪费时间的台湾偶像剧
(4星)	Hebe和吳建豪的搭配很驚喜~
(4星)	当年看得难受的电影。很淡很安静。少有人知的故事。
(5星)	嗯。好看。
(4星)	在众多帅哥美女的光芒下，豆导和陆明君还是都好象为偶像剧而生一样！
(5星)	突然想再看一遍...
(5星)	让人匪夷所思的演员搭配，效果却超好
(3星)	大王
(4星)	当年李威是男1小美是男2，风水轮流转！
(5星)	再看了一次，豆导作品大爱。超感触~！！
(3星)	电视剧不错。夏夜晚风。还有倒带。going home 也不错~
(4星)	分几个故事述说感情~~~感觉豆导还是蛮细腻滴！
(4星)	每段爱情都有她铭心刻骨的地方没了爱情，人真的不能活吧～
(5星)	超赞超赞！！！！
(4星)	大S那个还满好看的。。。
(5星)	其实这部剧已经超越了偶像剧 
(5星)	鼎力推荐
(5星)	一直想要看的
(5星)	不是俗套的偶像剧
(NA)	我爱500大哥
(5星)	不太象偶像剧的偶像剧～非常值得一看～
(5星)	强烈支持豆导进军电影！
(4星)	好看也是有深度的偶像剧
(3星)	喜歡畢業生那段
(3星)	泡沫。。。
(5星)	经典！喜欢黄小俊
(NA)	喜欢
(4星)	看这个的时候我在读初中
(3星)	我死命的哭死命的哭，一点点地细枝末节让我一塌糊涂的感动起来。
(5星)	让我感动 相信也会让所有人感动 以至于后来都在沮丧。看完了怎么办。。。
(NA)	好看～
(5星)	going home~
(5星)	最爱台剧前三甲
(5星)	每个故事都很好看
(5星)	04年上大学前看的，某种程度上算是我爱的启蒙，至今仍然记得满满的感动。钮承泽最近的电影LOVE正在上映，突然很怀念这部形式相同，内容不同的偶像剧。。。。。。
(4星)	记得当时里面有好多好听的曲子 什么时候再拉出来看看这部剧
(5星)	倒带
(4星)	这部电视剧还可以，初中看了一部分
(5星)	歌曲都很好听
(4星)	看这部老剧，只是不死心想证明自己眼花看错了，可现实就是这么残酷，看完情书里长发飘飘的树，再看幸福三颗星里的苦逼安少，我只能心碎地哭喊一声：蓝正龙开始谢顶了~~~~
(5星)	可以10颗星吗
(5星)	阵容强大
(5星)	已经没有什么语言能概括我对它的喜欢了。
(5星)	最近在听这剧的OST。当年就有这么文艺的台剧不容易啊，搭配也很新鲜。希望今年豆导的LOVE表让我失望…
(4星)	“我。一耳全聋。一耳重听。重听的那耳，会随着时光流逝， 慢慢丧失仅有的听力。我因此活在恐惧之中。直到遇见你。看着你，那恐惧便自然消失。因为我知道，有一天，当我再也听不到任何声音的时候，我还有生命中发生过最美好的画面陪着我。不离。不弃。”    ——黄小俊
(NA)	看了部分，感觉已经和现在的时代脱节太多了，不敢恭维，或许在那个时候，这电视剧是好的吧。。。
(4星)	不一样的偶像剧，推荐
(NA)	不好看
(4星)	Oh,苦逼的黄小俊!!!
(4星)	扯淡时刚好提到，当时小s还是龅牙啊。。。才粗中的我完全被片尾曲震住了，觉得倒带淡淡的忧桑好听爆了！！
(NA)	看过其中一级而已啦。
(3星)	导演编剧是有心人，可是那节奏我实在受不了...
(4星)	豆导我爱你！心情不好的时候就翻这部戏来看，苦苦又笑笑。而且自己TM地跟李艾铃太象了！口是心非又爱逞强！其实心里一直盼望可以在一个人面前完全卸下武装。
(5星)	碰巧聽到伍佰的晚風，拿來重溫下
(5星)	几年前一直追的~
(4星)	喜欢李家兄妹和黄小俊。
(5星)	豆导的作品始终保持水准
(4星)	从那时开始喜欢上钮乘泽。
(5星)	超级喜欢！！！！李康宜、钱韦杉都好棒！！going home 很好听。
(NA)	超好看
(5星)	当时可喜欢了！
(5星)	还很不错哦
(4星)	黄小俊  麻雀变凤凰的氛围  小鸟与树的故事  毕业生里青春的李威和青涩的贺军翔
(NA)	盛装了很多回忆
(5星)	小学看这种片子我是不是很早熟啊~~~=-=。。对小S和伍佰那段记忆犹新。。我要的爱！。。。高端到死！！
(5星)	说实话，就是从第四个故事喜欢上的，《毕业生》，似乎也只看了第四个故事。好喜欢小武和Joy的爱情故事，真切感受到忘年恋的美好。再一次感谢凤凰台，让我看到了如此甜蜜的爱情剧。我可是首播重播都追着看。
(4星)	最喜欢的台剧
(4星)	好像以前看的时候喜欢hebe那对~
(5星)	在那个七里香的夏天什么都是最美好的。
(5星)	情节很慢 但看完只要一回想起 很有味道 爱情很多种 总有一种感动你
(4星)	有7个小故事组成的，不过都是喜欢看小俊和一佩的·~
(4星)	很不错，喜欢毕业生那一篇
(4星)	记忆里的湾湾看得而又不残的偶像剧
(NA)	导演竟然是钮承泽
(5星)	我喜欢李绍洋！
(5星)	怎么会不爱上小俊plus一佩这对呢
(5星)	喜欢豆导..
(3星)	明星那么多，浪费了。。
(4星)	上中学的时候看过，好像是凤凰卫视播的，很喜欢里面的插曲
(3星)	你会觉得过了7年后看滴剧，都一样充满新意，会会心一笑，又或者略懂略懂。我愿时光飞驰，让我早日与你再相聚。PS：钮承泽。
(5星)	好看啊好看啊
(5星)	so many years have passed
(5星)	喜欢小s和伍佰那个单元。小s把自己的个人气质和这个角色完美地结合起来，内心戏异常动人，还凭借这个角色提名金钟最佳女配角。爱死台湾的小渔村了，土气的伍佰骑着车载着不施粉黛的小s，配上晚风这歌，实在是太浪漫，这才是恋爱啊
(4星)	凤凰台看的
(4星)	當初還小幾年前看的阿 ?現在滿腦子還記得最喜歡的一對就是李一佩和黄小俊，李康宜和李紹祥，可惜現在好像不太有名也很少演有名氣的電視劇或電影。
(5星)	高中时候看过.租VCD看的。很不错.音乐很好...
(5星)	04年的一部偶像剧，很久远了。剧情，卡司，音乐都很出色。
(4星)	李一佩和黄小俊
(4星)	黄小俊啊黄小俊~
(NA)	早看过啦，当时最喜欢那个听力有问题的人
(NA)	哎哟哎哟！！！
(4星)	小时候凤凰台看的。有机会想要重温。
(4星)	蛮有意思诶
(5星)	伍佰+小s
(5星)	这绝对是台湾偶像剧的上品  戏如人生 淡淡的叙说 但是却深入心底 唯一一部台湾偶像剧给的五星
(3星)	我是冲着Hebe去的。
(5星)	歌都好好听！
(5星)	万翻回味啊嘞个去 第一次买原声音乐CD啊。。。相当有诚意且好看啊。。鸟和树哇。。小S和伍佰哇。。
(4星)	初中看的，应该是最好的台湾偶像剧了
(5星)	只是因为喜欢喜碧才看的 不过还不错啊！
(5星)	我爱豆导！！
(5星)	最好看得台剧！！！！！！！！！！！
(NA)	我无聊 就会翻以前的看过的台剧看
(NA)	还蛮好看的
(NA)	我大概已经不适合看偶像剧了吧
(4星)	当年号称阵容强大
(3星)	豆导真算是难得的有腔调。但是恕我这么多年后才看····真的···太拖沓了···
(5星)	这么多年，黄小俊一直是我的心头好。
(5星)	最爱的......
(3星)	没什么印象了，有点记忆混乱！
(5星)	包罗爱情万象
(4星)	good. 喜歡鈕承澤的風格.
(NA)	很经典.很早很老套
(3星)	没看完
(5星)	曾经疯狂的追过
(4星)	真的好！某种极致
(NA)	喜欢豆导
(3星)	就看了CC那个单元，美啊
(5星)	某次翻豆瓣翻出的偶像剧~7年之后才看，依旧有看点，每个故事都是一种爱情的形式，特别的配对却也只是平凡的感情而已。看到好多人稚嫩的曾经，干净明亮的美好。
(2星)	以前只看过一眼，本来想翻出来看看，但还是失败了，不是我的菜，就始终不是我的菜。
(5星)	好早就看过了，记录一下。喜欢豆导，豆导代表作啊~
(3星)	其实我觉得这一定是hebe和吴建豪最想毁掉的东西- -伍佰还挺不错。
(NA)	其實蠻棒的~~特別有hebe~
(NA)	我倒是 一直记得的 这个电视剧。就最后的最后 在电影院里。
(4星)	只要有爱就好
(4星)	单元里最喜欢的是叶童那个，其余的一般，亮点是黄小俊和一佩。李康宜在我眼里是个大美女 ost好
(3星)	Hebe
(4星)	单元剧
(4星)	记忆最深刻的是鸟和树的故事。小鸟死后，树看到那几封迟来的邮件。他泪流满面却再也没办法回过去。她说，“真不知道没有我你要怎么办！”
(4星)	至今都还记得蓝正龙大s那断大树失去小鸟后失声痛哭的模样
(5星)	八百年没看国语电视剧了。。。太长了。。。
(4星)	hebe  ！！！！
(5星)	春蚕到死丝方尽，蜡炬成灰泪始干。豆导的电视中，连五百都那么忧郁，那么帅气！　多么爱那时候的小Ｓ啊　！
(4星)	喜欢《毕业生》~
(3星)	只想看看小s
(5星)	想好好再看一遍
(5星)	大S跟藍正藍那一段~~哭死了~還是要好好珍惜身邊的人事物貓貓狗狗花花草草~~
(5星)	因为此片，喜欢上豆导伍佰李威，看到了S的另一面，连叶童都伐是噶错其了。。。偶像剧里的精品啊，但不是所有人都懂得欣赏的。。。
(4星)	很不錯的偶像劇，可惜在當年收視不高，最後的幾個故事被迫剪短了愛情，何罪之有
(NA)	妈妈不让你们谈恋爱就来找我们求婚事务所、、太可爱了
(5星)	多年前的凤凰卫视、7单元。豆导独特的视角，喜欢~
(NA)	我爱片头曲什么的
(5星)	虽然是偶像剧，但是这我近几年最喜欢的连续剧了。就连偶然听到里面的音乐，都能马上回忆到里面的情节。。。
(5星)	真实。经典的插曲经典的黄小俊。
(2星)	当年实在是看不下去了！~
(5星)	我也曾經出演唷~！
(4星)	其实是没看完的，但即使是这样也很肯定这部戏很好看
(4星)	只看了大小S部分。
(4星)	豆导真的太厉害~最喜欢大S和蓝正龙那段，哭死！
(5星)	小S和伍佰那段-恋恋风尘 我加起来一共看过6遍。
(NA)	非常好看，豆导好有才华
(5星)	小鳥&amp;樹
(4星)	豆导……
(NA)	[2004]　《毕业生》 
(5星)	hebe和vanness
(5星)	当年你是那么的青涩。。当年你是那么的帅气逼人。。
(3星)	哇好久之前的剧了啊
(5星)	豆导是个神奇的人
(3星)	我是来看邵祥的　剧真一般
(4星)	几年前看的了，那时很喜欢
(5星)	至今 仍然常常重看 值得看的
(3星)	很多年前 因为HEBE而看的 有大S和蓝正龙  还有小S和伍佰 蛮好
(4星)	豆导的片子值得一看  插曲是亮点  伍佰的晚风不错哦~~
(3星)	节奏太慢了
(5星)	我承认 在李一佩跟唐冠军终于在一起的时候 我觉得我不会再为后面的剧情哭了 我觉得在我看来 这部电视剧就此结束了 可是我也承认 整部剧 我最感动的台词是 “我，一耳全聋，一耳重听……直到遇见你“ 最感动的画面 是最后唐伯伯从黄色行李箱里 拿出那件白色的婚纱 而且 我哭得比之前更厉害
(NA)	豆导的治愈系，断断续续看了好久啊。。李一佩大爱的角色
(5星)	最爱李威和叶童那段。
(5星)	只记得小鸟和树的情书...
(5星)	豆导~
(5星)	可以慢慢回味的电影。
(5星)	6年了
(4星)	只看过大S和蓝正龙那一段，还可以。
(4星)	小s那时候比较萌一点
(NA)	小鸟和树的故事最感动我~
(NA)	追着蓝去的
(4星)	其实蛮感人的，很多故事都有它自己要表达的主题
(4星)	好好看了，自此喜欢上豆导~~
(NA)	蓝正龙一边剃头一边哭的场景震撼了我年幼的心，当时我就想，要是有这样男友，我也想死一下看看。
(NA)	大家都说大Ｓ漂亮可是蓝正龙也不差啊
(4星)	最喜欢HEBE那段
(5星)	喜欢豆导...喜欢他的风格和小调...
(5星)	从这就爱上豆导了。
(4星)	钮承泽的。总有种淡然又感人的美好。。
(5星)	大爱
(5星)	故事不错，算台剧中比较出色的！
(5星)	哇
(4星)	这不是电视剧么？
(4星)	豆导不错
(NA)	无法用言语形容。
(NA)	小s伍佰 听起来很搞笑 看起来真好
(5星)	豆导的经典,前无古人,后无来者.
(5星)	最後一集
(NA)	当年认为是最有质感的偶像剧了
(5星)	当时超爱。
(NA)	一直记得夏夜晚风，还有最后他们在一起了
(5星)	就是这部台湾偶像剧让我从此迷恋上了豆导~
(NA)	每段爱情都有它的精彩～～～
(3星)	挑着看的，还行
(4星)	心境不一样，看的角度也不一样。豆导果断是治愈系的。不用治愈的时候，果然就觉着各种关系都太单纯有没有。
(4星)	豆导是个有诚意的导演
(4星)	最后哑巴弟弟用电影幻灯片的表白让人感动。听了好几次背景音乐才发现是“乘客”的原唱。。。
(4星)	最喜欢酱紫的形式。好几个小故事串成一个大故事。好长的电视....看了几个礼拜 边看边P图 是美好的记忆。喜欢豆导。
(5星)	最喜欢欢毕业生的那个单元
(NA)	爱情在缓缓地流动，一切在不经意间被打动。很喜欢这种调调。什么时候，才能找到我的文艺男啊！哦，今年这个七夕节，我伤感了……
(5星)	如果说我看了那么多俗烂偶像剧有什么意义的话，就是为了发现这一两部堪称经典的剧……很有脑，很有爱，很有思考，很能反映问题。喜欢钮承泽，喜欢他的演员和剧本。唯一不喜欢：植入式广告。不过看在这种非主流没有款子的份上，我乐意忍受。
(5星)	最后一集 那首《going home》 那间只有两人的影院 李一佩留着泪的脸 重听大男孩给的感动 至今 我仍记得
(5星)	记得是边吃烤鸡边看，狗血但是有爱。
(NA)	豆导
(3星)	豆导无处不在
(5星)	回味。。。原来我们也曾年轻过
(4星)	各段落都蛮精彩的，豆导的东西一直不是纯正的偶像剧
(4星)	豆导的
(5星)	倒带
(4星)	剧本不错，不过台湾演员的演绎方式总让我想上去踹两脚。小S的那些很吊的眼神我还是很爱的。还有黄小俊，我就爱这种自闭款的。钮承泽是个好导演，但是做演员的话不是不好，是盖不过他做导演的光芒。还要赞一个音乐总监，配乐相当完美。每一个故事都很合适。每一个我期待的镜头都拿捏准确。
(5星)	好的剧情 好的配乐 好的导演 好的演员 有FEEL~~~
(5星)	豆导的电视剧永远有电影的质感
(5星)	当时看真的影响很大，超喜欢的~
(4星)	看台湾偶像剧看到泪目所以说我我我我我.......
(5星)	当时天天守着凤凰卫视看
(5星)	看过最最喜欢的连续剧。
(4星)	印象最深的就是豆导饱含深情的《爱的箴言》。
(5星)	钮承泽力作，HEBE和吴建豪的恋情美的动人！
(4星)	难得有我看得下去的台湾剧
(5星)	快进快进到李威
(5星)	: Hebe
(5星)	读书的时候超喜欢的！
(4星)	一个人假日发呆找不到人陪我看海
(5星)	爱上if 这首歌----小鸟与树的故事。很喜欢李康宜，很自然的感觉
(4星)	豆导早期的作品，一个大男人的温柔小品，其实我挺喜欢他偶尔的伪文艺腔和小矫情
(NA)	想重温哪。。。小S和伍佰的无敌组合。
(5星)	台词很煽情，故事还是蛮精彩的
(4星)	注意。放现在看觉得有点矫情。。。。。咳咳，不过哪有不矫情的台湾偶像剧？？
(NA)	我要成为你的眼睛 于是我看到的世界就是你看到的世界
(4星)	喜欢hebe的那个。
(4星)	每一段故事，都是一个关于爱的告别，不论结局如何，相爱的日子都是美好的~~
(5星)	台湾拍的最好的一直都不是偶像剧，而是那些小众剧。这些年似乎都是公视的剧集更加偏向优质而不在乎收视的高低。但是，细数下来，事实上是一直做偶像剧做的名字最响亮的台视的小众剧可以堪称经典。求婚事务所是我看过的最好的台剧。近两年台视的[波丽士大人]和[那一年的幸福时光]都是意味深长的剧集
(4星)	前有wake up 后有倒带 最主要的是小S凭借此剧入围金钟最佳女配~
(4星)	小S在这里面的演技很清新。
(5星)	一直觉得这部最特别 又说不上来
(4星)	还是最喜欢第一单元吧~
(5星)	泪奔中...不要烦我！
(3星)	插曲IF超好听
(5星)	豆导的作品必须是五颗星的！！
(3星)	2倍速播放，除了第一个故事超级烂，其他都不错。
(5星)	对于很少看台湾剧的我来说 这片子实在是太难得了 绝对的绝对的完美~~
(5星)	这部我喜欢！还是人家豆导牛逼！
(5星)	好看！
(4星)	毕业生+致命吸引力
(3星)	小S的演技不错
(4星)	我把青春献给了你。
(4星)	原声碟 以及 小S/Vanessa/Hebe
(4星)	我只爱第一小节.
(5星)	不只是偶像剧  豆导的作品都值得看
(NA)	我喜欢豆导，，李一佩和黄小俊那段，叶童和李威的那段，豆导和陆明君那段我都收藏了。
(4星)	当年觉得很不错的...
(5星)	最近看了艋舺，忽然就想起当年看求婚的感觉了，让人影响深刻的偶像剧。用心做电影的人
(5星)	黄小俊你怎么能那么可爱?
(NA)	麻雀变凤凰.容重的闽南风味的建筑.的话音.囊括众多题材.这么多年里最喜欢的一部电视剧.
