http://movie.douban.com/subject/4303597/	乡村爱情故事
(4星)	 刘能啊刘能，忒可爱了。。谢广坤就一心理变态的老头！ 永强你咋就肥成那样了呢。。小蒙终于变豆腐西施了，但很没劲。。            
(5星)	 真能折腾            
(3星)	 喜欢原来的王小蒙~长的很纯            
(5星)	 逗            
(5星)	 挺好的，多淳朴的人啊～            
(5星)	 等待了整整一个年头了，喜欢那种东北的淳朴农村，还有 尼古拉斯 赵四呵呵            
(4星)	 意料之外的好看            
(5星)	 很向往这种宁静搞笑的乡村生活!            
(4星)	 蛮有喜感的连续剧，刘能和赵四这两个角色真是演神了：）谢广坤也演神了，演得让俺看着就恨，怎么有这么可恶的人呢。。。。            
(5星)	 编剧是个天才！！            
(4星)	 逗            
(1星)	 赵大爷不是当年的赵大爷了   小沈阳还是当初的小沈阳            
(NA)	 人物太过龌龊            
(NA)	 看了没深想，只是觉得他们的日子过得挺丰富~~~~            
(5星)	 本山大叔+刘能+赵四+阳仔，无敌了~美女也多~作为东北妹子，我还是很享受满口东北话的长篇小品~            
(3星)	 断断续续看完，长篇小品，作为东北人的我，看着还是很享受的。            
(3星)	 别去使劲琢磨,属于看了,笑了，忘了的片子            
(4星)	 中国农村喜剧之典范            
(4星)	 赵四和刘能太逗了~哈哈~~~            
(5星)	 跟着这些淳朴简单的人们放松一下吧~            
(4星)	 挺逗~~~            
(4星)	 www.mp4ju.com乡村爱情故事下载地址。            
(4星)	 D过年陪妈妈看的            
(4星)	 1，2，3，4，必必必须的！！！            
(5星)	 续集续的相当不错，味道很踏实．还是让人那么忍俊不止            
(3星)	 够俗，够土，也够娱乐~            
(5星)	 就是喜欢看刘能 ~            
(5星)	 前两部没完整的看过，这部一集不落，每一个人都很搞笑，故事情节也很好，编剧善于发现生活中的细节，赞一个，推荐~            
(NA)	 好看            
(5星)	 真实 自然            
(NA)	 在城市里住久了这部电视剧把我引入了对农村的向往            
(5星)	 赵本山是个大牛            
(2星)	 瞎扯出来的剧情，明显不如前两部。上海人来到象牙山引发出的几个新配对更是生搬硬套，文化、背景、地域，各方面差距太大，又没有感情基础，完全不合逻辑。多余的角色太多，留下印象的情节太少，也就是刘能还有点儿看头。            
(2星)	 外日，真是外日。            
(4星)	 东北人都爱看，哈哈！            
(3星)	 really rural, really simple, really stupid... could be a choice for killin time tho!            
(3星)	 中国农村故事的夸大搞笑化，成为现在人们茶余饭后的谈资。            
(5星)	 很搞笑            
(3星)	 just for fun~            
(3星)	 看完了大结局，36集未免进展迅速了点。反正本着一切为善，对对鸳鸯的原则，能匹配的都配上对了。前两部断断续续看过一点，有机会再看看，是否前两部更好看一点？！            
(1星)	 唯一的收获是学会了些人性的险恶            
(5星)	 好笑好笑 太好看了            
(4星)	 从技术上讲，在剧中体现党的领导一点都不难，只需把“齐镇长”改成“齐书记”、“村主任”改为“村支书”就行了。但《乡村爱情》偏偏不这样做。编剧不懂，导演也不懂吗？            
(2星)	 乡村爱情故事剧情矛盾展开点及其他：1.	村主任的改任和刘能“执政”是贯彻始终的主线索2.	谢小梅和刘一水——围绕是否引进牛奶鲜加工设备而分合3.	谢大脚和王长贵——王大拿的“前科”和是否去镇上居住是他们生活的全部内容4.	王香秀和李大国——只关注王天来的爱情进展（香秀在村民生病时也            
(4星)	 蛮搞笑的，看一看可以开心一些            
(4星)	 本来不喜欢小蒙的，不漂亮，算不上村里数一数二的美女。现在看了这个，还是觉得以前的小蒙好，淳朴，内敛。            
(4星)	 小沈阳的头发啊，啊哈哈            
(3星)	 哎呀..我真的喜欢刘能呀....            
(3星)	 幽默朴实，一如既往的有意思。            
(4星)	 哦也~            
(3星)	 剧情不如前两部，虎头蛇尾            
(2星)	 解闷儿够了            
(4星)	 不错不错            
(4星)	 喜欢刘能赵四的对手戏。            
(5星)	 豆瓣人太高端了，都没人跟我一样看这部低俗电视剧            
(2星)	 这部真够烂            
(NA)	 我承认我三俗；东北情结            
(4星)	 本山大叔真是个农民精啊            
(5星)	 刘能 赵四 谢广坤 ~好玩~            
(3星)	 挺逗乐的，不过比不上前两部            
(4星)	 这个结局太仓促了吧            
(1星)	 真正的广告之王——赵忽悠，从第一部 刘老根开始到乡村3，植入广告就从来没有消停过，相比之下，芒果台的流行鱼和丑女算什么？赵的电视剧就是一帮人及广告商的结合。            
