http://movie.douban.com/subject/2311147/	绝代双骄
(4星)	 这一版 其实我当时看得挺嗨的            
(3星)	 好可爱的小辣椒，好虐的结局            
(3星)	 竟然有曾轶可？！            
(4星)	 一个个装嫩。            
(4星)	 这版的绝比张卫健版的耐看多了            
(4星)	 记忆中最初的林志颖。            
(4星)	 陈德容真是不抗老            
(4星)	 花无缺你好帅~！！            
(2星)	 以前安徽电视台影视频道在俺上高中时翻来覆去放这个电视剧，我都看腻了！            
(4星)	 我们还跑到同学家里玩角色扮演的游戏 我每次都是小辣椒 哈哈哈            
(4星)	 好喜欢小辣椒李绮红~            
(3星)	 真不讨喜的铁心兰            
(2星)	 李绮虹演的小辣椒有点意思             
(NA)	 小学放学5：30到家开电视btv3。            
(NA)	 初二呢 和妹妹天天晚上等啊等啊            
(3星)	 小时候老看了            
(NA)	 那时候超爱林志颖的．．．            
(4星)	 初中时看的非常入迷，觉得自己就是小鱼儿……囧。            
(3星)	 林志颖的确适合扮演江小鱼，但其他剧情太差            
(3星)	 最爱黑蜘蛛…还除了姜玉郎，张菁~其他人一律无视！            
(4星)	 都演得不错            
(4星)	 很早期的偶像剧了 真偶像 偶像就是没实力的意思            
(2星)	 林志颖的演技很吓人的..            
(3星)	 这个版本比谢和张的版本好多了            
(3星)	 真的不喜欢陈德蓉，一直一直不喜欢！            
(4星)	 当年我好爱小辣椒            
(3星)	 那时候就觉得江玉郎是最帅的！            
(4星)	 还行吧，比小鱼儿花无缺好。            
(3星)	 戏服太可笑了从开头就跟原著不一样嘛╭(╯^╰)╮好奇小时候怎么会觉得还不错            
(4星)	 喜欢死林志颖了~            
(3星)	 过。            
(NA)	 四年级暑假看见杂志说在拍摄中 五年级电视上放了 林志颖这里已经不咋好看了 当然了比苏有朋还是要好看的 苏有朋不适合介造型呀 片头片尾都会唱 上课唱快乐至上时 同桌说里唱走调咯 还有稻草人            
(NA)	 “姐姐，你变态！”………………的出处            
(3星)	 不怎么喜欢林志颖的表演            
(5星)	 其实我还蛮喜欢林志颖的            
(NA)	 刚看完小说版的，感觉这个小时候看的连续剧改得比原作还好。            
(4星)	 这个我是从头看到尾。看的好难过哟= =囧            
(3星)	 李绮虹 這個有印象~！！            
(1星)	 这片儿我觉得很垃圾……            
(3星)	 陈德容从这个片子开始，彻底毁了。            
(5星)	 哈哈哈一样            
(4星)	 比现在的版本不知强多少。            
(NA)	 补遗               
(4星)	 天再高我的快乐至上，噢黑呀噢黑呀……            
(3星)	 林志颖的歪嘴实在受不了            
(3星)	 以前觉得林志颖好帅呀，            
(3星)	 当年爱过林志颖，也爱过苏有朋            
(4星)	 林志颖，郑嘉颖，还有霆锋的片尾曲，苏有朋就算了吧            
(3星)	 因为有林志颖的出演，给出三颗星，实在忍受不了某些演技和外形双差的人来毁坏这部戏，恶性循环的复仇，让更多的人在腥风血雨中艰难度过。江湖，就是恩怨反复的地方，报仇或报恩，仅此而已。            
(2星)	 因为有陈德蓉，我能记事之年记住的第1个美女，所以就理所当然要看这版《绝代双骄》，彼时，我已快念初中了。            
(3星)	 不喜欢这个版本            
(3星)	 这两个帅哥呀～当时嫉妒死陈德容！            
(5星)	 jimmy~~            
(3星)	 也算看了很多遍的武侠.我还是更喜欢小鱼儿            
(2星)	 林志颖在里面简直是个缺心眼嘛～            
(4星)	 这个其实还不错 不过忘了差不多....            
(4星)	 想起当年水嫩的一众演员            
(3星)	 有年头了……            
(NA)	 林志颖 苏有朋 陈德容             
(4星)	 最喜欢这个版本的绝代双骄            
(2星)	 冲着苏有朋看的。真是没意思。浪费了我大好的青春年华。            
(4星)	 好怀念啊~            
(2星)	 这和老梁那版实在没的比            
(3星)	 阵容很强大，但是不喜欢            
(3星)	 不喜欢这个版本            
(3星)	 囧归囧原著本来就囧，演员选的挺好的，当年和大天看得相当来劲，还经常一起唱主题曲            
(3星)	 可惜啊可惜~~~里面奴家唯一看得惯的，是那时候经常被台剧糟蹋成好色心肠坏贵公子的郑嘉颖…………（江玉郎）另外对于邀月怜星两位宫主以及江枫之间的情感纠葛，也唏嘘过。            
(3星)	 小家子气。            
(1星)	 苏有朋的花无缺...我哭死了            
(NA)	 那个暑假太火,想不看都不行.每个台都在放.            
(4星)	 爱死了，算是最美好回忆的片子。也因此一直喜欢陈德容。最近又看了一遍，觉得有些虎头蛇尾。            
(3星)	 我還記得是小學的時候中午看的 看完了就去上課 算是偶像劇 當時受還珠格格影響特別喜歡蘇有朋 不知道他叫什麼名字 去到學校了就說喜歡絕代雙驕裏面的五阿哥            
(5星)	 苏有朋和林志颖....小时候特别喜欢看，总觉得自己就是花无缺，拿着爷爷的扇子摆姿势            
(3星)	 花無缺= =            
(3星)	 经典的一版。            
(3星)	 苏有朋真是俊美啊！！！！！！！！！！！！！！            
(3星)	 小鱼儿~~花无缺~~            
(4星)	 林志颖的江小鱼就是看不厌            
(3星)	 还好            
(3星)	None
(NA)	 我最喜欢李绮红啦             
(3星)	 小时候。。            
(3星)	 两个娃娃脸            
(NA)	 那个时候，我就做上了3P的梦，数学课上辛苦撰写的色情小说还被我爸发现了呢            
(3星)	 童年记忆            
(3星)	 没看完...            
(3星)	 小鱼儿和小辣椒            
(3星)	 小鱼儿和小辣椒 =。=            
(3星)	 全当为了小辣椒            
(1星)	 呢个铁心兰的头我接受不了。            
(4星)	 哦黑呀哦黑呀！！！            
(5星)	 我初中的时候超喜欢的！对李绮红印象深刻～最近在青海卫视回味。。。好怀念。。。            
(4星)	 我看过两遍！两遍！第二遍时候想：我小时候真弱啊- -            
(4星)	 总觉得是最好的一版            
(5星)	 挺喜欢的            
(5星)	 ！！！            
(2星)	 豆瓣的演员阵容囧到我了。            
(3星)	 不记得内容了，小时候很爱看            
(NA)	 林志颖跟林志玲没有关系好吧            
(3星)	 没看全过，最记得的是那首《稻草人》            
(3星)	 = =。我看的电视剧不多。。这算其中一部。。            
(4星)	 为什么封面好丑，小时候蛮喜欢李绮虹的            
(3星)	 ……我觉得我今天抽风在翻尸体……            
(NA)	 喜欢小菁；和卉子一同幻想各自是邀月怜星，因此上，自导自演了N出“娜拉走后怎样”，从各片段截，以毛绒玩具为主角，间或亲自出场。哎！是怎样体己的童年和玩伴啊！            
(4星)	 小时候的记忆啦~~            
(3星)	 其实我很喜欢陈德容            
(4星)	 小时候很喜欢~            
(4星)	 小鱼儿~萌翻            
(4星)	 小辣椒~            
(3星)	 其实这几个人我都不是很喜欢啦 除了李绮红 但是别人好像都很喜欢的样子            
(3星)	 两大帅哥，果然不一般。            
(NA)	 还记得那年暑假偷来的幸福时光。            
(NA)	 小时候和妈妈一起煲过的电视...            
(4星)	 明明黑经典。。。            
(4星)	 原著是邀月也喜欢江枫吧……关燕南天什么事……            
(4星)	 铁心兰减一颗星            
(4星)	 年少回忆。            
(4星)	 林志颖演的太好了。            
(3星)	 想不起来，依稀记得当年很喜欢            
(NA)	 又一            
(3星)	 小时候看得。            
(2星)	 相当挫！陈德容在这部里面也很丑。            
(5星)	 喜欢被演绎的人物多于我喜欢这个故事            
(NA)	 只要快乐就好 哦累啊哦累啊~            
(1星)	 一星就是看得起你            
(4星)	 黑蜘蛛~~            
(4星)	 对陈德容相当有意见。            
(4星)	 有林志颖还苏有朋在就已经足够让我看了。 呵呵。 这是我童年喜欢的。现在也是喜欢如初。            
(NA)	 这个 哈哈             
(3星)	 陈德容长得好俗气哦……还是喜欢李绮红            
(NA)	 史上最强!最喜欢李大嘴!            
(NA)	 那是苏有朋开始红的时期，陈德容已有老态，林志颖复出一直不尴不尬，而李绮红虽伶俐聪明，却受外形所限，所以只看苏有朋，无奈，花无百日红，他没过两年，就变成现在这样。            
(3星)	 书太好看了 所以电视剧就永远不可能超越它            
(4星)	 我只看过这一个版本的。            
(2星)	 每个人都很讨打……            
(4星)	 经典小鱼儿            
(NA)	 妈陪我一起看的，真是有些难为她            
(NA)	 不知道为什么就是喜欢这一部，感觉演到心坎里了            
(2星)	 小鱼儿其实挺不招人待见的。            
(4星)	 这个还算是比较经典的搞人啊。            
(4星)	 小旋风～还有哪个小辣椒也喜欢            
(5星)	 私认为拍的最好的一部~            
(3星)	 故事喜欢,            
(NA)	 陈德容在这部戏里的发行好穿越。。。            
(3星)	 喜欢小志和张菁~            
(NA)	 一天看几集的暑假啊            
(3星)	 呃，这个么，3星纯粹是随便给的            
(3星)	 我为江玉郎狂。            
(3星)	 演技差不毬毬的。。女主很丑！除了小辣椒            
(3星)	 小鱼儿演得好..不喜欢铁心兰..            
(NA)	 江玉郎=郑嘉颖..吓到我了.            
(NA)	 冗长不漫长            
(3星)	 林志颖如果不老是挤眉弄眼，还是很适合江小鱼这个角色。至少他和苏友朋站在一起，比较像兄弟。            
(3星)	 可以看，就是演得有点弱            
(5星)	 经典中的经典啊！林志颖演的小鱼儿绝了！            
(3星)	 其实你可以猜猜我当时觉得哪个比较帅            
(NA)	 阿。。。小鱼儿。。小辣椒。。黑蜘蛛。。陈德容。。            
(5星)	 我的年少岁月 所以再次HC地不顾一切地给五星            
(3星)	 真是儿时的经典啊            
(3星)	 喔嗨呀~喔嗨呀~喔嗨呀~  这是高中时的电视剧，一直觉得里面的莲心就是我政治老师演的，一摸一样。林志颖的电影 我小时候要看的，他的电视剧就不怎么喜欢            
(4星)	 哎呀，当时天天追着看的            
(2星)	 陈德容，没有了第一次见的天仙的感觉了。            
(3星)	 看完这部才知道梁朝伟和吴岱融那部真的是好            
(NA)	 初中时看的            
(3星)	 只能说很orz。。。配角倒是选得还成。关键是，干吗把我可爱的苏樱给删了。。。我恨。。。            
(3星)	 这一版本的绝代也不错了,当然要排除陈德容饰演的铁心兰.            
(3星)	 高中            
(3星)	 这个貌似也是小学看的……            
(3星)	 列为女纸的造型都很雷，不过兄弟恋很吸引人，虽然不喜欢苏有朋...            
(4星)	 苏有朋在里面好帅            
(4星)	 OMGOMGOMG!!!我就说为什么@郑嘉颖KC 那么眼熟！！！原来是&lt;绝代双骄&gt;里面的江玉郎！！！那时候真是嫩啊，当然，角色很……哈哈哈. 这种他从我小时候突然一下跳到面前感觉...            
(5星)	 最喜欢慕容九和江玉郎~~            
(3星)	 改得乱七八糟|||            
(5星)	 看了抖S狂躁儿童日记才发现毁童年了，小鱼儿原来是总攻，黑蜘蛛人妻受，江玉郎傲娇受，花无缺二缺受。。。鼻血流的不行了需要救护车。。。            
(4星)	 要知道当年五阿哥和林志颖这两个小白脸在我心中的地位！！！            
(3星)	 郑嘉颖。。。难怪 眼熟            
(5星)	 看了不下十遍。。。每个暑假= =            
(NA)	 童年被毁……            
(5星)	 林志颖啊！！小时候的梦中情人orz            
(NA)	 【1999】            
(4星)	 這部很經典啊，之前怎麼都沒標…………            
(4星)	 八爷，你怎么可以是江玉郎....            
(4星)	 当年的林志颖啊啊啊啊啊苏有朋啊啊啊啊啊陈德容啊啊啊啊啊郑嘉颖啊啊啊啊啊            
(NA)	 陈德容真的老了……            
(3星)	 这部剧毁了我心里的陈德容，陈德容毁了我心里的铁心兰！！！日啊…………            
(4星)	 郑嘉颖年轻的时候很有趣嘛~~~            
(3星)	 喔唷 我看了伐晓得几遍了 伐晓得几遍了            
(5星)	 小时候爱死了啊!            
(3星)	 当年我多爱小志啊，当年的江玉郎，现在居然成了温润的八爷。那年，陈德容还没有爆乳，五阿哥也是玉树临风风度翩翩。            
(4星)	 暑假童年记忆            
(4星)	 江玉郎哟江玉郎~            
(4星)	 江玉郎江玉郎！            
(NA)	 看过好几遍！            
(3星)	 其实我最喜欢的是慕容九。。            
(4星)	 小时候看的            
(3星)	 小辣椒我爱你            
(NA)	 我只记得林志颖很靓仔            
(NA)	 好像有个小辣椒            
(4星)	 把苏樱和小辣椒合并成一人，倒也不坏            
(4星)	 引用下面某个剧评的名字，我心中的经典~            
(3星)	 扫过几眼            
(3星)	 当年还买了一盘林志颖的磁带，只记得一首叫《稻草人》            
(4星)	 我可喜欢了呢！四大恶人什么的最好了！            
(3星)	 这个故事告诉我们，如果一个社会的人口中有太多情种，凶案发生率会显著提升。。。            
(NA)	 最爱的国产电视剧，五年之前看过一次，五年之后还要看一次。噢~小志！            
(5星)	 11.6 早以前就看过 ，很好看，自己欣羡的权利主义和意识到江湖的险恶。            
(4星)	 谢霆锋版的其实也好，但肯定没这个有味道啊。林志颖最配小鱼儿啦。            
(4星)	 嘉颖哥！！！我才想起来尼玛你演过江玉郎这么恶心的角色啊！！！            
(3星)	 。。。我多年以前看过哎。怎么没马克呢            
(4星)	 以前看过，现在想起来觉得还是很好看，看看那时候的演员阵容！！！每一个演员都是可以独当一面的主角～            
(4星)	 林志颖。。            
(4星)	 我小时候追惨了，怎毛分介么低            
(3星)	 古龙的电视剧基本没有遵从原著的。花无缺和小鱼儿当年迷死了多少人啊，追在后面看啊。            
(4星)	 小学的时候我是有多喜欢小辣椒啊……            
(3星)	 当年好喜欢小辣椒            
(NA)	 还迷过林志颖的小鱼儿一阵子            
(5星)	 童年记忆必须5星！！！当年好迷林志颖。。。            
(5星)	 小辣椒 爱死你了            
(NA)	 他们也是基友            
(4星)	 烂尾……没看完……            
(3星)	 有一幕在林志颖唱《快乐至上》时候特别有感触            
(3星)	 青春呐！            
(3星)	 迷小志的那年            
(3星)	 哦嘿呀哦嘿呀            
(NA)	 少年不老，美人迟暮。            
(4星)	 最近跟同学讨论这个来着，好想翻出来再看一次。            
(4星)	 哥，你我的回忆。。色即是空，空即是色。。玉郎啊//?            
(5星)	 欧嘿呀~欧嘿呀~            
(4星)	 小学就看了.苏有朋.林志颖.            
(4星)	 李绮红很灵，红衣妹纸最萌了            
(4星)	 小辣椒哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(NA)	 ！！！            
(4星)	 主题曲 好有那个鼓捣调调            
(5星)	 哎哟，又一个迷死爹的（捧胸口            
(3星)	 林志颖很棒！            
(5星)	 超级喜欢于莉版的这个邀月，太范儿了            
(4星)	 林志颖的小鱼儿            
(3星)	 虽然直到很久后才知道此版本把原著改得面目全非，但我还是喜欢。喜欢林志颖的小鱼儿，喜欢小辣椒。            
(5星)	 小辣椒太萌了～～和小鱼儿真是一对呀            
(4星)	 还是那啥，人美得看。            
(4星)	 依然童年回忆的一部            
(4星)	 很喜欢小辣椒            
(5星)	 最喜欢的古装剧            
(3星)	 年少记忆，林智颖            
(5星)	 平躺人一週            
(4星)	 苏有朋的无缺公子很有范儿，小辣椒是亮点，铁心兰……我不想提那只米老鼠。            
(4星)	 旋风小子 请问你的脸还能再抽点么 我花了好长时间适应你这种演技            
(4星)	 打得都是感情分~小学暑假的期盼            
(3星)	 又是林志颖            
(NA)	 每天晚上海南卫视，还要担着被我妈骂的风险，看的小心翼翼            
(4星)	 不喜欢铁心兰            
(4星)	 嘿嘿，喜欢林志颖的坏~还有苏的帅气！            
(3星)	 小时候就觉得陈德容这傻逼造型很要命            
(5星)	 我的小时候啊小时候            
(3星)	 我唯一记住的就是可爱的小辣椒，如今李绮红也在tvb复出了，却不复昨日的精灵可爱，脸上是沧桑唉···            
(3星)	 十几年前还是初中生时。。。            
(4星)	 小鱼儿多帅啊            
(4星)	 那时候觉得他俩长的很像，时间过去了，苏是人至中年的模样，林还是一张17岁的脸。            
(3星)	 小鱼儿那销魂的嘴角            
(3星)	 无奈陈德容和李绮红都因为此剧残了            
(4星)	 就是长了点            
(NA)	 唉            
(5星)	 小鱼儿好帅~            
(NA)	 看过原著以后发现全是渣            
(4星)	 我就想问问铁心兰是怎麽了……            
(3星)	 铁心兰什么傻叉造型            
(5星)	 李绮红大爱            
(5星)	 改得不错了            
(4星)	 补：小辣椒多灵啊~            
(5星)	 小学时候天天看 很好看            
(3星)	 。。。            
(3星)	 陈德容阿姨囧，我们还是喜欢小辣椒            
(NA)	 最喜欢小辣椒（李绮虹）~ 看见陈德容就想转台            
(4星)	 是百合,不解释。顺便我还是不喜欢铁心兰姑娘。= =            
(NA)	 两岁喜欢这个人当然每部都看了 啧            
(3星)	 当时无比讨厌花无缺，说明我从小就对苦逼男反感。而且第一次认识了郑嘉颖            
(4星)	 爱两个妖孽……            
(3星)	 这个没有很喜欢啦，我一向绝代无爱。。。            
(4星)	 花无缺~            
(4星)	 当年我总不能理解为什么没人喜欢翩翩公子花无缺。            
(3星)	 不喜欢陈德容 你看那雷人的头型.. 喜欢小辣椒             
(4星)	 《绝代双骄》永恒的经典（当然我要忽略陈德容）。那一年我们同时爱上好多相同的人。            
(NA)	 这里真是什么人都有 牛莉不说 还有星光下的童话里演田中千绘的妈妈那女的呢  这里有个叫李大嘴~~~~            
(2星)	 垃圾。。。垃圾。。。            
(3星)	 没看完～            
(3星)	 铁心兰刚开始明明喜欢小鱼儿的。。。            
(3星)	 那时候的郑嘉颖。虽然江玉郎是个反面角色，但仍旧是神情，印象中他抱着那个女人的尸体那么难过。            
(5星)	 嗯            
(5星)	 不管了！当年我就是觉得很好看还看了3遍啊!            
(5星)	 我喜欢这版呢！快乐至上！林志颖和苏有朋。好好好好好。小学时期的回忆            
(3星)	 喜欢小辣椒            
(4星)	 小时候爱看 哇哈哈 我很喜欢小辣椒            
(4星)	 哦黑鸦哦黑鸦。            
(5星)	 迷恋陈德容            
(NA)	 我也曾幻想我是邀月            
(5星)	 那时候我爱看的不得了！！！            
(4星)	 小志嫩啊！！！            
(4星)	 。。。            
(4星)	 我小时候喜欢看得很~            
(3星)	 那个时候苏有朋跟瓷娃娃似地            
(3星)	 江小鱼就应该是林志颖的那个样子，小时候觉得怜星和邀月都好漂亮，不过现在看到就……真是江山代有才人出啊。不过话说回头，还是原著比较好看，电视剧改太多了。            
(4星)	 小时候就是因为这个我爱上了林志颖&gt;&lt;            
(NA)	 一直在想他更爱小辣椒还是他老婆            
(4星)	 林志颖东山再起之作，至于苏有朋嘛，逊色一些，我最喜欢的是小辣椒！            
(3星)	 林志颖版本的小鱼儿多帅啊！我受不了张卫健的…            
(4星)	 基本上能符合原著，人设都能接受            
(1星)	 难看。。            
(5星)	 这个绝对要顶！虽然是台剧            
(4星)	 算是经典吧。。。            
(3星)	 花无缺来苏有朋，林志颖来小鱼儿这选角儿方面基本上是绝了，但里头内铁心兰实在叫人想起来还有点儿恶心，没错儿！就这封面儿中间长俩犄角内个。            
(5星)	 五星给小志~~            
(3星)	 原著多好看丫            
(4星)	 居然做梦梦到移花宫宫主，哈哈哈哈哈哈            
(3星)	 好吧，我承认我是被主演李的郑嘉颖范冰冰芙蓉姐姐和曾哥吸引进来的……            
(3星)	 其实我当时觉得这里面美女帅哥都不少呀。。。            
(5星)	 最喜欢这里面的林志颖  李绮红  啦            
(4星)	 喜欢这一版的小辣椒            
(3星)	 现在的小辣椒老了。            
(4星)	 我当时就觉得林志颖和苏有朋长得真的很像            
(NA)	 稻草人挺好听。小辣椒啊。            
(3星)	 为了俺家小志给三颗            
(NA)	 林志穎的小魚兒            
(4星)	 我最喜欢的一版。            
(NA)	 。。。。。。。。。。。。。。。            
(4星)	 李琦紅，林志穎。這戯有你們太好看了。小辣椒，死魚把你排第三，你終于離開他的時候外加上《稻草人》，我C，絕對的淚點，還好那死鬼追上來了，給他一巴掌先阿 lol p.s. 江玉郎的眉眼毛真好看~            
(4星)	 唉，我居然喜欢邀月。            
(3星)	 林志颖传说的开始？汗            
(NA)	 当时造型做的真好~~~            
(NA)	 我还看过藏语配音的。。。。            
(4星)	 这部里面...小辣椒和红珠给我留下的印象很深刻            
(3星)	 比那个什么小鱼儿和花无缺好看多了！~            
(4星)	 黑鸭鸥黑鸭~鸥黑鸭鸥黑鸭鸥鸥~            
(3星)	 小时候看的津津有味。还迷小鱼儿的老爸咧            
(2星)	 粗制滥造            
(4星)	 我。。竟然看完了40集的电视剧！！好吧，动机是什么不用说了。。只想说，这大概是第一部让我觉得比原著好看的改编剧。。            
(3星)	 那个金叶子啊            
(4星)	 不错...            
(3星)	 那时喜欢李绮红            
(5星)	 怎么五星那么少？！我给五星！            
(NA)	 最近做了一个测试，最适合我的武侠情人是江小鱼。。。            
(NA)	 我想怀念下……            
(4星)	 喜欢小鱼儿和小辣椒~            
(3星)	 40            
(4星)	 我觉得陈德容真是美呆了 一直希望铁心兰和小鱼儿能成 嗷嗷的            
(4星)	 还好啦~~况且有苏有朋~~            
(4星)	 初一的时候喜欢花无缺都疯了            
(4星)	 有咱家小志当然要多多支持~~最好的小鱼儿~~            
(3星)	 还是更加喜欢梁朝伟的小鱼儿            
(4星)	 原來這是我看的第一部鄭嘉穎的片子~~            
(2星)	 小鱼儿浪费时间的小表情太多，节奏不够快。            
(4星)	 当年还是很迷的，小孩子嘛~            
(4星)	 还是喜欢林志颖版本的小鱼儿发现苏有朋跟他都是长着一张娃娃脸            
(3星)	 大一时看的,一般            
(4星)	 你说　林志颖这么多年怎么就不老呢？            
(4星)	 哦黑呀哦黑呀            
(3星)	 好讨厌铁心兰            
(3星)	 陈德容的发型好奇怪阿好奇怪            
(5星)	 经典啊            
(3星)	 天哪，陈德容的眼袋            
(4星)	 我还是很喜欢林志颖的            
(3星)	 主角们真是不太好看..            
(2星)	 就那样吧            
(4星)	 从这里喜欢林志颖            
(3星)	 糟蹋了好剧本            
(3星)	 小鱼儿挺好~             
(2星)	 林志颖演技没有进步，女孩子们的造型都很古怪（尤其铁心兰）。最后：故事乱套了！！！古龙地下有知不知如何感想？            
(2星)	 不好看...快乐至上倒蛮好听...            
(1星)	 我不太萌苏樱，可是把她去掉的话，这剧就等于玩自杀了。想当年，这剧可是老子雷着骂着囧着最后神色木然着看完的。            
(3星)	 没认真看，我还真，，，            
(4星)	 陈德容怎么这么老啊             
(3星)	 原来觉得很差，但是对比了，小鱼儿与花无缺，之后觉得无比地好            
(2星)	 补漏            
(3星)	 只是想看看小志            
(4星)	 邀月蠻美麗~~~            
(3星)	 。。。            
(3星)	 邀月蛮有感觉的            
(4星)	 爱林志颖            
(2星)	 江小鱼～            
(NA)	 没觉得好            
(3星)	 喜欢林志颖演的小鱼儿，“一定不是心酸，是胃酸。。。”让我们都心酸了。。。            
(4星)	 林志颖很帅...苏有朋很帅..怎么都比王晶版谢霆锋好看..            
(4星)	 这才是真正的小鱼儿            
(4星)	 想不通那时候为什么居然会为林志颖吃陈德容的醋            
(4星)	 林志颖演得很好，最喜欢小辣椒            
(5星)	 喜欢林志颖            
(3星)	 2003            
(NA)	 ……            
(NA)	 喜欢花无缺 不喜欢小鱼儿。            
(3星)	 没看完 不喜欢。。。。            
(NA)	 绝代双骄            
(3星)	 小时候，特喜欢邀月和怜星～            
(4星)	 但是怎么就那么迷恋。。一遍一遍的看            
(NA)	 记忆里小鱼儿和花无缺都帅的无可挑剔。            
(3星)	 陈德容嘎假的。。。。            
(4星)	 绝代双骄            
(5星)	 小辣椒             
(3星)	 曾经还很迷得··            
(4星)	 小鱼儿            
(2星)	 故事改编的不好，但是场景服装做的还是到位的，特别是和那些不正常的版本一比较！但是，苏樱哪儿去啦？！！！            
(3星)	 这个版本雷到了我，林志颖的细路扩展得还算好            
(2星)	 囧了点            
(3星)	 当时看得很起劲...            
(4星)	 小鱼儿            
(2星)	 最难看的一个版本，也是林志颖和陈德容最难看的一次造型……            
(3星)	 我倒是一直希望小鱼儿跟小辣椒在一起            
(3星)	 主题曲不错，哦嗨哟哦嗨噢~            
(3星)	 话说铁心兰的演员。。。。。。好老            
(NA)	 林志颖            
(3星)	 前段时间把古龙的origin看了，发现书确实不错，电视剧么..记不清楚了，江小鱼还不错，铁心兰也还行，可觉得苏同学不大适合花无缺呀。。而且被改编过了，花无缺在书里可没那么多戏份            
(3星)	 居然也为里面的爱情哭过。            
(3星)	 虽然是小志演的，但是...唉~小志还是赛车最帅^_^            
(3星)	 这剧竟然是唐人拍的ORZ……            
(3星)	 2.5一般般 迷苏有朋的年代看的。            
(3星)	 侮辱经典            
(3星)	 很多东西都只认自己第一遍看过的.比如说我对谢霆锋演的就没有兴趣.            
(4星)	 感觉两个男主角都蛮适合各自的角色的            
(NA)	 呵呵，真经典            
(4星)	 小鱼儿呀小鱼儿……            
(3星)	 可惜原著了……            
(5星)	 啊啊啊！！！！林志颖绝代经典！！！！！百看不厌            
(NA)	 话说那个时候我居然很喜欢苏有朋，小朋，呕            
(3星)	 陈德容，林志颖，苏友朋....这三个人早就老了....让这部剧看起来怪怪的。只有张菁还能看。            
(3星)	 李绮虹 陈德容表现不错            
(5星)	 小鱼儿~            
(4星)	 林志颖很淘气            
(3星)	 非常养眼            
(5星)	 很喜欢，搞笑而感人。            
(2星)	 糟蹋了好故事            
(3星)	 由于这部片子我深深地觉得...邀月是喜欢燕南天的orz...            
(3星)	 儿时的我继续萌苏有朋。。=。=            
(3星)	 补遗            
(5星)	 想当年和怀着老弟放产假的老妈整天待在家里租碟子看的那一个入迷啊。无缺公子那一身的白衣飘飘是我童年多么美好的回忆啊，从姐姐至今仍对古装的白衣公子深深迷恋着可以看出花无缺当年的影响不小啊。            
(3星)	 6.5   男主角造型不错，演技一般。女主角……不予置评……            
(3星)	 演员选的没话说，故事改的一塌糊涂            
(4星)	 这个版本太经典了。            
(NA)	 还是这个版本的diao            
(4星)	 10年前玩的经典游戏 如今也终于看完了电视剧 游戏电视小说 各有千秋 都很喜欢            
(3星)	 那把“无缺公子”的扇子让我笑了好久好久            
(3星)	 我小时候特害怕李大嘴            
(4星)	 review完真心累=  =开始的时候简直基情无限啊...台词神马的也真是无下限的搞笑            
(3星)	 电视剧版的绝代双骄没一个不扯淡的~主题曲赞~            
(4星)	 讲述了一对好基友原来是亲兄弟的狗血故事！            
(5星)	 儿时回忆呀            
(NA)	 年少时看的剧都给忘了,郑嘉颖还演了个江x郎?~            
(3星)	 里面的苏有朋好帅            
(3星)	 比不了原著啊            
(5星)	 KC的玉郎！哈哈            
(4星)	 很不错            
(NA)	 感觉不错  有就看            
