http://movie.douban.com/subject/2002924/	冲上云霄
(5星)	 傳説馬德鐘自這套戯開始紅,不過他以前沒紅的時候扮奸角我已經很愛他了~            
(5星)	 好看。吴镇宇的表演真的很棒。            
(4星)	 看完后我好想去机场工作啊~            
(3星)	 不喜欢。            
(NA)	 我看有条简评说“又假又感动的港剧”正是说到我心坎里了。。总算从头到尾看完了，陈慧珊的角色到后20集实在太不招人喜欢了。            
(5星)	 好看···            
(3星)	 主题曲很好听，和剧情呼应。难得吴也挑战严肃的人物来诠释，是个不错的尝试。人除了专心工作，其实还有很多别的人生目标，生活不是由工作占领，用真诚期待感情，是亦琛的成长过程。            
(NA)	 可爱的台庆剧。。。            
(5星)	 难得五颗星。            
(5星)	 吴镇宇             
(5星)	 很好看，也很帅            
(2星)	 陈慧珊，马德钟和吴镇宇的三角恋令人诧异            
(2星)	 完全失去了港剧的味道            
(5星)	 好看            
(5星)	 你在我心中永远是连续剧的老大            
(NA)	 一飞冲天其实并不豪迈            
(5星)	 歌颂了纯纯的友谊，吴镇宇的演技真是好啊            
(NA)	 只喜欢第一集，哈哈            
(3星)	 难得看到一部吴镇宇的电视剧，他演起来好奇怪啊            
(5星)	 再次被吴镇宇迷倒了..唉            
(5星)	 一个表现香港价值观的典型故事，关于缘分，成长，生命。            
(3星)	 1.镇宇大叔是支撑我看完全剧的唯一动力；2.香港人生活的主题就是“误会” 一个接一个的误会 有因为造化弄人的 也有自找麻烦的 我在想：要是没了误会香港人可怎么活呀？3.香港人的生活圈子究竟是有多小？个个之间都沾亲带故的；4.TVB黄金法则：送温暖+讲道理——sorry不离口 道理点化你。            
(4星)	 吴镇宇的飞机师造型真是心水啊            
(4星)	 sam大叔太无害了啊！            
(NA)	 里面的女人我真没一个待见的。。。            
(5星)	 当年是租碟熬夜看完的            
(5星)	 吴镇宇的魅力逐年增长。此剧他堪称完美。演的真的不能再好了，你再迷人点儿多少姑娘都直接呼吸困难了。剧本一般，五星全因为你。            
(5星)	 就是喜欢            
(5星)	 本来就中意飞行，现在更爱airport了            
(4星)	 老男人吴镇宇很帅！            
(3星)	 当时看真觉得不错            
(5星)	 悲伤的04年更悲伤的05年            
(5星)	 我的言语已不能用来形容我对这部剧的挚爱            
(3星)	 还好吧..            
(4星)	 很喜欢缘分的感觉，很喜欢吴镇宇这个男人。            
(NA)	 唯一看完整并且喜欢着的TVB剧啊。            
(3星)	 回不去的小时候..曾经陪伴我的TVB..            
(5星)	 好看死了 真想在机场工作            
(3星)	 其实还好，喜欢叶璇。。。            
(3星)	 现在看的话画面摄影什么的都不行了，吴镇宇好萌啊我喜欢这型的！            
(NA)	 看了一半没看完            
(4星)	 啊 帅哥美女们            
(5星)	 就是有点假，但是Sam太有型了。            
(4星)	 讨厌胡杏儿一如既往            
(NA)	 吴镇宇...            
(4星)	 老男人才有味道            
(4星)	 陈慧珊~~            
(3星)	 没看完...            
(4星)	 好好的剧让胡杏儿糟蹋了，这里的阿ron真招人疼            
(3星)	 tvb通病，虎头蛇尾            
(5星)	 好励志啊！            
(NA)	 TVB里让我看得最心痛的一部。始终没勇气看第二遍。            
(5星)	 我是因为这部剧才认识陈键锋/吴卓羲/马国明/黄宗泽..的。我是因为这部剧才敢坐飞机的... 我是因为这部剧才知道阿德莱德的。你相不相信我是因为这部剧才来阿德莱德的？            
(4星)	 在美国一口气看了全部            
(3星)	 唐奕琛。            
(3星)	 喜欢吴镇宇和陈慧珊            
(4星)	 当时看的话应该会很不错            
(4星)	 貌似是我看过RON的第一部剧            
(5星)	 我eason的客串太萌了。            
(4星)	 乍看了了，其实有很多回味的东西。            
(NA)	 不过因为，曾经也爱过这样一个人            
(5星)	 这个超好看的 吴镇宇帅屎啦            
(5星)	 吴镇宇最高！            
(4星)	 我想说。。。吴镇宇很蠢的很呆的。。。我觉得他看上去像个弱智一样的。。。= =            
(3星)	 故事不过是解释了飞机往返这个圈的生活鉴证            
(4星)	 那时候我是多么得迷恋吴镇宇            
(5星)	 一直的最爱            
(NA)	 香水与书，自己与偶像，云端与眼前            
(3星)	 我想飞。。。            
(5星)	 很喜欢的TVB剧之一，Samuel和Isabelle的爱情，让人感慨什么是分离，什么是宿命            
(4星)	 片首曲超好。半道死了的男主角是理想对象。            
(3星)	 飞的感觉            
(5星)	 看了不下3遍，很喜欢里面的演员~~~~看了这部后，我知道了要作为一个飞行员，原来是那样的不容易啊~~~~一开始觉得或许里面的一些东西只属于演戏，哪不知和真是的一样，感觉就像伤了一课            
(5星)	 啊呜，好喜欢里面的吴镇宇            
(3星)	 年少回忆。            
(5星)	 又看了一遍，还是很喜欢。            
(3星)	 如果没有吴镇宇，不知道这部烂剧还有什么可看的价值？            
(4星)	 4星给那些小帅哥们            
(5星)	 吴镇宇真的是人又靓，演技又棒，超级捧他！            
(4星)	 变态的编剧，看得真纠结            
(4星)	 26还有Eason耶。哈哈哈。好喜欢Zoe噢～～～            
(NA)	 叶璇，从一网情深之后，你为何不容易让我心动？            
(5星)	 什么叫做思觉失调            
(3星)	 天气不似如期 但要走总要飞 道别不可再等你 不管有没有机             
(4星)	 那群少年和岁月如歌            
(NA)	 好看。            
(3星)	 好像是没看完            
(5星)	 片頭超靚!            
(5星)	 吴镇宇在剧中好似我堂大佬～～～！！！            
(3星)	 剧情其实没多大意思，但吴镇宇大神+飞机师题材真是帅翻天了            
(NA)	 港剧还是不错的。。。            
(NA)	 该相信缘分吗？还是相信误会真的很愚蠢            
(4星)	 如果没有胡杏儿  就完美了!!            
(5星)	 吴镇宇。。。黄宗泽。。。            
(5星)	 吴震宇，亦琛。            
(4星)	 云志的死让我真是纠结啊啊啊啊啊...            
(5星)	 演员非常棒 那时候开始喜欢吴卓羲 陈慧珊的气质真是无人能及            
(5星)	 很喜欢的TVB剧之一，Samuel和Isabelle的爱情，让人感慨什么是分离，什么是宿命            
(NA)	 这个太。。。了。            
(3星)	 马德钟饰演的不多的正面角色 陈慧珊也出现了呢            
(5星)	 爱死吴镇宇~~哦哦哦            
(4星)	 有喜欢的男主角            
(5星)	 有好喜欢的吴镇宇!!其他也都是好棒的演员!!TVB的电视都很好看!!            
(1星)	 僅僅吴镇宇那張臉,我就已經要吐了.            
(5星)	 我也想开飞机~~居然很喜欢吴镇宇/飞机头。。。EASON唱的冲上云霄            
(4星)	 一直中意吴镇宇。            
(NA)	 很喜欢            
(5星)	 那是狂爱吴镇宇的时期……            
(NA)	 吴镇雨很帅            
(5星)	 你想知道吴镇宇有多神？看吧~            
(NA)	 飞行员的生活挺少爱情却很多            
(NA)	 也就那样            
(5星)	 在本片中你能看到许多TVB的新鲜血液在蓬勃成长着            
(5星)	 让我感受爱 感动却不造作的港剧             
(NA)	 看过4遍以上.喜欢亦风和阿欣.蒙蒙胧胧兜兜转转多么希望他们能在一起.可是最后编剧不让我们知道他们的结局.因为这片子爱上吴卓羲            
(4星)	 没有坏人的TVB剧集.            
(NA)	 断断续续看过点...            
(3星)	 当时非常不喜欢胡杏儿，因为吴卓羲            
(4星)	 台庆剧的确相对比较好看～            
(NA)	 岁月如歌            
(4星)	 也有过一个和剧中一样的Triangle，JO从罗马给我带来的，不知怎么就不见了            
(4星)	 最爱的tvb片子哟~帅啊帅啊~            
(5星)	 蓝天之上，学会珍惜眼前人~~~            
(3星)	 总觉得没有tvb 以前的剧演的好            
(3星)	 有阵子跟铁妈很迷马德钟的说，btw看琛哥总觉得有点滑稽            
(3星)	 只因有吴镇宇，以及他和他们驾驶飞机冲上云霄的镜头，才让我看完了全剧。            
(4星)	 我喜欢            
(NA)	 初中比较喜欢看港剧，后来看得就少了。但是这部还是可以看看的            
(3星)	 嘿~            
(4星)	 胡杏儿一笑满脸酒窝，真可爱。还有”一再错过”这种韩片桥段可真磨人。            
(5星)	 好喜欢吴镇宇啊~            
(5星)	 suyi称为，两个人的意大利            
(4星)	 没完整地看完，遗憾。有机会一定要看完~~因为吴镇宇！~            
(5星)	 吴镇宇真帅！            
(NA)	 好吧，虽然老吴很有魅力，可是其他人。。。好在还有S4            
(5星)	 這幾天又重看了這部我中學時代最愛的電視劇，劇情好棒，TVB的行業戲就是牛！對意大利的憧憬和迷思從這裡開始，哈！            
(NA)	 为什么我快进64完全没看到马同学！            
(5星)	 个人最喜欢的TVB剧了~            
(4星)	 吳鎮宇真是一副gay樣。吳卓羲英氣逼人啊啊啊 星星眼!!            
(5星)	 10顆星好嗎？吳鎮宇！歲月如歌！啊！啊！啊！衝上雲霄２沒有吳鎮宇算什麼衝上雲霄啊！幹！幹！幹！            
(5星)	 青春就是充满了遗憾和错过。才会美丽的让人回首便生悔            
(4星)	 TVB 2003年台庆剧，又假又感人。吴镇宇真嗲胡杏儿好甜，那年的陈键锋和吴卓羲各种嫩。40集看制服看得很过瘾~            
(3星)	 比起现在的TVB剧这部真是不错的，希望可以快点看到2出来。            
(4星)	 吴镇宇太让人无法抗拒了~耐心终于在第九集的时候用光，港剧果然不适合我= =            
(5星)	 最中意吴镇宇这个角色，太有型了，一直希望他跟陈慧珊，在这部戏里面，在罗马的每一集都大爱。那首Eason演绎的歌也很爱            
(3星)	 为2预热。原本可以冲四星的，因为每个角色都刻画得很地道，但最后几集简直是扯淡，什么belle妄想症，zoe三番四次心脏病发，就是为了拖集数！最喜欢的还是对年青一代的机师友情的描写。            
(4星)	 优质港剧。主题曲《岁月如歌》。            
(5星)	 这部剧让我深深地爱上了吴镇宇，绝世好男人，最帅飞机长            
(5星)	 最近再看第二遍！！            
(3星)	 我对冲上没有情结            
(4星)	 镇宇好有魅力，跟Flora才是一对儿啊，尼玛弄个胡囧囧干嘛啊真烦死人了打着圣母的旗号各种破坏有木有。。。。            
(NA)	 【2003-10-27】            
(5星)	 还有EASON的啊，嘿嘿吴镇宇演得超级好的            
(5星)	 吴镇宇大爱啊！！！            
(5星)	 我爱吴镇宇，真心爱。            
(5星)	 至今最爱的香港职业剧  在几年内影响了我勾勒心中梦中另一半的形象~~~大爱SAM            
(5星)	 因为吴镇宇而看这部剧 主题曲是eason的岁月如歌也是亮点            
(4星)	 S4超棒！基情闪闪发光！小璇子的打扮现在看不可爱，走路也太挺胸收腹扭屁股，但是就那点青涩味道意外讨喜~~三苗那时候真心好看，眉目俊逸面容秀丽，当得起美少年三字，RON和bo还有马国明都是青葱年纪，制服上身那种英俊呼之欲出……男女主戏骨扎实，但是人设太坑爹，Belle就是一个不肯放            
(5星)	 陈键锋还是配角啊             
(4星)	 娓娓道来的慢热戏。很难得。但从此极厌憎胡杏儿。            
(5星)	 经典重温，依旧感动。            
(5星)	 亦琛，爱死你真心真心的            
(5星)	 超喜歡看這部！！！！            
(4星)	 当时喜欢死吴卓羲了            
(NA)	 我就看了胖胖那一部分=v=            
(5星)	 当年的陈键锋青葱五人组啊！！！！！！！！！！！！！！！！！！            
(5星)	 咦 貌似这是唯一一部把tvb四小天王聚在一起的聚集吧！            
(NA)	 查漏补缺            
(5星)	 如果对方是吴镇宇，我想我也会倒追的            
(4星)	 这也是随便什么时候都能看上两眼的剧~港剧就是这样呀~~            
(4星)	 当时看的时候很激动，结局已然忘记了~让吴镇宇做个好演员吧，千万别做导演~            
(4星)	 烂结尾···我讨厌胡囧囧！！！            
(4星)	 虽然节奏很慢，但是有港剧规范的普世标准：1、尊重他人的底限；2、尽可能少做伤害他人之事；3、生活除了爱情还有很多，比如，帮助别人。            
(5星)	 配乐特别好听！剧情也很好 吴镇宇也好人也超有魅力阿            
(3星)	 30集都嫌富余的内容，硬是拉成40集。若不是因为吴镇宇，真还坚持不下来~~~在sam得杰青的时候，vincent在视频上的讲话，纵然一部肥皂剧，看到这一段我还是感动得流泪了。            
(5星)	 这是老吴最后一部TVB剧，当时感动的我稀里哗啦。            
(4星)	 钟情吴镇宇啊..飞机师太有型了            
(5星)	 因為唐亦琛給五星，太有魅力了，電暈了。。。。。            
(5星)	 完全可以无视吴镇宇发型的一部戏，很不错，女主角单纯但是不惹人厌，后面有点别扭，整体不错，配角有爱。            
(5星)	 太喜欢吴镇宇了，太喜欢唐亦琛了            
(5星)	 亦琛神马的，迷死人啦            
(5星)	 这部港剧看过2遍了吧 ，吴镇宇的魅力。。。以至于很长一段时间都模仿他的言行举止。。            
(4星)	 喜欢前面20集，多么热血的一群人。也许正因为自己身上缺少那样的东西，所以看到别人奋斗的样子时格外羡慕与感动。            
(4星)	 永远记得的一部剧。吴镇宇真是帅的~~~~（¯﹃¯）            
(4星)	 除了胡杏儿不是很漂亮以外。都很好。            
(5星)	 TVB拍过的最大气的戏。老生老旦负责高难度的感情戏，小生花旦就负责青春无敌。            
(NA)	 我重温了一遍啊啊啊啊啊啊            
(5星)	 吴镇宇这个闷骚大叔！太帅了吧！（扮古代日本人那段真是可爱死了小贱人~！）            
(5星)	 吴镇宇对胡杏儿片头曲时笑得   那叫颠倒众生   可是 为什么要是胡杏儿那张脸！              
(5星)	 很喜欢的一部港剧            
(5星)	 看过几遍这个电视剧，这是TVB我最喜欢的电视剧~很少见那么温情的Francis，我好中意唐亦琛~~~             
(5星)	 岁月如歌！            
(3星)	 看点就是吴镇宇啦。。。            
(5星)	 吴镇宇这个大叔也好有魅力好治愈人心啊！            
(5星)	 从此喜欢上吴镇宇的片子            
(5星)	 你说，你最擅长演爱情戏。。。你做到了！！！你为这个剧集而推掉了无1的确是很明智的选择。。。            
(4星)	 全剧的奸角：胡杏儿            
(NA)	 好像就是从这个爱上港剧 很好看的说 还有EASON的歌~~~            
(5星)	 这剧总能解惑和指路            
(4星)	 好喜欢里面的吴镇宇，原来他不神经的时候那么帅哦            
(5星)	 唐亦琛 你说让人怎能不爱你。。。            
(5星)	 对唐亦琛完全拜倒！！个人觉得是吴镇宇最棒的一部！            
(3星)	 看到第十集怎么也看不下去了            
(4星)	 镇宇哥哥，还能再帅点么？            
(NA)	 吴镇宇演TVB蛮神奇的说，胡杏儿和他配戏就更加神奇了。这是我第一次见到吴卓羲阿苗阿BO马国明这一帮新晋小生，现在都已经分别担大梁了，岁月啊。陈奕迅那首岁月如歌一听就爱上了，结果后来出来个兄妹国语版，这歌就烂大街了。            
(4星)	 当时为吴镇宇看的结果看到后来他和胡杏儿搞上了还有纠缠不清的四角恋神马看不下去。。。。。喜欢陈胖子唱的主题曲            
(4星)	 4,5 吴镇宇！要是穿着制服求婚就好了 每个人都对感情很坦诚 没有坏心 不恶心！            
(4星)	 故事越發展越牽強。雲志死了，Sam就可以和Bella在一起了，為甚麼非要和Zoe在一起？！完全不合適！            
(5星)	 老娘的最最爱。最最虐啊。《兄妹》。意大利。神经质的吴镇宇啊。            
(4星)	 吴镇宇发型着实不能忍 但人家是个好演员            
(3星)	 当年还挺喜欢看，很希望陈慧珊能和吴镇宇一起，罗马的广场，北海道的薰衣草，Tri-angel…            
(4星)	 嗷嗷是讲飞行员啊            
(5星)	 總有些作品會讓人對香港的電視劇現狀表示難過…            
(4星)	 小时候看的            
(4星)	 吴镇宇不太适合这样的角色，邪气太重            
(4星)	 吴镇宇帅，里面的缘分天使娃娃一度很喜欢，还列入意大利必购单品。            
(3星)	 初中期这部戏好红。。            
(5星)	 很好看很好看。吴镇宇老男人好魅力、            
(5星)	 为数不多看完了的TVB╮(╯▽╰)╭            
(4星)	 四颗都是吴镇宇的~            
(4星)	 我也很爱sam哥的~~            
(4星)	 恩年前的片子就是纯啊，单纯的美好与感动            
(5星)	 吴镇宇。            
(5星)	 看到第二集怎么就哭了呢...bella和sam....狗血却浓缩了多少错过。            
(5星)	 算是看回忆，高三的时候重播，每晚下了晚自习在家吃宵夜时老看，怀念潞河了！！！            
(4星)	 完全可以缩减为35集左右，整集整集地讲zoe的病和飞机上各种影射主人公的乘客的故事，我觉得也可以省去一些。            
(5星)	 TVB代表作之一啊。            
(5星)	 吴镇宇在里面真是型到爆。            
(4星)	 亦琛帅大叔，很不待见胡杏儿，害我一直疑惑是我审美有问题，还是TVB审美有问题。。。            
(5星)	 吴镇宇~~赞赞赞            
(4星)	 绝对最爱Sam 但Vincent死咗就再也不想看了 最经典在26话 Eason痞子像登场 Sam要签名那一刻也会想起自己 流目屎            
(5星)	 重温此片，看到他们一见钟情第一次牵手奔跑，飚泪!            
(NA)	 我当年无线迷恋的一个剧，吴镇宇从此成为我的心头好            
(4星)	 爆愛當時的吳鎮宇。            
(5星)	 这是大学里最喜欢看的一部TVB，吴镇宇在里面的成熟，包容，对爱的付出，在当时让我感动。            
(4星)	 胡杏儿扣一分            
(5星)	 编剧很好，吴镇宇更好            
(4星)	 吴镇宇的魅力在于他演变态时的张扬和演好男人的的内敛是那么完美的结合在一起。            
(5星)	 一直为亦琛和女主角的误会而叹息不已···因为这部电视剧，对机长的好感度大增··            
(4星)	 超喜欢马德钟~            
(4星)	 前面比后面好看            
(4星)	 我的机师梦。            
(4星)	 一直记着那个夏天，和好友窝在沙发上，看到凌晨。            
(5星)	 又看了一遍 感觉不一样            
(5星)	 以前一直觉得吴镇宇是个神经病来着，可是看了这个以后，想法完全颠覆！每次我看，妈咪都会说：“这都第几遍了？放一边看一遍，不像你啊。你是多喜欢这片啊？”            
(5星)	 要去罗马，因为冲上云霄，多么多么多么想重温~            
(3星)	 一部剧毁了叶璇和陈慧珊，让我更讨厌胡杏儿，唯一记得的就是当年的S4            
(5星)	 百看不厌~~~            
(4星)	 吴镇宇真是演技派，演坏人就坏到底，演好人就人人爱哦。            
(5星)	 超级大爱~每次坐飞机前都要看一遍，坐完飞机后再看一遍~            
(5星)	 回过头来一看觉得这部还是不错的...            
(4星)	 一想起吴卓羲是吴镇宇的小舅子就想笑，在机场sam还一本正经的说，我是你的外甥，好好笑！冲着陈键锋去看的，但戏份不多，但这个公子哥很可爱，很专情，那段还钢笔的镜头很搞笑，记得那么清楚。胡杏儿那时很清纯呢~最后她说了句深奥的话：如果是，你心里一定知道；如果不是，你就要找答案出来的话，            
(3星)	 a a a a 又是胡杏儿，忍着看完，哎，最后镇宇兄跟了你，真想哭啊~~            
(NA)	 zoe事儿太多，虽然知道她没错，但是依然烦。自从进入无聊的感情戏就弃剧了。            
(5星)	 最爱啊啊啊啊 ，吴卓羲啊啊啊啊啊            
(5星)	 吴镇宇和陈慧珊简直是万年残念啊！！！！            
(5星)	 吴镇宇演得蛮好的，喜欢他的低调。陈慧珊也很靓。吴卓羲，陈键锋，黄宗泽他们一帮现在也发展的好好。            
(4星)	 主题曲很好听            
(5星)	 开始的时候确实太多惊喜了。编剧写的真棒。让人忍不住一直看下去。好朋友说。吴镇宇让好多女生从此爱上老男人。{30+对我们来说都是老男人了}他演的确实很有味道。其实石修演的更好！感情就不说了。tvb的主打。那个4+1的表现还蛮好的。- -可是马国明怎么演了一个爱吃的呆子哈哈。可爱死了            
(4星)	 2003年            
(5星)	 重新回顾了一遍片子，和几年前看的感觉大不相同，还是被惹哭。现在看，喜欢亦琛这样的男人，百分百摩羯男。感情的缘分，只要抓到手的才是真正对的。            
(4星)	 我终于完整的看完了！            
(3星)	 当时的黄宗泽和马国明还不红，全被吴卓羲和陈键锋抢了风头。当然吴镇宇的光芒谁也掩盖不到。            
(5星)	 今晚再看好友感触，记得上大学那会不知有多少人应为这部剧而受到影响。再看就会联想现在的事情，那时的一切变得好珍贵。而剧中的那帮tvb新人现在也都已经光彩照人~今日看真的全是大腕了~呵呵…是好的变化啊，我也算是吧~            
(4星)	 镇宇大叔有味道，马德钟永远奸人相。            
(5星)	 同样大学追的剧，我认为是TVB的巅峰作品            
(5星)	 除了中国剧神医喜来乐，重复的看了3遍，再来就是冲上云霄了，我不恨喜欢吴镇宇，他的戏也看不少，但是在这部剧他真的表现很好，演技进步了很多，很棒！内敛，内心戏演的非常非常好！我爱上这部剧里的他            
(3星)	 当年的四个少年。            
(5星)	 陈慧珊最美的时候~            
(5星)	 吴镇宇啊，穿起制服真是帅到不行。可是，好一部纠结的剧啊。            
(4星)	 叶璇有爱            
(3星)	 吴镇宇，香港的罗伯特·德尼罗。。。。            
(5星)	 看了这部后开始迷恋飞机师...发觉吴镇宇好迷人...还有罗马情....            
(5星)	 吴镇宇演技实在是好，再也没见到比这部更帅的马德钟啦！            
(3星)	 好像也是没看完过 囧             
(5星)	 大爱的一部港剧～～让我彻底喜欢上了吴镇宇。马德钟也彻底颠覆了他在我心中的坏人形象。几乎里面所有的主角配角我都很喜欢，超级推荐的            
(NA)	 闲来无事终于看完了TVB这部n年前的台庆大戏。吴镇宇这样的坏男人一往情深起来，还真让人拒绝不了，别有魅力呀。            
(4星)	 看过的胡杏儿的第一部戏             
(5星)	 sam哥~~~~那时候的苍井胡杏儿还没有那么讨厌~~~            
(5星)	 发神经回顾啊，。吴镇宇真不错。            
(NA)	 一部不俗的港剧            
(NA)	 吴镇宇啊吴镇宇。            
(NA)	 我家E和镇宇叔一起就是~啊~太妙了~            
(5星)	 男人制服更诱惑！            
(4星)	 我也想旅旅游。            
(4星)	 因为这部剧喜欢了Q7 把阳光的Zoe当做自己的榜样 也认识了帅气的陈键锋 和长得怪怪的黄宗泽 同时也看到了之前就很喜欢的吴卓希和叶璇            
(4星)	 所谓 看一部TVB转一次行            
(NA)	 那时候我还是初中生            
(3星)	 香港的职业真是有局限性啊...            
(5星)	 不知看了多少遍的好剧！            
(4星)	 girls&#39; dream to be a flight attendant :)            
(NA)	 林明美唱到：我的男友是机师~            
(5星)	 一直很奇怪吴镇宇不如别人红，多有男人味呀。在这部戏里我才第一次认识了马德钟了。陈慧珊也觉得超美，就是有点显老。这是那个年代我觉得最好看的电视剧。            
(4星)	 意大利那段美好得像什么。。。            
(4星)	 想大耳刮子抽这个女人            
(3星)	 我觉得应该有点模仿木村演的日剧《good luck》。。。            
(5星)	 好喜欢我的吴镇宇啊！            
(5星)	 梦想的开始            
(NA)	 好中意吴镇宇和马德钟            
(4星)	 吴镇宇帅上天。            
(4星)	 只有那样的岁月里，才能够看到那样年轻的面容和张扬的青春            
(3星)	 前一段的又是兄弟情 又是同学情深 马德钟不好看但是冲着那段表白也忍了 二十多集之后剧情急转直下 TVBL啊 怎么就不能BL到底呢            
(5星)	 我的最爱.. 表迷恋云志，云志只是个传说..            
(4星)	 大叔也可以很帅很有性格            
(NA)	 喜欢的为数不多的tvb剧之一哟~！            
(4星)	 zoe            
(5星)	 最爱！百看不厌！sam就不用说了 完美 马德钟首次挑大梁亦令vincent打动人心 喜欢小唐和韩玛莉吵架 喜欢苏玉华 也是四位公子初出道的精良之作了 讨厌陈慧珊胡杏儿叶璇 对胡定欣开始有好感 eaon的《岁月如歌》。。。堪称完美的令人痴迷佳作            
(5星)	 看过的，能让我看完马上有“要再看过一遍”feel的，少有的电视剧之一……            
(5星)	 TVB大剧~~吴镇宇的演计真是很棒~~有点小小的遗憾最后云志死了~~            
(5星)	 很爱的TVB片子~            
(5星)	 最喜欢的TVB剧集            
(5星)	 话说,胡杏儿真係唔衬吴镇宇.            
(5星)	 TVB电视剧中我最爱的一部，也是收藏在硬盘里一直都没删除的一部，一部里面没有一个坏人，很温馨，整个机场都是一个大家庭，永远的S4，永远的吴镇宇，情深缘浅的阿SAM和阿BELL，失去才知道美好的VINCENT。            
(5星)	 我觉得这个特别感人。            
(5星)	 非常难忘            
(5星)	 跟主题曲配合是完美的~            
(5星)	 因为这部戏爱上罗马。            
(4星)	 后来朋友送了一个缘分玩偶给我　            
(5星)	 就奔着SAM哥去的，唉，胡杏儿那个角色特别不讨喜，人世间就是这么多不完美。            
(3星)	 那时候呀~            
(NA)	 吴卓羲 挺顺眼            
(4星)	 还好了            
(5星)	 结局不是我希望的。可能Belle和Sam经历太多失去了爱情的激情只能做亲人般的好友。片头片尾都很赞~四小生全部登场~Oh my Ron! 爱上吴镇宇。PS：客串演员还有TWINS！            
(5星)	 看过tvb剧中 最深刻 最唏嘘 最耐人寻味的爱情            
(5星)	 很棒，吴镇宇演技太强了            
(5星)	 我找你许久， I LOVE IT。            
(4星)	 港剧时代啊。陈奕迅的&lt;兄妹&gt;            
(5星)	 军嫂梦~            
(3星)	 又是一些搞不懂的愛情故事            
(3星)	 到处都是广告……            
