http://movie.douban.com/subject/3670446/	泡沫之夏
(NA)	 看了一集实在是要哭了、、、欧辰就这么变面瘫了夏沫就这么变小倩了洛熙居然是三个猪脚里面最能看的（远目= =lll            
(NA)	 一集弃            
(1星)	 黄晓明你怎么不退出演艺圈儿?????            
(1星)	 黄晓明哥哥太猛了，我看了六分钟就看不下去了，六分钟，年华老去            
(3星)	 珍爱生命 远离黄晓明            
(5星)	 抛开小说看这部偶像剧，还是很成功的。大S演技进步很多，在我看来，她和何润东演的都很成功。换做年轻演员来演，反而演不出这种感觉，因为从角色本身来看，他们都是早熟，稳重，经历过社会历练的。我打满分。看完，我哭得淅沥哗啦~            
(2星)	 。。。黄晓明的出现让其他一切都感觉没那么的烂~笑个屁，丑成那个样子            
(2星)	 范晓萱的歌不错，傅佩慈长这么大了            
(NA)	 我！竟！然！看！了！            
(1星)	 大S装嫩还是很有一套的，所以这个角色并不过分。但是黄晓明童鞋，你敢再雷点吗？劣质的假发，45度角的眼神，斜调的嘴角，装B没人比你更专业了。            
(3星)	 黃曉明你敢再噁心點么？            
(3星)	 大S的脸和她念台词一样没有生命力。除去其他，小明教主台词表现力很好，不愧是科班出生。看这部剧就是雷并吸引着。            
(3星)	 = =黄教主V5……            
(NA)	 不打分了。何润东你这么有爱的一个人不应该选择黄晓明。。            
(3星)	 黄晓明能不能表再唱小黑猫小男孩小樱花小牛奶了&gt;.&lt;            
(3星)	 34岁的大S+内增达人黄教主，小新眉毛+吐血假发。三星是打给何润东一个人的。            
(4星)	 我真觉着还听好看的            
(NA)	 一听小黑猫喝牛奶就起鸡皮疙瘩            
(3星)	 要求不要那么高，就是一普通偶像剧啦，还行！            
(3星)	 我一直以为这个是四娘的作品。。。囧 打发时间还成 有教主在看神马都欢乐！            
(4星)	 看见何润东，我有种错觉像看见了道明寺，我也总是爱有点霸道，有点的冷的男主角。            
(4星)	 黄晓明就不能不用手勾女人下巴啊！而且那么难听的歌还一直唱！            
(NA)	 雷劈！            
(1星)	 不是剪个齐刘海就能装高中生的 还有黄童鞋 不是穿个马甲就嫩了的 何童鞋 不是穿个校服就穿越的 拜托你们醒醒好嘛！还有 少年那段时光很重要的 不是几个回放镜头就可以代替了的 我好替明晓溪叫冤哦！            
(1星)	 太衰拉。都找的神马人演的啊。尤其那个沈蔷！还有黄晓明真是痤得一笔啊。            
(3星)	 大S为什么没有表情。            
(3星)	 大S这张脸真是…………唉            
(NA)	 没看过原著，但我觉得这真是错综的故弄玄虚的超给力YY的恶趣味的饱含宿命力量的强剧            
(3星)	 ......男演员实在太冰火了。            
(3星)	 坑爹呢这是！！！好吧，小明你赢了！！！            
(NA)	 突然想自虐了，于是下来这个看。果然很虐啊～～我心里扭曲了～那个对话呀，那个演技呀，那个烂透的闪回呀。电视剧就不要任何技术和演技吗，太小看观众的智商了吧～好歹来句让我起鸡皮疙瘩的台词嘛。就算找不出来更好的演员，我也不会对不好的演员说好，什么时候这也能成为烂片的借口了，无奇不有啊            
(3星)	 大s的妆肯定是和化妆师有仇才会酱紫的。Peter各种深情 小明黄各种恶心。后1/4夏沫和欧辰在一起 还蛮浪漫的。其实我有点喜欢大s卑微又有点倔强的样子。            
(1星)	 好恶，难道世界上只有一个女人吗？            
(2星)	 看了三集 终于看不下去了。。。冲着萱的片尾曲 给两星了。。。            
(1星)	 绿蕾丝            
(NA)	 黄晓明太雷人。。            
(2星)	 = =  |||            
(5星)	 我不后悔看这部剧，真是太好看了！尤其喜欢霸道的欧辰。            
(3星)	 感觉很奇怪……            
(3星)	 黄晓明果然好爱演。。。            
(5星)	 好难过。。。看完后了~好不舍得~哎~            
(3星)	 其实还是挺忠于原著的，只是演员方面有些不尽人意            
(1星)	 闹太套            
(4星)	 还是值得看的~            
(2星)	 据说比较忠于原著。。。但是我真看不下去了。。。那些化妆师请永远辞退吧。。黄小明请直接去屎~~~~            
(3星)	 黄晓明简直是我苦闷生活的欢乐源泉！到最后一有他的镜头还是会笑得快抽。太低俗了，我。哈哈。            
(3星)	 教主你的表情雷死我了！！！！！！！！！            
(NA)	 大S太瘦了不太美啊还有大S的眼妆是怎么回事 orz            
(2星)	 可能么。            
(2星)	 主要演员都好恶心            
(4星)	 黄晓明真实太白痴白痴白痴白痴了            
(1星)	 大S的化妆师是谁，她以为是在怕鬼片吗？何润东真的老了。黄晓明你的发型真的很恶心，演技还是一贯的猥琐。总体来说，一部无比狗血的电视剧。PPS上已经有DVD全剧情版了。我已经看了结尾。            
(4星)	 感謝何潤東詮釋了一個最完美的歐辰。            
(1星)	 雷焦到搞笑的中年偶像剧。话说第一集里黄晓明的钱包有够地摊货。            
(2星)	 面瘫男+装嫩女+装逼男。泡沫之吓！            
(5星)	 我是你的，你是自由的！欧辰你总是那么霸道的让人心碎，而夏沫你又是那样倔强的让人心疼，洛熙你是那么稚气的让人心寒……            
(2星)	 台湾“呕”像剧，如同陈水扁当年骗台南的农民一样！            
(NA)	 总觉得哪里怪怪的。。。不对头            
(NA)	 。。。。中年版            
(3星)	 本来我不喜欢何润东的，看完之后发现我更不喜欢的是黄晓明啊，什么鬼扯洛溪！            
(1星)	 又見天雷滾滾減肥劇，我承認吃飯的時候點開它是我手賤。            
(1星)	 要是没看过原著倒也罢了现在让三个步入中年的人去演我唯一看过并且喜欢的一本偶像小说太幻灭了。不可以大s也就罢了何润东 那张大马脸 黄晓明那个犀利眼神 那一丝邪意的笑受不了哇。。这年头有钱就这么折磨观众啊            
(3星)	 还好呀，不是那么雷吧。            
(2星)	 真的好雷啊，还是原著好看            
(2星)	 看小说的时候怎么也不会想到的演员配置，一集就弃！            
(1星)	 ……曾经电视上看过点……书就只能说一般了，拍出来就……和那个会有天使替我爱你一样            
(2星)	 照理说看烂片本该不评分的，挑这个的刺儿是最没劲的，但没想到的是，有五六年没看偶像剧，即使以一套偶像剧的逻辑，比照十年前同段位的偶像剧也叫人无力。。。不说那些重复段落的闪回硬伤，最大的问题是价值观审美观的一溃千里。            
(NA)	 哪有那么坚持不变的感情，            
(4星)	 有思想的偶像剧，燃起了心中的悸动。不过重复回忆的片段多了些。            
(1星)	 亮点是面对大s的僵脸剧中演员们还要做出一副如痴如醉见到天仙的样子，太逗了。何润东身材不错的，鼻孔也...太大了...            
(NA)	 嗷，这三位加起来有一百岁的老年人。看偶像剧，观各国明星制，日美韩十几岁的娃都出来混了，我们还在纠结80后90后这样的标签概念。今日看棒子流行歌排行，一水的饥渴舞曲，燃烧的市场和金钱。在这个没有梦想的国度，我们多么的需要脑残饥渴的偶像剧来填补人生的空虚。投钱的老板们，怎么不明白呢？            
(4星)	 还蛮吸引我的。。除了黄晓明。。            
(3星)	 重心有点乱。改编很难讨好。亲情很感人。            
(3星)	 俺喜欢欧辰！！！            
(NA)	 何润东扮演的欧辰让我记住了，颠覆了风云里的形象。就这一点，他是成功的。            
(NA)	 简直就是惨不忍睹            
(4星)	 很喜欢欧辰喔~！！洛溪会让我心疼。夏沫是柔弱和坚强，倔强的组合。只有那些相似的灵魂才会懂得彼此，才能理解。我忘了N年前看这部小说的情节了，若放在以前，我一定会很爱洛溪，但现在是大爱欧辰。你学会了如何去爱了吗？            
(2星)	 黄教主 您能再做作点么            
(2星)	 黄晓明 大S 一人一颗星            
(2星)	 三个准中年人挤出来的一堆泡沫。            
(3星)	 出乎意外的好看 这功劳应该属于制作人Peter 他可以改名叫欧辰了            
(3星)	 减掉的两星是为了教主真诚的双眼。。。            
(2星)	 2星给蒋怡和吴亚馨            
(4星)	 虽然演员老了点，但是随着剧情的起伏，演员的专业不可否认，可以掩盖一些年龄缺陷            
(NA)	 真喜欢大s            
(2星)	 看了两集，黄晓明捡起一支mac的唇膏递给大s，o my...            
(3星)	 13            
(3星)	 我说潘楠怎么那么眼熟，多年前的那个小滋啊            
(5星)	 很有爱。我喜欢。            
(NA)	 呃 毫不怀疑 我忍着忍着居然看完了            
(1星)	 看了10分钟，被深深雷晕了。大S要脸不还演17岁！黄教主小矮子还装邪气！还有一些乱七八糟的傻配角。无语。            
(NA)	 片头曲好听，比何润东专辑里的好听。            
(2星)	 男演员都死光了吗？要叫黄晓明来演。            
(3星)	 真纠结~烦死了……            
(3星)	 黃曉明 扣兩顆星            
(3星)	 诶 好像只有教主有看点              
(2星)	 闹太套！！！你还敢再假点么！！！明晓溪！！！你敢再做作点么！！！            
(NA)	 我真想把黄晓明抻抻的脖子跟下巴跟揪下来            
(NA)	 我终于把这个看完了。。。黄小二我真是受不了你了。。。            
(2星)	 黄晓明咋个就洋气不起来喃？            
(1星)	 一星献给黄晓明，这家伙把偶像剧演出了乡土气息，不容易，鼓掌~            
(2星)	 电视剧本来也是有3星的。。但就是选错角了！！！            
(4星)	 我是你的，而你是自由的……            
(1星)	 转台的时候看了几分钟，快受不了了，都这么大的年纪了，还演这么无厘头的偶像剧。黄晓明演的实在是让人喷饭，那装酷的表情……            
(NA)	 虐呀虐的。。。            
(5星)	 “唯一一部看全的台湾偶像剧”；“范晓萱”作曲的主题歌钻石；大学时代的一个梦            
(NA)	 哈哈！这么大人了竟然这么莫名其妙的追了一部偶像剧            
(4星)	 明明你扮邪气微笑的表情可不可以不那么刻意不要那么用力，如果能像小拓一样若无其事风情在骨子里~~~            
(NA)	 神经质人格惹祸精 可是大多数人都得经历V1  才到到R12 | 爱真的是致命致笨剂              
(3星)	 果然这种不费脑子的烂片最适合消磨时间，不过看到二大爷那欠扁的脸就想吐。            
(3星)	 黄小明太你妈恶心了  《假面》特别好听            
(3星)	 居然提前看完了 還算是能看下去 夏沫絕對是摩羯座            
(5星)	 我很讨厌人们去肆意的批评自己曾经喜欢的东西，曾经喜欢的，哪怕是你暗恋过的一个混蛋，或者是你年幼时迷恋的纯爱小说，多年后，当你肆意去批评的时候，是不是也在批评你自己的过去呢？            
(4星)	 《我记得我爱过》            
(4星)	 我是你的，而你是自由的。明晓溪是高中时代的记忆，感谢何润东让它变成现实。            
(3星)	 有点乱，上不了四星。范晓萱歌好听。给三星。你们就唧唧歪歪吧。打1星，你们全家都1星            
(4星)	 为啥分那么低。我觉得大S有点出乎我的意料的好……不晓得为撒子我就突然有点喜欢她了。范晓萱的作曲，大S的歌。有让我惊艳到。            
(2星)	 在围脖上一直看见小S囔囔着“泡沫之夏”很好看很好看。终于看了一集后，真受不了做作的黄晓明和大S。。。            
(4星)	 不喜欢黄晓明 何润东真的很上镜。。。            
(1星)	 滋矮~~~我跟一姐找笑点的性福生活~~            
(2星)	 好吧，我放弃            
(3星)	 夏日之雷~ 哈哈            
(2星)	 黄晓明。。。。无论他怎么耍帅。。我都很想吐。。            
(3星)	 继《会有天使替我爱你之后》，明晓溪又一部被毁掉的作品。桑心~~~            
(4星)	 四颗星全给何润东            
(1星)	 在外面吃饭的时候看了半集差点吐出来            
(2星)	 两颗星因为何润东！黄晓明就是个2！大s也无感            
(3星)	 虽然大家都给很多差评，但我还是想看看拍成什么样~            
(1星)	 很早看的書 忘了講什麽才看的 別看 絕對失望            
(1星)	 弱智的小說 白爛的劇情 裝逼的男主 噁心的演技 這劇無敵了            
(2星)	 黄教主，你雷死我们算了啦            
(3星)	 两星给peter 一星给mavis的曲            
(1星)	 原书也就是一般雷，剧集是天雷            
(5星)	 大王演的很有層次...就是其他人...太...不堪...整個投資報酬率不對啊            
(3星)	 大家都好帅！！！！！！            
(2星)	 到底我是怎么会看完了这部剧的..OTL            
(NA)	 擦。。。这是两只美少年+一只美少女吗。呆湾没有年轻人了吗。            
(3星)	 最近在看两部很雷的剧，一个是泡沫，一个是恋人。            
(NA)	   会不会很烂，怎么看啊！            
(3星)	 Peter第一次担任制作人。            
(4星)	 后半部分还没看            
(1星)	 糟蹋了当年读书时我的少女情怀。。。。            
(3星)	 就是重复情节太多，其他还好            
(1星)	 大爱屎恶心的要命( ﹁ ﹁ ) ~→ 教主负责二( ﹁ ﹁ ) ~→             
(2星)	 这垃圾片我除了最后一集的最后结局竟然看完了。。            
(NA)	 陪家人在电视上看的偶像剧。结局总还算不落俗套，带有现实意味。            
(2星)	 终于明白为什么有人会喜欢看台剧。我几乎拖过了所有黄教主的戏份，就是很喜欢何润东，因为那张脸还是让我想起一个消失两年多的人。最后，我老是想起你，你说：宝是我的。大眼睛长睫毛，霸道的语气和眼神……不能再心软。放过自己。            
(4星)	 即使没有欧辰，也要像夏沫一样坚强与美好。            
(3星)	 大S这里蛮美的  何润东角色太美好            
(NA)	 还是去看小说吧！            
(4星)	 看偶像剧习惯性慢热            
(2星)	 人生总是需要一些挑战的...            
(4星)	 很压抑，但是很感动            
(NA)	 还是觉着演出有点小小的幼稚在里边儿，最终归于平淡而真实的生活中去。            
(2星)	 有的台词还挺白痴的，就让主角更白痴……我指外表。这出戏映射的黎姿救弟好廉价，这剧本真是让人火大。            
(2星)	 刚看完的。实在是无聊。看完以后更无聊。诶。。真的真的最后一次看台湾剧了。            
(3星)	 除了演员太老 别的不错            
(3星)	 间歇地看了一部分，结尾的一段独白居然有被感动到——原来给对方自由才是最难的部分            
(1星)	 这么烂的剧我居然看完了            
(4星)	 将人物去掉头之后，剧情还挺好的，我记得当年看过原著，奈何对故事情节一点儿印象都没有            
(4星)	 漫漫长假闲来看看为毛我脚的还可以啊除了那个教主之外。            
(4星)	 这个。。。虽然是狗血偶像剧，忍不住要荐给大龄女青们看看，里面有经典痴情情节和好身材帅哥。好久没看偶像剧了，这次都是关注小S博客惹的祸。黄晓明几次作得让我想吐，还好忍住了。何润东实在太帅了，角色演得很不错。大S似乎常年就是那样子，看着还挺顺眼，感觉换个年轻偶像派应该演不出那种味道            
(3星)	 看到黄晓明就快进快进快进            
(NA)	 哈哈哈            
(NA)	 我竟然看哭了，我真是悲哀!。。。不过话说回来，何润东内小身材确实不错，嘻嘻嘻。黄晓明的部分直接快进*6            
(5星)	 真的很不错。原汁原味的泡沫之夏，槽点挺少挺不重要的。            
(5星)	 何润东很帅呀很帅呀            
(3星)	 三个主演加起来都超100岁了            
(3星)	 书总是比电视剧好看。            
(3星)	 10集以后才开始好看，故事还不错，原著应该是不错的。但是被黄教主的演技震撼到了，你装的是哪门子假深情，看了天涯对黄教主的大众点评，笑翻，算是一点补偿。我还是喜欢有点小霸道又痴情的何润东。那首“钻石”很好听啊很好听，小黑猫差点杀死了我。            
(3星)	 一切皆为生活所迫。            
(4星)	 原来樱木脑袋说的绿蕾丝就是这个啊。虽然是老青年之夏，但是脑残电视剧太多了，显得这个还不错。大S的勺子面瘫脸啊。。。。。。囧            
(NA)	 结局不是一般的窘..            
(3星)	 何润东~！！He reminds me of the first love, and the first kiss.            
(4星)	 何润东演的不错呀。            
(4星)	 四颗星是因为我tmd最后看哭了            
(NA)	 如果要分类，这剧肯定是YY系            
(4星)	 我的欧辰 快出现！            
(3星)	 不解释。            
(2星)	 失望            
(NA)	 真不容易，我竟然坚持看完了，最后还感动了。            
(1星)	 好奇害死猫啊            
(NA)	 qishi hai neng kan             
(2星)	 好难看好拖沓            
(3星)	 话说，我真不喜欢黄晓明耶。            
(4星)	 还不错哟~            
(2星)	 额。我竟然看完了。            
(3星)	 虽然剧情很普通，还是哭着笑着看完了。            
(3星)	 演员有点老。。原著里非常喜欢欧辰 觉得peter始终无法很好地诠释他            
(3星)	 我竟然也看完了·            
(3星)	 黄晓明太恶了，其他还好            
(3星)	 看它是因为女主角夏沫 她竟然叫夏沫！ 另 教主我真是一眼都不想看你 另  突然发现何润东除了鼻孔大点真的还蛮符合我的审美的啊·······当然不包括身材            
(4星)	 台湾偶像剧通常都是开头精彩，后面越来越俗越来越狗血吧。   即使黄晓明装逼又傻逼，有那么张脸还是被他吸引。    ╮(╯▽╰)╭又名富二代大战装逼男            
(4星)	 我觉得不错啊！尽管鄙视我吧！！！！            
(1星)	 看的我高潮迭起啊我去            
(2星)	 和姐妹边看边吐槽 笑到在床上打滚.....（何润东煽动的鼻孔还真是销魂呢XD            
(NA)	 十分钟就让老子胃功能和内分泌一起失调            
(NA)	 黄晓明真的2~！            
(4星)	 看过小说再看就会觉得看的不是剧是回忆啊~最主要的还是纯真是否依旧，            
(4星)	 里面的歌曲很打动人。唯一的缺点是情节里面的重复太多。不是片段重复啊，是赤裸裸的情节重复啊，虽然那些情节是为了一遍又一遍地告诉剧中人，但是观看者早就知道了好不好。我很爱《钻石》，也很爱欧辰。            
(2星)	 片尾曲不错 仔细一看范晓萱作曲，怪不得~！            
(2星)	 一个主要演员真的能把一部戏活生生弄砸掉。在TVB我发现了钟夹心，在这部戏里面，黄晓明的做作和拙劣的表演实在让人难以忍受。            
(3星)	 现实里哪里会有夏末那么好运的人...又有谁还能像她那样善良大度?...            
(4星)	 演得挺好的，比我想象中要好。支持~            
(1星)	 真的很恶心，看到大Ｓ装清纯我真受不了，她旁边的那位更倒，怎么没用她来当女主角呢？真没想法了            
(3星)	 两天时间看完 台版14集真好 三颗星给欧辰            
(4星)	 看看2B黄教主吧，挺逗的            
(1星)	 你们还可以更油腻一点么            
(4星)	 全都不是我心中的ta们.... Peter did good job            
(3星)	 扣掉的两颗星是因为黄晓明。教主你行行好表这么2行不。            
(NA)	 2教主的闹太套、假发和恶心放电。。。Peter同学还是有点演技派de...            
(3星)	 虽然演员我只喜欢何润东 其他讨厌  但是情节还是有点意思 给个三星吧  话说几年前看的书 竟然一点都不记得情节了            
(NA)	 看见黄晓明那个2样，我就忍不住狂拉进度条！后来突然发现就这么给拉没了？！            
(3星)	 我大概是歇傻了……            
(1星)	 快把教主拖出去斩了好不好TT            
(2星)	 大S那妆是怎么回事            
(1星)	 闹太套            
(4星)	 我爱欧辰！！！夏沫是学习榜样，欧辰是理想对象！另外必须完全忽略教主！            
(4星)	 何润东            
(3星)	 小明的歌真是败笔啊败笔            
(4星)	 我整部看完了。请叫我白痴吧，请叫我花痴吧。            
(3星)	 一边看书一边看剧的时候是一星，后弃书只看剧觉得三星。教主的脸每次出现都让人觉得不适。其实这剧只要最后一集那封信就好啦。。            
(NA)	 20100915 我是你的，你是自由的            
(NA)	 http://www.tv009.com/data/data9210.html            
(3星)	 每天看教主都要笑死过去了。。            
(4星)	 演得最好的是何润东，黄晓明的穿的服装为什么看上去那么廉价，大S的造型始终就是一款其实这很好，至少有那么几刻是有小说里的感觉，虽然还是小说想象的空间大些，但如果你想去看这部电视剧就去看吧，没什么好吵吵闹闹的。            
(4星)	 欧辰~~~~            
(4星)	 其实已经做到很好了。至少忠于了原著。闹太套神马的都无视了- -            
(2星)	 其实我不喜欢这部小说，但是相比之下，我忽然间开始觉得小说很精彩。。。            
(3星)	 明晓溪作品翻拍的最华丽的一次。            
(3星)	 看了10集，完全看不下去了，虽然大S够美~            
(4星)	 何润东加一星!!!结局圆满,满足了已经.不过黄晓明实在是...好吧真的有一股让人不太喜欢的气息散发出来.整体平平,何润东很好~            
(3星)	 没有HXM,我会多给颗星...            
(3星)	 三分给我不喜欢的大S            
(4星)	 欧辰是亮点。            
(2星)	 黄教主太孬心了            
(4星)	 好爱何润东，不喜欢黄晓明。四星是给何润东和小澄的。。。            
(4星)	 怎么说，还是庆幸拍成电视了。            
(3星)	 看著看著一不小心就看完了 ... 仍舊被感動 ... S你很美 ...             
(2星)	 这个。。。实在是有够难看的。。。            
(2星)	 借用管家的话：这是一场悲剧            
(4星)	 爱是付出，爱是不疑            
(NA)	 大S演得不错呀 黄小二一出来就想换台 太装了！！！！！            
(3星)	 如果没有黄晓明的存在.....就完美了..........洛熙完全被伊毁鸟            
(4星)	 很喜欢这书。没教主就五星了            
(3星)	 对不起我试过了 但看了剧照我真么看剧的欲望..姑且当我看过            
(4星)	 大S，你脸上的肉能不能不下垂。。何润东拍的剧都让我认为，男人、老公就该这样。。嗯哼，你们懂的。黄晓明，你演得真像“童话里的王子”。我要买书看。            
(1星)	 老二阿            
(4星)	 如果没有黄老师那张脸就好了            
(3星)	 我还是很有娱乐精神的：）            
(NA)	 只有那句 我是你的，而你是自由的            
(NA)	 一集一集追的啊            
(4星)	 偶尔 经常控台剧 但已学会不被它拖死  欧辰确实不错~            
(3星)	 3集弃,            
(1星)	 黄老师，你的演技怎么还是那么差？？？？？？剧本其烂无比大S和何老师真是失败了            
(3星)	 何润东好帅啊~            
(4星)	 最重要的是找到一个爱你的人 和一个适合你的人            
(NA)	 大S演电视剧真的不上镜……只有Peter养眼！黄晓明那个人物实在太……呃            
(3星)	 看康熙的时候觉得私底下的何润东比较有爱，可惜的是他一直没有遇上一个散发温暖的适当角色。黄晓明毁了洛熙。大S演的还好，就是太老了，不想承认也不行，谁看不到她脸上的肉已经开始有点垮了呢？            
(4星)	 我喜欢大s啦~~~~~~~\(≧▽≦)/~话说我以后也要留长卷发~            
(4星)	 万恶的黄晓明,万恶的洛熙,下次再也不看有黄晓明的电视剧了            
(4星)	 看不得黄晓明，听不得他唱歌。最后有点拖沓了。            
(3星)	 到最后两集看不下去了。            
(3星)	 没那么差吧，只要跳过黄晓明的戏，还是可以的= =，前提是我只看了后10集。            
(NA)	 偶尔神马的抽筋.黄教主万岁万万岁!            
(2星)	 教主~~~~~~~~~~~放过我的下巴吧~~~~(&gt;_&lt;)~~~~             
(4星)	 我只想说~黄晓明怎么都让人讨厌~让人觉得恶心.....            
(3星)	 就看到大S跟黃曉明親來親去~~不得了~~何潤東演的果真帥氣~~~~~~~我竟然看完了~~很神奇@@            
(3星)	 多給一星是因為對原著還有愛..最後一集我竟然還會有點小感動.            
(4星)	 拍的很用心，至少我觉得三个主演的演技都很好，            
(NA)	 拉烂            
(4星)	 终于把《泡沫之夏》看完了！原来结局是这样的。之前并没有拜读泡沫3的原著，所以后面剧情不是很了解，我只能说，明晓溪太厉害了。本人很少看亚洲电视剧，但泡沫真的值得一看。尤其是何润东诠释的欧辰这个角色，纠结在爱与恨的边缘~今年绝对入围金钟奖的呵呵，大S演的也不错。好了我要回归欧美剧了            
(4星)	 何润东和大S的演技很棒,晓明很帅但是少了洛熙身上的妖气,总觉得他太正了。不过能看出他的努力。比一般的偶象剧强的太多，听说原著更好看，打算看一下。            
(5星)	 不得不说演员表演的很到位 尽管很多人都在抱怨主演年纪都太大 可是在台湾 很多偶像剧的男女主角都二十八九岁了照拍不误。大S，何润东，黄晓明的演技没得说，很好的把握到了任人物的精髓，而且和原著的匹配度也很高，而且该剧制作业很精良，算得上是很不错的台湾偶像剧            
(2星)	 面瘫...跟着舍友看了一集不到就受不了了..            
(1星)	 委屈自己看了一集,后来就眼泪汪汪的退出来了,年龄这么大了,何苦这么为难自己呢?其实我觉得书雷的跟这个有一拼            
(5星)	 peter形象还是蛮有突破的，看《泡沫》之前喜欢黄晓明是胜过peter的，但看完之后，觉得荧幕上下的形象黄晓明太冷了，觉得太耍酷而觉得难以接近，peter就阳光多了！！！这部剧是多才多艺何润东跨界制片人的第一部剧，我好不犹豫打了5星~谢谢这部剧，我对petter有了新认识！！            
(NA)	 编剧不应该是明晓溪咩囧。。。            
(NA)	 明明咱能换个表情么。。。            
(4星)	 喜欢何润东，演的超级像            
(5星)	 虽然开始看的时候觉得很不能忍受可是一集一集看下来以后我竟然被感动了身为小说版的死忠我竟然能100%的接受它真是让我觉得太神奇了泡沫之夏电视剧的主创们你们真是太棒啦！            
(3星)	 临了临了，小心儿还是被欧辰偷走了～            
(2星)	 也就值这个分了```除了何润东还是那么帅```            
(2星)	 勾起煲劇隱。－－－睇佐好耐都未睇曬。。／沒看下去不過夏沫的影子無處不在。            
(3星)	 撇开黄晓明以及那囧歌，姐还是流泪了~~            
(5星)	 我觉得何润东演的特好，因为特别喜欢这小说，所以之前都没敢看，后来还是没忍住好奇看了，我觉得拍得还挺好的，超级喜欢欧辰，何润东演的多好啊            
(5星)	 小说n多年前就看过忘记了，隐约有那么一点印象，现在看了电视剧觉得符合自己对任务的所有幻想，可能是忘记小说的缘故吧~还有就是觉得明晓溪写得骗青少年的苍白无力乏善可陈的小说能拍成这样就不错了，还能怎样？知足吧~本来很讨厌何润东（因为那版的梁山伯与祝英台害的），看过《泡》可是很欣赏他滴            
(4星)	 我想抽黄2哥微笑到抽搐的脸            
(4星)	 PETER很努力、欧辰很好、黄晓明很恶 = =0 大S的妆很毁。。。            
(4星)	 既然命運讓我們糾纏在一起，那就繼續糾纏下去吧。。。            
(3星)	 我操 我居然熬夜看完了             
(5星)	 明晓溪的作品果然还是那么的动人，何润东果然有眼光，让我们看到了三为主要人的演技，可能没有太大的期望，所以觉得真的很不错，一口气看完的，加油。希望看到更多的明晓溪的作品的影视剧。另外，这部戏真的很成功，和会有天使相比简直是一个天一个地，所以，继续加油了哦！！            
(4星)	 纯属看偶像剧的心态去看，会觉得两个男主角都满帅，黄是五官好看，但何胜在更有气质。惊艳的是S唱的《钻石》，前两句特好听，好象是范晓萱的作品吧。明晓溪作为武大出来的偶像剧作家，还是值得推荐的            
(4星)	 还好不是芒果台拍。。 何润东最高~~~            
(4星)	 不管你们怎么吵，感谢何润东还给我们一个原汁原味的泡沫之夏。除了他们仨，没人更适合。            
(1星)	 一星送给大S，你真的很灰姑娘。黄晓明，你能更二点不？何润东你的脸凹度能更大点不，能更民工点不？            
(5星)	 5分的评价给何润东，以前很不喜欢他，但这部片子里他最棒。这个角色他演绎的也很好。            
(3星)	 求黄晓明蜀黍、大诶四阿姨马赛克版= =。  欧欧欧欧欧辰！            
(3星)	 其实看完了觉得也不是那么差劲，跟原著没什么太大浮动的改变，比芒果台的天雷剧好，还是能够接受的。不要太在意演员是谁==，还可以的。            
(3星)	 除了何润东的演出，其他人貌似都没有抓住人物的感觉。大S还是游离在角色之外，所以说太硬的性格可能根本不适合做演员！黄晓明啊，你什么时候能够停止耍帅！！！！            
(3星)	 何润东还行。。。黄晓明太囧了            
(3星)	 何润东演得很深情，大S说话很生硬，黄晓明很装。            
