http://movie.douban.com/subject/3356340/	古灵精探B 古靈精探B
(4星)	 见鬼了，每次猜凶手都中了！            
(4星)	 好好看，皮耶好帅啊            
(4星)	 热热闹闹的，很有过年感。            
(4星)	 比第一部好看            
(4星)	 有d唔想感快睇完            
(3星)	 明显没第一部有劲            
(5星)	 啊 成家隽            
(3星)	 看到后面就觉得无聊了。。。。            
(4星)	 比第一部好看            
(3星)	 没上部好看            
(4星)	 4星半 主角出挑 小人物也性格鮮明 劇情也夠豐滿            
(3星)	 剧情实在已经老套到一定程度了：双重性格杀人，棺材暗格藏人，被误诊有绝症，最后报复杀人的人出现在墓地。而且好几个案子还有明显的漏洞。最后几集太扯了。            
(4星)	 最后幾集開始扯了            
(5星)	 果然是我喜欢一直追的,这一部越发的温馨可爱了~            
(NA)	 配角抢尽风头。            
(1星)	 更加不好看。。。。            
(NA)	 案件设计挺好的  太无厘头了反而有点反效果             
(5星)	 得意wo~大口英是亮点！            
(4星)	 于子朗我忒喜欢你了……擦……            
(NA)	 个么同事朋友都在看就看了 微妙…… 果然我这种喜欢挑刺的人还是不能看这种bug太多的电视剧 连吐槽都无力啊 扶额。            
(NA)	 16            
(5星)	 第二部也很有爱啊            
(3星)	 天秤男+巨蟹女，天蝎男+处女女            
(4星)	 20100314            
(4星)	 郭晋安很有可塑性。            
(4星)	 比1好看            
(3星)	 昨晚看完小小的做了噩梦···            
(NA)	 不喜欢佩佩。没第一部得劲儿、            
(3星)	 蛮好玩的，就是案子太白痴了。说别的剧是看一点就知道谁是凶手，这部是刚看就知道谁要死谁是凶手...            
(3星)	 么第一季好看，明显icy姐姐漂亮，却只是个配角中的配角。            
(4星)	 结局开始荒谬，20集以前的都很不错……            
(4星)	 我喜欢pierre！！！！            
(NA)	 。。看了会变聪明。。。嗷嗷            
(3星)	 探案的时候挺可爱的 整部戏感觉还是挺无厘头的            
(4星)	 越来越不知所云（是要和终极三国比谁更无厘头吗？）罗有恒&amp;宝宝、众人&amp;icy、占士邦&amp;高材生，加分……            
(5星)	 强烈推荐!!!!!!!!             
(4星)	 可爱            
(3星)	 最大发现是高才生，可爱的很。跟着大半个月休息了，等十月台庆剧。            
(3星)	 TVB的侦探片为什么变成这样了。。。默哀            
(3星)	 说句老实话，真的做得不算很好，我是指悬念方面。            
(3星)	 这是我看到的最无厘头的探案片..            
(NA)	 逗~~~~            
(5星)	 &lt;24上&amp;下 完结&gt;  多可爱的一帮人呐！！！            
(5星)	 挺好看哒            
(4星)	 还是最爱大口英            
(4星)	 刑晶晶很讨厌有木有，脑子永远比行动慢一拍。            
(5星)	 好看AGAIN            
(3星)	 郭羡妮越来越讨厌好讨厌好讨厌~            
(4星)	 皮埃尔很帅啊，正点；美人还是演搞笑的适合她，icy姐姐果然icy，两个小的（柏芝和其男友）也很Q            
(5星)	 我愛張正義&gt;&lt;!            
(5星)	 无比有爱的大口英。。。            
(NA)	 没看1直接跳2            
(4星)	 无厘头。虽然有很多看不大懂的与第一部完全不搭的情节。ps:能猜出好多案件结局- -            
(4星)	 BB好厉害有超能力！结局的那几个变态人性测试还蛮有意思。小宜出场那几集很有笑点很欢快。不过跟着老弟熬夜的几个晚上看得我不敢睡觉……悬疑推理剧无能……            
(4星)	 第一次看觉得好，后来看了法证先锋，才觉得他一般。不过还是推荐            
(3星)	 郭羡妮越来越讨厌，太傻了。。。     不过剧情还可以，不过结局太2            
(4星)	 大口英额笑点能不能再多点？            
(4星)	 案子的设计痕迹太明显了。。。不过还是能看看的。。。相比下来比其它几部同时期的烂剧好太多了            
(3星)	 郭羡妮我真不爱。然后郭晋安为什么不如从前可爱了。题材还算是TVB里比较新的吧，但是显然不如mr.brain有爱            
(3星)	 2真的有些扯了~            
(3星)	 第二部居然比第一部分数高。。。太扯了 豆瓣评分也不是全靠谱            
(3星)	 放弃            
(2星)	 第二部简直在发癫、完全走无厘头路线，探案已经不是主线，捣糨糊的搞笑剧。            
(NA)	 这部比较搞笑点，不过后面比较夸张点了            
(3星)	 to kill the time  and to run away from something in mind            
(5星)	 BT下载来看。嗯哼，很爱。我的菜。100326-0409            
(2星)	 感应~！            
(2星)	 硬掰的第二部，不精彩不过郭羡妮第二部造型比第一部甜美            
(4星)	 不错不错 最喜欢罗sir叫傻BB那个样            
(5星)	 劣质推理优质喜剧～            
(3星)	 当你觉得BB很可爱的时候…就…惨了            
(4星)	 嗯，你比较好看。            
(3星)	 搞笑继续            
(3星)	 刑晶晶对待大口鹰，案情方面总让我有种：“总算有人死了”的心境，不知道有没有相同感觉的朋友？            
(5星)	 虽然可以猜得出大多数案件的凶手，但整体还是不错的。            
(3星)	 大猫说鄙视我。            
(2星)	 案子能再白点吗？            
(1星)	 可不可以一星都不给?...            
(1星)	 太扯了=。=我觉得郭晋安还是适合奸角            
(3星)	 没什么新意            
(4星)	 好久沒看了，不錯            
(3星)	 没有1好看 哎            
(3星)	 感觉比1要好看也~~            
(4星)	 真怀疑那个高才生怎么爬到他现在那个职位的~笨蛋一个~            
(4星)	 看过一的话会感觉2还行，就是案子简单了点~~~            
(3星)	 挺搞笑的。。。就是没那么悬疑！            
(3星)	 狗血狗血狗血狗血~~~~~看得很开心哎╮(╯▽╰)╭            
(4星)	 我很喜欢那一家三口和bb。看着好幸福的madam ying。            
(3星)	 不是很有创意，纯粹的肥皂剧            
(5星)	 H3X.            
(4星)	 还是不错的，但最后3集竟然变成X档案+电锯惊魂。。。有点雷，有点囧。。。            
(4星)	 比第一部好看多了。tvb coser那个组真棒。            
(4星)	 挺轻松挺有趣的 就是案件有点简单            
(4星)	 第一集和先睹都不错。希望keep下去。最近难得看得下去的几部TVB剧            
(4星)	 结局怎么那么囧的。。            
(4星)	 结局不靠谱到影响整部剧！            
(4星)	 大团圆结局。kill time良方哦。。。            
(4星)	 TVB真喜欢在大脑上面做文章，只要脑袋撞伤了醒不来很正常醒来了就是奇迹但也可以令人接受，因为大脑是很神秘的器官发生什么事都是现代医学无法解释到的XD……可不可以换个桥段啊囧            
(5星)	 嗯还好还好啦。。            
(4星)	 搞笑吧。。。。            
(3星)	 怎么不是接着第一部走的呢            
(3星)	 理论上第一部还不错啊，第二部怎么退步这么大？            
(5星)	 哈哈大口英笑死我了。            
(NA)	 【2009-08-18】            
(3星)	 其实前面还挺幽默的，后面就真的乱七八糟了。            
(4星)	 后面是莫名其妙的- -            
(3星)	 没有1好看            
(4星)	 没有第一部好看。            
(2星)	 完全无语的侦探剧            
(3星)	 icy好漂亮哇~~~~~~            
(4星)	 沈绛红和柳焚余的前世今生啊，哈哈哈哈哈哈，大口英赶紧从了madame吧，她吵SHI了。。。BB竟然还换人。。哎。。萧正楠是不是挺矮的啊，咳咳。。李天翔打扮打扮好像泰国内个KEN哟。。。。。            
(3星)	 唉，当年的建宁已经变成如今的Sa姨了。            
(3星)	 港式侦探片一贯套路            
(3星)	 简直是灵异版名侦探柯南和哆啦A梦的混搭啊…不过看着不闷倒是…            
(4星)	 我果然还是很喜欢郭晋安啊╮(￣▽￣&#34;)╭             
(3星)	 看了网上的和电视上对比才发现这样的大众娱乐的片子竟然也被删节了…            
(4星)	 詹树邦哦也！！            
(3星)	 被安徽台放烂了            
(2星)	 总会猜到结局的破案剧真是没意思~人家很空虚！！！            
(NA)	 N年不见TVB不见长进啊。。。            
(2星)	 这几年TVB拍的这类警匪片不少了，但这么傻的片还是头一回见。尼玛郭羡妮简直傻到爆，每次一有一点线索，就跟个二逼一样莽莽撞撞，一点警务人员应有的心理素质都没有，尼玛。            
(3星)	 被安徽卫视变成什么“冤家夫妻金牌档”了，娘的。不过无线剧还是让人觉得自然，除了有时候也搞偶像剧名字就取得让人想呕            
(NA)	 小儿科            
(4星)	 郭羡妮的角色不太讨喜，其他都好，几个配角都很出彩。            
(4星)	 雨不停呐~~~            
(3星)	 走脱线风格了竟然。不过用娱乐精神看此片，对情节要求也就不需要太严谨，反正人物时不时会自己故意脱离常识。大口英童鞋真是一个亮点。。。            
(4星)	 续集的郭晋安怎么 变得有点弱智            
(3星)	 最近异常爱看侦探片。。。            
(NA)	 第二部比第一部欢喜多了，郭羡妮越看越顺眼啦，哈哈            
(3星)	 那个高材生在里面有什么用啊            
(NA)	 Hoho            
(NA)	 原来也满好看的= =            
(4星)	 比1搞笑。Pierre在本句中的戴眼镜造型比谈情说案里帅气斯文多了。            
(5星)	 黑超是装逼利器！！！高才生完全戳中笑点什么的……            
(4星)	 强过第一部，虽然少咗靓仔马国华嘅喔            
(3星)	 了呵呵的看一天TVB  我要无聊成什么            
(4星)	 看过无数次了            
(3星)	 越来越邪乎 最后还有类似电锯惊魂的啥啥  但是还是期待C部的出现            
(4星)	 还是很ci的             
(1星)	 港剧如弱智，台剧如羊癫疯啊~太2了            
(4星)	 看了就忘了。            
(3星)	 三星半接近四星，还是值得一看的            
(3星)	 不及第一部 不过风格还是继承了 还好            
(NA)	 王青伯伯跑嘅幾辛苦哦。。            
(2星)	 推理的部分弱了            
(NA)	 第一集真的好好笑            
(5星)	 索B，真是叫的顺……            
(3星)	 都不知道为什么要看            
(4星)	 2比1有意思            
(3星)	 欢喜郭晋安这个男宁~~第二部果真不及第一部~~不过搞笑轻松很有余~~            
(4星)	 喜剧~            
(4星)	 终于看完            
(4星)	 大家一起噴飯~            
(5星)	 为了马国明和郭羡妮            
(4星)	 比1好看            
(4星)	 难得的一部还能让人笑得出来的推理喜剧。前半部分剧情更好一些，故事也比较有吸引力，后半部分稍有点拖沓了。            
(2星)	 好2哦！！！            
(4星)	 25END SAW            
(2星)	 电视台翻来覆去地放，我翻来覆去地看编剧很烂，演员很老            
(3星)	 香港味道            
(4星)	 难得的2比1好看            
(3星)	 一到考试我妈就拿TVB的电视剧荼毒我，但我还是要上当            
(3星)	 孩子都出来了，还有特异功能            
(5星)	 拍得太好玩了，而且正义与子晴的照片明显是P出来的            
(2星)	 看过，但是忘了什么情节，还记得的感觉是不怎么好看。            
(4星)	 越来越二            
(3星)	 有点单调了 没刑事系列的精彩            
(5星)	 我就说嘛，第一部的结局太扯了吧！还好编剧想通了~~故事节奏很紧凑，虽然最后有点太科幻剧了，但是逻辑上还算通~~            
(3星)	 插科打诨，粤语在这方面总是能发挥极大的优势，对耳朵也是一种享受，看来之前的tvb给我的印象多数被电视台的配音毁掉了            
(3星)	 编剧有点什么了。。。连续几个案子都是监守自盗型的，哎~~别说是为了给观众也能猜到啊！！都猜到啦~就是太神叨叨了、、、            
(3星)	 这部几乎全部案子都跟甄氏有关，真受不了。            
(4星)	 喜欢这类型的侦探片，但是不喜欢灵异的。            
(3星)	 其实很好笑~            
(3星)	 结局居然学起《电锯惊魂》来，不过觉得还蛮可爱的~            
(4星)	 有点意思，郭晋安和郭羡妮搭档倒也挺和谐。就是这么多案件怎么杀人犯总能被我一猜一个准？            
(NA)	 天呐 那个甘志峰竟然是萧正楠   N年没看到他了             
(4星)	 太欢乐了。            
(4星)	 搞笑，好玩，郭晋安和郭羡妮这对搭档很搞呢。不过我没看1就看得2.。。。            
(4星)	 看的是搞笑功夫，配角也很出彩。四郭破案惊奇~~ @201003            
(2星)	 案件都很弱智            
(NA)	 其实我是看男猪脚。。            
(NA)	 几合衬喔 音乐也逗趣            
(5星)	 郭晋安到底演了多少部奇奇怪怪的侦探片啊！            
(3星)	 都是些妖怪性格的主人公，還好很輕松。            
(2星)	 剧情狗血的……            
(NA)	 剧情一般，疑案不动用感灵，作为观众也可以猜出谜底。但是，TVB的人个个可爱十足。况且，我又十分喜欢郭晋安与郭羡妮。嗯，要学习粤语。            
(4星)	 看过很多遍的剧。每个人都很特点。让人记忆犹新。            
(NA)	 本来就是荒谬剧图个乐            
(3星)	 哈哈哈            
(4星)	 太欢乐了！            
(3星)	 期待很高，看了发现比1弱好多。            
(5星)	 很好看,比第一部好看,感觉看起来很轻松,很快乐.我觉得有些评价不好看的人有点不负责任,请不要把这部片子与文艺片,深度片什么的扯在一起,这就是适合有压力的现代看的轻松搞笑电视剧!            
(4星)	 虽然没有1经典 但是还是不错的            
(3星)	 结局悬念够“电锯惊魂”。            
(4星)	 郭晋安简直就是好男人的典范。            
(4星)	 后半段整个梦工程悬案            
(5星)	 又看一遍，不知不觉。。            
(3星)	 其实2星半比较贴切            
(2星)	 比起一，差劲多了！            
(2星)	 前半部分还好，后半部分没心相看了            
(4星)	 消遣消遣。            
(3星)	 故事情节有点弱，不过还是蛮好笑的~~~            
(4星)	 感觉比1好看？~            
(3星)	 因为看过1~            
(4星)	 经典 轻松 有点搞笑            
(NA)	 开头很精彩，可是后面太扯            
(4星)	 挺有意思，案子凶手虽然好猜，不过其中几个手法有点看头。            
(4星)	 喜剧。。            
(4星)	 纯粹无聊时看的。            
(4星)	 轻轻松松 皆大欢喜~  目前比较青睐于此类片用以调节。。。             
(4星)	 还是第一部要好看            
(3星)	 其实有点无聊            
(5星)	 第二部也很精彩。。            
(5星)	 有爱有爱，好过1太多，鬼死咁好笑，仲有狂爱TVB组里嗰班COSER！            
(2星)	 编的太雷了~~~完全没有逻辑阿！            
(3星)	 唉~            
(3星)	 反正看或者不看都是在浪费时间            
(3星)	 侦探片..有有有            
(4星)	 喜剧，挺可爱的说，不过第一部里面朗朗不是死了咩.....连不起来啊.....            
(4星)	 还是觉得第一部经典, 不过第二部也不是太差, icy有点酷, 就是戏太少, O(∩_∩)O哈哈~            
(5星)	 案子好像比第一部弱智了。。不过超好笑。。哈哈。。好可爱的一群人。。嗯。。喜欢。。            
(NA)	 拼不过A。。但是是不错的神奇破案片哟，比那个施公奇案2棒多了。。连欧阳震华都变得不靠谱起来。。            
(2星)	 真难顶……有小定都那么难顶            
(5星)	 还不错，既搞笑又有剧情，挺羡慕他们夫妻俩，幸福的冒泡泡            
(4星)	 结局篇有点搞            
(3星)	 比第一部好太多太多 柏芝爸爸那个什么sir很逗人 逗宝宝很好玩 别人花花他就言听计从            
(4星)	 很紧凑，我喜欢很紧凑的剧情            
(4星)	 没第一部好。            
(NA)	 还没有把第一部看完~            
(3星)	 剧情太扯了..            
(4星)	 有点像日剧《圈套》            
(4星)	 很久没看到这么好看的TVB剧了，还是侦探片对我的胃口！            
(2星)	 為練白話才看的 看到想睡覺了            
(4星)	 不错，笑点十足            
(3星)	 郭晋安老了            
(3星)	 食紧饭时睇都5错,起码5使成日睇住D字幕...            
(3星)	 没有第一部好看            
(3星)	 最后一集不电锯惊魂啊？            
(4星)	 生活跟电视剧是不一样的，扭曲的太厉害。            
(5星)	 大口英，你给我站住！            
(3星)	 佩佩的头发好好看！            
(4星)	 虽然案子一发生就已经知道凶手是谁，但是比第一部精彩，个人认为。            
(2星)	 無聊時打發時間的選擇。            
(NA)	 感觉没有1好看            
(3星)	 罗sir和BB好可爱挖哈哈哈哈哈哈哈哈哈            
(4星)	 案子的逻辑及可行性请自动54，只要看活宝们耍宝就可以了~最近港剧就是喜欢宝宝风嘛，难道生育率太低了？！没想到现在流行钢管舞。。。            
(4星)	 始终还是觉得港剧改不掉虎头蛇尾的毛病.结局总是仓促...但这部剧几位新人的表现很不错 .. 期待会有第三部...            
(4星)	 几搞怪啊...            
(NA)	 看毕            
(4星)	 比第一部惊喜，DIE一群人很有戏瓦~~~            
(3星)	 居然有了续集了。还好看了特别结局，不然也不知道为什么第一部复活了。            
(3星)	 还是一样的搞笑，轻松            
(4星)	 罗SIR很搞笑~            
(3星)	 同期上档，同绝代商骄比，显得略胜一筹，总起感觉，有点无聊成分，没有古灵精探时那么吸引。            
(4星)	 可以看 虽然剧情不咋滴 不过比第一部搞笑            
(4星)	 挺好看的，只是没有第一部精彩，希望能再出第三部哈~~            
(3星)	 高人气的皮耶！            
(3星)	 虽然侦探部分很无聊，但系还是很搞笑            
(3星)	 不如第一部，很多案件太牵强了。有点把观众当傻子的感觉            
(3星)	 最爱罗sir```哇咔咔```            
(3星)	 超级大烂尾            
(4星)	 中规中矩还可以，具体案情已经忘记了，只是记得madam在生死关头宁可舍弃自己也要救对方，谁说“夫妻本是同命鸟，大难临头各自飞”！            
(4星)	 好像比第一部好点不当推理剧，当笑片看可惜没有马明……            
(3星)	 原来大段模仿了怒汉。。。            
(3星)	 古灵精探            
(3星)	 后面怎么越来越难看了……            
(3星)	 基本跟&#34;B&#34;没关系...            
(3星)	 开始不错看，后半段有点流水账            
(4星)	 萧正楠那么早出场，算是客串里的大卡了。哀叹，什么时候tvb也能找真的大卡来客串凶手。            
(NA)	 好看过第一部。            
(4星)	 喜剧才是正经事。            
(5星)	 郭氏大集合            
(3星)	 结尾逻辑好差。。。            
(3星)	 二不如一……            
(4星)	 女人好可爱，钢管好性感啊~~~~不过就是结局让我有点无语。。。            
(4星)	 案子环节稍弱 但是所有演员都很卖力 很搞笑 超级喜欢晶晶和佩佩哟！哈哈 大口英也很可爱PS：编剧原来也是电锯老头的FANS            
(5星)	 笑死我了            
(3星)	 一般般            
(4星)	 依旧狗血得有点味！            
(3星)	 最喜欢搞笑加破案的了。好看。            
(3星)	 最喜欢里面的icy姐姐            
(2星)	 有些无聊。            
(2星)	 居然比第一部好一點            
(5星)	 如果有另一个时空 我一定会励志成为一个侦探的            
(4星)	 虽然每部结局都囧得离谱了，但是还是有笑点的【大口英是亮点，姑妈是萌物=V=            
(3星)	 BB是线索噗哈哈            
(4星)	 其实以案件的悬疑程度来说，不如第一部，但演员搞怪的程度甚于第一部            
(NA)	 剧里每个人看上去都好弱智啊 囧            
(1星)	 完全没看出这部剧有什么有意思的地方，不过郭羡妮的转型倒也算成功            
(NA)	 捏着鼻子看完的，剧情不如1，打发时间而已            
(NA)	 侦探类。            
(NA)	 江苏综艺下午档            
(NA)	 推理+欢乐~我的爱！            
(3星)	 郭晋安你老了啊。。            
(NA)	 大爱无话说啊。。。就是大陆的最后剪得太狗血了。。。            
(4星)	 真不错            
(2星)	 不用正常理性思维去看就得。笑笑而已。            
(5星)	  TVB 郭晋安 郭羡妮             
(4星)	 不知道被广电总局剔除了灵异部分的阉割版最后几集要怎么自圆其说。= =            
(3星)	 又是人格分裂，又是魂断蓝桥的通灵桥段又是两人被吊天平两端的桥段...想打四星都难            
(3星)	 笑料加了 案件有点= =  大口英 不要跑 还跑！            
(3星)	 我觉得还是蛮有趣的            
(5星)	 嘿嘿。            
(4星)	 我是有了后遗症吗，怎么老觉得郭晋安看着傻乎乎的····            
(3星)	 搞笑而已            
(NA)	 小孩可爱。            
(4星)	 配角很出彩！            
(3星)	 貌似真是看过，不过每次都想不起来，还是喜欢第一部            
(4星)	 还不错啊，还蛮喜欢这种轻松搞笑式的刑侦节目的~~            
(5星)	 超级喜欢 不管案情如何 看起来很开心 开始郭晋安 郭羡妮 演技不错~            
(4星)	 我是来挺大口英的！！            
(4星)	 搞怪电视剧            
(4星)	 第二部比第一部好看~不过案情还是很简单啊，每次看完一部剧都有点失落感哎~            
(5星)	 B的案件除了最后终极大BOSS完全雷掉之外比第一部更有看头，捧icy和小定还是下了力气的。Icy啥时候上位个看看。Madam比第一部更酱油，配角的出彩点很多很不错。那个雷死人的结尾，还有倒数第二个人格分裂案也很突兀很窘迫好嘛？好人坏人转换给店铺垫啊那么生硬感觉像编剧被雷轰了一下来轰观众了。            
(3星)	 二郭真二。。为毛不叫古灵精探二            
(5星)	 郭女王就是搞笑也很赞啊！！            
(3星)	 其实这两个演员都是可以的 但是我就是没那么喜欢该肿么办！            
(NA)	 SB剧            
(NA)	 弃了。            
(3星)	 后面的不合正常人逻辑的各种灵魂转移啥啥啥的实在让人orz            
(3星)	 破案还是可以的            
(3星)	 各种闹            
(3星)	 还好的啦，佐对电视剧已经无感，所以三星也不算低咯。里面的人物看着还都不错，漂亮女生很多哦~            
(NA)	 - -            
(NA)	 超棒的TVB，好好看~~~            
(4星)	 那时候觉得还不错            
(3星)	 最后居然学jigsaw...            
(3星)	 消遣时光好伴侣            
(3星)	 看了一就看了二- -            
(4星)	 不错 追过来看~            
(3星)	 哈哈哈            
(3星)	 大口英！            
(5星)	 挺有意思的            
(4星)	 和表妹晚上熬夜看的哦~            
(4星)	 还是比较喜欢破案片..            
(4星)	 没1好看。            
(3星)	 还是第一部好看            
(4星)	 感觉一般吧，能看一遍，但没必要接着看，            
(3星)	 最近不知道是不是推理饥渴啊。。看了一整天的推理。。目前换法证。。。            
(4星)	 延续了第一部，还蛮不错的。            
(3星)	 倍儿烦郭羡妮            
(3星)	 中规中矩吧，没有太出彩            
(3星)	 郭晋安念对白时，语气找不到重点。            
(3星)	 案子越来越。。。最后还搞成了电锯惊魂￢_￢            
(4星)	 不错哦            
(5星)	 继续高亮，我高考前一个晚上为追看结局差点没睡到觉= =            
(5星)	 也是我喜欢的类型，破案剧永远都是我的大爱~~~~~~~~~            
(5星)	 很喜欢哦~无厘头的侦探剧~还有美美的郭羡妮等养眼的说·            
(3星)	 和考试差不多了，看完就忘了            
(4星)	 古灵精探两部都很好看，很特别的刑侦剧~            
(4星)	 蛮好看的说            
(3星)	 第二部也还可以，结局比较好看，花了一个下午终于看完了.......            
(3星)	 比第一部更牵强 居然还拍第三部            
(2星)	 这算什么烂剧情。。。            
(3星)	 没有1好看            
(4星)	 个B好得意            
(4星)	 没有第一部的灵气，但还是好看很热闹的说。挺喜欢郭羡妮那个样子的表演。适合各种心情的时候观看。            
(5星)	 很好看啊 第一部和这一部都很好看 最喜欢看破案的和有一点点爱情的故事了  学到很多知识  还有黄长兴演的不错 很帅啊~这部剧除了2个主角 其他配角都很给力            
(4星)	 罗SIR很可爱！~总体还不错，挺好笑的。            
(4星)	 就是不喜欢里面正义感情那纠葛额            
(4星)	 纯粹觉得那个刑晶晶有病 一直追这大嘴英不放 从第一部追到第2部 还在追            
(NA)	 更乱七八糟            
(4星)	 第一部那个坑爹的结局才有了第二部            
(5星)	 比1还好看啦~ 几个新角色蛮可爱的~~ 希望再出3啊。            
(3星)	 和弟弟一起看的，没第一部好看了~            
(4星)	 还好，虽然唔中意郭羡妮，但系有郭晋安，演技搭够晒啦。。。            
(4星)	 无厘头破案尽显港式幽默            
(4星)	 笑过了就忘了            
(4星)	 很好看的说~~            
(3星)	 每次看港片，都很感叹里面的配角真是选得好。可怜的大口英和晕血的小凤姐，实在给我们带来了太多的欢乐啊！第一次看到郭峰演如此搞笑的角色，哈哈。            
(4星)	 男主角演了太多的侦探了吧            
(3星)	 自从郭晋安演过阿旺 他在我的心里就已经定格异于常人了!            
(5星)	 罗sir好可爱，，            
(4星)	 虽然推理比较弱智，但是比第一部出彩多了，多了很多亮点人物，詹树邦，高材生和罗sir真是喜感十足。            
(4星)	 &lt;突然记起我看过&gt;结局    太悲了！！ 呜呜咧~~ 剧情还是比较新颖             
(3星)	 同古灵精探一样，比较无聊。            
(3星)	 最近半夜老看这个...搞笑的就是抄袭痕迹太多了            
(NA)	 看了几集，意外的发现有点重口味            
(NA)	 只看了一点点儿,实在是            
(2星)	 断断续续看了十几集 后来就没关注了            
(3星)	 剧情越来越没谱了，但还是喜欢这风格的侦探剧。            
(4星)	 TVB还是整这个靠谱，又贱又小市民，独乐乐不如众乐乐，哈哈            
(4星)	 哈哈，这个看着好欢乐的啊，看完后实在就不习惯郭晋安演反角啦            
(4星)	 也不错~            
(4星)	 还行            
(NA)	 应该会是我的菜 想好好的看完 但没时间没耐心没心情            
(4星)	 还好了，够疯颠够无厘头。            
(NA)	 最后大结局吓得我半夜睡不着            
(2星)	 比较狗血的一部，再加上两位主角都不是我喜欢的            
(4星)	 每天追着TVB，都好好看哦            
(4星)	 一口气吖。打发时间還可以啦～            
(4星)	 推理就比第一部弱了好多...大口英呀大口英...噗哈哈哈...罗仲谦的翘翘嘴很可爱！但是不知道为咩我觉得他不帅！高材生整个好像苗侨伟和谢霆锋综合体！！！有木有！~！！            
(4星)	 ~~(╯﹏╰)~~            
(4星)	 比第一部恐怖呦            
(NA)	 就是喜欢两夫妻的故事            
(4星)	 感觉不错~              
(NA)	 大爱~   觉得比第一部好看            
(4星)	 喜欢            
(3星)	 没有第一部好看。            
(5星)	 喜欢两个人啦！好迷郭晋安~\(≧▽≦)/~啦啦啦            
(3星)	 可能因为天生胆小 被吓到了            
(4星)	 BB 以及 pierre...            
(4星)	 没有第一部好看,            
(3星)	 感觉不如第一部精彩……            
(4星)	 小定不錯 陳美詩不錯            
(4星)	 又很好笑            
(3星)	 最后一集真是败笔啊……抄袭电锯惊魂啊……            
(3星)	 嗰个乜台宜家播紧            
(4星)	 瞒搞笑            
(4星)	 Icy姐姐很漂亮            
(3星)	 没事的时候可以看。呵呵。            
(4星)	 刚看两集，要不要这么吐槽啊！！！最亮点啊！大口英！！！还有高材生和发夹男，哈哈哈哈哈！（诶，不过也太虚构了吧）            
(4星)	 结局很不错            
(4星)	 小港剧很好看。鬼怪噶多的。            
(4星)	 一如既往地好看哦            
(4星)	 喜欢男女主角，剧情不错            
(5星)	 不晓得为什么，主角没几个靓的，但是就是很喜欢，真心觉得B比第一部要好看，大概重播太多审美疲劳了...B里的配角很养眼嘎，甘至峰（萧正楠）高材生（高皓生）ICY姐姐....嗲死了~~            
(4星)	 看得很轻松。ICY啊又是鉴证科美女，看来我迷这类型的啊            
(3星)	 越看越觉得想摔电视机是怎么回事= =            
