http://movie.douban.com/subject/4728583/	Giant巨人
(5星)	 2010年SBS演技大賞大贏家。            
(5星)	 凤凰卫视六点半 很值得一看            
(5星)	 太给力了，太震撼了，看完之后太空虚了            
(4星)	 那个演技真真没话说            
(5星)	 还算引人入胜，反面角色演技一流，难得的长篇            
(5星)	 很好，很励志，让我思考了很多...尤其是钱的作用            
(5星)	 8个月，看完了，很好的剧情，深受感动。。。。大家演技都很棒。。。。            
(3星)	 人物多+关系复杂+集数多=台庆片台庆片老选这种大题材，我喜欢不起来...            
(4星)	 又是一个看完很难过的片子。。。演技不错~            
(3星)	 只是为了看金秀炫！            
(4星)	 ……人生中看过的第三部韩剧大概……            
(4星)	 时代背景怪怪的            
(5星)	 我……看……完……了……@voodoochild            
(3星)	 在看片機前停留到部門裡一個人都不剩，保潔阿姨關燈鎖門的那些晚上，就是在看這片            
(4星)	 这段时间一直跟老爸老妈看凤凰台~~~~~~~~应该还不错，是我喜欢的剧情。李强慕的扮演者让我想起了白色巨塔的那谁来~~~~~~~~~~            
(NA)	 鳳凰衛視播放得如此漫長            
(3星)	 还是喜欢李凡秀            
(4星)	 政治剧，作为韩剧，纠结劲儿一点都没少，这点，我选择原谅。            
(5星)	 用實力扳倒歪曲的世道。“不是正義的人勝利而是勝利的人光明磊落。”強慕對說這話的珉宇不以為然地笑了……impress!            
(4星)	 韩国 朝鲜语            
(4星)	 也太多集了吧....              
(3星)	 Giant            
(NA)	 精神萎靡，看看这个就有力气。            
(NA)	 童星是亮点。。。            
(3星)	 专门看秀炫来的~据说演了前八集~对了秀炫的上司貌似是你能听到我的心吗女猪的老爸呀~只看了07、08，秀炫和男猪的小演员都不错呀~不过不太喜欢看这种太现实太黑暗的剧= =            
(4星)	 噢，民宇啊，你好迷人！！！            
(5星)	 唉，真的无话可说。喜欢看就是喜欢看！            
(5星)	 这片子绝对是韩剧中少有的史诗巨作，值得一看。            
(4星)	 有内涵的棒子剧 还好结局是这样的             
(5星)	 最后一集哭成泪人儿            
(5星)	 大剧就是大剧，非常棒~            
(5星)	 太经典的一部韩剧            
(5星)	 好看啊            
(5星)	 看到相爱的人反目，这剧闹心啊！过程跟结局都有出乎意料的地方，好看！            
(NA)	 60集全部看完，真棒，紧张的节奏，不屈的意志！            
(3星)	 女主角长得像大妈            
(5星)	 很庆幸自己看了            
(NA)	 刚开始看有点想哭            
(4星)	 难得的韩剧，但我还是止于30集，老觉得长大后多了感情纠葛就纠结了。据说跟伊甸之东相似。            
(5星)	 编剧给力 反派威武~郑宝石很牛逼            
(4星)	 虽然比较长，但是剧情很紧凑，环环相扣，比起大部分内容简单线条单一的韩剧，此剧复杂多线并进。李凡秀的演技还是一如既往的好，不过赵闵宇（朱相旭饰）这个腹黑却又痴情的男人也让人难以忘记，难怪人气一下高了这么多！            
(4星)	 每天下班看3集，追            
(3星)	 2011-09-23            
(NA)	 个人特别喜爱的电视剧，真实再现了当时的社会            
(4星)	 用情真的可以這麼深嗎？我不信，我不相信            
(3星)	 成功人士都要经历如此的波折吗？剧本不错，可是看着有点累人啊！李凡秀的演技没说的！            
(5星)	 苦苦追了凤凰卫视90大集真是各种伤不起啊~~~~~~~            
(5星)	 It tells me a lot of things。            
(5星)	 大爱李江慕 更爱李凡秀            
(5星)	 作为SBS的20周年创社献礼剧，60集的篇幅，从1970年到2010年跨越四十多年的时代背景，交代了不少韩国现代史上的重要事件，特别是88奥运前后。好像应该是以南首尔开发为背景的戏，倒是让我感觉老是在情报局打转，而且双方的侦查手段实在让我无语。剧情顶多打个及格，好在正邪两派的斗争编剧一直均衡的            
(4星)	 除了拖沓这部觉得还不错。            
(3星)	 没办气追下去了            
(5星)	 一部荡气回肠的电视剧~            
(4星)	 喜欢美珠和珉宇那对，纵使许多人不喜欢。            
(5星)	 男主角很聪明，很男人            
(5星)	 在巨人中我又发现了一位充满实力的演技派大帅哥——朱相旭！            
(5星)	 很不错的韩剧了。。。            
(4星)	 喜欢小朋友            
(5星)	 为数不多的让我一直追到尾的韩剧，60几集啊，没记错的话，剧情和演员都很不错。            
(4星)	 江幕的坚韧让人感动，然而电影终究不是现实，看到后面，觉得有点太假了，呵呵            
(5星)	 80年代的韩国和现在的中国惊人的相似            
(NA)	 这部剧友情链接竟然是看了又看！！！            
(1星)	 简直和我国战争片一样水准，搞不懂凤凰为什么花钱买呢            
(3星)	 晚餐时分的韩剧。            
(5星)	 荡气回畅。SBS台庆剧，史诗一般。            
(3星)	 太长            
(4星)	 都是钢铁炼成的巨人            
(5星)	 韩国也开拍贪官了！！！！！！            
(5星)	 一部电视剧浓缩了这个国家几十年的历史沿革。从李江慕挣扎奋斗的个人经历看到了历史中善与恶、强与弱的较量。            
(NA)	 韩剧就是经典，除了情色外，啥元素都全了！            
(5星)	 这儿童演员和成年演员差距也太大了吧  猛的一换 半天入不了戏啊 感觉换了部电视剧看。。。            
(5星)	 人生啊人生，赵必沿才是真的不死巨人            
(5星)	 怎么样这里面都是一家人            
(NA)	 此剧让我充分认识到自己无敌花痴的本质            
(NA)	 三兄妹的坎坷故事            
(4星)	 嘛……居然一集一集的追下去了……            
(NA)	 剧中人皆“头发上指，目眦尽裂”，煞气毕现，直如修罗降世            
(4星)	
(5星)	 plot写的很好            
(4星)	 极品赵必然，和极坚强的小江幕            
(4星)	 前8集小演员们很精彩~变大人以后就变得很韩剧了。            
(NA)	 为了赵珉宇而看的。。。            
(3星)	 我太佩服我自己了。看完了。60集！而且是韩剧！我太无聊了。。。            
(5星)	 朱相昱            
(5星)	 不一样的韩剧适合男人看瑕疵有两点：赵弼沿这个人做得太极端了韩国的情报部太低能了剧情紧凑，没有拖沓值得一看            
(5星)	 能从头到尾看完这部剧真的很有成就感T-T            
(4星)	 前8集那几个小演员个个都是演技派啊！虽然我一直很疑惑里面的年代与装扮不对称的问题，但是总体来说这部sbs创社20周年的台庆剧还是蛮恢弘的。极其的喜欢这个海报以及片头，难得我又看韩剧了，才发现如今果然偶像剧才是重口味。            
(4星)	 冲着李凡秀去的，中途又看上了男二号，最后我决定嫁人要嫁大哥这样的人~ 哎~我是个善变的女人。。。            
(4星)	 说实话凭我的耐心和对朱相昱的喜爱还不足以支撑我看完全部60集《巨人》，所以只看了珉宇和美珠部分的剪辑。虽然只是韩剧个中俗套情节的组合，我依然拜倒了……PS.朱相昱笑起来的样子和宋承宪真是无比像，不笑的时候却棱角更明显，更冷峻。最近还去客串《我的公主》，好像兄弟站一起哦……            
(4星)	 漂亮的小演员转眼就变成大叔了。T.T            
(4星)	 前八集催泪的要四 要四 要四。。            
(4星)	 妈呀，遇见你我高三还要不要过了！！我喜欢李凡秀            
(5星)	 近期看过最好看的韩剧            
(4星)	 好长啊！可是坚持到最后，编剧太让人失望了，后面情节变得太草率！            
(5星)	 朱相旭饰演的赵闵宇，是这部剧中最大的惊喜……            
(3星)	 @凤凰卫视  其实改成50集就可以啦，100多集拍得累看得也累啊，亲。            
(4星)	 童星那八集是五星。後面的差了一點。            
(4星)	 君子报仇几十年都不晚啊            
(5星)	 60集看得我要死了.不错            
(4星)	 “因为身上沾了点泥，就把在做的事抛弃，那世上就没有成功的人了”            
(NA)	 我错了，又追韩剧了我            
(5星)	 所有分数全部献给李大叔......            
(3星)	 不得不说是烂片啊            
(4星)	 结局吧。。。            
(3星)	 也许李凡秀演年轻江慕成熟了些，导演也知道必会没有吧战线拉太长·~现在好戏才真正开始，李凡秀真的很适合演这种有梦想有激情的人·~够大气            
(4星)	 挺不错，就是太长了。。            
(3星)	 有‘李凡秀’，看看~            
