http://movie.douban.com/subject/2248526/	玉观音
(5星)	 向那些无名英雄致敬。。。。。            
(4星)	 孙俪第一次主演就能演的这么好，确实有灵气。            
(2星)	 演技，太触目惊心了。            
(5星)	 佟大为确实不错~~哈哈            
(3星)	 把孙俪拍老了，何润东演技很好在里面            
(3星)	 年少回忆。            
(3星)	 小说在前，所以对于两位男主角总觉差了小说一截            
(NA)	 初识孙俪            
(NA)	 安心好人物            
(4星)	 挺喜欢孙俪的 一直很朴实            
(3星)	 何润东孙俪很是般配 孙俪成名作            
(4星)	 喜欢何润东，单眼皮男生～            
(NA)	 在我们身边的人不一定是我们最爱的人～～            
(5星)	 安心            
(5星)	 我的安心。            
(4星)	 因为这部电视剧，我才对云南向往到了极点。            
(3星)	 更喜欢书。            
(5星)	 孙俪那时的气质有脱俗的美丽动人心弦，而爱，又是那么的刻骨铭心~            
(NA)	 柔道流行时            
(4星)	 一个女人，偶然认识了一个男人，接着她一个瞬间的的决定，改变了她的一生。            
(3星)	 主要是这几个主演我都不喜欢            
(3星)	 没全看。            
(5星)	 觉得我也可以遇到杨瑞这样的人，不计较我们的过去，却能微彼此改变            
(NA)	 海岩制造            
(NA)	 云南……            
(5星)	 看得我那个感动啊            
(3星)	 初识你。            
(5星)	 安心是我的梦中情人。不是孙俪，是安心。            
(4星)	 不错            
(5星)	 因此喜欢上孙俪。            
(3星)	 装模作样的开局……            
(NA)	 喜欢孙俪...            
(5星)	 喜欢海岩的作品，先是看了书，很喜欢安心这个人物。小佟和我想象中的杨瑞哟差距，不够帅。小孙挺好的，喜欢。            
(3星)	 印象最深的是。。。安熊。。。            
(3星)	 何润东演的相当到位，口音忽略不计。            
(NA)	 海岩片子里我比较喜欢的一部。            
(5星)	 一遍又一遍呢~~            
(3星)	 因为广播!            
(5星)	 孙俪和何润东是我最喜欢的新生代情侣档            
(NA)	 小说好看。            
(5星)	 很喜欢的一部剧.            
(5星)	 一个反例，电视剧比电影强~~            
(NA)	 我爸喜欢看，我陪他看的            
(NA)	 比电影版强很多            
(NA)	 拍摄画面很有古朴怀旧的感觉。一些闪回的手法也蛮新鲜的            
(3星)	 对那个玉佩印象好深            
(5星)	 http://movie.douban.com/review/5046305/   这评论把我想吐槽都说了。 我只佩服海岩的构思。 看了半本小说，然后去看电视剧，接着电视剧看完，发现没心情看小说了。。。。            
(4星)	 好            
(NA)	 一个能打的男主都没有            
(4星)	 孙俪的演技，赞！            
(4星)	 海岩这个写得比以后那些好多了。大老师比何润东顺眼好多好多啊。            
(5星)	 先看的小说 还不错            
(5星)	 当年的孙俪真好看~~~~~~            
(4星)	 高一时的流行剧目            
(4星)	 童年时和外公磕着花生一同看的一部戏。            
(3星)	 哦！我还看过这个！！当时其实没看懂来着~~~~            
(3星)	 女主的各种离奇行为可以用男二号对她咆哮的那些话来直接解释说明；男一号脑壳真的是搭铁了，我信你要等她一辈子，估计你会使用燧人氏取火法打飞机的时候一不小心自焚而死；男二号你好笨。真是笑死个人了。            
(4星)	 现在看比早几年看更喜欢            
(4星)	 海岩风格，将年轻人的青春毁给你看            
(3星)	 都是木头人            
(NA)	 呃，其实海岩所有小说电视剧我都看过吧，马老板喜欢。            
(4星)	 当时看的时候觉得一会是孙俪一会蒋勤勤的            
(5星)	 海岩的本子始终在印证一件事情：哪怕是小小的选择也会影响你的一生，而且无法抗拒，无力挣扎！把美好的人生毁灭给你看！            
(5星)	 绝对的经典 又重温了一下             
(NA)	 小时候看过的             
(5星)	 她已经经历了别人一生都不会经历的事情，要有多么勇敢，才能让她最后继续选择做缉毒警察            
(4星)	 总有那么一个人，会让人真正知道爱，要是再加点悲情色彩，就嚼一辈子都不会腻了。其实我不喜欢悲剧，不过有时候“得不到”是记住一件事最彻底的办法。            
(2星)	 不喜欢孙俪演这类思想包袱太重的角色……我想批新版，怕被殴打 囧|||            
(4星)	 看完就记得海清了。            
(4星)	 终于看完了             
(4星)	 每个演员都不错特别是何润东...比电影版好多了!            
(4星)	 当年就那么爱上了白衬衫，黑西服的佟大为。            
(5星)	 最最经典的一部！            
(5星)	 经典            
(3星)	 开头有点看不懂            
(5星)	 爱上佟大为就是这个时候            
(3星)	 不管是电影还是电视剧，杨瑞的演员选的都很失败            
(4星)	 尼玛孩子是人家的干嘛不说啊!!!            
(3星)	 我是为了看海清才看这片子的，结果那时她是个配角而已。            
(4星)	 小学时跟我妈一起租碟看            
(4星)	 看上佟大为了            
(3星)	 别再折磨安心了行不行？            
(4星)	 整个故事虽然没有连续完整地看完了，但是一直都很梦幻。孙俪、佟大为的组合非常好！当然还认识了海清！            
(3星)	 其实没觉得海岩的剧有多好            
(4星)	 启蒙，史诗            
(4星)	 泡沫之夏的早期版~            
(4星)	 很久很久前貌似是和蛋媽追著來看的 覺得孫儷演不錯 然後就一直糾結著 爲什麽不選毛杰爲什麽不選毛杰爲什麽不選毛杰爲什麽不選毛杰爲什麽不選毛杰爲什麽不選毛杰            
(5星)	 我爱。            
(4星)	 海岩剧印象最深之一            
(4星)	 一直就不喜欢佟大为，觉得他好丑演技又不佳。孙俪那时像一朵小花儿~~            
(4星)	 那会好像还在上初中吧 当时认识孙俪了            
(2星)	 孙俪怎么能是凭借它火起来的呢？            
(4星)	 孙俪个演技啊。。            
(5星)	 没看完。不过看完了书。            
(5星)	 特别喜欢，开始稀罕孙俪            
(4星)	 为了原著投高分            
(5星)	 经典，听说在翻拍新版的？            
(NA)	 不喜欢孙俪            
(4星)	 涩涩地~            
(4星)	 悲剧地安心。帅气何润东            
(3星)	 看这个的时候，何润东在我心中还是一个偶像派的帅哥，现在都成大爷了            
(3星)	 哎哟 何润东呀~            
(4星)	 就是不喜欢佟大为            
(4星)	 当初看很喜欢。现在回想起来自己也有那样追看国产言情电视剧的时候呀！            
(3星)	 书比较好看~            
(4星)	 何润东秒杀了我            
(4星)	 最初为了何润东开始看这部剧，结果发现了现在大红的孙俪和佟大为。            
(4星)	 老片了 美好的回忆~            
(3星)	 为什么没有人谈谈安心的母亲？这个伟大的女人难道我们生命中就只剩下所谓的爱情？            
(3星)	 有没有人和我一样，从来都不觉得何润东帅啊。。。            
(3星)	 安心，真的很安心。            
(4星)	 如果我为了一个女人做了什么，一定是为孙俪这样的。敢爱。敢恨。            
(3星)	 我那时候觉得孙俪呀，可男人了，            
(NA)	 这个注定了就是个悲剧，即便是毛杰，也不是彻底的坏人，所有人在命运的旋涡中无奈地越陷越深。。。为什么毛杰没有被拯救呢            
(4星)	 这片绝对是我很喜欢的、但很压抑            
(5星)	 我以为我会像小时候一样的喜欢、理解它...却发现长大后的自己反而增加了许多不明白~~            
(4星)	 连续剧比书好看            
(4星)	 何润东挺可怜的，佟大为也挺可怜的，孙俪也是...            
(3星)	 海岩那阵子很火            
(NA)	 剧情不够吸引人。            
(5星)	 孙俪佟大为最本色也是最精彩的诠释角色，导演演员选得很到位，希望不要再有不知深浅的导演翻拍            
(3星)	 我觉得这本书本身就挺扯的            
(4星)	 白描缉毒警察的生存状态            
(5星)	 孙俪出道，看了之后就开始追她后来的剧……再后来拍太多了也就看腻了……            
(NA)	 当年一万个人让我看，都没有看过一集。这两天却一口气看完了，孙俪演的还真好。佩服自己的慢热~~~~~~~            
(5星)	 “请你一定要比我幸福。”             
(4星)	 那会儿可喜欢何润东了            
(NA)	 何润东啊何润东。。口水...            
(NA)	 那个配音很好听            
(3星)	 记得一句 我叫毛杰 这是我弟弟毛巾~            
(NA)	 这部捧红了孙俪~~~            
(3星)	 有个镜头孙俪下面只穿裤头 当时我还小-.-||            
(3星)	 于是孙俪红了。            
(NA)	 囧..            
(3星)	 比电影版的好看！~            
(5星)	 我愿意等，因为我知道有一天，她一定会回来，你们的组织不能让她工作一辈子，请你转告安心，我就在我们的家等她回来……瞬间，泪眼朦胧            
(5星)	 少数的电视强过电影的作品。            
(5星)	 都在坚持自己的事，            
(3星)	 曾经看不厌的剧集···            
(3星)	 赵宝刚的经典作品之一，孙俪确实是难得长得漂亮的演技派。            
(3星)	 孙俪挺好看撒            
(5星)	 我喜欢这样纠结的剧            
(4星)	 都演的挺好            
(4星)	 喜欢~孙俪            
(4星)	 没有看完整 佟大为印象深            
(4星)	 不错...            
(5星)	 这样的爱让人承受不起            
(3星)	 让我认识了你--孙俪            
(NA)	 超级经典！            
(4星)	 何润东            
(4星)	 虽然已开始看到佟大为我有些失望  但是孙俪在里面还是真的不错            
(3星)	 般            
(5星)	 喜欢喜欢            
(3星)	 貌似当时没看懂            
(5星)	 喜欢片头曲            
(5星)	 SARS的日子            
(5星)	 海岩剧中最喜欢的一部            
(NA)	 比我幸福            
(5星)	 好喜欢安心——好喜欢毛杰——好喜欢杨瑞——最喜欢海岩的“这”部剧！！            
(3星)	 海岩总是把帅哥靓女们的故事写的特悲情  如果是现实往往不会这么巧吧   不过这个故事中毛杰那一段写的真是迷人 多么错综复杂多么难以说明白 多么...  如果我是毛杰 我会怎么对待自己对安心的情感呢 如果我是安心 当时会在船上的时候告诉毛杰真相叫他快跑的吧  非常不喜欢孙俪和何润东 不过 偏偏他们两个把角色诠释的真是完美   虽然不是很懂作者到底要表达什么   自己理解是告诉大家安心其实是有大爱的女菩萨 她给毛杰  甚至杨瑞都带来了救赎吧    虽然冲动的毛杰最后也没能明白    至少杨瑞有懂得吧    对            
(NA)	 比电影版好            
(5星)	 不得不爱~~            
(5星)	 早就知道了这部电视剧,一直却只是在电视上零落看过几集,前几天周四晚上在电视台看到在播,正好有时间,第二天就在网上开始下载,周五,周六,还有今天,三天时间看完了,很喜欢,孙俪演得真好,那种20出头的纯真女孩还有后来逐渐成长起来的坚强妈妈都被她诠释得那么好,也喜欢里面其他的人物,杨瑞,毛杰,潘队长,铁军......原来不知从什么时候开始喜欢佟大为的,最开始只是因为他长得像一个人,但觉得他的演技并不如何,总是那中吊儿郎当的愣头青形象,但这部剧可能是他当时的形象和剧中的人物契合吧,也许是他当时真的演得很用心,反正            
(4星)	 毫无疑问，安心真爱的只能是相知相许的杨瑞。毛杰只是寂寞的时候一时的诱惑，铁军更只是未涉真爱的女生一个依靠的选择而已。            
(3星)	 很讨厌女主，好同情毛杰            
(4星)	 那时没有看懂            
(NA)	 我想直到我死去，我还是会相信爱，因为相信她。。            
(3星)	 就是看了，還行吧我覺得            
(5星)	 全为孙俪            
(4星)	 当时的孙俪多纯            
(4星)	 孙俪第一次演这样的角色不容易啊            
(2星)	 一般，没有小说吸引人            
(4星)	 当年看后 很伤心            
(3星)	 电视翻拍的作品往往都没有原作的书好看，这好像已成为定势。            
(5星)	 认识上孙俪，从安心开始，一直觉得孙俪很适合安心这个角色，安静，隐忍，感情细腻。            
(4星)	 要比我幸福            
(NA)	 俺...俺爹说好看...晕...            
(3星)	 大爷，你就饶了我吧，我本来就不喜欢佟小眼，你偏要给他安个帅哥名头，不是让我更不喜欢他嘛            
(4星)	 挺苦的，看完这部戏，就喜欢上了的这三个主角            
(4星)	 从这里妈妈也开始喜欢何润东了呵呵            
(4星)	 看过一半..悲惨.            
(4星)	 很好看的...三个主演我都很喜欢...            
(4星)	 回头看这几位，现在全是腕儿啊，经典！            
(4星)	 海岩还是很不错的~            
(4星)	 错觉，爱情。            
(5星)	 名字其实不是很懂，但是感情却很深            
(5星)	 很喜欢安心            
(3星)	 赚取了我无数眼泪的            
(NA)	 毛杰很善良。他相信爱情，相信安心。我相信，倘若安心与他幸福过下去，毛杰会走上正途。遗憾。还有，我相信爱情。            
(5星)	 很喜欢孙俪            
(NA)	 看了很多遍             
(NA)	 以前不知有啥好看的，后来就觉得很有味道，也许触动了哪根弦。有点喜欢坏人何润东，坏人也是有感情的，而且也会和好人发生感情。原来海岩剧真的不错。            
(4星)	 初始孙俪。            
(5星)	 这部片子的结果就是让我从此喜欢上了孙俪跟佟大为            
(NA)	 孙俪            
(4星)	 安心..            
(4星)	 先看的书后看的剧，对于男主由佟大为来演仍百思不得其解。孙俪不错。            
(NA)	 孙俪总是苦情的角色……佟大为是我的挚爱            
(4星)	 命运让人无力，但是依然要继续抗争。            
(4星)	 如果有个人也能这么爱我。。。            
(4星)	 嗯。。。悲            
(5星)	 当年被这部剧感动的一塌糊涂            
(NA)	 不喜欢这里的孙俪，感觉很悲情            
(NA)	 一切就像一场梦            
(5星)	 清纯无敌的孙俪啊            
(5星)	 那些日子的震撼，反反复复...            
(4星)	 值得一看，值得一哭            
(4星)	 那时很迷佟大为··奋斗反而至今没有看··            
(4星)	 ,,            
(3星)	 那时候我喜欢佟大为            
(3星)	 因为这部剧，我到现在还很讨厌孙俪，因为我很喜欢杨瑞．            
(5星)	 好看~！！！！好看！！！！            
(5星)	 安心~~            
(4星)	 光看演员是没啥兴趣,可是这是海岩的作品,所以依然喜欢            
(5星)	 也是部老片子  怀念            
(4星)	 何润东 你太可爱            
(NA)	 一如既往的不知道海岩剧的结局            
(4星)	 孙俪不赖呢            
(5星)	 很简单柔美的电视剧            
(5星)	 第一次读海岩的书，就很喜欢            
(NA)	 玉观音             
(NA)	 东东～！            
(4星)	 喜欢安心。。。            
(NA)	 悲伤爱。             
(3星)	 。。。。            
(NA)	 玉观音 连续剧             
(4星)	 这里面的佟大为是我认为最帅的佟大为！            
(4星)	 回想起来依然有种疼痛和隐忍。“比我幸福”才算大爱？。            
(4星)	 看这片，认识了孙俪。            
(NA)	 有一段时间很喜欢何润东～            
(NA)	 喜欢看海岩的            
(5星)	 结尾不错            
(4星)	 喜欢安心的纯。。            
(4星)	 女人的生活            
(NA)	 玉观音.            
(5星)	 佟大为有点个性 就是那眼睛啊 太没精神 老像没睡醒样的 情节很好 喜欢            
(5星)	 喜欢画面色彩            
(3星)	 以前看到没关注，原来是很好的            
(NA)	 内心很复杂            
(NA)	 電視劇            
(3星)	 人家还喜欢孙俪            
(4星)	 不错啦            
(5星)	 也许是看了这部片子后，我学跆拳道的欲望愈演愈烈。不要太多人拥有这种苦恋。            
(4星)	 主角蛮喜欢。            
(4星)	 最后一部认真看完的海岩剧            
(5星)	 两个主演，表演精湛            
(3星)	 凡有所相,皆为虚妄            
(5星)	 只要你过的比我幸福。            
(NA)	 和我妈一起看的.            
(4星)	 海岩经典            
(5星)	 很感人            
(4星)	 佟大为            
(3星)	 安心真的能安心吗？            
(4星)	 顽强，信仰            
(5星)	 无懈可击            
(3星)	 补遗            
(4星)	 再怎么看还是毛杰让人最心疼            
(3星)	 不喜欢女的，两个男的都喜欢            
(4星)	 看过《玉观音》的书，觉得这个是最贴近原著的，也可能和第一次看有关            
(4星)	 选择与转折～            
(5星)	 比较经典的一部国产电视剧。            
(4星)	 经典啊！！！            
(4星)	 孙俪成名作            
(4星)	 多年前看过，现在想来仍然悸动。            
(2星)	 又是太久远的一部电视剧了，只记得是关于爱情。            
(3星)	 这部戏让我印象最深的就是海清。那时候我就记住了她。表演相当有张力。很喜欢她的个性。多年以后我甚至忘记她就是当年那个我最喜欢的角色了。            
(4星)	 好吧我为了peter才回去看这么老的片子的            
(5星)	 结局很残酷，很真实，完全不虚假。            
(5星)	 美丽的安心……痴情的杨瑞……偏执的毛杰……好爱孙俪啊……            
(4星)	 很生活  妈妈喜欢            
(3星)	 。。。            
(3星)	 一直没看懂            
(4星)	 初中            
(5星)	 很爱的一部剧            
(5星)	 比电影好很多            
(4星)	 海岩剧经典   ~~~  喜欢毛杰呢            
(3星)	None
(4星)	 标注‘看过’。——好像是我看的最全的海岩剧。            
(4星)	 今天看完了《玉观音》 这是我第一次看            
(1星)	 当婊子还想立牌坊            
(NA)	 当时的孙俪是多么的漂亮啊，看了好几集，佟大为就是一打酱油滴。 三星。            
(NA)	 我喜欢这样的故事。            
(NA)	 小時候的記憶啊。。             
(4星)	 很多年前看过，但后面的剧情全忘记了。???            
(5星)	 ！            
(3星)	 一个女孩是否纯洁取决于她的个性和心灵，而不是取决于她的历史。            
(5星)	 我就是特别特别特别喜欢            
(4星)	 安心  这个很有争议的角色   我喜欢    因此喜欢了孙俪            
(3星)	 反感尽拿缉毒开云南的涮~            
(5星)	 很感动的             
(NA)	 很早很早以前看过。。。心疼铁军。。。            
(1星)	 一个婊子{孙俪}和2个高富帅{何润东 大为}和穷矮丑{铁军}和一群吊丝的故事            
(3星)	 又是一次与peter何润东的合作~我们peter永远对爱人那么认真那么真诚那么痴情啊啊啊            
(5星)	 这是我看过的最好的一部电视剧。丁黑，你太让我吃惊了。            
(NA)	 海岩这三部曲都超好看啊不知道为什么看玉观音怎么都看不厌。电影拍得什么东西啊            
(3星)	 孙俪~            
(4星)	 孙俪成名之作，的确不错。同位主演，反观 佟大为，演过数部戏，表演僵持不化，堪称面瘫。面瘫也就罢了，看看人家北野武            
(4星)	 一部印象很深刻, 却又不能想起多少细节的电视剧            
(5星)	 虐爱言情剧中最喜欢的一部。镜头画面感和音乐都很电影的说。。。            
(5星)	 最爱啊，哎，那么清新的孙俪也没有了            
(5星)	 超级喜欢的电视剧            
(4星)	 海岩的 我就觉得这个靠谱            
(3星)	 断断续续~~            
(5星)	 再次看心里还是一阵悸动            
(5星)	 第一次爱看上的国产电视剧，爱上了里面的安心！但现在再看《画壁》，孙俪的眼袋真显老，老的想￥%……%￥￥            
(5星)	 虽然这是部电视剧 但是为了表达对这部剧的特别喜爱之情 一定要放上来力荐一下~~~            
(4星)	 孙俪第一次出演演技真心好。            
(4星)	 我相信，我只愿意相信，他一定会等到她的！            
(4星)	 很小的时候看过，现在看来，还是不错，喜欢海岩的作品            
(4星)	 比电影版好看            
(4星)	 其实这剧挺复杂的，看着一点也不省心...            
(2星)	 不懂。            
(4星)	 印象里感觉很不错，演员不是严格意义上的帅哥美女，但是演得我很入戏，故事是好故事，孙俪有几场哭戏声嘶力竭的，看着很难过。            
(NA)	 不好看就是不好看            
(5星)	 安心            
(4星)	 曾经深陷故事情节中            
(NA)	 小时候看过的，暂且定义为小时候吧，印象很深刻，看小说哭到不能自已            
(3星)	 3星半            
(NA)	 好看，而且结局妙。喜欢何润东。            
(4星)	 缘起于419，捧红了男二号            
(1星)	 讨厌这些演员不解释            
(NA)	 那时候的孙俪还很清纯            
(5星)	 毛杰是我永远的爱！！！！！            
(4星)	 3颗半            
(4星)	 向高尚的同志们致敬！            
(4星)	 看得太纠结了            
(5星)	 还记得小电视，记得调皮的孩童时代。            
(5星)	 孙俪出现的时候，呼吸都停止了。真美。            
(4星)	 最喜欢的海岩剧啊，从书到电视剧，觉得佟大为和孙俪就是杨瑞和安心了            
(NA)	 玉观音。            
(4星)	 那个时候,孙俪绝对是年轻一辈里面演技好的            
(4星)	 经典，海岩制造。            
(4星)	 我是海岩剧控么？            
(5星)	 最爱的国产电视剧            
(3星)	 只喜欢前半部分             
(4星)	 回忆。。。            
(NA)	 何润东的毛杰还是很不错的            
(4星)	 有场戏在哥的店里拍的~嘿嘿~            
(5星)	 第一次那么细心地看一部电视剧，现在估计是没有那个耐心来每天等一集来看完一部电视剧了吧。。。心越来越浮躁了，没有那个耐心了吧。。。第一次被孙俪惊艳到了，也认识了佟大为，很意外何润东居然也是主演。。。主题曲和那个mv让我记忆犹新。。剧本也很好            
(5星)	 我最爱的电视剧            
(4星)	 典型的海岩剧            
(5星)	 故事很感人 孙俪把安心诠释到了极致 海岩老师真是一把感情的利剑            
(4星)	 孙俪的代表作，那时的她还很稚嫩呢，第一次主演这个角色真得是一次挑战呢。            
(4星)	 海岩啊  捧出了多少人啊             
(5星)	 特别爱            
(4星)	 总有那么一个人，会让人真正知道爱，要是再加点悲情色彩，就嚼一辈子都不会腻了。其实我不喜欢悲剧，不过有时候“得不到”是记住一件事最彻底的办法。            
(5星)	 记得 从这里开始知道了孙俪、喜欢了孙俪。            
(3星)	 看不进去            
(3星)	 故事情节太慢。，            
(3星)	 想当年我也是海岩迷啊，还有他的书呢            
(5星)	 和永不瞑目一样不能颠覆的经典            
(4星)	 我是看着你长大的。            
(5星)	 最好看            
(4星)	 欧欧欧 好看 死了            
(4星)	 想当初十分着迷,刷了一个夜机看完,现在想想很羡慕自己当时的体力,没睡觉第二天照常上课            
(4星)	 还可以··  ·· 孙俪那时还挺漂亮            
(NA)	 挺喜欢            
(3星)	 看了一半。。。            
(4星)	 看完心里很痛，很敬重她们。            
(4星)	 初始孙俪，很纯。            
(4星)	 首先写的好，其次孙俪的确演得好，没的说。当然男主角选佟大为有点不大好，主要是因为他的确算不上英俊，导致像后来那个有钱女人爱上他的情节就有点诡异。如果佟大为再英俊一些，这部电视连续剧就是完美的，各个方面，包括画面、音乐等等。            
(4星)	None
(NA)	 成名作吧            
(4星)	 当年她好清纯啊，脸还肥肥的，鼻子也有点大，不过就是好看!            
(3星)	 孙俪和赵薇都很适合安心这个角色。 我真是越来越宽容了...已经不记得电视版的剧情发展。我只是觉得看电视剧和电影要用不同的标准来衡量。很多人都错乱而苛刻了。            
(4星)	 纯啊嫩啊            
(4星)	 孙俪是我看过海岩剧里找的最好的一个女主角了            
(4星)	 安心命运多舛，真的很令人痛心。。。            
(5星)	 感动至深，崇高的革命精神。            
(2星)	 声名鹊起，却毫无吸引力。            
(5星)	 隔了那么久又重新看的电视。可能这样子苦难的人生更加让我心怀共鸣和难过，因为苦难中还是存在温情。            
(3星)	 小学时很喜欢这片。。            
(3星)	 影评太犀利了            
(NA)	 那时候还不喜欢佟大为，只是很想知道他跟孙俪的结果，还有那时演毛杰的何润东~            
(3星)	 多年前看了这部电视剧，对安心的厌恶从未消减。她能不劈腿么？能别那么博爱行不？三个爱你的男人，伤不起啊伤不起~            
(4星)	 还算有自知之明的安心。每次我要恨她的时候，她又干点儿靠谱的事儿            
(5星)	 像电影一样去剪辑，像电影一样去配乐。也像电影一样经得起推敲。选的演员也太经典了。            
(4星)	 最美的安心            
(4星)	 孙俪成名作，佟大为晋升为一线男一号的电视剧。当初先看的书，很喜欢。佟大为没有成为男一号前极看好他，所以当时也为他能成为男主角兴奋了很久。书上说，安心长的像章子怡，本人喜欢章子怡，但是孙俪的出现仍然没让我失望，可见孙俪的处女作还真是不错。压得过当时已经是国际章的前辈。《玉观音》始终            
(4星)	 出轨那场劫难。。。            
(NA)	 很希望安心和何润东在一起，我觉得自己没有大爱，真的 ！            
(4星)	 看完新玉，再看老玉，还是老玉好看啊！            
(4星)	 花了四天时间细细看完。不得不说这是能让我耐下心看完的为数不多的电视剧之一。            
(NA)	 拍出来了作者所有想表达的，孙俪好美            
(NA)	 骚海岩            
(5星)	 爱上了那个年代的故事 沉静的醉人            
(4星)	 江山美人总是两难全。有的爱江山不及爱美人，就像毛杰，整一个情种。            
(5星)	 挣扎的爱情            
(5星)	 这部电视剧真的很棒。            
(5星)	 看了三四遍吧，一直不能释怀！            
(NA)	 内容几乎跟书完全一致，导演的影像风格也不错，道具场景也很真实，佳作。            
