http://movie.douban.com/subject/3113419/	新楚留香
(3星)	 很多我喜欢的女演员            
(5星)	 敢问小说楚留香最后也是这个结局吗？            
(3星)	 当初脚得林心如好美            
(2星)	 总觉着还行，但是我讨厌任贤齐，所以扣一星···            
(3星)	 众星云集的一版！美女们那时都正当年啊——黎姿、杨恭如、袁咏仪、陈法蓉、林心如、林熙蕾、张茜、杨蕊、万绮雯。情节相较原著改动了很多；主题曲很有FU，小齐哥那些年演了好多古装啊，演楚香帅还是尴尬了点儿。。。            
(3星)	 这电视剧没看完            
(3星)	 美女多也是收视率保证啊            
(4星)	 养眼            
(3星)	 虽然很烂很垃圾。。。但是，这个cast也太强大了吧！！！再凑齐很难，几乎绝迹了...            
(3星)	 小齐哥真的不够帅，强扮帅的事干了也不是一回了，习惯吧。但这剧美女帅哥还是很多，不管是主角还是配角还是酱油。另外小齐哥的片头片尾曲还是很赞的，很喜欢《飞鸟》。            
(3星)	 很喜欢的一版            
(5星)	 当年喜欢的不得了            
(NA)	 女演员阵容强大，只是任贤齐啊，你演了杨过演了令狐冲，还要演楚留香，还是好好唱歌吧！            
(4星)	 这部剧无论选角(美女多，而且各有特色)，配乐(花太香，飞鸟)，剧情编排都是大好，算是我最喜欢的一部楚留香传，有人说任贤齐长得不够帅，但我觉得他真的把盗帅的那股侠气与风流演出来了。秋官的那版被奉为经典，我看过却觉得有些老，虽然要说武功，秋官的身手更好，但故事情节来说，我还是跟喜欢这版            
(NA)	 这个最火了！            
(2星)	 实在不忍将它归纳到台剧里，不美型啊            
(4星)	 当年的任贤齐人正当红，围绕这剧就出了很多豪气的武侠歌曲。林心如的扮相动人。            
(5星)	 我想说这个剧之中，任何一个配角拿出来都是其他剧的脊柱——你看到当年的黎耀祥了么？            
(5星)	 回忆中的超爱~            
(4星)	 里面美女超多！             
(3星)	 哇靠，这也是王晶的。。。。小时候 还很喜欢看啊            
(3星)	 唔，没感觉对男的。            
(3星)	 美女阵容比较强            
(5星)	 黎姿            
(4星)	 美女如雲啊~            
(5星)	 这是我最喜欢的版本啊。。。一任风度翩翩处处留香。。。            
(3星)	 當年純粹是因為黎姿而去追看的。想來這部電視劇只是平平淡淡不出彩。而且任賢齊的楚留香實在不敢恭維，他還是老實去唱歌的好。            
(5星)	 看多少遍也不腻呀，不过真是不喜欢结局两人的组合            
(4星)	 大爱苏蓉蓉~大爱黎姿~~~“伊人风度翩翩处处留香月光山中幽幽亮”“不带一点伤，走的坦荡荡”估不到楚留香最后同薛可人一起“每段感情就似一个赌局”            
(3星)	 阵容很强大，剧情很狗血，结局真心不喜欢。            
(3星)	 喜欢的美女最多的一部戏，话说演员都是我喜欢的啊，所以剧俗点烂点也可以原谅了，主题曲超级棒，当年在网吧里看的            
(1星)	 剧情乱七八糟，漏洞百出。我是来看女演员的。。。。            
(NA)	 好多美女哦，小时候好喜欢看的            
(5星)	 很好看，扣人心弦，悲伤的来不矫情。很好看            
(3星)	 当初可是看到不想去上学的，虽然小齐的形象呢，那个，大家懂的，但是整体上海是挺好看的，喜欢杨恭如            
(5星)	 一代香帅，处处留情。            
(3星)	 歌好听，以前觉得一般，但朱版出来后，我真是觉得好看啊！！            
(3星)	 突然心痒想看楚留香，手贱又重看这部东西了orz一听到小李飞刀，我就扛不住了orzzzzzzz编剧，我擦！！！！！！！            
(2星)	 你！还有那个卖羊肉串的！能不能别糟践香帅了            
(2星)	 我嘞个去，美女如云啊~~但是这男人吧  怎么就敢演楚留香！！？？            
(3星)	 我看过介么多的电视剧啊……            
(NA)	 哎。。。。。。            
(3星)	 哎，我好像只看过二十集的样子            
(2星)	 小齐 你脸也太大了 不能演那么帅气的角色 你要自我认知明确啊            
(3星)	 那时觉得挺好看 黎姿好靓            
(3星)	 歌不错            
(5星)	 超爱超爱，超爱！            
(3星)	 每次看都看不到别的  每一次都是乾坤圣水            
(5星)	 不管是以前的小学 还是现在的大学 都觉得很好看！！            
(3星)	 明星真多。。连袁咏仪都是来客串的。。            
(4星)	 年少的时候喜欢的不得了  现在却不敢再看了  怕破坏了那份回忆            
(3星)	 袁咏仪为什么那么早就死了啊？！            
(5星)	 当年好喜欢看这个的！也是因为这个片子喜欢任贤齐的            
(4星)	 这部比较好看            
(4星)	 花香是首好歌，孙耀威和张卫健的客串很出彩！            
(4星)	 除了男主角不怎么样..            
(4星)	 任贤齐实在太装逼了，受不了。还是爱杨恭如！            
(4星)	 美女真多！            
(3星)	 为什么女人一件楚留香就爱了？司空星儿真是完美啊            
(4星)	 众多明星~            
(2星)	 难看，结尾处更加无聊，情节完全经不起推敲，白痴电视。            
(5星)	 这部电视剧又是数星星了，明星云集，任贤齐版的杨过也就是杨佩佩版的，小龙女让吴倩莲出演 还是不错的            
(5星)	 最喜欢黎耀祥版的胡铁花            
(3星)	 so不喜欢结局            
(5星)	 最喜欢的一版。            
(4星)	 初一时候看的  卡司阵容也是无比强大            
(3星)	 胜在人多            
(3星)	 美女如云啊            
(3星)	 记得得是任贤齐噶歌            
(4星)	 张茜...黎姿...杨恭如...林心如...风南雁...林熙蕾...张慧仪...小齐同志你也忒high了/各种羡慕嫉妒恨            
(5星)	 挚爱苏蓉蓉！~~~~~~~            
(3星)	 印象最深 黎耀祥            
(3星)	 好早看的电视剧哇~            
(NA)	 就是这个楚留香太丑了~            
(3星)	 呃~~~~~~~~            
(2星)	 朱孝天是大饼脸            
(2星)	 糟蹋美女.            
(3星)	 任贤齐为什么总是演很帅的角色啊,为什么啊为什么啊...虽然他其实演的还不错....            
(4星)	 为什么我觉得这部很好看            
(2星)	 浪费了美女！            
(4星)	 演员我全部都喜欢~~靠！！歌侠主演。不只有马小玲，连演楚留香他妈那个都是马叮当~~还有张卫健极其女友~~天哪。。多么伟大的一部剧。花太香万听不厌~！            
(3星)	 之前看那么有感觉 因为种种原因历经2多到了中考完才全看完 但是却早已没有感觉了 so weird..............            
(3星)	 虽然有很多明星，但我是冲着万绮雯来的，她还是那么美，那么清秀，真的很喜欢她~~在我心中，只有秋官的楚留香~~            
(3星)	 除了美女多点。。其他的算是一无是处了~~~而且怎么也不觉得任贤齐和楚留香搭边呀~~~            
(4星)	 为嘛我觉着挺好的呢            
(4星)	 剧情还可以，不过说实话小齐还是不太适合香帅，呵呵。。最郁闷的是配音，好难听啊。。            
(NA)	 印象最深的是司空星儿和楚留香在大漠的一段，楚留香用鲜血洗净了星儿被控制的心。            
(3星)	 美女很多。            
(4星)	 薛可人！！！            
(5星)	 小齐，超帅的~！            
(4星)	 美女多            
(NA)	 这卡司真强大，美女如云啊！很喜欢客串演出的袁咏仪演的宋西湖，小齐哥演香帅真的欠说服力啊！            
(2星)	 朱孝天这个…………败笔啊            
(NA)	 他演这个，有些意外，不过依然支持。            
(4星)	 美女如云！喜欢黎姿！            
(4星)	 万绮雯。            
(4星)	 黎姿萌            
(5星)	 任贤齐并不帅，但是他出演的楚留香是我心目中最帅的。            
(5星)	 好男儿，真的好看！！看过了《新楚留香》，记住的除了那首荡气回肠的主题曲《花太香》之外，就是那位聪明，伶俐，楚楚动人的李红袖，也记住了那位扮演红袖的张茜……偶然一天，心血来潮，在网上找寻红袖和张茜的信息，突然就发现张茜成了张卫健的妻子……然后就开始感叹，张卫健真的好眼力！！！            
(NA)	   那个谁蛮帅的，万绮雯很美....            
(5星)	 最好看的一步武侠片，主题曲超哎            
