http://movie.douban.com/subject/3026988/	尘埃落定
(4星)	 看了之后有想去看原著的冲动，演员演的还不错，我也没想到我会喜欢看这种类型的电视剧。            
(4星)	 真心觉得这剧很好看啊……当年看的一愣一愣的            
(3星)	 我一直期待傻子上了范冰冰，就是没激情            
(4星)	 小说好看多了~ 这里边宋佳不比范冰冰难看            
(5星)	 命运不能解释。 最聪明的傻子            
(5星)	 阿来的小说，藏家土司的传奇。从片中感受到了时代的变革与旧传统的反抗！但一切个人的努力，终究改变不了大势所趋。唯有最终的尘埃落定。            
(5星)	 全是爸爸妈妈影响我看的好作品 再看一遍            
(4星)	 少数名族 那段特殊的历史            
(4星)	 范冰冰总算有好好演戏的一次～            
(5星)	 漂亮的女人心狠哪；总合着金钱、权利、女人、交易、人性的人生哲学            
(NA)	 傻子有傻福。            
(3星)	 2004年西藏            
(3星)	 还是书牛            
(3星)	 没有书精彩            
(4星)	 拍出书的味道了            
(4星)	 又黄又暴力，哈哈哈            
(4星)	 阿来的原著还买过书呢，傻子二少爷是人生的赢家啊            
(4星)	 大智若愚者，但世上有几人有如此幸运呢？            
(4星)	 记得有个故人说过，二少爷胸前总挂一mp3            
(5星)	 可爱 聪明 傻了吧唧的二少爷~            
(4星)	 难得看到有国产电视剧从这个角度去拍摄西藏的故事...李解很棒啊...            
(4星)	 书比较好看            
(NA)	 最傻的儿子却有着最好的运气，美女，地位，金钱都得到了            
(4星)	 看过这个之后就爱上范冰冰了，太美了~~&gt;&lt;            
(4星)	 喜欢啊            
(5星)	 根据阿来的同名小说改编。原著质量上乘，本剧又较为忠于原著，自然差不到哪里去。            
(3星)	None
(4星)	 高中时代看过书，后来看到了电视剧，诚恳的说，是我的情色启蒙。。。            
(4星)	 土司家庭的哀乐兴衰，西藏农奴制的终结            
(5星)	 一直喜欢这个傻乎乎的聪明小子！            
(5星)	 还记得跟同班女生在电话里讨论红色汉人和白色汉人的往事。            
(4星)	 罂粟~再然后……记不清具体内容了。。            
(3星)	 把原著改得有些不靠谱            
(NA)	 一点都不记得有范冰冰，就记得傻子少爷，呵呵~~还以为是印小天原来是李解啊            
(5星)	 影响深刻的片子，很精彩，很经典，只是不知为什么没有红起来            
(3星)	 范爷彼时看着好漂亮            
(5星)	 很早以前看的。只记得那时候起范冰冰就已经很好看了！            
(5星)	 很出彩的一部电视剧，讲述了一个时代。。。            
(NA)	 小学时候看的，都忘记了            
(4星)	 范冰冰最美的剧！            
(3星)	 很喜欢小说给人的神秘感，可惜电视剧的感觉却弱化了            
(5星)	 喜欢他妈            
(4星)	 原作精彩得多。            
(4星)	 很忠实于原著，李解书中的形象很符~            
(4星)	 原著很赞            
(4星)	 还是要看原著啊、虽然男女猪脚卖相不错。但是我还是觉得黄晓明少了一丝藏族的气息、那种气息是演不出来的、虽然范冰冰极力扮清纯、可还是少了那么一点东西在里面            
(3星)	 看过这本书，觉得拍的没有书写的好            
(5星)	 阿来很天才，不过难免牵涉到政治，殊为可惜。            
(4星)	 小说原作给力啊。            
(4星)	 看了一点，和书的感觉稍稍不大一样            
(4星)	 其实拍得还不错，除了被和谐修改的部分。            
(3星)	 原著的力量太过于强大            
(NA)	 年代久远记不清            
(3星)	 既然是改编的，就应该最大限度的符合原著。。。            
(4星)	 范爷！            
(5星)	 前几年看的这部连续剧 当时就感觉是部极佳的作品 二少爷完全演到位了 他的眼神在最初很长一段时间里 就应该是孩子般的状态 ，那种散光的神情有时看是傻，有时看是充满神奇的幻想，有时则是平静。他的真他的善他的释然，是天山上的清泉。            
(4星)	 电视剧也不错 其中范大姐非常妖艳            
(5星)	 再看尘埃落定,我该收获些什么呢?            
(4星)	 哥哥因为我是傻子而爱我，我因为是傻子而爱他现在，我知道自己不是傻子也不是聪明人，不过是在土司制度将要完结的时候到这片奇异的土地上来走了一遭似的，上天叫我看见，听见，叫我置身其中，又叫我超然物外，上天是为了这个目的，才让我看起来象傻子二少爷看到塔娜时，觉得连骨头里都幸福的冒泡泡            
(4星)	 李解演得很棒，范冰冰的确美艳，结局是败笔，生生改坏了。阿来原著写得太棒了！            
(4星)	 范冰冰出场那一幕！！！！神啊！！！！ps：那傻子有阿甘的感觉            
(3星)	 看过，应该还行            
(5星)	 好喜欢许还幻            
(NA)	 故事不错，阿来的吧            
(4星)	 挺好看的。。            
(5星)	 很好看。觉得范冰冰在演过的所有作品中，只有在这部里面是最有味最美最妖娆的。            
(4星)	 西藏的历史  看看别有风味  有时间要看看原著  李解演的真好             
(3星)	 真不赖            
(4星)	 每次看到刘威演的藏族土司，我都觉得他脸上写了两个字：山寨            
(5星)	 佩服佩服 经典            
(4星)	 很好看            
(4星)	 如果我的回忆还准确的话，剧情相当的不错            
(5星)	 当时看的时候真的觉得超好看的，被范冰冰经验到了。            
(5星)	 阿来            
(3星)	 范冰冰演的这破玩意太屎了&gt;&lt;!!!            
(4星)	 模糊的记得小时候在CCTV8看的            
(4星)	 除了范冰冰都挺好            
(4星)	 一直沒機會看書。            
(NA)	 可以看的电视剧，好像很多年前看的啦            
(5星)	 哲理            
(NA)	 那部小说很情色            
(5星)	 非常别致的题材故事，妙趣横生，神秘莫测。            
(5星)	 看过原著小说，难得有小说改编的不错的电视剧，非常值得一看。            
(5星)	 大智若愚            
(3星)	 当初觉得很好看，现在又去看了下觉得就一般般 也许是因为国内电视剧的关系            
(5星)	 小说比电视剧赞多了，不过为了能搬上银幕导演也忍痛割爱去掉很多部分吧            
(3星)	 把小说的一些意境都改没了            
(5星)	 告诉人们什么叫大智若愚            
(NA)	 觉得比原著还美妙            
(NA)	 原著我很喜欢。            
(NA)	 我是抱着深刻理解这个成语的意图来的。            
(4星)	 看过原著小说 所以不喜欢电视剧版结局            
(4星)	 原著的感觉真好。。所以看剧还是保持那种兴奋。。演员都很不错，尤其是傻子            
(3星)	 原来给的4星，仔细想想真是高了。            
(3星)	 电视版结局是美好的，原著貌似是挂了的，又是美化了            
(4星)	 高中时的回忆，归纳法            
(5星)	 留给我的记忆不错            
(4星)	 莫名的喜欢，选角很好            
(5星)	 高三时听的广播剧            
(5星)	 不错的大陆剧~            
(4星)	 藏家            
(4星)	  范冰冰             
(4星)	 大智若愚            
(4星)	 很小看的，但是对麦琪土司的官寨，印象深刻。            
(4星)	 二少爷~            
(4星)	 小说好看            
(3星)	 是谁说过，看到最后，已经不介意傻子是个傻子了！            
(5星)	 大智若愚 大气若荣辱不惊            
(4星)	 李解同学的傻子二少爷甚是有爱.            
(3星)	 原著好看呢            
(4星)	 挺喜欢这种题材的~但明显还是原著的结局有感觉,电视版的结局又是表现某D宽宏大量的主旋律,和整部片子的主题基调根本不搭.            
(3星)	 范冰冰好漂亮啊            
(5星)	 虽然不喜欢范冰冰~但是这部里她真的很漂亮~            
(5星)	 好看            
(3星)	 我妈特喜欢            
(4星)	 喜欢这种风格 可是书没看完            
(4星)	 拍得比书好多了。            
(5星)	 虽然没有书那么好，但是一直很喜欢            
(5星)	 我最喜欢傻子            
(4星)	 没有原著小说好看，但是男主角演的不错，然后再次发觉范小姐真适合演贱货            
(4星)	 小说不错的说            
(4星)	 华美的藏饰            
(5星)	 挺吸引我的一个故事.结局已经脱离了原作.            
(5星)	 傻子的智慧总是让人感到轻松，看了电视剧才去翻得小说~            
(4星)	 当然书是最好的，不过电视剧也让人看到了那个场面            
(NA)	 好运气就像影子一样跟随我。傻子说。            
(5星)	 好看的电视~李解的傻子，喜欢~            
(4星)	 很老很老            
(5星)	 某人问我你认识李解吗？            
(3星)	 傻子才是小天才            
(3星)	 就是在这部戏里，第一次觉得李解长得不错。            
(3星)	 二少爷到底是笨还是睿智···            
(3星)	 傻的演的挺像            
(5星)	 一不小心~一激动~就把从没打过的5☆给了这个老老的电视剧~~~            
(4星)	 最爱的一本小说。那时候觉得范冰冰特别漂亮。            
(5星)	 几年前看过的一部的电视剧.韩再芬出演范冰冰剧中的母亲.            
(NA)	 真是非常棒的电视剧，喜欢喜欢。            
(4星)	 结局的改编算是和谐了啊……            
(NA)	 没看完好像...            
(3星)	 很不错的电视剧            
