http://movie.douban.com/subject/2173261/	达摩祖师
(3星)	 估计现在看的话会想吐            
(3星)	 所有古装剧里，这部电视的演员造型是我见过最棒的，一个普通的美女被化成一个超级美女，赞！另外，剧情和配乐都是上等，里面的法术真是眼花缭乱～            
(3星)	 当年啊当年。。。            
(3星)	 主题曲莲花莲花。。            
(1星)	 觉得对达摩世祖彻底失望了 其形态还没有犀利哥潇洒            
(NA)	 我只想说小时候这种电视剧从来不拒绝            
(NA)	 小时候看过 还记得主题曲            
(3星)	 我居然连这个都看过，。。。。。往事不堪回首            
(2星)	 现在想起来，真不好看            
(4星)	 每天中午都有~            
(5星)	 忘记是哪个狗血的只会播电视剧的频道看的了。            
(3星)	 插曲啊，片头曲啊，片尾曲啊的，“达摩达摩~”很给力            
(3星)	 对剧情表示无知。。。对演员表示美女都很养眼            
(3星)	 我爸最颓废的时期，在家看这个            
(1星)	 达摩达摩            
(4星)	 达摩达摩。。莫牵挂。。            
(5星)	 用了一个晚上的时间把蒋小姐部分看完了，这酱油打的，我估计不会再看第二遍了。PS：每部电视剧里总有那么一两个讨厌的女人= =            
(NA)	 各种女人            
(3星)	 偶尔总想起他的副歌部分~儿时的回忆啊~            
(4星)	 当时觉得挺神奇的            
(NA)	 好多美女。            
(3星)	 找他妈一个家  找他妈一个家~= =             
(NA)	 对翁虹记忆深刻，主题曲到现在都还记得。            
(5星)	 哎呀我的天~            
(3星)	 记得这片里有好多女人。。。达摩你真好命。。。            
(3星)	 这里的歌好讨厌……            
(4星)	 ｇｏｏｄ～            
(3星)	 那个音乐真是太深入人心了，佛祖的力量啊~            
(1星)	 达摩的形象可以再毁眼睛一点。            
(3星)	 主题曲大亮!片头:好人常出门的时候~哼~摔一跤~片尾:啊~生意那么大~心情那么差~要怪就怪科学家~            
(3星)	 不记得了            
(3星)	 想不到找到这部剧，我记得我以前和妹妹看过这部戏后，惊讶地发现在楼道里刷墙的一个工人长得很像达摩祖师，一看主演，原来是吕良伟演的，这真是唐突佛祖了……            
(5星)	 这是当年最喜欢的一部台湾宗教神化剧了，演员到各个方面都是那么到位，那么完美，现在就别想再看见了！            
(3星)	 还是小学的时候。。。            
(3星)	 依稀记得。。。。。美女如云。。。。            
(2星)	 当时就认得范冰冰……            
(NA)	 说啥好呢。。。。吕良伟还真是有戏就演，通通通吃啊！            
(5星)	 经典！还真是怀旧的孩子啊……            
(3星)	 对翁虹和达摩的几世情缘，记忆犹新！            
