http://movie.douban.com/subject/1437322/	人间四月天
(4星)	 黄磊演出了那份书卷气，那是那个时代所独有的文化魅力。            
(4星)	 看了都大半年了。。调调太慢了。。            
(4星)	 里面每个女人都不得了，我们这里，四月是很好的天气，或许是我不能，理解那种隐晦暧昧的爱恋            
(NA)	 女神！女神！            
(4星)	 我的青春啊……  黄磊永远是最喜欢的中国男演员！没有之一！            
(4星)	 剧本看过多遍，电视剧就看了一遍。我不喜欢伊能静，但陆小曼是这三个女人中我最喜欢的。            
(3星)	 我覺得我失戀了已經。            
(4星)	 你是我的人间四月天            
(4星)	 反复听着左岸的那些日子            
(NA)	 补遗             
(3星)	 铁达尼骗了全世界的眼泪，还好我们的人间四月天。            
(3星)	 幼小的我就已经很讨厌林徽因了            
(3星)	 记得刘若英晾衣服的样子            
(NA)	 实在不喜欢亚..终于看完了...            
(4星)	 不错            
(3星)	 得之我幸不得我命            
(4星)	 黄磊 周迅 经典            
(NA)	 以前挺喜欢来着            
(4星)	 跟黄老师也是经典荧幕情侣            
(5星)	 再看一遍            
(5星)	 从内到外，从人物到演员，都是骨子里的爱。            
(NA)	 你是人间四月天             
(4星)	 有点意思。            
(3星)	 高中时候断断续续看过吧，印象不深了。            
(NA)	 诗人才子的，纯纯的激情的爱恋            
(4星)	 风，会带我往哪个方向吹？            
(3星)	 喜欢黄磊在这剧里的角色，但实在不喜欢周迅……            
(NA)	 我喜欢张幼仪            
(5星)	 嗯            
(4星)	 看完之后我研究了徐志摩很久..            
(4星)	 徐志摩            
(4星)	 戏说、戏说，我其实不喜欢周迅演绎的林徽音……总觉得缺少一种气质……            
(5星)	 情节普通，但是演员的气质都非常好            
(3星)	 就当慢慢的看吧。            
(4星)	 喜欢张幼仪 这个女人            
(4星)	 当年我就觉得   够黄的            
(4星)	  摩，你飞吧            
(NA)	 坏在配音上，还有，节奏有点慢。。。            
(5星)	 好茶            
(3星)	 高中时代看过            
(2星)	 真心觉得不怎么好看。            
(5星)	 我想再看一遍.........            
(5星)	 当初我多么不喜欢伊能静演的陆小曼            
(4星)	 黃磊！            
(5星)	 那时年纪小还看得懵懂 只觉得是极浪漫的故事            
(4星)	 如果一个愿意去了解别人，一个愿意释放自己...            
(3星)	 剧里的明星都不大喜欢            
(5星)	 beautiful old days.            
(NA)	 4，弃。            
(4星)	 那么                                          我等候你            
(NA)	 黄磊这个文艺男。。。            
(2星)	 太戏说了，好像徐志摩生命里只有女人一样。和林徽因那段篡改的太多。还有，徽徽。。。【弃】            
(5星)	 因剧情而爱            
(3星)	 我说咋看着风格这么眼熟，原来是李少红老公拍的。过于精致，没有内容，人物过于脸谱化。小清新才喜欢。            
(4星)	 奶瘾发作，旧梦重温，醉你的脸，迷我的心！            
(5星)	 聽說、7年的時間可以完全忘記一個人 .......            
(5星)	 张幼仪啊张幼仪            
(3星)	 纯粹为了周迅            
(4星)	 周迅太赞了            
(4星)	 什么样的信约可以守候三世？什么样的记忆可以永不遗忘？什么样的思念可以不怕沧桑？            
(4星)	 其实是一个被美化了的花心男的情史。            
(4星)	 飞的理由             
(4星)	 当年跟老妈一起追的电视剧。            
(NA)	 我爱里面每一个角色            
(4星)	 慢慢慢。。。。喜欢刘若英，喜欢林徽因，全剧看到最后徐志摩死后林徽因哭的时候我才跟着哭了，            
(NA)	 我是一片云 偶尔投映在你的波心            
(3星)	 折腾的戏剧人生，三个女人都没有错            
(4星)	 难道没有人觉得周迅和伊能静的角色应该换一下的啊？            
(4星)	 太文艺了.            
(4星)	 翅膀的命运是迎风。            
(4星)	 这部剧的制作还是很用心的！            
(NA)	 伊能静的热烈谁看见            
(4星)	 说实话，很一般。            
(4星)	 除了配音，都不错            
(4星)	 伊能静演的陆小曼很像。            
(5星)	 OMG...从这部片开始迷黄磊            
(4星)	 三个女人一台戏 何况是三个做戏好手 大学以后看到志摩真容 大失所望 果然黄磊同学害人不浅            
(4星)	 里面迅哥儿是我的最爱。好美。            
(4星)	 无意中看到这个。。。印象甚美的，四人的表现都很合心~~            
(4星)	 整部剧都有股蒙蒙的湿气。            
(4星)	 永远，永远都有这回音            
(NA)	 很爱那时候周迅，奶茶            
(4星)	 如果这个时候窗外有风，你就有了飞的理由            
(3星)	 四月的轻烟，弥漫飘散            
(4星)	 那时候，他们都还很美 - -            
(4星)	 那时候第一次接触周迅，不想是个如此鬼灵精怪的女孩儿。            
(NA)	 演员找得太登对了            
(5星)	 从这里开始喜欢周迅，一直不变。            
(5星)	 我很爱这部剧 刘若英演的太好了！黄磊老师也是！            
(3星)	 矫情过度            
(5星)	 最好看的电视剧            
(4星)	 对你来说，爱是什么？            
(5星)	 淡淡的忧伤            
(4星)	 四个主角四颗星            
(4星)	 周迅,让我惊艳,刘若英,让我心疼            
(5星)	 喜欢它的一切。            
(4星)	 大约从这个时候开始爱上黄磊此人……            
(4星)	 很不错            
(4星)	 徽徽，你让我着迷。            
(4星)	 爱情            
(2星)	 完全歪曲徐志摩的某些过往。陆小曼哪有伊能静那么残。            
(3星)	 张幼仪，让人动容却涌不出一丝眼泪。            
(4星)	 演梁先生那人应该拖出去斩了。。。            
(5星)	 某种启蒙            
(NA)	 很不喜歡徐志摩，林徽因不要他是有道理的。            
(NA)	 刘若英 黄磊 周迅 伊能静             
(3星)	 为什么我和徐志摩先生的审美观差那么远？为什么我挚爱的女人不是林徽因不是陆小曼而是张幼仪？？？搞文艺的男人真没眼光！！！那么自强又自爱的一个好女人。哎！哎！哎！            
(5星)	 诗一样的语言            
(NA)	 你是人间的四月天            
(4星)	 我恨徐志摩。            
(4星)	 因为才华，我们原谅了这个软弱和自私的男人            
(4星)	 一身诗意千浔瀑，万古人间四月天。悼念林徽因的挽联。            
(3星)	 情意寄送在诗词里。            
(4星)	 徐志摩你真的不认识哈利波特吗            
(NA)	 觉得这个片子的演员和角色之间气质很匹配。挺喜欢的            
(NA)	 很好的片子。终于看完了。            
(5星)	 徐志摩太无耻了！            
(NA)	 大陆可以把精华变成垃圾，这个过程快得听不到声音            
(5星)	 超喜欢的电视剧            
(4星)	 这就是爱情            
(NA)	 周迅            
(5星)	 我都忘记了。            
(4星)	 多数人应当是冲着徐志摩看的吧. 我感兴趣的却是张幼仪. 读书的时候就对这个人物很大兴趣. 那种坚强的,多少屈辱悲伤都不露声色的样子,很有力量.这个角色由刘若英来演,我很高兴. 因为那种不动声色的悲伤和屈辱,我还真想不出第二个合适的人.            
(4星)	 我喜欢的诗人。那么多女人里，最喜欢的应该是林徽音，可惜这么有才气的一个女子，为什么要找周迅来演？...哎~败笔。            
(4星)	 都很像            
(NA)	 总有种幻想回到那个时代            
(4星)	 2006            
(5星)	 严重影响我人生观爱情观审美观，徐志摩是我的偶像            
(4星)	 伊能静，给我一个新印象            
(5星)	 非常喜欢，非常喜欢            
(NA)	 喜欢这个人的声音和人文气息...            
(4星)	 那时的周迅美的令人赞叹            
(NA)	 大陆            
(5星)	 补mark            
(NA)	 徐志摩就是个贱人！            
(5星)	 看了N遍的电视剧，不能说演的有多好，剧情有多巧妙，对于历史上的事情，我喜欢简简单单平铺直叙，尽量不要去改变！当然我承认那时候我是个文艺小青年，现在已经没有那么多耐心了！            
(3星)	None
(4星)	 黄磊诠释起文艺男青年真是得心应手，游刃有余            
(NA)	 摩羯座果然挚爱长得美丽又有手段的坏女人，但是也够现实，懂得妥协，当那些女人发嗲撒娇或者天真无邪的提出些无理的要求，他们绝对屁颠颠的接受……他将人住处性本贱演绎的十分到位。            
(4星)	 小时候看的            
(4星)	 不喜欢徐志摩。            
(3星)	 我还是最喜欢伊能静。            
(3星)	 當年很紅呢,媽媽天天追            
(5星)	 你是那人間四月天            
(4星)	 那些故事并不是什么秘密，主角却在人们的流传中美化了。            
(5星)	 我还是最爱张幼仪了啊！林徽因也不错就是了，嘁~~            
(3星)	 如果这个时候窗外有风，我就有了飞的理由。对片头曲记忆深刻。制作很用心的连续剧，唯一遗憾的是当年的迅哥对表演还不太开窍，如果让她几年后再去演会好很多            
(4星)	 周迅好美丽！！            
(2星)	 节奏好慢。。。没有出彩的台词跟剧本，更顶不顺黄磊的蹩脚英文，果断弃！            
(5星)	 太美好了，怎么看都看不够            
(5星)	 这个片子完全应该满分的啊！！！            
(3星)	 美化了的徐志摩，弱化了的林徽因，呆化了的梁思成。            
(5星)	 黄磊=徐志摩            
(NA)	 林忆莲唱的主题曲可真好听哎~~            
(4星)	 很久前看的，似乎没什么印象了            
(4星)	 一星给徐志摩            
(3星)	  你是人间四月天，我是五月人间雨            
(4星)	 某一段烟雨江南，诗人爱上红袖女子。            
(NA)	 我亲爱的张幼仪            
(5星)	 人生不如意十之八九，找不到是正常的，拦不住也是正常的。所谓尽人事听天命，做了多少算是尽了人事？等了多久就该听从天命？真心祝福那些找到人生灵魂伴侣的人，祝福你们白头偕老。            
(4星)	 他最爱的是徽因，而最爱他的是幼仪。全剧确实有些风花雪月过度之嫌，台词之酸难以匹敌，但意境确属佳作。若不是黄磊准确细腻的演绎，徐志摩活活被编剧写成了唐伯虎。            
(5星)	 各主角的巅峰之作好嘛！！！！！！！！！！            
(3星)	 其实梁某某是个好男人，林徽因也没有喜欢过徐志摩。林一度想和金岳霖出轨倒是真的，梁还让她自己选择，说如果她真的想他也可以成全她——民国传奇啊。            
(4星)	 那年我覺得那個演徽徽的女演員很不錯, 現在經已那樣紅.周迅.            
(4星)	 看着伊能静那张脸，我都想吐了。。。            
(NA)	 你是燕子 是呢喃 是人间四月天            
(NA)	 徐志摩肉麻的我都吃不住了。。。。。。- -            
(4星)	 张幼仪才是最大的亮点。            
(5星)	 你是一树一树的花开，是燕 在梁间呢喃，——你是爱，是暖， 是希望，你是人间的四月天！非常爱这部电视剧的片名。            
(5星)	 小时候看的了            
(4星)	 印象最深的是刘若英...对了，还有周迅~~            
(4星)	 April Rhapsody            
(4星)	 有些镜头时常会想起            
(5星)	 除了对周迅的林徽因比较失望，及剧中男配音太同质化之外，算是经典之作了，可以收藏级别的电视剧            
(4星)	 很爱很爱你            
(4星)	 思想上的革命或许不应该那么绝对的吧，人多少总得需要担戴一些责任，虽然时至今日，但我仍然这么认为。或许走在前面的人，要极端一点才能产生影响，为后人铺一条他认为适合的路。            
(4星)	 如果这个时候窗外有风　我就有了飞的理由　心中累积的悲伤和快乐　你懂了　所以我自由　你不懂　所以我坠落……爱引动我飞行中的双翅　你回应　我靠近天空　你沉默　我成了经过——翅膀的命运是迎风　我的爱　当你把爱转向的时候　我只身飞向孤寂的宇宙……            
(4星)	 请你原谅我 那一年 在康桥            
(3星)	 速度太慢  不能忍了            
(4星)	 我是把《人间四月天》当传记来看的。            
(5星)	 我更喜欢这样的黄磊，周迅早几年好灵。            
(NA)	 那个时候还不认识刘若英            
(4星)	 将这段故事掩埋在江南的烟雨中吧~~~            
(3星)	 就是想看看文人的八卦|| 话说 林徽因 为什么叫徽徽而不是因因|| 黄磊您了那英语让我对徐志摩都产生阴影了            
(4星)	 从这部戏开始认识刘若英，从此进入一段不一样的境界。。。            
(NA)	 看了很久，只是想看奶茶。迅哥儿演的很有灵气。伊看到后面竟然也习惯了。不太喜欢黄磊的这个角色。            
(4星)	 初中看的吧，对徐给林徽因的满袍茉莉花和给陆小曼买的糖葫芦印象极深。            
(5星)	 一個文藝的男人演另一個文藝的男人。            
(3星)	 不可丈量的心            
(4星)	 你是我的人间四月天            
(4星)	 王蕙玲的剧本不错            
(3星)	 有些东西还是跟我看过的徐志摩传林徽因传和爱眉小札有些不同，看完不喜欢徐志摩了，当他那么迅速地接受投怀送抱的陆小曼然后疯狂地叫人家龙龙的时候，我觉得他很悲剧。爱的只是爱情本身。也许谁都没有真正被他爱过，包括林徽因。            
(3星)	 初中的时候 我特别郭敬明的时候 忧伤的看着  然后特别忧伤 - -             
(4星)	 最近爱看年代戏。。            
(5星)	 诗人只能恋，不能爱            
(4星)	 以前特别不喜欢徐志摩，可今天听刘若英的四月天，找了一两集再看四月天时，突然特别可怜他，他有错吗？他人品不算有坏，可却给人带来了伤害，你说这是他的错？其实他也是受害者。回头再想，什么是爱呢？我可怜他，也可怜和他有过感情纠葛的三个女人，人间的四月天，就是那么的柔肠似断。            
(NA)	 黄磊是我小时候的理想型来着~= =            
(4星)	 人间四月天             
(3星)	 你是人间四月天            
(4星)	 你是带伞的思念。            
(3星)	 爱情的元素太重            
(4星)	 爱是给予，所以永远不会失去。            
(NA)	 黄磊很有徐志摩的感觉。            
(4星)	 你是人间四月天。            
(3星)	 比想象中的稍好，看得下去。            
(3星)	 我还特地去搜了张幼仪。            
(3星)	 最讨厌乱七八糟            
(4星)	 三个女人选角选的真好。隐忍安生的奶茶；打眼入心的周迅；傲气自伐的伊能静。赞。            
(5星)	 痴傻人            
(5星)	 最爱啊最爱            
(NA)	 看一半就觉得无聊了=。= 还是什么年代看什么剧吧 我错过了时间，就不要再回头了。。            
(5星)	 经典            
(NA)	 徐志摩，hohoho~~~            
(4星)	 你是 人间 四月天            
(4星)	 看了8集打住 不会看下去了            
(5星)	 泪            
(5星)	 你是一树一树的花开是爱，是暖，是希望你是人间的四月天            
(5星)	 只为那些诗意的句子和真挚的友谊            
(3星)	 小奶演他第一任吧，还端庄啊。            
(3星)	 其实还是喜欢原著的张幼仪 那是别样的存在            
(5星)	 我喜欢不是她的声音的她            
(4星)	 那时候的周迅，惊鸿一瞥。            
(4星)	 徐志摩 林徽因            
(4星)	 被人爱着，死了挺好            
(5星)	 台词、音乐，无比叫人赏心悦目，经典！            
(4星)	 如诗般的四月天            
(NA)	 才子佳人类太多也乏味            
(5星)	 你究竟是深情，还是滥情？            
(3星)	 因为此剧知道徐志摩、林徽因、陆小曼……剧情一般，多有杜撰，但是文化传播方面是功不可没的……            
(3星)	 竟然只记得奶茶            
(NA)	 演员挑选上，导演下工夫了            
(4星)	 经典            
(5星)	 我早就说过，除了《红楼梦》和《大明宫词》，还可以去看的电视剧还有多少呢？而你果如你许下的誓言那样，碎成一片一片。            
(4星)	 基本上符合事实，台词很美。            
(3星)	 看过这部电视剧，再也无法对徐志摩这位诗人有任何敬佩了。他英年早逝，或许就是上天让他在还债。人世间有比爱情更重要的东西，这位诗人读过这么多书，却未能理清这个道理。这段历史中，我敬佩的，只有张幼仪女士。            
(4星)	 至今我都依然记得他们四个的那张剧照  那是那个时候我以为的才子佳人            
(3星)	 看了一點            
(4星)	 小时候的文艺启蒙剧            
(4星)	 没仔细看过            
(4星)	 只要是黄磊的 都是好的            
(NA)	 没刘若英就好了            
(5星)	 当年的周迅真纯！            
(3星)	 黄老师真的把徐志摩演活了- -            
(2星)	 只喜欢陆小曼            
(4星)	 独爱张幼仪。心疼奶茶。            
(4星)	 我还特地去买过林徽因那本《你是那人间的四月天》，有点文艺有点矫情。在什么都不懂的小时候看的这剧着实有点浪费。不过我觉得即使我现在看，也不一定就能看懂看透什么吧= =+            
(5星)	 喜欢周迅演的林徽因，虽然林徽因的儿子说周迅不够大家闺秀。这里面的刘若英我就不喜欢。伊能静演的陆小曼也很好。黄磊演的徐志摩...后来，心里觉得徐志摩就是那个样子了......            
(2星)	 不喜欢这种调调的不喜欢黄磊            
(5星)	 四月天，阴雨绵绵，在窗前。。。            
(5星)	 非常喜欢徐志摩~虽然喜欢这个片子的人不多~我依然执着~            
(4星)	 音乐真不错            
(4星)	 一群充满文艺气息的人演着一个充满文学气息的电视剧            
(4星)	 知道了那么些人。当时就不太喜欢伊能静            
(4星)	 我看的第一部刘若英的片子            
(5星)	 得之，我幸，不得，我命，如此而已...原谅我，那一年，在康桥。。。            
(4星)	 。“我将于茫茫人海中访我唯一灵魂之伴侣；得之，我幸；不得，我命，如此而已。”            
(5星)	 我是人间四月天            
(5星)	 美            
(NA)	 最喜欢的四月应该就是这个样子            
(5星)	 很久以前看过的            
(4星)	 无人可挡的徐志摩。黄磊。            
(4星)	 覺得她就是林徽因，尤其最後她抱著花哭的時候讓人辛酸            
(4星)	 伊能静出场前都挺好的            
(NA)	 一直没看完, 即使后来找来看了, 仍觉得一直没看完..            
(4星)	 诗人的浪漫是命中注定的。            
(NA)	 让我越加不爽徐志摩...纵然是黄磊演的....我还是喜欢张幼仪。聪明的是林徽因。            
(4星)	 腻了，并没有看完            
(3星)	 多情臭男人            
(4星)	 张幼仪            
(4星)	 想起了徐克义这老头            
(NA)	 黄磊演得很好，赞一个            
(4星)	 真怀念当时的黄磊和周迅            
(3星)	 戏说般的诗人情史，真不是一个好电视剧。虽然无法忍受伊能静和刘若英，但是黄磊把徐志摩演活了，周迅比林徽因动人多了……可以姑且给三星。            
(4星)	 男女主角都喜欢。            
(NA)	 好像很久之前看過~~            
(5星)	 很想再重温一下            
(5星)	 人间四月芳菲尽            
(4星)	 看着很舒服的..            
(5星)	 周迅太灵了            
(4星)	 因为奶茶            
(4星)	 看了两遍的剧            
(NA)	 爱情来过，存在过            
(5星)	 现实里不全是诗意。            
(4星)	 很静很文艺            
(4星)	 小时候，看成童话故事。            
(NA)	 这个......真的不错            
(5星)	 很喜欢张幼仪            
(NA)	 人间四月天            
(4星)	 刘黄的第一次!            
(5星)	 很美很文学很经典            
(NA)	 我初识徽            
(4星)	 张幼仪的胸怀、林徽因的才华、陆小曼的风情。诗人的真和任性。p.s.片中黄磊的英文真的不怎么样，不知道现在有没有进步。            
(3星)	 我并不赞同徐志摩对待爱情的态度，虽然他给小曼写的信是那样感人。            
(NA)	 喜欢            
(4星)	 你是人间的四月天            
(4星)	 拍的还凑和吧...            
(4星)	 如果徽因选择志摩又会是怎样的结局...            
(5星)	 人间四月天……影响我一生的电视剧。            
(4星)	 你问我思念是什么...            
(3星)	 你是爱，是暖， 是希望，你是人间的四月天            
(4星)	 你是人间的四月天。            
(4星)	 这个。真是。太。美。了。            
(3星)	 红得我妈还买了书...            
(5星)	 很喜欢。            
(4星)	 不喜欢徐志摩，但黄老师是个例外。            
(5星)	 每个人物好像都那么贴近我心目中的形象，连江美琪唱的歌曲也是这样。            
(5星)	 诗样的人生和情怀，现在不多见了吧，里面的三个女人我都喜欢            
(4星)	 暴喜欢这里面的刘若英            
(4星)	 独自一人看完 凄过美过            
(4星)	 从这里开始喜欢奶茶。            
(4星)	 周迅从那个时候为人所知，我想我不喜欢周迅的原因很可能是跟这部片子有关，那个时候很单纯，只是纯粹地不喜欢第三者。            
(5星)	 很喜欢，现在在我的电脑里还有这部电影呢！            
(4星)	 挥一挥衣袖  赚足眼泪啊            
(5星)	 还找外教一起看的哈，好歹她也是英国的。            
(5星)	 没有看全.电视剧来说很棒.刘若英最出彩. 当时看到她公布怀孕消息却等来离婚之时,很没出息地开始哭.实际情况不好说,剧里的徐志摩很不是东西.            
(4星)	 有个认识的人超像戏里的黄磊呵~            
(3星)	 你是人间四月天            
(4星)	 剧本比电视剧出彩，对白很好            
(NA)	 跟那个中国文学老师借的碟子            
(3星)	 味道都缺乏了点吧            
(4星)	 虽然改编的有些过，但很让人感动            
(NA)	 很美~            
(NA)	 看了一点..不想看了...            
(NA)	 很文艺的感觉哦            
(5星)	 那些深深感动了我的纯洁美好，可以摆在阳光下接受沐浴的感情。            
(2星)	 刘若英不错，周迅扮相清秀，背景音乐佳            
(4星)	 当时觉得很美            
(4星)	 精湛！            
(4星)	 徜徉的落雨            
(5星)	 徐志摩            
(5星)	 大牌组合 创造经典            
(NA)	 很喜欢这部剧的调调。            
(4星)	 感觉不错的            
(4星)	 唯美            
(4星)	 每次看这片子，都是那一幕。他追在她后来，她眼眶通红，嘴里喃喃，我不在乎，我不在乎。我或者没有真正爱过谁，不能做到不在乎。            
(3星)	 得之我幸，不得我命            
(NA)	 记忆已模糊            
(NA)	 这个男人一直在寻找能同自己一起推翻思想压迫的女性……他找到了，也毁了一个人的人生。林徽因是聪明的，她没有选择虚无的爱情，成全的自己的人生。            
(NA)	 w            
(4星)	 只是对那段情缘很有兴趣,喜欢主演~            
(4星)	 你是暖，是希望，你是人間的四月天。            
(4星)	 小时候很喜欢这个            
(4星)	 轻轻的我走了，正如我轻轻的来，我轻轻的招手，作别西天的云彩。虽然后来知道作品中很多情节是杜撰的，可还是喜欢，主要是徐志摩这个风流才子太，在加上超爱的刘若英，让我无法抗拒。但个人认为凭刘若英的气质应该演林徽因，而不是那个被封建制度残害的张幼怡            
(3星)	 挑有奶茶的戏看了，受不了伊能静            
(3星)	 我就是乐见黄磊演这种一股酸劲的人儿            
(4星)	 竟然都是我喜欢的人            
(4星)	 该如何爱 才能恰如其分            
(4星)	 你是一树一树的花开，是燕在梁间呢喃，——你是爱，是暖是诗的一篇，你是人间的四月天！            
(3星)	 喜欢里面的周迅            
(5星)	 说不尽的。            
(3星)	 以前看的时候喜欢里面的主题曲,也喜欢看黄磊和伊能静好,不过真的很喜欢奶茶在里面坚强的形象            
(4星)	 有微微冷清的爱恋气味            
(5星)	 很美            
(4星)	 從此迷上了陸小曼...            
(5星)	 林微因选择梁思成是正确的            
(3星)	 木有多大的感觉，但是黄磊的演技还将就            
(4星)	 对伊能静的印象很深刻。。            
(NA)	 曾经有一段时间几乎痴迷. 片子风格独特 里面的周讯 仿佛仙子一般 黄磊才气逼人 刘的眼神楚楚可怜  貌似后来和陆小曼抽大烟的就是小姨多鹤里演小石的演员.  三个女人 演绎的非常到位. 佩服导演的功力.              
(4星)	 我还准备再看一遍呢。            
(3星)	 你是人间的四月天~~            
(4星)	 喜欢黄磊            
(3星)	 虽然只仔细看了3集，但是这部在当时真的很轰动，可是真正的徐志摩、林徽因我都不喜欢            
(4星)	 喜欢黄磊 周迅            
(NA)	 突然想起辛波丝卡那句—— 我偏爱例外。 我偏爱及早离去。            
(NA)	 没能完整看完，遗憾。            
(2星)	 伊能静那时候很漂亮            
(4星)	 那时我是多么喜欢徐志摩啊  不过从那时起就不喜欢伊能静==            
(4星)	 太文艺 太装逼……            
(4星)	 不喜欢伊能静演的陆小曼，生生把那过往里头的人给演淡薄了。黄磊倒是演得很入眼。            
(3星)	None
(4星)	 文人诗人优雅剧集            
(4星)	 不喜欢徐志摩，虽然那么喜欢黄磊            
(4星)	 幸好徐志摩死于风华正茂的盛年，否则不知如何过日子。            
(4星)	 为什么选择我？我需要用一生的时间来回答。            
(4星)	 林徽因            
(4星)	 林徽因。。。。            
(3星)	 压抑氤氲的情            
(4星)	 演员选得挺贴切的            
(4星)	 當你在人間游倦的時候，我會在天際和你相逢            
(5星)	 就是因为它，爱上黄磊的~~            
(4星)	 这片儿导致我整个童年说话都是酸的 现在也还幽幽怨怨的            
(3星)	 虽然是典型的台湾言情剧，可重点是周迅演了林徽因！            
(NA)	 如果 如果 如果啊 激动            
(4星)	 了解一段历史比了解一首诗更重要            
(5星)	 很好，很羡慕他们那种为追求自由的生活。            
(2星)	 就是这片儿导致我严重不喜欢徐志摩以及大多数所谓的文人，在我心中，徐唯一的贡献就是叫 佛罗伦萨 为 “翡冷翠”，我真是爱极了这个名字            
(5星)	 只记得 很文艺 很文艺            
(5星)	 “你是一树一树的花开，是燕在梁间呢喃，——你是爱，是暖，是希望，你是人间的四月天！”小时候看过这部电视剧，看得不全，但是当时和现在对这部剧的理解发生了变化，现在比较女权的想法，女性还是要自己经济独立，不依附旁人，将人生掌握在自己手中，才不会被无望的爱情伤害。剧里黄磊的眼睛很漂亮。            
(4星)	 活着就要真。原来徐志摩的爱情这么轰轰烈烈又这么忧愁感伤，他是个勇敢的人，为爱。看这部剧只是想要多了解一下爱情，多了解一下那个时代的人们，多了解一下那个时代的文学。            
(5星)	 眷恋的命运是寂寞。            
(4星)	 很清新很文艺，长大了才知道原来系里的几部主角都是鼎鼎有名的。。想当年一代才子徐志摩也是很风流倜傥的            
(3星)	 被骗了好多泪珠子~~            
(3星)	 读到林徽因。延伸到了梁思成、金岳霖、徐志摩、张幼仪、陆小曼。又从他们看到了人间四月天！我想我们无法替他们表达自己的内心。            
(4星)	 星子在无意中闪，细雨洒在花前。            
(4星)	 死后一切都会得到原谅。            
(4星)	 怀念一下那时的人，那时的事，那时的情怀～            
(4星)	 大学里因为感觉太悲，没有看下去。现在经历的事情多了，觉得他们的故事也没那么悲了。老天最公平，张幼仪没爱情，可她有尊严，有儿子，有幸福。林徽因有万千宠爱，但没寿命。陆小曼有爱情，但没幸福。徐志摩只为爱情疯，没责任，没担承，老天罚他英年早逝。这评价很靠谱            
(4星)	 只因记忆美好。奶茶周迅伊能静，当年三个青春的人演了三个奇女子。而黄磊，其实他并不是徐志摩这样的人呢……            
(NA)	 说不出的感脚……喜欢片尾曲……            
(3星)	 只是记得那时候爸妈非常爱看，凭着模糊印象给个分            
(4星)	 诗人的一生本就是一首诗            
(4星)	 黄磊的气质太适合演绎徐志摩，而刘若英和周迅在这个故事里散发着嘴灿烂的光芒。            
(3星)	 虽然当年很火，但是还是偶不喜欢。林徽因不是这样的，徐志摩也不是这样的……            
(4星)	 “我在茫茫人海中，寻找自己灵魂之唯一伴侣，得之，我幸；不得，我命”——女人大概都会爱上徐这样的男子，这么纯粹，这么深情~~~            
(5星)	 当时很喜欢这部剧，周迅黄磊好不错。但是对原型无好感            
(4星)	 相对于真实，这部剧显得更加浪漫多情。不要提窥探私密，它带给我们的更多是一种情调。五四、浪漫、自由与爱情。            
(4星)	 我将于茫茫人海之中寻访我唯一灵魂之伴侣 得之 我幸 不得 我命             
(5星)	 深深的无力感            
(3星)	 三星半            
