http://movie.douban.com/subject/4038309/	跟我的前妻谈恋爱
(4星)	 挺贫的 后面几集挺让人感动            
(5星)	 小宋佳太给力了~~~            
(NA)	 马勇打张琪的那段真是……很心酸。             
(5星)	 兜兜转转，总是好的～～            
(4星)	None
(5星)	 一般不看电视剧，看了后觉得挺好的，真的挺好，希望别忘了真的挺好            
(5星)	 给所有的已婚者上的一堂教育课。            
(4星)	 耿乐的哭戏和咆哮戏真好看~很欢乐的戏啊~~~            
(4星)	 台词加分。            
(5星)	 语言幽默              
(3星)	 算内地还不错～            
(5星)	 我真想不出如果耿乐和小宋佳不演这部片子还有谁能演，简直是为他俩量身订造的角色，另一方面也可以说两人都是极具个性的人，给角色赋予了自己的定义，很出色，两人太贫了，乐死我了。            
(4星)	 女人不论什么时候不能迷失了自己。但是失控的时候就让她失控一下。            
(4星)	 好犀利的台词呀，还是蛮逗乐的嘛。            
(5星)	 兩隻刺猬的愛情..            
(5星)	 哈尔滨 边哭边笑 同名电影可以去死 冰城人强烈推荐            
(4星)	 相比电影，这个算不错了。            
(4星)	 哈哈哈哈哈哈哈哈            
(4星)	 在一起就是在一起了，有时候自己都不知道自己还爱着谁~~~            
(4星)	 台词不错，小宋佳太好看了            
(4星)	 最后一集我感动得哭了，不是自我陶醉自我感动得哭，而是被感动。            
(3星)	 不是说，分手过的情侣以后还会因为同一个原因分手。            
(4星)	 久以前我就说过，没有离过一次婚，人生都不完整            
(3星)	 耿乐，喜欢他的性格，不过，不喜欢他的花心。世界上有不花心的男生吗？？？            
(3星)	 剧情很扯，台词挺逗。            
(5星)	 简直了，乐死我了！！！而且说的很对啊，感情就是要留缓冲空间，不能冲动。吃橘子的我一下子被呛到……            
(4星)	 一辈子就爱那么一个人            
(3星)	 俞晓红那劲儿真招人待见。            
(4星)	 史上最贫电视剧            
(4星)	 为什么你以前不这样对我？别人不了解你我还不了解你？说这话的人和听这话的人都很心酸吧。所以，我们要好好疼爱身边的人，不要等失去才珍惜。            
(4星)	 在一起的时候，总是觉得对方不好。分开之后，便发现对方的好。相处是一门学问，相处也要学会珍惜。            
(NA)	 一开始是被台词吸引，确实太多搞笑点。然后结局不喜欢，不知道为什么总感觉那些过去是回不去的，感觉有点牵强。。。            
(4星)	 挺逗~~            
(5星)	 实在太逗了，乐死我的台词。            
(NA)	 看了一集。。。            
(4星)	 跟电影比，好看太多了。。            
(4星)	 很不错嘛。大陆的电视剧胆子也大了。            
(4星)	 因为小宋佳。            
(3星)	 最后一集现实的有点像叶念琛的电影。不过总算是happy ending了。            
(5星)	 夫妻之间斗嘴的最高境界，很有意思！：）            
(4星)	 演员我挺喜欢的            
(1星)	 情節膚淺，對白重複，推薦人說貼近生活，也罷，給一顆星。            
(NA)	 何必呢？            
(NA)	 有那么点味道。。。            
(3星)	 有眼泪，更有欢笑地看完了。对有过婚姻教训的人来说，能引起不少共鸣。剧情给戏中的男女主角画上圆满的句号。但在现实生活中有多少夫妇能够如此幸运，再走到一起。就如戏中对白经常重复的一句：过去就已经是过去了。。。时间是不会倒流的。剧中有不少犀利的对白很有意思，不足是太重复，有拖剧情之嫌            
(4星)	 有电影版的奇葩做比较，电视剧版太闪亮了            
(4星)	 台词太贫了.....            
(5星)	 ~~~            
(NA)	 失去才会懂得珍惜            
(4星)	 挺生活的，适合婚前学习。            
(4星)	 挺贫的~~~            
(4星)	 天荒地老 说到就要做到            
(4星)	 很好笑啊，耿乐演的非常好，好看，看完很轻松，很佩服原著作者的幽默。            
(NA)	 太好看了~            
(3星)	 看到最后怎么复婚了？？？太扯蛋了！            
(3星)	 感觉很不真实，不过看完这部还蛮喜欢小宋佳的            
(NA)	 当爱情无需掩藏时，就大胆的去爱吧            
(5星)	 很不错的电视剧，台词幽默            
(4星)	 又是家庭系列            
(3星)	 這主角還真貧！            
(5星)	 真逗。。。            
(5星)	 他推荐我看的 我看到了好多影子            
(5星)	 幽默 实在 有剧情            
(4星)	 台词编得还不错。            
(5星)	 做一个温柔，体贴，聪明，真诚，宽厚，善解人意，谦让，包容的棉花包，尤其是在对的，想要珍惜的人面前。            
(3星)	 因为是在我家附近拍的，所以有些好感，台词很犀利，不过演员们嘛，只能说还行，估计小说会很逗            
(5星)	 台词是真精彩~            
(4星)	 挺搞笑的~哈哈            
(5星)	 很不错            
(4星)	 还行            
(4星)	 太逗了，太贫了~~~            
(4星)	 台词太贫            
(3星)	 最后挺感人的,爱情不能对付,是那个人就是那个人,旁人再好再热切也无高潮.             
(4星)	 喜欢，其中的很多台词搞笑又有才，看过轻松又温馨，耿乐演的马勇很到位，小宋佳的演技更是            
(4星)	 宋佳说：婚姻只是一种形式，很多人在没有爱的婚姻里，照样过一辈子··            
(5星)	 很喜欢的两个演员搭配到一起，必定是一部很好的电视剧，台词很有意思也很有道理。第17集中耿乐对小宋佳的一番批评，就好像老公整天跟说我似的，很真实。            
(4星)	 喜欢小宋佳的范儿            
(NA)	 和韦小姐在路边摊看了一集．回来下了看了几集后面不了了之．还好吧．故事            
(4星)	 呵呵            
(4星)	 生活，就是这样            
(4星)	 做男人，有一种角色，女人永远也不会离开你，那就是父亲对于女儿！因为父亲对女儿的爱就两个字：包容！只有父亲能爱到包容女儿的一切。对于女人，现在社会感情竞争再激烈，再有那么多的男人在外头晃，对女人再有那么多的诱惑和勾引，但女人永远不会离开父亲这个男人！            
(5星)	 导演估计也是一愤青   最后那一块挺敏感的  耿乐这刺头演的真好     要政治前途有个卵用？            
(5星)	 有笑有泪有调侃有感动~小黄小暴力，回味却是小甜小幸福~还能结合现实，引发思考~难得好剧~另外，小宋佳是真漂亮！             
(4星)	 一堆人陪着一对离婚的爱人谈恋爱。幽默与感动交织！            
(5星)	 很好看那~            
(4星)	 很像一个人啊。。！            
(4星)	 台词很搞笑，小宋佳也很好看\(^0^)/，无聊时保证可以笑翻            
(3星)	 看了几集            
(5星)	 爱情修炼宝典！！！！！！            
(5星)	 在河北省一个地方频道上看到这部电视剧，感觉很好，没有一些纷乱杂糅的伪装，很生活的生活。个人很喜欢。总之觉得很真实，也很感动            
(NA)	 有点傻            
(2星)	 很无语！            
(3星)	 小宋佳给三星，好好爱一个人不容易，夫妻间容忍和坚持时不时的小浪漫提醒对方我还爱着你才是王道~            
(3星)	 台词挺逗            
(5星)	 要好好珍惜和经营这来之不易的爱情啊            
(4星)	 挺哏儿的            
(5星)	 也不错            
(5星)	 耿乐的马勇和宋佳的俞晓红很鲜活，很可爱，很生活，偶喜欢。也算是婚姻教科书吧，让人们先反思一下婚姻。即教又好玩的片子，偶喜欢！            
(4星)	 巧合的是男主角和我同名 有看自己的说不出的感觉            
(4星)	 喜欢幽默的调侃            
(4星)	 你干嘛现在才说爱我啊            
(5星)	 有点意思。。            
(1星)	 冲着小说看的，失望。            
(4星)	 挺搞的，就是台词总重复            
(3星)	 看着挺舒服的，再一次看完了一部长达22集的电视剧，对我来说真是一个不小的奇迹了.......            
(5星)	 耿乐太猛了，无论嘴皮子还是床上功夫，爷们！“你之所以还没有成为gay是因为你还没遇到对你好的男人”，上天赐我一个马勇吧，哈哈！            
(3星)	 不如大女当嫁。。            
(5星)	 主要还是小宋佳            
(5星)	 引起人对7年之痒爱情麻木期的思考，恋爱也许灿烂浪漫，但不真实；而婚姻，也许乏味枯燥，但却是无可代替的真诚与信任。            
(5星)	 耿乐真帅！小宋佳也不错~ 演得让我觉得男人贫嘴其实也还行~ ^ ^            
(4星)	 放下一种固有的身份和视角，方才发现一些往日看不到的美好！还好，有些失去可以挽回。台词很耐嚼！            
(NA)	 有一种女孩即使她叨叨``你也必须一直爱她`她是可爱的            
(NA)	 逗~就想看着他俩好~            
(4星)	 我感冒吃了避孕药我脑子烧坏了我。            
(2星)	 我喜欢的是女N号：王建军。她很可爱，又傻愣愣的勇敢。整部电视剧她最出彩。            
(NA)	 有那么一点不着边            
(4星)	 服装太差了点            
(5星)	 将表演的角色展现淋漓尽致!            
(4星)	 “贫”            
(3星)	 在家十天像主妇一样到点把这剧看完了，晓红莫不是十年后的我吧？            
(5星)	 婚姻的学习！让人真正了解婚姻的本质。好好爱护你的她！            
(NA)	 很有意思            
(3星)	 应该看完了吧，不记得了            
(5星)	 很有趣。很符合当下。            
(NA)	 所谓婚姻啊。            
(NA)	 其实蛮喜欢小宋佳的表演 还有一部大女当嫁 也不错 两部片有些共同处            
(5星)	 哈哈哈哈哈哈！好玩。喜欢结局            
(5星)	 爆笑，为啥都是我的笑点呢            
(4星)	 呵呵，挺不错滴家庭写实            
(4星)	 还不错            
(4星)	 不错不错            
(5星)	 小宋佳太美了            
(3星)	 对小宋佳审美疲劳了            
(5星)	 好吧，我承认，我是来看宋佳的时装戏的。。            
(NA)	 分开后才知道彼此的美好 那么就好好趁在一起的时候发现彼此的没好吧 就不用在相伴的旅途中发生遗憾            
(NA)	 Y真够贫的. 黄段子挺多 你瞧我都开始关注这类电视剧了 杯具啊杯具            
(3星)	 没营养的喜剧            
(5星)	 没多少人物，看着很轻松，充斥着搞笑！太生活了~            
(5星)	 灰常好看~~~            
(4星)	 喜欢小宋佳~~~~~~            
(NA)	 就喜欢小宋佳这气息            
(NA)	 喜剧            
(3星)	 ms在电视上看过一点点~            
(NA)	 很好的一部片子            
(4星)	 买全集回来看            
(5星)	 在众多跨年代戏盛行的时候 这部爱情剧着实格格不入 一方面着眼于敏感的再婚问题上  一方面体积小符合当代的快餐文化 在犀利直白的台词儿中  蕴含着夫妻中最藕断丝连的的情感  让年轻的朋友看了感慨颇多  网络小说改编  人物性格鲜明  情节紧凑不罗嗦  是一部不可多得的生活轻喜剧            
(4星)	 耿乐的表现实在过太多了，败笔之处            
(3星)	 够贫            
(2星)	 爸妈看的时候混着看的，很多粗口。            
(4星)	 柴米油盐淹没花前月下，婚姻可以忘乎所以，所以是已婚者的港湾，婚姻不是一劳永逸，所以需要算计经营，狐狸尾巴所有部分露出来是对的，但所有时间露出来是错误的。            
(5星)	 我看完了，有的是竟然多看几本书的想法。不过是个挺好的电视剧。            
(5星)	 超级幽默的台词!太捧腹了!            
(4星)	 对白很搞笑，虽然剧情有点扯。珍惜，什么时候才能懂？            
(4星)	 挺温情的，极大舒缓了《蜗居》之后的沉重和压抑。喜欢小宋佳~耿乐也不错。            
(NA)	 忒贫了.有的台词挺搞笑的.晚上睡觉前渺几眼,小宋佳感觉是那种不惊艳但是很舒服的女人.            
(4星)	 贫            
(4星)	 相爱所以结合，太了解太任性所以分开；还是因为相爱，然后多了理解和包容所以又在一起．同居是种不错的选择            
(3星)	 在不同的角度有着不同的吸引力哈～            
(4星)	 有点意思            
(5星)	  小宋佳 真的好美丽 演的好好            
(5星)	 老婆还是原装的好啊            
(NA)	 。。            
(3星)	 为什么每次都是耿乐，真冤孽啊！            
(4星)	 台词有看点、哈            
(NA)	 宋佳            
(4星)	 不错，宋佳和耿乐太逗了，不知道是编剧还是导演的问题，某些台词总是重复有点闷。 这种类型的电视剧有意思。            
(4星)	 小宋佳很赞            
(5星)	 有点贫的台词让人看得时候不会腻，而马勇说的话很多都是现实婚姻生活中存在的问题，不错的电视剧！            
(5星)	 大家赶紧去看吧,很是值得深思。            
(4星)	 逗乐  要是以文字的方式表现出来 会有另一种味道            
(4星)	 虽然台词很逗，但也反映了婚姻中的一些问题            
(NA)	 寒假消磨时光还是不错的哈哈 小宋佳很漂亮的            
(4星)	 他姐夫挺逗的            
(NA)	 台词挺逗的            
(NA)	 哭笑不得~            
(3星)	 台词挺逗，剧情一般            
(NA)	 是你的，怎么也会在一起的            
(4星)	 台词笑翻了。。。每一个人都让我很感动。            
(3星)	 婚姻是坟墓            
(5星)	 感触良多。我们到底有多爱。            
(NA)	 这是一部趋于理想化的连续剧。现实中没有那么多机会重来！惋惜有些东西了 ！            
(4星)	 搞笑之余，其实也有我们反思的地方，看完它，可以想想平时为什么常和女朋友吵架            
(4星)	 搞笑的一米            
(4星)	 还行 适合婚后来看            
(3星)	 没有看完。。。为了看小宋佳才看            
(5星)	 喷血推荐给所有结婚的，没结婚的，恋爱的，准备结婚的。。。，非常搞笑。            
(NA)	 感觉这部戏里面的耿乐更自然。            
(5星)	 大陆终于出点像样的东东啦   感觉生活 恋爱 婚姻都都这样  久了厌倦了 没了想念了            
(3星)	 斗嘴确实是门艺术。。。。看到后来越来越没有意思了，越来越没有谱了。。。剧情空洞，甚至可以说完全没有剧情，两句话可以把剧情解释清楚。。。            
(3星)	 快进3个小时结束掉就看两个人吵架的戏            
(5星)	    第一次看电视剧让我想起那么那么多的过去，让我想起那曾经的刻骨铭心……            
(5星)	 台词很新颖，吵架很有境界            
(4星)	 拍得长了点，如果短点感觉可能会更好。台词比较经典，感觉编剧在写剧本的时候也在矛盾的想，婚姻究竟是爱情还是只是生活。            
(4星)	 几年前在《小说月报》上看过的一个小中篇，居然拍成电视剧了            
(4星)	 好贫啊！            
(5星)	 失去才懂得珍惜，找个有责趣心的过一辈子吧~            
(4星)	 台词挺逗，太贫了吧            
(4星)	 看着很轻松的片子，小宋佳的表演也很好            
(4星)	 很搞笑……            
(NA)	 台词很好玩，很有趣。            
(3星)	 挺有意思的 瞎看还凑活有一阵子挺喜欢耿乐            
(3星)	 假的很，但是笑笑还是可以！！另注：我多想成为俞晓红那样的女人！~~            
(3星)	 小宋佳撒泼很可爱   耿乐贫嘴也很可爱爆笑~            
(5星)	 赞            
(5星)	 瑕不掩瑜，看到8集以后欲罢不能，讲明白很多恋爱之道。            
(NA)	 台词 超级无敌 逗，看这片子可以不困            
(4星)	 说话很有个性，风趣幽默。具有国际语言的色彩。            
(3星)	 台词很幽默~剧情很空洞~ 笑笑就过去去了            
(3星)	 因为是在 哈尔滨拍的 呵呵            
(4星)	 和现实很相符，名字太土了，内容很不错！台词很幽默！逗！发人深思。。。有收获。在未婚男女感情相处上一样有帮助。。。。            
