http://movie.douban.com/subject/4967578/	秘密花园 시크릿 가든
(NA)	 好像挺有趣。。。            
(4星)	 剧情两颗星，玄彬两颗星！            
(3星)	 狗血啦 不过6-8集真的很搞笑 玄彬噢八最爱了呢            
(3星)	 实在是讨厌河智苑            
(5星)	 太好看了！准备再看一遍认真写评论！            
(5星)	 所有的缘分都是冥冥中注定的，2011.1.16秘密花园完美落幕。编剧很用心，剧情有很多伏笔，经典桥段与台词层出不穷，情节虽然老套，也算有新意。演员方面，主角配角都比较给力，尤其是玄彬的魅力势不可挡。            
(2星)	 是闲的蛋疼吧我操..            
(4星)	 看过的感情最饱满的韩剧            
(5星)	 这是意大利匠人一针一线拍出来的            
(3星)	 情节很俗，但是值得芒果台坚决山寨翻拍。            
(4星)	 前三分之二真是太逗了            
(4星)	 虽然是韩剧典型的狗血煽情+搞笑的风格，但十分好看~             
(4星)	 人帅真是一点办法也没有啊！            
(3星)	 越到后面节奏越慢，而且越扯淡。应该是15集就能拍完的东西，飞要硬拖那么久，影响了整体的效果。三星给玄彬可怜的瘦脸，我说你怎么瘦成那样了。另，短发的河智苑有时有点像金三顺。难道没人看出来？            
(4星)	 韩剧仍然是夸张而又甜腻的细节，但这个剧我主动很少快进的看完了，因为编剧是用心了的，吸引了我。但总感觉男主脸蛋处缺块肉啊。            
(5星)	 玄彬太帅了演技太好了 3对CP我都很喜欢 祝你们一直幸福下去            
(4星)	 是不是，错过一个时间点，两个人再次遇到就不会产生任何感情了，别说爱情。特别是双方条件相差很多的时候，脑子不热那一下，就不会有任何事情发生。你还是你，我还是我。重点就是，阴差阳错玄彬脑子热了冷了又再热了。所以韩剧没营养，根本就是童话故事。            
(4星)	 结尾略嫌俗套，但是开头真是令人佩服。这剧让我对韩剧有了改观。            
(4星)	 如果河智苑能够演的更生动些那么就可以满星了。            
(NA)	 征服欲完全调动            
(4星)	 哭哭笑笑的看完，非常适合放松悠闲着看的一部片子～            
(4星)	 电视剧就是幻想大集合            
(5星)	 太好看了是我最近看的最好的電視劇之一了！            
(5星)	 太给力了！            
(NA)	 就穿着病服在雪地里走不冷的么 = =|||            
(5星)	 又哭又笑            
(4星)	 狗血但喜欢            
(5星)	 虽然17、18集夺走了我几十毫升的眼泪，但是总的来说还是一部喜剧。跟几年前的《金三顺》比起来，不说长相，玄小彬腔调更足了，不管是穿衣服的品位还是走路的样子。希望玄小彬2年后参军回来更man更帅！&gt;_&lt;            
(4星)	 我居然也能看完。卖点不是交换灵魂，是玄彬卖萌。像是要腹黑，搞到最后也还是童话，大概这比较是电视剧能接受的结尾吧。            
(4星)	 编剧大妈都在进步！            
(5星)	 挺好            
(4星)	 值得一看的韩剧，讲故事的方法很有意思……不过为什么带点魔法，就被称作“科”幻片啊啊啊            
(4星)	 得有四年没看过韩剧了 细节处理的不错 玄彬要是不嘬腮就更好了            
(4星)	 情节不怕狗血，真正的新意就在于人物个性的创新，不断的逼近真实是每一个编剧一辈子要做的功课。台词精辟也是趋势！玄彬大爱！小受也大爱！男二号很可爱！还有金秘书。。。结局用那样的原因解释他们的爱情很可信。更感动于这超越爱情的感情。恶婆婆也恶到了底，终究没有向童话式结尾低头。。。            
(5星)	 即使没有那些，你也愿意爱眼前这个人吗？            
(4星)	 无限接近五星            
(4星)	 童话。            
(5星)	 很好看，是继咖啡王子后看的第二部韩剧，编剧编的很好，脱离了一般的剧情，融合了很多元素，但是还是写的不错的。喜欢很多情节。玄彬的造型真不错，发型尤其是好。            
(5星)	 事实证明 无论男女 大都数情况下瘦比胖更帅。玄彬 啧啧 !            
(3星)	 快进看完的，后面走了韩剧的老套路，迅速降低水准戏耍观众智商            
(5星)	 失忆半集是我的极限,在极限内. 五星棒子剧.             
(4星)	 狗血桥段再少点就更好了……            
(5星)	 不过分空想 现实又令人心痛 搞笑着开始 哭着进行 微笑着结束            
(3星)	 前半段挺好看的，后半段太韩剧了= =话说还是为了金幼稚            
(5星)	 不想大结局...我还想看到你....玄彬....            
(4星)	 让我来做你的人鱼公主！            
(4星)	 难得有个女主角从头看到尾 通过各种善良坚强的内心的展现 仍然让我对她没有任何的感冒~河智苑做到了            
(5星)	 四星半 我中毒了 其实结尾反倒不给力 感觉男女两猪脚到后面怎么泄了气 一些场景的表演又涩又硌 没有放开来 难道真如某些人猜测 戏假情真又限于现实 都在拼命克制么？            
(5星)	 玄彬的那首“那个男人”。。那个旋律，那个声线。。无不渗入心田            
(3星)	 爱就像种植在庭院里的花一样，让你们的花园开满了美丽的花，吹着凉爽的风，有灿烂的阳光，偶尔还下魔法之雨。            
(5星)	 刚刚把大结局看完 喜欢这个圆满的结局 真的非常好看玄彬 你太完美            
(4星)	 结局十分不给力啊~好在男女主角是我喜欢的~下一部不知道看什么了。。。            
(4星)	 偶尔看一看韩剧，能在这个冬天不那么寒冷，更加相信爱情            
(5星)	 玄彬真的太帅了，这部剧光花痴他就够了。又现实又毒舌又粘人又可爱又有小怪僻，让人欲罢不能。有人说像高情商的谢耳朵，我看靠谱。而且穿衣不要太潮啊。女主太老而且衣服都好丑，男二像山寨的木村拓哉，女二堪称婴儿肥的典范。台词很给力，把能吐槽的全吐槽了一遍，结局也还算不狗血。为玄彬多给1颗星            
(4星)	 没有最后一集我给五颗星！！！编剧，俺喜欢你，把一出人鱼公主改编的很赞，其实童话从来没有过时哦。金朱元，你就拽吧你，白雪公主就是一个社会指导层女人被流放，和7个社会底层男人一起生活，最后遇见社会指导层男人就把社会底层男人抛弃的故事~玄彬，你演技还敢再厉害点不！            
(5星)	 好看的要死            
(5星)	 虽然完全是冲着玄彬看的，但是剧情还是很八错的，剧情比狗血的韩剧好看多了，玄彬干嘛要穿那么好看！！！！！看完满脑子都是玄彬，都是康桑哈密大，噢吧，撒朗嘿哟，看咋子办！！！！            
(NA)	 后半段很俗气，但还是掉泪了，人老了就是这样~~~            
(5星)	 OMG...又一次陷落在玄彬的眼睛里。            
(5星)	 现实生活怎么可能那么美好，所以只能看看电视剧。            
(4星)	 场景、摄影很美，喜欢思念一个人时刻能感觉到ta如影随形的桥断，玄小生侧脸标准的可以收入教科书~~            
(5星)	 好看死了！！！我好想有一个玄彬一样的男盆摇~            
(4星)	 朱元他妈的脸是整坏了吧！眉毛有高低，看着难受。15集之后值得一看！不管怎么说，还是哭惨了= =玄彬太瘦太瘦            
(4星)	 金抽抽~~~            
(4星)	 所有韩剧男主角中最喜欢玄彬            
(4星)	 结尾那里是有一点点烂掉的感觉 可是 整部戏总体来说感觉很棒 特别是玄彬 太帅了            
(4星)	 韩剧真是让女人难以自拔的祸害啊……充满狗血的大谎话明知假得要命却还是一路心跳地陷进去了……            
(5星)	 我怎么这么爱玄彬呢？ 做我男朋友吧            
(5星)	 哎哟我真喜欢这电视剧，虽然是划归为呕像剧的那类，但是有我相信的爱情所必备的所有东西：互斗啦，信任啦，笃定啦，缘分啦，还有那句：【原来不好的回忆也能成为找到幸福的线索，这就是时间流逝后的馈赠】。这应该是继【悬崖上的金鱼姬】之后另外一部关于人鱼公主good ending我又喜欢的片子            
(5星)	 最后定格的镜头太有了。。。终于看完了~~~  在想这么经典的戏，让后继者鸭梨很大啊~~~ 不过也敬请期待啦，想超越的话，想征服越来越挑剔的观众的话相信各方一定会再接再厉的。韩剧制作实在是很生猛。难得有部戏里的每一个角色都十分喜欢。女二太像全智贤啦，喜欢~~ 最后孙            
(4星)	 久違N年嘅韓劇。中意男女主的角色，小吵小鬧，溫暖的擁抱。“故事都是假的，但能打动你的，都是真的。 ”            
(5星)	 精彩～时隔5年重燃对韩剧的激情～！&#34;既然距离这么远，为什么不把你抱得更紧一些呢?&#34; 不愿化作泡沫的人鱼公主在魔法的花园里，和王子永远幸福在一起。结尾回到13年前，周元点开罗琳眉头的画面，点睛            
(5星)	 好看好看好看 好久没有这么好看的电视剧了！！！！！！！！！            
(4星)	 编剧很强大            
(3星)	 正常和不正常的电视剧之间之差一瓶药水。            
(5星)	 金抽抽啊金抽抽            
(NA)	 我邪恶了 最后一集的腰痛。。。            
(5星)	 终于追完了这部剧，哭哭笑笑，最感动于结局定格的那片粉红温暖灯光下，第一次无意识的牵手，缘分就这样不经意间注定。            
(5星)	 是我看过的最好看的韩剧！一点儿拖沓的情节都没有，甚至可以说我还没看够呢就完结了。编剧很赞呀，每个角色都很恰当，女主角也很好，但是最赞的是男主角玄彬，怎么可以那么坏又那么好呢？！让人笑让人哭让人感动让人落泪让人忘不了。            
(5星)	 好好看~金抽抽            
(4星)	 最后几集编剧抽风了，要是没有傲娇小受，后面确实想弃剧            
(4星)	 最喜欢看两人灵魂对换的时候啦！最后好幸福呀！            
(4星)	 玄彬帅得简直华丽丽啊~~~~河MM片头打扮酷毙了真是让没有免疫力啊~~~~            
(4星)	 沉静如玉。            
(4星)	 韩剧就是让你相信童话！            
(5星)	 好看的没话讲！太喜欢玄彬叻 尤其喜欢13集~❤            
(4星)	 happyending很温馨~            
(4星)	 四星都是给玄彬的，NND，老娘好不容易回归到现实中来的 ~~~~(&gt;_&lt;)~~~~             
(NA)	 为了配合你的高贵 我穿上名牌 可一点也没变的高贵 反而更加苦逼            
(5星)	 不多说 我追的第一部剧 秘密花园 我的最爱            
(5星)	 第一次评论：这部片子太扯了吧！太扯了吧！太扯了吧！太扯了吧！太扯了吧！太扯了吧！太扯了吧！太扯了吧！太扯了吧！太扯了吧！第二次评论：很不错呀，催泪又催笑。            
(4星)	 除了玄彬 这又是一个侮辱大众智商的灰姑娘王子故事 sigh || 看到18集我哭了...跟之前想到的不一样            
(5星)	 虽然是俗套的王子与灰姑娘，胜在王子够帅，灰姑娘够个性，并且毒舌男的外冷内热还是挺有趣的。灵魂互换的部分虽然在逻辑上有不够通顺的部分，不过两位演员的演技很到位。画面的质感美感、配乐都不错。熬了两个通宵腐完，还是值得的。            
(5星)	 玄彬家的几件家当是10春在米兰展出的新品，可惜想不起品牌了。塑造一个有钱人就得用钱来当道具啊。山寨芒果这点都学不会真的可以歇着了。            
(5星)	 看的各种春 各种想结婚T T 好爱玄彬！            
(NA)	 每看完一部就一阵空虚感，金朱元固然幼稚，可那样的责任心和坚定的爱，是多么的难得啊            
(5星)	 我不是爱你 是只爱你这个笨女人            
(4星)	 《金三顺》对我来说是偶像剧的五星，以此为标准的话，《秘密花园》还是要差很多的，最多只有三星，玄彬的颜补回一星，最后得分四星。            
(NA)	 电视剧中的爱情总是美好的. 在这寒冷的冬季能被温暖一把其实也挺不错.            
(4星)	 后来，王子和公主幸福地生活在一起，后来的后来，还是幸福地生活着。            
(4星)	 结局生了三个孩子啊，真好            
(3星)	 凑合看            
(5星)	 我才不信，太不真实的幸福。就算是再香浓的茶，也只会越泡越淡。            
(4星)	 玄彬入伍前最后一部作品 MyBin依旧帅气啊~！            
(3星)	 看一半弃了...果然这种弱智的魔幻什么的不是我的菜...三星给玄彬。            
(5星)	 你好瘦 可是演技还是很好 有些小细节我觉得你跟NIC有点像 还有飙车那段你的表情太到位了            
(5星)	 女主角说，你想把我变成灰姑娘么？他说：不，你是人鱼公主，等我去和家世学历相当的人结婚，你就给我像泡沫般消失。             
(4星)	 太搞笑了，玄彬简直老年痴呆么，整个周末就在看肥皂剧中度过了            
(4星)	 其实，真的还算不错了。玄彬和河智苑的演技真不是盖的。。。            
(4星)	 前半部真的是，太搞笑啦！            
(3星)	 才发现,我的&#34;姐姐&#34;长得像玄彬诶~            
(5星)	 我肿么现在才看，错过了好多追剧的乐趣啊有没有！玄彬真系惹人爱！河MM的造型有点不够美丽啊，当然人还是美的。最后孙艺珍的出场太惊艳鸟！那个小给赶脚也蛮好呢！=3=            
(3星)	 看下去是想看玄彬的身板            
(4星)	 看多了美剧，换换口味。因为玄彬（￣ c￣）y▂ξ。。。             
(4星)	 身体互换后就变得有点儿无聊了。            
(4星)	 剧情真的很一般，典型的灰姑娘爱情故事看多了早已有抵抗力了。一颗星给玄彬~ 帅疯了~内个红毛gay也很有型~            
(3星)	 前面剧情非常脑残 后来正回来点儿 现在看这种剧完全是因为不想思考            
(3星)	 三星给玄彬            
(2星)	 有没有人一样觉得很无趣的            
(3星)	 典型的童话式韩剧。虽然剧情拖拉弱智，但是这就是韩剧存在的价值啊。浪漫的时候浪漫死，悲情的时候悲情死。三星全给玄彬。帅的一塌糊涂。            
(5星)	 三爷让我犯了桃花病            
(5星)	 笑到抽！韩剧这次没有输。            
(5星)	 难得看到不错的韩剧啊，没有快进。对毒舌的金幼稚还是满有爱的~            
(3星)	 太瘦了有点拔子了都，女主实在是无爱            
(3星)	 完全是冲帅哥来的            
(3星)	 完全没有剧情发展看了第一集可以直接看最后一集的电视片儿，实在不忍心看玄彬“削”瘦的脸儿            
(4星)	 看的我好鸡动啊！！！少女心泛滥！！            
(5星)	 演技十分精彩。台词精彩，人物可爱，不用、不能快进的剧。            
(5星)	 奇了怪了 这几年玄彬演的电视剧 我竟然七七八八都补上了 是有那么喜欢他吗？！            
(2星)	 啊，我看到后边居然觉得男主角有点帅(后来才知道是一个叫玄彬的家伙，好像还挺红的？)，我被扭曲的审美观……他笑起来还有个小酒窝，要命-_-            
(NA)	 韩剧对我来说 其实一直有点难理解……            
(4星)	 玄先生越来越正点了~            
(2星)	 哪个枪说不老套的真尼玛厚脸逼！            
(3星)	 玄彬真特么的帅，但是脸咋凹成那样儿了呢？瘦的跟脱了水似的，还是整容了？。女主女配都很丑，因为女主太糟糕差点没看下去。此剧应该在16集果断完结，后边儿拖拖拉拉烦死人。            
(5星)	 韩国的偶像剧真是....你不服不行啊            
(3星)	 玄彬的脸都成锥子了……            
