http://movie.douban.com/subject/3113421/	敲敲爱上你
(NA)	讨喜却不好运的男主，不喜欢的剧情。
(4星)	明道您咋又被虐成这样
(3星)	可怜的席大的小说。还是更偏爱耶律的。
(2星)	女主和男主都是狗屎。。。最后两集是猪粪。。。
(2星)	为了看大家盛赞的明道的演技，豁出去了，20集，观完。
(3星)	整個一個白雪公主灰姑娘的故事啊 演得這個叫一個假啊 就是讓各位耍帥扮靚來的嗎
(NA)	我果然很中意明道捂脸！这部剧除了明道剩下的都是垃圾人物啊啊啊啊——这海报改的……山寨兴国……
(2星)	不全为了结局和赵冠希！
(NA)	感觉一般般~~~~喜欢个开头~~~~郭品超好唔靓仔啊~~~~个样好怪啊~~~~
(1星)	结局太tnnd的狗血了
(2星)	妈妈欢喜明道呀= =
(3星)	靠！这哪里是席绢，这明明是匪我思存。。。
(NA)	【2009-06-22】
(4星)	很有共鸣的一部剧
(3星)	原著比电视剧好看。。。不讨厌郭品超，不喜欢明道，就这样。
(2星)	烂片真的是要看一看才知道有多烂的。。。。
(3星)	这是帮助我在世界杯期间熬过凌晨的电视剧.还不错~
(NA)	额。明道在这里头还是满正太的嘛。哈哈
(4星)	老实说结局真有些失望，好希望明道跟女主在一起。另外，明道的演技真是让我刮目相看呢！八错~~ 哈哈
(3星)	唉 台词还行 其他就。。
(2星)	居然把《珠玉在侧》拍得那么烂！
(NA)	全班六点档之一，海报真的很LF- -
(2星)	制作方脑子抽了么？？？如此山寨的海报....last friends....
(3星)	啊 台湾偶像剧```
(3星)	无聊言情
(4星)	吴亚馨够正！
(2星)	匪夷所思这个恶劣的山寨的last friend的海报···要是没有吴亚馨···我就应该播掉台~
(4星)	喜欢的一部台剧姚子望我欣赏的冷暖自知的女强人 也欣赏像赵冠希这样的男子
(2星)	好好地《珠玉在侧》啊...把女主角的闪光点改得乱七八糟...
(4星)	四颗星全是打给明道的。明道版的白瑞德。对编剧又爱又恨。明道的戏份都很喜欢。但结局实在......纠结。爱雪歌，又在雨中回到冠希的身边，结了婚，又离婚...这女人真想掐死她。
(3星)	一开始挺好看的，到后面越来越恶俗，越来越恶心，讨厌懦弱的姚子望。
(4星)	除了结局,其他都还不错,没有以往台剧的歇斯底里与装疯卖傻
(3星)	失败的收尾 
(2星)	做到像你一样，真正可以骄傲的姚子望。~剧情实在是变态~
(NA)	看了开头就知晓结尾的偶像剧，哎╮(╯▽╰)╭
(3星)	海报像copy日剧last friend
(NA)	女主角很漂亮~~·
(3星)	20
(3星)	结局不好。。。为什么赵家兄妹要给设计的那么惨！！！
(NA)	为了明道才坚持下来的。。
(3星)	嗯。怎麼說呢，編劇的重點完全錯誤了。
(2星)	我也不知道自己为什么要看这部戏。。。
(2星)	。。。
(1星)	雷人海报不看！
(3星)	就是冲你去的
(1星)	大约我已经过了看台剧的年龄了。史上最低评分出现了。
(2星)	女主太差~
(3星)	女主角和郭同学的演技实在是。。如果没有林小明同学我早就倒戈了。。。
(2星)	除了明道以外男女演员都很差劲！
(3星)	很少有人是为了男女主角才看这部戏吧?主角又丑又弱.要不是小璐和明道,打死我都不会看这么弱智的偶像剧.假得有水平!
(3星)	意想不到地好看 琼瑶味 还有点斗鱼的影子 喜欢  可惜后面部分有点拖拉 
(3星)	通过这部剧，超爱明道的，看过的同学都希望女主和他在一起，明道演的真是很好
(NA)	看过很久了，回忆起来很喜欢里面的女主角的感觉。
(NA)	台湾偶像剧真的是越来越烂了，不该抱有幻想的。
(4星)	看的时候感动得稀里哗啦一塌糊涂，我的泪点也是奇葩型的
(3星)	要不是席绢，要不是明道……我才不看呢……
(5星)	亮点是明道，绝对的·大爱~
(2星)	整部戏最爱的就是“黑裙子”了
(1星)	看了一集看不下去，剧情无聊。
(3星)	这些年郭品超都在干嘛呢？！
(5星)	这是我看过的明道最棒的作品，也是台湾偶像剧里讲爱情最深刻的一部，在大结局之前，我一直以为明道才是男主角~有人说这里的男女关系类似于飘，可飘里的男主人公不是船长吗？
(2星)	这海报也太像LAST FRIEND了 … 真心讨厌李小璐  …
(3星)	女主超级有气质！剧情到后面就不喜欢了…
(3星)	你还我席绢！！！
(3星)	看在明道的份上，再多给一颗星吧
(NA)	江苏卫视
(5星)	总之，我就觉得这是一部让我思考很多的偶像剧，值得推荐。人的感情，最奇妙，最深刻。其实有一点《飘》的味道
(4星)	剧本比珠玉在侧多了男二，非常成功的设置，但结尾太牵强了
(NA)	干嘛学last friend 的海报啊！
(2星)	我还是蛮喜欢蒋怡的。
(3星)	不得不承认这是明道演的最棒的一部`
(1星)	这尼玛是抄袭最后的朋友么！！！！！！！！！
(2星)	狗血
(4星)	只看明道的镜头看完的，对于另一个一直就是非好感。
(3星)	电视剧不及小说，个人认为不是演员的问题，是编剧
(NA)	一直以为明道是男主.....
(3星)	海报让人无语，怎么跟最后的朋友这么相似类
(3星)	明道的眉毛。。。让我越来越喜欢
(3星)	封面，不解释
(1星)	你妹！原著多有爱……
(4星)	肯定MD的演技了。。。
(3星)	我还是喜欢书。。。。。
(2星)	什么烂结局，好心痛，觉得冠希和冠莉好可怜，开始的时候还很期待子望，最后好讨厌她，怎么可以那样对冠希，最最讨厌程雪歌，自始至终都不喜欢这个人物
(3星)	三颗星一起给明道了。
(4星)	追了蠻久的。。不喜歡結局！
(2星)	姚子望，你到底想怎样？
(3星)	额……封面是在恶搞LAST FRIENDS么……其实女主角演的意外的不错，而且很明显应该选男二男二男二！！！
(2星)	不喜欢
(4星)	像一个围城，只有身处其中的人才能懂得当时的感受，但也只有身处其外的人，才知道正确的行为方法。不曾受过伤害，就不知道伤害别人是件残酷的事。只有无求，才能拥有这世上最大的快乐。不管是喜欢你的人刚好是你喜欢的还是你喜欢的人刚好也喜欢你，这才是真爱。若不是，请不要伤害别人，也不要伤害自己
(1星)	女猪……让我shi
(3星)	喜欢郭品超~~故事太捞
(NA)	很好看～
(3星)	相较于席绢的原著，电视剧更有戏剧性~~
(NA)	不好看啊不好看
(1星)	简直是毁了我心目中无比完美的姚子望。姚子望在席绢的笔下可没有这样的言情。
(2星)	原著还是可以的，只是这电视剧...而且赵冠希的角色，真是....
(NA)	真不知道她最后的选择对不对，但心里总还是不如意。
(NA)	看小图我还以为名字写错这明明就是last frends的海报嘛 T0T
(5星)	让明道演男二号一刚，怪不得不红！
(2星)	可怜的原著啊~
(3星)	虽然痛苦~但却逃不出那世界~
(3星)	这海报，喷血
(4星)	想要成为姚子望那样能力很强的人
(4星)	还好。女主角演技太生涩
(4星)	虽然这个结局，我很懊恼~~~
(NA)	有点扯~~~~~而且我希望明道有个好结局~~~~
(3星)	虽然把《珠玉在侧》改编的乱七八糟，毁了程雪歌和姚子望。但是我非常喜欢剧中赵冠希这个人物，看的时候多希望子望嫁给他呀~~~
(4星)	喜欢赵家兄妹和女主，不喜欢结局，过于残忍！
(3星)	最近爱上看商场争斗加点爱情加点浪漫的片子，正巧赶上电视台播出此剧于是就在土豆上看喽，好或不好，已经看了就不放弃要看完。
(1星)	忍住跳着看完了，这什么狗血八点档啊！
(4星)	我很欣賞姚子望，雖然在感情上她的處理有所欠缺
(3星)	一般
(5星)	姚子望
(NA)	诶。。。。。。这封面，这演员，这改过的剧情。。。。明道是唯一的亮点。
(NA)	真心，想做，姚子望
(3星)	结局，超级讨厌的说。但是中间很好看的~·
(3星)	前面的情节还觉得不错，外加一直喜欢的明道，我还以为台湾的偶像剧终于换套路了，至少有所改变。最后的结局，竟然？！突然有种被耍的感觉，一直以为的男猪脚居然是男二号！！哎~~只能三颗星了。
(2星)	结局太烂了 ，如果不是有明道在，星会再少一个的。还有女主的妆是不是太假了
(5星)	超級喜歡姚子望!!!!!!!
(3星)	其實一開始的布局還是不錯的，演員亦頗對口味，而之後的俗套和拖沓也在意料之中，只是不喜歡女主角自私卻又自以為受害者的性格
(NA)	五年是不是长得太快了？？受不了
(2星)	这个海报！太囧了！！简直令人发指！
(3星)	压根没看完。也就是看看明道在里面的眼神吧！
(NA)	现在巨爱看的........嘻
(4星)	真的会悄悄爱上你~
(1星)	冲着《珠玉在侧》才去看的。失望至极。只能说，这部剧把席绢的的原著完全给毁了。
(4星)	哎呦 一言难尽 这就是人生？！
(3星)	搞半天是偶像剧啊~我还以为是生活剧呢，拍的跟TVB似地。
(3星)	最后，他们没有在一起，我心疼了。
(3星)	我还是喜欢书。
(3星)	明道的演技果然摆脱了让你不屑的那种水平。令人期待他以后的作品。所以我只是奇怪为什么居然程雪歌是男一号。。。另外，后面几集的情节比较差。
(4星)	因为明道所以真的很耐看！
(4星)	我也觉得结束得太仓促啊！
(NA)	太聪明了所以不近人情，太爱自己了所以不相信别人，但是太寂寞了，所以一旦爱上了，就不会轻易放弃
(3星)	拖。。。。非常拖，我更喜欢看剪辑版
(4星)	喜欢姚子琪这个角色
(3星)	商场的尔虞我诈，内心世界对真情的渴望，不经意间的爱上一个人，想不通最后的选择，想不通最后的结局
(2星)	破结局，无语
(2星)	我从不相信命运，因为从你相信的那一刻起，就只能任人宰割，毫无翻身的机会因为我们是同一种人，太聪明了，所以不近人情，太爱自己了，所以不相信别人，但是太寂寞了，所以一旦爱上了，就绝对不会轻言放弃~
(3星)	给她五星的原因是女主角的亦正亦邪的性格,还有我开始对明道改观了^，但是越后面越不耐看，还是只能沦为3星
(5星)	结局不尽人意。
(3星)	没事看着解闷吧~~
(1星)	烂
(3星)	郭先生  让我厌烦
(2星)	如果没有明道,我一星都不想给...
(3星)	其实我对于结局不满意～哈哈
(1星)	只有明道...
(4星)	帅气 美丽
(5星)	太爱明道了~~~~
(2星)	。
(3星)	结局不是我想要的呢，其实我还是希望冠希和子望在一起的
(3星)	故事情节发展令我很失望。。不过明道演得很好！
(NA)	第一次觉得即使是真爱也有不应该在一起的理由，第一次觉得那个貌似弱弱的第一男主角其实是不该得到真爱的。有的时候，勇敢和任性其实只差了一点点，如果能够换来大家和平安宁的生活，为什么一定要自私地追求所谓的真爱呢？用很多很多的伤口换来的幸福就真的幸福么？
(3星)	其实不用改编这个词倒好点，表现的根本不是小说中姚子望的爱情，女主只是一个正常的女孩而已，她只是正常的面对诱惑，处理理想与现实。
(3星)	俗
(4星)	好看是好看，可是结局结束得太快，而且，不是我希望看到的~ 所以内心纠结啊~为什么子望最后还是没有跟冠希在一起啊？！不爽！
(3星)	女主角是o形腿。明道相当的帅。
(2星)	看了近半年,一直只看到第7集就一直没追下去...于是最近才逼自己看完!明道的角色太残古了
(3星)	真是无趣！
(1星)	勉强看到第5集，看不下去啦~~~
(3星)	这个海报？怎么这么像GS GIRL的海报？其实我想说，剧情不错，因为有《飘》的影子。可惜，演员不太合适。明道的霸气和老谋深算还不够火候，郭品超的文人气质也还不出众。可惜了这剧本。看到第5集以后就不错，到第18集就让人觉得有点深刻。结局不知所云
(NA)	有点长有点无聊
(3星)	毕竟是本土言情，值得鼓励一下的
(3星)	开头是部好电视剧，明道的加入也倍添色彩，可是后半部实在是无语了，结局更是……
(3星)	出彩的赵冠希又要让各位fans伤心了。看过原著的慎入，会砸电视的。
(3星)	冲着李小璐和郭品超去看的，结果稍微有点失望，小璐戏份太少，没看头，郭品超演的角色不够出彩，所以连带他也没看头，失落。
