http://movie.douban.com/subject/4135704/	来不及说我爱你
(5星)	 为两位主演打5星 算好电视剧 女生看了 多半被爱情感动吧~            
(5星)	 大爱钟汉良            
(4星)	 四星全部献给总受。。。。            
(5星)	 汉良哥，我又再次爱上你了啊啊啊！！！            
(4星)	 钟汉良好帅阿…好帅阿            
(5星)	 或许只凭想象李小冉绝不是我心中静琬之最佳人选但是李姑娘的用心却无可挑剔，而从《不悔》莫朝春钟美人那时候起认定的四少之最佳人选果真不负我望~暂且不说那后部分主旋律如何突兀            
(5星)	 钟汉良和李小冉很符合我看小说时的臆想，弄的我跟着他们纠结啊，不过钟汉良真的好帅吖^^            
(4星)	 翻拍言情小说，胜在演员优秀适合，而且把匪大的悲剧改成了皆大欢喜。            
(3星)	 看了所有的片花，怕影响书在我心中的形象，那个未婚夫坏得戏份也太多了吧。            
(4星)	 “遇上你，这样迟。”新女性值得更好的人来疼惜。3星给电视剧，还有1星给钟汉良~三十几岁的男人果然是尤物。口水流了一地&gt;.&lt;  各种flirting，各种情调，各种浪漫，各种虐人= =  如果不是配音就更好了~            
(5星)	 钟汉良好帅呀！！~~            
(5星)	 花痴了            
(NA)	 那谁..超级帅!!!!!!!!!!!!一步很不错的战争年代背景下的爱情剧            
(5星)	 超级无敌的好看。四少老霸道了，她和静琬在一起的时候，我的心脏啊，要蹦出来了。。。            
(5星)	 小太阳就不说了!!!            
(5星)	 我从来没有这么爱编剧过。。。我真的爱死这个编剧了。。。90%尊重原著。。。10%的改动把剧情推动的更好。。。            
(4星)	 琴瑟在御，莫不静好            
(5星)	 慕容四少！！！            
(5星)	 太他妈好看了！！！            
(4星)	 又是跟着我妈看的 我妈就是电视剧女王            
(5星)	 还好最后HE~            
(4星)	 哎呀呀~小哇好帅！！！！！！！            
(5星)	 小哇~            
(5星)	 小哇，，超帅！！！！！            
(5星)	 哈哈~~我只能说5星都给钟汉良~~~~~            
(5星)	 男主演得那是相当出彩！            
(5星)	 完全是冲着钟汉良给的~~~~熬到今早六点看完，真真不容易！！！！            
(5星)	 我是有多喜欢这个小说多满意这个阵容呀            
(5星)	 天啊！小哇，HLL的帅！慕容！我挺你            
(5星)	 主要是俩主角太给力了~~所以某些雷人狗血桥段还有垃圾配乐啥的都是可以原谅的啦            
(5星)	 小太阳啊啊啊啊            
(3星)	 那个信之兄快把里家小四四拉回去~~用圣母的光环把炮灰都闪瞎眼吧~~好好调教~~呃            
(4星)	 少女梦永远是少女梦啊！            
(4星)	 小太阳是真的很适合戎马军装的军阀形象，帅！静琬，我遇见你，这样迟！只要你还活着，你就得是我的！这一辈子你只能嫁给我！我要你嫁给我！我以前很聪明的，不知道为什么，遇见你就变傻了。哦吆我滴妈呀，台词句句瞄准心脏~浪漫是浪漫的来！虽然很不现实，心脏还是给射穿鸟~最后那声大姐把我笑喷了。            
(5星)	 静琬，我要给你这全天下女子仰望的幸福。我要把这天下送到你面前。            
(5星)	 如果你愿意把天下送到我面前，那我会毫不犹豫的跟你走。钟小哇我现在是你的粉哦哦哦。            
(5星)	 五星全给小哇！宣布正式成为良民一枚！            
(5星)	 小哇每一部戏都演得如此惟妙惟肖。无论是正的追命是邪的顾惜朝。每部都很传神            
(5星)	 钟sir杀死人不偿命啊~~            
(5星)	 失忆神马的，忒狗血了点，拾忆的原因就更值得吐槽了。&gt;&lt;  不过，为了我们家风华绝代的小哇，五星必须的！！！= =  我怎么这么晚才发现你的美啊。。。T T            
(NA)	 有個鏡頭灰常歡樂，就是攻下烏池之後JW跪在家門口，第二天早上的時候，估計後面的那個士兵站得過久，伸展了一下腿，笑死偶叻            
(4星)	 算是近年来看的基本上比较舒服的大陆言情剧，再加上苏樱这个角色，多给一星。在又虐又长的情节中苏樱的出现像是换了一口气，演职人员也很痛快吧，真是什么仇都报了。主角和大小配角都算称职。导演有些场面拍得还算温馨，但尚觉渲染不够。想起在拍《又见一帘幽梦》时，琼瑶说这个导演喜欢用长镜头，而对            
(5星)	 李小冉是演得真的好。。。感觉就是为她量身定做的角色~~要温柔有温柔~~要独立有独立~~要可爱有可爱~要娇媚有娇媚（那个苏樱）。。。 钟汉良是真的帅。。唉~~真帅哈啊哈~~~~ 整个片子还算不错~~哭得不行~~在动力学考试之前的几个晚上猛看看完了~音乐是真的很混乱。天天熬夜。晕。            
(5星)	 再看了一次，发现小冉的静婉初期居然有那样一种娇羞清纯的少女气息，和后面的坚韧决绝形成很强的对比，很好的表现了一个女人在时光和爱情中的成长！而小哇的沛林一直没有什么变化，而且都后面越发儿女情长，不是很符合男人的成长吧！而且剧情在10集以后比较拖沓，爱情和时代结合的不好            
(4星)	 四颗星是给钟先生的！演技太棒了！赞一个！说实话，我真的不太喜欢看到李小冉……不过还是虐心地把36集都看完了……只能说，为爱奋不顾身的四少和默默守护不计回报的信之，都是女作家以及广大女性眼中的极品男人吧，现实生活中有没有，真的不敢想象……不喜欢这个圆满的结局，是因为感觉有些牵强了…            
(5星)	   不知怎么回事看了这部电视，然后发现原来还有这样的爱情 这个大概就是爱吧  我以为后来是个悲剧 原来还是喜剧    男女主角的演技真的很不错  那个眼神 让人觉得这个是爱情的眼神吧  看得我悲喜交加            
(4星)	 跳过中间一大段据说有点雷的剧情了。。。反正前半部挺好看的 钟汉良好帅啊~~~~~~            
(3星)	 还不错了，挺细腻的。小冉和小哇演技都好，小哇的眼神和笑特别能秒杀人            
(NA)	 钟钟笑的好迷            
(4星)	 小哇在接过无数烂片之后  终于有演好片的一日了 ……以前的烂编剧编的烂片苦了小哇童鞋了……            
(4星)	 Orz我HC完毕了。。。。。            
(5星)	 为帅气的慕容四少打五星            
(5星)	 心中的四少（其实是六少）好像是钟汉良这样子的……            
(5星)	 非常好看~太喜欢钟汉良的四少了，演得真细腻            
(NA)	 第十集开场汉良兄牙咬切齿状说 我就想告诉天下人的时候战胜了一切            
(5星)	 小哇同学的表演很有力，            
(5星)	 標題實在是無語~演員造就了經典~小鍾和小冉般配的無可救藥~郎才女貌丫……            
(5星)	 两天一夜看完了，心里空荡荡的，满脑子的四少，钟汉良演的真不错啊~~            
(5星)	 拍得很好的电视剧，很搭配的情侣档，很秒杀的钟汉良．．．            
(5星)	 改编的很不错，演员们都很到位，道具服装业很精致，算是难得的一部诚意之作了。男主角太TNND帅了，喜欢            
(4星)	 配音真他娘的难听，男主角的配音完全没有力度，所有外语的配音全™一个样子，跟复读机似地。            
(3星)	 其实只要看片花就可以了，即使小哇和小冉大大满足了我的YY            
(5星)	 这是我看过改编自小说的电视剧中最好看的，也许主要是因为钟汉良，太帅了！            
(4星)	 四少无比帅啊！！！            
(4星)	 小哇~love~            
(4星)	 小太阳永远是那么帅，小冉和他的磁场很有！            
(4星)	 钟汉良你果然就是我的爱吗【T  T】             
(5星)	 终于等到了！！小哇太帅了！！！！            
(4星)	 拍得比写得好！！！ 怀表先生很霸气，兰花小姐很美~~            
(4星)	 ……台词面目全非……虽然很萌钟汉良，但四少那幅忧国忧民痴情汉的形象老娘受不了= =李小冉不错。程谨之本来很萌，问题是导演把她模式化了，我最讨厌模式化的反派。            
(5星)	 钟四少，你帅得，虐得姐HC了，不淡定了            
(5星)	 虽然很狗血，但是选角选的太好了，让我自动忽略剧情！            
(5星)	 很强大的一部片子。很值得看~！钟汉良和李小冉在里面的演技都很给力~！            
(4星)	 钟帅哥，你是我的菜            
(4星)	 钟汉良确实的帅，这部剧确实的抽~~~~哎，要江山，要美人~~~男人，对于最爱也可以舍弃，也许，失去了最爱，还有最最爱~~~最后发现还是最爱好            
(5星)	 当时看书的时候就沦陷了，哭的那个是啊。期待已久了，男女主角都非常满意，帅气的小钟啊~就拿配乐是在是！电视剧很贴近书，看到画面就想起看书时的细节，很感动，失去了才发现什么才是自己最想要的。            
(5星)	 虐死了。钟汉良演得很棒！            
(5星)	 大爱啊~~~~我这么不爱看悲剧的人，看得都快着魔了。以前对钟汉良和李小冉没什么感觉，但在这部戏里俩人都对角色演绎的非常成功，四少霸气中有柔情，静琬沉静中偶尔娇俏，太给力啦！！            
(5星)	 这作者果然能虐            
(3星)	 俩个主角的人选气质是符合了。很凑巧，刚开这本书的前一天我还在看《张学良和赵四的传记》，看到此书，立马就觉得是在写他俩。            
(4星)	 面前摆着那么好的原著小说，结果把结尾改成那么和谐，我只能说编剧脑袋进水了。钟汉良和李小冉的表演非常好，特别符合原书的感觉。越虐越纠结，我越爱。            
(4星)	 完全是冲着2个主人公看下去的。。结局就不说了，配乐也不说了，不过船戏还是8错的。。。水嫩的2只啊            
(4星)	 一星为了钟汉良、一星为了李小冉、一星为了匪我思存、一星为了编剧没有编的太让人恶心。。。。 没办法，很多电视改编小说都改得太烂。想当年我看原著《碧甕沉》的时候，我的小心肝简直都伤透了，后来匪大的书就一本不看了，听说电视剧不是悲剧我才敢来看。只是加那么多民族大义干什么言情剧而已啊~            
(4星)	 虽然被配音雷到  但做梦时自己变成了静婉            
(4星)	 虐死我了。你们都敢不敢不要那么倔啊。            
(5星)	 n年没有看国产片的我，中了这部片子的毒。嗯~我终于明白为什么有人会自虐一样喜欢霸道，大男子主义的男人了。神啊~赐我一个钟汉良吧。。。            
(4星)	 哎哟喂，小哇，你怎么能越来越帅哩，李小冉皮肤好好哦，最后的结局太狗血了，还是按照原小说给个悲剧的好            
(5星)	 四少，偶HC你！            
(5星)	 根据小说改编中，算得上成功的电视剧。演员很给力，k的一点都不含糊。比较满意的是结局，谁都知道匪我思存是后妈，可电视剧的结局改的还是比较圆满的，让人不至于扼腕叹息了。            
(5星)	 哦 我爱钟汉良~            
(5星)	 1.医生，你如此善眼天真，第一眼看到你我就觉得你必定要在别人的爱情里死而后已的。最后你果然成了个悲情大叔。2.演员选得好，剧情也十分顺理成章，难得这么柔弱的女主到最后不会让人生厌。3.最后花痴一句：四傻，你帅得一塌糊涂。。毁了我三天的时间。。            
(5星)	 四少四少 太强大了            
(4星)	 追了几天终于看完了，钟汉良跟李小冉的男才女貌实在是让人不得不一口气追完啊。整个片子就是男主不断被其他女人强吻、女主不断被男人公主抱、男二不断被发好人卡、女二不断抽神经病组成的。片子制作还算良好，除了女主一开始的那双奇丑无比的白鞋子和雷人插曲。。。            
(5星)	 受不了了受不了了！好多JQ戏啊！太虐了！            
(5星)	 这个片子真的非常经典，望能大火特火！！！！            
(5星)	 钟小哇太给力了~小冉好白好白好白~            
(5星)	 至今看过男主角哭的最多的电视剧，我看过的小说改编的最好的，演员演技最好的，大爱小哇~            
(5星)	 完全秒杀 中毒ing            
(5星)	 电视剧比小说人物更丰满。条理线索更清晰。在一定程度上满足了观众的心理洁癖。重要的是，钟小哇我要跟你表白！狗血剧情什么的最赞了！            
(4星)	 配音真的太无敌了。            
(5星)	 我的小哇，我的最爱            
(3星)	 擦！比我想象的改的还要革命啊！            
(3星)	 其实剧情还是蛮老套了···看多了穿越的我真是提不起什么大兴趣··但是 钟汉良好帅！！！！！！！！            
(5星)	 虽然根据小说改编的也太虐了，但是无疑钟汉良再次帅翻到不行！！！！            
(5星)	 大爱钟汉良那坚定的眼神儿啊~~~~~            
(5星)	 男女主角都是我爱的！这样的搭配很有爱！大胆的舌吻很真实！虐得我很窝心！！            
(5星)	 终于有个完美的结局了~~小太阳，四少只是你无可取代~            
(5星)	 彻底沦陷了～～～那眼神～～            
(4星)	 如果直接看电视剧应该会更好 四少砸花房的时候真的心痛了 信之的爱让我很感动            
(4星)	 虽然还是有偶像剧不可避免的俗套元素，就冲着这华丽丽的吻戏，也得给个4...            
(4星)	 制服控表示被小哇彻底秒杀，男色之下剧情就是浮云            
(4星)	 兰花小姐&amp;怀表先生，小哇军装太迷人了            
(5星)	 至少是目前为止不错的改编电视剧。。。            
(5星)	 我爱上了钟先生。。。。。            
(5星)	 还没看完就中毒了            
(5星)	 剧是狗血的，但演员很给力。            
(4星)	 怀表先生和兰花小姐~然后配乐真是烂，外加怀表上的“沛林”二字怎么还是华文行楷...            
(5星)	 目前见过吻戏最多的电视剧吧。。。。我是说。。。中国内地的。            
(5星)	 我被彻底俘获了，感动得一塌糊涂。后来翻《玉碎》，看到慕容沣遇见素素的时候，眼泪止不住呼呼直流。小哇把慕容沣演活了，一想到慕容沣脑袋里就是小哇的样子。感动吖感动，我都语无伦次了，呵呵            
(4星)	 钟汉良很帅~剧情很狗血……（我就爱狗血的…-，-）            
(5星)	 被秒杀了N次            
(4星)	 当初没看匪我思存的这本，是因为不喜欢民国时期的那种背景。但是这部电视剧真的很不错，或许有很多细节处理的不是很好，但是，里面确实有很多爱情的感动。。。            
(5星)	 小哇好帅！！！！！看的偶眼睛都要冒星星了！！！！！呜哇哇哇哇~~~~~~~~~~            
(5星)	 虽然和原著有不同  但是选角儿选的太对了            
(5星)	 好久没这么给力的剧了&gt;&lt; 主要是男女主演员选得太棒了&gt;&lt; 小哇的四少太苏&gt;///&lt;            
(4星)	 后面几集很虐人，两人演的很棒            
(4星)	 吻得我都硬了…            
(5星)	 特别喜欢看四少穿军装的样子，让我看到了张学良的影子。            
(5星)	 原来小哇的演技这么纯熟。。。            
(5星)	 因为和《大时代》是同一个导演而有所期待，果然是近年来少有的佳片，钟汉良和李小冉完全不像在是演戏，两个人太有feeling了～～～            
(5星)	 非常好看，中毒ing            
(5星)	 让我死吧 太好看！！！！            
(4星)	 原来一直不明白为什么天涯上钟汉良这么受待见，看了几集，钟小哇确实很有型，慕容四少英气逼人啊~~ 没给5星是因为不合时宜的音乐            
(5星)	 帅啊啊啊 啊啊 啊啊啊 啊啊啊啊             
(4星)	 啧啧啧  美型            
(4星)	 静婉怎么可以不和我喜欢的医生在一起！！！            
(4星)	 好久没有看国内的连续剧了。。然后觉得自己真的out了，那激情戏真的好激情哇。。。            
(4星)	 第一次看钟帅哥的片子，被他惊艳了！心水的男人。。。            
(5星)	 被慕容四少秒到了            
(5星)	 剧情合理，有感染力，钟汉良演绎感情充沛，配角野很到位，很优秀的一部剧~            
(4星)	 遇见你，这样迟。            
(5星)	 又霸气又深情又腹黑，大爱四少啊，深情的眼神害我一下子就原谅了他选择了江山            
(5星)	 四少说，遇见你，那么迟，，啊哪个女的挡得牢啊，，，            
(5星)	 推荐看啊 虽然结局跟小说大不一样了            
(4星)	 偶然发现，小说居然已经拍成电视剧了，完美结局终于不用揪心了！            
(5星)	 我想说男女主角已经诠释的很好了。36集的电视剧，over 90我全看下来了。            
(5星)	 。。。臭小钟别乱勾人~~            
(4星)	 打鸡血啊。让我遇到这样的多情种吧。。。            
(3星)	 太冗长了！！！！！冲男猪看。。。。            
(4星)	 匪后妈的原版书我是没看过的 这部剧最近很热 室友在看的时候无聊也瞄几眼的看完了差不多 纠结的要死 虽然不喜欢这种类型的 还是得承认拍的不错 期待明年的清穿剧~             
(4星)	 钟汉良好帅，可男人，爱死了，不过最后结局部分，唉…有些东西能不能不让他那么神奇            
(5星)	 小哇，我爱你，太给力了！            
(4星)	 话说 这两只都是 逆生长的妖精 明明年纪不小了，颜还是那么嫩 实际看了，近景看还是有点点老了~            
(5星)	 小哇演的四少很秒杀，帅。。近期改拍剧中最成功的一部。。。            
(3星)	 我才不要做你什么劳什子大哥！    哈哈            
(4星)	 冲着汉良哥哥，给个四星吧。其实李小冉在里边演得很好。电视剧改了结局，总算是有些欣慰。挺好挺好的。            
(5星)	 小哇小太阳小四少！！！！ 爱死你啦！！！！            
(5星)	 看到四少的眼泪，之前气得掀桌子的我，瞬间内牛满面。我没用...            
(5星)	 大爱小哇！！！            
(5星)	 首先感谢和政府，然后感谢肿菊，如此大力封杀下我们的网络作者还活着~有了那么多好的小说做基础，我们内地除了革命小红片也有了好看的肥皂剧            
(NA)	 边看边骂，边骂边看，有点虐又有点雷。不过算是一部不错的国产电视剧，两个主角演技满出色的。当然当然不可否认，被慕容四少秒杀。。            
(4星)	 四少四少！！！中毒了，额~            
(5星)	 被四少秒杀呀~            
(5星)	 近期的大爱            
(4星)	 频繁快进，不过钟汉良就是养眼啊！            
(5星)	 帅得没边了都，我老沦陷了            
(4星)	 只能说这部小说改编成的电视最大的成功点就在于选了钟汉良为男主。            
(4星)	 小哇真是好看到shi。。就是配乐。。太掉价了。。。。            
(3星)	 匪大的书，N年前就看过了……电视剧嘛，钟小哇的美色支撑我看完了整部剧……            
(3星)	 钟汉良和李小冉结婚吧！！！！！！              
(5星)	 四少我被你秒杀了~~            
(5星)	 为啥子我才发现钟汉良那么帅。！！            
(4星)	 钟汉良太帅了，其他一些瑕疵可以忽略不计，我几乎是连续看完的，看了一个通宵，上班的时候还有4集没看完，就偷偷地在办公室看，被BOSS发现了。但是我豁出去了···看完之后，好几天不能抽离出来···我承认，我中毒了···            
(4星)	 这个结局比小说好。。钟汉良很man            
(5星)	 喜欢小哇，喜欢慕容四少！花痴中！！！            
(5星)	 超级赞，很喜欢的电视。喜欢钟汉良演绎的沛林~            
(4星)	 第一部看的完整连续剧啊啊..把小说改编的也不咋的...钟汉良好嗲的❤            
(5星)	 天雷滚滚就天雷滚滚吧，谁又敢说原著里尹静琬几年后不是依然爱着沛林呢？两位演员演的太好了，李小冉真是不让我失望，钟汉良太萌了！虽然最后的主旋律有些不完美，但是只要静琬和沛林心中有爱，那么距离就不再遥远不是吗？            
(5星)	 我义无反顾加入良民的行列            
(4星)	 除了插曲太惊悚，剧本、选角都相当给力。看钟少平时温文尔雅的，没想到演起慕容沣来老霸气了！看完此剧，中毒颇深！            
(5星)	 想写点不一样的，可咱就水平，写了删删了写，最后心一平，还是说，这电视，实在是太太太好看了！保你，看了寝食难安，不想吃不想睡，心里就惦记着这沉醉的剧情。            
(5星)	 为了钟汉良的慕容四少而来。            
(5星)	 慕容沣，你虐死我了！            
(5星)	 钟汉良演的慕容四少霸气又痴情。李小冉演的静婉外柔内刚，两个演员挑得非常好。真是嫁人当嫁慕容四少，娶妻应娶尹静婉。            
(5星)	 虽然有的地方很雷 还有插曲啥的 但是两主角太给力了！！！            
(5星)	 小哇这次的表演太出彩了，现在发现好多小说的男主角他都能演~期待他的下一部剧~            
(5星)	 啊啊啊啊啊啊啊啊啊啊啊啊啊~~~~~~            
(5星)	 25集之前都不错，就是配乐真的是超级无敌烂。。。            
(5星)	 天涯的帖子看的我好激动！！！钟小哇你得劲的亲啊抱啊船啊！！！            
(4星)	 如此给力的男女猪，啥也不说了！但是，那让人迅速出戏的插曲哟~真素出离愤怒！减一颗星！            
(5星)	 除了第一集打戏很失败，插曲很不合适以外，其他的很满意。钟汉良一身戎装太呆了            
(4星)	 看完之后开始喜欢钟汉良            
(5星)	 不错哇不错哇 自从看了凤穿牡丹后 就开始喜欢李小冉.. 这种民国剧里的她总是白白的  里面的男主人公总是【中西结合】~~洋气十足 嗯~~嘿嘿 蛮好看的            
(5星)	 pps上有全集啊 演员跳得不错 剧情改的有点乱 总之相对以往几部改编剧来不及说我爱你算是上品了            
(5星)	 好吧，演员选的很对。。。            
(4星)	 因为看到一张kiss的gif奔去打包下了这部剧 小哇真是帅啊&gt; &lt; 最后的结局虽然很傻 但是表示还是喜欢团圆结局的恩~ 哎 这种太长的虐剧我已经不大能接受了。。。 PS.插曲真的很雷囧            
(4星)	 我发现我有军阀癖  我爱军阀.....            
(4星)	 爱别离 求不得 完全被四少给秒杀            
(4星)	 我脆弱的小心肝儿经受不住如此之虐哟....幸好结局木有遵循原著.....            
(5星)	 演员服装道具都很不错，就是有一首插曲太雷了。男女主角的颜都很好，完全没有对着蛤蟆赞天仙的囧感，床戏香艳，花痴一下XD……去看了小说，比起来，电视剧的整体背景上要大气一点，男主的性格有小幅弱化。在言情电视剧里，这样的也是很有诚意的作品了，毕竟不是正剧。            
(5星)	 实在是出乎我的意料~~尤其是小哇和小冉的演技~~~内个小眼神儿~~内个小火花儿~~~不行了我~~瞬间被秒~~~            
(5星)	 一天迫不及待的把它看完了。。个人觉得是小说改编的最为成功的一次了，，尽管我依旧喜欢小说的结局。。但是钟汉良的慕容四少还是让我为之一怔，怎样的男人，生杀天下却唯独对所爱的女子温柔。。“我要把天下送到你的面前” 这样的奇男子不得不让世间女子为之动容。。            
(4星)	 有些镜头拍的太过了就是，明明手里就三只纸鹤，突然掉下来就一堆了。。。。当时那个汗啊。。。。不过还好啦，我喜欢，用了两天赶工看完。。。            
(4星)	 看完我相信钟汉良不是gay了~~不过也说不定真是。。。            
(4星)	 钟汉良近期最好的一部剧 好看~空着的那颗星送给 配乐 俄语 and 结尾            
(4星)	 编剧其实你叫四傻吧，才会编出那么囧囧有神的剧情。不过为了小哇，为了小冉，为了重现的那些经典镜头，四星            
(5星)	 顶得住狗血与雷，就大胆的上吧，值得的……            
(5星)	 1.怀表先生你满足了我所有YY的幻想。2.兰花小姐其实可以嫩一点的，导致怀表先生最后叫大姐= =。3.许贱脏你个大坏人。4.程谨之你是穿越来的么...介个造型...我讨厌你。5.结局再雷也喜欢。6.中间我哭了,感动的。7.还算是尊重小说。8.钟汉良你能不能不要这么帅            
(5星)	 完全是因为钟汉良！！！            
(5星)	  从此沦为小哇粉丝 小冉支持依旧            
(5星)	 我要给你这世间女子都仰望的爱情，我要把这天下都送到你面前。。。            
