http://movie.douban.com/subject/2295810/	凤凰传说
(4星)	 看人家选美看得很开心~~            
(4星)	 已经差不多忘记了剧情.但很记得当年太喜欢这部片子,张家辉塑造的那个角色真是难得,有钱,有才,痴情地二世祖很难才遇到一个.            
(4星)	 曾经亦觉得很经典。。。            
(NA)	 非常小的时候。            
(NA)	 还想再看            
(4星)	 其实盈盈很漂亮            
(5星)	 我角色扮演症候群生涯的开始。            
(3星)	 姑娘人坏但是漂亮            
(3星)	 大四那年上海某台播的，一直追看。            
(4星)	 港姐 是這樣練成的            
(4星)	 我看过的最早的电视剧            
(4星)	 童年回忆，张家辉啊            
(NA)	 初中时候每集必候            
(5星)	 童年美好记忆 文颂娴真是漂亮 跟张家辉很配            
(NA)	 冰雪聪明            
