http://movie.douban.com/subject/5279587/	玛丽外宿中 매리는 외박중
(5星)	 爱上了这个拥有自由的灵魂的温暖善良慵懒的武玦（无缺）猫咪这其实是一个很复杂很难诠释的角色，不是一般人能驾驭的但是张根硕张演员又一次成功了张根硕的演技实在是太棒了果然“张根硕出品，必是佳品”            
(5星)	 小帅+咖啡王子+国民妹妹很吸引眼球的组合！ 话说这是小帅第几部跟音乐有关的片儿了~             
(5星)	 我喜欢代表 代表啊！！            
(5星)	 刚刚看完2集，男女主很吸引人！！！            
(4星)	 双根！！还有金在旭            
(5星)	 虽然有些细节不足,但是文妹子和小帅的养眼度已经冲去了一切~~~!!            
(5星)	 這部劇能順利結束的原因有99.9999%是因為雙根的鐵杆們啊，他們才是最大的功臣，給力啊~~~說實話如果編劇能從一而終的話，相信這部劇應該會更受歡迎的。雙根啊~以後一定要眼睛擦亮了挑選好劇本啊~~            
(2星)	 只看金材昱的戏份            
(3星)	 编剧实在太烂了情节一会儿好一会儿无聊透顶。看了几集不想看了又看了几集又上了瘾头。另外，文根英这里头除了最后的轻熟女装扮，一向的小女生的装扮可真够丑的 囧            
(NA)	 弃。话说我没看人物表前根本没发觉是文根英- -            
(5星)	 开始朋友推荐，不认识张根锡，但是冲着文根英看看。喜欢里面她的衣服，混搭的很好看诶，开始有点受不了男主角那么娘，不过看久了发现他也挺可爱的，两人很搭哦，剧情也比较浪漫喜剧加搞笑，还不错哦。。。时不时可以看见一部好看的韩剧咯！            
(5星)	 韩剧剧情狗血是必然的...不过两个主人公真的好可爱...好吧...我纯粹花痴给的分...哈....            
(5星)	 韩剧剧情万年不变,只是张根锡在里面,所以其实非常特别好看,啊哈哈~            
(5星)	 妖男呀么~小帅呀~我爱你~~~            
(5星)	 好看~            
(2星)	 烂。死忍活忍 忍到男主角出来后五分钟 就再也坚持不下去了，演技差劲又矫情，看得人龇牙咧嘴鸡皮疙瘩掉一地。            
(5星)	 这个片子太浪漫 太梦幻 太不真实了 但是这就是韩剧啊 也是我喜欢追韩剧的原因吧 因为绝美的张根硕也得给五星            
(NA)	 家人煲劇，於是一起看了。很垃圾。            
(4星)	 剧情实在太狗血，但为了那两只妖孽男，还是推荐吧。PS：如果这是一部腐剧会不会更有看头，呵呵呵。            
(3星)	 剧情就别追究了  纯粹为了看帅哥而看滴！ 好帅好帅 ~  哇咔咔            
(3星)	 爱情折腾得让人有些难以理解。。＝ ＝梦想又稍显单薄。三首主题曲不错。            
(2星)	 我是不是老了……怎么一点也看不下去呢！！！            
(5星)	 激动激动！！            
(4星)	 虎头蛇尾 狗尾续貂啊~但是我还是好爱帅哥啊啊啊~根硕啊根硕~材昱啊材昱~~            
(3星)	 冲着两个帅哥来的，剧情狗血恶俗的没办法形容，前几集稍有JQ的苗头，然后中间二男一女互虐，最后一集二男合宿火花四起，于是3P的HE。只有两男主可以看看，别的真是没看头。更喜欢男二，据了解男二其实也有乐队来着            
(NA)	 因为金材昱还是坚持看完了。。。。            
(4星)	 后面有点太拖了 完全为了张根锡才坚持的            
(3星)	 张根锡不能再瘦了            
(4星)	 我就是控男二的角色诶            
(1星)	 烂透了 一星是给男二的！！            
(5星)	 我是颜控~大硕太好看了！            
(3星)	 终于看完了....            
(3星)	 太墨迹····文M几件衣服不错张别再演主唱了看够了····金妖孽            
(2星)	 弃了 我以前挺喜欢文根英的现在怎么那么烦她 一点个人特质都没了搞得自己跟韩国演员流水线上的产物似的 转型的太失败了 还改了个雷人的名字 不知道怎么想的 形式主义害死人 张根锡的那种美貌一点都不感冒 男的倒持成那样不符合我的审美 一点阳刚之气都米有 不给力            
(5星)	 当腐女的时候只要有帅锅就可以了！！！要尼玛什么剧情啊！！！            
(3星)	 韩剧这么多年了煽情手段还是没什么变化。剧里面的人都过得滋润的很，即便是房租都付不出的人也是衣服一套接一套的。张根锡长得太好看了！文根英妹子长残了……            
(3星)	 所以说放着有钱帅哥不要只要爱情的只能是在电视剧里呀，话说我真的很看不下去，代表是哪里不好了，完全是我的菜啊            
(4星)	 最佳女主角——张根锡！！            
(5星)	 张根锡，姐姐决定开始喜欢你了！！            
(NA)	 男一男二为毛不在一起。。好吧我肤浅了            
(3星)	 女主太幼，跟男2号根本搭不起来            
(4星)	 春心荡漾！！            
(3星)	 不喜欢文根英~长得像外星人            
(4星)	 最后一集最有爱，大爱男二……            
(4星)	 男一男二 你们在一起吧！            
(3星)	 我喜欢男二号            
(3星)	 只是喜欢男2            
(4星)	 纯粹看人。            
(1星)	 什么戏啊一星给金材昱            
(3星)	 女1永远无辜各种&#34;被&#34;着但关键时刻头脑清楚男1永远拽自大外壳厚但内心敏感温柔像小孩女2永远招抽怎么挑衅怎么来有她就直接快进男2永远温柔体贴到离谱望眼全球现实里没有            
(3星)	 男一比不过男二，还是受不了弃了            
(3星)	 除了男二都不好~            
(2星)	 要不是俩帅到爆的男主角一二号 我就一星了。            
(3星)	 因为男一男二都是我的大爱，所以才给了三星，剧本单薄的让人无语            
(5星)	 好看！！！！！！！！            
(5星)	 慵懒的波西米亚流浪猫+有着太阳般活力乐观的小狗~太喜欢这剧了！！            
(5星)	 一直都觉得，爱情不是做好准备，然后等待一个永远不会出现的完美王子。也许生活中与一个满身缺点的家伙相遇，然后不知不觉地爱上，因对方而成熟，为对方而改变，才是最吸引我的。说实话不喜欢娃娃脸的文根英，但真的很喜欢玛丽和武玦在一起的感觉，实在是太欢乐了！而且真的很喜欢张根硕呢！            
(5星)	 男二实乃心头好啊。可惜剧情、、哎。            
(3星)	 小金很帅角色也帅。最后一集不错。腐坏了~HHP废掉了！            
(3星)	 除了金材昱之外还有神马看点吗？！            
(NA)	 第2集弃！            
(3星)	 又一个韩国的肥皂剧，以为是浪漫满屋的作者的应该不错。还是一样。没有浪漫满屋的惊喜。            
(3星)	 张根锡果然是妖孽啊~~~~~~~~            
(4星)	 我真心觉得，总有一天玛丽会跟代表跑掉的。。            
(2星)	 不好看。男二还顺眼。            
(3星)	 剧情有硬伤 不过冬天看还蛮温暖的啦~            
(3星)	 我的男二啊，有桑……            
(4星)	 只是一个荒唐的片子 荒唐的人物 荒唐的剧情 纯粹为了看我家金模特而已            
(3星)	 男二很讨喜，张根锡也不过如此嘛            
(5星)	 里面那个谁太帅了！！！！            
(5星)	 穿衣风格很大爱。我家小帅，再次被攻陷了o(*////▽////*)q真是太范了吧╭(╯3╰)╮小帅，我挺你到底，怀挺~上次你去广州转机了，也不能去看，好伤心。。。明年多来来上海这边吧            
(4星)	 张根锡太妖孽了啊。。。剧情太一般太一般了，无爱            
(NA)	 我也不知道为什么我要看这个可能是我需要倒腾硬盘的空间吧……可是看韩剧之后的后遗症就是很想谈恋爱啊……            
(3星)	 都在吐槽张根硕么，我觉得不错啊   最爱的还是金材昱啊！！要不要这么帅            
(NA)	 张根锡还是那么帅啊！！！！！！！！！！！！！            
(4星)	 为了美男 责无旁贷的5粒星星 终于看完了 可以安心画画了            
(4星)	 蛮好看~            
(3星)	 帅女美女，还好啦~~~            
(4星)	 张根锡我恨你丫把最后一集改成大团圆，其实原来的脚本是文抛弃张，选择男二。这样一来，张悲情凸显演技，男二苦逼十多集也能有个善报，而且顺便可以教育脑残粉丝擦亮眼睛找个好男人嫁了。我勒个去，你凭什么改？？？凭什么文妹妹和男二就容忍你改？导演和编剧是不是盼着早结束最后一集就放手不干了？？            
(3星)	 卖萌神马的真没兴趣            
(3星)	 唉，来回来去，真是真是。。。。            
(3星)	 看了结局=。=棒子爱不起来。。完全的。。。            
(NA)	 宿舍姐姐看得太欢 没事在旁边瞟了下 文根英现在的脸我实在是接受无能啊            
(1星)	 根本就看不下去嘛            
(4星)	 怎么说呢，可看可不看吧~~            
(3星)	 怎么可能            
(NA)	 男二各种顺眼 男主快从了男二吧!            
(4星)	 对男一完全没有兴趣  我喜欢男二来着  。。。前面剧情很狗血  中间还行  看着看着就没耐心了  ~~~╮(╯▽╰)╭~~~~~为什么不选择男二。。。            
(4星)	 休假在家看的，男二实在太帅！哦达令！            
(3星)	 宿舍剧啦            
(NA)	 男二和女一抢男一的故事            
(1星)	 去你娘的垃圾剧，真是毁了金材昱            
(NA)	 不能用看漫画的心情和速度看连续剧； 金材昱，好喜欢。。            
(3星)	 女一很幼齿，男一罗圈腿，女二性格好，男二发型屎，全剧出现的发箍都很赞。            
(3星)	 第一次不爱男一爱男二，不喜欢男一的小孩子脾气，没事就发脾气闯祸！爱情很纯粹没有勾心斗角，不过剧情较弱典型的韩剧狗血纠结~大爱OST！！！            
(NA)	 不打分了，哎，问候编剧全家            
(3星)	 简直就是冲了美男去的～～            
(3星)	 这里面的男人长的都比女人漂亮。            
(2星)	 2011.01.01...四角恋太可怕了!! 男二深得我心!! &lt;Take care,my bus&gt;这歌倒是不错!            
(3星)	 要不是因为有男二这个亮点，我差点给2星了。剧情不是一般的烂啊。多希望男二是主角啊，至少那样会有趣些。            
(4星)	 主角都是好演员恩            
(1星)	 光有美少年是没有用的            
(3星)	 编剧乱七八糟的啊。。男二女二都挺可爱的            
(NA)	 看完啦   最後反而喜歡  政代表   這部劇  一般啊              
(3星)	 剧情脑残到不行~            
(4星)	 收视率不好又怎样。无缺很帅就够了～            
(5星)	 金材昱实在太帅,太可爱喇            
(3星)	 一部只有女主的戏 雌雄难辨啊！            
(1星)	 我目的很单纯，我就是来看帅哥的！！！            
(2星)	 文根英还是整整再出来演韩剧吧。一双斗鸡眼和一张大饼脸，除了故意瞪大那双无神的斗鸡眼扮可爱之外，毫无演技和特点可言。真的不知道为什么两帅哥会围着这样一个女孩疯。最让人呕吐的是文根英穿得似大妈一样的邋遢衣服，时尚吗？真没觉得。连穿上那些洋装都觉得土到掉渣，选文根英当女一号，导演有病！            
(4星)	 一直没有喜欢文根英，老觉得她还是孩子，这部让我对她印象有点改变吧            
(4星)	 suk太帅了！怎么有这么帅的人啊？！！！不过觉得女人如果选择男二号会比男一号幸福，男二知道考虑别人的感受，他会为女人着想。            
(NA)	 脑残地再次陷入青春少女的爱情故事里。看完结局，我收回烂尾的话。这个结局还是可以让人想一想的。至少不是想象中的不用大脑就可以的happy ending~            
(2星)	 很少给电视剧打这么点星。但是这电视剧真的毫无逻辑感。要不是冲着万年不变的男二情节，我都看不下去。唉…真佩服我自己能看完。            
(3星)	 金代表~            
(NA)	 望天，虽然我还算喜欢男二号的脸，但这种剧情是把观众当NC吧，果断弃剧。            
(4星)	 很喜欢里面文根英的打扮 很自然清新            
(NA)	 剧情各种崩坏，但是仍被双根萌的七晕八素。波西米亚式着衣，永远穿得千头万绪的两只，假装自己是重金属的VR视觉系乐队，卷毛毛大妈头看上去像是女猪脚姐姐的妖孽男猪脚，那个一笑就开出一背景花的小萌脸。            
(2星)	 除了男二号，这片真的有够垃圾····            
(5星)	 根锡！！！            
(3星)	 结局太令人失望了            
(1星)	 没有耐心看这种            
(5星)	  文姑娘太可爱了， 张根锡娘了～            
(NA)	 编剧你还能再狗血点么！            
(2星)	 汪汪汪...喵喵喵...剧情神马的绝对是浮云... 代表喜欢的其实是无缺~是无缺呐！！文根英好多毛毛帽好多可爱冬装哇~！            
(5星)	 喜欢男二号的气质。            
(5星)	 小帅太可爱了 因为他 每个难熬的周二都变得令人期待            
(NA)	 开始觉得男二有点可怜了            
(3星)	 最开始完全是为了看张根锡 最后支持我看完的却是男2            
(4星)	 一百年看不了一部韩剧。。。。喜欢西装男2哈哈哈            
(4星)	 男二~            
(3星)	 。。。韓劇。還是人好看            
(1星)	 男一看上去像女主角的阿姨            
(5星)	 就是喜欢文根英mm，爱咋咋地            
(NA)	 一般解压剧.偶尔花痴下..            
(3星)	 以后再不追韩剧了 这都什么个编剧呀  糟蹋了演员的努力            
(4星)	 看到一半以后，真的是看一集气一集，多亏看完了，不然非得气死。男二太出彩了，完全把男一盖下去了，为什么还是悲剧呢。太不理解了太不理解了            
(3星)	 有金在旭，再狗屎的情节我都看的下去，哎            
(3星)	 爱情和面包到底该选择什么？可是象征面包的金材昱也未免太帅了吧。            
(3星)	 男二无论多优秀也抢不过男一。我看玛丽是瞎了。            
(NA)	 这个。。。。            
(4星)	 唉，有腐的味道。。。            
(4星)	 继续沉迷金材昱~可为什么他总是悲情的男二。            
(3星)	 这个编剧实在没新意，不过我很好奇张根锡能妖孽到哪个境地，那个小细腿啊，我还是比较喜欢男二的感觉            
(1星)	 哎……妖孽版张根锡，花痴版文根英实在……剧情和造型一样乱糟糟的。金材昱，拜托你红一点儿，拍部男一号的剧吧，快进很累的。*剧情糟糕到无法忍耐的程度了，即使有再闪光的演员，角色也毫无吸引力。弃*            
(5星)	 其实男二也不错……            
(4星)	 终于结局了。很不满意``````可怜的代表            
(4星)	 2大美男+文美眉            
(4星)	 双女            
(4星)	 不是很好看诶哎！╮(╯▽╰)╭            
(2星)	 还是选择了主唱  不现实             
(4星)	 完全是为了男2才看的一 一            
(3星)	 好演员烂剧本。            
(5星)	 有小帅必追            
(2星)	 傻缺            
(1星)	 毫无亮点...            
(NA)	 张根锡，是看点            
(4星)	 冲着男一追此剧，看完发现爱男二多一些，郑仁简直就是现实好男人的活版教科书！可能因为经历了换编剧风波，剧中有些线索并没有交代清楚，比如几个长辈的动向。不是大快朵颐的的大结局，很自然很平淡地发生了，让我觉得那也是我想要的未来。有点意犹未尽~期待年轻主人公们的新作品。            
(NA)	 女的都那么丑还演什么？！            
(2星)	 要是没张根锡，我还真耐不下性子看这片儿             
(3星)	 漫画的情节，渐渐开始不适合我            
(3星)	 越来越不喜欢这类模式化的女1号。            
(2星)	 和浪漫满屋有啥区别？ 弃！            
(3星)	 身为花痴……我觉得追这种剧真的是我的本份……（徐准这种女孩子我最爱了。。。            
(4星)	 每次n多剧都冲着张根锡去看 结果每次无一例外爬向男二号。            
(NA)	 玛丽前几集非常给力 可惜后来很韩剧。            
(3星)	 好吧 我成功的回到了看韩剧的年代 张根锡整容了吧 故事结局挺好的 回归真实            
(3星)	 虎头蛇尾. 浪费了好的卡司. 不过喜欢上了男二的隐忍.            
(5星)	 帅在里面实在是太妖娆了 抵制不住啊 太给力了 那个鼻血~~~            
(NA)	 好像大部分剧从来都钟情男二号。            
(3星)	 。。。最後的最後！居然還給我彎了一下下！啊啊這種無gay不歡世界大同的fu到底是腫嘛肥事？！=_=            
(3星)	 我就是那種看一半就會沒興趣的人= =            
(1星)	 完全脑残的剧 浪费演员            
(3星)	 9            
(NA)	 我知道编剧又落入了俗套，可是，怎么人在阳光下能这么美呢？            
(3星)	 最后两集时弃剧。。。。不是金材昱真看不下去。。            
(3星)	 终于结束了......玛丽解脱了 我也解脱了.....（结尾竟然有腐的倾向..无法捉摸的剧啊....）            
(3星)	 观众可以同时爱上男一男二  可是你不行。这剧只有卖相 没有神马故事性。            
(3星)	 开头有点僵尸新娘的fu~弃            
(3星)	 哎......女主装傻，男主装帅，男二装酷。期待到现在残了            
(4星)	 最近期待的韩剧，诶。。如果能把张根锡换成俞承浩。。那我的理想就丰满了。。额。。文根英还是傻傻的单纯的。。但是。我还是讨厌被束缚和以爱为名的自私。            
(4星)	 要不是为了看小帅 我才不看文根英呢！！            
(2星)	 浪费我时间。。。            
(2星)	 大结局真心难看~！！！！！！！！！！！！！！！！！！！！！！！！！            
(1星)	 实在看不下去了            
(2星)	 看了二集就看不下去了。。主要是今年夏天想走文根英这种衣服的风格，看两集发现完全不是那么回事。。纯粹被剧照骗进去的他妹妹。。棒子剧果然无创意！            
(2星)	 和妍的记忆更重要。            
(4星)	 张根锡，身为你的脑残粉，我要说，这部脑残剧里，男二比你帅。            
(2星)	 快进 再怎么妖孽对张根硕都没有感觉 侧面脸是平的啊。两星给金材昱 别再万年老二了行不            
(3星)	 两男一女的玛丽苏情结            
(2星)	 两颗星给文根英&amp;金材昱，张根锡还是去演小生吧。跟女人抢饭碗一点意思都没有，即使是同样为了颜看的《灰姑娘的姐姐》烂尾都你你烂的好一点啊            
(4星)	 工作            
(2星)	 文根英的打扮跟个移动垃圾站似的，张根锡就是个妹子，说她妖孽太抬举了            
(2星)	 文根英老了啊。。。那眼睛腫得呀。剛好前幾天看了她很久之前拍的電影，《我的小小新娘》，那個嫩啊……歲月不饒人。            
(3星)	 就看个脸            
(3星)	 编剧完全乱来啊  灰常不现实的剧情 老套的俩帅哥争灰姑娘 张根硕温柔起来真娘炮 文根英脸圆圆的不知道是婴儿肥还是骨架大  不过这剧很搞笑哈哈哈哈            
(3星)	 里面衣服不错            
(3星)	 没有宣传的好看呐。。。害的我看了16集得韩剧            
(3星)	 这明明是les片            
(NA)	 真不容易啊 看了一天没干正事  这根本就是基佬的故事吧  果然不是自家孩子就是豁得出去 一脸苦逼看的高兴死了            
(5星)	 五分全部给小张！            
(NA)	 想看金材昱才看的，张根硕的时候还挺妖气的，但是为什么一笑跟郭敬明一样！！！看得我真分裂啊。。。。求你表再瘦了！！！够了够了。。            
(3星)	 三星给男二号~！            
(NA)	 刚开始觉得蛮有意思的，我比较喜欢男二号和女二号的。文根英给人感觉，还是小女孩一个，因为她是娃娃脸啦。至于张根硕，我实在是感觉不到他哪里帅了。但是，这部剧里的歌倒是蛮不错的，张根硕身上蛮有歌手的气质~~·~            
(3星)	 貌似每部韩剧的男二都很有feel啊！可惜都是悲剧的男二！            
(5星)	 昨天一天煲完，这出剧的造型设计十分正斗，好爱玛丽的娃娃头            
(NA)	 好啦 男主一幅双子的样子 是很帅嘛            
(4星)	 哎呀，好喜欢郑仁啊，为什么玛丽不跟郑仁在一起，选择那个幼稚的无缺            
(2星)	 对文根英的瞪眼和某人的长发各种不顺眼HC金材昱的身材            
(3星)	 材煜的表现太可爱了！            
(2星)	 这两星。给了金材昱。我为了你才看这部剧。但是，你的发型不是我的长刘海，而且，文根英不适合演脑残女。            
(3星)	 没看完…            
(3星)	 这不就是三劈纯爱电视剧么            
(4星)	 金材昱有些大材小用了，太帅啦。。。真希望能演到男一，有完美的结局。。            
(3星)	 到一半就没兴趣再看了，不用看动态，只看人脸的电视剧            
(3星)	 最近无脑到看韩剧了……            
(3星)	 剧本越往后越不给力a~            
(3星)	 = =背影是神奇的东西            
(4星)	 代表ni完全吸引人啊~~~~~金材昱啊金材昱~~~~~~            
(NA)	 就是喜欢男二号！！！！            
(2星)	 到第7集完全就可以剧终了吧？是怎么拖到13集还不完的，男1女1男2我都不喜欢，我是凭借什么看完这个剧的啊。。。强烈呼唤美剧回归吧            
(2星)	 完全是为了看某男            
(4星)	 恩，冲着帅哥来的……文根英也很美啦~            
(2星)	 - -男男才有看点好吗导演            
(3星)	 3星是因为张根硕才给的。是一部只看他的电视剧。            
(NA)	 除了演员。哎。            
(2星)	 年纪大了，无法欣赏这种白痴风格，以及男主的发型……            
(NA)	 文根英长歪了            
(4星)	 你们三个是我能想到的最佳3P组合            
(5星)	 帅。歌很好听            
(3星)	 剧情不好，演员好看的~            
(2星)	 剧情是个神马 烂到家啊！            
(3星)	 文根英的脸怎么变形了...美丽的人,一旦认识到自己的美丽,他的光坏也就瞬时消失了,比如张同学....看到第9集实在看不下去了,没脑子的女人不值得同情,一个恋爱只谈1个月交往超过200个的男人,强吻你且打断你的幸福你就以为他这辈子都只爱你一个人了么            
(3星)	 最后真是看不下去了，什么破剧情这是。            
(2星)	 一开始被张根锡的美貌迷住了，结果电视上一个光没打好，不幸看到了张根锡的真相：鼻子太假，整张脸都怪怪的= = 于是完全抛弃了该弱智剧。结论：要对得起自己的时间啊~~ 哪怕是虚度，也不能忍耐低能            
(4星)	 还可以            
(3星)	 男主角好像HYDE~            
(3星)	 一直盼着男一男二在一起。。。剧情确实烂到极点，全靠演员撑着，还好最后几分钟有点温馨            
(2星)	 为什么还有那么多四五星呢... 这部片子只有帅哥美女...其他啥都没有...            
(5星)	 作为青春偶像剧，细腻，精良，真实。            
(5星)	 看着看着倒也喜欢起那瘦弱小身板儿了…………摇滚男的前女友神马的最有爱了！            
(2星)	 对这三人组赋予了期待。结果却落空了。            
(3星)	 真是……相当之烂，不过可供YY…………            
(3星)	 中间有些冗长，但还是喜欢这样的爱情故事~~有利于胎教~~哈哈~            
(NA)	 第一集就pass            
(3星)	 人喜欢，故事不喜欢            
(3星)	 真当佩服自己的忍耐力。文根英为什么越来越浮夸            
(NA)	 唉 我竟然也开始看韩剧了            
(5星)	 老是出现同一类型的狗血镜头。。。受不了。。。但是男主角实在是太帅了！！！！！！！！！！！！！            
(4星)	 帅哥美女！！！！！！！！！赞            
(3星)	 小帥            
(2星)	 编剧到底是有多么恨这3个美男美女，才能编出这么JP的脑残天雷剧啊！！            
(3星)	 剧情太弱，还是里面的音乐给力            
(2星)	 ……我擦这是神马编剧啊，结局居然还腐了喂！代表和无缺百年好合吧混蛋！坑爹呢这是！            
(NA)	 剧情太挫了。。。我觉得棒子还是整容得好，看天然美女我真没觉得美。。。            
(NA)	 剧情出乎意料的俗套~怎么说呢，文根英你粑粑喊你回家结婚~~张根锡伪娘都快伪到我心里去了~~就连金材昱这个御姐在伪娘面前也只是个传说啊~            
(3星)	 一场闹剧结束了。这么拙幼的剧情都看下来了，就说男人有多米丽吧。            
(2星)	 太烂了剧情！            
(3星)	 再也不看韩剧了……             
(4星)	 帅！！！！！            
(5星)	 大爱张根锡哦。。文根英给人一种很纯净的感觉。。这个片子很好看。。            
(3星)	 今年追了两部剧。。。两部都这么屎。。。            
(3星)	 冲着帅哥美女去的~一开始看的很是激动..可是慢慢的到中间就没有看下去的冲动了..很狗血的剧情..越看越纠结..最后走到俗套...5颗星的期待沦落到只看男二了..男二最后很是可爱...最爱的张根锡在剧里似乎如评论说的..太娘了....跟文根英在一起真像闺蜜...期待了很久的戏失望了            
(2星)	 開頭還行，越到後面越扯淡，本來出現的love line不是不講明白就是莫名其妙的斷了，最後兩集我五分鐘看完的，完全耍人玩            
(4星)	 张根锡永远无法突破美男了            
(4星)	 这么就结局了。。            
(3星)	 今天在校內網下了一集來看是因為我很喜歡淘寶上那件所謂瑪麗外宿中的紅色工裝。。男人們還是很讓人YY的，可是為毛金才旭的劉海如此波浪，也太娘了。眼線帝的呻吟真是令我狼血沸騰。不過這種腦抽劇如果不是閑的蛋疼應該沒有下次了。果斷犯罪心理去。。。。。            
(3星)	 有小帅的支撑就可以了～你这么美，你这么媚！            
(2星)	 张根锡 勉强打三星            
(NA)	 喜欢看  文根英 好可爱  也很清纯            
(4星)	 有我爱的两个主演 要看要看 张根锡好可爱噢            
(4星)	 俊男美女挺好看，色彩柔和挺舒服            
(3星)	 张根硕加一星。。。            
(2星)	 SUK人情分多加一星，不然一星            
(2星)	 文根英在灰姑娘里德形象已经深深印在我心里了            
(3星)	 这是闹剧么？            
(3星)	 男一演技略显稚嫩，女一角色不是很讨好。男儿走路还是很模特。            
(5星)	 终于，在刚才的一瞬间彻底看完了大结局，最后两集铺垫的真长啊，看的很着急，总是在关键时刻让武玦遇到，编剧啊编剧。小帅的演技，笑容，都刻在脑海中喽~哈哈，当然了，最后的最后，男二还是表现出了一如既往的感觉，比起《坏男人》中的悲情，其实要好很多了。希望看到小帅更多的作品！加油！！！！！            
(4星)	 都是小时候的梦使我一直看完。现在韩剧剧情已经出现极端。要么很现实要么很虚幻。            
(3星)	 要不是因为张根锡....按那样拖拉的剧情早就弃剧了!!!!!!!!            
(5星)	 张根锡我爱~文根英声音太可爱了~哑哑的~撇开剧情我爱死他们两个了！            
(4星)	 不是腐女都嗅出腐味了，张小帅干嘛把自己折腾了现在这样子哎，文MM还是十年如一日的萝莉            
(3星)	 最后的结局我很喜欢。            
(3星)	 完全是看人~劇情什麽的真的還好~看著看著,打從心裡喜歡瑪麗這個角色,想學習她成為一個溫暖的人,儘管,我沒她可愛漂亮啦~也不會遇到張根錫!!!            
(4星)	 帥得很華麗 ...            
(5星)	 与她毕业后所演的灰姑娘的姐姐两个样子，这一部戏里是一个很可爱的女孩，才看了前两集，挺好看的            
(5星)	 超级喜欢张根锡            
(NA)	 第三集，我勒个擦 红果果的卖腐啊=因= 但是好好看耶两位请搅基吧！（你够了            
(5星)	 不知为何喜欢这部把故事颠来倒去胡说一通的韩剧，总有点什么触动到我了，那种像自己生活一样乱七八糟的感觉，那种不是王子公主灰姑娘，一见钟情或欢喜冤家的剧情。妖娆男主，有点日式风格，阳光下不做作的长发；蓬蓬头女主，小呆，没啥特色，屈服于生活。刺中萌点的细节和歌。五星为至始至终的会心微笑            
(3星)	 如果不喜欢就拒绝别人的拥抱和亲吻，这算什么，太狗血了！从来到尾没看出爱情的样子！！            
(4星)	 星星都是给帅哥的。。。            
(5星)	 我想说，作为偶像剧来说，张根锡的演技是存在的，还有文根英都算很不错的啦~韩剧嘛~~~让我难过的是，贤重啊！你可得要加油了！我喜欢你和张根锡，可是我心里还是偏爱贤重君多的啊！你得加强演技，不要被拼下去了~            
(NA)	 ha,原谅我有时也很大妈，爱肥皂            
(3星)	 一集不如一集            
(3星)	 张根硕占4颗星~            
(2星)	 玛丽的衣服比这剧还红。            
(4星)	 好好看嘛~ 可爱的张根锡和可爱的文根英。            
(3星)	 开心呢            
(2星)	 额...这剧也就只能看个一二集            
(NA)	 我就喜欢张根锡这种类型的脸蛋。。没抵抗。。。            
(4星)	 终于看完了...情节很韩剧，音乐不错。张根锡果然是长发比较有范，可不是每个男人的长发都有范儿的...从这里看不出什么深奥的爱情的真谛，但是很多温暖的小细节看在心里，爱情其实就是打打闹闹的窝心。            
(4星)	 结局差强人意。            
