http://movie.douban.com/subject/4905040/	吸血鬼日记  第二季 The Vampire Diaries Season 2
(5星)	 哥哥没有死啊！！！哇咔咔，还是继续美型！！！剧情越来越紧张，很好看哦，编剧有下大功夫哦！！！等第三季= =。呜呜            
(5星)	 这真是噬心的戏啊。damon这男演员可以成为新的布拉德·皮特，完全行的！结尾时stephen竟然用嗜血十年去换取damon的命，这个情节好惊艳！所以第三季会更好看吧            
(5星)	 越来越复杂了。。到最后是不是创始人家族全部异化啊。。= =            
(5星)	  Damon 那眼神不是一般的有杀伤力啊 ..             
(4星)	 这真是叫峰回路转！当初我非常鄙视的琼瑶吸血鬼剧第二季居然好看起来了！！！            
(4星)	 两天看完了。哈哈哈。我爱demon            
(NA)	 一点都不喜欢男主角S。不耐烦的终于看完了。            
(3星)	 偶像类美剧的本质就是拖泥带水 像是为了收视率可以拍它一整个世纪            
(4星)	 第三季要到九月才出。。。靠            
(5星)	 期待第三季。編劇請繼續虐Damon 千萬別手軟別轉換目標哇！            
(3星)	 D党苦逼追剧            
(5星)	 开始出现扯淡的剧情了，女猪每一集都跟男猪滚被单，还声称自己是17岁，这简直是赤条条的扰乱青少年价值观，不过还是蛮好看的。            
(5星)	 Damon，好久没有看到这么悲剧英雄的角色了。            
(NA)	 还是坏人比较有魅力            
(5星)	 第二季比第一季剧情更紧凑一点            
(5星)	 已被女主角迷死.....             
(5星)	 你们没觉得卡洛琳越来越美了吗~            
(4星)	 為啥日記就消失了呢?這馬重要的主線編劇咋就寫錯了寫彎不要變成偶像狗血啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊。繼續期待。            
(3星)	 每一个狼人都是大姨妈来得特别多而屎的人变得~            
(5星)	 比第一季好看。剧情还算紧凑精彩，但编剧你太狠心呐，不要虐我们家的Damon，看了就心疼。揪心死啊！！！！            
(4星)	 终于看完了。结局太坑爹了。该死的都复活了。不该死的又死了。编剧有毛病啊！！！            
(4星)	 demon很虐心！            
(5星)	 Damon真是治愈系啊哈哈            
(2星)	 就没人觉得很弱智么            
(5星)	 Damon 是大众情人好么，但是我真的觉得这一季Stefan变帅了            
(5星)	 期待3~            
(5星)	 一周一集的追啊追。。。好苦啊~~！！            
(4星)	 我厌倦嫩牛五方的长相了。            
(NA)	 男猪脚越来越丑了....            
(4星)	 这个收尾太crappy了，就是说Jeremy死过一回就能见鬼了是吧，那不是跟Being Human一样吸血鬼狼人死人都齐了……比第一季惊悚悬疑很多，不再校园青春了，还不错。            
(5星)	 最爱Damon啊            
(4星)	 D没死            
(3星)	 我同时还追GG DH HIMYM TBBT 我真的觉得TVD的编剧是最差的 差到极点！！！我追这个剧纯是为IAN            
(4星)	 终于迎来秋季档第一弹~~撒花庆祝~            
(5星)	 Damon死了我就再也不相信爱情了。            
(5星)	 最喜欢的美剧很好看没有之一。            
(5星)	 第三季会是DE的福音嘛哈哈哈            
(4星)	 Nina好美，lan好萌……stefan下一季命运坎坷啊……            
(5星)	 &lt;22 完结&gt;Nina好美！不管是直发的Elena还是卷发的Katherine都好美❤K女王气场各种强大。坚定不移DE党，不要再虐了TAT            
(4星)	 编的越来越扯了，看完第二季就得了。。            
(3星)	 开始扯淡了            
(3星)	 恩 看完第二季倒非常喜欢caroline了，她和matt那段也挺可惜的            
(5星)	 从se党变成sd党了            
(4星)	 第二季里出场人物更多，亲耐的Demon的性格也更加饱满和吸引人了。总体来说不错，戏剧冲突比较多，不会太过拖沓（也不算快节奏哈）。  能看得出编剧在下一盘自以为很大的棋，有些很久以后才会用到的伏线现在看来还是有些啰嗦的。。。            
(5星)	 damon大爱            
(4星)	 D慢慢变好，S的实力不可小觑。            
(5星)	 男二帅爆            
(4星)	 谁能不爱Damon，疯狂又冲动，邪恶又痴情，秒杀一切少女心。第二季男一酱油了，太期待第三季Stefan的黑化。虽然是同一个人演的，但还是大爱Katherine。女王范儿，超级闪亮。果然现在坏人比较吃香么。Matt渣了，作为一部魔幻剧里少有的正常人，他简直格格不入。再没点变化，是不是要彻底背景化了。            
(3星)	 可劲儿编吧            
(5星)	 D会让人上瘾，但还是希望S和E在一起，可能因为自己缺少所以格外渴望正面力量吧。            
(5星)	 还是那么多戏剧冲突  我再佩服编剧一次好吗！            
(5星)	 终于恶补完了。真是虐啊 TAT            
(5星)	 剧情很紧凑，不错            
(3星)	 110823 好吧，男主角两个我都不喜欢，一个长得像威廉达福，另一个有高原红还巨狗血。女主角到很喜欢，脸很甜美更难得的是身材好到爆灯。            
(5星)	 好喜欢damon 有点小坏 但把真心放在心里 即使让elena恨自己 也不会让她受伤             
(4星)	 庆幸我没放弃，第一季的偶像剧色彩一度让我很无语，但第二季在剧情上确实做足了功夫，越来越精彩了。除了Jena的死让我耿耿于怀外，其它剧情设置都很对味，况且我把这偶像加奇幻剧当做励志剧来看了，还真是一个奇迹。            
(5星)	 DE党坐等第三季！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 大萌好可怜。。。编剧你这是要虐死我啊。。。            
(4星)	 stefan好可怜，大家都爱damon，可我就是支持SE！             
(5星)	 最后编剧告诉我们，死去的都有可能回归，大家不要桑心。Anna也回来了，Mason应该也不远了。            
(5星)	 马脸复活了。。。。             
(5星)	 铺垫了一季多故事终于进入正轨了！！！o(≧口≦)o             
(4星)	 别再虐哥哥了好么，我好心痛！            
(5星)	 第三季难道真的要等到9月啊！？~！@！@~#            
(5星)	 第三季快点回归。。。            
(NA)	 Stefan和Damon太帅了吧，这不比暮光好看到哪去了！！！！            
(5星)	 太虐心了。 Demon快死的时候说 but i love u 我的心啊 stefan也牺牲掉了 快点第三季吧 我爱demon 也爱付出一切的stefan            
(5星)	 拖了好久才把最后几集看完的 我嬲 我真滴望哒klaus又爱又恨别~~            
(5星)	 太虐了但是可真好看T____________________________T            
(NA)	 能吸血吸的优雅点么。。            
(5星)	 oh no。。。。还有第三季。。。。。。。。NND             
(5星)	 下一季Klaus如果真的把Stefan拐走10年就好了...成全Damon和Elena啊！！            
(5星)	 大萌！！！！            
(4星)	 一路狗血没够，又在剧末坑爹！            
(2星)	 不折騰不能繼續            
(5星)	 结局还是很虐啊！以内亚就是个傻逼啊，不停被杀死，Word你妹啊！感觉用了两季结果回到了比原点还糟的状态，都是些什么玩意儿，玩蛋去吧！            
(5星)	 期待下一季！            
(5星)	 Stefan在里面都干嘛了？？一个没用的人！！人家damon都知道干点正事！！！MATT早死早超生！！！芭比吸血鬼越来越喜欢！！！！！！！            
(5星)	 虐到我泪奔了。。。。。            
(5星)	 剧情越来越复杂 永远有三对及其以上的矛盾。我被深深吸引了。            
(5星)	 追到了第18集难受啊 这就是为舍么不喜欢看电视剧 麻烦……            
(5星)	 吸血鬼都用上“爱疯死”了，真是与时俱进啊~            
(5星)	 Damon你要不要这样呀！！！简直可爱死了！！！            
(5星)	 不计较那么多了，Bug哪儿都有嘛。            
(4星)	 为什么第二季 我看到16集 就找不到资源了 锤地            
(NA)	 看来大家都喜欢达蒙。可怜的娃，虽然岁数都祖宗级别了。            
(3星)	 第二季有点儿胡来的意思了，乱七八糟什么都开始往里面整。            
(NA)	 http://www.mediafire.com/?q58m4wsk510lt#18,1            
(4星)	 虐死人了            
(5星)	 欲罢不能欲罢不能啊啊啊            
(4星)	 jer最后是精神错乱了么亲 我好高兴啊！！！！！！！            
(5星)	 DAMON YOU ARE WAY TOO HOT.            
(4星)	 Damon怎么就那么凄凉呢.            
(4星)	 Damon啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！~ 真是个大虐的主。            
(5星)	 是越来越精彩了，我其实是SD党。。。            
(5星)	 兄弟暧昧 相爱相杀 我为看damon~~            
(5星)	 最爱~~            
(5星)	 坑爹啊~~~            
(4星)	 在等最后一集~！！！            
(NA)	 吸血鬼嘛 必看的娱乐节目            
(4星)	 21 狗血到淚奔啊!!!! ||在這部戲裏,沒有人是死得透的...然後E終於承認了這段3P....下一集必須更狗血...下一季還是會忍不住想追啊啊啊啊啊啊啊啊            
(4星)	 Katherine被关进坟墓后一度非常好看，怪惊喜的，虽然后来又狗血了。我真是秉承一贯的男二专业户风格，特喜欢Damon；Stephan？谁？Damon对Elena“临死前”表白那段非常动人：要是1864年遇见你就好了，你一定会喜欢上我。怎么老是说出我的心声呢？2011.5.19            
(5星)	 看着Katherine我就觉着害怕 Nina演得赞！            
(3星)	 对这剧的热情锐减，到了季末只剩brutality. 大小boss一个接一个漂白就算了，挂人不当回事简直heartless。            
(5星)	 吸血鬼家族不简单啊            
(4星)	 硬是一个星期一集追完得，看来D和E要修成正果了啊            
(5星)	 当E KISS D的时候是最美的时候            
(4星)	 达蒙你难道会在第三季转正吗，好期待~            
(5星)	 爱damon  坐等第三季            
(5星)	 终于搞定！            
(5星)	 li            
(4星)	 越来越激情 越来越混乱纠结……不想看他们纠缠下去了，直接来结尾吧……3P算了！            
(NA)	 觉得K比较COOL            
(4星)	 我是纯TC党！！小狼 芭比你们在一起吧一起吧！            
(4星)	 Damon和Elena啊.. 越来越喜欢Elijah和Taylor了.. 期待下一季的Original家族！            
(5星)	 E或K送哥哥一个吧！一个就好！别虐了！！虽然大爱永远是D但是如果S又变回杀人狂魔真是太残忍了T.T 不要再死人了啊 配角都快死光光了            
(3星)	 越发的狗血了            
(5星)	 悲情剧啊~            
(4星)	 其实本来是想给五星的，但是鉴于后面死的人太多让我很是揪心，而且这一季把Damon虐的真是够到位的！！╭(╯^╰)╮第二季最后这个悬念弄得太大，不知道第三季会不会跑太偏，希望这剧不要走向狗血！！！            
(4星)	 尼玛！Jeremy竟然还没死！Tyler竟然还没跟Caroline搞在一起！Damon和Alaric竟然还没搅基！            
(NA)	 看到16集我放弃了，等得心力憔悴，而且越来越没有惊喜感，一个人是要死几次啊            
(3星)	 22            
(5星)	 幸亏大萌没事~~~E还主动吻了我们大萌！作为季结，我很满意了！            
(5星)	 CW现在最爱行么            
(4星)	 这一季的结尾算神马啊！！！！！D和E有苗头了有木有！！！            
(4星)	 Katherine一回来，好戏一连串            
(4星)	 明显比真爱如血第三季好看到哪里去了……真爱如血第三季在搞神马呀！真讨厌！快让eric上位吧！            
(5星)	 这决定是目前为止我最爱的一部美剧，最爱K女王~            
(5星)	 编剧你是要虐死我们么？！！！小demon啊~~~心都碎了~~~~！！！！！！！            
(4星)	 想当年我是多不待见damon呐 现在也同情他了...            
(5星)	 啊啊啊啊 我的Damon~ 我心爱的Damon~            
(3星)	 杀死大boss路还很长么，另外EDS还要继续纠结，我属于前看后忘记型观众            
(4星)	 中间剧情混乱+长时间停播让我一度想弃剧...然后听说要拍到至少四季就更加心累了...            
(4星)	 比第一季更加的黑暗和暴力，最后连jenna也香消玉殒。elena在damon和stephen之间也显露出摇摆不定的征兆。            
(NA)	 弃~            
(NA)	 爲什麽是這個結尾！！！please！一次整完行不行！！            
(5星)	 坐等第三季。            
(4星)	 弃了 看腻了.            
(4星)	 西皮前景——帝王攻Elijah叔、傲娇受Damon和天然呆历史哥的三P之虐恋情深❤            
(NA)	 到206快看不下去了 编剧太恶心了！            
(3星)	 烦死吸血鬼狼人变形人所有男的都爱一个女的            
(5星)	 追了大半年，终于完结。这一季的结局，我倒是很满意，就让damon和elena在一起吧！            
(5星)	 好看！！这damon太让人爱了！！            
(4星)	 虽然还是cw现阶段的最佳剧集 但是比第一季拖沓很多 只求tyler和caroline的狼人吸血鬼禁忌之恋开花结果            
(4星)	 我就知道编剧为了满足大家DE党一定要来一发这种戏码的！！！Anyway,舍得死人这一点让我觉得这个剧集够好看！！！但E的小弟开眼了好吗！矮油-  - 死了也特么白死。。。能用的演员继续用卓。。。膜拜编剧！真心喜欢女主！但是不喜欢E的性格啊！傻逼一样的妹纸啊！还是K女王有爱~期待~            
(5星)	 看到第十集我又不爽了,stefan凭神马要求demon保护elena,去死吧!!!自私的家伙!!!要不你把elena让给demon啊!!!不要脸!!!气死我了!!!            
(3星)	 结尾乱死了            
(5星)	 Elena和Damon终于····            
(NA)	 弃剧            
(4星)	 没有像第一季那么爱了。E叔死了，呜。。。Jeremy这是咋的啦，疯啦？对最后Elena主动向Damon献吻这件事还是很满意的。            
(5星)	 结局又令我震惊了...又要开始漫无止境的等待了~~            
(4星)	 合格的肥皂剧 有亮点有床戏有跌宕起伏的剧情也有bug            
(3星)	 怎么d比第一季丑了。。            
(5星)	 大爱damon            
(5星)	 vampire is sexy             
(5星)	 坏女人果然有魅力！！！虽然是同一张脸，怎么看都觉得Katherine美很多！！            
(4星)	 看过。            
(4星)	 元月二十日。            
(4星)	 男一号越来越讨厌，不过Tyler倒是越来越可爱了，哈哈            
(4星)	 这年头光打纯情牌是没有出路的，没有些阴谋诡计血雨腥风怎么混得下去。            
(NA)	 剧情越来越狗血了。。。。            
(4星)	 实在看不下去你们这样欺负善良痴汉ELIJAH！            
(3星)	 线索比第一季更复杂。偏爱D了。。。接下来要跟剧了看不爽了。= =            
(NA)	 没有想象中的好看……受不了编剧了……nina is very hot in bad.            
(5星)	 看得我真心碎            
(3星)	 二重身这个概念一出就有点腻了。终极BOSS好无趣。            
(3星)	 这剧情。。各种超自然就是了，不用费脑子讲究逻辑。虽说看不动了，但是为了Damon第三季再努力一把吧 &gt; &lt;            
(5星)	 I don&#39;t deserve you. But my brother does.            
(5星)	 好看            
(5星)	None
(4星)	 希望下季看到比始祖更强的吸血鬼            
(5星)	 永远爱Damon~~~~~~~!            
(5星)	 我喜欢stefan……            
(3星)	 快进看的 我看过BUG最多的剧。。BUG目不暇接。。简直满天飞。。我这么挑剔的人看着看着也麻木了            
(3星)	 看了这种片子就做类似的梦            
(3星)	 就是还好            
(5星)	 Damon （¯﹃¯）            
(5星)	 呆萌是个好吸血鬼(┳＿┳)... 但是我是坚定的SE党不倒戈~！            
(5星)	 爱死 DAMON            
(5星)	 这一季明显情节更加抓人，人物性格更鲜明，各条感情线都很动人。两次泪点却都是在配角上，一个是Rose一个是Caroline。最后结尾非常之坑爹，吊足胃口啊，搞得现在好纠结要不要继续看3。            
(5星)	 Damon和历史老师之间的关系越来越腐了，所以历史老师的老婆死了，女朋友也炮灰了。还很稀罕克劳斯的老弟，死了好可惜。            
(5星)	 比第一季好看很多            
(4星)	 可是我还蛮欣赏那个英国小妞 唉可惜被狼人咬了            
(5星)	 一个坚定的D党...            
(3星)	 本着从一而终的原则，我把2也快进完了            
(5星)	 剧情狗血琼瑶又怎样呢，只要有美爆了的女主角和还算可以的男主角，就行了。。。            
(4星)	 连续剧的缺点还是蛮明显的，太长了            
(NA)	 原来海报这么帅哦            
(4星)	 ps.破破才是脑残粉=。=            
(4星)	 爱哥哥            
(NA)	 杀时间            
(4星)	 好想变成吸血鬼哦            
(NA)	 看不不下去了！！！弃！！！            
(NA)	 我竟然看完了 = = 但是我看了两季都不明白 这么高的评分是哪来的 = =            
(5星)	 吸血鬼、狼人、狐仙什么的其实都很有爱            
(NA)	 又是两个男吸血鬼同时爱上一个女的的吸血鬼版爱情故事            
(4星)	 乱            
(4星)	 越来越好看了             
(4星)	 我不得不，我不是人类，我想念做为人类的时光，这种想念胜过了一切，这是我最大的秘密，可人类，却只能承受那么点痛苦。             
(3星)	 太乱了            
(4星)	 第二季，达蒙随着圣母前进。            
(5星)	  Damon            
(NA)	 剧情比第一季复杂了，也更狗血了，全剧最真实的就是Damon对Elena的感情了。ps:最喜欢Claus，可是怎么你总是一而再再而三被出卖。pps:第三季还得追。            
(3星)	 太尼玛狗血了~            
(5星)	 强烈推荐！里面真的没有一个人能让我恨得起来。            
(5星)	 她弟弟就学不会量力而行么，看的真纠结，愈发觉得s比d坏多了            
(5星)	 呆萌和艾琳娜，死太烦和凯瑟琳~            
(5星)	 得知达蒙跟elena现实里是一对儿我表示热泪盈眶手舞足蹈心满意足！！！            
(5星)	 看了还想看的好剧，吸血鬼话题简直就是一个永恒不变得经典话题。永远让人着迷！这次让我着迷的不是两位男主角，而是女主角，除了说她漂亮之外，演技简直没得说！一人分饰两角，能温文尔雅，能风情万种。不过我更喜欢风情万种的她！            
(5星)	 高潮迭起            
(5星)	 没有回味。但是很好看。纠结。            
(5星)	 整体比第一季还要好看，主线环环相扣，更悬疑，更揪心。最终回依旧埋了大坑，让人依旧充满追下去的欲望。妮娜神演技啊，一人分饰两角，自然不做作。S&amp;D此季都爱啊，并没有对谁过分的偏心。第三季希望依旧能这般精彩，期待。            
(5星)	 Damon你就是世界上最苦逼的男主...嘤嘤嘤嘤            
(4星)	 感觉会比第一季好一些            
(5星)	 为什么我喜欢谁，编剧就把谁弄死~~一些武功高强的boss死的比谁都脆~            
(3星)	 好啰嗦啊！！！！            
(4星)	 这一季虐了一点 希望damon和elena在一起啊！！stefan太呆了天天皱个眉你以为你是鲁迅横眉冷对千夫指啊            
(3星)	 各种狗血啊真是，看不下去了。            
(NA)	 融合了N部电影的桥段，厉害的都是配件儿，复古经典老爷车刷了新漆也养眼啊。。。真的很烦她弟弟，长得帅也没用，是我就在第三季把他写死。。。啊哈哈哈            
(5星)	 第二季的结尾让我彻底爱上damon了~~&gt;3&lt;~~            
(4星)	 好虐人的一季 D是要成为主角了么            
(4星)	 终于看完了！不追了！            
(4星)	 TT TT.........................MY DAMON            
(4星)	 第二季有点感觉了            
(4星)	 以对比第一季stefan戏份过多 求更多英国银～～            
(4星)	 看得我這個幽桑啊~~everthings gonnas bad~~克勞斯快去屎＞＜            
(4星)	 矮油 CAROLINE真是越看越喜欢呀！            
(3星)	 这季的结局有点乱。。。            
(4星)	 就是爱吸血鬼啊，昨儿个给看完鸟~期待第三季            
(5星)	 超爱Katherine!E太过乏味无趣了！            
(3星)	 这季稍微有点儿狗血啊            
(3星)	 好无聊的剧，看不下去            
(3星)	 我就知道每次冰箱门关上或者洗完脸抬头看镜子时都会有人出现！！！一点都不惊悚好吗别老用这招= =            
(4星)	 ```在看了````丰满了许多,比如凯瑟琳回来呀,那个小美女成了吸血鬼呀```还有狼人出现呀``整个一电视剧暮光么``看完了```三星半,比一好看``但是还是太慢了,拖拖拉拉的,废话连篇,爱来爱去,我喜欢看泰勒他们俩```真烦呢,这种青春偶像句,还得看三,不看心里不踏实,二最后悬念太大``            
(4星)	 靓女，俊男，high school life            
(5星)	 大爱啊，越来越吸引人了！！！Klaus超迷人！！！            
(3星)	 Damon好可怜啊~            
(4星)	 我爱大门蜀黍！            
(5星)	 强烈期待第三季            
(5星)	 damon受伤的表情演的太出彩了！D D D!            
(5星)	 快把Damon转正吧 TAT            
(4星)	 比第一季精彩了些但我觉得klaus应该找个帅点的吧            
(5星)	 哇 大家都死了又活了 活了又死了。            
(4星)	 虽说剧情很弱，脑残吧，但，如果一辈子能遇到无条件愿意为自己也死的爱人也值了，爱情部分很感人～            
(4星)	 难得一见的琼瑶风格的美剧··            
(4星)	 圈子绕得太大了看你怎么收尾            
(5星)	 die hard!!!!!!!!!!!!!!!!            
(5星)	 impressive            
(5星)	 有关巫师的情节总觉得扯淡了。以利亚还真是不停得死又复活又死。编剧实在太虐Damon了T.T 第三季快来吧！！            
(4星)	 I will always choose you            
(NA)	 damon最虐心了            
(5星)	 很悲，只是结尾太狗血了……            
(3星)	 真心觉得Damon蛮惨的 干嘛大家都看不惯他啊            
(5星)	 第三季你快来啊混蛋！！！            
(5星)	 Damon要不要这么感人啊！！最后的告白看了N遍啊 第三季就让女主爱上他吧！！！！！！            
(5星)	 damon迷死人了好么！！！！！！！！！！！！！            
(5星)	 好看好看！！！！！！！            
(5星)	 好爱Elijah！！！不愧是我看第一眼就喜欢上的人啊！！！！！            
(3星)	 难道只有我觉得这剧情简直失控了么o(￣ヘ￣o＃)            
(5星)	 最后一集表示很煽情             
(4星)	 傻逼女主            
(3星)	 一颗星给Demon，一颗星给Elena，一颗星给Stefan。            
(3星)	 对吸血鬼不来电...            
(4星)	 比第一季差了一点 音乐很好            
(4星)	 CW专出狗血剧啊而且都是给90后看的。老子也一边骂一边看更是犯贱。问题是其实还蛮好看的。能够自圆其说的地方很多，莫名其妙死的人/鬼/兽更多。            
(4星)	 电视剧版暮光之城的童话世界            
(4星)	 demon，demon，demon            
(5星)	 Always Damon.            
(4星)	 开始喜欢STEFAN            
(4星)	 还好damon没死。不然我就弃剧了~~            
(5星)	 Damon~~~            
(NA)	 看到后面就感觉很一般            
(3星)	 太乱了            
(2星)	 在真爱如血面前一切都是班门弄斧。1星给D。            
(3星)	 勉强看完。跟True Blood不是一个级别的。            
(5星)	 不得不承认，编剧真是个好编剧            
(5星)	 啊啊啊 damon 我爱你 第三季神马时候出哇好期待&gt;&lt;连jeremy和elena也变吸血鬼了越来越好看啦!!!            
(5星)	 Damon果断化身正义男猪脚，好帅好迷人            
(5星)	 昨晚有梦到D昨晚有梦到D~~o(&gt;_&lt;)o ~~~~o(&gt;_&lt;)o ~~~~o(&gt;_&lt;)o ~~~~o(&gt;_&lt;)o ~~~~o(&gt;_&lt;)o ~~~~o(&gt;_&lt;)o ~~~~o(&gt;_&lt;)o ~~~~o(&gt;_&lt;)o ~~~~o(&gt;_&lt;)o ~~~~o(&gt;_&lt;)o ~~~~o(&gt;_&lt;)            
(5星)	 第三季Damon主吧www            
(5星)	 尼玛。。最后anna和viki又是怎么回事。。。还要等到9月啊真要命&gt;&lt;            
(5星)	 看完了，好久没看这么花痴的美剧了            
(4星)	 怎么还不出第三季啊 追剧真辛苦            
(5星)	 超级大爱            
(5星)	 女主角的弟弟能不能别再添乱了。            
(4星)	 第二部比第一部有点看头。越来越爱Damon了。赶紧更新吧。            
(NA)	 透的AL.是什么意思呀…            
(4星)	 Al.            
(5星)	 啊damon~            
(5星)	 彻底没辙了，season 3快出来吧。            
(5星)	 虽然半人半狼感觉有些狗血，但是总比暮光里面雅各布跟BELLA的女儿命中注定正常许多。而且吸血鬼各个都长得好英国绅士范儿啦啦啦啦啦            
(4星)	 屎了活活了屎 so busy!!!            
(4星)	 看到第2季第19集，竟然舍不得看完了。            
(5星)	 Damon噻噻噻            
(NA)	 隔了几个月又没有心情看了 …… 好 浮 躁            
(4星)	 虽然台词剧情一猜一个准，编剧越编越肥皂            
(5星)	 第二季比第一季经常多了嘛            
(5星)	 嫩牛五方终于要变坏了！！            
(4星)	 什么坑爹结局……又开始第三第四季的预定了吗……            
(5星)	 越来越好看了 第三季快点来吧            
(4星)	 开始钓我胃口了            
(5星)	 Damon大叔能不能不要让我这么爱你            
(4星)	 男一号在打了整季的酱油之后终于在最后一集体现了自己的存在感。姑娘，遇见D一样的男银就嫁了吧。            
(4星)	 好狗血啊！！！虐心！！！            
(5星)	 仁者见仁智者见智 说这是部吸血鬼爱情剧也行 但是有过经历的人会从中找到不同的共鸣             
(5星)	 我喜欢的是第四男主角……            
(NA)	 由于此剧。。我发现我1总是喜欢传统正派保守的男猪脚2还是不能抵抗青春偶像肥皂剧这种东西。。所以。。我很失落            
(4星)	 结尾太坑爹了，今天还让不让我睡了！            
(4星)	 大人我看完了~~            
(3星)	 弃了            
(4星)	 比第一季精彩多了，没想到我也控Damon哈哈~这片子的音乐很棒啊，Damon家里的调调也好喜欢            
(5星)	 最爱大萌=3=            
(5星)	 比S1紧凑多了，没有那么多情情爱爱的凑集数。            
(4星)	 编剧要累吐血了好吗 Damon已然日趋完美             
(5星)	 Damon的魅力就在于他的悲剧= =！            
(5星)	 越来越好看了            
(4星)	 You can hurt,then you can love. [第二季的Rose无敌煽情.. 我亲爱的ANNA第三季要回来了...编剧你真的很能扯...]            
(3星)	 话说‘妇女之友’情圣和‘玩世不恭’情圣 你们俩个这季已经对女主做到这种地步了 下一季想要开发出个新领域来彰显情圣本色好困难的 还是说要学supernatural 干脆兄弟俩在一起算了            
(3星)	 电视剧看长了就跟朋友碰面一样，时不时惦记一下聚聚。没有任何出乎意料的情节，这倒也应该。            
(4星)	 Mia Kirshner 你个死女人几千年才看得到一下啊！！！！只看了217~~~~~很喜欢这集，而且绝对是Katherine比Elena有趣得多。。。            
(3星)	 整一季的三角恋看得好烦。这一季caroline和tyler很配啊~            
(2星)	 好吧。Damon的台词我还是挺喜欢的。女主角长得太像狗了，而男主角又太像徐其非了            
(5星)	 “我多么希望，你可以不忘记。”            
(3星)	 扯淡玩意~CW的剧也就第一季能看看！            
(4星)	 编剧开始虐了。Elena和Stefan好人太假。            
(4星)	 DAMON好痴情 好令人心疼 每次都爱上一个不爱自己的女人 第二季后面比前面精彩 结尾又留悬念。。。            
(5星)	 因为最后那个吻~~~            
(4星)	 现在最感兴趣的故事线是始祖七兄弟            
(3星)	 被E08 D童鞋的告别虐哭了啊~~   接下来又是漫长的等待期了            
(5星)	 坐等第三季！！！！            
(5星)	 继续追            
(5星)	 这个才叫节奏            
(4星)	 剧情不是一般的纠结~~            
(4星)	 敢再虐点儿吗！            
(4星)	 情节更复杂,人物更多了,追剧太虐人            
