http://movie.douban.com/subject/2148850/	战神
(4星)	我还满喜欢安钧璨在里面的表演的
(3星)	想当年通宵看到5点 看书两小时直接去考经济法。。。幸好，幸好。。。
(4星)	当年看的时候 差一点点就被拯救了
(NA)	高中时代
(5星)	愛是一切。
(2星)	有点二。所以就给两颗星吧。
(5星)	零这首歌给我的震动是无穷的
(3星)	忽然想起来我看过！！算正常。
(4星)	只是个虐……
(5星)	编剧表演很到位！
(5星)	定情之作不可不看 ~~唉~~
(4星)	真。。挺好看的
(4星)	那是大一的暑假吧，和ty一起留在学校等着考四级，白天睡觉，晚上熬夜看动漫，然后等着一周一集的战神。那时候大S还没整容整到面瘫，仔仔还没有瘦得像鬼，并且身上透着可以称为演技的灵光，虽然倏然而逝。从那以后，再也没有那么悠然的、炎懒的夏日午后。
(5星)	看过好几遍。就是很喜欢。
(NA)	双胞胎兄弟间跨越生死的爱情~~\(≧▽≦)/~
(3星)	看了3集，觉得没意思，不想看了，咱们会有那么多人说好呢？
(NA)	世界除了黑和白的绝对，还有灰色。每个人都有一段不堪的回忆，藏在秘密的书架之上。
(3星)	哎呀仔仔实在是张得很帅的。虽然听他说台词很想去死。不喜欢大S的表演。跟樽佛似的。插曲不错。。后半段不拉快进很难看完。。
(3星)	不如漫画
(NA)	补遗      
(3星)	仔仔 大S 曾非常迷恋的一对儿！
(NA)	我囧...我真的曾经为了仔仔的那张脸去看这个- -
(4星)	零
(4星)	MARS
(4星)	MARS，带领大家冲破悲剧的黑暗英雄
(NA)	大二...
(4星)	大一在网吧看通宵
(3星)	这是个不太一样的偶像剧 事实上是
(1星)	白痴
(4星)	对周渝民同志的演技感到意外，同时期看了康熙，对他的印象大为改观……大S的演出还是可圈可点的，毕竟在演艺圈跌打滚爬了这么久……总之整部戏令人满意，使极少数我能耐下心看完全部的台剧。
(NA)	孤独美少年的残酷青春。
(5星)	看了三遍了 但时不时的又想看~~
(3星)	不喜欢。又是大S。
(4星)	电视剧版没把漫画的内容改得乱七八糟的~
(4星)	不喜欢大S
(5星)	就是这个仔仔的转型 迷倒不行 让我持续4年喜欢的剧
(4星)	有好听的开头曲~
(NA)	没看完 歌很好听
(5星)	我们家仔
(5星)	看完战神 我再也不看偶像剧了
(4星)	我喜欢零的一句话，——这就是我和这个世界不能妥协的地方。
(3星)	看了5集，有点看不下去。没觉得如豆瓣N多评论说得那样有什么深度。而且太缓慢了，看着都想打瞌睡。也许是我太浮躁了。
(5星)	对人性描画很深刻，算不错
(3星)	仔的转型作品 算成功
(1星)	情愿自己没有看过……
(NA)	！！！
(3星)	K 我原来不知不觉看了这么多台剧！
(3星)	只因那首歌才决定要看一下
(4星)	曾经超爱这部漫画，因为上素描课时我超喜欢画战神的头像
(2星)	那时和闺蜜通宵看，年轻真好啊
(3星)	大家心理都不太健康
(5星)	——“MARS，带领大家冲破悲剧的黑暗英雄。”直到多年后我重新翻出这部片子，伴随主题曲的响起，零骑着机车从黑暗中冲出的画面，都已经足以令我落泪。就现在而言《战神》或许实在是要幼稚青涩很多，人性的挖掘也远没有那么彻底深刻，但它依旧像一束光一样耀眼，因为爱，是带领我们冲出悲剧的勇气。
(5星)	对我来说有不寻常的意义的剧。世界上不是每个绮罗都能找到零。
(NA)	漫画比较好看
(5星)	那时候真是迷的要屎~
(3星)	初一同桌很喜欢 天天说仔仔好帅仔仔好帅=。=于是我就抵触了(喂你是有多贱啊
(4星)	不恶俗。男女主角的性格我都很喜欢，在黑暗中相互依偎的感动。
(4星)	大概是我长大后看的唯一一部台湾电视剧了。。
(3星)	虐不死人呀。。。
(5星)	台剧中的内涵帝
(5星)	完全爱上里面的仔仔。难道这就是他演技的巅峰时刻了吗？要加油哦
(4星)	最爱剧之一大S和仔的演技闪闪PS那时候就喜欢小修同学了
(5星)	修杰凯啊~外加无与伦比好的剧情 Music
(4星)	mars，带领我们冲出悲剧的黑暗英雄。中学时代的台剧儿一。
(4星)	偶像劇這東西，真禁不住隔幾年再看。。。
(NA)	第一集有点黑 小孩儿 不懂事啊
(4星)	蔡导
(4星)	人生的道路寂寞到荆棘，一定要找一个爱的人一起走下去。
(4星)	講的挺現實的一部劇，其實真的很希望他倆在一起
(5星)	相爱，便是如此互相扶持互相温暖吧.   不管世界怎么看你，你是带领我冲破黑暗悲剧的英雄.
(4星)	仔仔头发太长啦
(5星)	台湾偶像剧的颠峰作了。
(5星)	恩 时光
(3星)	怎么看怎么做作。
(5星)	主题曲非常好听~电视剧比较早地引进了心理学的概念~我看了好几遍，呵呵~
(4星)	mars
(4星)	第一次觉得大s长得真不好看！
(4星)	因为他们 我相信爱情
(4星)	当年宿舍姐妹一起看的，记忆中的零多帅
(4星)	你还会回来找我吗？我的英雄！
(4星)	蔡导又烂尾了啦！仔仔在这部超帅（虽然赛车的镜头少得可怜），演得也很好，痞子英雄的的时候反而太过了...
(3星)	阿正姐姐推荐。
(5星)	无敌喜欢漫画。改编还ok, 在台湾电视剧里算非常好的。
(4星)	难得拍的比较好的台剧...剧情比较有张力,比起主角更喜欢安均璨的表演，把问题角色刻画的相当深刻啊......这孩子真有潜力
(3星)	仔仔呀仔仔~
(4星)	我喜欢大S
(1星)	烂片啊烂片!
(5星)	想要这样的爱情。
(4星)	很切合原漫画~
(5星)	喜欢大S··也喜欢仔仔！！Mars 带领大家冲破悲剧的黑暗英雄！
(3星)	用x2的速度看望完
(5星)	爱在爱你。
(NA)	情路的开始
(5星)	MARS，带领人们穿过悲剧的黑暗英雄～
(3星)	好歹成就一段恋情
(3星)	喜欢那首插曲《零》
(5星)	带领人们穿过悲剧的黑暗英雄  
(5星)	还是加进来吧。个别地方煽情免不了，很多台词值得嚼，大爱！！
(3星)	两部看过漫画的电视剧之一。为了表现出零的洒脱，周渝民也算尽力了。
(5星)	太强烈的感同身受。
(5星)	仔仔！！演得 感觉最好的一部
(5星)	蔡岳勋。。。导的都好看
(5星)	台湾经典的偶像剧
(5星)	超爱  是仔仔转型演技派的佳作
(5星)	已经可以接受战神这样的爱情不过是童话了。不过依然相信爱。小八唱，即使头顶上的蓝天都是假的，也要继续向无尽处追寻。
(3星)	蛮好的故事被讲得拖沓、平淡了...
(4星)	漫画改编里算是很成功的作品了
(5星)	Mars，带领我们穿越悲剧的黑暗英雄
(NA)	这片还行
(3星)	&#34;绮罗,睁开眼睛, 是我阿...&#34;
(4星)	配角很出彩
(NA)	大S除了流行花园外，其他的都很不好看。
(3星)	话说那叫什么零的家里不错……
(4星)	这对貌似这部剧产生感情的……
(4星)	看一次哭一次 T T
(3星)	安钧璨很神经...
(5星)	我很愛這一部。
(5星)	让我对仔仔改观的一部戏。
(3星)	有点阴暗的。
(3星)	我没看完，大家去看漫画吧
(4星)	没有漫画好看~
(2星)	着实很傻
(4星)	在众多的台湾偶像剧里这是我比较喜欢的一部。。。仔仔不止很帅也是很会演的。
(4星)	美型
(5星)	哎，3遍了。终于见到桐岛……感觉故事终于完整起来，很好很好的故事，可是有时候看着有些难过。那两人还是一如既往的可爱，对于桐岛，我也不知道对他什么感觉。说不清楚。
(4星)	Mars 带领大家冲破悲剧的黑暗英雄
(3星)	电视剧
(4星)	看过漫画再看的电视剧．真的很好．仔仔．
(3星)	只拍出了漫画二分之一的故事。原书虽然是漫画，但非常深刻、震撼。
(5星)	赞。
(3星)	觉得没有正常人
(4星)	初三的时候唯一一部看完整的连续剧。
(4星)	有點詭異的感覺..音樂不錯..&#34;零&#34;很好聽
(NA)	大S和仔仔的定情作。
(3星)	对台湾偶像剧都没感觉
(4星)	有男人味的仔仔...
(4星)	还是漫画好哇~不过改得算不错的了~
(4星)	难得喜欢
(5星)	好看。绝对。
(4星)	大s 现在的你老了
(5星)	我也想要那么一个人能牵着我的手走出黑暗。
(NA)	没看完。。。
(3星)	给三颗星是客气，原著太经典，值得致敬。
(NA)	蛮好蛮好，杉菜配小类
(3星)	有些阴郁的让人害怕.有些小色情.有些喜欢周渝民是从这里得到改变也就是这片子里的周渝民我不喜欢.
(NA)	这在台剧里还算是可以的了
(5星)	目前为止最喜欢的台湾偶像剧...
(5星)	我的最爱...
(4星)	好喜欢
(5星)	我曾经最爱的电视剧
(2星)	还是漫画好看且深刻多了
(3星)	我喜欢那歌&lt;零&gt;
(5星)	好啊
(NA)	比較震撼的偶像劇
(4星)	心理.  阴暗.  
(3星)	妈妈看过，瞄了一点，感觉还行。
(4星)	台剧中难得的佳作，也是漫画改编的电视剧中拍得比较成功的一部，基本上完美地还原了漫画给我的感觉，只是绮罗&amp;继父天台那一场没有漫画来得震撼
(3星)	MARS，还挺喜欢仔仔的，讨厌大S~~~~&gt; &lt;
(4星)	mars 带领你穿透黑暗的悲剧英雄。
(4星)	同情，也是爱么？
(NA)	【2005-05-09】
(3星)	高中时候看的，我也有过追偶像剧的时光啊……不过这部的原声碟还是不错的
(4星)	唯一看过两遍的电视剧
(NA)	这是我看过最吊的偶像剧呢，很小的时候看的，两个活着还不如去死的人 心里有障碍的人 然后就成了彼此唯一的光了，心灵契合点很感人呐
(4星)	好早看滴
(5星)	物是人非啊~~~
(NA)	初中每周一集一集追过来的，已经忘了结尾是什么了。
(4星)	带领人们冲破悲剧的黑暗之神。
(3星)	小周的演技……
(4星)	算是我看过的台湾电视剧中相当不错的了  就是最后大S那段世界毁灭的对白让我觉得太矫情了 受不鸟 想要遇见一个像零一样性格的人带我冲出黑暗的悲剧
(4星)	零的自我分裂..
(4星)	少有的我看过的台湾偶像剧 还是主题比较不怎么明朗的互相救赎类型 但是当时觉得真好看啊
(NA)	酒店星空台，周渝民好粗狂麼。。
(5星)	幸好 我们都没有输给悲剧 ，幸好 。。
(4星)	我已经过了看肥皂剧的年纪，不过于绝望中彼此拯救的题材，还是不错的。
(3星)	那个时候台湾拍日本漫画真是多……我单纯是因为喜欢原作者
(4星)	偶像剧里面算不错的了
(5星)	觉得 还是比较好看的真人版
(NA)	大仔恋的开端
(NA)	大爱陈零。
(NA)	安钧璨。
(NA)	大S就很适合演这种被虐的啊被QJ啊什么的角色= =
(5星)	绝对是台湾剧里屈指可数的异类，剧情虽然黑暗，结尾却是温暖，演员都发挥出了最好的演技，强力推荐
(5星)	每个人都是自己的战神
(5星)	据说在这部剧里大S已经和仔仔在一起了。戏里充斥着各种有心理疾病的人...
(5星)	喜欢这种非彼此不可，莫名吸引相互依赖拯救彼此的感觉。
(4星)	当年看HIGH了
(4星)	一群精神病患者的爱恨情仇杀
(5星)	我很喜欢的一部台湾偶像剧。记得还是在大学的时候看的吧。后来生日朋友知道我很喜欢就送了一部VCD给我。只不过是剪辑版本的。
(4星)	上学时和小卉看的，没看过漫画，但感觉如果是小说的话应该也能挺好看的。
(NA)	竟然什么都不记得了，就记得周渝民名字叫“零”。还有那首歌不错。20101111
(3星)	你一身黑衣，沉默得让我心寒。
(NA)	当年我还是很爱偶像剧的
(5星)	很好 很好
(4星)	套用琼瑶阿姨的话说:&#34;一个破碎的我如何拯救一个破碎的你&#34;.
(4星)	回头再看，没有当初的震动
(5星)	突然觉得大S和仔仔好登对啊，颠覆我对仔仔的一贯看法。
(NA)	後來爲了看安鈞璨才看的。。。。快進。。。
(5星)	很打动人～
(5星)	星空卫视在重放，以前买的碟因为中间出了点小毛病没看完。这是我从以前到现在都很喜欢的剧啊。。
(5星)	五分给大S和仔仔逝去的爱情
(4星)	电视剧有点被原作牵绊了 这部漫画本身就是很生活的 但是编剧不应该因为这个偷懒 女猪脚不是很合适
(5星)	经典。
(5星)	多年后回头再看，居然很感动。
(4星)	一直没有来看，看到戴大叔特别亲切，应该不错。
(NA)	好怀念那个时候的仔仔和大S。
(2星)	完全不觉得好看。。。
(5星)	年轻时的长发的没有那么瘦的忧郁得让人胃酸的仔仔啊，你不要老去不要变成熟不要变瘦不要剪短发，就那么活在我年少的时光里吧。
(5星)	最喜欢也是唯一喜欢的台剧.....
(4星)	突然发现这个曾经禁播的偶像剧把人性探究的那么深刻
(4星)	在这部剧里，他们确实是很完美的搭配
(5星)	当初看的怎么感触就那么大呢= =。
(5星)	战神是一部完全超出了偶像剧的浅薄的偶像剧。它深刻挖掘人性的黑暗面，但却没有止于对黑暗的叹息和哀痛。它给出了帮助人们走出黑暗的良药：爱和面对黑暗的无畏和坚定。周渝民在该剧中准确把握了陈零的灵魂，并把他精准的呈现出来。是一部常看不厌的经典之作。
(3星)	史上最狗血剧情。最有爱男主。
(4星)	个人觉得人物塑造得不错~不烂俗~
(3星)	他们对于彼此，都是独一无二不可替代。
(5星)	倾尽所有去爱，爱到不能再爱。时隔多年再回来看，还是那么的有味道。
(4星)	台剧里算不错的了。喜欢那种默契。
(4星)	哦仔仔......
(NA)	有時候兩個人的黑暗可以讓他們走的更近，攜手走向陽光。
(4星)	结局不怎样
(5星)	目前為止看過最好的台劇。
(4星)	台湾偶像剧里算很不错的了
(3星)	因为仔仔而看，有点儿压抑，看到第7集。
(3星)	曾经都麽美好的一对。
(5星)	仔仔真帅
(5星)	当年很是让我迷了仔仔好一段时间
(5星)	仔仔表现真不错，
(5星)	个人以为是最好的台湾偶像剧
(4星)	我果然还是最喜欢周渝民
(NA)	仔仔很帅，可是这怎么那么长
(NA)	我喜欢里面的男二胜过仔仔~~~
(4星)	当年。我看了好多好多遍
(4星)	大学的时候，有一阵，因为这部电视剧，频频跑到网吧，黑暗的网吧里，无声无息的看完这一切，现在却已经是物是人非，他们都已经在别人的身边，这大概就是生命。
(2星)	。。。实在对周同学无爱
(5星)	台湾偶像剧的翘楚（如果它算偶像剧的话），非常值得一看的有深意有思想，感觉沉重却又给予力量的一部难得佳作！
(3星)	明显漫画强大多了
(4星)	为什么还是分开了。。。
(5星)	看的时候因为有人的一句评语，最不像偶像剧的一部偶像剧，看完就明白了。虽然战神事实上没有造成什么播出时的轰动，但是真的是这么多年来最爱的一部台剧。每次看到大S的那种惊恐眼神就想到小时候的自己，虽然不至于那般坎坷，至少懂得为什么要把自己锁在某个世界里。
(4星)	仔仔很会挑片子
(4星)	仔仔演技突飞猛进的一部
(4星)	一群精神病的故事。
(2星)	根本没看懂，那个是个什么啊
(4星)	经典、
(4星)	发神经的又看了一遍= =|||
(5星)	如果我们不手牵手，就会失去走出悲剧的勇气
(NA)	我真觉得大S就适合演被虐待被欺辱的女性形象。。。
(4星)	总体来说感觉不错不过还是漫画好看
(4星)	虽远不如漫画了，但也支持下
(3星)	心理片
(5星)	看过的最优质的台湾偶像剧之一。从剧情到制作到演技，有触动人心的力量。对仔仔的帅又有了新的高度的认识~
(3星)	比较二流的制作 亮点大概是仔仔的超帅扮相
(4星)	仔仔很帅~
(4星)	仔仔演的不錯的嘛。双重性格
(3星)	反复被推荐...于是我屈服了...
(NA)	一部很好的偶像剧
(4星)	看了有种说不出的感觉。。。
(4星)	幸好他们遇到了彼此..
(5星)	再看还是喜欢。
(5星)	是在中考一模的时候看的。流泪和压抑，却仍相信有值得坚持和为之奋斗的东西。
(4星)	有些感情是注定的，就算来了它也会再走，惋惜是没有用的
(NA)	最近看下一站突然想起你，带领我们冲破悲剧的黑暗英雄。我一直觉得零和绮罗之间那才是真爱。
(4星)	MARS——战神，带领我们穿越悲剧的黑暗英雄。
(3星)	蔡导的东西一向不会太差
(4星)	比较不那么脑残的台湾偶像剧
(NA)	记得好像哭了
(4星)	大概算是比较另类的剧目了。有些阴郁的感觉
(4星)	在众多日本漫画改变的偶像剧中这部算是没那么白痴的。
(4星)	就是挺爱看！没别的
(5星)	总有些惊奇的际遇　比方说当我遇见你 
(3星)	看太久我只记得画零的那幅画和柯有伦的声音
(5星)	仔仔刚出场的戏份，确实很令人想尖叫！
(3星)	P.S. 零点
(5星)	仔仔真的是超帅啊啊~
(4星)	尘封的记忆被豆瓣翻出来。周仔最好的一面只有蔡导能带出来。
(3星)	纯粹是因为仔仔看的。。。再确切点，是因为仔仔的长相。。。
(3星)	跟原著比较相符
(5星)	爱他，是爱
(2星)	什么烂玩意儿。
(3星)	周渝民憂鬱的小眼神，是唯一一個支持我看的理由。
(3星)	今天早上醒来第一件事就是想到死 原来每个人都有神经病 还好这个结局不是悲剧
(5星)	台剧中的最爱
(4星)	这部剧 改变了我对周渝民的认知
(5星)	周渝民和大S的经典作品
(3星)	冲着主角看的，还凑合吧，整体腔调太阴暗了。
(5星)	从这部戏开始爱上仔仔~~~
(5星)	看到一半，突然發出感嘆:里頭的人全部都是癡線的!!
(1星)	哈哈哈，这个，我看了漫画，漫画比较，嘿嘿
(NA)	徐熙媛在两个片子里的差别太大了
(3星)	因为讨厌大S，减一星~~~~~
(5星)	台湾片里面算很好看的了
(NA)	090727开始。0731结束。 没看出来啥东西。。 不过明星挺多。。 其实我是小跳跃着看完的。。。
(NA)	搞了半天你还是个心理剧~蔡岳勋叔叔你好强大~~
(4星)	高中在教室里和大家一起看的 怀念
(3星)	两个人爱情的开始
(5星)	还想再看一次～～忠于原漫画的电视剧，不像现在那些太夸张的台剧
(5星)	豆瓣猜实验中，这个挺准，蔡岳勋加大仔配的经典搭配
(4星)	迷死这部剧里的仔仔了，前面觉得蛮好看的，最后几集越拖越长，就没兴趣了
(4星)	另类偶像剧。偶像剧中的怪咖。
(2星)	我觉得没啥。。
(3星)	【服饰发型太土叻】3\4星之间.看一集忘一集还是全看完了.的确算得上心理片,虽然又浅窄又空中楼阁..俩主角演到必要处不惜扭曲自己精致的脸,不耍帅不摆酷,这演技用于演偶像剧已是绰绰有余叻.
(3星)	当年我妈租碟回家给我看的
(2星)	不得不承认，这是一部较高级的偶像剧，脱离了一般偶像剧全篇上下没完没了反反复复的感情纠缠，内容上丰富了很多。可既然算偶像剧，个人认为最后留在心里的感觉和整部片子的氛围要偏向幸福和美好，可这片子让人长时间的沉浸在一种诡异的氛围中。设计的情节很能抓住观众，没错，我也一直看得很认真，可当
(4星)	深刻 看完痞子后才来看的，只觉的相聚狠晚了一点点
(NA)	爱仔仔
(5星)	这让我看到了仔仔是有演技的``
(3星)	精神病爱神经病。。。
(5星)	大爱
(4星)	可惜男主角不是阮经天~基本上剧情和原著一模一样 让我有点点失望吧
(4星)	看到后面还有点怕怕~
(4星)	不错
(5星)	 每个人物都很深刻,每个人物都很喜欢
(5星)	仔仔终于开窍了。
(4星)	偶像剧的翘楚是不错
(3星)	我后悔买了碟
(5星)	漫画和剧很贴合很好看~大S和仔仔演技很突出~Mars——带领大家冲破悲剧的黑暗英雄!这个世界，得却存在许多令人束手无策的恶意，不管怎么去伪装，它还是一点一滴的显露出来，散发着令人不悦的气味。
(5星)	我爱的仔仔和大S
(NA)	中午在雪家 林长哲竟然还记得我的生日
(2星)	那年我高考
(3星)	2004
(4星)	柯有纶
(2星)	刚开始真的很不错，男女主角也正好合我口味，但后面太无聊太白痴了。
(4星)	应该加上来 应该是我看过觉得最好的一部台湾偶像剧
(5星)	零和圣那一阵就每天缠绕在我心里，很神秘，也很心疼。但是我不得不问，为什么一定要是大S！！
(3星)	镜头画面跟漫画一个都不差
(5星)	我家仔帅的类~~
(5星)	这是一部很难得的台剧，喜欢陈零，喜欢仔仔
(5星)	两人就那样分了，真可惜
(3星)	可惜没有全部看完 光驱坏了
(5星)	好看~
(5星)	周渝民转型太帅了！
(3星)	漫画也不是很中意
(4星)	零蛮赞的，柯有伦唯一一首像样子的歌
(4星)	难得的阴暗型台剧
(NA)	本来以为他们会在一起……终究越走越远……零的爱情和孤独，和绮罗仿佛一一对应般契合，但是这终究只是童话吧
(5星)	这爱情，完美无暇了。
(5星)	看到了仔仔出众的演技。喜欢这部并不太算偶像剧的偶像剧。他们搭戏的感觉令人甜蜜，太配了。
(5星)	OST不错。周仔仔的演技爆发。
(4星)	好压抑呀，好沉重。。。不喜欢看很闷搔的那个变态。。。。
(5星)	这是一部有深度的台剧
(5星)	绝对经典的片
(NA)	扮演沙织的萧潇~美的惊艳
(4星)	从这里开始爱上仔仔
(5星)	带领大家冲破悲剧的黑暗英雄——MARS。最不像偶像剧的偶像剧。最胖的仔仔，最好的演技。心理的困斗。
(NA)	看几集瞧瞧~~
(3星)	66.
(3星)	没有漫画好看
(3星)	仔仔终于有点man的强调了——O(∩_∩)O哈哈~
(5星)	到目前为止觉得台湾除了流星以外最好的偶像片就它了。虽然也不能完全拜托造作之嫌，可是跟当下的状况比，已经清新自然得太多了。重点是这俩主角的现实令人唏嘘，到现在去K歌还必点两首主题曲边唱边花痴边感怀沧海桑田歌是人非啊。
(5星)	事过几年，如今回味起来，还是觉得每一个镜头都不想错过。完全不用快进，就会沉迷这剧中两人的表演之中。04年的他们，甚至好过现在。这样的相濡以沫，才是所谓真正的爱情吧。插曲总是很恰当地出来，更渲染了整个情节。
(3星)	期末考不温书，全看这个了。
(3星)	好吧~我记忆老化了~~~只记得一点了~~
(NA)	看完觉得仔仔还不错
(4星)	零的名字很好聽
(3星)	别人推荐的，还可以吧
(5星)	带人们穿过黑暗的使者，最好看的台湾偶像剧~~~~~~~~~
(5星)	我最喜欢的台湾偶像剧啊，还专门买了正版碟来收藏的
(4星)	Mars
(4星)	看得压抑~
(5星)	帅··
(5星)	带领我冲出黑暗的悲剧英雄
(4星)	还行....
(5星)	爱与精神分析
(NA)	仔仔所有的扮相中最喜欢的就是战神里的了。其实情节记不大请了，当初也不是非常认真的在看，倒是原声听了很久。
(5星)	看过最深刻 最有感触的电视剧！孤独的灵魂 只有紧紧地依偎才找寻到生命的温度 无尽的黑暗 只有手牵着手 才能冲向极乐的光明！
(5星)	心目中的台剧第一
(NA)	战神 
(NA)	没看完
(4星)	S演的很好，当时看了觉得深深感动
(4星)	结局没看囧
(3星)	仔仔在里面好胖的说，但是当时很爱那个“零”的主题歌。
(4星)	仔仔超帅..
(3星)	发现看了好多大S哦。。
(4星)	我们只有手牵着手才有走出悲剧的勇气，那么，我们为什么要分手呢，
(5星)	好看~单单演员就很养眼啊，哈哈
(4星)	算是经典之一啊
(5星)	感动
(1星)	惣领冬实的原作是神作啊！这玩意儿算个鸟？！好歹你也找言承旭来演男主角啊——看过漫画就晓得那主角分明是像木村拓哉的...
(4星)	歌很好听
(4星)	记得那时很爱零。
(3星)	期末考试前和爷在宿舍里看的
(3星)	结尾太光明了~~
(5星)	第1部不让我厌烦的台剧
(NA)	压抑的偶像剧。
(3星)	很喜欢主题曲 柯有伦的[零]
(2星)	为了漫画去看。。。真是。。。。
(3星)	有的地方有点甚人...
(NA)	战神
(4星)	经典哈~~~心中的大仔恋啊~~~
(NA)	就让我爱你
(4星)	我多希望……
(NA)	因为体会过什么是真正的绝望，所以，你们对爱万分珍惜。
(2星)	小扁说好看，我租了碟在家居然看不下去。
(4星)	仔仔演得不错^.^
(NA)	赞~
(NA)	还不错
(NA)	马马大爱
(4星)	仔仔還是胖一點比較帥。
(4星)	20集对我来说还是个很大的挑战...另,桐岛出场音乐很好听
(NA)	让我看到了...的偶像剧...
(4星)	没有坏人。
(4星)	为什么呢为什么……
(4星)	很久以前看的啊..大仔真帅~
(NA)	MARS 火星 战神
(NA)	日本怎么不拍啊！
(5星)	很爱很爱的感觉~
(4星)	帅哥和机车 是没有办法拒绝
(5星)	超级like
(5星)	经典，台湾偶像剧的经典我承认我很庸俗。
(4星)	mars……
(3星)	还行
(4星)	虽然漫画比较好。
(4星)	仔仔 哈哈
(2星)	假戏真做却做不出部好戏
(4星)	算是台剧里面少有的有点思想又好看的了。
(NA)	好灰暗的一部剧哦.....  灰暗啊.. 小型啊...
(5星)	每个人的心里都有黑暗
(4星)	战神
(5星)	演精神病患者 也能演的这么帅
(5星)	刚动中带有隐约的心痛，还是非常喜欢这个片子的！
(5星)	分特勒~
(4星)	喜欢柯有伦的零
(4星)	不是白痴型的偶像剧.赞.
(5星)	en 2005
(5星)	Mars,带领大家冲破黑暗的悲剧英雄。无论是对绮罗，还是零，他们互相拯救的爱情，真的很精彩。
(4星)	挺不一般的偶像剧。
(4星)	我想是从战神开始的吧 觉得仔仔其实也没有那么讨厌了
(3星)	高品质的偶像剧。惨烈的往事，坚定的爱，手牵手迎向光明。~仔仔的巅峰之作吧，最近见老了。
(5星)	很好
(5星)	冲破悲剧的黑暗英雄…………………… 
(5星)	偶像剧中的极品呢～
(4星)	仔仔咋肥鸟~
(NA)	看了我都觉得丢脸系列
(4星)	速度与爱之间……
(5星)	出了仔仔的髮型，什麽都讓我滿意
(NA)	Mars，冲破悲剧的黑暗英雄
(NA)	还不错
(4星)	喜欢这里面的仔仔~
(4星)	还是漫画更好
(3星)	立意不错
(5星)	因为这部片改变了很多看法，超级喜欢！走火入魔了都~~
(4星)	偶像剧中的精品
(5星)	第一次被一本台劇迷得神魂顛倒，都是仔仔太帥的緣故。
(3星)	喜欢那个桐岛的出场音乐
(4星)	我唯一喜欢的偶像剧
(5星)	两颗受伤心灵的完美结合 
(NA)	看了电视觉得说爱我这首歌更好听了，怎么看大S都不是我喜欢的美女类型。。。
(5星)	我认为凭它的故事深度和涉及的情感话题.以不仅仅是一部偶像剧,仔仔和大S演得都很到位,配乐也很棒.好看!
(4星)	初三的假期。畸恋、同性恋、不论的强奸、自杀、双重人格、心理暗示、床戏……在那个年代来说真的算比较大胆了
(5星)	相互扶持走出阴影我想这才是爱的最高境界吧。
(4星)	哦哟 那个疯狂追偶像剧的年代。。= =
(NA)	仔的表现确实比我想象中要好！
(5星)	此剧最大的惊艳就是仔仔的演技
(5星)	必须经典的五星
(NA)	我居然没有看完啊啊啊啊  
(5星)	嗷  寒假中期综合征 
(3星)	还是喜欢漫画 
