http://movie.douban.com/subject/3227335/	仙剑奇侠传三
(4星)	 其实我是去看演员的......            
(4星)	 仙剑情节继续中。。胡歌还是那么逼真哈~~霍建华白豆腐~~其他女人忽略。。            
(4星)	 景卿王道!!!!!!!!!!!!!!            
(2星)	 景卿萌腐双修。蜀山是当时的IT业巨头，同时运作着最大的搜索引擎。茂茂真的让我感动了。花楹是土豆。天帝是邢捕头。我对结局感到很不满！清微那个牛鼻子对紫卿二人说教时，八岁的妹妹反问了一句：这个道士非让白豆腐当掌门岂不也是强求，还整天说什么道啊，自然啊……妹妹有慧根。            
(5星)	 爱情苦情戏，亲情苦情戏最容易让人伤心了。仙剑里抓住了这种爱，并且是很无私的大爱。我喜欢长卿。            
(5星)	 爱他就不要进入他的生命 p~！~            
(5星)	 只要美型我都喜欢…////W////            
(3星)	 我操 导演究竟有没有玩过啊 剧情那么烂 陪我妹妹看 我在一边都要吐了 敢情杨幂跟刘诗诗才是他妈的一对            
(5星)	 语言很经典~            
(5星)	 我爱胡歌            
(3星)	 三星给幂幂，如果幂幂早出台两年，仙一轮的到xinyuan演？            
(2星)	 我擦……实在是太他妈的傻逼了            
(2星)	 杨幂、唐嫣蛮好看，剧情令人发指。            
(3星)	 跟老公一起看的第一部电视剧            
(5星)	 我真的很喜欢长卿皱着眉的呆样~            
(3星)	 霍建华演的徐长卿真帅啊~~~            
(4星)	 好喜欢那颗&#34;土豆&#34;啊~~~ 可爱死了！！！            
(4星)	 阿肆的《紫卿》应该做主题曲或者插曲！            
(2星)	 杨幂在此剧重度弱智，容貌made in Korea。            
(2星)	 我呸！            
(4星)	 雪见真是美丽可爱又聒噪            
(5星)	 故事最后的那场大雪，所有看过的人，应该都会有所触动。彼时长卿已是蜀山掌门，在那场漫天大雪中，他一人立于峰顶，想着紫萱曾说，她想看雪，于是他拔剑起舞，依旧是那个英姿飒飒的少年，却不再有笑容。紫萱白发苍苍，与崖底与雪花一同起舞，她脸上的笑容还是真诚的，虽然只在此时此刻，可留给长卿的，            
(NA)	 游戏fans们只是希望自己喜欢的东西能更被尊重，但是看到不少小孩说看剧以后就去玩游戏了；不知道主策王世颖女前辈看了什么想法，佩服她，仙一只是一个传统的仙侠故事，而仙三才真正创建了一套世界观，这个系列才有做下去的生命力。上软真是可惜，做游戏能拜在她门下就好了…            
(NA)	 这真的是一个很无聊的故事...我真的很不情愿看 在我期末考的时候熊猫悠闲的把声音开到我不想看都不行...唯一可以看看的,也就重楼啦...哎...其他两位男主角实在是太脑缺了            
(3星)	 真让人失望            
(3星)	 雷啊雷啊雷~            
(1星)	 我要把编剧关进锁妖塔。这句话经典了。            
(1星)	 主角配角全部是那么讨厌的角色。。。            
(5星)	 赞的            
(4星)	 我对结局很不满很不满很不满！！！！！！！！！！！！！！！！！！！            
(3星)	 好看            
(5星)	 感觉挺可爱的一部片子。觉得特效做的也可以。服装也挺好看。里面有些台词说的挺有道理。我有仙剑情结。。觉得这里的徐长卿在前面的时候木头的可爱            
(NA)	 白豆腐萌！胡歌的脸没仙一耐看了 &gt;&lt;            
(3星)	 我内时候还觉的唐嫣挺不错的，然后后来看了一点爱情睡醒了和无懈可击之什么什么之后完全被嗲怕了。。。。。。太可怖了。。。。            
(1星)	 很崩溃,笑料和制作好幼稚,杨幂的唐雪见,够绝色野蛮女友,刘诗诗唐嫣痴情,胡歌闹得烦,邪剑仙被灭后，所有人复活，爆假            
(5星)	 看完我得出一个结论，花楹是废物...            
(5星)	 好经典，好怀念。            
(4星)	 蛮好看的            
(3星)	 有小小拖沓，不过跳着看还是十分不错的。            
(3星)	 怎么说，跟1比起来好太多，至少没改得面目全非            
(3星)	 比第一部和第二部都靠谱。            
(NA)	 雷片...            
(4星)	 和仙一似的，前边那么美好，那么快乐。。。结局却让人流泪。。            
(3星)	 已经远离了这样的背景设定，再看，也只当消遣            
(1星)	 改得太多。不伦不类。            
(2星)	 仙三是我买的最后一个正版游戏了貌似....这剧前头一些布景服装还挺美 越往后越雷越土 .....            
(2星)	 我忍了好久最后碍于仙剑这个招牌还是给了两颗星。我骂都不想骂了。            
(5星)	 还是难以悟出道的含义，难道道和情相生相克？            
(4星)	 感人吶，哭得劈哩啪啦的。。。            
(1星)	 就他妈糟蹋游戏吧            
(NA)	 我好喜欢龙葵啊！！！！！！！！！            
(NA)	 改太多。。。            
(NA)	 茂茂死的时候哭死了我            
(4星)	 笑了，也哭了            
(NA)	        从仙1开始就喜欢，到现在仙3还是喜欢，喜欢。            
(4星)	 配乐雷死我了= =            
(5星)	 无论时空怎么改变，我们也要在一起轮回。。。。。            
(4星)	 好看呀！！            
(4星)	 可怜的茂茂,以及重楼是个好男人!            
(3星)	 最讨厌紫萱，烦死了，女人做成那样真失败。啊，我的重楼GG，你怎么就那么不长眼喜欢这个死女人            
(5星)	 我爱魔尊重楼。。。！！！！~            
(4星)	 演员都不错~~编剧脑残~~演员们都演得挺好，怎奈剧本漏洞百出~~            
(3星)	  茂茂死的时候可难过            
(5星)	 很感动的一部古装奇幻。突然觉得自己悟出一些东西、            
(3星)	 -__,-  能说毁么            
(1星)	 还我 重楼            
(3星)	 寝室每晚都会讲,我都郁闷了...哪有什么好看嘛...偶像是霍霍,工作认真的            
(NA)	 胡歌很可爱，杨幂很漂亮。刘诗诗很温柔很美了。看到唐嫣和霍建华就想快进。            
(4星)	 唯一能让人动容的就是紫萱和徐长卿的三世情缘了吧 最遗憾的也是两人最终没有厮守            
(2星)	 作为一部武侠电视剧，水准尚可。但是不要打着仙剑的旗号乱来！！这货根本不是仙剑！！编剧你丫以为是在写同人小说啊！！杨幂的雪见刁蛮俏皮有余、唐门千金味根本没有，怎么看都是丫鬟。紫萱堂堂女娲后人，怎么骚得跟苏媚似的。重楼不是地狱六使！服装是谁设计的！我最爱的花楹怎么变成这副脑残德性了！            
(3星)	 长卿啊长卿            
(3星)	 居然搞雪见结局，劳资都搞的完美大结局。。最后结束的真畸形。            
(3星)	 完全为了白豆腐道长看的            
(3星)	 没玩过仙三不懂剧情……不过看到李逍遥出现的时候我还是囧了一下，顺便……我觉得这片很基啊            
(4星)	 如果忘记，又何来舍不得。只是，在没忘记之前，与你之间的所有回忆和感情，都是我这生最宝贵的。他们谁都没有喝下忘情水。就这样，一个人想念你，一辈子吧。这是我最大的幸福。            
(3星)	 弱智孩儿们欢乐多。。            
(2星)	 不喜欢杨幂，喜欢唐嫣            
(3星)	 难得看完一部剧            
(4星)	 减一星因为SX杨幂            
(5星)	 相濡以沫不如相忘于江湖。不过我很俗的...看这剧都能哭得稀里哗啦= =            
(5星)	 感动啊感动啊感动            
(3星)	 无聊就看了，刘诗诗真好看！杨幂不耐看，尤其是嘴巴。。。霍建华，好吧，长卿，我对你改观了！演技都很烂的说，但好看的我就凑合看了            
(4星)	 霍建华虐死人了            
(NA)	 高清台体验剧，现在的90后就天天看这种高光柔光打的只看得见脸上几个大黑洞的女演员么。。不过霍建华还是帅的-___,-            
(5星)	 剧情是有点傻，不过很搞笑啊~            
(5星)	 仁者见仁，腐者见腐，JQ饱满            
(4星)	 霍真的不错~我萌长卿大侠~他们的三世姻缘好让人心疼 雪见真的太闹了 嫌她烦 茂茂让我哭了 我真的好喜欢这个胖子 我想去玩游戏了            
(4星)	 我爱胡歌。            
(3星)	 霍长卿            
(NA)	 暑假煲完，重楼大叔很有爱 ，补充：霍建华不输大叔             
(NA)	 喜欢雪见和重楼            
(NA)	 道具和虚拟场景做得实在太粗糙了硬生生看完了            
(3星)	 编剧你能再二点吗？傻逼紫萱怎么还这么多人喜欢，她也配女娲后人？            
(3星)	  只觉得胡歌太老，有心往演技派发展，但演得很吃力，杨幂挺好看.,,            
(4星)	 男人推荐看，不敢不看。美女多，剧情还可以，传真气嗖嗖嗖三两下死人变活人什么的就算了。            
(5星)	 真的是很好看。好看。好看。            
(4星)	 我要怎么样才能够拥有可以割肉换粮的相信？            
(3星)	 里面除了唐嫣。其他的角色都很喜欢，特别是紫萱，她真是美啊~~胡歌的表现依旧不错。。。            
(3星)	 混时间还可以            
(4星)	 蛮喜欢溪风的故事            
(2星)	 真无趣~~~~~            
(NA)	 被别人的审美骗了            
(NA)	 还真看完了            
(3星)	 我是神仙我最大又被刘诗诗骗了两滴鳄鱼泪              
(5星)	 爱仙3！            
(3星)	 胡歌好帅！            
(2星)	 我只想看到逻辑……            
(1星)	 白素贞为了和许仙厮守去勾引法海、盗取法力、主动献吻，你喷不喷。孙悟空被黑风洞的小喽啰绑在柱子上砍掉尾巴羞辱、无计可施，你怒不怒。洪七公指着梅超风对小龙女说：其实你是我们的私生女！你惊不惊。吴用计无可施之时 神秘人出现送与神奇法宝 ，走时头罩一除：诸葛亮。你哭不哭             
(4星)	 冲卿萱+4星..            
(3星)	 剧情是雷人的，Bug是满眼的，台词是销魂的，主角是脑残的，but 吐槽是喜感的，JQ是3P的，腐点是众多的，卡司是美人的；外加蜀山是科技的，搜索是Google的，通讯是3G的，电视是液晶的，P3是海螺的……所以，我看得是欢乐的（欢迎补充）再PS茂茂死的时候我真哭了            
(4星)	 不与游戏相提并论仅看个乐呵还是很不错的。只是这玩意儿太催泪啊。            
(3星)	 比第一部差很多。            
(3星)	 把重楼拍的太蠢了。。。|            
(4星)	 结局叫人胸闷            
(4星)	 又囧又娱乐~有萌点的!            
(3星)	 重楼很可爱，景天是个孬逼。最喜欢龙葵了            
(2星)	 我看到茂茂割肉了。。真变态啊我操。虽然知道是假的。可是还是5555555555555555555555555555555555555555555555555555555555555            
(NA)	 徐长卿，治痛经，治痛经找徐长卿（心）            
(2星)	 看得我莫名奇妙啊……            
(4星)	 总之是越来越狗血……只有卿萱恋能看……最爱重楼            
(3星)	 看在胡歌分上給3星...= = 雷死我了..            
(3星)	 四年前互通信件的你已然端庄，但还是请原谅我无奈而弃之。            
(2星)	 不知为啥看不下去，就看了一集，都删了。。。            
(2星)	 都不知道怎么形容。。            
(2星)	 次            
(3星)	 胡歌再不是逍遥哥哥了。只是在说过去的故事。            
(3星)	 没全看完。。。太长了。。。            
(2星)	 娘啊，我爱的仙三就这样毁了            
(3星)	 不知道什么动力驱使我每晚跟电视前守着，还是个粤语版的            
(NA)	 我喜欢那个龙葵  重楼和紫萱就算了            
(3星)	 我爱火鬼王&gt; &lt;            
(3星)	 雷得太可以了！紫珊大神无敌！            
(2星)	 改得一塌糊涂……情节拖沓            
(3星)	 白烂啊白烂 眼泪啊眼泪 想想当初追看一的情景再看看现在的三 真是天差地别欲哭无泪啊 不过胡歌依然是现今古装扮相的第一纯情小生 杨幂也越看越漂亮算是一个意外惊喜吧。            
(2星)	 原创剧情太多 灰常剧透十分可恶，玩游戏时的震惊点全都第一集就爆破了 少年李逍遥附体景天 呼唤我的楼哥！！！            
(3星)	 完全不如仙一值得回味            
(2星)	 雷神滚滚。从那个镜子通讯仪到五毒兽以及各种雷人情节。[未看完]            
(1星)	 毁了毁了。。。            
(3星)	 呃 算是没怎么失望吧            
(3星)	 玩过仙四再玩仙三真的很难接受画面啊。下了好久一直没玩完，总是要切出来看攻略好忧郁。没有攻略走地图简直是自杀。好吧，我决定好好玩完。握拳！            
(1星)	 景天一个大好青年，硬生生拍成了痞子无赖。徐长卿是唐僧啊？花楹你哑巴啊？每次出场你不会讲话啊！雪见你是她仇人啊！好好的游戏剧本，给你改成神马跟什么啊！糟蹋完1又糟蹋3，还要糟蹋4！你们去死一百遍好么？            
(1星)	 虽然有小霍 但是有杨幂还是必须一星            
(1星)	 不解释            
(4星)	 茂茂死得好惨啊，泪点被戳爆过！！！            
(4星)	 有个妹妹多好。            
(5星)	 看的时候挺喜欢的=c=            
(2星)	 雷片=。=            
(NA)	 好雷但是被长卿萌到了好想死（最悲剧的是重楼，游戏里他才是原配啊            
(1星)	 特技太炫            
(5星)	 当年一边考试一边看的日子..            
(3星)	 白豆腐真帅            
(5星)	 真爱&gt;&lt;            
(4星)	 节奏偏慢，可以压缩到30集；部分台词颇有深意，有心人自明；很喜欢徐长卿，以及他最后的选择。原为了搜集网游资料，因电脑配置不合适装载，只好看电视剧。某友曾推荐过，但当年对电视剧不以为然。不过这世间本就没有无缘无故的错过，只是机缘未到，现在看到的就不仅仅是一部电视剧。            
(2星)	 每天跑1W米然后就竟然看完了。。。。。。。。什么都不想说，两颗星给我在游戏里就最喜欢的重楼。            
(NA)	 喜欢紫萱和长卿这对。            
(3星)	 徐长卿同志还是很养眼的。            
(4星)	 白豆腐真萌~~            
(4星)	 好吧，笑点太多。            
(2星)	 烂啊            
(3星)	 整個電視劇就喜歡上  霍建華。  別的~ 算了。            
(NA)	 原作党看这个有鸭梨。            
(NA)	 杨幂  你好漂亮哦~            
(3星)	 太墨迹了            
(5星)	 我从来没有这么喜欢看一个古装片过. 赞啊~!!!!!!             
(3星)	 看霍建华一脸正气            
(3星)	 重楼太弱，紫萱太骚，长卿倒是很萌。。            
(NA)	 电视台==b            
(5星)	 对，我永远的仙剑梦，哈哈哈。            
(2星)	 台词恶心人啊             
(1星)	 甜甜给我做饭 代价是我要陪她看这个 额            
(3星)	 囧片……这真的是拍仙剑一的那帮人吗？各种不理解……            
(5星)	 每个男人心里都有一把仙字头的剑  前一琼瑶中一金庸后一古龙》。。为灭有逍遥阿            
(4星)	 三星给电视剧，一星给道长。。。            
(1星)	 严重被雷            
(1星)	 不解释            
(4星)	 纯粹为霍建华打四星            
(5星)	 喜欢 龙葵。 讨厌雪见。            
(2星)	 就看小白脸呢            
(1星)	 脑残无语…            
(5星)	 越到后面越讨厌杨幂            
(3星)	 披着神话皮顶着无数大bug角的情感羊            
(1星)	 我改用什么样的词语来描述这样的烂剧本和演员的烂演技 而且看起来制作很粗糙的样子  你们缺经费吗？情节连贯性较差 重点迟迟不肯出现 到了后期又显得仓促 里面的男配角出了妖鬼王 都比胡歌帅= = homo情节很重 而且很滥情             
(3星)	 真是远不如1啊。。刘长卿唯一吸引了我，杨幂演的大小姐真是让我失望。。            
(3星)	 毫无悬念的喜欢徐长卿            
(1星)	 垃圾            
(3星)	 龙葵啊~紫萱啊~其他漠视了啊            
(4星)	 没有仙剑1好            
(4星)	 两天37集..            
(3星)	 看了一半 看不下去了            
(4星)	 和游戏人物的差别我就忽略不计了，反正看了这剧，我对白豆腐心思活络了            
(4星)	 把它当个和游戏没关系的电视剧看，其实还行。            
(NA)	 其实就看过最后一集……霍哥哥好帅~原来我喜欢的是介种类型~~~~            
(NA)	 原来这是腐剧。。            
(3星)	 霍建华永远这么的帅气！            
(NA)	 好欢乐的基情啊。            
(5星)	 好龙葵            
(3星)	 困死在南京的时候看完的，演雪见的姑娘长得真讨喜&gt;_&lt;            
(3星)	 道具场景都很精细 霍建华帅气 女演员都很美丽            
(3星)	 看了这玩意，我才发现国产电视剧在运用电脑特效方面已经取得了显著的进步…整片的布景相当令人称道，部分台词也有玩味之处，想必是原作游戏给了个好底子，可惜那游戏当年玩了10分钟就删了…不喜欢胡歌过于吊儿郎当的表演。            
(2星)	 第一个给茂茂，第二个给重楼。。。完了。            
(3星)	 本来不想看的，最终还是看了。总之比较喜欢紫萱啦。霍建华太猥琐了。以前蛮喜欢他的，但是现在怎么越来越猥了？            
(4星)	 为嘛都是悲剧..哭死人不偿命啊..啊啊啊啊啊            
(4星)	 我不得不说游戏被改的很2B狗血。剧情给2分，逍遥哥哥给1分，茂茂给1分。什么也比不上仙1（游戏）。            
(3星)	 全部都是白豆腐的...完全是心上之人啊            
(1星)	 剧情好奇怪啊 逻辑超级混乱            
(4星)	 没人动摇月如在我心中的地位。            
(NA)	 茂茂……            
(1星)	 我可不可以说这是一部垃圾？            
(NA)	 我真没觉得好看==            
(2星)	 玩遊戲之前覺得拍的不錯，玩了仙三遊戲覺得電視劇拍得太爛了。            
(5星)	 三世。此生不换            
(3星)	 截至21完  果然徐长卿让人恋爱~~~~~却莫名觉得胡歌鬼灵精怪            
(4星)	 这个还满好了.庆幸没有先玩游戏..不然眼光就会刻薄..            
(3星)	 喜欢雪见和景天的故事。看这样子的电视剧，会觉得自己已经很老很老很老了。            
(5星)	 心疼            
(4星)	 开头很搞笑，到结尾处又开始乱七八糟胡说九道了……            
(4星)	 有蛮多地方做的挺不精细的 不过整体来说演员表我非常满意            
(4星)	 在论文还没写完的情况下，花这么长时间看这么电视剧，罪过啊罪过~~~~            
(4星)	 挺好的            
(5星)	 终于看完了 啊啊啊啊啊啊啊 哈哈            
(4星)	 因为白豆腐的关系很想评力荐，可是片子天生不足就是不足，没有办法的事情。。不想偏执。。            
(1星)	 没有最烂，只有更烂，这个无极限烂            
(2星)	 经典成了偶像剧            
(5星)	 我要克制住再去玩一次的冲动            
(NA)	 怎么就没部剧让我看到最后不快进呢？            
(3星)	 被那个变得莫名其妙的紫萱雷了个半死……长卿遇着她真是倒了八辈子血霉了，难得这片里稍微有点看头的一角色。胡歌不是我的茶，支持蜀山自产内销，常胤加油= =            
(3星)	 其实真的不错 和仙一比起精致很多了 而且很腐  白豆腐同学真的是标准小受 哈哈  but、因为玩过游戏 雷点实在N多。。还有，还我重楼哥。。             
(NA)	 最喜欢的是仙三里的演员 都长得好养眼啊（花痴状）~~额，角色嘛，感觉都差不多，毕竟两天就看完了，印象不很深...最喜欢的应该是重楼，当看到我们本应无敌的重楼被邪剑仙拔了牛角，我还郁闷了N分钟呢...最难受的是看到茂茂换肉...不喜欢剧情，太扯了，完全被拍成了个爱情片...            
(3星)	 得甲流这两天打发无聊看完了。            
(4星)	 杨幂唐嫣很好看的～！我觉得刘诗诗有点像刘亦菲。。。            
(3星)	 你如此销魂为哪般？ （冲着第一部实在不想看到仙剑的星评华丽丽的成为2）            
(3星)	 穿越剧，轮回剧，略去无数无聊造作的情节硬伤，还是可以值得一看的。帅哥美女扎堆非常养眼，胡歌和霍建华的造型都很惊艳，编剧把雪见的性格弄得太可恶了。长卿和紫萱最后分别的那场戏不错，挺感人。            
(3星)	 白豆腐好可爱~~            
(2星)	 看了几集还是看不下去了            
(3星)	 每天连播八集，啥长假也看完了。一边雷一边小精彩。还是有点小意思的，反正我也不是仙剑玩家，没那么多感想。            
(1星)	 我他X的真的有好多想吐槽的地方！今天早上一个手贱在经视台看了大结局……我擦霍建华你别那么忧郁老垮起个眼睛好不！X的树啊杂草啊还是绿的就开始飞雪了！还有还有魔剑为毛那么丑！龙葵根本就是人妻！重楼是牛头人么混蛋！还有啊玉帝那根本就是邢捕头演的吧！！            
(2星)	 其实雷得挺精彩的。            
(4星)	 最近迷古装            
(4星)	 还可以的            
(4星)	 动不动就等上几百年，也不嫌累！为什么没有一个结局是景天和长卿一起的呢，太不顾虑我们的感受了。            
(3星)	   跟剑一好像。但是没剑一好看            
(2星)	 37集的电视也能老太太的裹脚布？？！！            
(4星)	 情深缘浅哪。比仙剑一得感动要深许多。            
(3星)	 美女如云。 后头几集太郁闷            
(3星)	 最后竟然还配股了。。。            
(4星)	 看在茂茂的份上打四星            
(3星)	 小姑娘们都挺好看的哇            
(4星)	 只是源于对游戏的怀念而已，98版的            
(4星)	 主题曲插曲好听啊~~~喜欢电影里的徐长卿！！！紫萱，您能再圣洁点么            
(4星)	 总觉得长卿和紫萱的这三世纠结的爱 表现得有点怪怪的            
(3星)	 等人都是以年为单位的啊，佩服佩服            
(3星)	 太雷了            
(NA)	 没看完  前8极JO看得差不多了            
(4星)	 太多改动了..而且紫宣人物塑造地不好,不过对长卿还是大爱.            
(2星)	 完全不尊重原作啊……            
(3星)	 茂茂～～～            
(2星)	 。。。！！！MD紫萱！！            
(3星)	 越看越没意思~讨厌雪见，太吵人，景天喜欢他，说明景天也不正常~ 也不喜欢紫萱，但是最后看她学会放弃后，我才没有向开始那样讨厌她了~看来看去，还是白豆腐、龙葵、茂茂、重楼还挺好的~            
(3星)	 裏面的雪見太吵了 幾乎每集都會聽到她呱噪的声音 可怜的景天每天都要给她骂 真不敢想象婚后生活是怎么样 为景天祈祷 最雷人的是李逍遥居然出现了 绝对的穿越 赤裸裸的穿越            
(4星)	 电视还是很好看的，除了把紫萱改编的太像风尘女之外，亲爱的茂茂和白豆腐都很有爱            
(1星)	 不能给0星啊！！雷母你就别再损仙剑了！！去死去死！！            
(2星)	 勉强给两颗星，看那些演员演这么多集也挺不容易……至于编剧，直接去死算了            
(4星)	 喜欢萱卿呐~~~~            
(2星)	 仙一好看多了！！            
(5星)	 看完片子和玩游戏的感觉完全不一样~游戏玩下来，感动到稀里哗啦~~电视看下来，狂笑狂雷~~总的来说，就是很让人开心啊            
(4星)	 剧情的BUG太多（紫杉大婶嫩太强大了），不过徐长卿是个惊喜。很难过最后长卿和紫萱的分离            
(4星)	 还可以的电视剧…就是紫萱和游戏的里的人物性格反差过大…o(╯□╰)o            
(1星)	 编剧，你还可以更狗血点！            
(1星)	 一颗星给雷点转化成的笑点们……噗哈哈哈哈……            
(2星)	 ★★☆            
(4星)	 怀着对仙剑的关爱之情，用了一周时间看完了这部37集的连续剧，主角和游戏中的定位如出一辙，让人大跌眼镜的无非是那些离奇的蜀山高科技设备，还有秃头的邪剑仙居然割了重楼的角，还有女娲后人被演绎成了青楼女子……推荐指数4星，记得一定要当搞笑片看。            
(NA)	 无论是仙剑一里的林月如还是仙剑三里的唐雪见都不喜欢,太吵闹的性格,总是在最关键的地方闹出事.可能也简洁反映自己讨厌自己的性格。            
(4星)	 1 37集有30集在狂笑，景天就是个喜剧演员，蜀山通讯术世界第一。2 长卿和紫萱的前两世太冗长，全剧唯一觉得沉闷的地方。3 其实景天和长卿是最友爱的嘛…… 4 重楼、雪见很可爱~ 5 古装+电视剧+游戏 = 不要苛责 6  我又让结局弄得内伤了，堵。            
(1星)	 我的神啊 雷动九天            
(3星)	 臭豆腐，你就推了白豆腐吧~            
(3星)	 情节改得脑残到实在不敢恭维，第三颗星给美女主角们。            
(1星)	 认真你们就都输了哇哈哈哈！！！            
(3星)	 杨幂很好看..... 霍建华演的好            
(3星)	 逻辑混乱             
(4星)	 重楼那句：“凡人，回答本尊”很酷……            
(NA)	 哎。。。            
(5星)	 茂茂很可爱！结局落泪但依然喜爱。            
(3星)	 我觉得没一好看。看是第一部经典！            
(3星)	 起码比1好多了            
(1星)	 烂死了！            
(4星)	 其实只为纪念一下我喜欢的游戏，剧情嘛，也就打打闹闹，图个热闹            
(4星)	 还好。李逍遥都穿越来了。没玩游戏的比较能接受。= =            
(NA)	 感觉还好。            
(1星)	 吐了            
(5星)	 放下吧，你不过凭借着你不老的青春才敢这样放不下..            
(3星)	 哎 才不长的~但是我还是坚持看完了！ 怎一个拖拉了得哦~            
(1星)	 冲着仙三的噱头去的。。。彻底失望。。。本不该对叉叉偶像剧抱希望你的，我错了。。。            
(3星)	 看在腐到让我心痛的份上。。            
(3星)	 茂茂啊茂茂。。            
(3星)	 本剧质量1颗星 外加唐嫣2颗星            
(3星)	 重楼的贝壳MP3是多么的SHOCK。。            
(3星)	 ...            
(2星)	 唐人第一囧片            
(5星)	 万物皆有情，形虽灭，情长在。            
(3星)	 什么烂玩意儿            
(3星)	 仙剑1在我心中才是经典。。。            
(2星)	 我脑子一边进水一边看            
(4星)	 萌紫萱。还有杨幂&amp;刘诗诗couple.            
(NA)	 顾留芳            
(2星)	 改编失败            
(3星)	 为了看徐长卿，我忍了！            
(1星)	 越往后看越撞墙。除了演员的选角一无是处-___,-，去cosplay啊！编剧也罢演技也罢人物塑造也罢都死吧。剧本桑您有没有常识和逻辑啊！把紫萱龙葵景天雪见长卿的人物形象通通毁了……就茂茂可爱。            
(4星)	 感人的存在还是有的。            
(4星)	 4天结束战斗 看得我脑内一直在循环场放映。。。各种BUG各种高科技各种争做悲剧人物            
(1星)	 每一部翻拍都让我失望            
(5星)	 这些人物没有一个是让我完完全全喜欢的……不过还是最爱白豆腐。            
(3星)	 没有办法，不好看也要看，只要是仙剑。。。我的仙剑情缘啊            
(3星)	 看到景天和雪见把玉佩合到一起，然后大喊“请赐予我力量吧” 我刚喝的一口绿豆汤差点全喷了。。。            
(3星)	 太穿越了。。。            
(5星)	 钟情 三世怨侣and重楼            
(3星)	 诶..╮(╯_╰)╭            
(3星)	 完全是冲着长卿道长看的啊……            
(1星)	 烂泥糊不上墙。            
(4星)	 歌好听！            
(3星)	 anyway 比之前的仙一好点...            
(1星)	 丢你老妈，国内电视剧编剧太好混了，如果可以我真想啐那个姓邓的一口，国内的电子游戏设定也很好混，几个人物性格脑残简单的鲜明，然后通过集齐龙珠拯救世界，顺便再之中安排点故事，古今剧典随便抄安排点今生之类的，人物关系复杂一点，就这样。脑残多好混。            
(3星)	 腐女必备啊            
(2星)	 我是硬逼着自己不断快进看完的            
(2星)	 你脑残我都不说了，居然这样对我的重楼，太恶心了。但基于仙剑之名，还是给你两个星。。。            
(3星)	 又一腐资            
(5星)	 紫萱            
(2星)	 卧槽。。让我雷吧            
