http://movie.douban.com/subject/2983434/	我和春天有个约会
(NA)	 记得当时年纪小。            
(4星)	 小学的时候我有四个同学看了这部剧学她们义结金兰．            
(5星)	 若是情未冻，始终相信，我俩与春天，有个约会——I have a date with spring            
(NA)	 我突然找出来了，小的时候我最喜欢露露，现在也是。因为她最爱笑，笑是一种美德。            
(4星)	 重温你的脸，迷恋多一遍            
(4星)	 前年还神经兮兮地从驴子上下好刻了2张盘 整整5G啊 我的初中生涯全在里面了            
(4星)	 小时候看得很陶醉。            
(4星)	 曾經的矯揉造作登臺法也很好。            
(NA)	 小学看的，当年四个要好的女生还分配角色。我被指定为姚小蝶，那时候还不太满意，因为觉得蓝凤萍最美。想重看一遍。            
(5星)	 小时候的回忆            
(3星)	 不来电            
(5星)	 艾玛。爱死了。当年看得我要哭屎了。大学时还复习了一遍 ~            
(5星)	 当年迷江华迷的啊，万绮雯为什么现在都不出现了呢。            
(5星)	 这两天把这40集的电视剧又重温了一遍····好怀念···最喜欢凤萍···主题曲百听不厌···            
(5星)	 相当经典~            
(5星)	 印象里很早很早的港剧，小学4年级？            
(5星)	 尘封大爱            
(5星)	 多年以后，爱，依然沸腾。            
(3星)	 重看 学粤语 当年连江华都是很风情的            
(4星)	 歌都很动人！            
(3星)	 里面的歌都好听~            
(NA)	 14年前。。。            
(5星)	 兒時的經典 長大卻不敢在看。            
(4星)	 好多好听的歌            
(3星)	 久远回忆            
(4星)	 当年超级喜欢过            
(4星)	 最最闪耀的tag应该作ATV/亚视            
(5星)	 我怎么突然想起搜出这部剧来...因为我当时特别爱看...那是我年轻的时候....            
(5星)	 这也是爱的一部。呃，又是四个女人。            
(5星)	 喜欢万琦雯，后来的和僵尸有约会也很喜欢            
(5星)	 那个时候觉得万绮雯好美            
(5星)	 从《你你你为了爱情》开始学唱主题曲生涯。。。            
(4星)	 还记得音乐呢            
(5星)	 唯一一部看过几遍并对情节留有印象的电视剧。非常喜欢，包括里面的歌。            
(5星)	 再度微风中相见，重温你的脸，迷恋多一遍。            
(5星)	 经典实在是经典.. 歌也好听，服装也美.. 虽然我一直不喜欢江华 最后重逢的那幕必杀啊..            
(5星)	 好古老啊。。。            
(5星)	 真的很经典            
(5星)	 满载回忆            
(5星)	 我对他的定位是：歌舞传记片            
(4星)	 开始添加TVB...            
(4星)	 哎哟我的妈！童年的回忆呀~~·            
(5星)	 看过的第一部港剧            
(5星)	 隐隐爱过的            
(5星)	 經典啊經典            
(NA)	 ~            
(5星)	 我的最爱啊！            
(5星)	 这是是亚视的吧，为什么很多都归到TVB里面去……            
(4星)	 烂俗中的经典，小学时候给五星，现在看给三星，综合起来就四星吧            
(5星)	 不知有多少个暑假看了多少遍            
(4星)	 四个同在夜总会卖唱的女仔的爱情友情故事。我和春天有个约会是个记忆中远去的经典。            
(3星)	 老港片里还算不错的            
(NA)	 姚小蝶 蓝凤萍            
(5星)	 永远经典            
(5星)	 The best TV programme of ATV@你你你 为了爱情今宵不冷静 你你你 为了爱情孤单的看星 你你你 为了爱情得不到呼应 情共爱那样去追究 只有通通抛诸脑后 灯光酒色里 不管多心碎 无谓太过计较 恋爱总告吹 开心可相相对 伤心请归去 离合惯了面对不会心碎潇洒来亦去            
(5星)	 小时候的电视剧呢。。。            
(4星)	 青葱岁月            
(3星)	 双鱼女+天蝎男，狮子女，天平女            
(5星)	 非常不错！            
(4星)	 喜欢孱弱的小蝶和傻兮兮的露露            
(5星)	 就是因为它，开始爱上唱歌~~            
(5星)	 多少遍都不厌倦            
(5星)	 ....            
(NA)	 挖哈哈哈~last year with LuoLuo..            
(5星)	 居然印象深刻。            
(5星)	 在这里爱上江华            
(4星)	
(4星)	 重温老剧            
(NA)	 小时候的唱唱跳跳 欢乐的记忆            
(3星)	 还在上学的年龄看到这个剧集，感叹娱乐业的纸醉金迷，互相争斗。爱情，是生活的需要，也成为生活的点缀。喜欢万绮雯的甜美，是个亮点。但时代不允许生活是顺利的，于是，遗憾和悔恨出现了。            
(5星)	 童年印象最深的港剧            
(4星)	 已经不太记得剧情了。那时候很喜欢，里面的主角很漂亮，主题曲也是念念不忘~            
(2星)	 简直太老了            
(4星)	 小时候满喜欢看的。            
(5星)	 我童年记忆            
(NA)	 我还抄过里面的歌词呢            
(5星)	 想当年啊……            
(5星)	 很美好的记忆            
(5星)	 这个超级喜欢            
(NA)	 原来小学时代就受nacy影响            
(4星)	 算得上是亚视的经典剧目。。。            
(NA)	 豆瓣搞类，偶明明看清楚了才添加这个电视剧版的，结果居然又和那部电影版合并鸟~~~搞死俺鸟，重添            
(5星)	 我也忘不了曾经的姐妹们。            
(5星)	 那时候好爱看哦！（哎现在豆瓣电视剧可以有分集剧情啦            
(4星)	 相当不错，太值得一看的老TVB。。。            
(4星)	 当年就是冲着万绮雯去的...            
(5星)	 重温一遍            
(5星)	 老娘小時候看完以後玩扮家家扮演的還是姚曉蝶啊！            
(4星)	 小时候觉得莲西最美了 哎从小就以男人婆为坐标的人……            
(4星)	 四十集，粤语原音，粗糙的画质，我楞是全部看完了。。。            
(5星)	 钟爱雯女啊。            
(5星)	 你你你为了爱情~            
(5星)	 97年，初一。            
(5星)	 你你你为了爱情 今宵不冷静~            
(5星)	 MB超怀念的。。。            
(4星)	 小蝶以前我觉得我姑姐好似样，本港台既鼎盛时期            
(4星)	 重温了一遍，发现情节硬伤；不过还是很喜欢那个时代老上海和老香港的故事。            
(4星)	 经典啊            
(4星)	 九姑娘你还记得当年丽花皇宫的姚小蝶么。            
(4星)	 狂补巨小时候看过的片！            
(3星)	 As time goes by.            
(NA)	 小时候好爱看的~~忘不了忘不了~那时记住的万绮雯~还有那个伪猫王的钻石钻石亮晶晶。。。。orz~            
(5星)	 实在经典,小时候的回忆            
(4星)	 老片子了。虽然很多雷人的地方，但是那个年代的故事总是值得推荐。            
(NA)	 回忆啊回忆            
(NA)	 越来越怀旧            
(NA)	 是亚视的？不是TVB!            
(5星)	 当年            
(5星)	 恨江华 害得雯女这样 除去这点 其他都很美好            
(NA)	 溫習溫習。            
(4星)	 开头曲一响起 就有一种很多年都过去了的感伤            
(4星)	 除了江华 都是我的菜            
(4星)	 当年苦苦追看很久....            
(5星)	 小时候好喜欢啊啊啊啊啊 白浪哥～钻石钻石亮晶晶            
(5星)	 有几个好姐妹是很重要的事            
(5星)	 想再看一遍 / 当年的姚小蝶现在在TVB也混的不错            
(5星)	 友情比爱情更伟大。            
(3星)	 哇。。。。            
(5星)	 当年我是多么爱这部剧            
(5星)	 哎呦，大爱大爱。            
(4星)	 很经典的一部tvb剧             
(5星)	 想到当时和弟弟守着电视天天等这个 好怀念啊            
(5星)	 199x            
(5星)	 最愛的港劇            
(4星)	 童年。            
(5星)	 最喜欢蓝衣服啦，虽然忘了她叫什么            
(5星)	 当年最爱最爱的港剧 看了不知道几遍            
(4星)	 主题曲非常棒             
(5星)	 我真是太有柴了竟然重温一遍春天！记得当时年纪小啊~三年级就看的如痴如醉，为姚小蝶抹眼泪~喜欢金露露的傻模样。沈家豪这种男人就像演他的江华一样，贱得彻底，滚得不留痕迹，戏里戏外都把雯女的心伤透。有些事情不说清楚真的会死人，女人不是天生等人的。主题曲是我学的第一首广东歌呀~            
(5星)	 嗲得要死            
(4星)	 那个时候，很迷吧~~            
(5星)	 经典。。。            
(5星)	 孩子时候一集不拉地看过            
(NA)	 爱看            
(5星)	 心中永远的最爱            
(5星)	 經典...            
(4星)	 啊，小时候的经典            
(5星)	 jingdian            
(4星)	 有些许虎头蛇尾之感            
(5星)	 经典啊~~            
(5星)	 经典！            
(4星)	 记忆太深刻的电视剧            
(5星)	 很感动            
(3星)	 我已经爱的不得了。            
(4星)	 童年的回忆呀·            
(5星)	 丽花皇宫。小学。这部剧对人物的塑造真是深入人心。            
(5星)	 完整的重看了一遍 好多細節都忘了 原來最後是個悲劇            
(5星)	 曾经的经典。            
(4星)	 多少年了还记得里面的音乐。            
(5星)	 没人不爱姚小蝶            
(4星)	 还记得是在夏天看的~ 后来还去买了磁带            
(5星)	 经典中的经典            
(4星)	 经典！！！！！            
(5星)	 油油地萨克斯风            
(5星)	 那时候每年暑假都要看一遍哭一遍            
(5星)	 经典不必多说            
(4星)	 三年级。            
(5星)	 中午吃饭的时候追的电视剧            
(3星)	 小学时 哈哈            
(5星)	 小时候最喜欢的电视剧之一。            
(5星)	 我小时候妈爱看            
(5星)	 从小的经典            
(NA)	 我添加的第700部居然是这个。她们看到我都会背词了。。。。            
(5星)	 直到现在我还念念不忘沈嘉豪帅气的脸跟小蝶在晨雾里嬉闹            
(NA)	 是的  我永远都不会忘记            
(5星)	 小学最喜欢看的港台剧            
(4星)	 曾经每个少女都会幻想春天里的约会            
(5星)	 蓝凤萍啊...&gt; &lt;            
(NA)	 重新再看一遍            
(5星)	 看的时候还不知道什么是越战            
(NA)	 小时候            
(5星)	 那个年代TVB很出彩的一部剧。至今深深迷恋。“你你你为了爱情，今宵不冷静”还有“夜阑人静处，当天际，星与月渐渐流动，感触犹如潮水般汹涌”……还有那傻逼白亮的“钻石钻石亮晶晶，好像天空一颗星”。都是经典啊！姚小蝶，不是最美的，但是找到了最帅的嘉豪。可惜，20年后，嘉豪回来，早已物是人非。            
(5星)	 弹指一挥，红颜刹那。            
(NA)	 哈哈..某个童年的夏天很迷这个剧..可结局我都忘了...            
(5星)	 时至今日,我还能唱所有里面的歌            
(5星)	 挚爱            
(5星)	 i will never change partner            
(4星)	 喜欢            
(4星)	 小时候很迷的            
(4星)	 小时候的回忆             
(5星)	 很小很小的时候看的            
(5星)	 跟着我老娘一起看的            
(5星)	 看过黑多次现在又不晓得是第几次看            
(3星)	 你你你为了爱情，今宵不冷静。            
(4星)	 现在想想 亚视拍女人戏蛮拿手啊            
(5星)	 又一经典 以前每个暑假必看不可的！            
(5星)	 我会一直记得            
(3星)	 太深刻的回忆。            
(4星)	 ～满是回忆            
(5星)	 豪哥啊= =            
(NA)	 As Time Goes By            
(5星)	 时光不在．            
(5星)	 经典了。            
(5星)	 有够怀念的！！            
(4星)	 哈哈，初中暑假每年必看重播            
(4星)	 歌。            
(5星)	 简直是一段岁月风云。还有江华饰演的家豪，风度翩翩，沉默寡言。            
(5星)	 一转眼又十年，曾说过明天春天，重逢就在眼前......好的电视剧真不多。            
(5星)	 很经典很老的一部港剧，非常喜欢，至今也是超喜欢            
(5星)	 不可复制的经典。我们的青春啊            
(NA)	 这个是最让我难忘的~让我想到很多很多事情~伴随TVB长大的一代`偶尔也看亚视            
(5星)	 磚石，磚石亮晶晶~~            
(5星)	 那年，帅到无敌的江华。            
(5星)	 其实里面偶最爱的是万绮雯            
(5星)	 多么热爱这部剧。            
(4星)	 = =我记得我当时很爱看，小时候嘛，总爱幻想是吧。            
(5星)	 小姑娘小时候一定要看的哦            
(5星)	 四朵金花，四种命运！！！            
(4星)	 童年的回憶            
(5星)	 准备重温我和春天有个约会，刚打开看了五秒钟片头曲，鼻头就酸了。妈妈说人老了才容易怀念。。。            
(5星)	 当年真爱看呢            
(5星)	 小学时的连续剧，再看，怀旧了            
(4星)	 原来当年的那种感觉叫纠结.            
(5星)	 称得上最好了            
(4星)	 虽然长了点~~            
(4星)	 尽管现在看来有些简陋，仍然很喜欢里面的每个人物。            
(NA)	 当年火锅店都爱架个电视放这个            
(4星)	 小学的时候跟姐姐一起看的            
(5星)	 太经典了，小学的最爱啊~~~            
(4星)	 四大颠王.风华绝代            
(5星)	 喜欢商天娥的开始            
(4星)	 当时很红的呀            
(4星)	 歌曲不错！            
(4星)	 记忆不回来            
(4星)	 我喜欢邓萃雯，也喜欢商天娥。但是作为电视剧，这个电视剧节奏真的太慢了。我对男女谈感情的电视剧没有特别喜欢            
(NA)	 小时候广东电视台周一至周五播的            
(5星)	 江华啊啊啊            
(5星)	 小时候看感觉不出什么，只是觉得家豪很帅，但现在真是深深的感动了我。            
(3星)	 小学女同学们的最爱，现在想来她们比我早开窍好多年侧呢            
(3星)	 复习了一遍            
(4星)	 真心傻人有傻福            
(NA)	 一直不知道最后的结局，终于看到了，眼泪都粗来了~~            
(5星)	 知道是邓萃雯演的之后真的是努力想从小蝶中找到她的影子，但是气场什么的和现在已是截然不同了            
(5星)	 梅兰梅兰我爱你            
(5星)	 TVB唯一一部让我特别爱看的片子            
(5星)	 今天下午还在看来着            
(5星)	 小的时候好喜欢看啊            
(5星)	 十年眨眼，好多回忆遗憾，当年最喜欢是莲茜，还记得高中的时候和同桌一人一耳机放着夜阑人静处想起了一首悠悠的saxophone。而终是人在少年，梦中不觉，醒后要归去。            
(5星)	 四十集太短，十四年太长。看到这些人的时候，眼睛还没有模糊，脸上就湿了。他说三年很短只是三个冬天而已，她打开他塞给她的那张纸，那首歌的名字是《我和春天有个约会》。            
(5星)	 回忆满满。小时候每天都 丽花皇宫 丽花皇宫的~            
(NA)	 小时候跟着姑姑看的            
(4星)	 小学时常在中午和一众女生去学校旁边的曹姗姗家看这剧，边看边议论边模仿。现在和那些小学同学基本都没联系了。只还会唱“梅兰梅兰我爱你”……             
(5星)	 陈十三            
(4星)	 已经记不清剧情了            
(5星)	 怀旧剧 真心喜欢万绮雯            
(5星)	 当年每逢暑假就一直重播~看得好过瘾。算命先生最讨厌了 =&#34;= 除了金璐璐，其他三人的命都好苦。得不到爱情，客死他乡，疾病缠身神马的……和莲茜相恋的阿John好像《好想好想谈恋爱》里的邹一凡 囧囧 现实中，邓萃雯和江华的爱情也令人惋惜呀。主题曲最爱小蝶的《我和春天有个约会》和凤萍的《忘不了》TT            
(4星)	 当年的邓萃雯啊，青葱水灵            
(5星)	 经典~~经典啊~~            
(5星)	 时代的经典了  那时候为了那个悲惨的结局不知道难过了多久            
(5星)	 总是记得，小学时候看过的这剧，那时候还不懂爱情。            
(5星)	 经典            
(3星)	 南京台            
(5星)	 还想再看            
(5星)	 小时候暑假必看剧目             
(4星)	 为什么现在看来如此老套的情节如此小成本的制作还是很动人呢。            
(5星)	 经典。            
(5星)	 小时候每天晚上看完，第二天上午要再看一遍；小时候很爱片尾曲，现在发现片头曲才是至经典。            
(4星)	 这片子只有一个形容词“经典”……白千石除了在这里其他的都是酱油仔……            
(5星)	 记得很喜欢江华来着~当时的确很帅啊~            
(NA)	 小时候喜欢看 有机会再看一下。。。。。。。。。。。。。。。。。。            
(4星)	 小时候很喜欢            
(5星)	 小时候看的---第一部TVB？！！            
(5星)	 乱世有佳人。            
(5星)	 你妈。导演竟然是高志森啊！            
(5星)	 人生得一知己而无憾！！！            
(5星)	 春天仍在，只是离之远近，强求不得。只有深沉，不多言说，一生等一个约会罢。             
(NA)	 近日又重温了一遍。            
(3星)	 沈家豪这渣男耽误了小蝶20年，一个女人有几个20年。            
(4星)	 再看一遍我还是会哭。            
(5星)	 小时候看得我哭得惨死了            
(5星)	 好看得一塌糊涂            
(5星)	 都是回忆啊            
(5星)	 经典啊 回忆啊            
(5星)	 小学时代看过的港剧里，这部最经典。那时雯女还在aTV，娥姐还多苗条啊。岁月是把……唉……            
(NA)	 经典            
(NA)	 夜阑人静处 响起了一段悠悠的桑克斯风            
(5星)	 听了江华说话真是大大大幻灭。            
(4星)	 电视剧从家豪走了后就多了一堆没看头的人物，什么玉洁，倩儿，john，小蝶和家豪在一起两三年等了二十年结果在他身边二十年的是一个出现还不到十分钟的阮玲，就连观众也受不了没责任感的家豪，活该没在一起各找各家去吧            
(4星)	 重温经典，夜阑人静处~            
(5星)	 小时候看的很则进，经典            
(5星)	 童年最爱            
(4星)	 话说。。小时候觉得好看的不得了。。。            
(5星)	 小时候看的呢 大爱啊~~            
(5星)	 剧情已经忘尽，但不妨碍它成为亚视经典            
(5星)	 当年最纠结的就是凤萍与DONNY这对啊            
(5星)	 看到最后，不知道他们到底在一起没            
(4星)	 虽然只是回家断断续续看了一些，但是很喜欢，希望有天可以从头看到尾下            
(NA)	 小时候喜欢万绮雯            
(NA)	 。            
(5星)	 重温~~~            
(5星)	 看着旧物就伤感            
(NA)	 当年的邓萃雯            
(4星)	 小学时看过好几遍。            
(5星)	 我记得有阵子东方电视台中午在放。。结果大结局的那天我卷子做太慢回家就没看上。。。。            
(5星)	 小学的最爱            
(NA)	 当年最喜欢的是小蝶,还有那首萨克斯曲~            
(5星)	 真的好喜欢的呀！            
(5星)	 老土但决对经典            
(5星)	 我被青春撞了一下腰            
(4星)	 戏里戏外都是遗憾。            
(5星)	 这些歌曲就是挥之不去。。。            
(5星)	 關於香港最早的記憶            
(5星)	 不死港剧，总想翻出来看看            
(5星)	 梅兰梅兰我爱你，唱得我整个心神荡漾。            
(5星)	 爱死了。            
(5星)	 这一阙幽幽的saxophone            
(4星)	 十多年前的记忆了            
(5星)	 属于儿时的回忆            
(5星)	 小时候的梦，喜欢凤萍和露露，不喜欢主流的根基打小就有了啊。            
(5星)	 喜欢清纯的小蝶！！！            
(4星)	 好怀念。            
(5星)	 好吧 时间回到了小学拿着磁带歌词的年代 回家的路上..            
(5星)	 看过无数遍！            
(5星)	 你你你为了爱情。。            
(3星)	 很长很难的一道选择题，我们究竟该选怎样的人去爱？其实或许没有答案，因为爱情本身就是无解            
(4星)	 小时候很喜欢那个白裙子~            
(5星)	 诗情画意的            
(5星)	 好华丽的记忆            
(NA)	 老娘居然还记得里面的歌！！！！！！            
(5星)	 无敌经典            
(4星)	 童年时候的白小蝶            
(5星)	 多少年前的回忆了，百看不厌            
(4星)	 美好回忆。当时最在意万绮雯的角色。            
(4星)	 小时候过家家总要抢着演白小蝶……            
(NA)	 小时候看滴            
(5星)	 又是想当年看的。            
(5星)	 依稀記得當時很喜歡看..但是劇情什麽的真的完全忘了...            
(4星)	 很早很早以前看的了            
(5星)	 经典中的经典~~错过的都会后悔.....            
(5星)	 那时候的邓萃雯好嫩            
(5星)	 童年的记忆 空了再看一次            
(5星)	 当年很迷的~            
(4星)	 多好看啊            
(5星)	 邓萃雯吖。。。            
(5星)	 去年暑假好好看了一遍。非常喜欢            
(4星)	 永恒的经典！            
(5星)	 童年记忆~~~            
(5星)	 永远的经典            
(5星)	 我还得再看一遍！！！！            
(5星)	 很多故事在丽花皇宫开场，也在这里谢幕，每个人都有自己的故事。最讨喜的自然是露露和大鸡~其他人各有优点和缺点，不过都是对着看戏的人而言..宿命论..哎~有些事想不通才最有趣。。讲真，沈家豪对我而言迷人是因为靓仔又会吹saxophone..第一次发觉吹萨克斯可以这么帅，但到底不是真的            
(4星)	 小学二年级？            
(4星)	 美琪大戏院 话剧版 =。=            
(5星)	 因为放的太晚，小时候总没有看全过，成了一直想看而又没看成的牵挂，如今网络发达，却没了再看的勇气，听一曲主题曲已暗自神伤不已，若真重温一遍还如何了得？            
(5星)	 我的童年啊！！当年的邓萃雯~            
(4星)	 最喜欢夏  另外，万绮雯很漂亮            
(5星)	 童年的记忆与感动~~那是1995年，亚视把那个很有名的话剧改编成了电视剧~~~            
(4星)	 印象很深...            
(5星)	 最近又在重温，小时候一直在追的电视剧，看这种倒叙式的电视，开头总很感伤。            
(5星)	 经典阿经典            
(4星)	 小时候很爱看的            
(5星)	 Ooo            
(3星)	 原来我已长大。            
(5星)	 当时的发箍……            
(4星)	 想起全民观影的大学时光 还有排球场上的加油声 还有钻石钻石亮晶晶。。。。。            
(5星)	 逢播必看            
(4星)	 永久的纪念~我们美好的KTV时间~            
(5星)	 那个长的像江华的你            
(5星)	 一个在战争中死掉，一个得癌症死掉，一个远走他乡，只有有点糊涂的没心没肺的，最后得到幸福。。。            
(5星)	 梅兰梅兰我爱你            
(5星)	 那年的小蝶，凤萍，莲茜，露露。。。始终无法让人忘记            
(NA)	 哇，这个很早了呀。初中时代，剑英嘴里听来的故事            
(4星)	 永远也忘不了的电影编导考试题目            
(5星)	 又重新回顾了一遍，最经典的版本，最美的歌声~想问华哥当年的决定曾不曾后悔过~            
(5星)	 当之无愧的童年美好记忆            
(5星)	 还记得姐姐最喜欢凤萍，我还答应过姐姐长大以后送她一对小蝶送凤萍的耳环。            
(5星)	 突然想起这部电视剧～从那时开始喜欢邓萃雯...另外还有很赞的OST。。。            
(NA)	 我看它已是十年前            
(4星)	 这个俺小时候貌似看过的。。额。。。            
(5星)	 經典。            
(5星)	 同            
(5星)	 回味一下            
(5星)	 ……= =这个真的太萌了~~            
(5星)	 剧情完全忘了~我要重温~！            
(5星)	 熟悉的场景，想起我们的青春年华            
(5星)	 夜阑人静处 一切是否会想起            
(4星)	 = = 这个真的是超好看的 小时候看 一直不记得名字 今天才知道。            
(5星)	 好经典的电视剧，看N遍都不会厌的            
(5星)	 看话剧的时候想到            
(4星)	 剧情不记得咯，不过记得热衷的程度。            
(4星)	 小蝶。            
(5星)	 那时候我幼稚园 在最早的小屋里看的 最深刻的电视剧。            
(NA)	 ——那是好久以前的事啦            
(5星)	 女生成长记            
(4星)	 那时候看得很则津            
(5星)	 儿时回忆            
(4星)	 我也是念念不忘            
(4星)	 居然是邓萃雯演的...            
(5星)	 最喜欢的港剧...小时候天天等着看...            
(5星)	 对 没错 小时候看得很陶醉 我最喜欢的电视剧《我和春天有个约会》 而且我喜欢主题歌喜欢的不得了！            
(4星)	 与小学时一样 依然觉得蓝凤萍最美丽            
(4星)	 丽花皇宫。            
(5星)	 记忆            
(5星)	 不是TVB的！！！！！            
(5星)	 我喜欢的老三是假发又死得早            
(4星)	 小时候好爱看的，那些在作业和电视间作斗争的日子。。。            
(NA)	 这个太。。。            
(5星)	 里面的歌也好听            
(5星)	 学生时代的美好回忆            
(5星)	 最喜欢兰凤萍            
(4星)	 N年N年了。。。现在还记得一些情景。。。我和春天有个约会。            
(5星)	 怀旧            
(4星)	 从小看了5遍以上            
(4星)	 邓大姐的花样年华            
(4星)	 哦～春天是我的品质～            
(NA)	 每年暑假看了无数遍了...            
(5星)	 经典、收藏~            
(5星)	 小学小学！！！！！！            
(NA)	 小蝶×沈家豪 梅兰梅兰我爱你            
(5星)	 儿时记忆里最爱的一部剧。视若心头珍宝...            
(5星)	 多少年后再看也都觉得曲曲动人。            
(5星)	 这绝对是经典。            
(4星)	 少有的atv佳片            
(5星)	 那时候真是迷得不得了，觉得江华有味道死了。有一句台词每每听到就会流泪：“人生有一个知心朋友已经是幸福，何况我有三个。”（大概是这样）            
(4星)	 经典 那时很爱看            
(NA)	 歌好听            
(5星)	 小时候的最爱 沈家豪个混蛋            
(NA)	 还记得这是小学时最喜欢看的了，哎，时光~~            
(5星)	 童年？            
(5星)	 忘不了忘不了……            
(NA)	 这个大概是我看得第一部TVB的戏吧，好怀念            
(NA)	 怎么不叫白小蝶来            
(5星)	 怀念            
(5星)	 小时候的最爱            
(5星)	 经典            
(4星)	 小时候很喜欢看的            
(NA)	 好小的时候和我姐一起看的            
(4星)	 那阵子觉得她们真的蛮pp的            
(NA)	 记得那首歌和萨克斯风            
(5星)	 第一遍是HC江华 .随着长大,才看到那些女人的命运, 以及不知道是必然还是偶然的无奈.            
(5星)	 经典            
(4星)	 我还是不记得结局            
(5星)	 经典啊小时候看的            
(NA)	 经典~            
(5星)	 灯红柳绿啊，丽花皇宫啊~            
(4星)	 小时候的记忆。。。            
(5星)	 六年级暑假去上海姨奶奶家看的            
(4星)	 回忆啊回忆            
(4星)	 若干年前的迹象。。。            
(5星)	 毫无疑问的超五星经典！！！            
(4星)	 江华那个贱人。。。。话说当时我喜欢蓝凤萍。            
(5星)	 小学            
(5星)	 我会唱这个片头曲哦 还会插曲 还记得剧情 我最喜欢小蝶了 奇怪了 怎么那时的主角都叫小蝶            
(5星)	 亚视经典。             
(5星)	 童年的美好回忆。当年看最后一集在期末考的前一天晚上播，老妈居然没有阻止我看。            
(5星)	 为数不多的 最喜欢的电视剧            
