http://movie.douban.com/subject/2342578/	900重案追凶
(4星)	 最后那个案子的老太给我的童年抹上了阴影 现在看到她还有点怕 不过此剧很经典            
(5星)	 很多人忽视的好片~~~            
(4星)	 小时候让我理解为恐怖片是很容易的。            
(4星)	 个人觉得甩刑事侦缉几条马路            
(NA)	 经典中的经典            
(4星)	 小时候看到某几集真是pia死了            
(4星)	 最近在重温。没想到多年前拍的侦破片不比现在TVB新片逊色。            
(3星)	 推理类的港剧...蛮好看的...            
(5星)	 90分。            
(3星)	 就记得温兆伦演的，其他忘差不多了            
(4星)	 童年的回忆是无敌的...            
(5星)	 印象最深的刑侦剧            
(3星)	 以前觉得特别经典~曾留下童年小小阴影的片~            
(3星)	 年輕的宣萱和溫兆倫            
(4星)	 太经典了            
(NA)	 差不多N年后才知道结局            
(3星)	 900重案追凶            
(3星)	 案子还行，感情戏设置太失败了——真是浪费了这么难得的好阵容。            
(3星)	 凶案剧的佳作            
(5星)	 眼镜先生这时候好瘦啊            
(4星)	 虽然简短，但感情和推理都很经典的作品！            
(3星)	 小时候心理阴影之一———最后集凶手从楼梯上走下来的狰狞表情。。。            
(4星)	 哎，终于看完了，16年前的探案剧，和现在的比，虽然科技技术不是很发达，剧情漏洞比较大，但是总体还是很经典，每个案子的嫌疑人比较多，往往要兜好几个弯。傲娇戴安娜居然没有和承开欢喜冤家终成眷属真是太遗憾了啊。。。            
(5星)	 小时候夏天晚上电视剧频道放的，那时候怕的要死。。。            
(4星)	 厄 还是忘了凶手是谁 囧            
(5星)	 粉嫩粉嫩的温兆伦和吴启华~还有比起近年TVB刑侦剧强大不知多少的剧情~五星！            
(4星)	 两大帅哥，吴启华 温兆伦，虽然发型老了点            
(5星)	 案子很恐怖！            
(5星)	 吴启华那时的发型很可笑~~            
(4星)	 温兆伦~            
(3星)	 朱承开为什么不和戴安娜在一起！            
(3星)	 这个也够经典的            
(4星)	 没有配乐啊，有另一番诡异安静的气氛- -            
(NA)	 原谅我真的看不下去            
(NA)	 标注这部是想说原来我这不算港剧迷的人也看过如此多的港剧，原来我的少年时代也有大部分时间是看港剧度过的耶！真的！            
(3星)	 无聊啊！剧情拖死人！            
(4星)	 太好看了，里头的很多情节都让我毛骨悚然            
(NA)	 看到最后一个案件原来真的看过。我是失忆患者            
(5星)	 小时候看得心惊胆颤 配角各个出彩            
(4星)	 好几个案子都不错，而且还有阿伦            
(5星)	 好怀念！            
(5星)	 每个案子都经典爆了~            
(5星)	 超喜欢这部的，很喜欢这类有点恐怖的剧，永远的经典呀，喜欢短发的宣萱。            
(5星)	 尼玛小时候看的我吓死了            
(5星)	 小时候看得入迷呢~            
(3星)	 案子经典。            
(5星)	 看了片头总算知道了一直在我脑海里的洗衣房强奸案是这部片子啊！！小时候的佳作！！！！！            
(4星)	 此剧据说是几大反角常客集体出演正角，可以算是破案剧里的经典~记得有几个案子当时看还觉得蛮恐怖的...            
(5星)	 小时候记得看过的            
(5星)	 哈哈 经典            
(5星)	 小时候深更半夜的恐怖回忆            
(4星)	 当时觉得超级好看 氛围音乐演员表情都很到位             
(5星)	 小时候的青葱岁月啊            
(5星)	 经典啊！！宣萱的角色真讨厌            
(5星)	 当年印象很深            
(5星)	 小时候看的。很早以前。但是几个案子我都记得很清楚。印象很深。而且这部片子又给我立下了错误的观念，就是男女朋友可以同时交几个的，很正常。后来才发现。。。。原来是不道德的- -！            
(5星)	 三星改五星，老片威武~~推荐            
(4星)	 总体还是不错的  大陆引进的时候剪掉了第一个案子 只因为涉及到了师生恋吗            
(5星)	 童年对于港警匪片的美好印象~            
(4星)	 终于重温一遍，却似从没看过一样。温sir的发型挺傻的，哈哈。            
(5星)	 尼玛心里阴影剧啊！！！！！！至今还会害怕            
(5星)	 很喜欢那个年代的片子 温sir真是帅，不过结局真是……            
(5星)	 超经典啊，当年看的睡不着觉            
(4星)	 还是90年代的港剧好看啊，现在的编剧智商越来越低了。            
(4星)	 看得第一部tvb破案电视剧            
(5星)	 回忆啊回忆！！！            
(5星)	 唯一害怕到怕鬼睡不着的剧，记得一家三口夏天铺席睡地板上，睡靠窗怕从窗户进来，睡靠门怕从门进来，睡爸妈中间怕从地板钻出来，也记得每个案件开始都有标题，自己还用笔认真记下来~            
(5星)	 还是老剧经典啊            
(4星)	 很小的时候看的，现在突然觉得，难道这不是gay片么？            
(4星)	 最后一个案子难看 其他尚可            
(3星)	 太歇斯底里了。。。            
(3星)	 现在的眼光来看这么久远的片子  是会发现很多BUG的  案件侦破过程太过简单 闲杂人等一个个都可以自由参与到警方调查中 感情戏也很可笑 不过几个案子还真的没有一个能直接猜出凶手的  这一点比现在的强             
(4星)	 TVB最难猜的电视剧 中间有一幕枪战拍摄得相当前卫 可惜没前没后 结局较为突然而普通            
(3星)	 冲着宣萱去的，结果被破碎的感情线给雷到了。本来听别人说案子口味很重，结果是嫌疑犯很多，但前面的猜测都有点白痴……好像语气重了点，但是的确不够经典。            
(4星)	 这个结局也太仓促了点……下一步开始看法证先锋！            
(5星)	 记得当时看的时候可惜宣萱没和温兆伦在一起，难得好看的tvb侦探剧            
(5星)	 第一次看的TVB侦探剧，现在看来还是挺好看的            
(5星)	 很好看的片子！！！比刑警2010强一点！！            
(4星)	 小时候看过的剧，对最后一集印象深刻，不过一直有个错误的印象，以为是古天乐主演的。案情虽然不如《刑事侦缉档案》系列和《鉴证实录》精彩，不过也算一部经典之作了。又有点找回那时候迷恋温SIR的FEEL了，想重看《天降奇缘》。            
(5星)	 第一部看的TVB破案题材的片子，反复看了7，8遍了            
(5星)	 童年的回忆啊！            
(3星)	 原来小时候梦魇般的真相大白是来自于这部剧……            
(3星)	 默默的我又看过了            
(4星)	 当年觉得是恐怖片……            
(NA)	 喜欢            
(3星)	 当时很爱看的~~~            
(NA)	 这部大概是小时候看的。。            
(5星)	 就这么完了。T-T，意犹未尽，又发现一名风韵犹存的大叔啊。            
(5星)	 刚刚重看了一遍！温sir很帅哦··不知为什么不出续集            
(NA)	 宣萱在里面很讨厌！！            
(5星)	 承开，一正            
(4星)	 绝对是温兆伦的忠实FANS            
(5星)	 全明星            
(4星)	 好经典的案子！            
(5星)	 经典中的经典            
(NA)	 上学时候，电视演过。我看过。今年又看了一遍。案子很好。虽然人物造型衣服很土了。不过情节可以看出编剧很用心。比现在tvb破案情节上的粗制滥造好百倍！            
(4星)	 小时候看时觉得这个口味还是蛮重的,比较惊悚,就相当于现在看CM的感觉吧            
(4星)	 就是觉得吴启华好帅气            
(5星)	 早期大爱            
(5星)	 就是爱宣萱            
(5星)	 三人组的情侣还真有意思            
(5星)	 TVB刑侦电视剧的奠基者            
(5星)	 一听片头曲，我发现我看过……可是记不住了……            
(4星)	 不戴眼镜的吴启华也是相当帅气的。年轻时候的宣萱饰演纯情少女还是蛮像的哦。至于温sir嘛，没《流金岁月》上面搞笑，不过还好了。            
(5星)	 印象里看得第一部TVB的破案剧，奠定了今后爱看港剧的基础。小时候确实有被吓到，经典            
(5星)	 很喜欢以前的香港的破案的片子的牙 案件经典 吓死人啦            
(5星)	 深深的记得一个场景。在电冰箱里发现一个人头！吓死我。十年左右到现在都记得            
(5星)	 我只能说太好看了。。绝对好看呀。。。            
(2星)	 覺得不好看ㄋㄟ            
(5星)	 里面的案件比现在的好看多了！！            
(4星)	 确实经典            
(5星)	 记得里面的案子都很吓人            
(5星)	 当年看得冷飕飕，绝对好。            
(4星)	 吴先生 我爱你的医生 厨师 律师 实业家。。。但我真对你的警察爱不起来- -            
(5星)	 童年的阴影啊            
(5星)	 当年大家都年轻貌美            
(4星)	 童年噩梦=  =            
(5星)	 太经典了，有些案子我现在都还记得            
(5星)	 儿时的记忆            
(4星)	 这个片子其实超级好看的，还有点点恐怖。            
(5星)	 年轻的温兆伦，真是让人心动。。唉            
(4星)	 小时候看的,那时还觉得有点怕            
(5星)	 太经典的破案片了。            
(5星)	 有几个案子 至今我还记得！~ 很经典 很好看的~            
(3星)	 好老了，发现陈展鹏那时候就在里面打酱油了，天哪，现在才熬到做主角，TVB的演员们不容易啊！            
(5星)	 破案经典！            
(4星)	 随时可以再看一遍的经典            
(5星)	 这部剧,在我的童年中给我的影响太深了...记得里面有个穿黄色紧身衣的小眼睛姑娘被x了,一群阿姨在打牌的时候发生惨剧,夫妻暧昧昏暗的房间,不会说话的孩子看到装尸体的袋子上面画的三角形,还有,那个缓缓下楼的老太婆.....我记性好吧- -            
(NA)	 最后小花的那个案子让我对红白蓝塑胶袋好恐惧。。。            
(5星)	 怀念那个tvb最好的年代            
(5星)	 很小的时候看的片子。。。            
(NA)	 那时候的oo真嫩啊            
(5星)	 经典            
(4星)	 案子足够经典，是很好的模板。            
(5星)	 经典何其多！我是小孩子的时候被深深震撼了！            
(4星)	 回头看，一切仿佛都恍若梦中，喜欢那个时候的宣萱，喜欢还在青涩中的温兆伦，喜欢……            
(4星)	 我好喜欢这个剧里的宣萱的说~            
(5星)	 当年可喜欢了            
(5星)	 记忆中最早看到的和妈妈一起追的电视剧……难道因为这个才喜欢吴启华？            
(5星)	 是这个么，小时候超迷的            
(4星)	 一直记得的是欧巴桑直觉            
(5星)	 经典经典经典！！！            
(4星)	 案件还是很好看的            
(4星)	 印象深刻！            
(4星)	 现在回味果然没有记忆中那么好，不过当初看还是觉得很赞啊~~            
(3星)	 反正挺惊悚悬疑的            
(5星)	 好看~！            
(4星)	 当年看了不敢上厕所！            
(4星)	 温SIR的演技真的很不错，吴启华还是戴眼镜像好人多点            
(5星)	 难猜的凶手，可爱的承开，好听的《随时随地》。            
(5星)	 我喜欢            
(4星)	 又是一部为了宣萱的            
(3星)	 好像已经不记得了。。。            
(4星)	 年轻就是本钱呀～            
(5星)	 我觉得非常好看的侦探剧！            
(4星)	 当时看的时候真的蛮可怕的！！！            
(4星)	 结局纠结啊            
(4星)	 案子有点吓人            
(5星)	 早期不错的一部推理作品 情节很紧凑 每个案件各种犯案可能性 都一一罗列出来 很不错             
(NA)	 一直都被一个案子困恼            
(3星)	 那是的吴启华真不是一般的傻，完全没有妙手里的帅气            
(NA)	 推理探案            
(5星)	 不容易啊，为了看这片，我连小电视都被没收了~            
