http://movie.douban.com/subject/3901418/	倚天屠龙记
(4星)	 个人觉得是到目前为止最好的版本 同时也是美女大秀场。            
(4星)	 美女很多，服装很不错。            
(NA)	 该男性后宫小说和后宫狗血剧，我每每都会呕吐之，却忍不住真的看了下去……因为，这里有弱脚男误入迷雾峡谷误食仙药灵芝还误练某种绝世武功然后带着弱脚男的外壳却隐藏着盖世大侠的招数重出江湖杀出一条血路引得无数原来BS他的牛气哄哄男和傲慢冰山女全数拜倒在他的石榴裤下的这般酣畅淋漓的情节啊……            
(1星)	 这么差的电视剧我都会坚持看完……            
(4星)	 这一版其实还不错的。尤其喜欢殷素素~(*￣▽￣)y             
(2星)	 尼玛我是要看多少电视剧。。。。            
(NA)	 就是喜欢贾静雯！！！！            
(4星)	 初中看的 認識了高圓圓 覺得她好漂亮 蘇有朋的鼻孔和爾康的有得一比            
(NA)	 ,....            
(3星)	 贾静雯比高圆圆漂亮多了            
(5星)	 童年的经典            
(3星)	 贾静雯！！！！！！！！！！！            
(4星)	 苏有朋 那个奶的厉害 真愁人 高圆圆大美人 4星全给你            
(4星)	 最喜欢的版本。            
(3星)	 你妹的苏有朋真的好帅啊！            
(NA)	 这是我最喜欢的一部倚天屠龙记！            
(4星)	 谨以此片几年大学时的非典时期……            
(4星)	 翻拍难得拍的这么给力，贾静雯版的赵敏才可爱的多呢            
(4星)	 看了新版愈加发觉旧版的好。。            
(4星)	 喜欢这一版。            
(4星)	 以前, 总觉得武侠就是成人童话, 直到我明白了, 其实社会就是江湖, 我们的一切都是武功和内力.            
(3星)	 当年最爱贾静雯            
(3星)	 曾经一度以为这版已经够烂的了，但是相比邓超的版本........这版居然能给到三颗星            
(3星)	 女角色基本漂亮。最讨厌张铁林            
(3星)	 美女啊美女。。            
(3星)	 那时候我很喜欢高圆圆觉得她很漂亮，而贾静雯版的赵敏是老沛同学的最爱。现在我无比讨厌高圆圆，至于老沛，我看他根本已经忘了贾静雯是谁了吧！            
(NA)	 印象中看过一部分            
(1星)	 为了赵敏打打打！            
(3星)	 特爱看大结局的最后一集，哈~            
(3星)	 苏有朋太矮了哈            
(4星)	 养眼啊。。            
(3星)	 当时J同学很喜欢高圆圆            
(3星)	 贾静雯和高圆圆都不可爱，就要了命了……            
(5星)	 美女很多～            
(2星)	 美女如云，猥琐男众多……            
(4星)	 好卡通好卡通~~            
(3星)	 曾有一个暑假7、8个电视台同时播，被迫看了3遍以上。张无忌是个欠抽的主。            
(NA)	 美女            
(4星)	 感觉还不错。            
(4星)	 美女好多啊~            
(4星)	 虽然张无忌是比较没个性主见的一个，但我为什么看这篇看的最欢乐            
(5星)	 都是华丽丽的美女。。在我高中时候看来是很好看了。。。            
(4星)	 女主角很漂亮啊~            
(5星)	 自己发掘出来的。为什么喜欢？因为和小说里的场景符合的很多，那种激动人心表现的很好，演员还看到顺眼，第一次认识贾静雯和高圆圆他们            
(1星)	 为什么这部剧，每年暑假江苏卫视都要放....            
(4星)	 一扫童年的阴影            
(2星)	 不喜欢 因为真的不喜欢贾静雯 还是港版的经典啊            
(2星)	 不喜欢这个版。            
(3星)	 不声不响地就上映老。。            
(4星)	 里面的赵敏演的真是帅气可爱。            
(4星)	 还好先看的这部，不然不晓得我会不会讨厌赵敏呢。这部是我哥的最爱啊。            
(5星)	 一个美女，两个美女，三个美女，一圈美女            
(3星)	 嘛 芷若啊芷若 我还是很喜欢你的 赵敏啊赵敏 我还是很心疼你的             
(3星)	 还是周海媚的影子吖            
(5星)	 负责的说一句 真的不错 是倚天剧里的经典了            
(5星)	 男人拥有惊天之才，其他什么身世背景后台都是不足道的。敏的机灵古怪，昭的聪慧体贴，若的楚楚动人。——我最喜欢的小说。            
(4星)	 小昭            
(4星)	 演的都很做作，台词很烂。贾静雯的赵敏还不错。            
(3星)	 演员们的气场都非常不合……            
(3星)	 高圆圆有爱            
(NA)	 虽然是垃圾 我还是在四天三夜的大连旅途中看完了            
(2星)	 张纪中就一SB            
(NA)	 最喜欢的一部金庸作品，这个版本从头到尾看了七部有余了！            
(3星)	 喜欢赵敏            
(5星)	 贾静雯很美            
(NA)	 贾静雯真漂亮。            
(4星)	 难得一部好看的倚天屠龙纪，不过对赵敏和汝阳王的有些地方还是不大合理            
(3星)	 张无忌那个弱智男..            
(3星)	 亲嘴口香糖的MM在这个剧里没有那么可亲了。            
(3星)	 张大叔的杨逍让我鸡皮疙瘩落了一地            
(2星)	 只喜欢看TVB版的            
(NA)	 一直不喜欢张无忌的忧柔寡断。觉得高圆圆板的芷若和周海媚版的在气质上有着某种异曲同工之处。            
(3星)	 太现代化了～～            
(3星)	 主要是有高圆圆            
(4星)	 帅哥美女多            
(4星)	 只爱张无忌            
(5星)	 最后一集中张无忌与周芷若的谈话令人难忘。            
(NA)	 柔弱温顺的周芷若。圆圆美女。            
(5星)	 比邓超版好看            
(3星)	None
(5星)	 最好看的版本我觉得 电视机放我就看            
(3星)	 留下张无忌的四位后宫，其他人再见。高圆圆的周芷若真是美如岸芷汀兰，虽然我是赵敏党            
(3星)	 看完这剧，我最讨厌苏有朋了= =！！！！周芷若入魔之后的那个指甲，超级喜欢啊！！！！            
(NA)	 高圆圆演周芷若这种事真特么……            
(NA)	 高圆圆，很不错。            
(3星)	 苏有朋演的这一版怎么觉得张无忌的形象瞬间变成了苦逼男。            
(5星)	 这版好            
(4星)	 多出一星给里面的美女们！            
(4星)	 现在看来。好像没以前那么好看了。            
(4星)	 还不错            
(4星)	 高圆圆的周芷若怎么也恨不起来 贾静雯的赵敏让我着迷            
(4星)	 那时的高圆圆得有多苦逼……            
(4星)	 追了那么久。。。。            
(3星)	 央视翻拍基本就是冲美女们来看的=。=            
(3星)	 就贾静雯加分了...            
(4星)	 除了贾静雯。            
(5星)	 最好看的一版（个人观点            
(4星)	   凭什么啊？！凭什么张无忌这么多桃花运啊！凭什么脚踩这么多啊！            
(5星)	 我爸爸百看不厌啊！对于老剧真的很不错！            
(5星)	 每年暑假总有电视台会放这部剧，我也断断续续看了几遍。不因为别的，贾静雯扮演的赵敏实在让我着迷，特别是18集于地洞那幕。快速看完后心情也总不能安定，满脑子的贾静雯 贾静雯 贾静雯。。。。哎。在这做个终结，不再想了。。。            
(4星)	 。。。。。。。。。。。。。。。。。。。。。。。。。            
(5星)	 我感觉我都看过七八遍了...真不赖，哈哈哈            
(4星)	 女主角都好美~            
(2星)	 硬插上去的铁三角，猥琐得不能猥琐的韦一笑，还有民工范遥，男的不能弄点正常的演吗            
(5星)	 我一直觉得这版挺好看的&gt;&lt;            
(5星)	 张无忌这个孽种 把两个女人逼成老处女 又把一个逼毁容             
(4星)	 为了贾静雯。啧啧。            
(NA)	 不知为毛倚天屠龙记我就爱看这版的            
(NA)	 张老跟那姑凉年龄跨度还能再大点儿吗            
(5星)	None
(4星)	 苏有朋的也不错。            
(5星)	 经典就是经典 无法超越 跟83版射雕一样 经典             
(4星)	 喜欢贾静雯和苏有朋。            
(3星)	 没看之前喜欢高圆圆，看完了喜欢贾静雯            
(NA)	 国产喜剧经典啊！            
(1星)	None
(4星)	 还是比较喜欢周海媚版的芷若~            
(4星)	 以前觉得周芷若好靓..            
(1星)	 本来秉着一颗向善之心 再烂的电视也可有2星 但是由于这里有个自称杨逍的肚腩官僚让我不是慢性咽炎也恶心干呕 于是果断一星            
(3星)	 高圆圆是最大败笔！这个版本比较美化赵敏，而对周芷若进行妖魔化…            
(3星)	 造型还过得去            
(3星)	 贾静雯最好看            
(NA)	 很惆怅，很213            
(3星)	 不喜欢这个版本。            
(5星)	 这个版本最喜欢            
(2星)	 恐怕我是对金庸这故事不感兴趣。            
(4星)	 本来是因为贾美人看的，今天看了邓超版本的，才发觉这个版本真是好啊好。可惜，张无忌这个人物，并不喜欢。            
(5星)	 高圓圓和賈靜雯都美死了 更喜歡賈靜雯            
(4星)	 贾静雯真美~            
(4星)	 喜欢贾静雯    只可惜找了个这么衰的老公            
(4星)	 哦，敏敏。            
(4星)	 可惜烂尾了            
(5星)	 各种翻拍版本中最好的一部            
(3星)	 还是老版好看            
(5星)	 绝对要给五颗星 近期翻拍金庸剧最好看的一部            
(5星)	 很爱这个电视剧，最爱这一版，一遍一遍地看。文艺男女青年全部可以S开。            
(3星)	 高圆圆漂亮其实多于贾静雯，这符合原著；不喜欢张无忌，但他只是平凡男子而已            
(3星)	 还是马大哥那版经典            
(4星)	 喜欢赵敏，喜欢贾静雯。            
(4星)	 张无忌 承认你有魅力            
(NA)	 你说，张无忌到底有多优柔寡断？            
(NA)	 觉得还是这个赵敏好~            
(3星)	 我是有扔了多少时间在这些电视剧上啊……            
(NA)	 台词特别好            
(NA)	 女的都很喜欢。特别蛛儿            
(4星)	 大爱啊当时。杨逍怎么就那么酷那么帅呢。。之后怎么就变成孙兴了呢。。。小昭好美啊。。            
(4星)	 苏有朋版印象最深            
(NA)	 学校门口的饭馆            
(3星)	 就是不喜欢。            
(3星)	 一般            
(3星)	 ai             
(4星)	 这部的小昭 我最喜欢            
(NA)	 久远= = 好歹比张纪中这个老棺材好许多~            
(4星)	 贾静雯的赵敏漂亮可爱却有点温吞了            
(4星)	 其实贾静雯不错的。。。            
(3星)	 还是小说写得周全~            
(4星)	 贾静雯很pp            
(3星)	 最起码，高圆圆纯啊，苏有朋虽然傻，但是也比不适合演古装的最新版本的强            
(4星)	 这版绝对的经典~~            
(4星)	 这版的好处是赵敏周芷若演员都挺好的~~            
(4星)	 美女出没            
(3星)	 女人们很美            
(2星)	 高圆圆            
(4星)	 我爱这样儿的贾静雯。            
(NA)	 补：高圆圆哪里周芷若了哪里周芷若了？！            
(4星)	 就是喜歡蘇有朋~            
(NA)	 比较喜欢这版的色调            
(NA)	 我喜欢这个版本的 美女多            
(NA)	 这里的贾静雯！！            
(4星)	 赵敏还是大好            
(4星)	 养眼            
(4星)	 喜欢苏有朋的张无忌，喜欢贾静雯的赵敏，喜欢高圆圆的周芷若。还有众多美女，众多经典。看起来很舒服~            
(4星)	 敏敏是很漂亮啊，可为什么偶还是萌周芷若……            
(4星)	 贾静雯很美~            
(NA)	 哪年的片子？            
(5星)	 话说这一版也不错的说            
(3星)	 苏有朋            
(3星)	 贾静雯演的赵敏很不错,挺到位的            
(4星)	 = =其实我比较喜欢这个版本的...            
(4星)	 美女如云哇……            
(4星)	 唉 怎么说也到位了吧            
(4星)	 老苏同志扮年轻还是蛮像的。            
(3星)	 张无忌太肉！            
(NA)	 03年            
(3星)	 最养眼的一版            
(4星)	 蛮好的            
(5星)	 小时候爱看 超喜欢赵敏            
(5星)	 午饭时间必备            
(3星)	 内地电视剧翻拍总是一把一把的美女 不过我始终觉得黎姿比贾静雯好看 很多人觉得后者惊为天人 我真是费解死了            
(3星)	 这片子我好像看了好几遍，每次电视台一放就会无聊看上好几集，那时候演赵敏的贾静雯还是挺漂亮的，不过苏有朋却把张无忌给演得好土。            
(3星)	 片儿尾曲儿好听~            
(5星)	 这版的我好喜欢.            
(3星)	 赞贾静雯             
(4星)	 喜欢 高圆圆            
(5星)	 还有我们蛛儿和小昭．．            
(3星)	 青春偶像剧一部            
(4星)	 人生得赵敏、殷素素这般女子，夫复何求？            
(5星)	 醉春风，我醉春风～～～无情的人笑我痴，我笑无情人懵懂            
(3星)	 左使最帥了。。。。            
(NA)	 ╮(╯▽╰)╭  我喜欢贾静雯            
(4星)	 因为此片熟悉了高圆圆            
(3星)	 版本真多啊。。。            
(4星)	 贾静雯！！            
(4星)	 喜欢这版本。            
(4星)	 这版本挺成功的            
(3星)	 这改得也太多了，那时流行的看不出哪儿产地的剧            
(3星)	 p.s.一直都很爱看这片            
(3星)	 就是喜欢赵敏。            
(NA)	 主题曲好听            
(4星)	 高圆圆的周芷若很不错。            
(3星)	 高圆圆不是我的周芷若            
(3星)	 看过书的人再看电视剧纯粹是为了看场面看脸，文字的想象空间永远大于电视剧，谈论内容已是多余            
(5星)	 就看过这版  觉得赵敏演的很不错很不错            
(3星)	 金庸的男主角都是万人迷            
(1星)	 苏有朋就是个屁眼！            
(3星)	 圆圆演恶人都如此美             
(3星)	 赵敏好漂亮哎 苏有朋真花心！==            
(2星)	 一塌糊涂            
(4星)	 这一版还不错            
(NA)	 第二讨厌的赵敏版            
(2星)	 不喜欢这版            
(NA)	 高圆圆高圆圆            
(4星)	 倚天算是金庸小说改编剧集里我最喜欢看的之一，这一部虽然没有港版做得那么精彩（个人感觉黎姿真的很适合演赵敏），但是四位女主角还是很漂亮的，像我妈说的高圆圆最漂亮的时候也就是倚天片头里的那一回头。            
(4星)	 这个版本的不错。            
(5星)	 赵敏~~~            
(5星)	 我愿一生为你画眉。            
(NA)	 醉春风。。。我醉春风摁恩            
(4星)	 挺好的我觉得~            
(2星)	 成昆原来比杨逍帅多了，也不必提阳顶天同学，难怪教主夫人要~            
(4星)	 看了不下5遍= =            
(3星)	 额。。不咋的。。            
(3星)	 每个人心中都有个自己的赵敏            
(3星)	 当时贾静雯还没结婚两个女主角都不错毛阿敏的片尾曲            
(5星)	 不知道看了多少遍  就是喜欢敏~            
(NA)	 囧            
(4星)	 苏有朋还是比较接近张无忌的形象,可惜里面的杨逍就选得太囧了,整个一泼皮霸子!要说美女也比马版多,可惜就是没马版那么有印象,问题应该出在音乐上!            
(4星)	 为了美女们            
(NA)	 电视剧看得少了...高圆圆表现一般,只是人很漂亮;苏有朋演的不错;贾静雯演的也相当不错...            
(5星)	 经典啊，爱情剧的经典啊            
(3星)	 完全是看贾静雯            
(3星)	 翻拍成这样还算不错            
(4星)	 花了好几个周末看完的，喜欢片头曲，喜欢贾静雯的赵敏，却还是会为芷若叹息。。。            
(3星)	 这个版本蛮傻的...            
(1星)	 吸金女一号狂瞪眼，娘娘腔男一号偶尔露出老谋深算的眼神。高MM，永远的花瓶            
(3星)	 我爱高圆圆            
(NA)	 无语            
(5星)	 里面的女演员长得不错。。            
(4星)	 看美女。。。            
(5星)	 我做梦也没想到这部电视剧每放一遍我就看一遍……！！！            
(3星)	 我更喜马景涛的版本            
(5星)	 这个是我最爱的版本啊！            
(5星)	 拍得很不错的HC剧            
(NA)	 我喜欢贾静雯，我喜欢高圆圆            
(NA)	 出来一批的美女            
(5星)	 很喜欢这个版本.            
(3星)	 还行            
(3星)	 感觉不错，要是苏有朋再高点就更加有型了。。。赵敏应该更加刁蛮。            
(NA)	 美女不少，大牌不少，也捧红很多人            
(NA)	 重新温故了下下~~~~            
(5星)	 个人认为是所有倚天里面最好看的一个版本了。            
(NA)	 外婆都要看么我只好陪她看了~            
(3星)	 又想到赵敏还是周芷若得问题了。。其实我喜欢贾静文            
(3星)	 都说这个好，可是贾静雯不是我的调调，苏有朋又太嫩太装B··            
(4星)	 我喜欢高圆圆的扮相,喜欢贾静雯的聪明伶俐            
(NA)	  倚天屠龙记             
(4星)	 当时真的好好好喜欢赵敏            
(3星)	 大概初三的时候看的吧            
(NA)	 本想把它列为正在看的,结果发现竟然忘记加这部为已看过的了,怎么看都觉得这部里的女主角最好看PS:看了3天,看完了,忘记这都是第几回看了,反正不少遍            
(2星)	 不喜欢这个版本的            
(NA)	 高圆圆真~是漂亮。            
(3星)	 高圆圆的周芷若很漂亮哦！            
(NA)	 看了這部電視劇.於是第一次接觸金庸武俠小說            
(3星)	 我认为这是美女最多的古装片了~            
(2星)	 不喜欢这个版本的。            
(NA)	 我的最爱 至少看了十遍！！！ 地牢！地牢！            
(4星)	 不得不说，这部连续剧好长……            
(3星)	 倚天屠龙记             
(3星)	 如果人生也像武侠，也有自己的英雄世界，那多好啊。            
(NA)	 “他强由他强，清风拂山岗。他横任他横，明月照大江。”            
(5星)	 原本是在看小说的，看着看着就觉得很怀念于是就down了剧来重温。。我最喜欢的果然还是贾静雯版的赵敏。。果然还是这个版本的倚天。。            
(NA)	 讨厌张无忌            
(3星)	 在新片子里不坏            
(4星)	 喜欢赵敏             
(4星)	 比较喜欢这个新版本的            
(4星)	 因为周芷若            
(4星)	 郎才女貌，还是喜欢这个版本。            
(3星)	 说实话，除了张无忌比马景涛那个版本好，其他都一般。但是，我要说的但是，美女很多。想想那一版除了周海媚有可比性，赵敏……咳，太惨了。不过还有一点很让我欢喜的是，那个太极耍得着实好看。ps.杨逍咋能是他呢？！咋能是他呢！？最让我失望+吐血的杨逍……            
(3星)	 美女如云啊            
(5星)	 贾静雯把赵敏演得太完美了，我喜欢，高圆圆演的也不错            
(NA)	 为了贾静雯，这部片子看了许多遍            
(3星)	 希望不要看到那个杨逍范遥,太丑了            
(4星)	 这版的人物比较符合我内心的想像            
(5星)	 就看过这版本的~~超喜欢贾静雯~~            
(3星)	 看完的第一部金庸的连续剧。紧接着看了小说，不是因为电视剧的好看，是因为贾静雯实在是太漂亮了。            
(NA)	 不错不错，苏版比马版不知道好看多少...            
(2星)	 。。。。            
(3星)	 风景不错，美女众多，最亮眼的一个版本，虽然实际上拍的不怎么样、            
(4星)	 高圆圆还是很美的。。            
(4星)	 苏有朋版的张无忌和贾静雯版的张敏很搭嘛            
(5星)	 今年寒假又看了一遍，是我最爱的武侠电视剧了            
(3星)	 我到底都看过什么！            
(5星)	None
(4星)	 苏有朋是我觉得最接近原著的张无忌            
(4星)	 索引号：【YSJZ-Ⅱ-㈥-003】            
(4星)	 我是为了看贾静雯的！！！！            
(4星)	 无论哪个导员拍的，我都只喜欢这个            
(5星)	 大爱贾静雯版赵敏            
(5星)	 给5星 是赵敏的了            
(4星)	 多少年了，还记得当初迷得要死。不过现在看来，电视和原著果然有好大的差别，电视到不了原著那高度，只能削减人员，加速发展故事情节，增加煽情因素来博取观众眼球。            
(5星)	 看过才知道，赵敏在说‘我偏要执着’的时候是多么的自信，人家是有资本的！！！            
(5星)	 除了特效太差，别的都不错啊。没看过马景涛版的无比较            
(4星)	 每次重播我都看            
(4星)	None
(4星)	 这是我第一次看金庸的作品，也是唯一一次            
(4星)	 介个是我唯一看全集的倚天屠龙记。不管拍好不好，还是值得一看。            
(5星)	 贾静雯的赵敏  无可挑剔  加了一个七王爷的角色感觉比原著中的赵敏形象更生动了            
(4星)	 赵敏超亮眼 周芷若..同学老说我像她=之前也好看的 现在愈发像王菲了 殷素素小昭都超美的            
(5星)	 好吧，其实早看过了。但是，最近又重温。最美的他们。            
(4星)	 这里面的贾静雯美翻了啊！！            
(NA)	 小时候不待见周芷若，长大后不待见赵敏。            
(3星)	 原来也快过去十年了。            
(NA)	 神龙岛畔的高圆圆            
(4星)	 稀饭贾静雯            
(NA)	 超喜欢这一版 女的都又漂亮又萌            
(3星)	 贾静雯            
(5星)	 我还是喜欢赵敏不喜欢周芷若            
(5星)	 最爱赵敏            
(NA)	 很喜欢这个            
(5星)	 我小时候稀罕死贾静雯演的赵敏了！原声很赞。            
(5星)	 这一个版本看了许多遍，几乎是每个寒暑假，又重新看了一遍，实在是太好看了，这一部除了周芷若，其他都完美了。            
(4星)	 特爱贾静雯演的赵敏~很有灵气~            
(5星)	 苏有朋。            
(5星)	 我所见过的最漂亮的小昭。。            
(4星)	 我是还蛮喜欢贾静雯的啊。。。            
(4星)	 感觉中规中矩，没有特别出彩的地方，也没有特别恶心的地方            
(5星)	 原来我小时侯的电视剧都在这儿啊啊哈哈哈~~好怀念呢~~            
(4星)	 这大概是流传最广、最久的倚天屠龙了吧~贾静雯的确是美女呀~            
(4星)	 青春偶像剧版倚天屠龙记            
(5星)	 重温中。。。那么多个版本的电视 这个版本最靠谱。。虽然高圆圆的表演 实在有点差强人意。。            
(5星)	 我很没有品位的最喜欢这个版本，看了无数遍，对我来说，那些人物就是长他们那样的            
(5星)	 为无与伦比的贾静雯加一星            
(NA)	 挺喜欢这一版的赵敏            
(4星)	 少数翻拍成功的            
(3星)	 这版的倚天还是很不错的            
(4星)	 最好的版本！            
(NA)	 是我室友在看啦~~~            
(3星)	 相比之下，我比较喜欢这部剧里的各个姑娘们。。            
(NA)	 虽然苏的张无忌演的不差，但貌似先入为主喜欢港版多一点。。。            
(5星)	 随时看随时上瘾。。。。            
(5星)	 爹最喜欢这一版，俊男美女，的确够养眼。。。只不过。。。杨逍。。。成昆。。。可以无视一下。。。            
(5星)	 印象中最好的一版,了解了张无忌的感情历程,知道他为什么选择赵敏.也为周芷若感到惋惜.金庸的剧里总有一个甚至多个为男主黯然神伤的女子,她是天龙八部里的阿紫木婉清,是神雕侠侣里的公孙绿萼程英,是书剑恩仇录里的霍青桐,是射雕英雄传里的华筝,是笑傲江湖里的仪琳.还是韦小宝好,不让任何一个人失望,哈哈            
(4星)	 很不错的改编。            
(5星)	 第N次看了            
(4星)	 苏有朋怎么看都是一小孩儿。。脸太肥= =            
(4星)	 这版的美女一抓一大把~ 郭妃丽演绎的就是我心目中殷素素，苏有朋把张无忌演活了并改良为绝世好男人（原著里那个实在不喜欢）            
(4星)	 美女贾静雯~~~            
(4星)	 超爱！            
(4星)	 八错,很耐看.            
(5星)	 我就喜欢这版 因为贾静雯演的赵敏太可爱了            
(5星)	 这版倚天是我最喜欢的，演员都很不错，整个画面给我的感觉很舒服~~贾静雯真是超美的，服装造型什么的都很赞！            
(5星)	 好美的贾静雯和高00            
(3星)	 实在受不了这一版的张无忌，苏有朋在这里面是有多爱哭啊……不过赵敏和周芷若都是很漂亮的。最喜欢吴启华版张无忌。            
(4星)	 这版还不错的说            
(3星)	 还行            
(5星)	 最爱苏版无忌啦            
(4星)	 当时很喜欢的            
(NA)	 四星。觉得这是几部倚天屠龙记里面最好的一部，主要原因是里面的演员实在是太强大了，张国立版的成昆真的是经典。            
(4星)	 最后一集最后一段音乐不错            
(3星)	 原来看我过这么多电视剧——有人说我像高圆圆的来着~~            
(3星)	 完全是奔着美女去的            
(4星)	 苏有朋的这一版很来感，除了张铁林的杨逍……T^T            
(5星)	 最喜欢苏有朋版的，可是这版的周芷若太丑            
(3星)	 我覺得搞笑的 你猜是誰？蝠王 滅絕。心愛的姑娘你猜？小昭。            
(3星)	 只是算不上经典，一般般            
(3星)	 老纸的童年！            
(3星)	 什么乱七八糟的武打场面            
(3星)	 。。 太言情了 总的来说 还行。。            
(NA)	 小時候的記憶啊。。             
(4星)	 最喜欢苏有朋版的倚天屠龙记  每年暑假电视都会播，看过好多次但每次都会看            
(3星)	 苏有朋一脸苦逼样            
(4星)	 虽然被骂偶像剧很多年，我依然很喜欢            
(3星)	 爷爷的最爱~            
(4星)	   最美的敏敏。            
(4星)	 女主最美。不喜欢张无忌。            
(3星)	 张铁林简直就是恶霸样，还舌吻小桃红            
(5星)	 赵敏敢爱敢恨的太让我羡慕了 而且周芷若好漂亮啊 最开始那个我见犹怜            
(4星)	 贾静雯的赵敏 很可爱 至于杨逍 额 吐            
(4星)	 当时看得蛮好玩的~            
(4星)	 美女众多的经典~            
(2星)	 个人感觉，人物背离原著！            
(5星)	 这一版不论从剧情 服装 演员 配乐都是最好的 听说导演是新加坡的？            
(4星)	 成全你我            
(4星)	 童年。            
(5星)	 贾静雯！            
(5星)	 经典啊            
(3星)	 高圆圆....            
(5星)	 这是我最喜欢的版本！最爱的赵敏！            
(4星)	 最喜欢的一版倚天屠龙记。记得当初看了无数遍。            
(5星)	 美女帅哥一堆的！！            
(5星)	 许多电视剧 就算特效太假 场面不好看 演员也不见得都美丽俊俏 但是只要是那个时间段你看过 你就喜欢上了 而且永远怀念当初看的时候的那种感觉 不要觉得长大了一切都变假了 假的不是世界 假的是我们自己            
(3星)	 还行 打三星是因为从此走上了看武侠小说的路···            
(5星)	 顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶            
(3星)	 对这一版有印象，当时就不喜欢苏有朋的样子。            
(5星)	 这也是电视台炮轰的电视。。。好吧，我看的也很爽= =数不清看了几遍了~            
(5星)	 比起所有，我觉得我们这个年代会认为这部是经典，至少我觉得是，看了一次又一次。            
(5星)	 所有版本里最喜欢的了。。。            
(3星)	 我喜欢高圆圆。。            
(5星)	 最理想的赵敏            
(4星)	 唯一看过的一版倚天屠龙记，很喜欢贾静雯            
(4星)	 百看不厌·贾静雯太美了·            
(3星)	 只喜欢赵敏 有如我喜欢令狐冲和任盈盈            
(5星)	 喜欢赵敏，贾静雯气质很好            
(3星)	 美女啊美女好多啊            
(4星)	 自认为这一版挺好看的~~很喜欢贾静雯            
(4星)	 这个版本很不错            
(5星)	 没有能超越的了 最爱了             
(4星)	 挺喜欢这版的            
(4星)	 那时候谁不喜欢贾静雯啊            
(NA)	 最近晕倒去看金庸武侠剧。。。            
(4星)	 这个版本才是我的最爱。女演员都很漂亮，武术的特效也算靠谱，王刚、张国立、张铁林的客串让人眼前一亮。推荐..            
(5星)	None
(4星)	 中规中矩。            
(5星)	 原来不是大胡子导演  我爱这一版            
(4星)	 据说美女最多的一版本哈。。。            
(NA)	 看了好几遍            
(4星)	 都是美女帅哥啊。            
(4星)	 那几年假期天天放。            
(5星)	 最爱的版本~            
(5星)	 五星送给贾静雯和高圆圆            
(3星)	 高中时期            
(3星)	 演的不怎么样啊            
(3星)	 这版还是不错滴            
(5星)	 倚天屠龍記是我看過次數最多的。因為它的完美結局，喜歡電視劇的結局甚於原著的結局。那麼美。多想有那麼一個人，一起放逐。殷素素的那句，越漂亮的女人越會騙人。不知爲什麽讓我銘記。            
