http://movie.douban.com/subject/6123977/	浪漫小镇 로맨스 타운
(4星)	나 당신루 참 춯아 ! 보고 싶어。정겨운 씨。
(4星)	应该是我看过豆瓣评分最低的剧了吧？其实看着很舒服，不压抑也不需要动感情。故事过于庞大和复杂，于是每集都饶有兴趣的看编剧要如何写下去，还挺有趣的。
(2星)	没劲
(3星)	我实在看不下去了。。。。。yuri 我对不起你 18集 弃
(4星)	第四颗星是因为这个故事算是我近期看的所有剧里特别有自己味道的一部.
(4星)	女人戏，小乖很不错~
(2星)	真的不知道编剧要讲什么讲什么~~~
(5星)	成宥利漂亮的呢~
(2星)	是真的看不下去，老早放弃了
(2星)	越看越难看啊思密达~
(2星)	剧情荒诞 完全冲着成宥利去看的 关于那个左边右边傻傻分不清楚的铺垫太过刻意 很假很幼稚 真的是有点浪费成宥利了 不过她的演技越来越好了 再也不是皇太子的初恋里那种遇到纠结只会咬嘴唇了  
(2星)	实在看不下去了...小乖姐姐的美貌也挽不回这剧啊...郑囧云现在又是素妍姐姐又是小乖姐姐的!!
(3星)	完全是为了成宥利 男猪真是丑到爆啊
(4星)	具有现实意义，值得一看。最后还是弃了
(3星)	这编剧，有待提高啊~中途一度放弃了，最近又执起，勉勉强强看着，你要轻松或搞笑，也不能没内涵哪~24集，怎么看下去啊？！
(3星)	看到后面有点烦了。顺锦在巨款面前，表现的太过天真善良，超出了人的本性
(3星)	弃剧
(3星)	一张彩票引发的血案//lol
(3星)	越看越没感觉，成宥利木有《皇太子》的时候漂亮了
(1星)	剧情很烦琐 小人物描写的挺真实 虽然有点内涵 但不像49日的编剧那样 看完会感触  这剧完全让人看的反感  还有对男女主的感情线没有感觉 真的是我看过男女主角最不来电的一部剧 没有之一 很奇怪这部收视居然还没跌破5
(3星)	出了成宥利外毫无亮点，小乖最差的一部剧，编剧脑残
(2星)	竟然是Pasta的BJ~~~~~ 過半棄
(3星)	演员表演扣分
(3星)	看一半~弃！
(3星)	囧。。。我竟然也看完了。。
(4星)	只有最后一集最精彩~
(3星)	郑糠云的胸肌，流口水啊
(2星)	莫名其妙的男主，莫名其妙的剧情啊。男主你一副自以为很帅的表情这自信是哪来的？
(NA)	后面挺好看的
(2星)	越来越不想看
(2星)	实在不好看~~~
(4星)	整体还不错，剧情老套···男主有点像崔始源···哎···看的都是钱啊···虚伪！
(4星)	渐入佳境。最初几集真的有点乱糟糟的
(5星)	劇情雖然不那麼出眾,但值得一看！！
(1星)	太烂
(3星)	我又变成了男二控，小郑啊，明明我是冲着你去的啊
(NA)	6
(2星)	小乖怎么接了部这么二的剧...男猪脚太丑了
(2星)	真的不好看 完全冲着成宥利 随便看看 看了两集实在看不下去了 最後就看了個头看了個尾~
(1星)	剧情扯，人物烂，除了Yuri，真的找不到任何看的理由！每一集都让人觉得是浪费时间
(5星)	还不错吧、、、
(2星)	实在是吃不消看了,要不是因为成宥利
(NA)	编剧对于对白的掌控力其实并没有失掉水准 只是情节有点儿摇大绳的赶脚才显得拖沓了 
(NA)	弃。。。。
(3星)	看到第八集，虽然都下载了，但没有看下去的勇气了，即使有成宥利......
(NA)	看到第几集了？不记得，不想再看了。
(3星)	其實情節真的沒什麼內涵 默默就有種男女主性格不完善的感覺
(2星)	ep07，男主脸是被扭曲过么
(3星)	就是热闹不起来……
(3星)	成宥利让我失望鸟
(NA)	其实乖真的好美
