http://movie.douban.com/subject/2237995/	东方茱丽叶 東方茱麗葉
(NA)	这个嘛 真不好看 
(3星)	很一般
(3星)	没有漫画好看
(5星)	命运再多曲折也无法阻挡两个人在一起的的坚定~~~穗很坚强很有才华~！尊尊很帅~~~
(4星)	话说依晨也觉得穗有一点太偏执了~~
(4星)	喜欢逆风的音乐
(2星)	够无聊的..
(3星)	不喜歡這個結局..還有不喜歡吳尊的髮型..!!
(5星)	11最PL的角色!
(5星)	熱戀=林依晨+吴尊 
(2星)	漫画其实多不错的~~
(3星)	复仇少女。。
(2星)	如果不是林依晨。。我才不看呢~
(3星)	额。。没看完。。。
(3星)	漫畫好看得多~！！！
(3星)	总是斗来斗去，有什么意思！不过里面的设计我欣赏～～
(NA)	看过 
(3星)	一般，但看看明星的衣服，搭配，帅哥靓妹还是可以的
(2星)	看了几集,没看下去
(2星)	看了小半级我就受不了了...真是感谢它打破了我看电视剧有始有终的坏习惯！
(NA)	东方朱丽叶
(3星)	剧情有点复杂。。。
(3星)	对爱情和理想的坚持,让人感动
(1星)	烂
(1星)	不爽吴尊真的很不好啊
(3星)	吴尊那会儿真丑
(1星)	恶心
(4星)	如果小综来演，可能很好看。可惜是吴尊，太生硬了。
(NA)	太华丽的场景了！喜欢！
(4星)	东京朱丽叶 日本漫画改编
(2星)	不好看，不适合林依晨
(3星)	剧情烂！！！肉麻&amp;&amp;肉麻，但是喜欢吴尊，呵呵！
(2星)	看吴尊要去看《花样》，我只喜欢林同学，除了《逆风》和片头还不错，其余……我只能沉默。由初中看过的漫画改编，不能强求的，所以——勉强及格。
(2星)	大恐慌。大白菜数支…
(1星)	哦吴尊= =你的发型就像我家隔壁的阿姨
(3星)	第一次看依晨演这样聪明的角色。吴尊帅
(2星)	06年的片？初三的我竟然还在看偶像剧！
(3星)	天啊，我怎么这么沦落
(NA)	依晨！！！！！
(4星)	这部好不错啊
(3星)	原来我小时侯的电视剧都在这儿啊啊哈哈哈~~好怀念呢~~
(3星)	吴尊那个发型，我的个神诶，但是林依晨在里面的角色还不错。
(3星)	想当年吴尊的演技也有够烂的。。。
(3星)	好像服装没怎么样，剧情也没怎么样吧
(4星)	我觉得还行，只是，时装剧的硬伤，就是隔几年看，会觉得在剧中被夸奖的衣服都好丑啊~~
(3星)	吴尊的造型。。。
(2星)	吴尊丑死.林依晨肥死.你妹.还我的东京朱丽叶
(1星)	轉型前的林依晨敢不敢再醜一點。
(3星)	初中芒果台上看的，第一次见到吴尊。。。这种电视剧在吃饭时候看最好了~~
(2星)	原来看我过这么多电视剧
(3星)	当年吴尊还是很帅的。。。然后没有了。。。。
(3星)	又是一部讲服装设计的片子~冲林依晨去看的~
(2星)	妈的我竟然看过这个= =
(2星)	吴尊的身材和脸蛮不配
(3星)	林依晨里面丑爆了啊
(5星)	为什么打分这么低？明明很好看。
(2星)	 这个，说实在话，就算是吴尊和林依晨演的，我也没有看完
(NA)	主题曲很好听
(NA)	因为这个 喜欢吴尊了
(3星)	木有漫画好看~
(4星)	题材还不错啊，虽然是翻的日本的
(3星)	我想今后的我很难再去看偶像剧，不会再有少女般的幻想了吧。但是仍然很怀念曾经跟大学室友一起看偶像剧的日子，那个时候大家都曾奢望真的会有白马王子一样的男生来爱自己吧
(1星)	林依晨里面有一句台词雷到我了，“我要尿尿。。。”
(2星)	这部戏里，吴尊的脸太大了……为漫画加一分…
(4星)	看过漫画，吴尊刚出道。
(2星)	没懂在讲什么。
(2星)	--这真真是部很烂的剧，除了林依晨可以看。。。高中看的吧
(2星)	那发型  那服装OTZ  湖南台播的时候我都震惊了 原来吴尊也有如此乡土的时候！！
(3星)	改编得很奇怪
(3星)	我终于知道我小时候都干嘛了
(4星)	高一暑假
(3星)	但是！！非常欣赏男女的相处模式~大家一起优秀嘛~~
(NA)	我是为了林依晨orz...
(NA)	这个之前我至少断断续续看完一集才弃的...
(3星)	打发时间。
(3星)	= =为什么我觉得挺励志的呢。至少看完后成绩到了历史性的高度。
(4星)	那时候喜欢听开头曲！
(3星)	当时看的时候真的觉得超级喜欢的，但是这东西很烂尾啊，那时候我真的妄想当设计师
(4星)	服装设计 我喜欢这个专业
(2星)	长发的吴尊。。。。||||
(3星)	剧情不太喜欢，但林依晨和吴尊这对搭戏还蛮来电的。
(5星)	高考完那个暑假看的，依晨里面的衣服、包包、耳环什么的都好漂亮
(2星)	还是漫画好看
(4星)	喜欢濑穗的长发和追求梦想的恒心～初中时打动过我
(2星)	我表示我不认识这个姬宫亮= =
(3星)	我只记得里面有首歌叫放不下
(2星)	吴尊恶心啊
(2星)	烂俗的呀。
(4星)	还不错 苦逼的林依晨 造型狗血的吴尊
(3星)	漫畫可是好看得很那
(3星)	我看过这个！
(3星)	老梗偶像剧，没有好好看的动力。前后3集外加中间插入几场戏，猜都不用猜就知道要演什么...
(NA)	我挺喜欢这个剧的，比一般的偶像剧励志些，每个人都有自己的理想，自己的爱情，自己生活的目标。 ps. 歌曲《放不下》真的不错哦。。
(2星)	这不是电视剧呢~~~
(1星)	糟蹋了原作！
(NA)	完全是男女主角在秀自己，秀衣服，一切都在秀，始终都在秀，疲劳
(4星)	所有看过的偶像剧里唯一一部从头至尾没有快进没有跳情节看完的。甚至两遍。很多细节让我动容。
(3星)	演技还不够给力，但喜欢那种隐隐的坚韧感觉。
(4星)	初中时候看过漫画 很喜欢的
(3星)	当时觉得吴尊好帅啊
(5星)	吴尊的处子作吧？加油！
(4星)	吴尊演技，确实需要加强。。不过依晨。真的不错。。
(5星)	五星是给依晨打的，因为吴尊少年说当时他根本不知道自己在演什么。之前闺蜜看过这个漫画，给我讲过剧情，所以很期待这部戏。亲热戏不少，算是弥补了很多吧...
(3星)	多一颗星给音乐。
(2星)	丑= =
(2星)	...
(5星)	06年底，全寝室围在DVD前看这部片的时候，唯独我不屑一顾，连瞧都不瞧一眼，只顾自己闷头看书……哪想春节一过我就陷入了吴先生的深渊……到现在也不能自拔。
(2星)	任达华这是缺钱了吧。
(3星)	那個時候大家都好嫩啊
(2星)	我居然还是租碟子看的
(3星)	因为之前看过原著漫画才看的电视剧，感觉一般越追越没劲，就是不时的出现新的情敌然后打倒他们的故事，厌烦。
(3星)	發展得真快...幾天,就生死相依不離不棄了..
(3星)	剧情挺有新意 吴尊的发型。。囧
(4星)	当年看的漫画东京朱丽叶啊~~~~我说怎么那么熟悉！！！
(2星)	吴尊！减一星
(2星)	异常聪明的袁湘琴
(NA)	任达华啊华，老得不像话！吴尊脸长没演技。
(3星)	湘琴是应该笨的
(NA)	看到这女猪脚完全木有欲望每集都看完。
(2星)	吴尊的卷发真难看
(3星)	夸张的手法用过了…
(5星)	我爱的时装元素@
(NA)	冲着林依晨看的。认识了吴尊。
(4星)	吳尊那時候還不是飛輪海耶
(NA)	這部劇當年看就很費解   
(1星)	完全没有剧情可言啊。。。
(3星)	为了当中两首歌来，“放不下”“逆风”
(2星)	完全靠依晨撑起来的剧，吴尊你到底要来干嘛的？只是摆着来看的话还演作甚？
(3星)	歌不错~服装不错~
(4星)	原声好听
(3星)	吴尊其实不适合演戏
(2星)	很差的一部劇
(3星)	主题曲还挺好听
(5星)	啥都不说啦。。。全是回忆啊。。
(4星)	不喜欢林依晨
(5星)	因为它。我喜欢上吴尊。直到现在。
(1星)	不喜歡林依晨什麽的
(1星)	。。。。。。。。。。。。。。。。。。。。。。。。。什麼時候能出個有有營養點的電視劇。
(3星)	吴尊 我无语了
(2星)	其实吴尊也有被毁的时候
(4星)	喜欢林依晨，吴尊可以忽略
(2星)	为什么改成这样了。。。
(4星)	11里面真心不好看  那个发型太。。。  好吧  吴尊 还不错 
(3星)	无感
(3星)	造型有点恶。
(2星)	我怎么还看过这些台剧= =
(1星)	去死吧~~
(2星)	北川美幸的漫画能被改编成这样。。。
(2星)	没看完。。。
(1星)	看过零星的片段 但是很恶 对演员没有任何不好的感觉 但是 改变漫画太惨了 当年 北川美幸（还是渡濑悠宇，应该还是北川的）的银色舞台 是多么的美好啊 然后真人版 惨不忍睹
(3星)	吴尊当年好丑！
(5星)	因为某白给的满分。林依晨喊“亮”的时候感觉有点惨…哎…3分吧。
(3星)	挺喜欢的一部偶像剧~
(3星)	吴尊的长卷毛直接无视，看依晨就好
(2星)	敢再囧点吗
(4星)	喜欢看的原因是 觉得真的爱情就是这样 不用很复杂就喜欢了
(NA)	穗~亮~   听着就起鸡皮疙瘩
(3星)	吴尊肿么了
(3星)	林依晨在里面太狠了，剧情太紧张，偶像剧你就好好拍偶像剧，拍的这么不可人...为了吴尊看的！不过吴尊在里面也没有很帅呀，哼~
(3星)	呵呵呵
(2星)	非常奇怪的东西。。。组合奇怪 剧情奇怪 演技奇怪
(3星)	当年还不是冲着依晨去的
(3星)	我...还...蛮喜欢...林依晨...==
(2星)	这么多明星拍出这么烂的片真的很难得啊~~~
(1星)	没有任何感觉。
(3星)	林依晨你要毁我少时多少梦想女猪脚！
(3星)	看的就是脸= =。。。
(NA)	……
(3星)	一首音乐和林依晨夏天的造型。
(1星)	因为痊愈.
(3星)	我还真看过~但没看完，因为没有办法接受林依晨太聪明……我还是爱湘琴~
(3星)	我挺喜欢这部戏的节奏。
(4星)	有点苦逼
(2星)	去你的 不要玷污我的东京朱丽叶！
(3星)	为了漫画才看~吴尊没表情，林依晨撑场子，演技不够纯熟却很可爱，演的出穗的执着坚强。
(3星)	只记得原声音乐不错~~~青葱呀青葱~~~
(2星)	哈哈！草草地看了一遍，主题曲蛮好听的
(2星)	吴尊的第一部戏吧，演技就不说了……长发不适合他，肌肉也有点恐怖，不过不会影响大家发现他的颜。故事……一般。
(3星)	因为喜欢漫画 所以看的  不过很失望
(3星)	冲着吴尊去的
(1星)	里面的每个人我都很讨厌。从造型到剧情都傻逼的可以。歌过的去。
(3星)	早看过了...
(3星)	吴尊把头发剪了不好么····
(NA)	毁了漫画
(NA)	吴尊造型有点囧
(4星)	太肉麻了，吼~~
(3星)	当初我是和表妹在电脑前边起鸡皮疙瘩边欢乐的看这剧
(2星)	坑爹
(3星)	总觉得假假的
(1星)	哭诉我当年的时间都浪费到哪里了= =、
(2星)	不知道在讲什么，好无聊。。。吴尊这发型太丑了，比较心水林依晨刚出场时的发型，现在在努力留在。。。
(3星)	这部剧最大的收获就是认识了吴尊！
(2星)	神马东西...
(3星)	不好，忘了剧情呢。@Home
(3星)	我居然看了 忘了哪个台一直播
(NA)	哎呀我的年轻岁月是怎么了。怎么会有这么多xxju!!但是还让我热血了一阵子……噗！
(4星)	吴尊扮相很是不行呀这里头，煞风景了~不过这部的调调个人觉得还好的
(1星)	漫画完全被残了，虽然漫画本来就有够泡沫，但励志 青春 羁绊 心里的细腻刻画一个不缺，到电视剧统统渣渣了
(NA)	本来挺喜欢吴尊的，看完这剧就不喜欢了。
(1星)	这个也太难看了。。。
(1星)	吴尊的发型有如天雷滚滚。
(4星)	电视剧里所有的男人都爱女主角，所有的女人都爱男主角，这样的电视剧能撑住十几集其实实属不易。喜欢的是女主角坚强的洒脱的不做作的油菜花性格，美丽是美丽，可是美丽的不虚伪~~Good，总比看恶作剧之吻的折磨来得舒适…林依晨还是演正常女人比较好。
(NA)	到最后，服装设计的意义也没有回到它自身。。。
(3星)	复仇故事还不错，喜欢片头曲...
(3星)	喜欢逆风这首歌。
(2星)	我就不明白了，这样的审美也能当设计师啊
(1星)	对得起北川美幸么？
(2星)	大烂片.
(5星)	我家妞的每一次蜕变 都值得纪念
(NA)	神經病的劇情 只要是公的就算是狗都想上那個胖子。
(NA)	[2008]　
(2星)	东京朱丽叶，讨厌姓林的
(3星)	说心里话，一般，但是吴尊太漂亮，看得我流口水
(3星)	喜欢原作- -只是林依晨大夏天的穿绒布的靴子我以为她有病- -
(NA)	林依晨的大头发  片头曲不错了
(NA)	当年觉得还不错~
(2星)	和原著差很多。。。这货不是姬宫亮~~~
(2星)	就记得两个人各种吻...吴尊那长发实在有点接受无能...
(2星)	冲着依晨去的
(4星)	虽然不喜欢复仇的片子，但男女主角很般配啊。
(4星)	那时候不知道为什么还很喜欢这部剧的~
(3星)	看到就不曾忘记 挺囧的 大家都还挺青涩的样子
(4星)	给吴尊的..木哈哈哈
(2星)	我该说什么呢？
(2星)	当时冲着吴尊去看，顺便认识了林依晨，至今还不明白为啥她能当上女主角
(3星)	怀念季。
(3星)	= = 不说了
(2星)	真不知道讲什么。。为了小邹菊拼得这么厉害
(3星)	第三者层出不穷 都快赶上美剧的风格了 我在想如果首播时我追着电视台看会不会又觉得情节安排的很刻意 时隔这么多年一气呵成的看还可以 感觉吴尊比公主小妹里有点演技了
(4星)	热血青春。
(NA)	无聊的时候看的，确实很无聊。
(2星)	林依晨= =
(3星)	喜欢漫画啊 漫画给力啊
(4星)	学学人家怎么穿的！
(3星)	我是因为看过了原著漫画才去看的，然后就顺理成章地失望了……
(1星)	差差差！！！！
(2星)	这是我唯一看过的一本漫画，但是他们演的真的让人哭笑不得
(4星)	雏菊
(1星)	吴尊和佟大为如出一辙的猿式走路法
(3星)	印象中有很多吻戏==
(3星)	俩人爱的很纠结。五年前觉得很好看
(3星)	有点儿烂了的，当时也有点儿这么觉得。
(1星)	吴尊太丑了 有点油腻
(NA)	吴尊要是这回儿剪短发了该多好
(NA)	小学时爱的漫画家！！！
(5星)	这部剧一开始给我一种很沉闷的感觉，男女主角儿很激情哦，故事也不错，就是有种让人受不了的感觉，不是感动就是跟着悲伤呢？这感觉让人看完后感慨颇深呢？所以呢？记忆也就深刻咯！好看！支持！
(3星)	吴尊的第一部剧，表现还不错
(4星)	不喜欢林依晨老哭，还是喜欢她傻笑
(NA)	我承认，是被刚出道的吴尊吸引的
(3星)	那时候的吴尊不好看。
(2星)	吴尊怎么有这么丑的发型哦
(3星)	很搞笑的是R的妈妈超喜欢看，好爱吴尊！！
(4星)	当初看的时候我没感觉，但是过后觉得其实还不错~
(NA)	这个之前我至少断断续续看完一集才弃的... 
(1星)	剧情无聊
(2星)	看了两集受不鸟了  剧情太一般了 吴尊还是很帅
(4星)	有些雷人= =
(3星)	压抑，不喜欢看，始终不觉得吴尊帅
(2星)	雷
(3星)	因为服装设计这个题材才看的
(3星)	反复的复仇、吃醋，反复的众男人只爱林濑穗，众女人只爱纪风亮，这世界真够三八的。
(NA)	3.5
(1星)	吴尊讲话很奇怪。
(1星)	林依晨怎么可以那么胖……
(3星)	吴尊很帅。。。除此之外没有别的了。。。。林依晨不是很适合这个角色。。。
(3星)	林依晨的傻大姐范儿我还比较能接受，这儿给正儿八经的太奇怪了。  ps，主题歌逆风太赞了。
(1星)	哇哈哈哈……我真的不知道怎么评价啊啊哈哈哈
(3星)	当时完全是冲着吴尊就去看的- -
(5星)	做个像林濑穗般的女生。
(NA)	剧情很无语，吴尊很无语。我只是想看林依晨
(3星)	太不吸引人了~
(1星)	真是恶心 = =
(NA)	我又看了一遍耶...一看台湾偶像剧，心就变得很少女耶 比起公主小妹，算不错了啦。穗是我想要成为的女人类型。
(3星)	纯粹因为男女主看了下去
(2星)	长头发的吴尊，改编的漫画，最后结局不明所以。
(2星)	唯一值得的点就是让我爱上了雏菊。
(2星)	冲着漫画改编去的 结果看到吴尊那个发型就换灭了嗷嗷嗷嗷啊！！
(5星)	我觉得蛮好看的 ~~~很有激励性的
(3星)	我不喜欢吴尊！
(3星)	吴尊千年不变的样子
(2星)	吴尊的发型~擦~
(NA)	吴尊青涩出演
(1星)	三个字 次次次
(3星)	我作为林依晨的影迷都受不了这部剧。当年看得我差点吐血，情节烂，男主角恶心。当然林同学依然演得很好且扮相很美……可惜了。
(3星)	太拖沓了
(3星)	觉得比面包好看~额~~~~~~~~~但是一直在爱爱爱。。。。不是复仇么？？？
(3星)	吴尊那个发型……
(3星)	这就是我为什么不喜欢任达华...还有 吴尊你那是什么鬼发型?！ 洗洗睡吧你...
(1星)	你颠覆了原画！！！
(3星)	虽然有吴尊和林依晨，但是把承载着我少女梦想的漫画拍成这样我还是很不能接受的
(4星)	关于奋斗与青春的故事，吸引我的主要是剧情~~
(3星)	实在不明白 一朵小雏菊 有那么纠结吗？
(3星)	第一次看到吴尊,惊为天人,从此后他演的片片都紧盯脸,顺便看下身材...
(4星)	剧情挺好……就是吴尊的造型……
(3星)	……
(3星)	当时还素很纯洁的 羞~~
(3星)	当时看的时候觉得挺好看的还，里面演员穿的衣服挺不错、
(3星)	唉。。
(2星)	香肠嘴
(3星)	爱林依晨
(NA)	我承认我喜欢林依晨……但是……吴尊那个演技……简直就是餐桌！还有那些NC的台词……忍不下去啊 ，我每次都有试的，但是都超不过5MIN啊，抱头
(3星)	成熟
(5星)	这个剧情比较特别
(NA)	我看了太多垃圾片 导致我不能认清现实 喜欢不切实际的幻想·····但是老师说了 我们要敢想····今天在奶奶家看 求医不如求己 上面说 思考就会产生焦虑 人一思考 上帝就笑了
(3星)	当时很喜欢里面的服装
(NA)	吴尊那时候好胖
(1星)	真是不喜欢林依晨= =
(3星)	我觉得还行~
(5星)	我第二喜欢的台剧
(3星)	不如看漫画
(4星)	难得遇到一部我喜欢的台湾偶像剧。。。
(1星)	糟蹋了。。。
(2星)	又是小学时代的情结。林依晨。。。很难让人联想起北川美幸笔下的美女。还是比较烂的剧。
(3星)	为毛我会看这个- - 好奇怪
(3星)	应该还好
(NA)	就是想说 吴留长发真…丑
(1星)	........................
(1星)	一集都没有坚持下来……
(3星)	吴尊还是短发帅一点
(3星)	哎 我实在是不喜欢吴尊 11还是不错的
(4星)	开始稀饭尊尊~~
(3星)	林依晨是救星~
(NA)	吴尊出道，别人配音，雷
(NA)	别样的真实~~`
(4星)	劇情不錯
(1星)	吴尊你还是去剪头发吧..
(3星)	吴尊的处女作！！！
(3星)	吴尊的扮相太恐怖！原本挺帅气的一人...╮(╯▽╰)╭
(NA)	我觉得林依晨不适合成熟~~~
(3星)	依晨啊。
(4星)	吴尊个发好难体啊。。。。
(3星)	梦想。
(3星)	其实觉得这部戏没有什么看点。
(4星)	貌似没看完 不过还是很喜欢的
(3星)	如果吴尊的发型没那么飘逸,或者我会喜欢看...
(5星)	超爱逆风。
(3星)	吴尊的第一部电视剧，演技情景都有待加强。
(2星)	剧情不美  人也不美  完全不是那么回事
(1星)	没看完，说明够烂。
(3星)	依晨还是可以的
(3星)	吴尊演的不行啊
(2星)	歌不错
(2星)	侮辱别个北川美幸的东京朱莉叶
(3星)	男女主角还行
(2星)	整部剧除了任达华在演戏其余的人都在神游！
(NA)	林依晨太丑了
(2星)	人见人爱的男女猪脚...
(3星)	阿尊尊的第一部戏。。纠结的发型。。始终没能坚持看完。。
