http://movie.douban.com/subject/3619100/	IRIS 아이리스
(4星)	 金素妍真漂亮呀~            
(4星)	 故事套路有模仿 痞子英雄的嫌疑啊～～    最后一幕，男主角死得也够蹊跷了，竟然被海面方向射来的子弹打死～～     金素妍超级有气质啊            
(3星)	 金素妍，你真是太美太帅太无私了            
(5星)	 看在喜欢金善华的份上,给多一颗星            
(2星)	 就一垃圾片么.. 各种模仿痕迹   不过小草你帅爆了我鸡皮疙瘩都起来了 咱别再演不笑的人了呗            
(4星)	 又一部烂尾...是不是因为第2部里面那位没空继续出演 索性让他在这里死死掉算了= = 一句话 编剧要你死你不得不死啊 哪怕多么莫名 哪怕之前从枪林弹雨走过来 最后还是死得不知所谓            
(4星)	 只爱崔小草！！            
(4星)	 我比较喜欢金素妍            
(3星)	 冲这金泰熙去看的，结果被金素妍迷到。越看越让人郁闷的片子，结局都没有交代清楚，悬疑是很悬疑的~            
(4星)	 就是结局不是很喜欢！超萌善华！            
(5星)	 很喜欢金素妍，很喜欢善华，在她要离开韩国，离开李秉宪的时候我真是哭惨了。            
(4星)	 金素妍！！！            
(4星)	 喜欢善华，呵呵            
(5星)	 难得看部韩剧~还是很不错的哇~喜欢金善华哇~!            
(4星)	 泰熙还是那么pp，更严重的是，金素妍也那么pp，乱了。。。            
(3星)	 素妍姐姐很漂亮            
(4星)	 绝望的九命猫  金素妍同学你还能再帅点么？？烂尾烂成这样。。。。。。            
(5星)	 素妍啊啊啊啊啊。我不淡定啊。TAT..            
(4星)	 其实吧，我喜欢金善华。            
(4星)	 金素妍 好可爱            
(5星)	 金素妍 ~~~~~~~            
(3星)	 颠覆我对金素妍的印象。利落的短发，永远的黑衣，紧抿的双唇，低垂的眼睑，最后一句：你都没有叫过我的名字。哎呦喂，那叫一个辛酸。            
(4星)	 素妍我愛你！            
(4星)	 金泰熙啊金泰熙            
(3星)	 这个三星是个金素妍和top的 剧情实在是狗血            
(4星)	 开始真的很不错..每个星期等两集的日子太难熬了..   饼哥和泰西妹子着实看得让人揪心...   金素妍演的让人觉得一亮,和夏娃的诱惑是完全不同的感觉..   就是结尾太烂了..算是通病吧            
(4星)	 杯具的男女二号，男二直接当了毫无意义的炮灰，可怜。女二救了一命真的只换来了一束花，金素妍帅死了。贤俊和胜熙之间的爱情经历了那么久，只要一句我知道的就都可以过去。但是谁能告诉我整个片子最后的两分钟到底他妈的发生了什么，怎么就给死了？！            
(4星)	 金泰熙好美            
(4星)	 阵容阵容。            
(5星)	 强烈推荐20集韩剧《IRIS》男的太帅女的盘靓，大制作赶超米国CSI,24hours...（金泰熙 啧啧啧 My favor）所谓军产复合体不就是军火商么...            
(4星)	 剧情不是我的菜，但崔TOP是我的菜。            
(5星)	 记住了T.O.P            
(3星)	 前面太精彩 结局太狗血！！！            
(4星)	 TOP演得真好！！            
(3星)	 金泰熙！！！！！！！！ 竟然还有top！！！！我只能说我看不下去了。            
(4星)	 奔着李秉宪来的~然后发现了金素妍！            
(5星)	 金泰熙=3=            
(3星)	 看了两集，放弃。对不起金泰熙和top君啊~~            
(4星)	 就是去看TOP的   結局太讓人以外  太讓人遺憾了            
(4星)	 因为喜欢金泰熙长得就是块嫩豆腐，不过没想到这部动作电视剧的动作场面拍得还不错，估计请了中国的武术指导了吧。。。            
(4星)	 其实我一直觉的这类型的片子还是美剧拍的有感觉，这部完全是冲着金素妍去的，在片子里的造型很好看，剪了短发感觉很利落。            
(4星)	 這兩年很少看韓劇了　但是金泰熙金素妍一起　哈就吸引到俺了　慢慢看下來　不過就是把萬千韓劇情節弄在了一起　不過我還是沒想到秉憲哥最後居然死老．．．亮點．．．            
(5星)	 完全冲着金泰熙去的            
(4星)	 当内鬼是boss和兄弟的时候，你会死的很惨==诶，华丽丽的明星啊，金泰熙真是越来越美艳了。            
(4星)	 看最后一集时，两次粗口。一次是善华中枪，一次是贤俊中枪。            
(5星)	 金泰熙！金泰熙！金泰熙！            
(3星)	 看两集就焉了...            
(5星)	 善华！            
(3星)	 我认为的韩国最美的女人都在这部片子中........看了几集，没预想的有内涵。            
(4星)	 奔着金泰熙看的。和电影比，科技和战斗的场面以及特效逊色很多，可是出现的时间长很多..            
(4星)	 大T，你就是杀手！！！            
(3星)	 砸钱的！两个姓金的女子还是很惊艳的。。。            
(4星)	 “那里不是什么也没有了吗？妈妈，还有妹妹。”“可是这里也什么都没有啊。”“我可以拜托你一件事吗？你一次也没叫过我名字呢。”原谅我低到不行的泪点，哭崩了。            
(5星)	 李秉宪和金素妍演技太赞了!            
(4星)	 结局太奇怪了            
(3星)	 即使扯到了国安题材，剧情还是韩剧一贯的虚假、煽情和傻逼。好在两个女演员还不错，金泰熙挺可爱，金素妍的短发造型很干练。李秉宪么不予置评了，装腔作势的二愣子，搞不懂怎么会出名的。打发时间尚可，勉强三星之。            
(3星)	 死人了            
(NA)	 善华，你太美了。三颗星全给你。            
(3星)	 就为了金素妍看的。。。            
(NA)	 金素妍演的好!            
(3星)	 李秉宪还可以更man一点么？金素妍还可以更赞一点么？但是！！剧情和结局....实在...            
(5星)	 一开始冲着金素妍来看的,后来发现李秉宪好赞,在后来发现T.O.P.很帅...            
(3星)	 金素妍，你太帅气了！            
(3星)	 剧情就完全YY么，金泰熙太花瓶了。金素妍和T.O.P是亮点。            
(4星)	 金泰熙那大板牙            
(4星)	 这。。。TOP你帅了            
(1星)	 天啊，求你了，史上最烂反恐片，韩国人还是用人造人演绎无床戏的不渝爱情吧            
(3星)	 好久未见金素妍 还是那么美那么美            
(3星)	 拖拖拉拉和漏洞百出的剧情 掩盖不了秉宪兄的光芒万丈            
(2星)	 想拍续集也不能这么烂尾~本来还想打多颗星的            
(3星)	 无聊的人生需要drunby韩剧 装死算了 看不下去啊 能不能不要这么装啊            
(NA)	 《IRIS》才落下帷幕，第二季的制作已经提上日程。---我说呢，肯定有续集，要不然最后一枪也太狗血了。难道男主人公没死？或者双胞胎哥哥出现？？？？            
(4星)	 2个通宵看完了 期待第二季            
(4星)	 男二号贱到我想把他眼珠挖下来脸皮撕掉，但是他死的时候我还是哭了。。。兄弟情可以治愈一切吧            
(NA)	 金泰熙 美得 完美            
(2星)	 荒谬到这种程度，说是谍战片，结果还不是除了感情线几乎不能看，大制作你也不用摆那么多不靠谱的吧。            
(3星)	 跟“狗与狼的时间”差不多，没意思。            
(4星)	 屎一样的结尾            
(NA)	 又一个死懒编剧 舍不得花点心思编圆点儿            
(2星)	 看到第十集我弃了，如果没有金泰熙、金素妍就是1星            
(2星)	 脑残编剧负一个星,杀手top一个星,杨室长一个星,戴黑框的可爱杨室长再一个星,那么多钱投下去不知道在拍点什么东西,还不如拿来给我们拍重案六组!            
(4星)	 棒子音效画面演员好看，虽然有些地方觉得明显很假，但是不失为消遣好剧            
(4星)	 接近四星，国际化的叙事规模呈现出韩剧少有的宏大格局，对武器和战术的描述亦有尊重事实的戏剧性，大手笔的动作场面激动人心            
(NA)	 这部韩剧无敌了！好看！！！            
(5星)	 因为金素妍所以才看的，太酷了。            
(5星)	 李秉宪！！ 最大的亮点！！ 剧情蛮刺激的！ 日本温泉的那段 很温馨~ 连载中。。很紧张的剧            
(2星)	 韩国的特工片没法看。            
(4星)	 真的是PC剧里少有的不拖沓~谍战剧情很带感，穿插其中的小情小爱也极有FU。看完剧对主角印象不深被戳中的是男配女配。一个因为一见钟情就愿意为之放弃一切，瞄飞机时眼里的苦涩挣扎看的让人心疼。一个因为一杯牛油咖啡就决定陪他闯天涯，离开时在车里哭得像个小女孩，说着再也不要回PC的善华啊            
(4星)	 这么多年，看韩剧，估计都不超过五部。有三部都有金素妍。依然喜欢饰演善华的她。这部片的结尾太烂。韩剧的剧风依然的是慢动作。总体来说，还不错吧。但是，这部片还是不足以让我对韩剧产生兴趣，尽管身边有很多人都喜欢看韩剧。            
(3星)	 韩国剧，无论何种题材，拍来拍去最后都拍成了偶像剧。韩国思密达对历史与他人的认知和认识为负。。没有丝毫尊重，试问北韩思密达允许金素妍留这样的头型吗？oh my god            
(4星)	 女二远远超过女主的电视剧。            
(4星)	 棒子终于不拍癌症爱情片了……            
(4星)	 看完IRIS后，现在凡是看朝韩美的突发事件新闻我都自然联想到IRIS。            
(5星)	 两天前终于看完了维妮同学力荐的此片，确实不确，很牵动人，挺好看的。结局虽然不是幸福圆满，但正因为是这样的结局，本来想给四星的俺得给个五颗星。            
(4星)	 结尾。。。结尾。。。结尾啊！！！怨念。。。            
(3星)	 漏洞百出，极度怀疑编剧到最后是不是脑乱了。            
(NA)	 认识了金素妍            
(3星)	 金贤俊真是个造孽的娃儿啊。。。            
(4星)	 颠覆了我对韩国只能拍出唯美爱情片的印象，值得一看。            
(NA)	 大饼叔撑起一片天            
(3星)	 结局讨厌            
(5星)	 同样很少看韩剧的我，觉得不错            
(4星)	 虽然是棒子剧，但抄得还像话。            
(3星)	 最近省的一部电视剧。特工题材虽然不是很好但是起码让我有了好感            
(3星)	 结局能再狗血一点么？            
(4星)	 还是谍战类型的好些。            
(5星)	 看人家棒子拍的现代谍战片。。比中国的有劲多了。。我喜欢思宇。嘿            
(3星)	 假。            
(4星)	 狗血编剧。逻辑性差点儿。            
(5星)	 很不错，难得的紧凑型韩剧泰熙表现没想象中好金素妍和李秉宪到底是演技派，牛逼啊            
(NA)	 好喜欢的            
(3星)	 死了也好 我是喜欢金素妍的呀 那个脸多好看啦 （话说枪往脑门里是会直接死的！）金素妍多好看啊~！            
(3星)	 一集比一集差            
(4星)	 难得的快节奏韩剧。结局有点意外。最后的画面很美。            
(4星)	 其实我真的觉得大结局很莫名其妙            
(3星)	 pose大赛。            
(5星)	 好看,难得韩国也会选美剧常用的题材.but,最终还是没看完……            
(3星)	 最开始很飒气然后越来越韩....kimtaehee不管你拍多少烂剧我还是迷恋你            
(4星)	 那个陈思宇好像发了福的韩庚……            
(5星)	 真好看啊真好看。里面的插曲真好听            
(4星)	 虎头蛇尾……想拍二吧@_@            
(4星)	 棒子剧要一开始就以这形象登场，估计现在也不会这么身败名裂了...            
(NA)	 不死男猪 看了一半弃了...            
(5星)	 导演你怎么这样= =+ 为了不拍续集居然让贤俊死掉..            
(4星)	 其实我想打四星半。            
(3星)	 烂尾            
(3星)	 最後幾集太敷衍.....            
(NA)	 Better than i expected!             
(4星)	 韩国人敢拍啊 都没审查限制？结局仓促了 貌似还有续集 难道下次换男角？大手笔 大场面 金泰熙同志演技还是温柔可人 还需突破点点 李秉宪怎么看都是短命的人            
(5星)	 饼叔一颗星，金泰熙一颗星，金素妍一颗星，金承佑一颗星，OST一颗星。2009最喜欢的韩剧~~            
(5星)	 唉~这个完了又不知道该看什么了。这么好的片子就竟然结束了，唉唉唉！！            
(4星)	 编剧太看不起观众的智商了！ 弃了，只看TOP的剪辑就够了            
(4星)	 为毛没有续集了昂？            
(4星)	 不喜欢结局啊啊啊啊啊啊啊啊 啊            
(4星)	 我好喜欢里面的猎犬哥~~~~~~~~~~~~            
(5星)	  尼玛谁能告诉我这破结局是个什么意思！！！！             
(4星)	 导演是打算弄第二季，还是自己都没法自圆其说？崔胜熙不是白山的女儿就是black的；长得很好看的杀手跟白山也绝对有什么关系。很多人都不喜欢崔胜熙，但说实话，她真的值得被爱，磨难开始后，从未动摇过，始终坚持，如果逃亡的过程她能陪在贤俊身边，也定然是会跟着他天涯海角的。但最喜欢的还是善华。            
(5星)	 一部好看的谍战真的需要一个演技好到爆的男演员，李秉宪就是这样一个人，语言不多，表情动作太到位，紧张感表现得张弛有度            
(5星)	 各种喜欢啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！            
(4星)	 结局郁闷了~！明明可以不这样的啊啊啊啊 ~!            
(4星)	 我爱!看了第三遍了~ 就是喜欢.虽然剧情烂            
(4星)	 本片为悲剧，虽然情理之中，但是作为俗气的观众，我希望是圆满的。剧情漏洞不少。但是我最初看此片竟然只是为了Top……我非花痴，但总是在思考这个配配角到底什么时候出现惊鸿一瞥。其他就不赘述了。            
(4星)	 金素妍华丽丽回归~不系盖的哦~！！！！结局真尼玛无语。。。。 = =             
(3星)	 老子可算看清了韩语词源的真面目了            
(2星)	 ★★☆  泡菜特工片的编剧很爱引用大段历史教材来哄骗低年龄层的观众制造视觉假象。悬念不成熟，角色智商低，情节老套模仿痕迹严重。是太监就少逛几回窑子，没事打打毛线哄哄小孩好吗亲？            
(4星)	 剧情是很不错的，BMG太差了点……            
(4星)	 很桑心ticket 1就这样挂了。。秉宪是我年幼时的大爱啊。唉，归根结底就是你知道的太多了。            
(4星)	 中途有很多半途而废的线索，看的蛋疼。结尾着实够狗血。金泰熙哭起来好丑啊。            
(3星)	 剧情其实挺扯的，但是金素妍是真好看！            
(4星)	 .....金素华            
(1星)	 好吧，纯粹是为了看金泰熙的。。            
(NA)	 亮点是金素妍            
(5星)	 好内伤 结局怎么是这样 = =            
(3星)	 第一次看到摄影机会移动的韩剧   看了五分钟还发现了手持效果    节奏感也还成  演员都是上过大银幕的   所以节奏感都不错    原来韩剧嗨真不全是一坨屎               
(5星)	 这货不是韩剧啊，韩剧不都是白血病灰姑娘可怜人妻虐心虐肝然后狗血大团圆吗！！！！！话说这货的OST大概是近些年棒子所达到的最高境界了，不得不膜拜！！！！！！！            
(4星)	 除了结局很囧其他都好            
(4星)	 第四星給善华            
(5星)	 除了知华和TOP 其他都是浮云            
(3星)	 完全是为了金素妍看的            
(3星)	 不喜欢，不知道演的什么，莫名其妙。。。可能我的智商比较低。。            
(4星)	 从《爱在哈佛》开始忠于金泰熙，这部剧加深了我对她的情感：意淫升级中~~（这部剧确实是韩剧中比较牛逼的。）            
(3星)	 这是连续剧改的？云里雾里的看的。。            
(4星)	 不要相信组织，嗯。            
(4星)	 哎，有两年多没看过韩剧了，心血来潮的看一部结局竟然还这么狗血，如果没续集了编剧真应该拖出去砍了! 金素妍真是个大亮点啊，很喜欢……            
(4星)	 就是看金素妍的。韩剧女1永远不讨喜。BUG一堆（特别请看警察的衣服）            
(3星)	 bug太多。编剧编导最后编成SB了。            
(4星)	 为了金素妍还是得推荐。            
(3星)	 只能说还行。比较24H和谍影重重。实在是…很多细节都不讲…太夸张了。不如untouchable感人。            
(4星)	 剧情紧张刺激 演员都很有型~~~喜欢北朝鲜那边所有角色 包括恐怖分子都非常有型!!值得肯定的是政治立场很和谐 没有丑化北朝鲜的意思 Good!            
(4星)	 大爱金素妍            
(4星)	 终于没有得绝症的女主角了 ╮(╯_╰)╭            
(5星)	 再次爱上李秉宪···可是结局为什么啊····            
(4星)	 操蛋的编剧 结局的贤俊被杀的安排完全多余啊 操 不就是想有悬念好弄个第二部有人看嘛 操蛋 去死啊编剧 还有后来我真不怎么喜欢盛熙了             
(4星)	 喝黄油咖啡的小姐。            
(4星)	 介于它出乎我意料的结尾我给四星，前三星都给陈思宇            
(4星)	 李秉宪怎么可以演那么好！好看 可惜结局太狗血了~             
(3星)	 金素妍惊艳且表演精准，金泰熙变残且演技完败            
(4星)	 喜欢朴哲荣、善华            
(4星)	 我觉得韩剧的气场很大，比日剧还大的感觉            
(2星)	 本来给很高分的！导演头被枪开过了，搞这么烂的结局！！重拍！！！            
(4星)	 看过的第一部韩剧 纪念一下            
(3星)	 我傻逼..居然又看韩剧去了            
(3星)	 结尾是什么啊！            
(NA)	 TOP你个美人胚子            
(3星)	 编剧你妹！这结局也太囧了。李秉宪大叔很杀，泰熙的演技哟，越来越好了~~            
(5星)	 女主太木了~~喜欢李秉宪和金素妍对戏，两场拥抱的镜头一切尽在不言中            
(5星)	 算是我看过的韩剧中最能扣人心弦的一部，虽是电视剧，但绝不亚于一部电影。胜熙的神秘身份、贤俊的悲情人生、思宇的左右为难、善华的默默陪伴、哲永的爱国主义、白山的暗箱操控、Viki的冷酷无情，均被演员们勾勒得如此逼真。            
(3星)	 没耐心看完～～ 最近耐心不好！            
(NA)	 其实是冲着金素妍看的，但是剧情实在太狗血，还没等金素妍出来就把整部剧删除            
(4星)	 那烂结局什么玩意 编剧去死吧             
(5星)	 结局伤了我            
(4星)	 金素妍的造型相当惊艳！金泰熙应该是肉毒素打多了，面瘫。李秉宪说实在的，很丑，不过气质比较硬，还行。戏的整体不错，不过照例充斥了棒子的意淫气息.最后那枪太洒狗血了！            
(3星)	 有点虎头蛇尾的感觉，还是不太喜欢金泰熙，或许是太美的女人不讨喜吧，却是出奇的喜欢金素妍扮演的善华，这样的执着的女子，很是让我感动，虽然女配的身份不允许她有爱情，不过，她却获得了大家的喜爱。李秉宪依然很帅啦，难怪那么多女星沉沦。。。吼吼            
(5星)	 不拖沓 很好看            
(5星)	 李秉宪 金素妍 以及朝鲜大叔            
(NA)	 铺垫很大结尾有点诡异金素妍的短发很惊艳            
(5星)	 李秉宪演技派。金泰熙不及金素妍惊艳。剧本写得很好。            
(NA)	 好喜欢贤俊和善华  很希望他们能在一起 可是。。。  大爱他们两个            
(3星)	 最后男主角死的也太无厘头了吧。            
(3星)	 有成为《越狱》的野心，但剧情拖沓，情节经不起推敲。            
(4星)	 如果爱上你是我今生的劫难，那么，唯有成全你，才是对我最大的圆满。            
(4星)	 这算什么结局 ？ 靠。            
(4星)	 帅哎~            
(3星)	 前6集是华丽的风光片，后半部就是餐具╮(╯_╰)╭            
(4星)	 不死小强的猪脚，剧情交代不清，纠缠的韩剧套路。            
(NA)	 有金素妍也看不下去。。。            
(2星)	 棒子真能YY            
(3星)	 反转死了。不是有人逼着一起看。我压根不会看。            
(4星)	 连续剧还是不要十几个小时连续一气儿看完，不然再好的电视剧，看完了都想吐。编剧有点离谱~那个李秉宪很帅，而且演技真得很厉害哟！金泰熙依然很美，演技有长进，赞！其实不是很喜欢金素妍这样中性的造型，还是更喜欢她在爱上女主播里的样子，其他的我就不评论了，因为真的不认识了==            
(4星)	 李秉宪那肌肉那笑容…直接秒杀我了…结局仓促..景色还是不错的。            
(NA)	 李秉宪还不错，对他的印象改观多了            
(3星)	 2010.4.20.下载：好看不好看？评价这个剧实在是让我很郁闷：强大的演员阵容，细腻的表演，惊险的动作场面，漂亮的外景。可是给5星又让我不甘心：几乎每集都有几个情节设置上的漏洞，像吃饭口口都能吃出沙子来，哎。必须承认韩国人模仿能力一流，举凡红过的美剧，每个能抄得都抄了点儿，强！            
(4星)	 像是韩版的24，情节还算紧凑，只是结尾……            
(4星)	 像电影一样的电视剧，超好看！            
(4星)	 看到后面有点搞不懂，为什么非得要李秉宪死啊...我喜欢李秉宪这种肌肉男，嗯嗯            
(4星)	 前半段大赞，后半段开始归于韩式的婆婆妈妈            
(4星)	 结局比较扯。。。            
(5星)	 这结局真…呵…冷笑…            
(4星)	 what happened？怎么和痞子英雄一样，虎头蛇尾呢。又是因为要出续集么？            
(NA)	 仍然受不了泡菜思密达的意淫-_-b            
(4星)	 如果不是为了拍摄续集，那结局就太垃圾了！            
(4星)	 结局不是一般的烂。。。            
(4星)	 为这个烂结局可惜 本可以perfect            
(4星)	 红颜祸水。咱能别分季么，短小精悍些请！            
(NA)	 。。。。            
(4星)	 结局很莫名其妙            
(5星)	 喜欢得我反复看~            
(4星)	 就是结局太狗血。有抄袭24小时的嫌疑。            
(4星)	 刚开始看 常常让我联想到《狗与狼的时间》 这什么烂结局啊！！17集之前一直怀疑为什么这个片评分不高应该很高才对 看了后三集胃口倒尽……            
(5星)	 好片 每一集都充满悬念 结尾有点说不过去            
(3星)	 情节设置有不合理和交代不清的嫌疑。。韩剧又开始走悲情路线了？李秉宪的鼻子是整好了，我现在改看他的笑肌和咬肌            
(3星)	 剧情不是一般的烂啊，以后还是不看韩剧了吧，给三星是因为几个金泰熙            
(3星)	 韩国能有这种电视剧已经很进步了             
(4星)	 结尾模仿的痕迹很重啊！            
(4星)	 果断不解释，泡菜中的战斗机            
(4星)	 编剧西奈orz            
(4星)	 男猪脚死的有点莫名，韩剧就不能有个happy ending的嘛？            
(5星)	 我找虐啊  我手贱啊            
(4星)	 还不错。枪战场面很激烈！            
(3星)	 还能凑活。虽然很多难以自圆其说。            
(1星)	 韩剧拍了N年了，剧情却永远一样，而最好笑的是，总有人对根本一样的剧情尖叫，于是我还能说什么？            
(3星)	 美女            
(4星)	 名副其实的烂尾啊！就烂在最后几分钟！……！            
(5星)	 IRIS！赞！            
(5星)	 剧情很棒 结局很伤~            
(4星)	 因为狗血的结局,扣一星.            
(5星)	 虽然还是感觉没有狗与狼的时间精彩，不过李秉宪跟金素妍值过五星！            
(5星)	 气死我了 总知道手机号吧 这找半天的 啊啊啊啊            
(4星)	 杯具            
(NA)	 bug满天飞 还不给我一个happyending            
(NA)	 看不进去了....只看呆子CUT好了            
(3星)	 一如既往的后半段拖沓            
(NA)	 KBS这回的投入远超当年曾经成就韩国童话的All in，收效后劲不足。            
(4星)	 结局烂透了~            
(4星)	 服了 节奏该紧凑的时候慢得要死 该详述的地方又跳跃 是在吊胃口还是。。。不过还是蛮喜欢             
(5星)	 我不要这结尾啊。~            
(3星)	 看了几集 弃 再后来 发现看个电影版就可以了。。。            
(4星)	 你敢给我悲剧结尾试试看？！(10)            
(3星)	 虎头蛇尾            
(5星)	 期待第九集            
(3星)	 囧人的结局。            
(4星)	 2            
(5星)	 不错，值得一看。            
(3星)	 李秉宪好出彩, 结局好失望, 秋田县和糖之吻都好有爱.            
(3星)	 真瞎 一猜就得有人死 没想到死得那么瞎            
(3星)	 唉唉韩国版的痞子英雄？            
(5星)	 好吧，真的还蛮好看啦。            
(4星)	 IRIS 终究逃不过蛇尾的厄运。            
(4星)	 第7集郑俊浩梳大背头了，转变开始/这部不同以往，男二号是用来恨的，女二号是用来疼的，金泰熙再次面临《爱在哈佛》结尾那样的艰难抉择。选择了良心，选择了爱人            
(5星)	 秉宪大叔 您都40滴银了 则么还系那么帅涅？饼叔，你怎么死了捏？            
(4星)	 其实大概应该给3又3/4个星。。开头不错，结尾收得不行。。很多人觉得结局有很多悬念，我觉得只是编剧大人写到后面只是想要好看的画面和听起来很有意境的台词而忽略了从整体上考虑剧情发展以至于看到后面漏洞越来越多。诶，政治圈里的人，选择和被选择。。金素妍演技很好哈，个么给它凑到四星好了。            
(4星)	 没有想象中的好。剧情在很多时候都有点让人摸不着头脑。不过就是这样呗。总体来说，比唧唧歪歪的泡菜剧好太多了。            
(3星)	 ending...            
(3星)	 不知道为什么不喜欢李哥哥……金泰熙的演技和李哥哥的颜让我减了一颗星星            
(3星)	 拉到最后10分钟 靠 什么狗血结局 降星            
(4星)	 四星为了大T...            
(3星)	 是我喜歡的類型，但不知為何看到中途看不下去了...棄之...            
(4星)	 冒着风险，看了结局……发现，还是喜欢诗妍！！！            
(5星)	 养眼就不说了，剧情一直很紧张跌宕起伏，很完整的表现，但是本人对这个结尾非常不满。            
(3星)	 韩国商业大片也跟着Hoolyfood把政治阴谋特工互K拿来炒巴炒巴，炒的烂糊了吖。不过就喜欢看金泰熙阳光灿烂的笑还有酷似宋慧乔但是又多那么一点点英气的金素妍美眉！            
(NA)	 【2009-10-14】            
(NA)	 完蛋了竟然记不得结局了！！            
(5星)	 李秉宪岁数大了变丑了也真正成了实力派，演技好的没话说。其他演员也都非常出色，与紧张情节一起为我们带来了紧张刺激的视觉盛宴。此剧制作精良，悬念丛生，扣人心弦，每集都像一部电影，棒极了！金泰熙的美特别纯粹，没有杂质，你看着她的脸整个扑面而来的就是纯之又纯的美，永远如昔地动人心扉。            
(4星)	 爱金素妍的短发。酷毙了。            
(3星)	 失望啊，结局看得我莫名其妙，难道还真要拍续集啊，狗血谍战剧，朝鲜特工都穿得跟美国FBI一样，在他国闹市大街上到处开枪，真当自己世界警察啊，李秉宪总是那张苦大仇深的脸，也就和金泰熙的感情戏还能看一看了……            
(3星)	 金素妍演的真帅气！            
(5星)	 很好看~目前为止唯一希望男主和女二在一起的            
(4星)	 居然没记录上...其实还行吧。不会那么情情爱爱的。金素妍真美。            
(5星)	 剧情节奏。。。快。紧张。刺激荷尔蒙分泌。李秉宪真的很man，金素妍看一眼就爱上。            
(3星)	 金承佑大叔闪闪发光，瞬间秒杀我了。李秉宪还是那张脸没什么变化，金泰熙跟高手们彪戏还是嫩点。没看完，有点鬼扯。            
(5星)	 金素妍演得很精彩，完全超越了金泰熙演得女一号这个人物，李秉宪演的也不错，作为女性，喜欢里面思宇这个角色，为了爱人奋不顾身。给人耳目一新的韩剧，拍的很赞            
(4星)	 陪妈咪看了几集和陪鱼小叔又看了几集。            
(5星)	 有爱的大叔~            
(4星)	 正在看，好喜欢李秉宪。很MAN。            
(NA)	 和爸爸一起看完的~~~   李秉宪真帅啊~~   我喜欢女二号            
(5星)	 对善华无法不爱 干练 帅气 演的很有范 女特工就该是她的样子 其实是她陪着男主角出生入死 为他左右            
(5星)	 好吧。我中李秉宪大叔的毒了！！编剧你去死！！！IRIS2也没有复活！！有没有第三季？？？？？            
(4星)	 金素妍好惊艳！！结局太狗血了，扣掉一星            
(4星)	 李秉宪的演技不错~善华是亮点~不同味道的韩剧            
(4星)	 喜欢金素妍 ~~~             
(4星)	 金素妍真的很耐看呢            
(NA)	 美女俊男，又是紧张剧，好看。喜欢金素妍的角色，很帅气执着。            
