http://movie.douban.com/subject/1419297/	越狱 Prison Break
(5星)	 中文《越狱》的配音是台湾人配音的，我觉得配的非常失败，看着那一个个硬汉，说话都变成了娘娘腔，真让人受不了。有点怀念以前的上译的配音，《佐罗》、《追捕》、《尼罗河上的惨案》、《野鹅敢死队》等等，那才叫经典，比起原音来丝毫不逊色，要是《越狱》能让他们配音那该多好，可惜现在却找不到那样            
(5星)	 就第一季能看            
(4星)	 男主果然很GAY 那个小眼神不要太暧昧哦            
(4星)	 For the one  I love, I&#39;m also willing to do everything.            
(4星)	 实话说，哥儿俩谈感情的时候还是够酸的            
(3星)	 第一季五星，后面因为拖戏依次递减。。。            
(3星)	 幼稚园版监狱片            
(5星)	 为什么我一直没点看过～～            
(5星)	 两天终于看完了。。。。哎。。。牺牲了这么多自习的时间。。            
(4星)	 这是个 经典看一看无妨~剧情、演员、尤其是一般质疑米帅为什么会那么多人喜欢的人，看过后就明白了。            
(5星)	 精彩。            
(NA)	 没我想象中的好看            
(5星)	 好好看我好火星555            
(4星)	 很很很精彩            
(5星)	 嗷~~~            
(NA)	 not bad            
(4星)	 他是划时代的英雄            
(5星)	 震撼            
(5星)	 大陆缺乏的电视剧类型            
(5星)	 看的让我心惊肉跳，我的第一部美剧            
(5星)	 把人都教坏了            
(3星)	 剧情是挺紧凑的 Miller也很帅 不过我看到第七集突然就没兴趣了 弃            
(3星)	 越半天还没成功..真无聊..            
(5星)	 啊啊啊啊~你是希腊雕像的化身            
(NA)	 喜欢这个色调            
(5星)	 大一时看的第一部美剧，只看了一季，心脏受不了就放弃了，不过的确很精彩            
(5星)	 记性太差了我，以后老记不住的道理就纹在身上好了            
(3星)	 其实还是一般啊，要不是米勒够帅，第一季我就看不下去了。            
(5星)	 我爱天才~            
(NA)	 吗的，高三买的碟，却提不起兴趣..拖到现在才看，悔.补课ing.    ps:我爹看得都比我多了..             
(4星)	 最后一集完全没必要            
(5星)	 终于看完赶上同步了。好久出下一集哦？            
(NA)	 米帅            
(3星)	 只看过第一季            
(4星)	 就应该一季搞定。            
(5星)	 一集不差的看            
(NA)	 喜欢T-bag……            
(5星)	 一环扣一环。一集接一集。。爽            
(4星)	 喜欢这个故事，喜欢这种紧凑。男主角很帅。            
(4星)	 被我荣誉冠名为《越了又越》，第四部现在进行时～            
(4星)	 仅限第一季。            
(5星)	 第一季完事最好            
(5星)	 just have a little faith            
(3星)	 第一部最好看            
(NA)	 哈哈。了解美国监狱系统的一部好片~            
(4星)	 永远忘不了看这部剧时候的紧张气氛            
(4星)	 太拖沓            
(5星)	 无论如何，Michael还是很帅的。            
(NA)	 那叫一个风靡啊，不过看了《肖申克的救赎》我就没看了哈哈。            
(5星)	 等着第四季呢！！！！！            
(5星)	 好看啊好看，惊险啊惊险，刺激啊刺激，欲罢不能啊欲罢不能~可是竟然还没完？            
(5星)	 Michael帅。帅帅 。            
(5星)	 帅呆了            
(5星)	 怎能不爱，最经典的美剧。            
(5星)	 第一季...足够            
(NA)	 快点完事吧 我等着呢            
(5星)	 里面的人想出去，可是心却总是逃不出这块地方            
(5星)	 My dearest Went            
(5星)	 第一季不可否认还是很经典滴。            
(NA)	 刚看得时候还多新鲜            
(5星)	 还是第一季好看~扣人心弦~监狱的爱情            
(3星)	 最喜欢的美剧 第一季好经典 可是越到后情节越让人郁闷 SARA的死就是其中一点            
(NA)	 越獄            
(4星)	 看到第三季13就没了还想继续看啊美编剧 罢工不要把越狱也罢进去嘛            
(4星)	 米帅散发着令人窒息的美            
(3星)	 偶不怎么迷恋            
(NA)	 Prison Break            
(4星)	 本来不喜欢看电视剧，但是觉得这个还满有意思~            
(3星)	 看了男主的脸就想抽            
(NA)	 就这一季不会太傻            
(NA)	 看了第一季的前2集，不用猜也知道最后肯定烂尾了吧            
(5星)	 第一季最好看~            
(5星)	 情节很紧凑，故事还是满有悬疑滴            
(4星)	 强大的第一部，越来越不想看第二部，第三部            
(5星)	 十分精彩            
(5星)	 唉，还是第一季比较好啊……            
(3星)	 一惊一乍，乱七八糟            
(4星)	 第一季，精彩。后面的……不予置评- -            
(5星)	 第1季还好看些~``            
(4星)	 第四季很垃圾，编剧明显已经江郎才尽了            
(NA)	 ……看了一些看不下去了算看过啊            
(5星)	 第一季的確很好看啊。            
(NA)	 太经典了            
(5星)	 人人都爱米帅，为啥我比较喜欢Sucre和Lincoln呢            
(5星)	 不必多说，全民大《越狱》！！！            
(5星)	 太多戏外的东西影响了这部本该不错的戏。。。            
(NA)	 Season 1那是必须牛B吖`            
(3星)	 第一季还行，觉得很紧凑，第二季看不下去鸟            
(4星)	 我又遭烧了            
(5星)	 喜欢，剧情好好，应该是从这部连续剧开始，喜欢上美国的电视剧的            
(NA)	 美貌与智慧的化身 正义与勇敢的使者。            
(5星)	 怎一个帅字了得            
(4星)	 越来越差            
(5星)	 觉得没一季超过了第一季！            
(5星)	 第一季太强了，但拍到第二季就该完了，多好呀，现在弄个第三季，不得行。            
(5星)	 恩，我是看了2季之后才看1季的，顺序比较颠。            
(NA)	 第三季没仔细看            
(5星)	 他怎么就能停播了呢!!            
(NA)	 第一季是最精萃的            
(NA)	 第一季的经典无法逾越            
(NA)	 爱。            
(5星)	 我老爸也喜欢看...            
(NA)	 like only like             
(3星)	 没完没了就是这样的~~            
(NA)	 第一部看起太紧张了！～不过第二部开始感觉下降。            
(4星)	 前两季还是很不错的。            
(NA)	 帅就一个字～嘿嘿            
(4星)	 终于结了            
(NA)	 紧张            
(5星)	 cool            
(5星)	 &#34;精心策划的电影&#34;            
(4星)	 有这么好看么？还行吧`            
(4星)	 相较之下，还是第一季最扣人心弦            
(4星)	 很精彩的剧集 墙内不红墙外香的代表性剧作之一 没传说中那么优秀 但也没想象中那么中庸 如果喜欢情节紧凑和悬念迭出的剧情类美剧 这部十分值得推荐            
(4星)	 不得不说，虽然这并不是最好的美剧，但绝对是最火的美剧。            
(4星)	 是他的无敌粉丝，现在不是越狱了，是进狱了。            
(5星)	 重看            
(5星)	 强！            
(4星)	 第一季好多了，最爱sucre            
(NA)	 好看啊            
(4星)	 那时候好多人逃课回家看            
(5星)	 妈妈看到一点钟            
(3星)	 已经不再期待下一季了            
(4星)	 不错， 好，跟普通美剧不一样            
(3星)	 第一季.有齐我喜欢的元素..最重要在&#34;监狱&#34; (我是个监狱环境爱好者)之后..我真的看不下去..            
(5星)	 love it ！！！！            
(5星)	 第一季很爱,不过现在已经没什么感觉了..            
(5星)	 智慧啊，不過還是爛掉了(淚)            
(4星)	 最不喜欢的就是，越狱里每次逃犯准备做一件事的时候，无辜的人总是会发现那张扫兴的通缉令            
(4星)	 第一季很强大            
(5星)	 第一季后就比较汗            
(4星)	 出着出着就往故弄玄虚的方向上去了 但片是好片吧！            
(3星)	 很热门的剧集            
(5星)	 ????            
(5星)	 超10分的电视剧。            
(NA)	 帅！            
(NA)	 just have a little faith            
(NA)	 很爱爱！            
(4星)	 第一季赞啊…            
(NA)	 等待三。            
(4星)	 第一季还是挺激动的。            
(NA)	 第一部越看越好看，第二部越看越难看            
(NA)	 等待下季。            
(NA)	 真的爱上男主角温特沃什 米勒             
(NA)	 老美的别样英雄            
(5星)	 在中国火成这样也是有道理的            
(5星)	 惊艳~~小JJ太漂亮了...            
(4星)	 想到3点：其一，为个人目标的达成，牺牲他人利益，是否公正；其二，以自由为诱惑，践踏自由之底线，有否这样的权利，又是否正义；其三，第一季后半部终以鸟瞰方式对主角逐一回顾，我便有种感觉，越狱仿如罪人的赎罪之旅。            
(4星)	 和肖申克的救赎 很像！我还是很上瘾！            
(5星)	 Wentworth Miller            
(NA)	 不错            
(1星)	 编剧用先天不足的智商荒诞不经的逻辑和满目疮痍的剧情创造了一部全中国人民齐声称赞的“完美”电视。            
(5星)	 剧本写的太棒了，那哥们一定学过心理学            
(3星)	 记号：看到第十集。            
(5星)	 米帅最美好的时刻PB season1            
(5星)	 连续剧就是连续剧            
(3星)	 喜欢，仅限逃出去以前。            
(4星)	 超好看！            
(5星)	 rmvb            
(5星)	 你，怎么可以帅成这个样子            
(5星)	 精彩超乎你想象            
(NA)	 米勒帅毙了 cute            
(5星)	 Tattoo。            
(5星)	 总觉得第二季没第一季好看了..            
(4星)	 集IQ+EQ的大帅哥为救老哥逃离监狱，和莎拉的感情是若隐若现，真是吊走了胃口，他又将往哪去呢            
(NA)	 除了经典，还有什么可说。            
(NA)	 单纯好看            
(3星)	 实在看不下去            
(5星)	 S2是强弩之末了            
(5星)	 经典 后面无论在拍多少季都难以超越            
(5星)	 T-bag            
(NA)	 ?????? ???? Խ??            
(5星)	 一旦开始看就无法自拔。我们都中了PB的毒。            
(5星)	 我是米迷！！            
(NA)	 天杀的大帅哥.陪某农民看了第二遍.            
(4星)	 刚开始很兴奋，后来就烦了:丫怎么还不逃出去呀!!            
(4星)	 怎么说呢，是好剧，但不是最适合我的            
(5星)	 还有啥不爱你的理由啊?!            
(5星)	 好剧本!!!!            
(5星)	 第一季的精彩不多说            
(4星)	 孩子百日咳 父亲当年没准也是很精壮的...            
(NA)	 在绝望中寻找希望，囚犯终将越狱。            
(NA)	 天才演绎的神话.            
(4星)	 估计喜欢这部片子的都是被第一季勾上的。            
(NA)	 一个字：帅！！！拍得太帅了，集集精采。            
(NA)	 i am nobody.            
(5星)	 每年只看一部连续剧的``05年是亮剑 06年的越狱            
(NA)	 政府就是最大的黑社会            
(5星)	 主角太帅了 咔咔            
(2星)	 2006-11,找到工作以后            
(NA)	 不管是剧情还是人物都好帅            
(5星)	 第一季真的相当牛            
(3星)	 第一部较有新意，演员的表演也很不错，如果没有猜错，第二部以及以后的，将会越来越yy            
(5星)	 ！            
(4星)	 嘿嘿，终于下到了，校园网上的好人啊～            
(4星)	 迈克尔除了没把裤头穿在衣服外面,和超人没什么两样            
(5星)	 两星期出一集.逼死人...            
(NA)	 是迄今为止自己认为最刺激的美剧,之后还有Lost            
(2星)	
(NA)	 还是没能吸引我看完            
(NA)	 米勒长得象我以前一个高中同学.            
(5星)	 唯一的偶像            
(5星)	 好莱坞的编剧大概全去编电视剧了.很精彩,周围很多人也在看.现在流行看美剧了.            
(NA)	 美式水果拼盘            
(5星)	 不错...            
(5星)	 FABULOUS            
(4星)	 第一季的確讓人眼前一亮,可惜第二季就一狗尾續貂.            
(5星)	 cool            
(5星)	 很惊险刺激            
(3星)	 本来对第二季也没抱什么期望            
(NA)	 晶晶的最爱，我也跟着看了不少~            
(5星)	 oh~wentworth miller~            
(5星)	 帅哥            
(5星)	 这个连续剧非常好看。不过暂时只出了第一季。            
(5星)	 love wentworth            
(NA)	 喜欢！！！我搜索Prison Break怎么就没有。            
(4星)	 Season 2 ing            
(5星)	 晚节不保啊，but，依旧经典            
(4星)	 FESTIVELY PLUMP Went since returned            
(4星)	 米勒            
(3星)	 越看越没劲。。。            
(4星)	 关注中            
(4星)	 男主角太太太太太帅了...            
(NA)	 看过几集，没有特别想看下去            
(5星)	 只看了第一季，因为觉得第一季是最赞的。T-Bag无疑是十分成功的角色。            
(3星)	 【这是为了今年阅片量凑数的！！！这是为了今年阅片量凑数的！！！剧情导演背景都知道啊都知道！！！！】            
(5星)	 相见恨晚，对得起我的智商。。            
(5星)	 剧情方面我力荐第一季，英语学习方面这几季我都力荐            
(4星)	 第一第二季真正吸引我            
(4星)	 当年只看了一季            
(4星)	 前三季不錯，緊張刺激，劇情也夠張力，但是第四季漏洞百出，很多地方太牽強了。第一次最有貢獻的就只有T-BAG那句臺詞：我們每個人都活在自己的監獄中。            
(NA)	 累死爷            
(5星)	 记得那时候和妈妈一起看来着            
(4星)	 我本来还打算只看一季的，尼玛这个结尾让我情何以堪~另，男主这么帅是想诱惑死谁啊！！！！那个眼神~啧啧啧啧~~~~~            
(5星)	 好看死了！好后悔刚刚出那会没看，第二季没第一季好看了，还是牢里的日子刺激，出去的时候大家都分开了。不如团结的时候好看，但是要继续追。看越狱人的比越狱的人还要紧张，看的我的小心肝哟~受不了了，里面的人好喜欢说Son of bitch            
(5星)	 当时真的很喜欢啊~            
(5星)	 果然变成美剧迷是因为这个……            
(5星)	 啊啊啊啊啊            
(4星)	 可惜烂尾了            
(NA)	 还是在上外时看的            
(4星)	 为了保留良好印象就看过第一部！            
(4星)	 第一季很不错，后来就so so。喜欢T-bag，真邪            
(4星)	 不是我的菜~            
(3星)	 我真的没心思看下去……这是为什么            
(3星)	 真复杂~~            
(5星)	 青葱时代··            
(5星)	 节奏紧凑得我没力气追第二季了...            
(NA)	 看了好几年            
(4星)	 第一季还是不错的~ 在课上给学生放~大家都High了~~ = =。            
(4星)	 不能多看 一度经典·            
(NA)	 太虐了            
(4星)	 可以。            
(3星)	 美剧通病，都在第一季高潮            
(5星)	 这可是买碟熬夜干掉的啊！！！            
(5星)	 我比较重要的那段时间里            
(5星)	 06年姗借我的碟看完的。            
(4星)	 真是经典之作！            
(NA)	 我后知后觉的泡澡的时候看着            
(2星)	 男生的我不爱            
(4星)	 其实我真的没有看过            
(5星)	 闻名不如见面，故事紧凑连贯环环相扣。喜欢John Abruzzi 很有黑帮老大的范儿，可惜第一季就死了。            
(5星)	 第一季牛Ｂ            
(5星)	 重新回顾越狱，发现最好看的还是第一季。            
(3星)	 对这种题材始终无感╮(╯▽╰)╭            
(5星)	 太帅了太帅了太帅了~！！！            
(3星)	 纠结啊，抓狂啊。            
(NA)	 打小就怂逼窝囊 怕麻烦怕事的主明白个事 低调做人的好            
(NA)	 我的抗压力好低..&gt;&lt;            
(4星)	 额，就看了一季，口音不喜欢。            
(NA)	 经典            
(3星)	 根本没法和《24小时》比，监狱骚乱那集是最爱            
(5星)	 第一季确实是不错。            
(5星)	 可惜是个GAY            
(NA)	 真滴……觉得好刻意            
(4星)	 女主角永远向下歪着嘴角。看了就是一张愁苦的脸，太不喜欢了。            
(5星)	 第一部美剧，一直追完            
(3星)	 第一季好看 我怎么现在才加            
(4星)	 这几天想死我了，终于一口气看完了。。            
(5星)	 不需要废话评论的片            
(4星)	 第一季永远的经典啊            
(5星)	 智商正无穷的男人            
(4星)	 05年12月开始追 第一季多抓人啊 高水准 记得演到第九集时停播了个把月 挠心            
(NA)	 茶包演技太好了 迷            
(4星)	 只有第一季可以给四星            
(4星)	 弟弟发现哥哥被冤的真相大白，为了洗清哥哥的清白而情愿充分利用自己的能力拯救哥哥和侄子，还有偷了他心的最爱心女医生。            
(5星)	 很好。            
(5星)	 经典，第一季没的说            
(5星)	 原来翻墙如此简单            
(NA)	 对知识的追求、对爱的渴望、对苦难不可遏制的怜悯            
(3星)	 真是一部有些无聊的电视剧啊...看完了又低了一星..没心情看第二季了..            
(5星)	 我爱迈克····            
(5星)	 美剧启蒙            
(5星)	 还是第一季最经典            
(4星)	 越过的也许更多是自己。            
(5星)	 perfect...            
(3星)	 前半好看，后半扯淡            
(4星)	 身材挺拔笑容纯净眼神暧昧角色深沉，再加上这么好的剧本，不红没天理啊，还管什么演技呢。            
(5星)	 剧情0漏洞，PS：米勒帅毙了            
(5星)	 神作            
(NA)	 女医生死了？他们逃走没？            
(NA)	 第 12集  始終看出破綻  越走越多人哈哈            
(5星)	 第一季真的是追着看的 到最后一集逃出去大家都在跑的时候 心里那叫一激动 其实我喜欢T-bag            
(5星)	 Michael身上有我对男人的全部幻想。            
(5星)	 三峡大学4#307            
(5星)	 唯一的一部美剧。从一季到四季。看一集等一集，一集都没落下。            
(4星)	 他们怀着不同的目的，拥有不同的背景，就把他们当个P吧            
(3星)	 只有第一季可以看看            
(5星)	 虽然有点晚，但还是想说，真的很精彩！            
(5星)	 终于看完了。第四季很狗血。            
(5星)	 环节紧张 情节刺激 主角很帅            
(NA)	 承诺            
(3星)	 凤凰台在放            
(5星)	 太精彩了！怎么会有Michael Scofield这么完美的男人！！            
(5星)	 逃出来你还看毛            
(3星)	 1~4            
(5星)	 可以看进去这类剧~我用敬佩的眼神望着自己~~  惊魂每一秒...            
(5星)	 我就看过这一部            
(4星)	 人物位置的轉變            
(3星)	 只看了一二季 还记得同志们纷纷致电我在美注意安全。。。            
(5星)	 断断续续的完成了观看任务,意外的好看,各位的演技绝对没话说.            
(5星)	 心脏时刻悬着、、、被米帅的眼神秒到了、、、高中重要元素之一~            
(5星)	 米帅帅死了！！为啥是同性恋呢。。伤心。。            
(5星)	 记得那时看的很投入。            
(5星)	 第一季真是好，第二季真是看不下去            
(5星)	 第一季很牛叉            
(5星)	 英語老師介紹的美劇，大學四年，跟了四年            
(5星)	 第一季堪称经典            
(5星)	 第一部最好看，看得人惊慌失措，又小失落            
(NA)	 还行            
(5星)	 第一季            
(5星)	 看完第一季就夠了，他們再越下去都可以越到麥哲倫星系了。            
(NA)	 全国人民都看完了，我才看！            
(NA)	 s1-16记述前传。            
(5星)	 两年前连续若干天看了第一季和第二季。看了第二季后就没有欲望往下看了，一是出得慢要等，而是除非比第一季好看，要不还看干嘛。第一季真的是精品。            
(4星)	 也算是狗尾续貂的典型了。。。好在最后安静但让人惋惜地终止了。。。            
(4星)	 还是好看的            
(4星)	 人生第一部经历完结的美剧...            
(4星)	 Not the best ending. But the ending has the best moment.            
(NA)	 the witer is a prick            
(5星)	 唯一纠结的是那个结局,犹豫着要看第二季么?            
(4星)	 越狱1的确精彩，2就一般般了，编剧的问题吧，感觉都是拼拼凑凑出来的。            
(5星)	 真是喜欢的不得了！从来没有那么迷一个外国人，是米帅让我好不容易国际化了一回呢。呵呵o(∩_∩)o...喜欢喜欢。            
(3星)	 看到第2季，就不爱看了            
(NA)	 我只看第一部。后来不喜欢。            
(3星)	 越看越累，越编越瞎！！            
(5星)	 经典            
(4星)	 紧凑的情节、紧张的气氛、吊人胃口的故事、英俊智慧冷静的男主角是导致对这部影片欲罢不能的原因所在~            
(5星)	 无语了，本不打算看，看别人看呢，结果看了大概10几分钟，就马上回去开电脑自己从头看了。1确实还不错呢            
(5星)	 一季真是大赞，开创我的美剧观看史。            
(4星)	 没完没了却味道十足            
(4星)	 显然从编排和驾驭能力上越狱不如迷失，不过有他独到的地方就是对于困难不断的偶发产生，很戏剧也很反应现实十分不错！虽然里面很多设置很幼稚和不现实，不过在人物的心态想法做法上表现不俗。michael几次牺牲自我撞头背部烧伤断指自残真的很伟大，要想得到不一般的东西，所谓的牺牲真的很巨大            
(4星)	 有个不死人。。。变态呀。            
(3星)	 1-12四星；13-18二星；19-22四星；结局太商业,一星。总评:三星。            
(5星)	 相当纠缠人心的一部剧，很棒~            
(5星)	 只看了第一季            
(NA)	 Miller实在太帅了            
(5星)	 力荐只限于第一季            
(4星)	 仅限于第一季            
(4星)	 1还行            
(3星)	 我只能说不适合我，没有看下去的欲望            
(5星)	 像我这种后知后觉的人。。。真实太弱了。            
(4星)	 也忒郁闷了            
(NA)	 看了两季,后面的看不下去了....            
(5星)	 美剧启蒙,起点还挺高            
(5星)	 哦页,二十一世纪美剧经典,不会过时            
(4星)	 我不得不说，直到第二季，它都是美剧新浪潮的代表。            
(NA)	 第一部美剧   值得纪念            
(5星)	 果然第一季最强大。            
(5星)	 真棒！            
(5星)	 第一季那是经典吖。只要看了一集就停不下来了。必须要看完滴。第二季三季一般啦。第四季的回归很棒吖。但是Micheal的死很牵强吖。摆明就是为了让他死而让他死。            
(1星)	 美国版奋斗            
(5星)	 wonderful~希望的时候给人绝望，绝望的时候给人转机~            
(5星)	 还是第一部最经典了            
(5星)	 看帅哥~            
(5星)	 可惜我只看过一季。寒假补！            
(3星)	 不感冒            
(5星)	 前年看的，实在太棒了            
(4星)	 挺好            
(5星)	 一直在追着看            
(5星)	 看在SEASON 4越拍越好的份上，给五星了~            
(NA)	 还是第一季经典            
(5星)	 帅的真是惨绝人寰啊            
(4星)	 紧张刺激全在第一季给我的感受..            
(5星)	 太牛逼了，心脏承受能力变弱啊...那个文特沃斯太帅了。            
(5星)	 这里五颗星只能代表这一季。。！            
(NA)	 让自己聪明点            
(5星)	 还不错，能拍这么多就说明很能编 。能编这么多就不错了。            
(5星)	 以前看过几集，没有特别大的继续追的动力，唯一记得的三个场景，纹身，剪脚趾头，还有就是那个变态因为别人嘲笑他的身世打架那一段。看完第一季了，好看，看进去了，准备短期内把四季都看完，scofield和sara的那一吻啊。            
(4星)	 看得很激动，一下子全看完不吃饭不睡觉那种            
(5星)	 看过season1            
(5星)	 Scorfield~大爱~            
(4星)	 全剧中，迈克最后死了~            
(NA)	 力荐第一季            
(3星)	 本剧终止于S01。当实在没东西看的时候也许会纠结的看后面的。            
(1星)	 掰吧掰吧你就掰吧～            
(4星)	 弃            
(NA)	 从第二季下半节开始 我明白了一个道理 真NM罗连啊            
(4星)	 第一季还行,越来越觉得没意思了            
(5星)	 My favorite            
(5星)	 驚心動魄            
(4星)	 所有女人梦想中的经典男人            
(5星)	 米勒是帅帅滴            
(5星)	 新派小生米勒，超酷的纹身，超赞的头脑，超级变态的那个谁            
(NA)	 應該是不會看膩的哦 可怎麽老早就開始膩了            
(4星)	 国庆长假看了19集，今天补完。            
