http://movie.douban.com/subject/6013893/	城市猎人 시티헌터
(4星)	 中间真的看不下去了。。但是结尾几集很喜欢。。检查官太惨了好吗！全剧只有亲情戏感动到我。。            
(3星)	 这结尾究竟是为哪般啊..            
(4星)	 唉。。只是为了看帅哥啊。。。李敏镐真是极品帅啊。。。            
(5星)	 好看~~~            
(4星)	 虽然很多漏洞和不符合逻辑的地方，但情节还比较引人入神，也比较紧凑。。。            
(3星)	 第一集很感人啊，后面就烂了，不想看了            
(3星)	None
(3星)	 小伙子可帅了但是没有高以翔帅。            
(4星)	 终于看完了，原来男女情是副线，父子情才是主线啊            
(3星)	 此电视剧极不和谐，怎么能在伟大的天朝的网络上传播呢？必须全线删掉才对！第十四集自己刺手的时候有穿帮，拔出来的时候左手没有血，转身离开的时候受伤满是血。            
(4星)	  李民浩 李民浩 李民浩 李民浩 李民浩 李民浩            
(4星)	 感觉有点IRIS的风格，我觉得男猪穿黑色比风衣好看，身材真棒，帅惨了，就是结局一般            
(3星)	 剧情太夸张,,,唯独男猪脚养眼吖~            
(3星)	 剧情很狗血思密达            
(5星)	 制作班底非常用心。女主角再也不是又蠢又穷的灰姑娘了，金娜娜你好勇敢。            
(5星)	 李民浩太帅了吧！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(NA)	 李民浩啊李民浩，你长得帅就算了干嘛每次都演这么好的男人嘛！            
(2星)	 故事漏洞太多，处处看见BUG，总觉得韩国警察和检察官都是摆设用的。这货和漫画半毛钱关系也没有，就是捡个便宜宣传道具。话说，韩剧玩这样的警匪戏，还是差很多口气，玩的就是帅哥和美女，完全没有韩国电影那么给力，真是浪费了这么好的题材。上次看到朴敏英，还是《搞笑一家人》，上升势头很猛。            
(NA)	 为毛这部作品第一次被翻拍为电视剧 却是让泡菜国拍咧？北条司老师不是很挑剔的么？            
(5星)	 看到第五集我终于忍不住要吼了！！！！李敏镐帅屎了啊啊啊啊！！！囧，第一次觉得他好帅也...不过说不定看到结局后我会少几颗星...            
(NA)	 e6弃，明明主役都很有爱，诶            
(5星)	 李民浩太帅了！！！爱死            
(5星)	 超爱超级好看的韩剧啊&gt;&lt;!!!爱死了！            
(3星)	 韩国人的灰姑娘情结怎么这么严重啊！朴敏英，我的理想型~            
(3星)	 以为是偶像剧才看的，艰难看完第一集，弃之...            
(2星)	 不喜欢男主，虽然是宣传看多了冲着他去的，怎么在那种环境下成长起来的孩子还那么优柔寡断呢，还不如他养父帅。高帅富倒是的确。女主嘛，性格就是一般偶像剧的女主。没意思。还有，男主不是从小枪法肉搏一路严格训练出来的嘛怎嘛那么弱，一直被女主背摔⋯⋯            
(1星)	 棒子主旋律去死一死好吗，北条司躺着也中枪，还不如看成龙大哥耍功夫呢！            
(4星)	 真的很好看.. 男主角竟然和我同年同月就迟我一日生日!!             
(2星)	 编剧你妹！“我就是把《城市猎人》当李敏镐的大头贴和大腿贴十连拍看的”+1            
(4星)	 最后结局太潦草了，估计是因为编剧在开头挖坑太大了，填不上去了            
(4星)	 还是对 李敏镐 花痴了 诶            
(2星)	 看着玩吧            
(4星)	None
(2星)	 除了帅哥美女还有神马= =            
(3星)	 看了一半看不下去，也不觉得男猪多帅。。。- -            
(1星)	 我导师喜欢上了李民浩，我来围观下。            
(3星)	 那个什么娜娜的 要不要整容的这么不真实啊，那个下巴都要脱节了啊~~哎            
(NA)	 李民浩腿真长,金娜娜真漂亮!!!            
(5星)	 结局怎么这么凄啊            
(5星)	 看了都會愛上李敏鎬。            
(4星)	 的确帅。。            
(3星)	 吐槽点很多啊 不少情节都没有办法自圆其说 啧啧            
(4星)	 禁不住大家说，3天看完，还是有点狗血，不过女主角很像我认识的一个人~~            
(4星)	 最后一点烂尾了，不然真会列入最爱清单之中啊。不过仍是精彩的一部戏，尤其节奏的安排很赞，虽然剧情方面有很多漏洞，但好的节奏有时可以起掩饰和转移的作用！            
(5星)	 李民浩太帅了            
(NA)	 看了五集，弃之。公平点，不打分。            
(4星)	 不能带脑子，看美色就行            
(4星)	 居然会给一部脑残韩剧四星：1全剧的整个报仇计划和行动其实都始于李镇表和朴武烈的基情有木有！他们俩才是真爱啊！付出生命救对方和付出生命也要为对方报仇、终身不娶和娶了怀了别人孩子的女人这些都是证据啊！2我最喜欢的是金英株和李镇表啊！结果是全剧中唯二死掉的两枚男主，这种跌宕让我很是满意啊            
(4星)	 男一男二女一，一人一颗星。男主角的命真是和腿一样长啊……长腿也给一星好了XD            
(4星)	 男猪好靓仔女猪好靓女！剧情紧凑好睇~            
(4星)	 李明浩不需要演技 就往哪一站 我看着就高兴就乐了 长得好看就是养眼            
(3星)	 不是韩饭 看这个 才能理智评价- -            
(5星)	 帅啊。            
(4星)	 韩剧主角长得帅是必须的。结尾有点狗尾续貂            
(3星)	 喜欢他所有涉及的悖论。这才是这剧的焦点，至于有些人说的剧情简单漏洞百出，可以忽略吧。            
(4星)	 结局不给力啊~~~虽然剧情依旧狗血~~漏洞百出（其实前边还算紧凑 ，结尾处也很会吊人胃口）~~~可是这样的男主上哪去找第二个啊？ 就只看李民浩也值了~~            
(3星)	 说实话不知道这剧为啥那么火……只看了五集就没追了╮(￣▽￣&#34;)╭ 李敏镐的嘴巴和脸型实在不是我的fu~            
(3星)	 我确实想给三星半            
(NA)	 我又看出了基情。。。李民浩你这个男女通吃的家伙！            
(5星)	 猎人与检察官的爱情故事 ﹁_﹁            
(2星)	 开头我还以为这剧是今年的IRIS，看到后10集深深觉得棒子白痴无药救啊，乃还能更脑残一点吗？两颗星给帅哥。            
(1星)	 鑒於男2白白死了我就給你一顆星！！！一顆星！！！！！！！！！！！！！！！！！！！還有你告訴我為毛李民浩的鼻子那麼像比諾曹！！！！！            
(3星)	 小眼睛女二号忒性感了            
(5星)	 此乃现在我临睡前窝在被窝看的电视剧，只是有时候动不动就看上瘾了，然后又是凌晨才睡.....             
(1星)	 女猪脚那脸能再偏一点嘛～～剧情能再烂一点么～连带着帅哥都米感觉了～哎～            
(3星)	 真彪爱的是武烈，李民浩很帅 o(*￣︶￣*)o            
(3星)	 ......扯            
(4星)	 那大长腿。。那小蛮腰。。。则啧啧            
(NA)	 被我妈逼着看的....平均每集我妈要感叹五次男主长得好标志= =我到最后一集了还在问我妈到底那个才是女主.....长得都一样不是嘛!!!            
(4星)	 其实偶更喜欢男二            
(3星)	 结局不喜欢  好多穿帮 漏洞诶,,男主角刚看的时候还觉得挺帅 后来越看越不帅             
(3星)	 浩哥滴长腿是支持我看完此剧滴动力            
(1星)	 内个女主稍微动作大点我都害怕她五官掉了，男主捏她脸的时候我都替她疼，都是真心话，实在看不下去让我担惊受怕的电视剧，弃~            
(3星)	 男猪脚帅！ 剧情太一般了！            
(NA)	 坚持了几集。我觉得这坨剧是一朵奇葩，不管你信不信，反正我信了。大韩民国产的肥皂剧居然也用苹果，配乐用了《盗梦空间》和《珍珠港》。。。也许是想整出个男版的Nikita，结果不小心成了韩版的“把拔马麻再爱我一次”……            
(4星)	 虽然看完了 顿时觉得空虚了- -、            
(3星)	 虽然还是很偶像剧有很多很偶像剧莫名的桥断巧遇和安排。可涉及到的政治腐败的问题也正是中国当下很严肃的问题，好象带着某种希望，其实却是很幻想的。所以城市猎人产生了。剧中的演员也给这本剧加了很多分。            
(4星)	 剧情有些稚嫩。            
(5星)	 寒羽良，已成过往。李润成，再造辉煌。这是一部没有性，只有爱，没有三角恋，只有苦命鸳鸯，没有忠诚，只有背叛，没有主旋律，只有反腐败，没有法律，只有正义的时装动作翻拍戏。            
(3星)	 期望越高，失望越高啊～                 
(3星)	 后半部好无趣。。            
(NA)	 李民浩的脸还真是不错啊，还有身材什么的，小细腿儿什么的……我要看完了！            
(4星)	 看到了第四集，有个疑问 为什么韩国人顿顿都吃方便面？还不掉头发。            
(4星)	 两星给李明浩的长相，两星给李明浩的身材，剩下一星扣给编剧们神一样的傻逼逻辑和泡菜国剧神一样的白血病天人永隔的剧情。。。。。            
(3星)	 虎头蛇尾            
(4星)	 型男是一种信仰！！！            
(5星)	 我发现现在中国更迫切的需要城市猎人的出现            
(4星)	 背负仇恨的活，只是为爱觅得一丝希望。好吧，我承认，我是为了看李民浩和朴敏英。男猪脚真的太像言承旭加元彬，但比他们俩都帅！有木有！编剧很多不合理，却奉献成无数笑点。因此加一星。            
(3星)	 好吧，李民浩笑容治愈了我苍老的心  ps：女一是按李多海，男二是按宋承宪整的吧？            
(3星)	 狗血的结局毁了整部片            
(3星)	 除了男猪脚，没的看            
(3星)	None
(4星)	 切，果然是北条司。受不了什么男二必死的设定，我一看到那点我就知道你丫要死，死你妹啊死死死死死死死死，没有必要的牺牲！！还有你们是互相挡子弹挡出瘾了嘛，什么都挡！！            
(4星)	 看颜给星女就是我            
(2星)	 真心拖沓死了好么。跟iris大题题材一致了好么。看开头知道结局了好么。跟漫画没关系好么。无爱好么。分数虚高好么。没人觉得城市猎人特别假么？太假了好么！！！一个变态领着一个软弱的耍帅大众脸男一号和鞋拔子脸男二号进行着不可能发生的装逼事儿。不过，女一那种可爱类型没有抵抗力。            
(5星)	 2011，韩剧最佳。4.5分。最后父子终于在血泊中牵手的时候，我哭了。            
(4星)	 典型的韩剧～这剧只是为了李敏镐拍的吧！简直到了不顾一切不择手段令人发指的地步，如果是天朝的剧，我恐怕会怀疑李敏镐是不是全剧组的人都潜过。            
(4星)	 四星全是给美色啊，看这种剧不能用逻辑的······            
(4星)	 女主不好。            
(NA)	None
(NA)	 我还是不能免俗。全是因为朴敏英去看的。因为实在忘不了《搞笑一家人》里的种种。            
(3星)	 金英珠。            
(3星)	 韩剧就是好拖。。。这种剧情明明要紧张一点的啊            
(4星)	 还成吧            
(NA)	 脸，腿儿，枪。            
(4星)	 男主順眼，女主丑爆            
(4星)	 看在李民浩够帅的份上给的四星。。。结局太无聊了            
(4星)	
(3星)	 人生追的第一部韩剧啊,完全是冲着美女俊男追的.前半段5星,后半段1星.            
(4星)	 严重怀疑这片子的导演、编剧或者制片中有中国人的影子。            
(4星)	 一开始以为是一部打着城市猎人的幌子其实是灰姑娘与王子的老套韩剧 看到最后觉得还蛮好的诶 李民浩身材不错！！！            
(3星)	 样样情节占尽却样样不精彩。女主角到最后部分沦落为打酱油，城市猎人可以改名叫亲密爱人。像杂烩，啥都有，啥都吃的不尽兴。但因为是觉得不尽兴，说明还是有值得一看的部分。但是，不如《大物》啊。各种演技不如，各种形象不如，各种情节不如，各种节奏不如。            
(3星)	 摇个大旗，终于完结了。最后两集灭了我最爱的金英株检察官和李真彪。其实他两才是丰富立体的人物形象啊~            
(4星)	 对真性情的人 怎么都恨不起来 同样是死亡 大叔的更催泪            
(2星)	 韩剧也就只能这样了，好人死光坏人活着，啧啧啧            
(3星)	 据五爷说软妹们都在看这个,于是稍微看一下.以为真的是改变漫画,结果其实是胡扯,一点儿漫画的影子都没有.前面节奏啥的都还成,结果越看韩剧的通病越明显,拖拉什么的最讨厌了好吗!            
(3星)	 比《秘密花园》差远了……            
(NA)	 和漫画无法比。就是男猪脚实在诱人，看到那张脸就感觉要软化了…            
(4星)	 润城哦吧~~~~ ¯﹃¯            
(NA)	 面对帅哥从来不需要理性思密达~            
(3星)	 披着“猎人”的皮玩暧昧。谁能告诉我总统女儿是谁演的？这小丫头戏不多但挺出彩的。            
(NA)	 李民浩和金英株才是一对。男二死的好可惜。结局好仓促。女主沦为配角。。            
(4星)	 想打4星半，看过的韩剧很有限，但这部的确大爱~❤            
(3星)	 李民浩越看越像言承旭昂 附体么- -            
(5星)	 李敏镐！！！！各种有型各种惹人爱啊！！！！！            
(3星)	 除了开始金三角那段有点新鲜，接下来就开始走韩剧的老套路了。。。            
(4星)	 这应该就是这个社会真实的丑态吧~~中国也应该去拍这个剧！            
(3星)	 第一集还不错……后面完全是李民浩的个人秀了……            
(1星)	 别侮辱北条司            
(4星)	 写完论文，港剧跟美剧都看不了，就选了这部最近还蛮火的韩剧~ 真的有一阵子没看这种韩剧鸟~~ 依旧是老套路，但是，喜欢酱的帅锅美女~ 可是，不能老是活在这样的偶像剧中，矮油~~~ 真心喜欢女主角，好美啊~~~~~ 为主角加1星！ 剧情一般般~            
(3星)	 确定这部剧依旧是快进档。            
(5星)	 好看~~不一样的韩剧            
(4星)	 这个烂尾！            
(3星)	 我表示我还没看进去。            
(3星)	 我发现李民浩不是我的菜诶 没有演技可言 花瓶一个            
(4星)	 看到15集不想看了 我居然会思考颜之外的事情了 噢            
(4星)	 如果女主是河智苑演就好了。。。。李民浩的身材，啧啧啧~~~口水啊            
(2星)	 韩剧越来越神展开了，神剧情神女主神男猪神男猪他爸！你们搅基吧，父子年下或者互攻什么的都好萌啊啊，但是球你们了，尼玛能不能不要糟践北条司啊！！！            
(NA)	 弃            
(5星)	 民浩啊！你要不要这么萌啊！果断爱上你呀            
(5星)	 我觉得好看，冲着李民浩 那身材--            
(1星)	 尤美真好看啊            
(NA)	 这样的猎人，现实中有吗            
(4星)	 哈哈哈哈 城市猎人 完全变成了俊男美女的狗血偶像剧了 看在男女主角的份上 多打一星            
(NA)	 這明顯是男一和男二的愛情故事！女主是來插一腳的嘛，劇情太假毫無邏輯！我是看帥哥來的             
(3星)	 纯粹看李民浩。。。            
(3星)	 所有韩国棒子的手机都是iphone             
(5星)	 李敏镐笑起来好可爱好帅好气质好TM令人神魂颠倒啊~~~❤❤❤ 我爱死他了！朴敏英也好漂亮好可爱！笑容太治愈了！！他俩在一起就是金光闪闪啊！看人就够了，剧情原著什么的就忽略吧！            
(3星)	 第四集弃            
(1星)	 人工颜再正也敌不过剧情的狗血。            
(4星)	 充满槽点的韩剧 男主和女二太赞了            
(4星)	 现代版的韩剧一枝梅么！！！！            
(5星)	None
(4星)	 李民浩的身材真是正点！！ˋ( ° ▽、° ) 口水ing...             
(4星)	 编剧你要是开始虐了，我就不看了！            
(4星)	 。。这是一部爱国教育爱情片－－！            
(4星)	 終於是看完了!!!!檢察官死的時候差點就哭了!!TTTT 把檢察官還給我!!!!! 劇情畫面感挺不錯的!OST什麽的也不在話下!!只是覺得有點虎頭蛇尾了.....還是推薦一下!XD            
(5星)	 不要悲剧啊！！！            
(4星)	 結尾太倉促了             
(3星)	 11            
(4星)	 检察官史了...            
(2星)	 除了男女主的对手戏，剩下的跳过跳过全跳过。PC剧玩玩家庭爱情还行，玩其他的就是自曝其短，漏洞百出又苍白无力的斗智斗勇戏份简直就是丢英雄们的脸。            
(3星)	 不是说死了么死了么死了么 不是说醒了么醒了么醒了么 结果还特么大团圆了竟然            
(5星)	 亮点：苹果广告做足，李民浩每件外套都超帅。总之不错的片子            
(2星)	 那个不服兵役的挣女主的男二是照着玄彬整的吧。哈哈哈。笑死了。真是整的很差劲呢。这剧为什么反响这么好？我一直都不懂。            
(4星)	 抛开主角莫名其妙的神勇，这部片子算是韩剧里面很好的突破了。            
(5星)	 民浩帅得值4颗星，剧情紧凑，打斗场面比以往的好            
(5星)	 男二比男一帅。。。。超级感人。。。            
(5星)	 追此剧的必定全是花痴~╮(￣▽￣&#34;)╭ 其实不说是由漫画改编的多好~话说又蛇尾了，好多事情没有交代呐！为了华丽丽的动作戏和帅得掉渣的男一男二，还是满星吧~            
(4星)	 最后几集简直就是快进着看完的 要不是李民浩顶多给三星了            
(NA)	 又一部搞定!            
(3星)	 纯粹为了某人的颜和长腿            
(NA)	 啊呀呀，男主比对我说谎试试有爱啊~~哈哈哈~~多年未看韩剧。不管逻辑、言情怎么样，但是真的很好看            
(4星)	 9头身美少年～所以说身材才是王道阿～            
(4星)	 李民浩在这里某些角度像言承旭- - 又有某些角度像木村拓哉 - - 换了发型果然是比花男中养眼多了啊 -0-            
(4星)	 善良坚强家世悲凉的女主角，霸气腹黑缺少家庭温暖帅气多金的男主角，契约书，一起住，默默守护的男2，韩剧真是要什么来什么，每部都是一样，但是看得空虚人心花怒放，我只看男女主角互动，什么国家情仇跳过            
(5星)	 李民浩太帅啦！！！            
(5星)	 开始为了看李民浩这个帅哥，可是看了之后感觉还不错，剧情比一般的韩剧好很多哦有看头~快点出吧急死我了~~我承认我对帅哥没有抵抗力，开始就是冲着李民浩这个大帅哥来的~哈哈            
(4星)	 还不错啊~~            
(5星)	 男主过于耀眼了╮(￣▽￣&#34;)╭ 就上升到国家高度有点扯。剧情还是蛮紧凑的。            
(3星)	 为什么我会这么讨厌女主啊。。。。是要闹哪样，我已经很久没有看过这种烂俗性格的女主了……            
(5星)	 剧情两颗星 李敏镐五颗星            
(5星)	 五颗星统统给李民浩～            
(3星)	 沉重的开局·······不过还是当偶像剧看来着            
(4星)	 冲着帅哥来的            
(4星)	 不大爱结尾，李民浩阿姐爱你阿！！！！！！！！！！！            
(4星)	 拋開現實，對於那樣一個打殺環境里長大缺乏母愛的孩子來說，眼神依舊純真心底依舊未泯滅希望的模樣，真讓人心疼。            
(5星)	 偶像剧么 能拍到这范儿很不错了~！            
(4星)	 润城蛮有型的，娜娜和大叔各种萌❤可惜了检察官领了便当不能喝兽医姐姐开展第二春了            
(4星)	 就这么结束了，又是一部不像韩剧的韩剧，泡菜这几年dorama越拍越顺，题材也多样化起来。            
(5星)	 仔细看 发现灰常不错诶！！！            
(5星)	 帅哥养眼。就是结局太突然。            
(NA)	 啊天哪我已经不想说这个了,我的内心现在很复杂.我想要咆哮..这部剧简直是精华啊!!!浓缩了韩剧以及好莱坞各大片啊!!!这就是去年很火的韩剧吗!!!我熬了两个晚上看它我觉得我简直就是在浪费青春和脑细胞啊!!!其实我看到一半我就看不下去了啊!!!可是我怎么就看下去了呢!!!男猪脚是巨蟹座!!那好!!钟意!!            
(4星)	 哎呀,我为啥在看韩剧啊啊~~哦巴            
(4星)	 思密达            
(4星)	 男一跟男二看起來很配啊思密達            
(NA)	 培养了我和姐姐的感情。            
(4星)	 有点意思            
(4星)	 嗯…… 还是漫画好看……            
(5星)	 又笑又哭，打斗帅气，亲情友情爱情都有，很好看。            
(5星)	 李敏镐 李俊赫 都太帅了            
(4星)	 我基本看不进去韩剧。但是这个看到头了。            
(4星)	 烂尾了            
(4星)	 以前看韩版流行花园完全无感的李敏镐，这里简直帅呆了            
(3星)	 为了花痴帅哥这么狗血的剧我也忍了。。。            
(4星)	 三天看完思密達！從知道男豬腳的親爸是總統那裡開始狗血淋頭！好吧其實我所有的樂趣都在學韓國人說韓語思密達和預測劇情一猜一個準思密達，連下一秒男主要開抽屜都在掌控之內思密達。這是一部偽裝成美劇的韓國狗血泡菜劇思密達！            
(3星)	 .............还行吧            
(3星)	 大鼻子情人...真心没觉得好看            
(4星)	 还是喜欢李敏镐这种发型，比花样男子好看多了。每个人心中都有英雄情结。            
(3星)	 全剧简直就是苹果广告大片啊！棒子国上到总统下到贫民人手一爱疯啊！顿顿泡菜拉面牛肉丝还吃出那样的大长腿啊！男女主分分合合十几回啊！最后几集严重烂尾有木有！            
(4星)	 这男主变帅了啊~~ 女主整的，偶尔看着就别扭呢~~~            
