http://movie.douban.com/subject/2411184/	汉武大帝
(4星)	 如此忠于史书的情节，弱问一句编剧应该挺省力的吧？很多对话都很后现代，不过瑕不掩瑜。            
(4星)	 总算他娘的看完了！！！累死了~~~虽然有些台词比较雷，但是还是能学到很多东西~~~            
(NA)	 看过很多年了，在这多年之间，又不断重看，实在令人难忘。。虽也有些瑕疵，却也称得上历史剧中的经典了吧            
(5星)	 昆仑神~赐予我力量吧            
(NA)	 汉武大帝            
(4星)	 电视剧不错，很写实，这么大气的历史剧只有中国拍的出来。人人都说汉武大帝伟大，在我看来不过是个权欲熏心，草菅人命的暴君罢了。            
(4星)	 张骞归来那幕感人至深。            
(NA)	 我最崇拜的皇帝之一            
(3星)	 断断续续地看完了，片子很闷，只是惊讶于汉服与日本服的高度相似            
(3星)	 配乐太恐怖            
(3星)	 有些用力太過            
(4星)	 没有原创小说的缘故，结构稍显松散。            
(NA)	 这是我看过的最经典的历史剧，胡玫导演很有才，陈宝国太有才了～～            
(5星)	 很棒的长片。            
(4星)	 断断续续            
(4星)	 央视拍历史大剧还是有那么一套的            
(4星)	    很累，到了后半部分打匈奴真的差点没雷死我……            
(NA)	 演员不错，编剧太差！            
(4星)	 04 冬            
(4星)	 制作很精良            
(5星)	 小时候实在觉得好看=-=            
(5星)	 比起现在的穿越和后宫，前几年的宫廷戏好很多。            
(3星)	 太没情绪了，太不生动了，散乱，流水账一样……            
(4星)	 相较于《大汉天子》这么偶像剧的感觉…这孩纸已经不错了…            
(4星)	 很喜欢服装和妆容，卫子夫很美，最喜欢窦婴遗憾的是对武帝的歌功颂德有些过，应该更真实一点，全面一点            
(5星)	 不管剧情是否严谨，我还是很喜欢~╮(╯▽╰)╭            
(4星)	 配乐服装什么的都不错。            
(4星)	 叫那么大的名字，其实就讲三个内容：景帝原生家庭纠纷、武帝平八王之乱、继承人之战。            
(4星)	 霸气侧漏！            
(4星)	 初中的时候认真追过的历史剧，觉得还是不错的。那时很多史实靠这个补的= =~虽然印象很深的是，最后一集的时候接到电话说陈sh出车祸的消息。            
(4星)	 虽讲的是帝王相术，但是其中渗透了华夏民族几千年的的治人逻辑，西方管理学中的一些概念，其中也不过是这些治人之术中的冰山一角~ 所以国人难治，几千年的博弈，没有西方人想的那么简单~            
(4星)	 历史剧 我很看重服装道具            
(NA)	 大气磅礴，第一部认真看下去的历史剧。迷上了20岁的陈宝国，忘不了大学寝室里的小电视！PS:汉武帝和卫青有一腿啊，有一腿！据说汉武帝死后陵寝旁边不是皇后而是卫青！赤果果的奸情啊有木有！！）            
(5星)	 我又开始看了……            
(4星)	 当年老纸就看中张骞            
(4星)	 配乐偶尔有点儿蛋疼。。- -            
(5星)	 霍去病好帅！            
(4星)	 认认真真玩历史剧还是可以的            
(NA)	 小时候看过的             
(4星)	 通篇荡气回肠，令人振奋，平均每五级有一个催泪点，拍得不错！            
(5星)	 那个历史，那个年代。。中国人的思想还没有被束缚。。            
(4星)	 电视剧三颗，多一颗是为了汉服            
(5星)	 “他建立了一个国家前所未有的尊严，他给了一个族群挺立千秋的自信，他的国号成了一个民族永远的名字。”            
(4星)	 历史的主体是人。正是人的内在光彩才让人类的历史有了色彩。古今多少事，转眼间，都付笑谈中。            
(4星)	 跌宕起伏，千秋功过            
(4星)	 初中那可是守着电视看的              
(4星)	 想起了上高中时晚上回家看电视~~非常喜欢的历史剧之一            
(3星)	 配乐太差了！！你丫穿越剧吗？？？？！！            
(5星)	 犯强汉者，虽远必诛。这是我大学之初最欣赏的几句话之一。那个时代的心灵，孔武，追求。汉人的如玉风骨如虹浩气。我们是他们的子孙。            
(3星)	 扯            
(4星)	 我们既然曾经拥有 我的爱就不想停顿            
(4星)	 天生帝王相，除了陈道明，就是这陈宝国了。演得太好了。            
(3星)	 历史剧            
(5星)	 你把寂寞藏在乌云的缝隙 你把梦想写进蓝天草原            
(5星)	 所有你听说过的关于那个时期的正史野史传说，他全拍了。并且组织的还挺好。窦婴，张骞，让我感动流泪了。里面每个人的描写，并没有单纯的用二元去塑造，比如匈奴的中行说。让我咂舌的是，里面对汉武帝和霍去病关系的描写，真真是赤裸裸啊。。            
(NA)	 演卫子夫的那个姑娘长的好看！            
(5星)	 看了六世以后才去看的汉武，国产CP果然更萌更深情            
(4星)	 很是喜欢            
(4星)	 卫子夫和阿娇的扮演者挑选得真好~韩磊演唱的主题曲很不错 =&#34;=            
(5星)	 人生如朝露，有些事还是要坚持，陈宝国很强大            
(4星)	 yy推荐，08年春节补看的            
(5星)	 =w=            
(4星)	 气势恢弘的史诗剧集            
(5星)	 鸿篇巨制，大手笔描摹出那一个光耀千秋的时代。            
(4星)	 不错            
(4星)	 王            
(4星)	 就是喜欢历史剧            
(4星)	 嗯，看的时候很cj，现在想起来，太多腐的镜头            
(NA)	 特腐…            
(5星)	 我相信汉武帝是因为卫青才撇下李广哒！~            
(5星)	 大爱            
(4星)	 7/10            
(NA)	 配乐很搞            
(4星)	 因为此剧，开始关注陈宝国            
(5星)	 别说  央视的这部剧真和谐  咩哈哈  ╮(╯▽╰)╭            
(5星)	 复习 话说这简介就不能写得靠谱点儿|||            
(5星)	 大陆的历史剧，独步天下！            
(2星)	 瞎编吧            
(4星)	 高三毕业 电视午夜档 断断续续看的。我喜欢历史剧             
(2星)	 这剧忒墨迹。耐着性子看完也不如康熙王朝。。anyway，帮我补习了一下汉武帝的知识，还不太属实。。            
(4星)	 完全是因为杜淳才看的            
(4星)	 犯强汉虽远必诛            
(5星)	 看此剧旷日持久啊。            
(5星)	 腐到朝廷台极限！（這話是首播時我留的）時隔五年，俺又繞著圈地萌回來了！握拳！呀巴黎祖國好呀！！！            
(4星)	 不知道为什么，挺喜欢魏其侯窦婴的            
(5星)	 一个盛王朝其中多少            
(4星)	 有的地方,比如開頭的司馬遷跪在劉徹前那些東西,實在很白癡. 就故事而言,整體是好看的.            
(5星)	 是史剧非演义，以史为镜可知兴替            
(4星)	 不错...            
(5星)	 诺。。。            
(4星)	 胡玫是个女男人，焦晃在这里没那么优秀啊            
(5星)	 大陸只有這樣的電視劇可以看。震撼。            
(4星)	 大陆拍这个还是很内行的            
(4星)	 硬伤太多，但是片子那么长投资不是很多，美工服装灯光道具精美，就这样吧。            
(5星)	 男人的历史            
(5星)	 每个人物都值得去爱，也值得去恨            
(NA)	 很经典的历史剧。            
(5星)	 历史大片            
(4星)	 霍去病！霍去病！            
(5星)	 匈奴未灭 何以家为！            
(5星)	 卫帅            
(5星)	 制作精良，在里面学到许多为人处事帝王之道。            
(5星)	 跟妈妈每天在中央一一起看.旧房子的记忆.            
(5星)	 演员很入戏            
(5星)	 看到片尾 眼泪纵流啊 如此伟大的一生            
(2星)	 我靠整个电视剧的篇幅根本不合理啊！！！            
(2星)	 给人一种干尸的触感。如果不仔细看，还因为题名为《武汉大学》            
(4星)	 看连续剧时也是和家人亲近时；在曼谷看这部电视剧时，也觉得离祖国近。            
(5星)	 因为此剧，迷上西汉，迷上卫青，迷上霍少，迷上子夫，爱上卫家人，一直延续到老霍和刘询，哈哈            
(4星)	 美工及其用心啊，戏剧张力也不错            
(5星)	 电视剧拍成这样 不错了            
(5星)	 服饰很华丽            
(5星)	 最喜欢窦婴在牢里最后和刘彻的对话，那个眼神那个语气那个镜头啊~~~那个少年汉武帝是杜淳演的，他和陈宝国也太神似兼形似了吧..真是绝了...有时会有错觉认为那是在放陈宝国年轻时演汉武帝的录像。。可杜淳接受访问时就不想陈宝国了，还是更像他老爸杜志国..当然喜欢的并不止这些，故事十分精彩，画面很讲究。焦晃、归亚蕾，还有演王美人的演员都非常不错。还有不觉得陈宝国演得像白七爷，乍看之下那种霸道是有点像，但他在这里疑心重城府深喜怒无常的性格和白景崎的幽默耍浑性情中人还是有很大差距的。            
(5星)	 喜欢卫青，霍去病            
(NA)	 我们这一家            
(4星)	 前期略显拖沓            
(4星)	 值得一看。            
(4星)	 没想到我小时候这么爱看历史剧。。。            
(4星)	 我感觉陈宝国演汉武帝特别别扭。            
(5星)	 其实是想重温..一直没完整的看下来..很喜欢胡玫..终于看完了...非常不错!!            
(5星)	 非常好看一部历史剧            
(5星)	 相当精彩！国剧啊国剧~我敞开怀抱啦。            
(5星)	 复读考研时跟研友们一起看的，很好看~~            
(5星)	 千言万语            
(5星)	 大气            
(5星)	 汉武大帝             
(5星)	 撼吾大地……            
(5星)	 有汉朝风骨            
(NA)	 汉武大帝            
(3星)	 我似乎喜欢历史剧            
(5星)	 电视播了又播，，我是看了又看。。。            
(5星)	 陈宝国            
(5星)	 什么时候看的呢？好像是大二时候的假期。。。            
(3星)	 配樂太囧扣一顆星。            
(NA)	 很喜欢陈宝国 智慧与胆识的化身            
(5星)	 我们的大汉朝永远让人向往啊！！！            
(NA)	 恢宏～            
(5星)	 虽然仍有一堆bug等可挑剔的毛病，不过作为国产历史年度大剧，人物形象什么的已经可以说不错了，有对比才有发现。大爱卫青            
(4星)	 看过一遍，拍的很好，非常尊重正史实，亦很注意还原当时的每个细节。但有时节奏过慢，稍显冗余。当然也可能是我沉淀不够，所以更喜欢剧情紧凑的电视剧比如港剧。            
(4星)	 这是我认为的，胡玫拍的最好的片儿~她不适合拍电影，还是稳妥点拍电视剧吧            
(4星)	 打匈奴~~            
(5星)	 也是小时候非常喜欢的一部历史剧作！够血性的王者！            
(5星)	 我的口味。            
(4星)	 今年寒假才看 有兴趣把大汉天子也找来看看            
(3星)	 陈道明，陈宝国，姓陈的演皇上都演的那么好。            
(5星)	 杜淳的那段少年还是很经典的~            
(3星)	 胡玫导演的片子            
(NA)	 欢喜的不得了            
(5星)	 头一次主动要看历史正剧，焦晃这种老演员演起戏来还摆脱不了演话剧的姿态和气势，但敬业的态度还是值得大为褒扬的。整体的服装妆容还是有费了大功夫的，焕然一新。也是第一次自己发现看电视剧也不是纯粹的镜花水月。            
(4星)	 这里开始对“美人”有了深刻映像哇 原来如此 以及那些披散着头发只扎一点的女生            
(5星)	 经典            
(5星)	 给你一个雄心壮志的机会。PS：剧组怎么这么穷            
(4星)	 演员读错好多个字。。。            
(5星)	 陈宝国的演技没的挑剔 相比于大汉天子要细腻的多            
(5星)	 我最爱的国产古装历史剧没有之一            
(NA)	 霍去病意气风发            
(5星)	 汉武帝X卫青 那时你给我一个笑脸 我就心跳一辈子...            
(NA)	 卫皇后威武！（卫青）            
(5星)	 霍去病帅死鸟~~！！！            
(4星)	 他让一个国家的国号成为了一个民族永远的名称            
(5星)	 一个人，在家，N遍。哥带的碟。            
(5星)	 一直很敬仰的历史人物，必捧，片头曲也很应景，每次看到张骞回朝的那集就忍不住眼泪直下            
(5星)	 尊重历史的正剧            
(4星)	  记得歌好听            
(5星)	 最好看的历史剧之一            
(3星)	 文戏不错，武戏~~真有武戏？导演胡玫的各种帝王片都有些固定手法和桥段。            
(5星)	 好像是初二看的，当时特震撼华丽一气呵成的赶脚，印象里是看过最棒的电视剧了            
(5星)	 非常给力的电视剧，很好的叙述了汉武大帝的恢弘。不太好的就是有点虎头蛇尾的感觉，结尾仓促些。除此就是还有些美化的味道。            
(5星)	 想要了解最贴近历史上的汉武帝，一定不要错过这部片子，英明的帝王加上勇猛的将领真的可以创造奇迹，特别是卫子夫和霍去病鼎盛时期，屡创捷报，真的会由衷产生一种民族的自豪感。陈宝国真的进入到汉武帝的身子里，从精神气上展现了他的雄才，很赞!            
(4星)	 片尾曲等待好听..            
(NA)	 我觉得是很不错的，电视巨制。我爸最爱看这样的            
(NA)	 经典重温 犯我强汉者 虽远必诛！怀念和老爹一起臧否历史人物的时光啊！！！            
(5星)	 非常烦的一部片，看了这集就想看下一集            
(4星)	 哈哈 当年和老爸整宿的看 闹得老妈把全部光盘都扔了            
(5星)	 气势恢弘            
(NA)	 陈宝国演的太有霸气了            
(NA)	 第五集，晁错之死。            
(5星)	 其实中国拍的历史剧还是很不错的            
(4星)	 里面的服装“在上镜的基础上”还比较考究            
(2星)	 没有辫子的辫子戏。            
(3星)	 前边还可以  后边的就明显看出来做得很粗糙了  相比起来还是贞观长歌好很多细致很多            
(NA)	 刘彻的创业史诗刘氏家族的发展历史            
(5星)	 因为他，西汉的事情多少知道一点。            
(4星)	 卫霍都很非常好，但是这部戏太……怎么说，主旋律？开始太史公说汉武帝那段看得我差点弃剧。而且前面汉景帝的部分太长了            
(4星)	 写实主义的历史剧，也没有刻意美化场景，我喜欢。就是这个配乐实在太现代了，还有电子混音……            
(5星)	 央视放的时候每集都准时守在电视机旁，场面很宏大，制作很精良，演员很优秀。            
(4星)	 景帝有点过于老气，他挂的时候也才不过46岁，平定七国之乱时才三十出头，扮相确像是年过五旬了。武帝小时候刚出来我以为是女孩，还在想刘彻这时候应该出生了啊，怎么还不露面，看了半天才明白原来就是他，也太萌了点。            
(5星)	 很喜欢，看了这部电视剧觉得对汉朝的历史了解了很多。和我以前看的书很符合。尤其喜欢霍去病那一段，无奈天妒英才！            
(5星)	 这个其实拍得很不错~!!经典            
(5星)	 一将功成万骨枯            
(5星)	 相当优秀的历史剧了，当年很迷。            
(5星)	 连我爸都会看啊！！！            
(5星)	 很精彩 很棒~~~~            
(5星)	 国内电视剧中少见的经典之作。            
(3星)	 好吧 为了陛下和卫青的爱~~            
(5星)	 这是我认为陈宝国演的最好的一部剧，不论是武帝成就了宝国，还是宝国成就了武帝，这都是一部酣畅淋漓的史剧。那个时代，有霍去病，有卫青，有李广，还有那个令人向往的河西走廊和丝绸之路。            
(5星)	 小时候看到那场景还想怎么那么像日本，不过还好当时我想到了古典文化交流等等，没有犯那种说“莫扎特第四十交响曲怎么听着像SHE的不想长大”这样的错误            
(5星)	 另我久久不能忘怀的其实是张骞。哈哈。            
(5星)	 jC            
(5星)	 还没有看完啊。。。。。。想在电视上看            
(4星)	 一位英明的皇帝也有不清醒的时候，犯了错误，很严重；他之后汉朝最精彩的时代结束了            
(5星)	 震撼的历史            
(5星)	 我记得看这部剧的时候我还特意给我妈妈解释了什么是男宠==。。。            
(4星)	 恢弘史诗            
(4星)	 很奇怪地，我在看史记的时候萌死了刘卫，看完这部之后却倒戈萌了霍卫……            
(4星)	 磅礴大气，回味无穷啊！！！！！！！！！！！            
(5星)	 很棒啊！！经典！            
(5星)	 陈宝国演的真好！其它演员也不错！            
(5星)	 犯我天朝者，虽远必诛            
(4星)	 女人的妆真是恶心。            
(4星)	 历史当然有好多种描述法，汉武大帝这部剧拍得不失大气，但未免太强调公正和俯视感，有种读教科书的扭曲。            
(4星)	 特妹的，情节拖沓，面瘫表情需要用好几秒去停顿嘛！！配乐也不协调，莫名其妙！！但，内容比脑残偶像历史剧好很多。。奔着历史剧忍了看下来。。但拖沓+配乐逼得老子直想找史记汉书来回顾！！！就冲这结果，理解央视理解导演的良苦用心了。。            
(3星)	 第一部，不错。            
(5星)	 犯强汉者，虽远必诛。中华民族的形成与汉武大帝所带来的荣誉不无关系。            
(4星)	 跟爸妈一起在电脑上看过的仅有的片子。我喜欢千百年之后谁还记得谁。            
(3星)	 补遗。汉唐汉唐，遗民泪尽胡尘里！            
(3星)	 当时很喜欢，可是后来从同情司马迁角度就觉得太矫情了，美化历史。            
(4星)	 很爹一起看过的电视剧，男人的气息            
(4星)	 君王戏都一样。            
(4星)	 美化啊～景帝和窦婴很动人，可惜不是历史啊            
(4星)	 匈奴经济、文化各方面全面落后，富二代刘彻，基情四射，和这个不在一个层次的敌人打了一辈子，不过赢了半口气，也把自个儿家掏的干干净净。            
(4星)	 这个和《康熙大帝》相比，逊色一筹，但是不失为一部经典。            
(5星)	None
(4星)	 忍辱负重，厚积薄发            
(NA)	 在我爸的引导下看的，对张骞很有印象啊。            
(3星)	 没耐心看完            
(5星)	 心疼卫子夫            
(5星)	 依然黄金档。。            
(3星)	 就尼玛一个那啥剧            
(NA)	 国内撑的起来这么厚重的戏的男演员不多            
(4星)	 虽然台词剧情都略囧。但是卫舅舅很萌呀。            
(5星)	 让你懂人事            
(4星)	 张骞你就是个催泪弹            
(5星)	 最好看的历史剧，可惜小杜现在越来越残了，叹息一声。我的少年刘彻啊！            
(4星)	 可以了解一些历史。里面人物对比很（有文采或者说文绉绉），是导演胡玫的风格。            
(4星)	 童年的美好回忆~= =            
(5星)	 记得没少哭            
(5星)	 大赞！            
(5星)	 最爱老戏骨的这部作品！            
(4星)	 是非功过，又有谁说的清楚？            
(4星)	 小学三四年级时看的~当时还看得特起劲儿~            
(4星)	 讲故事的速度快一点就好了            
(4星)	 都快要被大叔們萌死了去————            
(NA)	 1.99%女人是祸水，不准干政是正确的2.皇帝真难伺候3.皇帝大多都是随时发情的种马4.配音各种穿越……要不就是没钱了，要不就是声音审美约等于零，不管哪一个都很可怜5.很多地方都剪得很奇怪6.喜欢片头曲7.我也喜欢马、铠甲和钱8.陆树铭怎么都演没好下场的……其实我挺喜欢他            
(5星)	 气势磅礴！刀磨得太快，用起来顺手，但也容易折。千古一将，霍去病。            
(5星)	 喜欢上的宝叔的第一部片子。插曲，片尾曲，片头都很喜欢。花痴里面的各种爷爷级，大叔级，大哥级的学员和华丽丽的汉服。            
(5星)	 热血骚动的历史。那个年代的装束简单却唯美~            
(5星)	 让人感受到历史无限的魅力！~            
(4星)	 陈宝国演帝王真有气势            
(5星)	 我看的大陆剧很少，这个算是印象比较深刻的了            
(4星)	 大腐隐于山河            
(4星)	 记得看到时候刚好是新年，然后和妈妈在家里天天追，和妈妈追剧的回忆总是最好的，比剧本身还要好。多希望以后还有这样的机会跟妈妈一起煲剧，一起通宵看电影或电视剧            
(4星)	 当年挺喜欢看的            
(5星)	 尊重历史~            
(4星)	 配乐太雷了。            
(5星)	 初中的时候超爱的剧。前两天和同学无聊重看了一点，槽点满满啊。拍的那么腐是肿么回事，配乐那么囧又是肿么回事。。。            
(4星)	 长胡子的司马迁……这要吃多少伟哥啊……            
(3星)	 此剧看了会对汉朝初年的历史有了很深刻的了解，和与匈奴人之间的无奈，是个好看的电视剧，但是主要问题是妆和人物的配音做的不好，还有配乐不是很符合当时的年代。窦婴演的不错，还有王夫人的隐忍给人很深刻的印象，只是后来好像成为了田昐的附庸，后面智商就不够了，陈宝国的演技确实不错，从年轻的时            
(5星)	 中国迄今为止历史片中的第一            
(5星)	 陈宝国还是很有派的　～　超爱卫青～和卫子夫～　            
(5星)	 里面的古装，配乐，布景，摄影，演员.....好到绝～            
(5星)	 宝国叔就是国宝呀。            
(5星)	 和爸爸妈妈一起看的都要五星！|||初一、刘佳蕙            
(3星)	 宿舍里看的，出于反感清宫剧而去看的，很棒            
(4星)	 还好吧！            
(5星)	 喜欢刘彻 喜欢陈宝国            
(NA)	 “今生今世，来生来世，卫青对皇上一直挂在心上。”            
(5星)	 真的很给力啊！            
(4星)	 也算得上事恢宏巨制了，下面的豆瓣剧情简介关于演员的部分是有错的陈宝国的汉武帝总给我一种白景琦的味道            
(4星)	 配乐太臭，不然就五星了。            
(3星)	 如果你历史不好   细节请自动忽略吧            
(2星)	 比大汉天子更真实一点。            
(5星)	 千百年后谁还记得谁            
(5星)	 野猪渣千万人，唯不负卫青            
(5星)	 两千多年云烟飘过，错过卫青多年风华。            
(5星)	 看了三四遍了，喜欢啊，最贴近历史了。            
(5星)	 还是一集一集租碟子看的 ...            
(5星)	 刘卫是我的最爱！            
(NA)	 磅礴的历史剧、导演胡玫、巾帼不让须眉            
(NA)	 忠于史实，鸿篇巨制！千古一帝！            
(4星)	 配乐是硬伤            
(5星)	None
(5星)	 大长我国族志气~            
(4星)	 该看~            
(5星)	 这个片子最成功的地方就是贡献了卫青霍去病，说实在的，对比起杨洁那部很寒酸的《司马迁》，本片实在媚态太过            
(4星)	 我真的看过真的看过 还算好看吧            
(2星)	 烂剧！彪悍的音乐，常常令人感觉穿越。            
(4星)	 怎么觉得随便抓个人出来都强到让我拿铲子挖地洞啊啊啊~~            
(4星)	 我喜欢历史上的两个皇帝，一个是汉武帝，一个就是康熙            
(5星)	 我的品味越来越大妈，肿么办！            
(5星)	 这真是我看过的最喜欢的国产电视剧，意犹未尽啊            
(4星)	 什么莫明其妙的配乐。。。。。            
(5星)	 为焦晃老师，为陈宝国老师，为归亚蕾老师，五星。            
(NA)	 靠近正史            
(NA)	 +最喜欢的电视剧            
(5星)	 气势恢宏 的一部历史剧啊！经典经典！            
(4星)	 汉武一朝，强人太多～～            
(5星)	 爱死卫青了。。。            
(NA)	 虽然也有硬伤 比市面上很多雷剧还是强 造型喜欢            
(NA)	 传奇人物    伴君如伴虎              
(NA)	 稳，准，狠            
(4星)	 最难忘的还是张骞出使西域！            
(4星)	 主题曲等待很好听            
(4星)	 当时看它的时候连续三四天。最后看完的那天十二点，已经是满脑子金戈铁马，硬生生响了一晚上没有停。            
(4星)	 六世封印第一世《赢了天下输了他》  抹泪~~~            
(4星)	 电视剧拍的非常大气，陈宝国也将帝王的威严演绎的淋漓尽致！但是剧本写的不怎么样，武帝一生雄才大略，却被简单概括为打匈奴，太片面            
(NA)	 狩猎的精华～            
(5星)	 比较喜欢的一点是 它很尊重史实！比那个《大汉天子》好多了！            
(5星)	 想再看一遍 刘小猪            
(3星)	 To be honest, 作为太史公门下走喵的人很不爽这部剧=—=            
(5星)	 霸气外露！哈哈~            
(4星)	 史诗般的电视剧。            
(4星)	 高分，不解释~~            
(5星)	 大爱卫后服饰不错但是焦晃老师饰演的汉景帝和记载偏差有点儿远，更像文帝            
(5星)	 就喜欢历史剧，看了两遍…            
(4星)	 喜欢片尾曲            
(3星)	 都不知道怎么看了这么多国产电视剧，要是当年能把这时间花在别的上面就好了。            
(4星)	 权极高而昏？            
(5星)	 很欣赏卫青            
(NA)	 卫青！卫青！            
(5星)	 陈宝国的表演很给力！            
(4星)	 还OK            
(4星)	 他给了一个族群挺立千秋的自信，他的国号成了一个民族永远的名字            
(3星)	 典型央视正剧！~            
(5星)	 除了比较凑活事的战争场面外，都是美好，尤其是汉服！            
(5星)	 拍得真好。            
(4星)	 霸气大帝            
(4星)	 看完美人心计居然是顺手把汉武大帝看了，囧……            
(3星)	 还是最喜欢汉朝历史            
(4星)	 音乐很不错，服装道具很考究。            
(5星)	 太经典了，如果战场在宏伟些就更完美了。            
(4星)	 作为一部耗费众多主创心力和巨资的大作，精良大气，陈宝国的演技无可挑剔……然而胡玫对于历史的理解始终是比较肤浅的            
(5星)	 看过的最好的历史剧之一            
(3星)	 离奇到极点的配乐，一到煽情/重要画面就开始慢动作加闪回、闪回、闪回…………敢情匈奴人都说标准普通话啊，还有个同样说标准普通话的给他翻译成标准普通话，这口译也太好做了吧。            
(5星)	 大陆能经得起时间考验的剧集也就是历史正剧。中国自战国后的历史两千年一成不变，一乱一治的循环，也就那回事。不过这部戏不赖。            
(5星)	 绝对的经典，而且这绝对都是实力派的表演艺术家            
(3星)	 。            
(4星)	 真不错            
(4星)	 了解下历史...            
(5星)	 大学时候完整看了一遍，很不错的历史剧，陈宝国演活了汉武帝的形象。被好多电视台转播过，值得一看。            
(4星)	 大将军威武！            
(4星)	 我是冲着刘彻去的            
(5星)	 DVD碟没在身边，于是决定重新拖下来好好温习一遍~~~            
(5星)	 高中的时候啊。。。。            
(5星)	 相隔多年，重看此剧，依然感慨万千...某种程度上，这剧算是给卫青正名了吧...            
(5星)	 很不错，基本上比较符合史实，人物也很生动，看完以后能对汉初历史有个大体理解。            
(3星)	 总觉得他没“燃烧自己，点亮大地”            
(NA)	 这是看得第二遍啦  突然发现不再那么狂热的喜欢这部片子啦            
(4星)	 服装不错            
(5星)	 建议把此剧国际推广 国外的tv你们不要再放三国演义和还珠了！！！            
(5星)	 强烈推荐，非常不错的一部电视剧。            
(5星)	 最正的历史剧            
(4星)	 看看电视学点历史。            
(5星)	 还想再看一遍            
(4星)	 陈宝国            
(NA)	 佩服这个帝王            
(4星)	 那段荡气回肠的大汉王朝，汉武大帝！            
(4星)	 高三的晚上每晚回家看两集，然后再写作业。所以说，我的数学高考考那么点分数其实也是有道理的～最近在重新看，觉得有些问题值得深思一下。            
(4星)	 看过了几遍，不错，巨作，再现了汉朝那一段波澜壮阔的历史。刘彻，卫青，霍去病。那个窦老太太比慈僖高出好多个档次来。            
(4星)	 女人的妆真是恶心。            
(5星)	 戾太子可惜            
(5星)	 腐就一个字。            
(5星)	 挺励志的            
(4星)	 后面七八集拍的不恭维，么有开始好            
