http://movie.douban.com/subject/2072170/	春日 봄날
(4星)	 你不能言语  我不善表达  但是我会用我的真心打动你            
(5星)	 是个内心丰富古怪的可爱少年，成！            
(5星)	 我怎么会喜欢赵寅成这个神经质            
(3星)	 冲着赵寅成去的，演得有点过……            
(4星)	 值得            
(5星)	 我一点也没觉得高贤贞年龄大……大爱寅成            
(3星)	 原来这个是豪华卡司，但是兄弟俩都爱上一个30+老女人的戏码棒子你还要演多少遍？            
(5星)	 风格让人想起七十年代，赵寅成实在是很有亮点            
(5星)	 初中时代的梦中情人            
(5星)	 唉,趙寅成怎麼可以這麼帥. 帥到沒天理...劇情拖拖拉拉, 拖拖拉拉, 我還是粉犯賤的看完鳥.純粹為了看帥哥..我是不是太無聊了....掩面            
(3星)	 纯粹看人            
(5星)	 喔 喔 喔 我曾经是那么喜欢！            
(4星)	 因为赵小兔。            
(3星)	 只看成成            
(NA)	 4            
(3星)	 卡司很强大，剧本有点弱            
(4星)	 女主角真的是很有 母性的光辉            
(5星)	 孤独心灵的紧紧相依            
(4星)	 第四颗星是给赵仁成的            
(4星)	 高贤贞的气质让我着迷，不会是弹钢琴的，真的好像我以前喜欢的一个女孩~            
(3星)	 从日剧看回韩剧  实在无法忍受其墨迹  尽管有我最爱的赵仁成 还是无法顺利看完            
(5星)	 看了3遍，喜欢赵寅成。            
(4星)	 冲着赵仁成去的。            
(5星)	 疗伤系，男二完胜男一啊，五颜六色的鸡蛋，我印象深刻啊            
(4星)	 韩版 天堂的金币。还好结局是众望所归的。            
(4星)	 主要是大爱赵寅城的演技。。。            
(3星)	 因为赵寅成去看的，没想到剧情这么一般。不合我胃口            
(3星)	 猫王的造型啊~            
(4星)	 in sung   oppa~~fighting!            
(4星)	 如果说这部剧是仿日剧星之金币，那我更喜欢这部剧，酒井法子当年没有选竹野内丰，但我们的高姐慧眼选择了我们家寅成，圆了我多年的梦啊，I LOVE YOU。            
(3星)	 这个绝，高贤贞真的命中注定的女演员，搭赵寅成很赞            
(5星)	 喜欢赵寅成，喜欢池珍熙，两个人超帅。不知是哪年的新年在家里看的，那时连队里只有寥寥数个频道，不过居然有当时觉得超前卫的星空卫视！这个片就是在星空卫视上看的，不过，广告也巨多！            
(5星)	 呵呵超级顶我家成成太可爱了            
(5星)	 高贤贞，加油！            
(3星)	 为了赵仁成看的，剧情编得太不咋样，浪费了几个不错的演员，颇失望。越来越讨厌用失忆来编戏。赵仁成远不如在《巴厘岛的故事》里的在民出彩。            
(4星)	 音乐很好听            
(5星)	 喜欢赵仁成玩魔方的样子            
(5星)	 因为赵寅成，所以看的这部。后来，欲罢不能。            
(4星)	 通常我都比较喜欢第二男主角，通常第二男主角都比较可爱。(*^__^*) 嘻嘻……赵仁成在这部电视剧里演技明显进步了不少啊            
(4星)	 哥哥是她的指路人；而能够与她携手前行的是弟弟，爱情没有先来后到之分，不是吗？赵寅成实在演得太细腻到位，难忘他痛苦的告白和可爱的笑容~虽对弟弟有先入为主的好感，也不妨我欣赏哥哥的温柔~喜欢那个停留在海边的结局，在海浪滚滚的背景下，两人相视而笑慢慢走近，没有拥抱也没有亲吻，却已足够~            
(4星)	 韩剧的特点:好事多磨!            
(5星)	 莫名其妙的喜欢这部韩剧。            
(4星)	 寅成的戏我都支持！！            
(3星)	 不喜欢哭哭啼啼            
(3星)	  春日            
(3星)	 不喜欢女主角            
(NA)	 超喜欢：）            
(5星)	 短小精悍            
(4星)	 很伤感，结局没看到            
