http://movie.douban.com/subject/1830586/	天下第一
(5星)	 新武侠片的经典，集合了老中青三代实力派演员，港台新大陆4地著名演员阵容，大腕云集，剧情颠覆了以往的武侠片不是报恩就是报仇的框框和模式。值得一提的是，李亚鹏在片中的表演远远超出他以前在武侠片中的表现，被誉为李亚鹏的翻身之作。相当精彩！            
(5星)	 当年巨喜欢一刀和海棠 可惜啊...            
(4星)	 叶璇和霍建华……这个是初中看的，骗了我好多眼泪。            
(4星)	 就记得以前好喜欢            
(4星)	 很好看，剧情好动作也好            
(3星)	 拍得很俗啦，但是看这种武侠剧就像打一部早期国产武侠RPG或者看一本热血漫画一样，合格的消磨时光好陪伴            
(3星)	 叶璇为嘛要死啊            
(5星)	 霍建华！！！            
(5星)	 高中的时候还特地回顾了一遍！！！！！！！！！            
(NA)	 这个感觉是稍微大了之后看的            
(3星)	 郭晋安貌似又演了个神神经的角色？            
(NA)	None
(5星)	 叶璇很惊艳，片尾曲“不稀罕做谁的天下第一，我只想做你心永远的唯一”至今记得。            
(3星)	 开始是为了张卫健，但是居然只是客串！不过有个意外收获，那就是归海一刀，虐啊虐~~            
(3星)	None
(4星)	 没有好好追过⋯⋯但经常播到就看了⋯⋯            
(4星)	 不错呀            
(5星)	 金人            
(5星)	 深圳卫视经常放==放一遍看一遍。。。。【擦 就是前段才知道的消息就是因为叶璇的档期问题导演才把海棠弄死了。。。。。 当时哭的啊。。。。            
(4星)	 后面的剧情太狗血了。妹的。。            
(NA)	 叶璇的男装扮相很好看            
(3星)	 归海一刀真帅啊~            
(4星)	 当年还是挺喜欢这部电视剧得。            
(3星)	 断断续续终于把“天下第一”看完了，不知道为神马一直不待见李亚鹏，每次一到有他的剧情就很想pass过去。。。叶璇是地包天有木有？！。。。刘松仁的眼睛很好看，貌似是单凤眼？。。。超稀饭里面的云罗郡主，好可爱啊！。。。霍建华的人中似乎有点长。。。            
(4星)	 霍小哥美逼啊            
(4星)	 原来看我过这么多电视剧            
(3星)	 还是喜欢大团员没有人死的结局TUT             
(3星)	 其实我还是挺喜欢的。。。为什么你们都不喜欢李亚鹏。。。我真的很喜欢他啊。。。。。            
(4星)	 当年很喜欢的一部武侠剧啊。。哈哈            
(NA)	 阿             
(4星)	 以前看过还不错额。。。            
(3星)	 郭靖安和叶璇的造型怎么都喜欢不起来，或许对这两人无爱吧。。。            
(4星)	 对武侠江湖什么的没有抵抗力。            
(3星)	 看明星看到眼花~~            
(4星)	 一刀和海棠            
(NA)	 印象最深的是海棠被杀的时候，对叶璇演这种英气的女子抵抗无能，又帅又美的。            
(5星)	 为毛我觉得好好看            
(5星)	 老子以前爱爆了这电视剧啊！            
(4星)	 又是一部忘了讲什么的电视= =            
(4星)	 霍建华啊。。            
(4星)	 剧情到最后不给力啊，不过画面特效在那时来说真的很不错，里面叶璇很好看~            
(4星)	 各种帅哥美女，很喜欢            
(2星)	 无感            
(5星)	 喜欢            
(4星)	 靠霍建华帅爆了这个剧，但是我最喜欢的是刘松仁好么我重口么！            
(3星)	 還記得片尾曲！            
(3星)	 这剧我完全忽略了李亚鹏- -叶璇男装很出彩，霍建华还是帅，郭晋安和陈怡蓉可爱极了，高圆圆婚嫁妆很漂亮，回忆里的黄圣依很惊艳。。。等等，但是剧情？我忘了。。。            
(4星)	 当年还挺喜欢的。。╮(╯▽╰)╭            
(4星)	 好喜欢海棠阿            
(5星)	 这片子牛啊            
(4星)	None
(NA)	 喜欢霍建华和叶璇那一对，结果叶璇被莫名的角色莫名地杀了。            
(4星)	 比较喜欢霍建华            
(NA)	 没看出个名堂。            
(4星)	 小时候还挺喜欢。。。。            
(NA)	 想起以前看过，很好看来着            
(3星)	 长相俊俏的演员云集，尤其是郭晋安演的成是非，还是挺好玩的            
(5星)	 当年风靡我们宿舍楼的片啊，叶璇，黄圣依，高圆圆，哇，美好！            
(4星)	 怎么可以死了            
(4星)	 蠻好看的類 尤其是霍建華演的那個            
(4星)	 郭晋安好搞笑有木有！！            
(3星)	 这 算是合拍片吧 配音真不习惯            
(4星)	 小时候的回忆。。            
(4星)	 对叶璇越来越无感了            
(5星)	 没啥好说的了。            
(3星)	 那时少年各种剧~~~             
(4星)	 哪么多天下第一都是旗子            
(4星)	 大爱叶璇！！            
(4星)	None
(NA)	 曾阅，标记。            
(3星)	 我爱的海棠！ps：希哥死太早了            
(2星)	 只记得某颜。            
(3星)	 记忆中这是一个很多大牌剧情很囧的剧            
(3星)	 才知道导演是王晶，不管了，郭晋安真是到哪里都可以装傻，三星给几个大牌分一分吧。            
(3星)	 为了强大的演员阵容去的，剧情还凑活。            
(5星)	 怎么说 。。。果然从很久以前开始我喜欢的每一对CP都不得善终（喂喂            
(3星)	 当年的天香豆蔻            
(NA)	 初中的时候在老哥家看的，当时中间看缺了一段以至于很长一段时间里我都不知道杯具帝那个角色是怎么莫名其妙的变成了最终boss            
(2星)	 快进了所有没有霍建华的部分..所以，讲的什么来着= =            
(3星)	 那首主题曲印象深刻，霍建华也开始往内地发展了。            
(3星)	 好喜欢霍建华的睫毛啊~            
(3星)	 当时超爱叶璇            
(4星)	 喜欢一刀和海棠之间的感情            
(3星)	 一刀跟海棠的剧情很不错 海棠死得时候一刀的表现让我潸然泪下除此之外 此剧比较烂 李亚鹏跟黄圣依真是一对我超不喜欢的演员啊  导演真有才 把他们和在一起            
(5星)	 一刀啊，欠扁的编剧无缘无故在他俩终于要在一起的时候毫无意义的编死了海棠，太让人不能理解了。            
(4星)	 其实是不错滴            
(3星)	 大爱霍建华~            
(4星)	 也是迷过的剧，和郭燕敏讨论剧情，喜欢霍建华，叶璇。。。            
(4星)	 喜歡霍建華和郭晉安那兩對. 霍建華和葉璇更是讓我愛Su了啊.!!!!!! 曲折得哭到我死去活來阿.             
(4星)	 哎呀呀，超级喜欢看啊！！！            
(4星)	 啧啧 古装啊             
(3星)	 不喜欢李亚鹏            
(4星)	 没有叶璇就完美了            
(4星)	 我是看着你长大的。            
(4星)	 有一些地方还是不够~            
(4星)	 王晶近几年为数不多还可以的电视剧            
(1星)	 好乱啊，原来是王晶。            
(3星)	 现在来看可以数数星星，小星星。            
(5星)	 给霍建华的            
(4星)	 喔，霍建华的天下第一。            
(3星)	 霍建华太适合演这种痴情剑客了。。。好古装言情好梦幻。。            
(NA)	 郡主很可爱            
(NA)	 喜欢霍建华的人物哦·····冷冷的很有爱哇            
(4星)	 越长大发觉这种电视剧越好看。            
(3星)	 我挺喜欢那个白发太监            
(4星)	 海棠，一刀            
(4星)	 超爱公主和成是非。            
(NA)	 嗯记得。            
(4星)	 到底还是天下第一。            
(3星)	 只看海棠。            
(4星)	 不错            
(5星)	 一刀&amp;海棠...看完这个我再也受不了霍建华和别人搭戏了！！！            
(5星)	 我觉得超好看的            
(NA)	 记得一句，用海棠的皮肤做人皮灯笼            
(4星)	 很少能感动我的爱情故事，一刀这种外冷内热的孩子真的是太对人胃口了。。。海棠死的时候，别说一刀害怕了，我都害怕了。。。恨不得神猴和飘絮立马都去死 ！！！ 还有最不爽的一个地方是，一刀背海棠出去的时候，说的是“我会带你回家的”，不知道为甚变成了“我会为你报仇的”。。。搞得一刀像复仇工具            
(2星)	 有好几个特别不喜欢的演员。            
(4星)	 就冲着叶璇跟霍建华看的            
(5星)	 叶璇~~~            
(4星)	 剧情峰回路转有深度~~钟爱成是非和云萝郡主~~丫的郭晋安不愧是千面小生啊演什么像什么~~            
(4星)	 高圆圆~~~            
(NA)	 霍建华最帅的时候，当初没怎么注意叶璇，到现在也是            
(5星)	 怎么都说烂？我挺喜欢的。看了不知多少遍了。            
(3星)	 第一次觉得李亚鹏还是将就可以的。            
(2星)	 演员很强大，剧情有点狗血= =            
(4星)	 明星还能再多点吗，叶璇你还能再美点嘛            
(5星)	 为什么评价这么低！当年最喜欢了好吗！            
(3星)	 。。。。。。。            
(4星)	 近年第一            
(5星)	 海棠海棠！！！            
(5星)	 初三时，很迷这部剧里的叶璇。            
(3星)	 巨讨厌郭晋安和李亚鹏，但归海一刀还是惊艳的            
(4星)	 魂淡！  海棠死了是因为档期到了！            
(4星)	 霍建华真是帅啊！！！那眼神真当迷人！还有“你的第一”！            
(3星)	 曾经觉得很好- -我只想做你心永远的唯一            
(3星)	 成是非和云罗，笑颠了。其实是为了霍建华来看的。            
(4星)	 帅啊！            
(1星)	 一塌糊涂            
(3星)	 当年很多同学喜欢看，我却怎么也爱不起来，只是很喜欢霍建华            
(3星)	 只看海马！               
(5星)	 小璇子的男装怎一个帅字了得，最爱的海棠            
(NA)	 不爱看            
(NA)	 原来这也是王晶拍的            
(NA)	 这戏蛮好看的呀，干嘛李亚鹏不写第一个，人家分明男主角啊            
(NA)	 当年这个阵容真是……            
(5星)	 大爱的电视剧啊~~刘松仁很有范儿！            
(4星)	 好喜欢打打闹闹那一对            
(3星)	 当时觉得还行            
(4星)	 霍建华!!!!            
(5星)	 出了郭晋安怎么都不是好结局啊？？            
(4星)	 为了我记忆中的叶璇~            
(3星)	 最遗憾的是归海一刀和海棠没能终成眷属            
(3星)	 归海一刀啊啊啊              
(4星)	 当时超喜欢霍建华的！            
(3星)	 小學3年級還是4年級的時候看的- -            
(3星)	 真想挥刀把李亚鹏额前的那缕毛给剪了。            
(3星)	 最讨厌李亚鹏演的段天涯……毁掉了            
(4星)	 这个热播好像也是过年的时候~~            
(4星)	 完全是为了海棠和一刀- -            
(5星)	 很不错的剧，霍建华在里面很帅～～            
(3星)	 矮油。= =~我觉得黄圣依白雪中的造型不错啊。高圆圆后期造型亦然。            
(4星)	 阵容帅气啊！！            
(4星)	 还是挺好看的。            
(3星)	 喜欢霍建华 TT            
(4星)	 还行吧，有些地方有点搞……            
(4星)	 刘璐按哭了呢            
(4星)	 当年甚萌霍霍啊!            
(3星)	 像这样的古装片，统统3星            
(5星)	 我当时看得那叫一个happy啊，长长的观后感。            
(4星)	 看过多遍呀。。= =            
(3星)	 我只是来看霍建华的！！            
(4星)	 为了叶璇，什么片儿都可以考虑            
(4星)	 记得呢。记得呢。哈哈。。            
(4星)	 只是因为是和你们一起看的。嘿。大大啊。像像啊。所以四星啊～～            
(4星)	 当时怎么就没有迷上华哥呢？汗，现在越看越帅（偷笑）            
(3星)	 明星不少             
(4星)	 诸葛神候太帅拉。。。            
(5星)	 大爱啊，就此爱上了霍霍，仙三都是因为他才去看的呢            
(5星)	 上官海棠，归海一刀，唉唉唉！莫莫莫，叹叹叹            
(5星)	 我超喜欢陈怡蓉和郭晋安这对璧人            
(4星)	 港剧比起台剧好多了……是因为有对比才给了4星么？我也不知道= =            
(3星)	 喜欢霍建华的眼睛。叶璇在这里也很可爱。            
(4星)	 霍建华好帅，也选最后的女装很惊艳            
(5星)	 超级喜欢啊  海棠和归海一刀 可惜悲剧了              
(4星)	 06年在学校每天晚上看的 和yzx            
(4星)	 好吧。。我还是蛮喜欢这部剧的，除了叶璇死掉了            
(4星)	 挺好看的嘛~2005年~            
(3星)	 里面的女人都脑子有问题么。。喜欢李亚鹏。。            
(3星)	 所以人都知道这部戏的亮点是霍建华和叶璇。归海一刀的爱情与狗屁仁义道德侠义，爱就是可以为之生为之死~~            
(NA)	 天下第一，已经被中国乒乓球队挂在了墙壁上膜拜N年了            
(3星)	 凭什么女人都喜欢李亚鹏            
(4星)	 海棠和一刀            
(NA)	 初中时候看的。最近突然想起来了 o(╯□╰)o            
(NA)	 太扯了……李亚鹏太丑……            
(4星)	 虽然剧情有些狗血，但是霍霍和叶璇都好喜欢啊～一刀和海棠都好帅，好配啊～～            
(NA)	 好看            
(4星)	 归海一刀超帅的！            
(4星)	 中考过后看的 已经很久了            
(5星)	 叶璇 霍建华            
(4星)	 在日本那段 拍的很好的            
(3星)	 可以不与内地合作么  .            
(4星)	 那时候很萌叶璇呐。            
(4星)	 不解释了。初中、高中的暑假都在霸在电视前。            
(5星)	 叶璇的女扮男装实在是太惊艳了！            
(4星)	 好想让一刀和海棠在一起啊！还喜欢郭晋安！还有刘松仁！电视剧里的大制作了！不过李亚鹏在扶桑的那段不好看！不喜欢黄圣依            
(4星)	 首先喜欢的是成是非和云萝，这对可人儿是唯一的一对幸福结局的。接着是叶璇，海棠给她演的格外出彩。再然后是归海一刀，果然帅啊帅啊~            
(4星)	    叶璇很古典美 。            
(3星)	 叶璇是亮点            
(3星)	 冲着叶璇看了             
(3星)	 阵容强大啊            
(4星)	 哦 当年一刀和海棠多么迷人 还有郡主和那个谁也很搞笑            
(5星)	 最近最喜欢的古装戏  似乎霍建华从此找到另外一条路了 归海一刀太酷了  跟海棠太配了            
(3星)	 霍建华古装真实帅！            
(5星)	 电视剧四颗星，另外一颗给叶璇的，超级喜欢她，她的男装扮相超级帅，唉，女装就很一般了。。。。            
(5星)	 111            
(3星)	 总有那么一个需要笑笑的时期            
(2星)	 我已经忘记当初看的时候的心情了            
(4星)	 上官海棠=厉胜男+孟丽君            
(3星)	 都疯了···            
(4星)	 短时间内看了《怪侠一枝梅》和《唐琅探案》，以至于想起04年的天下第一，挖出来冲相信看了遍，又爬回归海一刀了啊。剧本还是很给力的撒            
(2星)	 只喜欢里面的叶璇和霍建华。。            
(4星)	 喜欢上官海棠这种能力强的女子，叶璇剧中的男装扮相也是干净又英姿飒爽，竟比女装还好过几分。海棠和一刀这一对很是有爱，可结局又太过让人遗憾了。刘松仁也不愧是老戏骨，气场绝对强大。不过话说回来，王晶还是王晶啊，剧中很多地方都挺恶搞的。            
(4星)	 喜欢叶璇在里面的造型，可是为什么不是喜剧收场呢？            
(1星)	 我记得它很没情节= =、            
(5星)	 叶璇和霍建华的搭配            
(1星)	 能雷死我么......            
(NA)	 看点郭晋安 其他没了 快进什么的有时候一集几分钟             
(3星)	 虽然可以说是大牌云集，但是想对我这种看多了电视剧和网络小说喜欢在里面找点的人，这部剧还是太拖沓，狗血多，雷点也不少。总的来说变得还凑合，我可以为霍建华的出现而原谅它。王晶这家伙，绝对不是内容保证，自从看了小鱼儿与花无缺，我深切地体会到了这一点            
(4星)	 那时候每天追着看啊...可怜冠希兄一出来就挂了= =最后海棠和一刀还是没能在一起啊...            
(4星)	 主角都还挺喜欢            
(1星)	 这部很乱            
(5星)	 你的第一。海棠。            
(5星)	 那时候有多喜欢霍建华啊……            
(4星)	 最喜欢玄字第一号上官海棠。叶璇女扮男装很帅气。            
(NA)	 冲着叶璇和霍建华去看的  结果他们早早都有了悲剧结局……            
(3星)	          小时候觉得叶璇霍建华太配了            
(3星)	 霍建华 只要你在 我就看            
(3星)	 霍建华嗷嗷的帅            
(5星)	 最近超级迷他的，哎，没办法            
(NA)	 看点郭晋安 其他没了 快进什么的有时候一集几分钟            
(3星)	 杂烩的赶脚 而且就是对这个阵容感到很烦            
(5星)	 为了海棠和一刀            
(5星)	 归海一刀 上官海棠            
(3星)	 纯粹是为了叶璇才看下去的~~~            
(5星)	 没看过，你见鬼了？            
(3星)	 我真的觉得这就是喜剧.......            
(NA)	 大反转~            
(3星)	 制作粗糙点，其他还行，明星够多。            
(4星)	 挺好看的启示...            
(5星)	 霍GG很帅气，呵呵呵            
(3星)	 那个时候看得还蛮开心            
(3星)	 铁板神猴                   
(4星)	 我喜欢叶璇。            
(3星)	 這部合拍劇比起一般的古裝劇來說還是不錯的！起碼劇情方面還是有驚喜的            
(5星)	 海棠没事，一刀便放心了。            
(3星)	 啊呀呀            
(5星)	 喜欢海棠。            
(3星)	 死的人太多了。            
(5星)	 小璇子啊。。。。。还有睫毛帝。。。。            
(NA)	 其实我曾经也是电视剧女王！！！！！！！！！！            
(4星)	 喜欢那首歌 你的第一            
(4星)	 很久前看的 当时很喜欢            
(4星)	 补遗。            
(4星)	 叶璇，霍建华！            
(5星)	 记得当时中考的时候一直在放。哎最后没有看，等到有时间的时候又不是很想看了。里面最喜欢的角色是叶璇，我觉得她怎么老是给人的感觉那么美，完美无瑕饿、            
(5星)	 经典              
(3星)	 什么都不想说。            
(5星)	 高中的时候看过，理所当然地喜欢里面的霍建华叶璇郭晋安陈怡蓉刘松仁张卫健就是讨厌李亚鹏那条线三个人尤其是高圆圆后期就一怨妇。。。            
(4星)	 算是最近看过的一部古装武侠剧了，喜欢里面的一刀和海棠            
(4星)	 海棠死了好可惜啊，好不容易和一刀在一起的            
(3星)	 看这部电视剧的时候我还在上高一吧 当时被霍建华迷到不行 虽然也很喜欢叶璇饰演的上官海棠吧 不过 我总觉得她不如高圆圆好看捏。。。而且最后上官海棠不应该那么死啊 太假了 现在再看 觉得剧情有点七拼八凑的 但是为了霍璇 我忍。。。            
(3星)	 为了霍璇，加一星            
(4星)	 叶璇！！            
(3星)	 请无视郭晋安吧            
(4星)	 从这部开始喜欢叶璇。。。            
(4星)	 霍建华！！！            
(3星)	 宿舍人看的            
(3星)	 偶是冲着这么多明星去看的~            
(4星)	 阵容还不错，支持海棠和一刀~可惜有情人最后还是成不了眷属。。            
(4星)	 加颗星是给一刀和海棠            
(4星)	 大众口味，演员不错。            
(NA)	 一刀和海棠，我的爱。。。            
(4星)	 因为有霍建华、            
(5星)	 帅哥美女，剧情也不错            
(4星)	 大爱海棠，大爱叶璇            
(4星)	 为了海棠给四颗…………            
(4星)	 我们之所以爬上了一定的位置，都是因为我们踩着一些不可告人的秘密。而最终被这些秘密所控制            
(4星)	 当时还很小 当时为这个结局难受很久 当时还喜欢霍小呆和叶璇            
(5星)	 2004最喜欢的电视剧！喜欢海棠和一刀。喜欢很多。就是不喜欢王晶叔叔的那个结局！看似团圆，实则凄凉！@Home            
(4星)	 归海一刀            
(4星)	 这里还有圆圆呢。            
(5星)	 一刀帅的没话说啊，咱霍霍真厉害，(*^__^*) 嘻嘻!            
(4星)	 看在霍生同埋叶璇的份上。            
(5星)	 超喜欢叶璇霍建华            
(3星)	 对剧情已经倒背如流            
(5星)	 为一刀打满分 18            
(NA)	 那服装那造型……            
(2星)	 高考的那个暑假看的，太久没看电视了，一上来觉得还可以，后来就不行了，本来挺喜欢叶璇，在里面太做作，线太散太长，没意思！~总的来说刘松仁演的不错，但是剧本太烂!~            
(4星)	 海棠，默哀。            
(4星)	 天下第一，权力为上。            
(NA)	 高手总是深藏不露哦。            
(NA)	 有武侠，有情爱，有欢乐。            
(5星)	 海棠和一刀真的很悲哀啊~超好看的~            
(4星)	 看的时候，觉得霍berber好帅啊，。却是他很帅，还有叶璇，也好帅啊。可惜她离开TVB了，可惜了可惜了。            
(4星)	 也迷过霍建华 哈哈哈 爷爷奶奶也喜欢看这个            
(3星)	 三颗星献给最酷的霍建华            
(4星)	 不待见李亚鹏            
(4星)	 郭晋安居然是陈法蓉的儿子。。。            
(NA)	 小学时看得，看着我自己都纠结进取了。             
(4星)	 归海一刀~~~~~~上官海棠~~~            
(3星)	 郭晋安咋那么丑= =            
(NA)	 只看霍建华和叶璇            
(4星)	 为什么是四星呢？因为海棠死的时候私哭了……因为这片还是很适合在无聊的假期消磨时光时看的……            
(3星)	 当时觉得怪好看的。。霍建华啊。            
(3星)	 挺可爱的            
(4星)	 很多喜欢的演员啊            
(3星)	 霍GG，璇MM，这是一部偶像武侠有木有！            
(2星)	 纯为叶璇和郭晋安给两星。            
(5星)	 我靠霍建华内个帅啊。。。            
(4星)	 喜欢里面好多角色，最可惜的是叶璇和霍建华这一对            
(4星)	 偶尔看看武侠片调胃口。            
(3星)	 虎头蛇尾，可惜了这个豪华阵容。            
(4星)	 很喜欢叶璇在里面的感觉……帅……不喜欢李亚鹏，败            
(4星)	 武侠中还是不错的，选角选得好，虽然结局转折着实让人郁闷一把，但冲着这么多偶像明星，还是支持一下            
(NA)	 难得不错的武侠剧            
(3星)	 貌似看了很多遍……不是因为好看，是因为寂寞……            
(4星)	 王晶的电视剧难得有我能看的比较完整的囧            
(3星)	 当时还很迷霍建华的说~            
(2星)	 神马都不记得了，只记得那个蛮雷的感脚~            
