http://movie.douban.com/subject/1302958/	憨豆先生 Mr. Bean
(5星)	 曾經大英視聽課必看 但後來發現只能鍛煉傻笑功而已。如今陰冷冬日又成了養傷宅家必備良品。百看不厭 =、=            
(4星)	 难得一见的极品笑星~            
(5星)	 哎呀~~好喜欢你的~~            
(4星)	 真人会很累吧            
(5星)	 现在看来 依然笑点超多！！！            
(5星)	 绝对的。能让人笑到窒息的故事。            
(5星)	 百看不厌的            
(5星)	 我最喜欢的 每集都看了不知道多少遍            
(5星)	 小时候很喜欢的            
(5星)	 好喜欢憨豆 可惜了这个无敌无厘头 竟然是抑郁 好怀念他的小熊 好怀念他的袜子 好怀念小时候坐在床上看憨豆的DVD            
(4星)	 单细胞也有单细胞的好            
(NA)	 哈哈哈            
(5星)	 JP            
(5星)	 我亲爱的豆豆先生 你是火星来的么            
(5星)	 长大后才知道原来这是电视剧啊原来这是英国的啊- =亲爱的豆先生我估计你是我爱上的第一个外国人            
(4星)	 存             
(5星)	 這真的是太好看了 =w=            
(5星)	 2010-01-10 看过。            
(NA)	 这个导演除了憨豆以外拍的都不错，当然了，我没说憨豆不好，只是不说话难度比较大，有点闷            
(5星)	 辛酸的小市民在绝望中寻找所谓的希望，来带给人快乐！！！！当时看笑抽了都…………            
(4星)	 看到他就会想笑。            
(NA)	 我觉得有时候蛮恶俗的耶            
(5星)	 难以忘记初次见你 一双骇人的眼睛            
(3星)	 你一如既往地囧。            
(4星)	 超小时候跟爸爸一起看的  童年的回忆阿~            
(5星)	 这还有什么好说的，笑呗            
(NA)	 从天而降的豆豆，被吸到天上的豆豆。            
(5星)	 Classics.            
(5星)	 太贱了            
(5星)	 车锁很酷            
(4星)	 第一遍看还是蛮有意思的。            
(5星)	 哈～            
(5星)	 我亲爱的Mr. Bean             
(5星)	 大二时看的 同学推荐的 哈哈            
(5星)	 YOHO~ Mr.Bean！            
(4星)	 值得收藏            
(5星)	 就是想笑，这就足够了。            
(4星)	 【昔时所看】过去看过挺多集的，是最早看的纯搞笑影片，的确是好玩呀，可爱的憨豆……            
(5星)	 笑到抽筋，调侃英国绅士            
(5星)	 经典就是经典            
(4星)	 小时候 很多遍            
(5星)	 俊死了 豆子先生~            
(NA)	 经典            
(3星)	 哈哈哈我早旅馆看的，逗``            
(4星)	 teddy!            
(5星)	 08.7.16还看了snake的游戏影像，但这玩意就是不会有电影号的，对不。            
(5星)	 Mr Bean让我一直笑到梦里去~            
(5星)	 肢体喜剧艺术的经典!            
(5星)	 不得不看的经典            
(NA)	 想睡觉的可以看~~~            
(NA)	 “我心目中的英国人”            
(3星)	 憨豆无敌            
(4星)	 这是一种经典~~            
(5星)	 在我眼里的忧伤            
(5星)	 爱死你了``大叔控啊`            
(5星)	 真的发自内心的笑了。            
(3星)	 什么时候在电视里看的            
(5星)	 这个是电影嘛..明明            
(3星)	 不是很逗。            
(3星)	 里面有GA里的christina！！！            
(NA)	 幽默是天生的            
(4星)	 hehe,mr bean.            
(2星)	 我觉得很一般            
(2星)	 挺烂，这种搞笑方式没意思。            
(5星)	 Mr.Bean            
(4星)	 憨豆先生            
(5星)	 最爱憨逗儿。和卓别林一样伟大！            
(4星)	 哈哈 这个D男人            
(5星)	 肚子疼            
(5星)	 童年记忆！            
(5星)	 我不能看到他演的其他戏了，频频出戏就是这么个意思。。。            
(5星)	 英国人 你闹够了木有！            
(5星)	 都忘了重温了多少次了 但是每次看还是笑得一样夸张            
(4星)	 喜欢英式幽默！            
(5星)	None
(5星)	 孤独的中产豆。            
(5星)	 好气人阿！！            
(4星)	 憨豆先生腫麼可能沒看過嘛~~！O(∩_∩)O            
(5星)	 笑死。            
(5星)	 欠扁之极的憨豆先生~            
(5星)	 经典            
(5星)	 经典的不说了            
(5星)	 好笑            
(4星)	 我喜欢他的熊            
(5星)	 至今都是最爱啊！            
(5星)	 童年的记忆            
(5星)	 one tape，一刀不剪，太厉害了。            
(5星)	 神作啊！！            
(5星)	 老搞笑了！            
(4星)	 幽默是其次，“一个人不等于孤独”才是给我最深的体会            
(5星)	 小时候的最爱 哈哈哈            
(5星)	 没人能超越的经典            
(4星)	 Mr. Bean            
(5星)	 哈哈哈……其實很悲傷……T T            
(5星)	 特色鲜明，印象深刻            
(5星)	 至今最爱的情景喜剧。每次看完都很平静快乐            
(3星)	 文化差异。。            
(3星)	 老薛一看就乐不可支   我实在是不那么懂            
(4星)	 经典            
(4星)	 小时候好喜欢看啊！！！！            
(5星)	 童年欢乐            
(5星)	 完美的喜剧天才            
(1星)	 怪嘞，我完全不觉得憨豆这种风格的闹剧好笑。            
(4星)	 一个字儿 贱～            
(5星)	 还是tv系列经典~            
(5星)	 他是我最喜欢的英国男人，木有之一。            
(5星)	 小熊太可爱了            
(NA)	 最爱的憨豆 最可爱的人 神经质 带来快乐            
(3星)	 憨~！            
(5星)	 记的高三时候每周日都放。放完就要上床睡觉。迎接新一周的压力            
(5星)	 太好笑了哈哈            
(4星)	 1990            
(3星)	 猥琐            
(5星)	 世纪末的堂吉诃德，穿透心灵的自嘲与不屑，温暖的公寓中是一片与世隔绝的洞天和豆豆精神，只有豆豆和泰迪的世界，在这世界里我看到了自己，禁锢了自己，不知是否也消磨倦怠了自己，但至少当时是舒适甜蜜有希望的，我的苦楚寂寞还有对生活的热爱世上有谁与我相同？世上有谁能明白我的心？只有豆豆先生            
(5星)	 哈哈哈哈哈哈哈哈哈哈哈哈,最近電影荒, 所以PPS上面直播看得. 還是一樣的好笑~可是因為太好笑看完以後特空虛!!!            
(5星)	 其实你是孤独的。            
(4星)	 憨豆老搞笑了            
(5星)	 非常好笑            
(5星)	 百看不厌            
(5星)	 我弟            
(5星)	 naomi给我们看的…            
(NA)	 在一学期的听力课里竟莫名奇妙的看完了全集。            
(NA)	 憨豆憨豆，哈哈哈哈哈哈            
(5星)	 去学校访问，学生说：I think Mr. Bean is better than Charlie Chaplin. 你说呢？            
(5星)	 夏天吹着凉风，看着豆豆先生，觉得美好人生，莫过于此了            
(5星)	 Bean            
(5星)	 无数遍            
(5星)	 豆子熊！            
(5星)	 他的黄色小车 他的泰迪熊。            
(5星)	 非常，爱            
(5星)	 我操最TM喜欢他了个傻逼            
(5星)	 傻傻的。            
(5星)	 I luv Mr.Bean            
(5星)	 童年            
(5星)	 有史以来最成功的喜剧形象之一，恶搞和温情完美结合的典范。笑中有泪，值得回味。            
(4星)	 人人皆知，人人皆爱。            
(5星)	 装B人士的终极教科书。。。            
(4星)	 小时候笑得好欢乐~~现在想起也忍不住大笑~哈哈            
(5星)	 鼻祖            
(NA)	 mr.bean也許是個瘋子 傻子 但他對泰迪是真心的.            
(5星)	 oh my king！            
(5星)	 我有个一样的熊熊            
(5星)	 憨豆先生已经深深扎根于这个形象了，要是再看他演其他角色我会觉得很别扭            
(4星)	 火鸡 戒指那集 笑岔            
(4星)	 憨豆先生，你好么？            
(3星)	 三星半            
(NA)	 当初下载的全集啊。。            
(5星)	 哈哈~            
(NA)	 这个老兄跟我一天生日……            
(4星)	 自娱者娱人娱己            
(5星)	 过于笨拙的豆先生            
(5星)	  经典             
(5星)	 英式幽默的启蒙之作，雅俗共赏。            
(4星)	 一直没有格外喜欢他，对他的熊倒是情有独钟            
(5星)	 笑死我了。。            
(5星)	 童年的一部分!!憨豆豆!!!!            
(4星)	 小时候看的，每次都笑得肚子疼            
(4星)	 憨豆是孤独的。            
(5星)	 承载无数童年欢笑~~            
(4星)	 吓了我一跳，这么高的评价，五星有点夸张吧，不过这部憨豆大电影搞笑场景还挺多的            
(4星)	 小时候看光替他尴尬了，没空笑            
(4星)	 为什么 我看到了 孤单和悲伤的味道            
(4星)	 papa 一直很喜欢，当时家里只有1台电视机，结果很好看            
(5星)	 记得上急救医学的时候，老师还把憨豆先生救人的片子拿出来看，然后给我们讲心肺复苏术，至今印象深刻            
(5星)	 豆子先生的搞笑功力没法说了，同样赞一个的还有编剧先生            
(4星)	 豆子先生！~            
(4星)	 熊熊控            
(4星)	 他的幽默，不用言语，全世界通用。            
(2星)	 实在不喜欢            
(NA)	 一个人狂笑了很久。。。            
(3星)	 很白痴，我喜欢~            
(NA)	 我保存了你的dvd            
(3星)	 那张神经质的凸眼老脸，看多了总会有点审丑疲劳。            
(5星)	 让人每次看都能捧腹大笑的经典！            
(4星)	 好            
(5星)	 英式幽默            
(4星)	 以家覺得佢好樣衰,哈哈            
(4星)	 太有意思了            
(5星)	 劲搞笑！            
(3星)	 很小的時候一直看。後來又不怎麽喜歡勒。            
(3星)	 我比较喜欢看有情节的电影版            
(5星)	 多好一豆子            
(4星)	 哇哈哈            
(5星)	 除了哈哈还是哈哈他让我无穷的开心            
(5星)	 BEAN BEAN BEAN！！            
(NA)	 憨豆真是可爱            
(5星)	 he rocks! his bear rocks!            
(4星)	 笑傻了            
(2星)	 Rowan的电视小品要棒得多            
(5星)	 有碟             
(3星)	 笑归笑··其他~~~            
(4星)	 小时候看过很多憨豆的..还记得那只在洗衣机中洗了一次的熊~~            
(5星)	 只能说，，笑的说不出话来了，，= =            
(5星)	 笑抽无数回，收了DVD～            
(5星)	 豆子，豆子，可爱的豆子！惹人嫌的豆子！逗人厌的豆子！还是可爱的豆子！            
(3星)	 我拜托你们还是看看卓别林吧。。。            
(NA)	 Mr.Bean             
(5星)	 超爱~~            
(5星)	 多亲呀他一点都不坏            
(5星)	 是部英剧..            
(3星)	 其实吧……我不是那么喜欢看这样的喜剧，呵呵。            
(5星)	 笑喷了。。。            
(5星)	 一直都很喜欢。。从小到大            
(4星)	 笑色特宁俄要            
(4星)	 笑不停            
(4星)	 欢乐若能如此轻易。            
(5星)	 继卓别林后的经典之作            
(5星)	 传说憨豆先生学历很高            
(5星)	 笑翻~            
(5星)	 你可唔可以唔笑..            
(5星)	 憨豆先生            
(4星)	 憨豆先生的大灾难            
(NA)	 回味一下：）            
(4星)	 http://www.xingzheng.name/archives/movie-bean.html            
(4星)	 喷饭！是的，和憨豆先生的破坏力相比，外星人入侵算得了什么！！哈哈哈            
(4星)	 嘲人  我喜欢豆豆的mini cooper            
(5星)	 笑厮我了            
(5星)	 back to basic            
(4星)	 憨豆先生在这部电影开头表现得有些智障            
(3星)	 哇哈哈哈，MR Bean！！！！            
(5星)	 经典！笑死人不偿命！            
(5星)	 笑翻            
(5星)	 看的笑死人            
(5星)	 憨豆先生太累了，应该休息了，不知道为什么我知道他得了抑郁症之后，再看他的作品总是有隐隐的心酸            
(5星)	 没时间看那么冗长的连续短剧，于是这部电影浓缩的一些搞笑精华让我十分喜爱。            
(5星)	 给六星            
(NA)	 没办法，堕落了。            
(4星)	 笑声中总能领悟一些道理，这就是憨豆特有的幽默方式            
(NA)	 香港电视台            
(NA)	 不知是不是这里的http://www.imdb.com/title/tt0651839/ &#34;Mr. Bean&#34; Back to School Mr. Bean (1994)            
(4星)	 What a British man            
(5星)	 童年！！！            
(5星)	 &gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;            
(5星)	None
(5星)	 特别喜欢那个熊·´ｪ`·             
(5星)	 笑死人            
(4星)	 经典，好笑！            
(5星)	 儿时快乐的回忆，都在这豆子里了~            
(4星)	 我突然想要游泳，旁边有人，很别扭的换上衣服，原来那个人是盲人。            
(5星)	 憨豆先生，还有那种小萌熊            
(5星)	 很小的時候電視上總在放，每次看都笑的前仰後合，雖然現在已經記不太起情節了。憨豆先生告訴了我，什麽叫喜劇。            
(5星)	 儿时最欢乐的记忆            
(1星)	 居然评价这么高，表示不懂欣赏            
(5星)	 可愛的憨豆先生！！！太可愛了！！！俺愛你俺愛你俺愛你！！！❤            
(5星)	 小时候很喜欢看，长大了也有回顾过，老少咸宜            
(5星)	 小时候的记忆=）            
(4星)	None
(5星)	 居然有人不给5星!!            
(5星)	 小时候的记忆            
(5星)	 永远的经典            
(5星)	 乐不可支！！！            
(5星)	 永遠的mr.Bean            
(5星)	None
(5星)	 绝对是经典的喜剧！永远忘不了他的teddy            
(5星)	 五星不解释 -  -            
(5星)	 小时候的最爱，以前总觉得在电视上，没有比憨豆更搞笑的节目了。            
(4星)	 爱金森不愧为卓别林的继承者，演技之高堪比卓别林。            
(4星)	 重温。            
(5星)	None
(5星)	 经典的憨豆~！            
(5星)	 无比治愈~            
(5星)	 原来只有14集……            
(5星)	 这货就是用来笑死人的……            
(5星)	 必须是满分!憨豆先生真的很棒！            
(5星)	 永恒的经典            
(5星)	 噢，永远的 Mr.Bean            
(5星)	 永远的Mr. Bean            
(5星)	 经典            
(5星)	 可爱的豆子先生 是我童年的回忆~            
(5星)	 豆豆            
(5星)	 哎 初中租碟的时光啊            
(5星)	 刷刷刷~            
(5星)	 看过《Mr.Bean》的拍摄花絮才知道，Rowan不是一天建成的。            
(5星)	 经典搞笑之作            
(5星)	 这颗豆子绝对来错世界了。            
(NA)	 憨豆还是适合不说话...~            
(NA)	 电视上放过的吧 蛮晚的时候= =            
(4星)	 以前小时候居然还听过传播过“憨豆先生本人就是弱智的”这样的传闻，现在想起来还真的可笑啊。不过艾金森也真是老了，憨豆特工2是他最后一部憨豆电影了，这真叫人伤感。             
(5星)	 前面有些恶心，后面还是很搞笑的~            
(5星)	 那张囧脸  哈哈哈            
(4星)	 每一部都是四星级            
(5星)	 还是豆列里看到的 豆瓣电视剧250！憨豆经典不解释             
(5星)	 怀念啊~            
(5星)	 居然没标过&gt;&lt;            
(5星)	 给力..            
(4星)	 太可爱了            
(5星)	 最爱的喜剧了            
(4星)	 经典~            
(NA)	 最喜欢憨豆了  EX不理解我为毛喜欢            
(5星)	 英伦经典！电影经典！默剧经典！            
(5星)	 比起美式的肥皂式幽默，憨豆的幽默充满的童真和温情～真的很好笑            
(5星)	 从小看到大的经典            
(NA)	 2遍，没什么好说的            
(5星)	None
(5星)	 人人都爱豆先生            
(4星)	 矮油，太搞笑了            
(5星)	 搞笑！            
(5星)	 啊，带给我无限欢乐的憨豆~            
(NA)	 疯人的世界是这样的。。。            
(5星)	 不管什么时候，什么心情，看一遍保证开心一整天。            
(5星)	 多么可爱的一人            
(5星)	 听说憨豆先生又出来拍片了，福音啊            
(4星)	 很好笑，就是让我想睡觉            
(5星)	 mr.bean            
(5星)	 可以让全世界捧腹大笑的喜剧杰作。            
(5星)	 豆子，孤单            
(5星)	 We love you Mr.Bean            
(5星)	 陪伴着长大的憨豆先生            
(5星)	 米斯特宾真的很好笑。            
(5星)	 憨豆先生一直快乐的生活在自己的世界里、有时候让人捧腹、有时候让人感动、有时候让人想屎            
(5星)	 憨豆先生你好            
(5星)	 大爱！            
(5星)	 需要解释么...这无敌的英国幽默...嘛...其实这货挺寂寞的...            
(5星)	 咦原来我有几集之前没看过            
(5星)	 伴随童年...            
(5星)	 没看过不好意思说是地球人，原来没网络的时候，守着电视上点播台一集一集看，到现在都不知道自己是不是看全了            
(5星)	 儿子小时候的最爱！我俩一起看过很多遍，边看边傻乐！可爱的憨豆！也许就是从这里开始，我们经常一起看喜欢的电影，可惜上中学后功课紧张，这样的快乐就少了······            
(5星)	 严重经典            
(5星)	 演员很天才            
(4星)	 Everybody is Mr.Bean.            
(5星)	 不只是搞笑，而且很温情。            
(5星)	 嗬嗬嗬            
(4星)	 小时候喜欢的 现在觉得傻气 小时候觉得无聊的 现在却无比怀念……            
(4星)	 88            
(5星)	 这几天看电视里播这部剧 我竟然发现每一集我都看过 而且现在看也百看不厌  这部剧陪伴了我初一的整个暑假 感觉好像回到那个12岁的时光             
(5星)	 小学二年级的时候看的！超搞笑            
(5星)	 真的很想再看一遍，太搞笑了            
(5星)	 没治了            
(4星)	None
(5星)	 哎。。。超伤心的            
(5星)	None
(5星)	 憨豆啊~！多么地经典！值得一看再看~            
(5星)	 小时候记忆里的卓别林，记得是在电视台的点播节目上一点点看完的，也是奇怪的观影方式吧~            
(5星)	 太经典了 迈克尔杰克逊和猫王 就像罗温艾金森和卓别林            
(4星)	 低级的英式幽默无趣，随意而来的温情倍暖。            
(5星)	 是多少集啊 看过20多集            
(5星)	 憨豆太经典了，以至于他再演其他剧我就只看到憨豆的神态了。            
(5星)	 经典！！！            
(5星)	 哦!!!小熊娃娃!~~            
(4星)	 自娱自乐。            
(3星)	 看了三集，有点夸张的搞笑，不过毕竟经典嘛            
(5星)	 开创了时代            
(5星)	 经典，永远无法超越！小时候最爱看的就是憨豆了！记得好跟哥哥一起模仿，都是美好的回忆啊。            
(5星)	 小时候很喜欢看            
(NA)	 5、6年前才知道Mr.bean。。到底有多苦逼土鳖..泪..远目...在小N家里蹭看的            
(5星)	 憨豆也老了。            
(5星)	 每次看都很开心~            
(5星)	 致憨豆.            
(5星)	 看了总是觉得很开心。            
(5星)	 说起来这才是我看的第一部英美剧啊            
(5星)	 现在真的很少这种能一路笑下来的片子了，而且不三俗，很黑幽。。            
(5星)	 经典经典经典。            
(NA)	 陪伴了我整个童年厄··            
(5星)	None
(5星)	 傑作！絕對的傑作！            
(5星)	 爱憨豆啊            
(5星)	 他用最荒诞的方式说了一个很悲哀的时代故事            
(5星)	 乐哈哈惨兮兮            
(3星)	 。。。            
(NA)	 憨豆先生也要退休了，很遗憾            
(5星)	 看多了就没意思了            
(NA)	 可惜不会再续拍了            
(NA)	 可乐            
(5星)	 无可挑剔的经典。            
(5星)	 把我笑出眼泪水的神作            
(5星)	 这个豆豆好可爱哇..- -            
(5星)	 我看了无数遍。            
(NA)	 真不敢相信这部上映的时候我还没出生！！            
(5星)	 我爱小泰迪熊！            
(5星)	 英式喜剧再也没有这样的默片范儿了么。。。            
(5星)	 Beeeeeeeeeeeeeeeeeeeeeeean.            
(5星)	 Dear Mr.Bean，因为你，我觉得萨科齐看上去很蠢！            
(5星)	 完整看了一遍才发现居然还有漏看的部分            
(5星)	 咩哈哈哈            
(5星)	 小时候电视里经常放  经常和爸爸一起看            
(5星)	 亚视放好多次拉 好怀念小时候周末看的            
(5星)	 憨豆先生在我心里永远是最牛逼的喜剧之王，1990年的Rowan Atkinson正是如日中天的时候，Mr. Bean一炮打红。然而随着他年岁渐长，在电影中和片场里满头白发却还努力逗我们笑的样子却让人有些许伤感。但是我，记忆里，永远都不会忘记憨豆在连续剧里的一颦一蹙，还有每一个笑点和情节。            
(5星)	 可以让人记住一辈子的喜剧大师！            
(5星)	 bean~~~~~~~~~~~~~~~~~~~~~~            
(5星)	 熊人熊人好鬼萌~            
(5星)	 这个你不服不行            
(5星)	 can not stop laughing~            
(5星)	 可经常拿出来温习的剧            
(4星)	 憨豆有时候恶作剧过火了            
(5星)	 豆豆先生是继默片时代的卓别林以后又一个而且可以说是唯一一个可以用一个动作一个表情来把故事讲的生动而逗观众发笑的人。大家跟着豆豆去感受他的生活 虽然很荒诞很滑稽但是却也可以很倘然的接受他的存在。他身上也有普通人的孤独普通人的骄傲。他的小车可拿方向盘老式西装小熊女友都让人印象深刻。            
(NA)	 好看 经典            
(5星)	 笑shi了！！！！憨豆的表演无可挑剔！            
(5星)	 以前看过，标记一下。            
(5星)	 神作！笑翻人不偿命的~            
(5星)	 看过的第一部英剧            
(5星)	 经典            
(5星)	 永远可爱的傻傻的MR. BEAN!            
(5星)	 憨豆总是让我笑的前俯后仰。憨豆每一个动作、表情都很传神，而故事往往在最后来个大转弯，不错。            
(5星)	 小学的时候看得可起劲了=W=五星给憨豆先生的萌样！！！            
(5星)	 这个最爱了            
(5星)	 像Mr.Bean一样享受生活            
(5星)	 催眠那只熊熊            
(NA)	 记得当时还是看的还是DVD...            
(5星)	 ！！！！            
(4星)	 他很可爱啊            
(NA)	 没看全            
(5星)	 從小就是買的碟回來看的啊 曾好看 T T            
(5星)	 笑中有泪            
(5星)	 我就不信你不爱憨豆。。            
(5星)	 非常经典的喜剧            
(4星)	 经典，大爱。憨豆的纯真，投射出人们的虚伪。            
(5星)	 我最爱的憨豆呀！我的童年            
(5星)	 最爱的喜剧系列。            
(5星)	 Bean &amp; Teddy的幸福生活...            
(5星)	 记得小时候就围着电视簇拥着看你的各种幽默，泰迪熊，那部小破车，还有那个永远不止一个面部肌肉在动的人。            
(5星)	 从小看到大~~            
(5星)	 小时候看的，真是笑死了            
(5星)	 真是笑死人了。。british intelligence            
(5星)	 我要买一辆和你一样的甲壳虫            
(5星)	 Mr.Bean与其他我看过的英国喜剧相比更能使我发笑（不包括Little Britain）            
(5星)	 最喜欢的喜剧片之一。            
(5星)	 翻来覆去的看,从小就觉得他是如此的孤单。            
(4星)	 ^o^            
(5星)	 谁能不爱憨豆先生。            
(5星)	 就是喜欢~~~            
(5星)	 其实看过之后心里有点难受            
(NA)	 人才            
(5星)	 反复看 好看            
(5星)	 无论看几次都会笑            
(5星)	 演这个很不容易的~~~看他的眼神就超好笑的~~啊· 好可爱的mr bean            
(5星)	    比电影的简洁而亮点更多。            
(4星)	 小时候无敌爱，买了DVD反复看。            
(5星)	 怀旧一下~笑死了~~~            
(5星)	 小时候在哥哥家百看不厌~~~            
(5星)	 初中的时候很迷恋这个系列，在家每天自己放~~            
(5星)	 说实话，一开始真的不喜欢。。但看了1集以后就爱上了憨豆~太可爱了。虽然大脑短路时常发生，但他是个天才！            
(3星)	 哈哈哈哈            
(5星)	 但凡有憨豆都可以笑使啊 看黄金周的时候在电影院里差点笑到抽= =            
(5星)	 很有意思的哈            
(5星)	 再看N遍都能笑死~            
(NA)	None
(5星)	 小时候看的，可以笑到眼泪和抽痉一起来的电视剧            
(5星)	 绝对的经典，绝对的聪明，绝对的滑稽，绝对的好评！！！            
(5星)	 是有想找这样的人一起过日子，只是想想，，，            
(5星)	 最最喜欢了……            
(5星)	 强力推荐~~~笑死人的~~            
(5星)	 强的演员。。。一级棒。。            
(5星)	 每次看到都觉得 现实好悲伤的感觉            
(5星)	 六星            
(5星)	 小时候很爱看，很爱那哈哈大笑的感觉~            
(4星)	 不是我喜欢的风格，但是不得不说包袱很经典。            
(5星)	 阿特金斯暂时无法超越            
(5星)	 先生先生，你敢更欢乐么...            
(4星)	 小学在班主任家看的。。。            
(5星)	 憨豆！憨豆！我们爱你！            
(4星)	 灰常搞笑http://v.pptv.com/show_page/f94f3ab846.html            
(5星)	 我还有一只憨豆小熊            
(4星)	 巨多男人眼中的经典，不过我不是男人~虽然不是最喜欢这种幽默形式，不过 Rowan Atkinson还是挺喜欢的~            
(NA)	 所有的事情发展到最后结局都是坏的~~~            
(5星)	 不解释了，大家都很熟。            
(5星)	 Turkey那个最搞了~            
(5星)	 不解释力荐            
(5星)	 不知道为什么，憨豆先生总给我一种很孤独的感觉，虽然是喜剧，但是他总是一个人，就算是圣诞节，没有人理解他            
(5星)	 经典            
(5星)	 逗死你~            
(5星)	 豆式            
(5星)	 我小时候一直纠结的就是。。。一个没有工作的人哪里来的钱。。。。。。。            
(2星)	 讨厌他的人也许会觉得，这个故作低能智障的家伙实在令人作呕            
(5星)	 很搞笑，笑点很多！            
(4星)	 神一般的演技。难怪忧郁症。            
(5星)	 超爱！！！卓别林方式演戏的英国金凯瑞……嗯，很强大！话说……这真的有大结局么？            
(5星)	 憨豆先生得了抑郁症。。话说有人没看过几集憨豆吗？小时候看不懂笑不出来 长大了点才看懂。。还有他那只熊存在感也很强哇            
(5星)	 有的快乐，无需语言~            
(5星)	 默剧一样的憨豆表演            
(NA)	 高中英语课说到他 于是课间各种放啊            
(4星)	 辛酸的笑            
(NA)	 我也觉得片子很悲凉！！！            
(5星)	 爱爱爱！！            
(5星)	 我的英雄，我的缩影            
(5星)	  你把生活的真谛演绎出来 完美的艺术家            
(NA)	 可爱憨豆可爱熊            
(5星)	 据说rowan得抑郁症了……            
(5星)	 以前翡翠臺還是明珠臺在放的 憨豆先生是個既可愛又靦腆的經典人物 哈哈哈哈笑爆肚了            
(3星)	 我不喜欢他 因为他总是那么惨            
(5星)	 你好！            
(5星)	 陪爸妈看的好欢乐 不解释            
(5星)	 大爱！看一次笑一次            
(4星)	 憨豆先生有点神经不协调。经常会做出常人难以理解的事。正因如此，他红了~大爱            
(4星)	 很经典。在西安交大同学宿舍看的。            
(5星)	 无法逾越的经典，英国的喜剧之王            
(5星)	 我们生活中的尴尬事让豆子先生搬上了屏幕，包括心理想法。把尴尬事公开化            
(5星)	 有时候，幽默中却有着一丝悲伤。。。            
(5星)	 憨豆其实挺可爱。Teddy  Bear.            
(5星)	 戇豆弄火雞、扮下樓梯還有那隻小熊……一切、一切，豐富了我的童年;)            
(NA)	 经典            
(4星)	 呵呵呵            
(5星)	 从小学我就是他的粉            
(5星)	 ~            
(5星)	 憨豆先生今年56岁了，还在为人们的欢笑奋斗着。            
(NA)	 伤心难过时都靠他！！！            
(5星)	 现在还经常看            
(5星)	 非常经典的喜剧。            
(4星)	 已经来不及做任何事的憨豆还要回头来给泰迪小熊盖好被子，这一幕太乖，可也太孤独。            
(4星)	 挺搞笑            
(5星)	 小时候特别喜欢！            
(5星)	 看多少遍都不會膩。            
