http://movie.douban.com/subject/3027029/	胭脂雪
(3星)	 有些地方确实牵强，不过本来也没多大期望，所以还好            
(4星)	 剧情一般了点儿，范冰冰的扮相真是美艳不可方物。第一次承认她的美，看来化妆果真是妙笔生花~            
(NA)	 我娘看呢我就跟着看了            
(2星)	 拖沓、虐            
(1星)	 不小心看到的巨恶的片吐啊吐            
(3星)	 关系挺复杂的，FBB挺好看的，HJH不像是男主角~~            
(NA)	 没事千万不要看。。。            
(4星)	 胭脂是红颜脸上的伤~~~这句最销魂范冰冰在里面绝美啊~是个被嫂子欺负，被老公欺负，被婆婆欺负，被下人欺负的女人~~~            
(3星)	 大家族的爱情、亲情、变迁和起伏。好俗套的剧情，但是结局我喜欢，死光光。。。原来灯笼都挺赚钱的。            
(NA)	 就矫情吧啊            
(3星)	 名字就是个悲剧篇头曲也很赤裸裸的说了这是个悲剧导演就是要告诉你：这是个无法掩饰无法回避的悲剧讲的，是一家子女人满篇都是这群女人在权势生活中起伏跌宕的故事似乎是个母系社会，男人都是陪衬但实际上，这是一群生活在畸形规矩中的女人有的内心畸形了表面却还端庄着有的表面畸形了内心却还追求着有的内外都已经疯狂了 自有人内外都还保留着那份宁静纯美因为这是戏，所以畸形的人都没有好下场，保留内心美好的人最后得到其他人渴望的或不敢渴望的自由。范冰冰很漂亮！戏里真是个好女人            
(3星)	 花哨的服饰恐怕是唯一的看点了，这符合美女出品的特点。但剧情、台词及细节漏洞百出，低制作也只能这样了。但导演们得知道，千万别把观众当傻子！            
(NA)	 挺特别的            
(3星)	 不知道，就看看是甚麼樣的，對那髮型有點情結            
(4星)	 为了看冰冰美女，和霍GG。            
(4星)	 女装都很牛伯伯            
(NA)	 看剧情介绍.....很符合我的口味...可能给了他太高的分...反而看时有些小小的失望..........不知为什么...有这么好的演员...有这么好的剧情..可是看完后心里没有啥感觉.........            
(3星)	 玉禾这个女人忍耐力太强了，服装化妆不错            
(3星)	 编剧很差劲,人物感情变化莫名其妙的,老套的桥段和俗不可耐的情节.也就衣服还算漂亮,            
(4星)	 前面很慢，后面很紧凑，还是不错的。服装都很美。情节也可以。            
(4星)	 就是喜欢范冰冰。            
(NA)	 没想到连胭脂雪也是于正写的 貌似是范冰冰自己工作室的作品 还可以把            
(3星)	 没看完            
(1星)	 看了一点点。那个酱，太恐怖了。。。            
(3星)	 又是拿过去那个年代的女人说事，没新意            
(3星)	 守得云开见月明            
(3星)	 记得马褂。            
(NA)	 从现在开始我都会陪着你；你是少奶奶，我就是管家；你是杀人犯，那我就是帮凶。天上地下，我都会为你闯。            
(4星)	 为了霍霍看得，霍建华好帅啊！！！！            
(3星)	 喜欢建华兄弟            
(3星)	 我去~巨内伤的电视剧 伤不起啊~~~~~~~~~~BUT还好范冰冰里面的服装造型都挺好看 霍建华很帅~ over~            
(3星)	 范冰冰的古装还是灰常美滴~            
(4星)	 为了两只主角。            
(2星)	 这电视剧就是想说女主很美很善良，其他还有什么吗？            
(3星)	 我擦我还看过这个！            
(3星)	 诸多此类电视剧写一个女人 的坚强            
(4星)	 我看这个只因为霍建华...好吧...范冰冰也是一小部分原因...            
(3星)	 两颗星给霍建华，哪怕不为演技纯为长相，一颗星范冰冰，虽然演这样一个女人她还是显得有些妖媚，但她依然是这部戏一半的卖点            
(3星)	 范冰冰唱的那首歌和有感觉，喜欢那种意境            
(3星)	 于正的剧本全都一个味道，初看的时候觉得惊艳，看多了就腻了            
(3星)	 华丽的衣服             
(3星)	 剧情很恶俗 但是作为标准的家庭连续剧是不错的            
(2星)	 粗制滥造的片子。女主角总是很性格分裂，一方面懦弱得要死，一方面又能兼顾老公和情人，最主要，还能撑起一帮牛鬼蛇神组成的大家庭，太诡异了！            
(3星)	 我能说我看，只是为了霍建华么            
(2星)	 除了淡定什么也没有、、            
(4星)	 一个女儿国来了个帅哥霍建华的故事。。。            
(4星)	 范爷美，白豆腐更美            
(4星)	 又是陪我家母亲大人一起看的...            
(4星)	 女人啊，不容易            
(4星)	 华丽的服饰，幽怨的灯笼坊，其实我就是去看华哥的            
(4星)	 觉得影片立意不错，女人生下来就是为了一个牌牌？片尾的音乐也不错。            
(4星)	 故意选了不漂亮的女配角？            
(2星)	 霍建华真是挺美的，范冰冰也是挺漂亮的，剧情真是挺烂的，看来美人也抵不过烂剧本            
(2星)	 纯粹画面            
(NA)	 挺于妈的啊，贱男主苦女主各种纠结没有意义的纠结。老太太拿泡着老爷尸体的井水做酱，微重口味。fbb还是木表情，肉毒杆菌不好打太多。。。            
(3星)	 范冰冰自己投拍的电视剧，拍的不错，很贞洁            
(3星)	 如果文玉禾是美少女战士，那夏云开就是她的夜礼服假面。            
(2星)	 又是一个烂剧本的作品，漏洞多多，没有新意，于正大编剧啊，你何时才有原创和有创意的作品推出啊？我已经对这位编剧的作品感到非常厌恶了，把一批又一批的优秀演员给他的烂剧糟蹋了。从此不再看于正的剧了。            
(3星)	 果然是于正编剧，脑残            
(NA)	 我妈可喜欢了。。。。。。。。。            
(3星)	 我喜欢霍建华，但是不晓得为啥，这里面我总是希望她能和丈夫一起。哎            
(1星)	 就电视剧本身来说（不关乎小说）剧情的连贯性很差，几乎没有逻辑可言。所谓的勾心斗角的手段也都很幼稚，阿桃小人得势的过程简直是个闹剧，莫名其妙。老太太的人物性格更是非常矛盾，很多道理很难服众，太假太牵强了。剧情改编的太烂了，也就是冲着演员硬看到最后，结果是非常非常非常的失望。            
(2星)	 地震期间看的。            
(4星)	 当初我真的很喜欢看，虽然范冰冰和霍建华不搭，但是他们俩相貌都太出众了            
(1星)	 淡定给于正一星 刷屏请无视 （霍建华也演这个了= =我擦瞎狗眼的仙三电视剧            
(3星)	 阵容不错 反响一般 霍建华是何装束都帅的让人捶地 fbb嘛 不做评论            
(3星)	 好人好报都是屁话。各种狗血剧情。不过范冰冰的衣服蛮好看的。            
(4星)	 妈妈很喜欢看...= =            
(4星)	 我觉得还不错啊，纠结是王道。霍小呆的表情不丰富，有待提高            
(3星)	 胭脂是红颜脸上的伤。当初为了这首歌着迷了许久，其实整部剧还是可以的，民初大宅院里的苦情戏，范冰冰和霍建华这对儿的纠结的确很有杀伤力。            
(3星)	 玉禾的几件衣服8错            
(3星)	 衣服很漂亮,剧情很2            
(3星)	 衣服不错            
(3星)	 霍建华一袭民国长衫，再度秒我            
(3星)	 为了霍建华看下去            
(NA)	 后两集绝对的恐怖片！！            
(3星)	 自己看 。            
(NA)	  夏云开：守得云开见月明，俊美的五官，晴朗的面庞，流溢着晨露的眼睛。寡寡的言，落落的行，举眸，眼光跟随生命一起流浪到你二十岁的日子-------  宁默心:一世才情空，半生寂寞老，泛泛酸，滥滥苦，宁默心，到底，择日沉塘-------------               
(4星)	 范冰冰演得不错呢 她很努力~            
(1星)	 抄袭徽娘宛心            
(4星)	 感觉还行            
(3星)	 沖著霍建華看的。            
(3星)	 冲着霍建华 看了!!!!            
(3星)	 最后四集太邪乎了。            
(3星)	 范冰冰不简单，霍建华看来也是在港台混不下去了~            
(3星)	 女王            
(4星)	 非常喜欢的一个片子。片头曲就引诱了我。悲剧总是太多。            
(NA)	 又是女人话题···看了一点            
(2星)	 演员还行，剧本不行啊~            
(4星)	 范冰冰确实是女强人啊！            
(3星)	 末尾曲 很不错            
(4星)	 恩~范冰冰很漂亮            
(4星)	 挺好看的，就是后面结尾的剧情无厘头了点。            
(3星)	 看了生气啊            
(2星)	 编剧很烂。            
(3星)	 还不错。就是糙            
(5星)	 支持范冰冰，让人心疼。            
(3星)	 围观“从良”的冰冰姐            
(1星)	 抵制范冰冰            
(3星)	 还不错，范冰冰演的挺好的            
(3星)	 迷上夏云开了，那种温润如玉的气质，实在太美好；最喜欢他微微皱眉的样子...            
(NA)	 跟锁清秋差不多类型的感觉.            
(3星)	 夏云开毁了霍建华。我喜欢造型。            
(4星)	 好                    
(NA)	 看了一半  心有余悸真庆幸我是出生在21世纪的新女性            
(3星)	 为了看霍霍而看。。            
(NA)	 看了一半 看不下去了 就为了霍建华才看的            
(3星)	 封建礼教的悲剧            
(NA)	 一部《红楼梦》的再版！一群封建社会女人的悲哀！            
(2星)	 剧情很慢，像极琼瑶剧，看到最后一集才稍微精彩一点点，但仅仅是一点点。            
(4星)	 是从这部剧开始觉得霍建华是演技派啊~~~            
(5星)	 初看没意思，但是越看越觉得有味道……            
(NA)	 看的人心疼            
(4星)	 女人悲惨的命运            
(NA)	 还行吧~··            
(3星)	 各方面都中规中距            
(3星)	 还不错,。不过胭脂雪到底是什么样子呢？没见过。            
(3星)	 范冰冰实在不像大家闺秀，演技仍有待提升。。这部剧最可取的是片尾曲，江淑娜唱的《卸妆》，好听~            
(3星)	 戆            
(3星)	 太纠结…跟凤凰四重奏的很多情节都雷同额…            
(3星)	 最讨厌那些配角坏女人！！！            
(3星)	 范冰冰的此次演出，让我消除了对她的成见。            
(3星)	 没想到凶手是老太太。。            
(4星)	 平衡和挣扎。            
(2星)	 看不得范冰冰演好人家的姑娘，尤其是下花轿那场戏，还把“投我以木瓜，报之以琼瑶，匪报也，永以为好也”的典故搬出来了……看了大结局，惊觉编剧是福克纳的粉丝：杀夫守寡的辜老妇人就是翻版的Emily Grierson（为了留住爱人，竟将爱人毒杀，将尸体藏在身边长达数十年之久）……            
(NA)	 前半部还不错，后面有点累赘的感觉            
(3星)	 偶然间发现的剧集，闲来看看            
(5星)	 制作精良的电视剧  范冰冰最讨人喜欢的一部戏            
