http://movie.douban.com/subject/5967270/	你们我们他们
(5星)	 虽然豆瓣给出的评分不高，但我真心喜欢。            
(4星)	 我喜欢这种风格 虽然四星有点过于高了点            
(NA)	 有几集还不错，广告打得太明显了……            
(3星)	 几米漫画改编的现代爱情故事，不过不失。只是徐Z3跟唱K的串场有点多余            
(NA)	 为嘛不在大陆取景。            
(NA)	 十个故事，十段情。            
(NA)	 故事来说，《我们的浪漫故事》《我愿意》《当旧毛衣遇上旧围巾》都还有点意思；画面嘛，最爱《当旧毛衣遇上旧围巾》。            
(3星)	 如果没有王祖蓝的客串，就是零分了= =。            
(2星)	 10ep 够短 我是有多无聊！            
(2星)	 TVB怎么会这么纯爱……汗 我是怎么看完这部东西的            
(5星)	 比较中意最后一个故事《当旧毛衣遇上旧围巾》            
(3星)	 每一个短小的爱情故事，你有了吗。            
(3星)	 徐子珊好丑啊啊啊。            
(3星)	 当风光片看了，有几个小故事不错。结婚密语，白日绮梦，我愿意，有点意思~            
(3星)	 不知道在看什麽。。。            
(5星)	 在茫茫人海邂逅相知相爱的另一半，总教人相信冥冥之中自有一份「缘」            
(2星)	 无聊死了            
(4星)	 TVB的爱情小品。对客串主角无爱，但某些故事很喜欢。第一集台湾取景很漂亮很台范。            
(3星)	 吴卓羲跟徐子珊就是打酱油的，一直拍照好白痴，每一集小故事还行            
(3星)	 只看了一个故事 有点不伦不类的感觉 没拍好            
(4星)	 通过几米漫画改编，色彩温暖，蛮不错的。            
(4星)	 没看过这样的港剧，很唯美，不再是破案和豪门恩怨，只是小清新            
(4星)	 挺温馨的小短剧！！看起来心里暖暖的~~~            
(5星)	 最喜欢这样的短剧了，即使有不现实的地方，却也让人感到美好            
(2星)	 第一集最好看。            
(3星)	 大爱几米。。。            
(NA)	 每一个喜欢几米的人都不应该错过的。。。。            
(3星)	 十个爱情的故事，缘分总是存在的            
(4星)	 难得TVB也能拍出小唯美的短片....            
(3星)	 不知道台灣來拍感覺怎樣            
(4星)	 很简单的情节，却能引起很多人的共鸣~~            
(4星)	 第一集有风景美，缘分很惊奇。不管有没拍出几米漫画所以表达的，但也算另一番感受            
(3星)	 有几个故事还可以，喜欢【我愿意】            
(3星)	 有几个小故事还不错。            
(4星)	 虽然剧情演员都不咋地 但是我还是喜欢这样的调调 不需要多深刻 淡淡的 精致的生活            
(4星)	 趁我還天真，可以相信愛你是一輩子的事。            
(3星)	 太冷了            
(3星)	 呃……不知道说什么才好，亮点是结束时的广告，和阿雯一起看机顶盒            
(NA)	 取景很美            
(4星)	 好文艺            
(NA)	 只有第一集还成。。。。演员也太丑了，我去。            
(4星)	 看的剪辑版..很温暖的色调 很漂亮的香港 还有一些发人深省的语言故事...我想Jesse身上应该有某部分吴生自己的影子在            
(4星)	 我想，既然TVB你都拍几米的剧了，你就不能找几个美女帅哥么，就一定要找那么些个新人？？？            
(4星)	 喜欢第一个和最后一个故事。            
(4星)	 挺不错的            
(NA)	 那碰撞時的細微聲響如此蕩氣迴腸，千百年才有一回。相遇總是美好，我們自然相遇，我們自然分離。感謝你曾經來到我的生命裡，因為你我的生命才擁有這些美好，一直陪伴我。雖然我從來沒有告訴你。讓我相信愛，被愛與愛人。其實我一直相信愛。            
(5星)	 对治愈系完全没抵抗力            
(NA)	 简直眼前一亮！一度很怀疑TVBmix几米是什么效果，没想过TVB能做出这么好的画面感。。演员演技直接无视了 好在够靓么~何况还有毕打帮的点缀~故事 除一两个不太喜欢 大部分都挺有感觉~其实也许不是故事 而是很平淡的道理拿的角度却很新~刚看完最后一个故事。。太美好了！。。            
(2星)	 第一集有点看头，后面的就。。。            
(2星)	 几乎每个故事都有让人震惊的丑男丑女~~TVB上哪找来那么多极品~~            
(3星)	 正中香港剧= =            
(3星)	 简简单单的纯爱剧，10个故事，10个爱情主题，终究是个缘            
(5星)	 好看~~            
(4星)	 本来就没冲着吴卓羲和徐子珊去的。其实每一个小故事都让人感动...看过之后，有羡慕，有叹息，有憧憬，有怀念，还有就是。。。超想买尼康相机！！！！有木有！！！            
(3星)	 闲来无事打发时间看看可以            
(4星)	 剧情是不粗，但是里面的几张脸真是什么胃口都没了            
(NA)	 弃            
(3星)	 觉得好不同，不是TVB的风格啊~~~            
(1星)	 垃圾啊垃圾            
(3星)	 唉，我好不容易看完了，真是没什么好看的，不过每集结尾都有CARSON介绍相机，哈哈            
(4星)	 爱情剧，我爱阿RON            
(4星)	 走溫馨路線……中規中矩吧！暖暖的春天里，看著這套劇，偶爾也有幾幕觸動人心。個人還是較喜歡——一程車的春天。            
(2星)	 这种风格的剧，搭配上港味儿，就不是个味儿了！            
(2星)	 相机出彩！其他都可以pass            
(4星)	 没想到TVB也会拍这样的小温馨啊。。。不过挺一般的，情节不是很吸引人，挺跳跃的。关键是，在我眼中，每个小故事的女主角相似度都80%。。。            
(3星)	 演员不怎么样，可是拍得还不错~~~O(∩_∩)O~~~            
(4星)	 挺有新意的小短劇，可惜就10集            
(3星)	 一路看下來都是給四星的 因為畫面都好小清新 不過最後一集草草的結局只能減星            
(4星)	 几米式的港剧 挺喜欢这样的风格的 TVB可以继续尝试            
(2星)	 凈系得第三個故仔得我心 似乎看到了周慧敏阿拉蕾的影子            
(2星)	 不咋地            
(2星)	 讨厌徐子珊            
(NA)	 跟四叶草系列一样纯粹让新人露脸用的，还没一个好看的╯_╰…RON和Z3的海报好吸引，不如搞个TVB版的爱在日落时。。。            
(NA)	 偶然的发现 也算是有惊喜            
(NA)	 剧里面子珊和RON戏份太少啦，等团圆出街~            
(3星)	 《不捨不得》、《一个人的快乐圣诞》、《两颗不变心》、《白日綺梦》。不是因为看得的是粤语版的，还以为在看台湾偶像剧。            
(2星)	 无聊。。。            
(3星)	 我去。。。一早上就看完了。。。还很无聊就真。。。不过阿ron很帅啊！！！！子珊的黄色大衣靓诶^^就是平刘海不行诶。。。唉。。。            
(3星)	 噱头深度都不错。但是星光大道的人来演总是差那么几分，要将绘画本的漫画改编成电视剧也就只能这样了。            
(2星)	 借几米的故事捧起tvb的超级巨星。            
(3星)	 纯粹为了Ron！！单反Ron好帅~~~            
(4星)	 形式不錯哈 氛圍也不錯 內容麼就不夠那麼給力了            
(2星)	 原来徐子珊只演片头的引子……于是只看了所有的片头。            
(NA)	 无聊的想睡觉 像学森美的森之爱情吗             
(NA)	 情人节特别版的几米小故事！            
(3星)	 每集一个小故事,分为10个小故事,每个故事都是几米漫画书中的一个主题故事,前面几个故事还不错,后面的5个故事不喜欢            
(4星)	 不错~~~            
(4星)	 总觉得香港的文艺爱情片拍的还是不够细            
(3星)	 果断斩            
(3星)	 卧槽TVB玩小清新我接受不能啊            
(3星)	 香港纯爱片都市味都好重。            
(NA)	 喜欢这样的剧集，这又是情人节献礼剧吧。            
(2星)	 每集开头和结尾Z3和Ron的炮灰片段累赘多余..            
(4星)	 很多人都说情节比较简单没有跌宕起伏，可是我觉得思想简单些，生活会好过些。            
(3星)	 爱情碰撞时的细微声响，荡气回肠，千百年才有一回吧。。            
(4星)	 不舍不得...            
(3星)	 游乐园里的邂逅游戏            
(4星)	 帮Nikon Nokia买广告            
(3星)	 第一个故事和最后一个故事蛮好的，其他不谈了。。。            
(4星)	 四颗星是给第一、三、八、十个故事的~            
(3星)	 风景不错~            
(4星)	 喜欢几米，碰上了几米漫画改拍的电影，怎能错过？喜欢故事情节，感觉画面很干净，各种感情都很纯洁~看完后，忍不住想买一台质地优良的单反，然后咔嚓咔嚓的，记录下自己的人生~            
(3星)	 看不懂            
(4星)	 好喜欢几米的书。也喜欢这个温馨的短篇            
(3星)	 第一集的风景太漂亮了，還有那兩個吊墜。每一集後面都在說尼康。哇哈哈。            
(2星)	 好难看= =。。。            
(NA)	 《我愿意》、《当旧毛衣遇上旧围巾》这两个故事不错，《我愿意》挺感动            
(4星)	 喜欢那个绘满几米的图画的楼梯。            
(NA)	 发梦...            
(4星)	 很唯美            
(3星)	 小清新還真不適合TVB             
(3星)	 太诗意了            
(3星)	 换做几年前看这类型的片，我想我一定又会被某些细节触动得一塌糊涂，可惜，几年过后，早已没了当初那种心境。其实细细品嚼，那些文字仍然值得品味。            
(2星)	 情节浅抒情重，港味少台味浓。            
(NA)	 看点在哪？            
(3星)	 喜見TVB會有這樣意念的短劇很多演員都是新晉或名不經傳，卻多了點新鮮感雖然色調音樂也不錯但某幾集拍起來還是差了點特別喜歡我們的浪漫故事每天都在發生的故事我們相遇 卻不相識相對 卻不相愛 ;&#39;)            
(3星)	 创意不错 只是故事不怎么样。            
(3星)	 畫面很美~~~            
(4星)	 台湾的郊外景色真美。每集一个小故事温馨，但是少了TVB的味道            
(4星)	 其实我觉得剧中人的服装很漂亮             
(NA)	 追不下去了            
(4星)	 完结了此短剧，想看的初因是羲珊这对官配吧~10个不同的爱情故事，讲述了10种不同的感情状态与各不相同的爱情观，我这才发现我原来最喜欢的是第10个故事啊~~~但这次的情人节纪念短剧可没有去年的#情人眼里高一D#好看哦~            
(3星)	 个人稀饭林欣彤和何雁诗那两集            
(3星)	 3.5            
(3星)	 要不是因为几米，我是不会染指的            
(NA)	 第一集 我仿佛在看台灣偶像劇！！！！            
(3星)	 根据几米漫画改的            
(3星)	 其实，还挺喜欢每年过年时tvb的爱情短剧集的，今年第一集竟然加入了台湾的元素，不知道后面几集能不能有大陆的场景出现            
